SA1_7DIGITCODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
1100801,3,0,0,0,0,0,0,0,0,3,3,0,0,9,8,0,0,0,0,20,4,3,32,3,11,3,0,3,0,67,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,15,19,39,15,35,3,4,7,0,138
1100802,0,3,0,0,0,0,0,0,0,9,3,4,3,6,4,3,0,0,0,20,11,3,27,9,5,7,5,12,0,69,0,0,0,0,3,0,0,3,0,5,0,3,0,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,24,37,33,27,26,9,5,16,0,186
1100803,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,3,18,5,11,4,0,3,0,49,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,16,18,11,17,3,5,9,0,83
1100804,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,7,0,3,13,3,3,5,5,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,14,16,4,13,8,3,4,3,78
1100805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,5,4,0,0,0,3,3,32
1100806,0,8,0,0,3,0,0,0,0,11,0,0,3,3,3,0,0,0,0,12,0,3,19,3,9,3,7,4,0,55,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,12,19,26,6,22,5,7,4,4,115
1100807,3,4,0,0,3,0,0,0,0,7,3,3,3,10,7,0,0,0,0,24,4,0,22,7,5,5,5,4,3,61,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,14,19,34,23,20,8,3,3,6,131
1100808,0,0,0,3,0,0,0,0,0,8,3,3,0,3,6,0,0,0,0,19,8,5,23,3,3,3,0,7,3,53,0,0,0,0,4,0,0,0,0,7,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,3,17,24,25,13,24,8,11,9,3,137
1100809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100810,6,7,0,0,3,0,0,0,0,10,5,3,4,4,0,0,0,0,0,11,12,0,15,0,8,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,17,21,5,16,3,3,4,0,102
1100811,3,0,0,3,0,0,0,0,0,4,0,4,0,3,0,0,0,0,0,7,3,0,22,3,3,3,3,3,0,45,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,32,17,13,10,7,3,7,0,105
1100812,0,0,0,0,0,0,0,0,0,6,3,0,0,6,4,0,0,0,0,16,0,4,4,3,5,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,14,38,9,7,17,0,4,3,0,103
1100813,3,0,0,0,0,4,0,0,0,9,4,0,6,5,5,0,0,0,0,22,3,8,25,9,7,0,7,5,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,17,39,26,22,25,4,10,6,0,156
1100814,0,0,3,0,4,0,0,0,0,9,10,4,3,3,3,0,0,0,0,23,9,3,35,7,12,0,7,10,0,89,0,3,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,33,39,40,18,30,3,10,18,4,196
1100815,0,0,0,4,3,0,0,0,0,5,5,3,3,4,8,0,0,0,0,19,3,0,21,8,9,3,9,4,0,59,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,12,25,26,22,32,13,10,8,7,143
1100816,0,3,0,0,0,0,0,0,0,3,4,0,0,0,3,0,0,0,0,5,5,0,14,7,7,3,3,3,0,49,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,23,19,17,11,12,6,3,0,97
1100817,0,0,0,0,0,0,0,0,0,3,6,3,0,3,4,0,0,0,0,14,0,0,12,8,3,0,3,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,13,17,9,14,7,8,7,6,0,85
1100818,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,10,3,0,27,0,6,3,3,0,0,41,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,25,11,16,9,3,3,3,84
1100819,0,0,0,0,7,0,0,0,0,8,3,3,0,3,6,0,0,0,3,20,13,3,22,4,7,4,3,5,0,54,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,28,27,23,13,37,5,3,8,3,152
1100820,3,0,0,0,0,0,0,0,0,8,0,0,3,4,0,0,0,0,0,9,0,5,9,3,4,3,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,11,14,13,7,10,11,3,7,0,70
1100821,3,4,0,0,0,0,0,0,0,8,5,0,3,4,8,0,0,0,0,17,0,3,15,5,6,7,0,3,5,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,21,28,24,15,29,7,3,3,4,135
1100822,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,3,0,15,0,5,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,18,15,5,12,0,0,3,0,69
1100823,0,0,0,0,4,0,0,0,0,5,3,0,0,0,5,0,0,0,0,5,8,3,7,7,8,0,0,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,14,8,7,12,0,0,3,0,67
1100901,3,3,3,0,0,0,0,0,0,12,0,0,0,3,3,0,0,0,0,10,3,0,8,0,7,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,31,15,8,14,4,3,0,3,89
1100902,0,0,0,0,3,0,0,0,0,8,0,4,0,0,3,0,0,0,0,12,6,8,5,5,5,3,0,4,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,26,14,7,22,10,0,3,0,95
1100904,0,0,0,0,0,0,0,0,0,3,3,3,0,0,3,0,0,0,0,9,0,0,22,3,3,3,0,0,3,39,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,26,27,9,15,8,0,4,3,103
1100905,3,0,4,0,4,0,0,0,0,10,0,3,3,3,6,0,0,0,0,17,4,0,12,3,6,0,0,0,0,35,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,22,8,32,0,0,3,3,103
1100907,0,3,3,0,3,0,0,0,0,10,3,3,4,5,3,0,0,0,0,22,4,4,23,3,6,7,3,4,0,59,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,0,0,0,9,0,0,0,0,7,0,0,0,0,3,0,3,0,0,0,0,0,0,0,7,21,43,36,28,29,13,11,7,4,185
1100908,0,3,0,0,3,3,0,0,0,13,4,5,0,6,5,3,0,0,0,29,8,3,25,5,5,3,3,3,0,54,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,24,59,28,34,34,18,5,9,7,208
1100909,0,3,4,5,0,3,0,0,0,14,0,7,3,3,6,0,3,0,0,20,0,3,19,9,11,7,4,4,4,60,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,10,68,23,38,24,25,12,23,13,228
1100910,3,3,0,3,3,0,0,3,0,11,3,4,3,0,5,0,0,0,0,19,6,3,16,6,12,3,8,9,0,59,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,19,47,32,30,36,12,4,19,3,205
1100911,0,4,0,0,0,0,0,0,0,3,0,3,4,3,7,0,0,0,0,20,3,4,20,5,6,3,3,0,0,56,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,31,30,13,25,10,11,9,4,143
1100912,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,11,3,5,0,0,3,0,28,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,18,18,11,10,3,0,10,0,71
1100913,0,3,0,3,4,0,0,0,0,10,3,5,4,6,4,0,0,0,0,22,0,6,20,14,5,11,5,12,0,69,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,24,66,25,24,36,12,5,13,0,206
1100914,0,3,0,3,0,0,0,0,0,6,0,4,0,3,3,0,0,0,0,9,0,0,19,8,6,3,5,4,0,49,0,0,0,3,0,3,0,0,0,8,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,20,39,23,27,13,9,6,7,0,148
1100915,3,3,0,0,9,0,0,0,0,18,3,3,8,3,7,0,0,0,0,28,3,3,24,17,11,7,3,6,3,82,0,0,0,0,3,3,0,3,0,8,0,0,0,0,3,0,0,3,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,16,59,35,43,57,19,9,19,6,262
1100916,4,0,4,3,0,0,0,0,0,8,3,3,5,5,10,0,0,0,0,21,4,3,23,7,12,3,4,0,3,56,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,36,31,27,32,3,3,10,3,168
1100917,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,5,3,7,4,0,0,0,20,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,21,5,8,14,4,3,4,5,69
1100918,0,6,0,0,3,0,0,0,0,8,0,4,0,0,6,3,0,0,0,11,10,0,16,3,5,0,3,3,3,49,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,29,47,16,13,23,11,3,4,3,149
1100919,3,0,0,4,0,3,0,0,0,12,0,3,0,3,4,0,0,3,0,13,3,5,20,4,10,0,3,3,0,51,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,24,53,28,17,32,14,10,11,4,189
1100920,3,0,0,0,0,0,0,0,0,8,0,4,3,3,3,0,5,0,0,15,3,3,6,6,10,3,4,3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,19,10,13,20,11,12,8,0,108
1100921,3,3,0,0,0,0,3,0,0,7,3,3,7,10,0,0,0,3,0,29,3,0,18,3,6,3,4,4,0,41,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,26,54,22,23,31,10,13,11,0,186
1100923,3,3,0,0,4,0,0,0,0,9,4,0,0,3,3,0,0,0,0,15,5,3,18,7,4,0,0,3,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,24,21,23,12,18,4,0,8,7,122
1100924,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3
1100925,0,0,0,0,0,0,0,0,0,9,5,0,3,7,7,0,0,0,0,25,3,3,20,9,10,5,6,3,0,50,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,25,41,28,34,31,13,7,8,6,183
1100926,3,0,0,0,0,0,0,0,0,7,0,0,4,0,4,5,0,0,0,8,0,0,10,8,3,0,5,3,0,30,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,12,19,12,8,4,3,0,94
1100927,0,0,0,0,0,0,0,0,0,5,3,3,0,9,0,0,0,0,0,21,0,0,11,0,6,0,0,0,0,20,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,15,23,10,16,21,3,3,0,0,105
1100928,3,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,9,3,3,12,7,10,4,0,0,0,37,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,38,19,15,26,5,4,3,0,128
1100929,0,0,0,0,0,0,0,0,0,8,5,3,3,3,3,0,0,0,0,19,6,3,11,3,5,8,3,9,0,46,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,37,21,8,20,7,5,9,3,128
1101001,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,0,5,4,0,0,0,0,0,16,3,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,5,8,9,3,3,3,0,52
1101002,3,0,0,4,4,0,0,0,0,16,3,0,7,0,0,0,0,0,0,14,4,5,17,5,0,3,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,35,58,27,16,22,7,4,3,0,168
1101003,0,3,0,4,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,7,3,0,15,4,5,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,35,20,13,19,3,0,0,3,108
1101004,0,3,0,0,0,0,0,0,0,6,6,0,3,7,3,3,0,3,0,21,3,5,11,3,4,0,0,4,0,32,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,21,12,19,8,0,13,4,111
1101006,3,0,0,3,0,0,0,0,0,10,3,3,3,0,3,0,0,0,0,15,7,4,19,3,4,3,4,3,0,49,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,21,35,29,18,15,18,11,8,0,154
1101007,3,0,6,0,0,0,0,0,0,13,0,3,0,0,0,0,3,0,0,10,0,0,10,3,7,3,0,3,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,16,10,17,5,6,11,0,96
1101008,3,0,0,4,0,0,0,0,0,11,0,6,0,0,10,0,0,3,0,16,3,3,20,3,5,3,0,4,3,41,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,20,36,26,21,21,8,3,15,3,151
1101009,0,0,4,3,5,3,0,0,0,18,0,0,3,0,4,0,0,0,0,15,3,3,18,8,8,3,0,6,3,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,28,22,18,24,12,0,6,3,124
1101010,0,0,3,4,3,0,0,0,0,11,3,0,0,4,7,4,3,0,0,19,3,0,23,3,8,6,3,5,3,50,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,18,33,35,13,24,9,9,13,3,149
1101011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7
