SA1_7DIGITCODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
1100801,4,0,4,11,16,24,3,6,8,0,0,0,12,24,37,7,14,22,0,3,4,0,0,0,8,14,24,0,0,0,0,0,0,3,0,4,0,9,8,0,0,0,3,6,12,3,5,9,0,0,0,0,0,0,3,0,7,0,0,0,8,6,13,0,0,0,3,0,4,0,0,0,3,0,3,5,12,18,43,68,114
1100802,8,0,8,14,9,23,11,4,17,0,3,3,25,16,39,6,11,18,3,7,7,0,0,3,13,11,28,0,0,0,0,0,0,3,0,3,0,4,4,0,0,0,6,3,12,4,3,4,0,0,0,0,0,0,0,6,7,0,0,0,6,7,18,0,0,0,0,0,0,0,0,0,0,0,0,15,11,27,63,62,125
1100803,4,0,4,22,10,27,4,0,4,0,0,0,26,8,31,12,13,21,0,0,0,0,0,0,16,13,26,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,3,0,6,6,0,0,0,0,0,0,0,7,3,0,0,0,0,6,8,0,0,0,0,3,3,0,0,0,0,3,3,26,22,45,69,56,128
1100804,3,0,3,12,8,23,0,0,0,0,0,0,11,8,23,7,4,14,3,3,7,0,0,0,11,5,19,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,5,0,0,0,3,3,11,0,0,0,3,3,10,29,38,69,65,71,137
1100805,0,5,5,11,18,26,0,0,0,0,0,0,11,17,30,10,13,20,0,0,3,0,0,0,13,8,20,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,7,3,8,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,4,16,14,29,60,89
1100806,0,0,0,6,6,14,3,0,3,0,0,0,8,10,20,15,8,18,3,0,3,0,0,0,13,8,21,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,4,8,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,0,0,0,0,0,0,0,0,0,0,4,10,17,23,39,46,81
1100807,3,3,4,7,12,20,0,0,4,0,0,0,6,10,19,11,10,20,0,0,0,3,0,3,12,7,23,0,4,5,0,0,0,3,3,9,0,4,4,0,0,0,3,13,14,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,7,5,10,0,0,0,0,4,4,0,0,0,0,4,4,23,30,49,54,75,121
1100808,6,0,3,18,17,39,0,0,7,0,0,0,19,20,41,25,22,42,3,3,8,0,0,0,23,25,49,3,0,3,0,0,3,0,0,0,4,0,4,0,0,0,4,3,7,6,3,6,0,0,0,0,0,0,0,4,4,0,0,0,6,11,15,0,0,0,0,6,4,0,0,0,0,7,6,13,21,28,76,83,160
1100809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100810,0,0,0,7,6,12,0,7,11,0,0,0,7,12,22,11,9,18,0,3,4,3,0,3,9,13,24,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,6,0,5,3,0,6,0,0,0,0,3,0,0,0,0,0,0,0,9,5,13,0,0,0,0,0,0,0,0,0,3,0,3,6,5,13,42,35,86
1100811,0,3,3,9,13,25,0,0,0,0,3,7,10,13,28,14,7,19,0,0,0,0,0,0,14,13,25,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,9,3,0,3,0,0,0,0,0,0,4,3,10,0,0,0,6,7,10,0,0,0,0,0,0,0,0,0,0,0,0,14,16,32,54,50,101
1100812,3,0,3,7,3,13,3,4,6,0,0,0,15,6,18,4,4,8,5,7,7,3,0,3,10,13,18,0,0,0,0,0,0,0,0,4,3,0,6,0,0,0,8,3,7,0,3,3,0,0,3,0,0,0,6,4,5,0,0,0,3,10,18,0,0,0,0,3,3,0,0,0,0,3,3,6,10,19,39,48,93
1100813,3,0,3,10,12,17,13,11,23,0,0,0,20,14,38,12,15,26,9,9,13,3,0,3,21,19,42,0,0,0,0,0,0,9,0,9,0,3,3,0,0,0,9,3,7,3,5,6,0,3,3,3,0,3,0,0,3,0,0,0,5,10,16,0,0,0,0,0,3,0,0,0,0,0,3,15,11,24,72,63,135
1100814,3,0,3,13,13,23,5,3,12,0,3,3,18,17,35,15,4,20,0,0,0,0,0,4,18,10,23,0,0,3,0,0,0,0,3,4,4,0,3,0,0,0,10,9,15,3,0,3,0,0,3,0,0,0,5,3,10,0,0,0,14,9,20,0,0,0,0,0,0,0,0,0,0,0,0,5,5,9,60,49,107
1100815,3,6,7,15,8,23,5,0,11,0,0,0,26,10,33,4,10,15,3,3,6,0,0,0,8,9,20,3,0,3,0,0,0,7,0,8,0,3,6,0,0,0,8,6,18,3,3,8,3,0,4,0,0,0,3,4,7,0,0,0,11,9,23,3,0,4,0,3,3,0,0,0,3,3,7,14,24,36,77,68,139
1100816,4,0,10,21,18,37,3,3,7,0,3,3,24,18,39,11,8,15,0,0,0,0,0,0,11,8,22,0,0,0,0,0,0,0,6,6,0,0,5,0,0,0,0,7,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,6,0,0,0,0,3,6,20,15,38,58,64,122
1100817,0,3,7,8,8,21,3,4,4,0,0,0,10,12,23,7,10,13,0,0,0,0,0,0,8,10,21,0,0,0,0,0,0,3,0,5,4,3,5,0,0,0,5,4,12,0,3,3,0,0,0,0,0,0,3,0,3,0,0,0,3,6,4,0,0,0,0,3,3,0,0,0,0,3,3,3,4,8,35,36,75
1100818,0,0,3,8,16,28,0,0,0,0,0,0,14,16,27,14,3,16,0,0,0,0,0,0,14,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,3,0,6,8,11,36,34,68
1100819,3,5,7,14,17,26,7,3,13,0,3,7,26,23,44,17,9,23,10,3,18,3,5,5,28,18,45,0,0,4,0,0,4,3,0,3,0,0,0,0,0,0,6,9,12,3,8,8,3,0,3,0,0,0,3,7,11,0,0,0,12,15,23,0,0,0,0,0,0,0,0,0,0,3,3,8,7,16,72,78,151
1100820,3,0,7,13,9,20,3,0,5,3,0,3,16,12,26,9,7,19,3,5,9,0,0,0,11,15,30,0,0,3,0,0,0,3,0,3,0,3,4,0,0,0,3,7,8,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,10,7,19,52,45,91
1100821,0,0,0,17,9,21,14,5,21,0,0,0,26,17,44,9,21,26,3,9,13,7,0,5,13,28,41,0,3,3,0,0,0,5,3,3,0,0,0,0,0,0,5,3,9,0,6,9,3,0,3,0,0,0,0,3,3,0,0,0,7,9,18,0,0,0,0,0,0,0,0,0,0,0,0,20,21,44,71,84,154
1100822,0,0,0,4,9,14,0,7,9,0,0,0,10,16,22,4,8,10,5,3,8,0,0,0,9,7,22,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,3,3,7,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,10,11,17,37,47,84
1100823,3,3,3,11,8,24,4,0,4,0,3,3,10,15,27,9,3,13,0,0,0,0,0,0,9,8,18,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11,41,34,70
1100901,3,0,3,3,9,10,3,6,9,0,0,0,3,12,21,3,3,8,3,0,4,0,0,0,3,9,8,0,0,0,0,0,0,3,0,3,0,4,4,0,0,0,3,4,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,22,32,56
1100902,3,3,5,11,11,21,0,3,9,0,0,0,14,14,30,14,10,21,3,0,5,0,0,0,11,8,26,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,4,9,3,3,3,0,0,0,0,0,0,3,3,8,0,0,0,7,8,14,0,0,0,0,3,4,0,0,0,0,4,3,14,11,25,52,56,102
1100904,8,3,6,9,14,23,4,3,4,0,0,0,8,15,27,6,6,13,5,5,9,0,0,0,11,10,19,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,3,3,3,5,0,0,0,0,3,3,3,0,7,0,0,0,9,8,13,0,0,0,0,0,4,0,0,0,0,0,4,8,4,11,43,41,82
1100905,4,7,10,15,11,25,4,6,13,0,0,0,16,15,36,3,11,8,0,0,3,0,0,5,6,13,20,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,9,0,0,0,0,4,4,0,0,0,0,3,5,0,0,0,0,6,9,0,0,0,0,0,4,0,0,0,3,0,3,9,11,19,45,60,102
1100907,3,0,3,8,9,20,3,4,14,0,0,0,18,11,31,3,8,11,3,3,4,0,0,0,3,13,13,0,0,0,0,0,0,0,0,0,3,8,11,0,0,0,10,8,14,4,3,9,4,6,11,0,0,0,3,8,9,0,0,0,9,25,29,0,0,0,0,0,3,0,0,0,0,0,3,14,11,24,55,60,121
1100908,0,0,3,4,9,18,3,5,9,0,0,3,9,12,25,10,4,15,0,0,0,0,0,0,14,4,16,0,0,6,0,0,0,7,3,10,3,5,6,0,0,0,8,14,18,0,8,9,9,9,13,0,3,5,3,9,8,0,0,0,14,29,41,0,0,0,3,3,7,0,0,0,3,3,5,25,33,51,75,94,167
1100909,3,3,3,15,12,32,0,0,0,0,0,0,15,18,28,3,3,7,0,0,0,0,0,0,3,3,7,3,0,3,3,5,5,5,5,6,6,0,4,0,0,0,16,10,24,0,4,7,11,3,19,0,0,3,4,4,7,0,0,0,18,16,34,0,4,3,0,3,3,0,0,0,0,9,8,40,29,71,100,85,182
1100910,4,0,6,12,3,16,3,0,3,0,0,0,11,3,14,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,4,0,7,5,4,10,0,0,0,11,8,17,0,4,4,5,3,11,0,3,3,8,9,17,0,0,0,16,26,41,0,0,0,0,0,3,0,0,0,0,3,3,35,25,59,80,62,143
1100911,4,0,4,6,8,17,5,4,6,3,3,5,15,16,31,7,4,11,0,0,4,3,0,9,15,6,19,0,0,0,0,0,0,3,0,3,3,3,6,0,0,0,6,3,13,0,4,8,0,3,3,0,3,7,0,0,3,0,0,0,5,6,14,0,0,0,0,3,3,0,0,0,0,3,3,9,5,20,53,43,95
1100912,0,0,3,12,6,12,3,4,9,0,0,0,13,15,24,8,4,13,3,0,3,3,0,0,10,7,21,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,3,4,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,0,0,0,0,3,3,0,0,0,3,3,7,11,11,22,39,42,81
1100913,0,4,3,18,14,31,0,4,3,3,9,11,24,28,56,21,10,34,3,3,7,0,0,0,25,18,43,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,8,3,4,3,9,16,0,3,3,0,0,0,10,4,7,0,0,0,9,13,26,0,0,0,0,6,6,0,0,0,0,6,6,19,17,37,89,80,169
1100914,8,0,7,5,10,20,3,8,11,0,0,0,13,19,29,10,3,10,5,6,10,0,0,0,12,6,18,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,6,0,10,8,6,13,0,0,3,0,0,0,3,5,10,0,0,0,7,14,24,0,0,0,0,0,3,0,0,0,0,0,3,23,11,31,67,61,121
1100915,5,8,13,7,17,32,3,3,8,3,0,3,16,21,39,17,10,24,5,0,4,0,0,0,15,11,27,5,0,5,0,3,3,0,0,0,7,11,13,0,0,0,8,12,24,3,4,3,4,4,6,0,0,0,8,9,11,0,0,0,16,11,27,0,3,3,0,0,0,0,0,0,0,3,3,24,20,49,89,91,184
1100916,13,0,13,7,17,25,6,0,7,0,0,0,8,20,31,10,8,20,3,0,5,0,0,0,9,9,21,0,0,0,0,3,3,0,3,3,0,4,7,0,0,0,3,13,15,0,4,3,3,3,3,0,0,0,3,8,8,0,0,0,7,12,19,0,0,0,0,0,0,0,0,0,0,0,0,15,21,35,55,73,130
1100917,3,0,3,0,6,6,3,0,3,0,0,0,4,6,4,0,0,3,0,0,0,0,3,3,0,3,6,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,4,0,0,0,0,3,3,0,0,0,0,3,3,13,9,19,23,24,50
1100918,4,3,4,5,9,16,0,8,7,0,0,0,8,15,22,3,4,13,3,3,3,0,0,0,8,7,17,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,6,10,5,4,9,0,3,3,0,0,0,0,9,10,0,0,0,6,18,28,0,0,0,0,3,3,0,0,0,0,3,3,11,26,38,41,79,128
1100919,3,8,12,5,4,11,6,3,10,0,0,0,15,7,18,7,6,13,3,4,10,0,0,0,8,11,20,0,3,3,0,0,0,5,0,5,3,3,4,0,0,0,9,5,15,3,4,6,3,5,3,0,0,0,0,5,8,0,0,0,10,14,18,0,4,4,0,0,4,0,0,0,0,3,4,38,41,79,89,85,170
1100920,3,0,3,5,3,5,0,0,0,0,0,0,8,3,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,3,4,0,0,0,0,0,0,3,6,11,3,5,3,4,4,9,0,0,0,0,0,4,0,0,0,5,9,11,0,0,0,0,0,0,0,0,0,0,0,0,16,18,29,39,33,70
1100921,0,0,3,7,11,19,3,0,3,0,0,0,15,12,23,4,5,14,0,0,0,0,0,0,4,6,16,0,0,0,0,0,3,0,0,0,3,5,8,0,0,0,5,6,10,3,6,9,0,11,9,0,0,3,0,3,3,0,0,0,8,18,29,0,0,0,3,0,4,0,0,0,3,0,4,18,14,29,51,66,119
1100923,7,4,9,19,18,32,0,3,4,0,0,0,16,23,36,16,8,18,5,3,7,0,0,0,23,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,3,11,0,0,0,8,12,14,0,0,0,3,0,3,0,0,0,3,0,3,11,10,24,68,55,122
1100924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,6,0,6
1100925,3,0,4,3,10,9,4,3,7,0,0,3,5,9,22,3,7,12,0,3,3,0,0,0,6,11,11,0,0,3,0,0,0,0,0,5,0,0,3,0,0,0,6,6,9,0,3,9,0,4,7,0,3,3,6,4,12,0,0,0,13,16,27,0,0,0,0,3,3,0,0,0,0,3,3,29,24,53,65,70,133
1100926,0,0,0,3,0,4,0,0,0,0,0,0,3,3,3,3,4,3,0,0,0,0,0,0,3,7,5,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,8,9,5,0,4,3,0,3,0,0,0,3,0,7,12,11,25,26,27,53
1100927,7,5,12,17,7,27,3,3,4,3,0,3,20,15,35,4,3,7,4,0,4,0,0,0,10,3,13,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,7,7,0,0,0,3,4,4,0,0,0,0,3,5,0,0,0,0,9,13,0,0,0,0,0,0,0,0,0,0,0,0,11,11,14,47,48,95
1100928,3,3,4,10,9,12,5,3,4,0,0,0,13,6,25,4,0,6,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,3,3,3,6,0,0,0,6,8,11,0,0,3,0,0,3,0,0,0,0,5,5,0,0,0,3,4,12,0,0,0,0,0,0,0,0,0,0,0,0,11,10,15,39,35,71
1100929,0,0,0,3,17,17,0,0,0,0,0,0,6,17,17,8,3,10,0,0,3,0,0,0,10,10,19,0,0,0,3,0,3,0,0,0,3,3,5,0,0,0,10,5,16,0,3,3,0,0,0,0,0,0,3,5,13,0,0,0,6,14,18,0,0,0,0,0,0,0,0,0,0,0,0,22,21,43,47,67,113
1101001,0,0,0,3,4,10,0,0,0,0,0,0,3,4,10,0,0,3,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,18,21,41
1101002,7,3,9,5,12,16,10,3,15,0,0,0,19,14,33,4,5,13,8,9,16,0,3,7,17,22,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,15,0,0,0,3,3,3,9,6,9,0,0,0,13,13,30,0,0,0,0,0,0,0,0,0,0,0,3,5,6,11,58,58,112
1101003,0,0,0,0,0,0,10,7,14,3,0,3,13,13,21,7,6,10,4,4,15,0,5,5,15,15,25,0,0,0,0,0,0,0,3,6,0,3,3,0,0,0,0,6,3,7,3,5,0,3,3,0,0,0,3,4,3,0,0,0,3,7,13,0,0,3,0,0,0,0,0,0,3,0,6,12,12,28,49,49,95
1101004,6,0,5,10,8,19,3,10,12,0,0,4,11,19,29,18,4,25,4,3,4,0,0,0,16,8,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,4,7,0,4,0,0,3,3,7,10,0,0,0,6,13,16,0,0,0,0,0,0,0,0,0,0,0,0,8,8,12,53,46,105
1101006,7,3,9,11,9,11,5,0,4,0,0,0,16,10,19,0,0,0,0,5,4,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,4,4,10,0,4,6,4,3,5,0,0,0,4,8,14,0,0,0,13,20,31,0,0,0,0,3,3,0,0,0,0,4,4,39,24,62,77,61,133
1101007,0,0,0,12,5,14,0,0,3,0,0,0,15,4,19,0,0,7,0,0,0,0,0,3,4,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,4,3,5,0,0,0,3,0,3,0,0,0,9,3,15,0,0,0,0,0,0,0,0,0,0,0,0,18,11,31,42,26,70
