SA1_7DIGITCODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
1100801,0,7,15,7,11,0,3,0,0,40,0,0,14,20,8,5,0,0,0,44,0,0,7,10,3,7,0,0,0,23,0,0,0,5,3,7,0,0,0,16,0,0,3,5,5,3,0,0,0,21,0,0,0,0,0,0,0,0,0,4,3,0,0,3,4,0,0,0,0,15,22,29,61,57,59,33,20,14,3,303
1100802,0,5,11,3,9,14,4,3,0,42,0,0,9,7,13,8,3,0,0,48,0,0,4,7,13,9,6,0,0,35,0,0,4,10,3,6,0,0,0,22,0,0,9,12,14,5,0,0,0,43,0,0,0,0,4,0,0,0,0,6,0,0,0,7,3,5,5,7,0,30,33,27,67,72,74,89,80,31,4,474
1100803,0,3,10,3,11,3,0,0,0,28,0,0,3,4,3,3,0,0,0,18,0,0,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,3,6,0,3,4,7,0,31,34,30,50,50,58,30,27,15,7,296
1100804,0,6,8,7,3,8,0,0,0,30,0,0,3,11,3,0,0,0,0,16,0,0,0,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,7,3,5,11,6,8,4,8,4,57,25,25,60,58,42,47,43,20,3,329
1100805,0,0,0,0,3,8,0,0,0,11,0,0,3,3,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,3,0,11,16,16,40,28,23,29,17,10,0,170
1100806,0,3,11,3,6,14,0,3,0,44,0,0,9,3,0,9,3,0,0,29,0,0,3,4,3,4,0,0,0,16,0,0,3,3,0,4,0,0,0,13,0,0,3,4,4,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,7,0,3,0,3,0,0,17,23,15,56,43,44,76,38,18,8,312
1100807,0,9,12,7,7,3,0,0,0,37,0,0,10,7,9,5,0,0,0,23,0,0,3,3,11,0,3,0,0,19,0,0,0,3,3,0,0,0,0,11,0,0,3,4,4,0,3,0,0,21,0,0,0,0,0,0,0,0,0,3,7,0,3,3,0,4,3,0,0,30,31,31,66,56,59,46,51,18,10,370
1100808,0,4,11,8,14,3,3,0,0,41,0,0,9,4,18,4,0,0,0,30,0,0,7,3,8,5,0,0,0,21,0,0,3,6,3,0,0,0,0,13,0,0,0,6,6,5,0,0,0,20,0,0,0,0,3,0,0,0,0,3,3,0,8,3,4,0,3,3,0,19,41,39,75,71,73,51,44,24,3,414
1100809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100810,0,4,7,4,0,6,0,0,0,21,0,0,6,3,9,3,0,0,0,20,0,0,8,0,7,3,0,0,0,15,0,0,0,4,0,5,0,0,0,12,0,0,0,0,9,4,0,0,0,17,0,0,0,0,5,5,0,0,0,8,0,0,3,0,0,3,0,0,0,10,25,26,33,25,47,42,16,8,3,221
1100811,0,0,10,3,3,4,6,0,0,25,0,0,7,5,3,10,0,0,0,27,0,0,6,6,3,0,0,0,0,12,0,0,0,5,0,0,0,0,0,9,0,0,0,7,8,3,0,0,0,16,0,0,3,0,0,3,0,0,0,3,5,0,0,0,3,3,3,3,3,29,26,14,47,49,38,40,44,16,13,285
1100812,0,4,8,3,0,3,0,0,0,13,0,0,3,3,3,3,0,0,0,19,0,0,10,9,3,5,0,0,0,22,0,0,3,3,5,0,0,0,0,12,0,0,3,7,14,3,0,0,0,34,0,0,0,3,3,3,0,0,0,6,0,4,3,0,3,0,3,0,0,18,19,18,36,36,42,32,5,0,0,197
1100813,0,3,11,0,8,11,0,0,0,36,0,0,5,5,11,7,0,0,0,34,0,0,3,3,11,3,0,0,0,24,0,0,3,4,10,0,0,0,0,19,0,0,7,15,10,7,0,0,0,43,0,0,0,0,3,3,0,0,0,9,9,3,3,5,4,0,0,3,0,22,45,28,49,65,90,51,13,12,0,353
1100814,0,4,11,12,14,15,3,0,0,48,0,7,6,11,13,15,4,0,0,51,0,0,6,8,10,5,0,0,0,27,0,0,3,5,4,6,0,0,0,22,0,0,4,5,10,10,0,0,0,31,0,0,0,0,3,0,0,0,0,7,0,0,0,0,3,3,0,0,3,16,28,28,66,56,84,96,35,11,3,413
1100815,0,4,17,3,9,10,0,0,0,40,0,0,3,8,6,3,0,0,0,22,0,0,6,10,0,0,0,0,0,22,0,0,10,5,0,3,0,0,0,16,0,0,4,3,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,4,5,6,3,12,3,3,3,0,35,28,34,89,53,56,43,42,21,5,382
1100816,0,0,3,3,3,3,0,0,0,20,0,0,3,6,3,3,0,0,0,20,0,0,0,0,4,5,0,0,0,9,0,0,4,0,0,0,0,0,0,4,0,0,6,5,0,3,0,0,0,16,0,0,0,3,3,0,0,0,0,3,0,0,3,6,0,3,3,4,0,26,15,22,54,69,58,66,23,29,6,328
1100817,0,0,5,11,3,6,0,0,0,23,0,0,3,11,10,3,0,0,0,21,0,0,0,0,4,0,0,0,0,12,0,0,0,3,4,0,0,0,0,8,0,0,3,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,11,19,25,38,40,39,30,29,12,9,234
1100818,0,3,7,4,5,0,0,0,0,17,0,0,3,0,0,3,0,0,0,14,0,0,3,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,9,0,0,0,7,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,14,19,16,36,37,21,28,25,11,7,214
1100819,3,4,6,3,11,5,0,0,0,37,0,5,8,14,10,3,0,0,0,35,0,0,3,9,7,7,0,0,0,33,0,0,10,4,3,3,3,0,0,24,0,0,6,12,17,4,0,0,0,44,0,0,0,0,3,3,0,0,0,8,4,3,0,3,0,5,0,0,0,13,37,34,46,71,85,61,29,4,3,372
1100820,0,4,8,3,4,7,3,0,0,24,0,0,8,8,0,8,0,0,0,24,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,6,4,0,0,0,0,11,0,0,0,0,4,3,0,0,0,3,3,0,3,0,8,0,0,0,0,22,28,10,39,29,39,43,27,15,0,229
1100821,0,4,4,5,3,10,3,0,0,30,0,0,4,5,10,11,0,0,0,36,0,0,6,13,10,0,3,0,0,31,0,0,4,6,10,0,3,0,0,21,0,0,0,12,14,3,0,0,0,21,0,0,0,0,5,6,0,0,0,17,3,4,3,5,9,3,7,0,0,27,48,33,30,71,85,54,45,10,0,375
1100822,0,3,6,3,0,9,0,0,0,25,0,0,7,5,6,0,0,0,0,11,0,0,4,6,0,3,0,0,0,21,0,0,0,0,6,5,0,0,0,11,0,0,0,3,3,6,0,0,0,10,0,0,0,0,5,3,0,0,0,8,0,0,0,3,0,0,0,3,0,13,17,8,20,36,41,33,16,13,0,187
1100823,0,0,3,6,4,0,0,0,0,17,0,0,3,3,4,4,0,0,0,14,0,0,0,4,4,0,0,0,0,9,0,0,3,0,3,3,0,0,0,13,0,0,3,3,10,3,0,0,0,15,0,0,0,0,0,3,0,0,0,5,0,0,3,3,0,3,0,0,0,13,7,18,20,29,39,24,11,0,0,150
1100901,0,0,0,5,11,7,0,0,0,24,0,0,0,5,0,3,0,0,0,16,0,0,3,0,3,4,0,0,0,15,0,0,4,4,0,0,0,0,0,12,0,3,3,5,3,3,0,0,0,15,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,0,3,0,0,15,8,12,23,37,27,34,20,11,5,182
1100902,0,0,3,5,11,3,6,0,0,36,0,0,0,3,3,4,4,0,0,20,0,0,0,6,9,3,0,0,0,21,0,0,4,3,0,0,0,0,0,14,0,0,0,10,6,4,3,0,0,22,0,0,0,0,0,3,0,3,0,7,0,0,4,0,3,4,3,0,0,20,19,6,29,56,51,50,39,17,4,279
1100904,0,0,11,5,5,3,8,0,0,36,0,0,0,4,3,3,0,0,0,19,0,3,3,7,13,3,0,0,0,27,0,0,3,5,0,0,3,0,0,12,0,0,6,13,7,0,0,0,0,26,0,0,0,0,0,3,0,0,0,3,0,0,3,0,3,0,9,5,0,18,16,17,43,47,51,35,55,25,4,293
1100905,0,6,9,0,9,8,0,0,0,33,0,0,5,10,0,10,0,0,0,24,0,0,3,3,8,0,0,0,0,24,0,0,6,7,0,0,0,0,0,20,0,0,0,6,11,3,0,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,4,4,4,9,4,3,0,28,16,16,46,44,68,54,43,34,9,338
1100907,0,3,18,14,13,7,0,0,0,53,0,0,11,11,3,9,6,0,0,38,0,0,7,3,7,3,0,0,0,27,0,0,3,3,0,5,0,0,0,11,0,0,4,3,6,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,14,5,3,7,0,0,0,33,22,35,117,76,53,51,17,9,7,391
1100908,0,7,14,18,12,5,3,0,0,64,0,3,17,12,8,0,0,0,0,42,0,0,16,6,6,4,3,0,0,40,0,0,3,3,3,3,0,0,0,18,0,0,3,7,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,4,3,13,14,8,3,9,0,0,48,14,52,127,101,67,40,35,12,0,451
1100909,0,0,19,14,7,5,0,0,0,48,0,4,20,4,8,0,0,0,0,35,0,0,5,11,12,0,0,0,0,23,0,0,3,5,0,3,0,0,0,17,0,0,9,4,6,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,3,20,15,6,3,0,0,0,58,20,54,182,108,63,42,24,7,4,505
1100910,0,3,19,12,15,6,0,0,0,51,0,7,15,11,0,11,0,0,0,48,0,0,11,6,3,3,0,0,0,24,0,0,10,7,3,3,0,0,0,17,0,0,7,5,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,6,28,9,4,11,3,0,0,58,5,42,158,70,64,61,30,8,5,445
1100911,0,5,9,7,5,3,0,0,0,30,0,4,7,10,10,5,0,0,0,32,0,0,11,3,8,0,0,0,0,26,0,0,0,3,0,3,0,0,0,10,0,0,5,3,7,4,0,0,0,13,0,0,0,0,0,0,0,0,0,6,0,3,11,0,3,0,0,3,3,27,16,28,79,54,49,45,16,24,19,332
1100912,0,3,3,7,3,3,0,0,0,24,0,3,3,3,3,3,0,0,0,16,0,0,4,5,3,3,0,0,0,16,0,0,0,4,0,0,0,0,0,9,0,0,0,3,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,3,3,19,14,13,31,39,26,38,28,27,11,227
1100913,0,0,9,3,18,16,9,0,0,51,0,0,12,5,14,5,3,0,0,40,0,0,10,11,15,7,0,0,0,43,0,0,3,9,10,8,0,0,0,26,0,0,7,15,14,7,3,0,0,37,0,0,0,3,5,4,0,0,0,11,4,0,4,0,11,0,10,3,0,36,43,34,69,64,101,82,65,26,11,499
1100914,0,0,11,9,7,6,3,0,0,36,0,0,12,8,5,0,0,0,0,24,0,0,8,6,3,11,0,0,0,33,0,0,7,4,0,0,0,0,0,15,0,0,3,10,3,3,0,0,0,20,0,0,4,3,3,0,0,0,0,7,0,3,7,3,0,3,7,4,0,29,22,21,68,59,61,59,36,31,7,363
1100915,0,3,31,22,7,11,0,0,0,70,0,6,7,11,6,9,0,0,0,40,0,0,7,14,12,7,0,0,0,43,0,0,5,7,7,3,0,0,0,19,0,0,8,7,8,0,0,0,0,27,0,0,0,3,3,0,0,0,0,3,0,0,8,7,18,3,0,5,0,51,23,39,156,130,111,82,45,24,10,622
1100916,0,3,18,9,11,0,0,0,0,44,0,3,14,3,3,5,0,0,0,30,0,0,14,6,6,3,0,0,0,29,0,0,8,5,4,0,0,0,0,14,0,0,6,11,11,3,0,0,0,36,0,0,4,0,3,0,0,0,0,9,3,3,14,3,3,0,3,0,0,35,31,29,106,57,82,42,29,14,3,391
1100917,0,3,9,0,5,4,0,0,3,21,0,0,3,3,3,3,0,0,0,8,0,0,3,0,0,3,0,0,0,11,0,0,3,3,3,0,0,0,0,10,0,0,3,3,0,3,0,0,0,11,0,0,0,0,0,3,3,0,0,5,0,0,5,3,9,3,0,6,0,27,0,7,35,23,47,38,25,22,3,203
1100918,0,0,8,13,3,3,3,3,3,37,0,0,11,4,3,5,0,0,0,30,0,0,14,3,5,7,0,0,0,34,0,0,0,11,3,8,3,0,0,28,0,0,4,9,12,3,0,0,0,23,0,0,0,3,0,0,0,0,0,4,3,4,4,0,0,6,11,11,10,40,25,26,66,64,54,60,47,57,61,459
1100919,0,3,12,13,7,0,0,0,0,39,0,0,14,0,9,5,0,0,0,34,0,0,9,11,3,5,0,0,0,32,0,0,7,0,9,0,0,0,0,17,0,0,3,10,15,4,4,0,0,28,0,0,0,3,6,0,3,0,0,8,3,3,30,13,7,4,7,3,0,81,29,36,131,72,69,40,37,26,12,440
1100920,0,3,12,3,5,0,0,0,0,28,0,0,3,0,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,7,0,0,0,3,0,0,3,0,0,9,0,0,0,4,3,0,0,0,0,8,3,3,9,3,0,10,28,34,56,147,11,29,81,41,27,40,53,40,58,369
1100921,0,8,21,3,5,8,0,0,0,51,0,3,7,6,8,3,0,0,0,34,0,3,15,4,9,6,0,0,0,36,0,0,6,3,3,0,0,0,0,15,0,0,3,0,3,3,0,0,0,7,0,0,3,0,0,0,0,0,0,10,3,3,14,9,0,0,0,0,0,29,17,48,146,55,45,37,19,13,3,374
1100923,0,4,3,6,11,0,3,0,0,25,0,0,11,11,9,4,0,0,0,29,0,0,12,3,3,4,0,0,0,23,0,0,6,5,0,4,0,0,0,19,0,0,4,13,8,0,0,0,0,29,0,0,0,0,0,0,0,0,0,5,0,3,7,3,0,0,3,3,4,23,24,32,65,65,54,34,41,24,16,351
1100924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,3,4,0,0,6,3,0,0,12
1100925,0,12,23,8,3,3,3,0,0,50,0,3,21,9,3,3,0,0,0,43,0,3,9,9,4,0,0,0,0,23,0,0,6,6,0,0,0,0,0,17,0,0,8,13,10,3,0,0,0,28,0,0,0,0,0,3,0,0,0,3,0,11,23,9,3,5,5,0,0,54,13,65,147,77,44,38,13,12,7,417
1100926,0,4,13,0,5,0,0,0,0,21,0,0,5,4,6,3,0,0,0,20,0,0,6,0,0,3,0,0,0,11,0,0,0,0,3,3,0,0,0,7,0,0,0,3,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,3,3,0,0,18,12,25,82,36,37,23,14,0,0,229
1100927,0,0,5,4,0,7,0,0,0,16,0,0,4,9,3,0,0,0,0,19,0,0,8,10,3,3,0,0,0,22,0,0,0,3,3,0,0,0,0,8,0,0,9,10,6,0,0,0,0,24,0,0,6,3,0,3,0,0,0,12,0,0,3,0,0,0,0,3,0,13,6,9,47,62,30,22,15,17,3,214
1100928,0,8,11,3,7,7,0,0,0,30,0,3,12,6,3,3,0,0,0,24,0,0,6,6,4,0,0,0,0,28,0,0,0,6,5,3,0,0,0,14,0,0,5,4,5,3,0,0,0,17,0,0,0,0,3,0,0,0,0,3,0,0,4,3,4,3,0,3,0,20,8,32,66,52,57,48,33,13,4,303
1100929,0,0,15,8,10,6,0,0,0,41,0,4,14,7,9,0,0,0,0,33,0,0,11,6,7,3,0,0,0,23,0,0,9,4,3,0,0,0,0,17,0,0,3,6,8,4,0,0,0,21,0,0,7,3,0,0,0,0,0,11,3,3,14,8,9,6,24,24,47,128,18,41,114,59,60,45,47,30,61,477
1101001,0,0,3,0,0,3,0,0,0,5,0,0,3,8,0,0,0,0,0,17,0,0,3,0,0,0,0,0,0,4,0,0,3,3,5,0,0,0,0,4,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,9,7,25,16,20,13,10,8,11,126
1101002,0,0,7,4,14,10,5,0,0,42,0,0,3,3,0,3,0,0,0,14,0,0,3,4,6,3,0,0,0,25,0,0,0,4,3,8,0,0,0,17,0,0,0,15,11,7,0,0,0,36,0,0,3,4,13,13,0,0,0,34,0,0,0,3,3,0,0,0,0,11,28,23,26,45,57,66,38,12,3,302
1101003,0,4,0,0,4,8,3,0,0,23,0,0,11,3,5,3,0,0,0,22,0,0,0,3,3,0,0,0,0,17,0,0,0,4,0,0,4,0,0,10,0,0,0,3,18,5,0,0,0,28,0,0,0,0,9,11,3,0,0,23,0,4,0,3,7,3,3,5,0,19,33,25,16,29,72,53,49,12,0,285
1101004,0,0,10,5,4,6,0,0,0,25,0,0,13,9,4,4,0,0,0,30,0,0,4,12,3,3,0,0,0,26,0,0,3,3,3,0,0,0,0,12,0,0,4,10,5,3,0,0,0,26,0,0,0,0,4,0,0,0,0,3,0,0,0,4,0,3,0,0,0,10,21,17,41,59,42,26,18,5,0,226
1101006,0,4,18,10,9,9,0,0,0,43,0,3,8,3,6,3,0,0,0,22,0,0,12,8,5,3,0,0,0,27,0,0,0,0,3,5,0,0,0,9,0,0,6,3,3,3,0,0,0,12,0,0,3,0,0,3,0,0,0,4,0,4,23,9,6,14,3,0,0,61,10,32,134,65,75,63,18,13,4,422
1101007,0,3,7,8,3,5,0,0,0,25,0,0,5,0,6,4,0,0,0,18,0,0,4,8,0,4,0,0,0,18,0,0,0,3,3,4,0,0,0,10,0,0,0,3,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,4,9,3,0,0,0,0,25,9,21,60,44,36,26,13,9,0,225
1101008,0,4,19,7,3,6,0,0,0,45,0,4,14,6,4,6,0,0,0,39,0,0,3,5,0,0,0,0,0,7,0,0,0,3,4,0,0,0,0,6,0,0,4,3,4,0,0,0,0,18,0,0,0,0,3,0,0,0,0,7,3,3,7,4,11,4,0,6,0,37,21,35,113,60,71,49,34,23,3,393
1101009,0,9,14,3,3,3,0,0,0,30,0,0,9,3,8,3,0,0,0,23,0,0,6,0,8,3,0,0,0,19,0,0,3,3,5,3,0,0,0,13,0,0,4,0,6,8,0,0,0,28,0,0,0,0,4,4,0,0,0,14,0,0,9,3,3,0,0,4,0,15,21,30,74,28,59,52,26,17,6,309
1101010,0,8,13,8,3,3,0,0,0,41,0,3,18,5,3,3,0,0,0,40,0,0,12,10,4,0,0,0,0,27,0,0,5,0,3,4,0,0,0,13,0,0,7,11,3,0,0,0,0,18,0,0,0,3,0,0,0,0,0,0,0,0,5,4,4,3,0,0,0,16,11,38,110,55,36,41,17,6,6,330
1101011,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,5,0,3,0,3,5,3,0,0,0,16
1101012,0,0,7,3,0,0,0,0,0,12,0,0,4,4,3,0,0,0,0,9,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,22,19,10,6,0,0,0,74
