SA1_7DIGITCODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
1100928,0,6,0,0,0,9,0,0,19,3,11,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,6,55,8,42,0,128
1100929,0,10,0,3,0,16,0,0,8,0,9,0,18,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,6,38,25,50,3,128
1101001,0,3,0,3,0,7,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,10,21,0,52
1101002,3,9,0,3,0,24,4,0,3,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,4,0,7,3,0,3,0,0,6,13,29,9,57,25,41,5,168
1101003,0,8,0,0,0,12,3,0,6,0,0,0,11,0,0,3,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,16,5,37,13,36,5,108
1101004,0,5,4,0,0,16,0,0,9,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,9,10,35,25,38,0,111
1101006,0,3,0,0,0,11,0,0,9,3,4,0,27,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,3,0,6,20,7,41,21,57,4,154
1101007,0,3,0,0,0,3,0,0,4,3,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,9,4,33,23,34,0,96
1101008,3,4,0,0,0,7,5,3,7,3,0,0,21,0,0,0,0,0,0,3,0,0,0,0,9,0,11,0,0,0,0,3,3,9,23,7,39,30,51,9,151
1101009,0,0,0,0,0,5,0,0,4,8,3,0,17,0,0,0,0,3,0,3,0,0,0,0,4,0,3,0,0,0,0,9,0,8,7,7,32,27,53,3,124
1101010,0,11,0,0,0,16,0,0,6,0,11,3,19,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,3,5,0,10,12,0,43,32,59,10,149
1101011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,7
1101012,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,8,3,14,0,38
1101013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1101014,0,6,0,3,0,8,0,0,3,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,3,13,3,23,9,12,6,65
1101015,0,7,4,4,0,18,11,0,18,5,3,0,42,0,0,0,0,3,0,5,0,0,0,0,0,0,6,0,0,3,0,3,0,6,47,3,73,32,74,6,233
1101016,0,3,0,4,0,9,3,0,9,7,0,0,21,0,0,0,0,0,0,0,3,0,0,3,3,0,11,0,0,0,0,3,0,6,17,10,35,44,54,7,165
1101017,0,7,0,3,0,7,0,0,7,3,8,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,4,9,8,43,19,60,8,141
1101101,0,15,7,0,0,24,0,3,11,10,6,0,31,0,0,0,0,0,0,3,0,0,0,0,11,0,12,0,0,4,0,0,0,4,28,19,63,56,90,3,258
1101102,0,3,0,0,0,4,0,0,6,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,5,0,8,14,5,32,23,23,3,104
1101103,0,5,3,3,0,11,4,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,3,17,8,30,22,47,5,126
1101104,0,0,0,3,0,7,0,0,3,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,6,3,17,23,48,8,111
1101105,0,4,5,3,0,12,3,4,4,6,0,0,19,0,0,0,0,0,0,3,0,0,0,0,3,0,3,4,0,0,0,4,0,8,32,14,39,31,64,7,173
1101106,0,4,0,0,0,13,3,0,8,0,5,0,10,0,0,0,0,0,0,4,0,0,0,0,6,0,7,0,0,0,0,3,0,3,24,3,31,17,45,4,121
1101107,0,0,0,8,0,8,0,0,0,3,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,6,14,8,20,24,41,10,118
1101108,3,5,0,3,0,14,0,0,3,3,6,0,17,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,0,0,0,3,0,3,8,5,23,19,69,6,134
1101109,4,3,3,0,0,11,0,4,7,6,4,0,18,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,11,37,21,16,4,103
1101110,0,0,0,0,0,8,0,4,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,11,9,10,6,27,3,64
1101111,4,4,3,0,0,19,4,4,4,0,3,3,19,0,0,0,0,0,0,0,3,0,3,0,4,0,9,0,0,0,0,0,0,4,23,12,45,31,51,12,176
1101112,0,3,0,0,0,3,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,3,7,20,25,24,0,82
1101113,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,16,0,51
1101115,0,0,0,7,0,7,0,0,7,0,3,0,10,0,0,0,0,0,0,0,0,0,0,3,5,0,5,0,0,0,0,0,4,6,11,5,29,26,53,6,130
1101116,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,6,13,7,17,17,41,3,96
1101117,0,4,0,0,0,6,0,0,3,3,3,0,13,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,6,0,4,6,5,23,12,55,3,101
1101118,3,6,0,3,0,11,0,0,5,4,3,0,11,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,6,0,8,8,3,27,20,60,7,131
1101119,0,5,0,0,0,9,3,0,3,0,0,0,14,0,3,0,0,3,0,5,0,0,3,0,0,0,8,0,0,0,0,0,0,5,11,7,33,13,42,5,123
1101120,0,4,4,3,3,20,0,0,8,3,0,0,16,0,0,0,0,0,0,0,0,0,0,6,7,0,9,0,0,0,0,3,0,3,17,6,46,45,57,10,181
1101122,3,6,0,3,0,10,0,0,5,0,0,3,6,0,0,0,0,0,0,0,0,0,0,7,3,0,12,0,0,0,0,3,0,4,11,4,33,17,30,3,94
1101123,0,0,0,0,0,7,0,0,7,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,14,11,23,3,68
1101125,3,3,4,3,0,25,0,3,12,4,5,0,25,0,0,0,0,0,0,0,0,0,3,3,6,0,15,0,0,0,0,5,0,12,17,14,49,32,100,4,216
1101126,0,10,3,3,0,22,0,0,3,0,3,0,6,0,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,0,0,3,0,5,32,8,39,34,60,3,172
1101127,0,0,3,4,0,15,0,0,7,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,5,3,8,14,6,33,28,54,11,136
1101128,0,3,3,0,0,7,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,19,19,51,3,101
1101129,0,6,3,6,0,16,0,0,8,3,3,0,14,0,0,0,0,0,0,0,0,0,4,0,3,0,8,0,0,0,0,3,0,4,8,4,47,21,62,3,152
1101130,6,8,3,0,0,25,3,0,11,0,3,0,18,0,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,3,0,3,41,22,81,31,54,10,240
1101131,0,4,0,0,0,12,0,0,6,3,3,0,15,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,4,26,19,15,0,92
1101132,3,10,0,5,3,13,0,0,3,5,0,0,10,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,41,11,25,9,108
1101133,0,9,0,0,3,12,4,0,9,0,0,0,14,3,0,0,0,0,0,3,0,0,0,0,4,0,7,3,0,0,0,3,0,6,20,8,46,12,29,3,126
1101134,0,5,0,0,0,7,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,3,0,3,18,4,33,16,24,5,97
1101135,3,4,3,3,0,13,4,0,4,3,0,0,10,0,0,0,0,0,0,3,0,0,0,0,9,0,9,0,0,0,0,3,0,3,27,7,43,26,47,0,145
1101136,3,3,3,0,0,12,4,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,13,22,12,33,24,39,10,133
1101137,0,3,6,0,0,12,3,0,10,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,23,7,46,24,45,4,148
1101139,0,3,0,0,0,5,0,3,7,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,5,31,17,30,0,93
1101140,3,7,5,3,0,26,3,0,3,3,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,23,7,46,20,27,3,132
1101141,0,3,3,5,0,18,3,3,3,0,6,3,23,0,0,0,0,4,0,6,0,0,0,0,3,0,6,0,0,0,0,3,0,3,17,9,40,32,96,18,209
1101142,0,3,0,0,0,10,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,15,4,24,29,35,3,113
1101143,3,3,0,0,0,6,3,4,5,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,3,7,4,32,20,27,5,103
1101144,3,3,0,0,0,13,0,3,9,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,6,33,24,29,0,96
1101145,0,3,5,3,0,16,0,3,4,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,3,3,7,24,7,33,39,71,12,186
1101146,4,3,6,0,0,15,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,5,19,8,14,26,38,3,112
1101147,3,5,0,0,0,14,0,0,6,6,3,0,16,0,0,3,0,0,0,3,0,0,0,0,5,0,9,0,0,0,0,0,0,0,12,9,54,39,60,0,169
1101148,3,3,0,3,0,14,3,0,13,10,0,0,22,0,0,0,0,0,0,3,0,0,0,0,3,0,5,0,0,0,0,3,0,3,21,8,56,31,40,0,155
1101149,3,9,0,0,0,13,0,7,8,0,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,43,29,42,5,136
1101150,0,10,0,0,0,16,6,0,7,9,5,0,21,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,5,0,10,0,14,18,5,34,26,51,3,131
1101151,0,0,0,0,0,3,4,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,4,10,3,20,9,12,0,52
1101152,4,12,0,0,0,16,3,0,3,5,0,0,18,0,0,0,0,0,0,0,0,0,0,0,8,0,8,3,0,0,0,7,0,7,23,19,34,36,58,5,178
1101201,0,7,3,0,0,3,0,0,4,0,3,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,8,4,24,23,25,0,79
1101202,0,10,4,0,0,14,3,0,8,0,4,0,13,0,0,0,0,0,0,4,0,0,0,3,0,0,8,0,0,0,0,0,0,3,15,4,36,25,41,3,130
1101203,0,7,0,4,0,22,0,6,3,3,3,0,12,0,0,3,0,0,0,4,0,0,0,3,0,0,7,0,0,4,0,3,0,6,49,12,64,42,60,0,227
1101204,0,0,0,0,0,4,4,0,9,4,3,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,3,30,5,36,34,41,5,148
1101205,3,4,0,5,0,11,3,0,3,4,3,0,16,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,20,13,40,27,35,6,140
1101206,3,5,6,0,0,15,6,0,3,5,0,0,15,0,0,0,0,0,0,0,0,0,3,3,3,0,9,0,0,0,0,0,0,9,49,12,39,28,35,8,169
1101207,0,0,3,3,0,8,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,7,3,14,12,44,5,82
1101208,0,5,3,3,0,12,0,3,3,7,4,0,18,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,3,0,3,10,4,25,25,56,3,129
1101209,4,4,3,3,0,18,7,3,7,6,11,0,27,0,0,3,0,0,0,3,0,0,3,0,11,0,10,0,0,0,5,3,3,8,41,17,68,61,92,11,287
1101210,4,13,3,3,0,21,0,4,4,4,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,16,17,63,23,56,3,173
1101211,3,11,0,0,0,20,4,0,11,3,3,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,50,17,73,35,56,3,230
1101212,3,7,0,0,0,16,0,0,3,3,3,0,12,0,0,0,0,0,0,4,0,0,3,0,0,0,6,0,0,0,0,0,0,4,22,8,31,27,41,0,133
1101213,4,3,4,0,0,17,0,3,8,8,3,0,20,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,17,15,56,46,65,3,207
1101214,4,6,3,0,0,16,0,3,7,3,0,0,19,0,0,0,0,0,0,0,0,0,3,0,4,0,11,0,0,0,0,8,0,7,31,13,55,42,61,7,213
1101215,5,6,0,0,0,13,0,0,4,5,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,3,0,0,6,21,15,52,45,44,3,180
1101216,3,3,0,5,0,13,5,3,9,0,3,0,14,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,4,0,9,23,18,29,26,39,0,137
1101217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10
1101218,4,16,0,3,0,27,0,0,4,5,3,0,15,0,0,0,0,3,0,3,0,0,0,0,5,0,10,0,0,0,0,3,0,4,21,15,44,32,61,0,168
1101219,0,4,0,0,0,15,0,0,8,0,10,0,16,0,0,4,0,0,0,4,0,0,5,0,9,0,12,0,0,0,0,7,0,9,23,4,55,31,90,16,215
1101220,3,8,3,4,0,24,0,0,10,3,0,3,15,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,3,5,9,6,37,30,56,10,143
1101221,0,0,3,0,0,4,0,0,6,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,3,0,3,3,3,29,21,58,0,117
1101222,0,10,0,3,0,20,0,0,8,3,4,0,22,0,0,0,4,0,0,4,0,0,0,4,6,0,11,0,0,0,3,3,0,5,34,9,54,46,70,3,221
1101223,3,11,0,0,0,17,3,0,12,6,3,0,25,0,0,0,0,0,0,4,0,0,0,3,3,0,4,0,0,0,0,4,0,7,27,13,64,35,59,0,203
1101224,6,17,4,8,0,37,0,0,9,7,3,0,21,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,9,40,8,78,41,53,0,221
1101225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1101226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1101227,0,4,0,0,0,15,0,0,4,3,4,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,38,18,48,39,40,5,188
