SA3_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
10304,143,251,161,107,112,19,0,800,28,24,16,6,14,0,3,99,4,15,4,0,3,0,0,30,292,515,395,274,327,66,11,1883,9,15,15,5,3,0,0,46,22,23,15,7,8,4,0,85,34,41,31,17,12,4,0,130,324,557,424,287,335,72,11,2016,268,269,155,100,82,6,3,880,7,14,3,7,7,0,0,37,601,842,577,396,421,73,19,2932
10401,133,221,173,116,105,13,3,756,22,23,25,8,18,4,0,95,10,8,4,0,0,0,0,20,229,386,327,216,235,30,8,1437,5,15,25,12,11,0,0,63,16,17,11,5,3,0,0,56,19,36,31,20,11,0,0,124,246,425,362,237,248,38,8,1556,318,321,177,128,121,13,5,1082,9,12,10,7,3,0,0,47,575,755,548,373,376,49,15,2688
10402,233,414,296,217,215,53,19,1447,28,30,23,11,19,3,0,123,11,25,17,10,10,0,0,68,385,781,617,469,535,124,33,2939,18,26,21,24,19,3,0,106,23,41,31,11,21,0,0,132,38,68,54,34,38,3,0,245,423,851,676,499,573,125,33,3184,417,373,243,154,144,27,14,1367,13,17,4,3,6,0,0,42,854,1240,918,659,721,155,44,4596
10501,50,71,42,26,19,0,0,211,5,3,3,0,0,0,0,11,4,7,8,3,5,0,0,16,83,158,100,64,62,11,0,477,5,11,5,4,5,0,0,32,4,4,4,6,10,0,0,24,7,14,5,9,9,0,0,51,91,173,109,79,74,11,0,535,214,199,86,56,36,0,0,591,8,11,10,5,0,0,0,36,309,385,198,138,111,13,0,1155
10502,53,85,60,33,32,0,0,268,11,13,0,3,5,0,0,30,7,11,8,7,0,0,0,33,111,192,139,102,92,10,5,658,3,12,4,0,5,0,0,21,3,4,0,3,0,0,0,23,3,16,9,3,10,0,0,41,121,211,148,109,98,15,5,697,181,153,80,48,40,7,0,502,10,10,0,5,3,0,0,25,306,370,231,163,141,20,3,1231
10503,222,312,214,137,123,17,3,1026,36,25,15,5,3,5,0,97,21,32,19,13,14,0,0,98,414,679,507,327,358,61,16,2352,12,21,22,14,12,0,0,79,26,36,18,14,7,0,0,107,33,57,37,23,21,3,0,189,448,732,542,352,380,62,13,2540,467,402,222,147,120,13,0,1381,14,14,7,7,10,0,0,54,925,1153,776,510,507,81,19,3970
10601,298,468,283,184,185,48,8,1480,76,108,53,30,28,3,0,303,22,30,13,10,6,0,0,83,550,922,576,413,440,116,41,3056,21,41,24,16,16,4,0,123,46,59,36,27,13,0,0,194,74,98,63,39,27,8,0,310,624,1015,638,454,469,119,42,3366,672,649,364,212,226,27,12,2166,6,20,9,7,3,0,0,53,1308,1686,1014,674,702,147,58,5586
10602,222,413,245,166,200,27,22,1293,47,46,31,14,24,4,3,172,26,22,14,4,0,0,0,71,441,821,551,373,515,128,63,2892,12,29,15,17,13,5,0,87,30,42,29,13,22,0,0,141,48,74,44,35,32,5,0,227,485,894,598,404,544,134,61,3117,437,475,262,175,137,28,11,1522,3,7,3,3,0,0,0,17,923,1372,861,577,677,161,76,4658
10603,133,272,210,175,170,41,13,1009,43,42,31,21,20,3,0,150,14,17,15,9,9,0,0,70,246,526,419,349,398,100,34,2068,14,21,19,14,9,3,0,87,16,21,13,17,6,0,0,74,23,50,38,30,16,0,0,160,269,576,460,373,410,99,36,2232,366,381,217,172,128,16,14,1287,11,18,11,6,8,0,0,53,643,971,687,553,545,121,50,3571
10604,58,119,71,53,54,3,4,367,15,18,7,11,13,6,0,51,3,13,5,4,0,0,0,24,116,250,165,135,164,19,5,848,3,9,3,6,4,0,0,27,9,13,9,0,0,0,0,35,16,21,10,13,4,0,0,60,133,266,175,147,169,21,5,913,178,177,98,62,50,4,0,560,3,8,4,0,3,0,0,18,310,447,272,213,214,22,5,1496
10701,164,287,203,132,145,48,29,1011,53,65,43,25,23,11,7,233,10,15,5,5,3,0,3,48,310,573,445,326,376,136,74,2235,9,14,9,8,14,7,0,57,14,22,7,9,13,0,0,62,24,30,14,14,23,4,0,122,335,603,462,342,405,144,70,2361,484,552,288,196,204,45,20,1788,12,12,13,10,4,0,0,43,827,1168,764,543,611,187,89,4189
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10703,201,380,269,162,228,54,28,1318,73,81,61,24,28,15,6,301,9,12,9,4,3,3,0,39,382,719,566,369,510,159,72,2771,7,21,17,17,13,3,0,77,27,25,16,12,8,3,0,94,34,44,33,26,18,7,3,172,417,765,599,399,524,166,76,2945,426,401,238,190,162,34,16,1466,12,11,17,7,0,0,0,44,854,1175,847,593,689,200,91,4457
10704,136,344,210,174,206,90,41,1210,54,75,45,41,47,18,16,288,9,0,5,6,9,0,0,31,276,652,534,478,580,264,142,2922,5,28,18,14,22,5,0,87,6,19,13,14,17,9,0,74,9,42,33,28,36,15,3,164,278,695,566,506,617,279,143,3082,329,351,212,155,182,72,41,1342,3,6,5,0,4,0,0,25,608,1052,788,663,801,351,185,4443
10801,54,135,113,75,62,6,0,446,14,14,11,11,7,0,0,60,5,8,8,9,4,0,0,25,105,218,189,144,139,23,9,834,3,9,7,5,0,0,0,27,3,5,4,0,0,0,0,18,7,18,13,5,3,0,0,41,114,240,203,152,145,23,9,877,141,150,86,70,52,6,0,510,4,9,5,5,0,0,0,25,262,394,289,225,195,28,7,1408
10802,116,227,163,113,115,9,6,756,20,19,21,13,14,3,0,85,12,18,14,0,7,0,0,49,207,391,305,225,279,46,11,1466,13,33,21,18,16,0,0,103,23,25,12,10,9,0,0,75,35,55,35,25,29,0,0,178,241,446,341,250,306,52,11,1646,393,368,191,132,132,17,3,1236,21,19,17,14,10,0,0,79,655,832,549,396,444,62,21,2957
10803,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,12
10804,176,362,266,197,196,44,4,1234,36,30,18,14,20,4,0,119,7,13,10,6,4,0,0,40,306,587,496,398,461,91,24,2358,4,12,18,6,8,0,0,56,27,33,14,11,11,3,0,105,31,47,34,25,21,9,0,160,332,635,524,419,483,95,29,2523,385,356,227,147,159,28,14,1317,12,12,8,9,5,0,0,47,739,1000,756,579,645,125,40,3889
10805,163,278,168,121,121,28,9,896,28,19,20,4,12,4,0,85,11,19,10,0,3,0,0,45,249,467,332,243,273,68,8,1633,17,36,21,16,9,0,0,100,21,35,12,6,17,0,0,93,44,66,33,25,23,0,0,197,292,530,367,269,298,63,8,1831,350,327,204,144,115,13,7,1171,7,12,18,13,4,0,0,57,652,875,593,426,415,84,15,3053
10901,168,301,197,124,128,25,7,958,37,30,17,9,10,3,0,100,11,10,9,0,6,0,0,36,300,584,393,290,358,88,20,2034,3,24,11,6,15,0,0,63,26,28,15,13,17,0,0,96,30,56,30,16,26,0,0,162,334,635,423,307,386,89,18,2195,370,291,173,128,146,26,8,1137,8,12,7,5,0,0,0,39,712,930,609,443,535,113,28,3370
10902,16,33,23,14,24,0,0,113,5,3,5,3,0,0,0,22,0,3,0,0,0,0,0,12,39,65,47,37,54,14,4,255,0,3,0,0,3,0,0,9,5,4,0,0,0,0,0,13,5,9,3,0,6,0,0,20,44,70,48,39,60,14,4,278,53,47,31,16,18,0,0,169,7,11,3,0,0,0,0,22,107,125,83,57,79,19,4,463
10903,84,125,84,62,62,9,4,428,17,21,0,12,5,0,0,56,4,9,3,0,5,0,0,23,138,234,197,155,184,44,8,957,0,3,8,3,0,0,0,22,11,14,4,4,7,0,0,43,9,20,15,6,9,0,0,58,150,255,212,165,190,41,8,1016,125,121,83,52,42,6,0,437,5,0,4,0,0,0,0,12,279,378,300,220,237,49,12,1470
