SA4_CODE_2021,Age_74_C21_P,Age_70_74_C11_M,Age_70_74_C11_F,Age_70_74_C11_P,Age_70_74_C16_M,Age_70_74_C16_F,Age_70_74_C16_P,Age_70_74_C21_M,Age_70_74_C21_F,Age_70_74_C21_P,Age_75_C11_M,Age_75_C11_F,Age_75_C11_P,Age_75_C16_M,Age_75_C16_F,Age_75_C16_P,Age_75_C21_M,Age_75_C21_F,Age_75_C21_P,Age_76_C11_M,Age_76_C11_F,Age_76_C11_P,Age_76_C16_M,Age_76_C16_F,Age_76_C16_P,Age_76_C21_M,Age_76_C21_F,Age_76_C21_P,Age_77_C11_M,Age_77_C11_F,Age_77_C11_P,Age_77_C16_M,Age_77_C16_F,Age_77_C16_P,Age_77_C21_M,Age_77_C21_F,Age_77_C21_P,Age_78_C11_M,Age_78_C11_F,Age_78_C11_P,Age_78_C16_M,Age_78_C16_F,Age_78_C16_P,Age_78_C21_M,Age_78_C21_F,Age_78_C21_P,Age_79_C11_M,Age_79_C11_F,Age_79_C11_P,Age_79_C16_M,Age_79_C16_F,Age_79_C16_P,Age_79_C21_M,Age_79_C21_F,Age_79_C21_P,Age_75_79_C11_M,Age_75_79_C11_F,Age_75_79_C11_P,Age_75_79_C16_M,Age_75_79_C16_F,Age_75_79_C16_P,Age_75_79_C21_M,Age_75_79_C21_F,Age_75_79_C21_P,Age_80_84_C11_M,Age_80_84_C11_F,Age_80_84_C11_P,Age_80_84_C16_M,Age_80_84_C16_F,Age_80_84_C16_P,Age_80_84_C21_M,Age_80_84_C21_F,Age_80_84_C21_P,Age_85over_C11_M,Age_85over_C11_F,Age_85over_C11_P,Age_85over_C16_M,Age_85over_C16_F,Age_85over_C16_P,Age_85over_C21_M,Age_85over_C21_F,Age_85over_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
121,3884,5561,6251,11808,6967,7941,14905,8519,10019,18539,908,1138,2045,1120,1354,2473,1494,1820,3310,893,1012,1907,1127,1242,2370,1422,1666,3090,801,967,1763,973,1220,2192,1376,1523,2902,784,969,1749,943,1087,2034,1123,1326,2453,765,934,1697,905,1019,1920,1190,1324,2514,4147,5020,9163,5070,5926,10995,6604,7660,14267,3330,4672,7996,3516,4577,8090,4395,5437,9835,2983,6148,9134,3701,6438,10136,4163,6679,10839,180118,194545,374664,194785,210574,405354,204179,219868,424045
122,2472,3945,4188,8133,4853,5403,10256,5548,6131,11674,556,724,1281,800,889,1684,1002,1158,2157,609,692,1305,800,793,1597,905,1128,2033,561,659,1215,705,799,1503,944,1148,2094,535,675,1216,663,790,1457,792,957,1747,522,647,1169,650,718,1373,786,908,1690,2782,3402,6190,3624,3992,7614,4427,5297,9722,2295,3282,5575,2337,3125,5468,3129,3644,6773,2175,4078,6250,2456,4488,6941,2746,4499,7243,116425,121213,237639,123508,129370,252876,128929,134623,263554
123,2133,2611,2812,5420,3821,3981,7798,5372,5834,11206,435,497,933,571,584,1153,879,907,1779,360,413,774,503,574,1074,746,812,1558,321,351,679,469,488,962,665,756,1417,334,388,727,422,534,957,580,615,1192,268,388,659,416,479,888,527,627,1151,1723,2048,3768,2378,2661,5037,3398,3704,7098,1097,1674,2775,1397,1845,3242,2020,2399,4415,806,1696,2504,1091,2086,3175,1305,2372,3676,115625,120138,235766,128722,133341,262065,146172,151122,297292
124,2814,3680,4116,7790,5102,5485,10585,6955,7588,14546,590,697,1294,726,874,1609,1087,1193,2283,532,671,1206,737,800,1543,992,1071,2066,466,544,1007,656,779,1431,942,1002,1943,451,615,1064,555,677,1232,751,900,1650,451,540,992,529,682,1211,675,850,1528,2490,3068,5565,3208,3815,7022,4451,5015,9465,1720,2462,4179,2004,2713,4721,2596,3293,5888,1251,2748,4003,1554,3018,4571,1858,3370,5235,141281,146774,288049,150470,156462,306933,163198,168862,332056
125,2936,5171,5529,10692,5983,6277,12264,7495,7957,15455,937,1018,1952,1001,1129,2131,1273,1292,2569,806,899,1701,980,1091,2067,1117,1242,2362,832,869,1696,907,963,1873,1109,1118,2228,721,862,1586,765,964,1727,998,1073,2074,705,860,1562,779,924,1705,876,1004,1874,3994,4505,8496,4432,5063,9500,5371,5735,11106,2900,4061,6965,3097,3838,6938,3573,4322,7895,2093,4391,6478,2761,4819,7588,3190,4676,7867,198302,196412,394710,227574,220818,448392,251582,241931,493515
126,1560,2386,2888,5274,2765,3098,5861,3825,4114,7943,451,525,977,469,547,1020,618,664,1277,398,470,867,480,537,1011,505,588,1092,390,482,874,401,543,949,523,599,1119,420,475,897,412,511,922,433,539,975,354,482,834,368,567,930,477,521,1001,2011,2436,4449,2133,2708,4834,2556,2910,5463,1656,2359,4019,1663,2144,3800,1839,2466,4302,1378,2812,4191,1787,3139,4930,1960,3173,5131,79212,83633,162845,88834,93282,182120,98378,103659,202038
127,2976,4642,5054,9700,5632,5833,11462,7970,8444,16414,759,867,1629,931,1079,2009,1250,1315,2567,702,849,1551,901,1016,1921,1127,1128,2255,685,807,1494,843,924,1768,1074,1129,2205,602,708,1313,765,842,1609,937,1083,2020,587,745,1330,681,818,1500,914,931,1851,3338,3977,7311,4121,4683,8805,5304,5589,10888,2248,2974,5221,2689,3404,6090,3429,4154,7589,1357,2435,3794,2113,3435,5545,2865,4325,7189,178212,182132,360343,200613,205344,405963,234934,239498,474430
128,2217,3190,3539,6724,4139,4636,8771,5128,5671,10801,565,642,1208,660,701,1366,850,1016,1861,484,613,1098,586,702,1292,819,964,1787,477,586,1060,571,662,1229,830,933,1763,492,634,1124,561,638,1205,693,795,1495,472,590,1055,501,641,1143,659,748,1404,2483,3065,5552,2879,3344,6225,3845,4458,8305,2113,3012,5121,2086,2736,4820,2473,3061,5533,1557,3034,4596,2120,3829,5946,2445,3988,6432,102849,107415,210272,106414,111467,217877,112258,117352,229604
197,0,9,14,22,19,27,40,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,7,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,3,4,0,0,0,6,4,6,8,14,27,0,0,0,8,11,18,14,9,20,0,0,0,0,0,0,4,3,11,0,0,0,58,57,115,174,240,419,0,0,0
199,75,231,137,364,267,152,417,250,163,415,29,15,43,35,22,63,43,17,59,25,9,28,30,18,42,29,11,45,18,15,28,26,14,34,18,13,32,25,8,34,22,16,33,18,17,32,10,0,12,14,12,24,17,7,22,96,50,143,116,84,201,120,66,191,45,47,96,43,42,82,48,39,86,51,72,124,33,42,74,19,32,49,7588,5327,12915,7353,4938,12288,6375,4997,11371
