POA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA2217,6620,7028,13644,757,763,1520,3287,3350,6637,51,62,114,60,53,112,18,23,33,19,12,39,10,7,13,15,9,25,17,19,35,0,0,0,3471,3531,6998,1577,1491,3066,96,78,174,5900,5870,11768,798,905,1698,13311,13798,27109
POA2218,4204,4327,8526,380,378,754,1763,1669,3434,22,16,40,26,23,43,9,10,22,13,12,27,0,8,12,4,0,5,7,4,7,0,0,0,1844,1744,3593,876,817,1694,50,38,87,3149,2977,6122,354,336,692,7706,7636,15339
POA2219,3749,4299,8046,458,492,951,1336,1408,2745,12,20,32,26,26,48,5,0,5,8,0,8,0,0,0,4,3,7,10,8,18,0,0,0,1389,1468,2860,152,171,323,31,21,56,2030,2151,4187,368,419,789,6145,6876,13024
POA2220,7313,7836,15152,798,852,1650,3510,3399,6912,59,55,117,58,57,113,20,20,41,23,22,41,5,12,20,15,9,22,15,17,30,0,0,0,3709,3580,7292,3367,3005,6369,142,100,237,8015,7539,15548,776,744,1522,16106,16120,32222
POA2221,5316,5661,10981,443,463,908,1426,1540,2963,17,18,34,17,20,43,6,3,11,4,6,14,3,0,3,4,0,3,8,4,11,0,0,0,1490,1587,3080,275,258,537,48,48,95,2254,2360,4612,325,378,708,7893,8409,16302
POA2222,3350,3529,6875,274,275,547,1325,1364,2688,10,13,26,8,10,18,11,4,15,16,20,33,0,0,0,5,0,3,0,7,14,0,0,0,1374,1420,2795,562,495,1058,42,32,69,2252,2220,4470,276,372,654,5880,6118,11996
POA2223,6113,6498,12608,529,572,1106,2214,2269,4482,29,28,57,30,34,62,8,7,17,11,13,25,0,0,9,11,8,18,13,13,22,0,0,0,2318,2367,4684,470,479,949,49,48,95,3362,3468,6829,355,464,821,9828,10430,20261
POA2224,4380,4747,9129,351,344,692,1415,1530,2949,11,10,25,35,33,71,11,3,17,12,16,27,0,4,4,6,0,8,7,8,14,0,0,0,1492,1610,3110,142,163,306,38,29,66,2023,2144,4169,272,284,549,6676,7177,13852
POA2225,1848,1891,3735,153,158,311,464,462,926,3,5,5,5,8,13,0,4,6,9,9,18,0,0,3,0,6,3,0,3,4,0,0,0,492,491,978,48,39,87,10,10,16,702,697,1393,56,58,116,2601,2649,5246
POA2226,4007,4152,8161,302,301,603,1280,1280,2558,21,17,37,23,30,51,10,3,11,13,11,17,0,0,0,3,0,0,7,3,10,0,0,0,1343,1346,2689,157,169,326,31,21,50,1829,1840,3666,205,221,427,6037,6213,12252
