POA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2463,886,841,369,114,4135
POA2464,767,829,412,112,3734
POA2465,32,20,15,0,158
POA2466,227,235,114,24,872
POA2469,611,450,157,41,2248
POA2470,1068,962,513,200,6495
POA2471,247,176,74,19,1315
POA2472,205,153,52,5,970
POA2473,330,325,119,56,1621
POA2474,764,624,218,88,3185
POA2475,36,38,14,3,156
POA2476,96,75,31,9,410
POA2477,1362,1150,591,212,6929
POA2478,3107,2999,1431,614,17443
POA2479,681,500,162,67,3394
POA2480,4780,3615,1335,447,24231
POA2481,1352,1190,368,99,8625
POA2482,808,695,203,45,4070
POA2483,1288,983,325,91,6727
POA2484,2265,1763,689,319,10583
POA2485,1307,1352,856,405,8193
POA2486,2707,2409,1556,759,16107
POA2487,1597,1258,518,194,8071
POA2488,388,198,81,41,1896
POA2489,655,577,326,128,4011
POA2490,91,45,16,4,378
POA2500,3325,2434,1291,539,25945
POA2502,716,425,224,77,4850
POA2505,405,232,73,53,2341
POA2506,519,338,145,66,3249
POA2508,927,554,218,77,5197
POA2515,1470,1053,361,109,7037
POA2516,664,377,162,31,3650
POA2517,1161,864,502,246,7428
POA2518,1671,1136,570,265,10287
POA2519,1488,1130,597,197,9342
POA2525,973,783,445,149,6599
POA2526,1467,928,448,250,8693
POA2527,1796,1250,473,247,12593
POA2528,1776,1411,774,276,10533
POA2529,2399,1698,730,284,14501
POA2530,2406,1719,972,280,16368
POA2533,2014,1977,944,339,10325
POA2534,659,636,285,99,3443
POA2535,922,1049,572,206,4669
POA2536,2057,2120,1067,317,10006
POA2537,1726,1604,695,236,7352
POA2538,333,325,109,59,1430
POA2539,2259,2235,1041,286,10723
POA2540,4876,4494,2199,587,25281
POA2541,2081,1727,945,379,13440
POA2545,149,171,50,9,650
POA2546,1260,1494,619,253,5739
POA2548,927,1018,533,189,4727
POA2549,475,419,154,53,2125
POA2550,2131,1608,627,212,8966
POA2551,355,393,167,69,1738
POA2555,3,4,0,0,54
POA2556,167,131,48,12,1063
POA2557,783,405,136,30,9281
POA2558,816,442,110,25,4855
POA2559,108,63,15,3,1092
POA2560,5027,3815,1702,397,36412
POA2563,19,7,5,0,120
POA2564,888,535,232,61,6122
POA2565,1861,1065,377,76,15351
POA2566,1816,1138,353,74,12200
POA2567,2551,1265,435,85,18475
POA2568,100,108,120,93,728
POA2569,135,117,36,8,699
POA2570,3359,2533,1077,445,30278
POA2571,1088,651,214,40,6561
POA2572,377,330,177,115,2721
POA2573,304,269,121,35,2553
POA2574,424,317,167,45,2701
POA2575,1567,1311,700,196,9365
POA2576,1468,1791,1370,571,8458
POA2577,1855,1620,833,222,9385
POA2578,358,498,269,87,1798
POA2579,462,448,224,44,2469
POA2580,2720,2129,1012,372,15705
POA2581,259,174,80,14,1355
POA2582,1264,919,405,123,7112
POA2583,522,416,187,52,2200
POA2584,53,39,17,4,251
POA2585,18,15,10,4,128
POA2586,296,216,109,31,1395
POA2587,242,222,106,15,1273
POA2588,36,29,8,9,145
POA2590,589,620,344,93,3237
POA2594,885,708,344,109,5120
POA2619,922,386,112,25,5079
POA2620,3645,2181,822,218,24051
POA2621,691,418,163,27,3664
POA2622,538,417,228,42,2362
POA2623,47,37,14,0,286
POA2624,14,4,0,0,107
POA2625,35,16,6,5,267
POA2626,73,32,9,0,280
POA2627,484,307,105,15,2987
POA2628,259,175,61,18,1210
POA2629,81,58,40,10,312
POA2630,886,611,357,128,4676
POA2631,79,49,18,0,334
POA2632,169,141,66,22,832
POA2633,41,23,8,0,133
POA2640,3340,2440,1177,388,20420
POA2641,1087,959,465,153,7471
POA2642,527,356,111,16,2606
POA2643,228,256,104,43,1358
POA2644,238,196,67,11,1147
POA2645,46,23,3,5,147
POA2646,598,510,290,102,3112
POA2647,191,241,144,28,1220
POA2648,263,213,98,31,1278
POA2649,0,4,0,0,20
POA2650,4524,3237,1559,665,29830
POA2651,122,68,20,8,1479
POA2652,422,297,83,28,2185
POA2653,214,193,97,30,1260
POA2655,119,100,35,8,616
POA2656,130,93,51,17,594
POA2658,128,94,56,17,643
POA2659,90,41,28,6,391
POA2660,124,107,66,19,695
POA2661,0,3,0,0,160
POA2663,386,267,124,38,2715
POA2665,129,161,57,19,829
POA2666,455,372,178,68,2437
POA2668,39,29,11,3,172
POA2669,128,86,36,7,635
POA2671,272,198,117,51,1733
POA2672,85,67,32,5,541
POA2675,101,63,17,13,740
POA2678,0,0,0,0,118
POA2680,1555,975,472,248,10863
POA2681,126,70,36,7,766
POA2700,364,285,150,58,2028
POA2701,182,166,64,30,1122
POA2702,66,50,25,8,339
POA2703,32,37,6,0,216
POA2705,726,457,247,91,4468
POA2706,68,54,25,6,422
POA2707,94,58,19,6,497
POA2710,846,588,323,106,4409
POA2711,302,163,95,28,1364
POA2712,114,113,59,47,650
POA2713,261,193,115,59,1317
POA2714,258,322,175,51,1385
POA2715,111,61,22,15,539
POA2716,85,74,27,13,449
POA2717,89,63,33,8,495
POA2720,708,479,288,111,3825
POA2721,14,10,4,0,84
POA2722,258,211,104,29,1458
POA2725,31,31,20,5,155
POA2726,30,12,11,0,125
POA2727,32,28,7,0,147
POA2729,155,100,48,8,722
POA2730,134,94,45,15,570
POA2731,563,545,311,92,3406
POA2732,187,153,72,28,839
POA2733,57,37,21,9,279
POA2734,48,29,21,0,231
POA2735,30,20,12,0,159
POA2736,28,21,11,6,199
POA2737,49,48,11,4,331
POA2738,153,99,31,11,959
POA2739,98,53,27,6,653
POA2745,2136,1119,377,71,14778
POA2747,2502,1759,712,230,24886
POA2748,171,82,48,9,796
POA2749,1174,577,211,33,7566
POA2750,3078,2471,1315,570,24172
POA2752,401,195,71,8,2582
POA2753,1370,894,498,257,8699
POA2754,455,431,252,87,3465
POA2756,2716,1512,624,126,16595
POA2757,82,52,26,5,436
POA2758,976,640,245,52,4816
POA2759,2077,1162,262,66,11582
POA2760,1788,1120,541,220,15823
POA2761,2304,1083,301,133,15841
POA2762,692,356,79,9,11746
POA2763,2056,1275,358,74,17286
POA2765,1949,1207,416,84,23802
POA2766,1145,724,345,352,8146
POA2767,1652,1079,342,75,11458
POA2768,2133,1129,363,60,16015
POA2769,652,444,217,63,8482
POA2770,2996,1898,792,156,22512
POA2773,723,575,240,66,3514
POA2774,1247,1050,467,97,7315
POA2775,235,141,69,5,901
POA2776,439,332,118,27,2321
POA2777,1833,1533,732,347,10115
POA2778,328,239,67,21,1461
POA2779,513,394,174,30,2847
POA2780,1634,1590,710,222,8183
POA2782,767,817,373,132,3883
POA2783,352,216,82,17,1518
POA2784,168,110,45,3,776
POA2785,698,623,315,69,3074
POA2786,151,160,69,14,741
POA2787,417,401,171,48,2278
POA2790,1426,1173,614,165,7586
POA2791,39,32,22,8,175
POA2792,44,22,21,3,195
POA2793,104,125,54,3,522
POA2794,814,763,347,124,4638
POA2795,3770,2814,1348,452,22998
POA2797,29,31,27,6,205
POA2798,227,182,69,9,1199
POA2799,339,238,92,32,1822
POA2800,3580,2782,1356,476,23798
POA2803,35,31,10,3,139
POA2804,270,210,112,35,1365
POA2805,34,30,13,0,183
POA2806,82,79,28,11,398
POA2807,42,32,8,0,185
POA2808,34,25,10,0,112
POA2809,31,13,6,0,98
POA2810,260,246,139,55,1414
POA2817,44,32,6,0,180
POA2818,81,64,28,8,431
POA2820,575,418,249,79,3693
POA2821,333,253,156,58,2097
POA2822,53,32,5,0,214
POA2823,97,74,46,21,554
POA2824,161,112,73,48,859
POA2825,155,77,65,28,914
POA2826,11,5,7,0,80
POA2827,292,212,132,42,1581
POA2828,83,38,12,10,334
POA2829,186,129,74,19,1182
POA2830,3182,2098,1105,380,21803
POA2831,176,104,36,13,845
POA2832,212,148,38,9,1146
POA2833,50,38,11,6,262
POA2834,214,172,111,26,980
POA2835,284,170,75,20,1742
POA2836,61,48,16,3,372
POA2838,16,10,0,0,82
POA2839,80,33,9,3,393
POA2840,158,101,51,10,1074
POA2842,58,61,25,4,310
POA2843,99,95,58,18,594
POA2844,103,90,65,9,572
POA2845,136,127,50,7,847
POA2846,34,32,11,5,142
POA2847,223,193,76,12,1125
POA2848,132,116,91,23,636
POA2849,192,171,80,19,861
POA2850,1648,1116,581,171,9459
POA2852,292,250,101,31,1697
POA2864,67,58,29,9,398
POA2865,64,59,25,3,426
POA2866,277,192,102,43,1489
POA2867,52,46,22,3,260
POA2868,49,24,24,5,224
POA2869,158,106,49,22,698
POA2870,860,578,295,108,5198
POA2871,681,499,317,102,4008
POA2873,60,32,11,16,255
POA2874,34,23,14,8,177
POA2875,64,62,22,14,354
POA2876,36,36,9,3,215
POA2877,241,143,85,34,1448
POA2878,25,10,0,0,123
POA2879,50,44,20,3,246
POA2880,1431,1023,461,217,7822
POA2898,56,43,25,4,269
