POA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
POA2019,5315,5613,10924,2566,2071,4643,724,1141,1861,341,431,771,116,122,244,3746,3765,7516,1215,1486,2700,3.1,3.3,3.2,70.5,67.2,68.8,68.3,65,66.6,382,461,852,76,141,213,903,1369,2271,488,689,1174,1132,471,1607,43,49,89,95,124,223,1273,646,1918,5079,5134,10215,1078,1209,2285,2907,2953,5858,2874,3022,5895
POA2020,9743,9319,19057,4032,3165,7197,1699,1872,3575,751,760,1512,400,363,764,6884,6165,13044,2246,2616,4865,5.8,5.9,5.9,70.6,66.2,68.5,66.6,62.2,64.4,1163,1337,2500,108,181,288,2582,2818,5397,1069,1099,2169,1181,493,1677,53,60,117,111,141,252,1349,697,2045,6875,6654,13532,3424,3240,6660,3183,3185,6367,6631,6260,12894
POA2021,6200,6800,12998,3346,2933,6286,847,1240,2090,284,398,681,151,185,337,4631,4759,9395,1246,1691,2940,3.3,4,3.6,74.7,70,72.3,72.3,67.2,69.6,1124,1158,2280,193,247,437,2341,2745,5080,416,613,1031,382,197,579,31,25,58,84,109,195,495,337,826,5159,5426,10586,1584,1894,3481,2861,3080,5941,3600,3952,7550
POA2022,5553,5998,11551,2637,2129,4765,756,1131,1882,305,362,666,173,144,317,3867,3764,7628,1292,1823,3114,4.5,3.8,4.1,69.6,62.7,66,66.5,60.4,63.3,766,810,1578,121,185,310,1834,2156,3986,414,604,1017,576,279,858,18,39,54,75,111,188,672,434,1103,4493,4814,9310,1542,1621,3163,2454,2715,5171,3303,3456,6753
POA2023,4117,4652,8772,1916,1429,3348,678,1034,1711,198,284,475,97,85,181,2886,2831,5717,1042,1638,2685,3.3,3,3.1,70.1,60.8,65.2,67.8,59,63.1,681,647,1331,106,156,262,1467,1736,3202,294,481,777,246,155,402,13,27,39,38,83,122,296,265,562,3909,4176,8083,905,1084,1994,2517,2705,5219,2087,2354,4441
POA2024,4385,4940,9320,2221,1731,3948,603,1012,1613,193,295,487,70,84,152,3091,3123,6206,985,1392,2375,2.2,2.7,2.4,70.4,63.2,66.6,68.9,61.5,65,643,712,1352,103,177,277,1440,1720,3160,341,483,818,467,162,629,14,32,47,64,81,139,545,276,820,4055,4367,8427,951,1086,2034,2505,2718,5226,2260,2483,4740
POA2025,2685,3395,6081,1293,1165,2453,379,638,1013,107,158,264,51,66,116,1832,2017,3851,710,1171,1880,2.8,3.3,3.1,68.2,59.5,63.3,66.3,57.5,61.4,496,546,1042,76,111,188,1012,1300,2311,169,302,474,154,95,253,4,14,17,39,65,108,196,176,371,2393,2895,5286,629,805,1432,1409,1773,3183,1467,1788,3247
POA2026,13563,14465,28025,6973,5760,12731,1964,2885,4846,705,984,1687,383,400,786,10022,10022,20045,2607,3524,6131,3.8,4,3.9,73.9,69.3,71.5,71.1,66.5,68.7,1877,1970,3846,277,459,729,4761,5721,10482,1092,1459,2548,1330,538,1866,60,96,156,186,237,426,1570,876,2448,11070,11367,22431,3707,4142,7847,5940,6083,12025,8082,8712,16799
POA2027,3174,3788,6961,1448,1215,2659,494,624,1115,135,194,331,67,75,146,2137,2111,4251,828,1422,2245,3.2,3.6,3.4,67.5,55.7,61.1,65.3,53.7,59,545,532,1078,79,130,211,1138,1318,2459,230,374,605,183,103,294,13,21,34,41,74,114,241,200,444,2666,3143,5813,638,761,1399,1555,1904,3456,1654,1899,3555
POA2028,1807,2321,4126,913,869,1779,260,368,621,92,139,234,43,57,93,1304,1433,2736,431,780,1209,3.1,3.8,3.5,72.2,61.6,66.2,69.9,59.3,63.9,334,325,660,40,86,128,711,876,1585,127,204,335,89,73,165,6,16,23,25,43,67,123,129,250,1530,1837,3365,469,613,1080,841,1074,1915,1065,1287,2351
POA2029,3805,4486,8293,1761,1370,3125,587,924,1515,181,262,440,86,93,181,2617,2650,5272,959,1544,2502,3.4,3.5,3.4,68.8,59.1,63.6,66.5,57,61.4,489,512,999,89,179,264,1249,1436,2687,323,525,851,358,174,526,17,39,58,67,104,173,442,314,752,3443,3913,7359,848,1003,1853,2052,2417,4467,2054,2299,4354
POA2030,5598,6088,11690,2535,1403,3939,844,1410,2255,244,339,581,127,129,258,3763,3281,7037,1560,2504,4063,3.5,3.9,3.7,67.1,53.8,60.2,64.8,51.7,58,808,718,1529,107,208,319,1904,2028,3929,377,635,1012,383,210,594,16,34,53,64,113,177,462,354,821,5675,6098,11776,942,958,1902,3904,4170,8075,2400,2607,5006
POA2031,13323,15266,28589,6611,6015,12630,1801,3024,4824,676,1003,1677,365,324,687,9455,10367,19822,3060,4047,7113,3.9,3.1,3.5,71,67.9,69.3,68.2,65.8,66.9,2018,2383,4403,295,605,897,4057,5411,9468,964,1424,2390,1574,644,2217,43,88,134,170,276,442,1791,1007,2795,11551,12740,24294,3381,3945,7330,6824,7630,14451,7347,8338,15683
POA2032,6354,6312,12661,2189,1649,3839,1017,1284,2302,352,416,770,273,200,471,3838,3552,7392,2147,2412,4554,7.1,5.6,6.4,60.4,56.3,58.4,56.1,53.1,54.6,1006,883,1887,83,172,259,1539,1666,3202,453,590,1042,669,325,994,45,55,97,84,102,189,800,481,1280,5056,5021,10078,1865,1808,3673,3116,3308,6422,3521,3277,6801
POA2033,5231,5253,10488,1976,1562,3546,795,1081,1879,309,348,654,208,175,391,3296,3179,6468,1622,1797,3415,6.4,5.6,6,62.9,60.4,61.7,58.9,57.1,58,796,704,1500,86,147,233,1345,1593,2939,375,513,883,492,229,719,38,40,76,50,93,145,575,364,937,3961,4027,7990,1606,1550,3160,2153,2225,4376,3202,3134,6339
POA2034,7929,9259,17187,3937,3703,7638,1087,1838,2931,426,601,1022,219,214,438,5673,6357,12031,1808,2393,4201,3.9,3.4,3.6,71.6,68.7,70,68.8,66.4,67.5,1157,1329,2485,202,364,561,2383,3235,5614,631,943,1575,1018,450,1465,37,73,107,108,171,276,1160,688,1849,7011,7840,14853,1834,2275,4105,4169,4679,8845,4241,5009,9252
POA2035,13853,15126,28979,5656,4319,9980,2030,3051,5086,801,981,1783,442,371,809,8931,8726,17659,4206,5577,9784,4.9,4.3,4.6,64.5,57.7,60.9,61.3,55.2,58.1,1614,1763,3378,243,463,701,3304,4015,7316,1139,1670,2803,2092,854,2942,74,134,209,209,330,534,2370,1315,3685,13045,14008,27054,2676,2752,5434,8772,9743,18510,6199,6341,12540
POA2036,14198,13842,28039,5207,3907,9104,1889,2819,4704,819,889,1709,408,319,723,8316,7930,16244,4775,5044,9812,4.9,4,4.4,58.6,57.3,57.9,55.7,55,55.4,1173,1211,2386,160,333,497,2294,3045,5338,1094,1592,2686,2613,1058,3667,90,143,236,203,383,588,2912,1586,4497,12207,12828,25029,2711,2691,5402,7921,8398,16317,6216,6365,12582
POA2037,7104,7771,14880,3103,2716,5826,986,1394,2379,371,498,868,243,260,507,4704,4871,9575,1925,2443,4364,5.2,5.4,5.3,66.2,62.7,64.4,62.8,59.3,61,1279,1519,2797,215,297,511,2178,2461,4633,517,667,1184,561,332,890,25,58,81,82,106,186,662,496,1158,5433,5898,11333,1990,2165,4155,2952,3224,6171,4198,4581,8774
POA2038,3782,4189,7967,1862,1657,3513,550,885,1437,206,249,450,112,103,212,2726,2894,5618,792,1056,1852,4,3.6,3.8,72,69.1,70.5,69.1,66.6,67.8,605,757,1359,93,205,297,1215,1504,2720,325,350,674,345,187,533,19,32,53,60,68,122,428,280,704,3388,3679,7072,816,955,1765,2113,2340,4451,1890,2101,3989
POA2039,3337,3744,7078,1862,1635,3496,397,702,1101,151,221,369,80,94,170,2489,2649,5141,731,993,1720,3.2,3.5,3.4,74.6,70.9,72.6,72.2,68.3,70.2,533,631,1168,117,195,316,1070,1310,2379,309,398,704,327,175,503,22,32,50,41,72,114,391,279,668,3140,3435,6576,747,845,1589,1815,2059,3873,1833,2020,3855
POA2040,8636,9782,18419,4416,3815,8230,1106,2029,3135,447,655,1106,268,242,510,6232,6750,12979,1997,2586,4583,4.2,3.6,3.9,72.2,69,70.5,69.1,66.5,67.7,1089,1513,2600,273,456,731,2452,3090,5542,791,983,1778,1034,503,1530,62,78,140,126,165,297,1220,747,1970,8364,9186,17547,1912,2098,4007,5151,5804,10959,4474,4871,9346
POA2041,6173,6775,12949,3051,2582,5633,825,1290,2122,258,393,649,173,163,333,4301,4425,8730,1595,2101,3696,4,3.6,3.8,69.7,65.3,67.4,66.9,62.9,64.8,1062,1306,2369,195,367,567,2100,2334,4431,459,672,1133,547,237,789,24,43,74,78,129,215,659,414,1069,5869,6350,12228,1233,1311,2541,3658,4063,7720,3095,3281,6377
POA2042,8592,8234,16822,4274,3593,7857,1317,1688,3000,537,618,1154,291,230,521,6413,6121,12541,1686,1727,3416,4.6,3.7,4.2,74.7,74.4,74.5,71.3,71.6,71.4,1287,1375,2660,242,365,609,2837,2978,5817,703,693,1400,757,410,1163,48,65,109,80,114,191,881,582,1463,6437,6074,12507,2499,2587,5087,3498,3378,6875,5136,5044,10186
POA2043,4406,4201,8607,2789,2350,5143,517,692,1204,233,223,451,104,120,220,3642,3387,7024,585,666,1250,2.9,3.5,3.2,82.6,80.6,81.6,80.2,77.8,79,800,862,1658,140,203,347,1648,1720,3368,402,336,738,359,159,520,21,25,43,61,58,113,437,242,678,3214,2943,6158,1510,1536,3048,1530,1435,2963,2988,2875,5864
POA2044,3584,3447,7028,1799,1396,3198,521,699,1213,217,262,474,106,97,199,2639,2452,5092,794,879,1670,4,3.9,3.9,73.7,71.1,72.4,70.8,68.3,69.6,351,478,830,82,122,205,981,1134,2114,322,308,633,466,211,675,32,42,69,57,56,117,552,308,862,3140,2974,6117,881,862,1742,1981,1938,3922,1833,1731,3561
POA2045,2646,2763,5411,1078,728,1805,401,643,1043,143,184,325,66,46,110,1686,1597,3282,888,1095,1983,3.9,2.9,3.4,63.7,57.7,60.6,61.2,56,58.6,279,322,605,57,99,155,645,668,1317,227,289,516,363,150,515,13,33,37,44,77,122,415,259,678,2791,2845,5639,317,330,647,2146,2201,4346,849,874,1725
POA2046,10509,12047,22555,4811,3812,8620,1416,2423,3841,617,789,1411,286,182,472,7133,7210,14345,2925,4256,7181,4,2.5,3.3,67.9,59.8,63.6,65.1,58.3,61.5,1107,1230,2337,223,402,627,2496,3175,5673,1022,1371,2393,1634,783,2415,72,129,198,212,342,554,1914,1251,3164,10665,11780,22444,1602,1805,3410,7121,8133,15254,4460,4889,9349
POA2047,4690,5441,10129,2294,1893,4182,639,1073,1710,244,339,580,104,104,208,3276,3400,6680,1208,1722,2931,3.2,2.9,3.1,70,62.5,66,67.7,60.7,63.9,605,680,1284,119,227,346,1389,1644,3033,430,623,1056,593,294,885,30,38,68,94,139,237,716,472,1191,4414,4958,9375,941,996,1933,2776,3180,5953,2308,2520,4831
POA2048,3264,3357,6626,1587,1445,3031,506,664,1174,180,225,401,103,93,200,2373,2428,4804,723,800,1522,4.4,4,4.2,72.8,72.3,72.5,69.6,69.4,69.5,483,540,1021,92,158,250,988,1214,2207,273,313,590,321,176,502,18,15,36,50,60,108,393,250,643,2760,2855,5613,805,833,1641,1710,1768,3478,1719,1794,3514
POA2049,5135,5538,10674,2396,2254,4653,750,1101,1855,301,371,670,167,134,301,3617,3866,7481,1157,1330,2489,4.6,3.5,4,70.4,69.8,70.1,67.1,67.4,67.3,656,887,1543,170,243,412,1507,1828,3331,394,493,882,509,277,786,36,44,77,75,95,167,618,410,1031,4244,4480,8728,1275,1369,2646,2476,2643,5121,2797,3014,5814
POA2050,4385,4274,8660,2114,1811,3923,695,862,1559,264,313,571,181,154,335,3248,3138,6393,834,903,1735,5.5,4.9,5.2,74.1,73.5,73.8,70,69.9,70,723,835,1553,115,156,273,1434,1459,2890,306,310,618,298,143,441,33,22,55,38,48,91,373,208,586,2923,2808,5728,1462,1537,2998,1308,1282,2590,2963,2955,5915
POA2060,6488,7074,13560,3523,2999,6528,748,1193,1939,274,339,617,196,173,364,4740,4705,9452,1366,1983,3343,4.1,3.6,3.8,73.1,66.5,69.7,70.1,64.1,67,1368,1410,2777,190,329,525,2373,2622,4994,466,686,1153,398,259,655,32,32,57,90,125,216,517,413,925,4890,5314,10209,1929,2039,3967,2340,2679,5015,4230,4440,8674
POA2061,2695,3067,5769,1309,1208,2515,361,414,774,84,128,210,70,71,145,1822,1826,3643,657,992,1653,3.8,4,3.9,67.5,59.4,63.2,64.9,57.1,60.7,570,533,1103,84,137,226,939,1116,2054,198,286,481,158,74,237,8,21,26,28,65,90,200,155,349,1977,2216,4188,656,761,1415,1042,1238,2284,1534,1682,3212
POA2062,2680,3092,5763,1481,1289,2768,341,619,962,96,174,274,68,54,126,1988,2140,4133,598,868,1466,3.5,2.7,3.1,74.4,69.3,71.7,71.8,67.5,69.5,431,503,939,94,167,261,990,1125,2125,236,333,568,202,115,321,12,25,40,37,51,87,256,193,449,2609,2838,5446,603,724,1333,1504,1688,3190,1525,1728,3257
POA2063,2450,2712,5167,1083,682,1767,365,603,972,102,128,225,61,53,112,1606,1462,3072,772,1154,1925,3.7,3.8,3.7,65.6,53.9,59.5,63.1,51.9,57.2,449,380,826,90,97,185,829,894,1723,161,308,468,135,73,210,8,15,19,28,72,104,171,164,336,2634,2822,5455,385,392,778,1887,2012,3901,999,1065,2063
POA2064,3670,3892,7564,1849,1386,3239,488,805,1298,154,199,353,135,111,248,2631,2503,5133,894,1231,2130,5.1,4.6,4.9,71.7,64.3,67.9,68,61.4,64.6,698,733,1431,108,179,286,1240,1307,2547,300,375,675,235,159,394,15,22,31,44,66,112,290,248,540,3457,3582,7038,1003,938,1938,2080,2209,4288,2132,2118,4252
POA2065,12887,14211,27103,7459,6320,13782,1637,2549,4181,547,814,1359,333,306,637,9977,9988,19965,2472,3681,6161,3.3,3.1,3.2,77.4,70.3,73.7,74.8,68.1,71.3,2584,2678,5261,423,667,1096,4915,5478,10392,1057,1354,2414,859,524,1386,44,81,122,149,237,387,1055,842,1895,11024,11999,23019,3498,3746,7241,5779,6616,12392,8011,8435,16446
POA2066,13126,14231,27354,6787,5324,12115,1864,2947,4813,626,864,1483,367,328,689,9644,9457,19098,3051,4269,7320,3.8,3.4,3.6,73.5,66.5,69.8,70.7,64.2,67.3,2274,2305,4585,394,637,1038,4364,5087,9453,1096,1468,2563,1099,595,1693,56,107,161,191,326,520,1354,1020,2378,13004,13695,26698,2780,2832,5620,7765,8283,16048,7159,7412,14576
POA2067,10591,11918,22503,4563,3341,7906,1499,2195,3700,565,732,1298,365,371,742,6999,6650,13647,3152,4765,7914,5.2,5.6,5.4,66.1,55.8,60.7,62.7,52.6,57.4,1957,2047,4000,249,330,578,3426,3840,7265,850,1216,2067,665,382,1050,51,82,133,165,202,362,882,667,1542,9520,10454,19971,2826,3090,5918,5377,6084,11464,6357,6880,13239
POA2068,6541,7235,13769,3119,2150,5269,936,1646,2585,279,407,692,157,165,322,4494,4370,8859,1863,2636,4501,3.5,3.8,3.6,68.7,60.4,64.3,66.3,58.1,62,988,985,1971,190,303,493,2142,2340,4485,490,756,1253,539,268,806,25,60,84,105,153,258,665,485,1153,7085,7631,14711,994,1152,2147,4947,5249,10194,2724,3137,5862
POA2069,5633,6026,11658,2519,1682,4200,887,1356,2239,268,350,613,165,137,302,3831,3524,7351,1662,2312,3977,4.4,3.8,4.1,68,58.5,63.1,65,56.2,60.5,1049,967,2021,183,255,435,1918,2028,3946,398,652,1049,356,150,504,21,42,66,61,140,202,447,329,776,5996,6242,12241,921,959,1884,4244,4418,8659,2396,2522,4913
POA2070,5497,6177,11674,2459,1700,4167,788,1306,2095,247,362,615,161,132,296,3661,3504,7164,1695,2528,4226,4.5,3.7,4.1,66.6,56.7,61.4,63.7,54.6,58.9,1140,1052,2190,154,283,440,1841,2069,3915,388,614,1003,299,188,490,14,21,41,74,137,206,387,347,736,5927,6383,12309,897,977,1875,3951,4249,8202,2567,2832,5399
POA2071,5262,5785,11050,2161,1523,3682,766,1192,1961,238,318,556,168,124,298,3339,3158,6494,1785,2447,4238,5.1,4,4.6,63.4,54.6,58.8,60.2,52.4,56.1,1061,943,2006,131,201,333,1752,1954,3705,397,581,980,248,153,404,21,37,54,56,144,201,324,330,656,5430,5755,11187,927,979,1904,3751,3999,7753,2367,2525,4893
POA2072,3444,3851,7297,1557,1114,2673,492,822,1320,159,195,354,126,102,228,2342,2241,4576,1001,1489,2491,5.4,4.6,5,68,58.2,62.8,64.3,55.5,59.6,739,700,1437,93,140,233,1152,1285,2440,244,421,658,180,118,296,26,23,47,50,66,114,253,210,458,3285,3584,6870,768,851,1624,1875,2084,3958,2014,2195,4211
POA2073,6459,7235,13692,3028,2045,5076,977,1702,2679,307,433,743,212,171,382,4522,4353,8873,1781,2702,4485,4.6,4,4.3,70,60.2,64.8,66.8,57.8,62,1328,1215,2538,215,377,585,2203,2394,4598,442,680,1126,366,191,551,27,43,73,86,150,235,470,383,858,6912,7600,14516,1017,1179,2198,4873,5354,10231,2724,3076,5797
POA2074,9040,10057,19105,3952,2558,6502,1245,2216,3462,375,520,902,251,203,452,5824,5500,11324,3002,4247,7255,4.3,3.7,4,64.4,54.7,59.3,61.7,52.6,56.9,1718,1392,3114,282,419,701,2827,3170,5995,734,1155,1889,636,367,1006,42,74,115,151,259,409,828,697,1523,9621,10341,19962,1363,1424,2786,6594,7153,13750,3894,4095,7991
POA2075,8097,9015,17110,3604,2341,5944,1123,1922,3043,338,523,863,225,211,436,5292,4995,10290,2644,3838,6475,4.3,4.2,4.2,65.3,55.4,60.1,62.6,53.1,57.6,1498,1359,2863,212,332,540,2535,2759,5291,736,1052,1785,588,334,922,42,78,120,144,234,378,768,645,1416,8824,9514,18337,1353,1437,2797,6009,6508,12520,3691,4013,7707
POA2076,9760,10758,20520,4255,2807,7060,1302,2367,3664,436,594,1036,287,199,489,6280,5967,12251,3208,4444,7650,4.6,3.4,4,64.4,55.5,59.7,61.4,53.6,57.3,1703,1446,3149,287,443,739,2930,3237,6167,807,1189,2001,846,416,1258,47,75,129,142,274,419,1037,769,1806,10421,10965,21382,1486,1592,3075,7338,7674,15013,4023,4361,8387
POA2077,16675,17874,34553,7914,5609,13526,2424,3901,6325,860,1082,1934,535,494,1025,11728,11078,22807,4323,6170,10500,4.5,4.4,4.5,70.3,62,66,67.1,59.2,63,2572,2549,5129,377,640,1015,4708,5347,10055,1576,2043,3622,2002,1195,3191,104,159,258,245,431,681,2343,1787,4129,16465,17300,33767,3552,3634,7183,9414,10004,19412,9445,9836,19276
POA2079,3092,3172,6260,1518,1005,2526,467,829,1300,176,225,394,75,82,154,2237,2139,4375,799,972,1770,3.3,3.8,3.5,72.3,67.5,69.9,69.9,64.9,67.4,283,324,605,77,142,217,710,827,1537,306,407,714,606,274,879,20,44,65,58,85,139,690,401,1089,3397,3347,6749,414,443,862,2419,2384,4804,1186,1230,2415
