POA_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
POA2782,208,16,229,1014,302,18,1334,3727,300,5361
POA2783,40,3,40,467,135,11,617,1525,71,2211
POA2784,9,0,9,238,61,10,308,732,40,1079
POA2785,101,7,111,692,164,17,875,3021,257,4157
POA2786,22,0,18,156,54,5,216,757,58,1025
POA2787,97,7,103,558,259,21,835,2501,503,3837
POA2790,411,28,438,1970,810,100,2881,8927,1212,13017
POA2791,10,0,12,38,13,4,56,190,25,272
POA2792,11,0,14,45,17,0,61,248,23,330
POA2793,9,0,11,112,52,4,167,644,115,920
POA2794,352,32,387,1390,582,56,2034,5949,677,8663
POA2795,969,85,1061,6953,2624,317,9897,23666,3060,36624
POA2797,5,3,9,74,22,0,94,205,42,338
POA2798,21,5,24,414,111,17,540,1009,159,1707
POA2799,91,10,100,687,204,35,923,2228,152,3296
POA2800,928,154,1103,8194,2757,390,11339,24192,2356,37891
POA2803,3,0,3,31,14,0,46,180,19,241
POA2804,70,14,83,353,165,20,538,1561,243,2339
POA2805,8,0,11,51,18,0,73,232,36,339
POA2806,29,7,34,92,43,6,138,467,99,709
POA2807,0,0,0,38,17,3,62,278,48,382
POA2808,0,0,0,14,5,0,25,143,22,188
POA2809,5,0,6,34,10,0,43,109,13,168
POA2810,120,17,128,372,191,21,589,1863,196,2645
POA2817,4,0,4,54,24,0,80,181,37,296
POA2818,11,3,17,129,65,3,196,412,59,665
POA2820,154,30,191,772,364,41,1177,3491,1419,6087
POA2821,90,33,120,638,274,48,956,2252,501,3715
POA2822,7,3,6,59,30,4,89,202,55,348
POA2823,24,21,44,191,76,8,268,659,149,1072
POA2824,49,33,82,270,105,4,380,1058,214,1659
POA2825,50,13,69,335,103,3,438,1178,165,1787
POA2826,3,0,3,30,7,0,32,110,6,149
POA2827,101,19,117,491,239,26,754,1856,365,2979
POA2828,14,0,15,88,33,9,126,409,95,630
POA2829,63,0,64,378,157,12,542,1437,329,2309
POA2830,820,126,957,7244,2649,310,10213,21904,3205,35320
POA2831,16,4,23,320,89,13,420,803,203,1425
POA2832,8,12,15,213,67,5,280,838,561,1676
POA2833,6,0,12,55,17,4,73,314,126,512
POA2834,43,5,48,173,78,7,258,1073,363,1695
POA2835,65,13,76,553,162,12,725,1789,487,3002
POA2836,7,3,5,61,31,0,90,458,163,709
POA2838,0,0,0,13,5,0,25,112,40,179
POA2839,13,3,17,111,46,7,164,544,140,853
POA2840,28,3,34,297,77,9,383,1117,359,1857
POA2842,14,0,10,99,31,7,138,387,63,584
POA2843,39,3,44,148,49,0,195,683,165,1038
POA2844,43,10,49,168,52,9,222,759,115,1093
POA2845,29,0,26,320,100,17,439,1075,71,1582
POA2846,8,0,4,32,10,0,33,168,22,226
POA2847,47,3,49,319,172,11,500,1351,173,2024
POA2848,41,5,48,149,56,4,215,961,133,1310
POA2849,36,6,44,186,76,4,266,962,145,1375
POA2850,372,60,433,3137,928,141,4209,9856,1178,15243
POA2852,73,6,78,565,217,25,806,1866,290,2960
POA2864,14,6,20,128,52,7,187,415,61,660
POA2865,22,0,25,121,70,11,200,485,64,755
POA2866,79,16,97,478,166,31,675,1564,219,2463
POA2867,9,0,9,104,30,6,142,296,44,483
POA2868,20,3,25,91,34,7,128,298,34,465
POA2869,39,8,47,166,65,9,238,817,204,1254
POA2870,309,27,343,1865,717,92,2680,6204,663,9550
POA2871,243,31,278,1275,480,78,1827,4695,667,7187
POA2873,24,5,35,78,24,4,103,314,59,475
POA2874,5,12,16,55,9,0,61,185,50,300
POA2875,32,6,31,110,43,8,169,443,58,665
POA2876,8,0,8,94,16,0,112,223,43,375
POA2877,96,17,112,515,205,8,735,1732,328,2797
POA2878,4,0,6,26,8,0,32,153,51,237
POA2879,4,3,10,44,17,4,63,335,104,499
POA2880,465,126,599,2294,989,117,3403,10183,1403,14992
POA2898,12,0,15,72,22,0,104,247,36,379
