POA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA2646,1064,657,609,598,828,1072,1083,674,265,6841
POA2647,397,218,206,217,286,363,479,300,79,2557
POA2648,410,210,271,248,316,476,448,216,78,2671
POA2649,10,0,0,10,0,3,4,0,0,30
POA2650,12546,8161,8821,7491,6976,6908,5699,3387,1524,61511
POA2651,664,847,484,413,282,200,131,57,13,3081
POA2652,998,481,516,535,615,713,577,249,81,4757
POA2653,441,238,266,312,334,373,376,214,80,2636
POA2655,328,132,133,153,160,191,174,102,49,1416
POA2656,247,136,95,116,150,215,189,114,61,1327
POA2658,267,163,112,144,164,230,214,144,55,1488
POA2659,157,123,58,91,111,147,87,78,17,871
POA2660,339,181,108,191,187,197,237,135,37,1607
POA2661,79,150,115,44,15,0,3,0,0,395
POA2663,845,584,798,737,681,666,554,310,102,5281
POA2665,385,182,147,210,252,304,329,151,63,2017
POA2666,1029,605,497,515,659,837,781,503,231,5636
POA2668,84,38,20,35,76,68,54,21,7,404
POA2669,322,156,139,172,204,247,184,95,26,1539
POA2671,776,407,460,464,433,503,465,314,149,3969
POA2672,323,149,175,186,162,197,175,99,44,1511
POA2675,312,162,323,206,200,208,130,73,44,1659
POA2678,0,401,32,0,3,0,0,0,0,433
POA2680,4921,3019,3817,3216,3171,2985,2207,1331,667,25339
POA2681,343,263,211,187,260,239,167,104,20,1793
POA2700,978,494,476,525,569,692,587,393,168,4873
POA2701,512,279,267,267,288,302,293,179,93,2492
POA2702,150,88,66,73,112,110,113,72,17,793
POA2703,182,183,67,54,79,65,71,37,5,744
POA2705,2229,1339,1301,1202,1305,1374,987,666,279,10687
POA2706,156,125,135,109,138,176,127,55,10,1030
POA2707,217,122,127,142,148,187,130,58,40,1167
POA2710,1683,979,973,972,1193,1478,1342,801,323,9743
POA2711,516,338,355,292,384,579,372,273,90,3197
POA2712,207,131,110,122,153,215,229,137,70,1375
POA2713,463,251,241,257,332,422,404,265,113,2746
POA2714,409,193,207,253,281,413,679,372,116,2921
POA2715,259,126,150,133,186,224,171,88,43,1382
POA2716,167,74,119,82,106,160,159,90,30,988
POA2717,210,168,104,117,184,168,150,85,25,1205
POA2720,1630,905,883,979,1025,1200,1017,636,228,8501
POA2721,53,22,18,20,38,33,29,16,0,230
POA2722,641,384,357,371,400,482,450,243,89,3418
POA2725,54,26,21,26,53,60,70,32,5,347
POA2726,47,24,32,33,21,49,29,14,10,255
POA2727,76,45,24,46,41,44,40,13,0,348
POA2729,299,153,134,191,217,277,196,130,37,1622
POA2730,217,116,116,124,186,216,201,106,49,1335
POA2731,1275,653,668,746,877,1033,1232,748,219,7446
POA2732,264,123,162,134,206,355,321,201,106,1877
POA2733,115,48,70,59,58,102,85,41,18,598
POA2734,85,57,36,48,58,80,69,32,6,472
POA2735,76,47,39,38,52,60,57,22,8,408
POA2736,69,39,68,60,69,38,44,29,6,419
POA2737,180,97,128,88,93,107,106,27,8,822
POA2738,510,247,226,274,270,264,226,91,21,2132
POA2739,289,155,199,185,189,182,131,71,17,1414
POA2745,7345,4571,3960,4730,4534,3480,2176,850,203,31847
POA2747,12826,6704,9227,8874,6178,4649,3723,1704,530,54397
POA2748,250,275,169,157,270,298,190,144,40,1798
POA2749,3898,2289,2550,2324,2158,2011,1213,468,118,17029
POA2750,8759,6309,7465,6852,5880,5199,4845,2798,1099,49204
POA2752,1278,772,825,745,789,710,420,163,45,5747
POA2753,3017,2352,2445,1979,2334,2206,1683,1063,515,17587
POA2754,1335,798,962,840,867,723,794,549,189,7065
POA2756,7414,4655,4778,4491,4748,4529,2925,1421,358,35328
POA2757,151,112,103,77,120,118,99,59,22,850
POA2758,1578,1130,875,952,1419,1343,978,448,125,8848
POA2759,5382,3449,3781,3597,3271,3726,2353,693,179,26434
POA2760,8908,4616,5953,5867,4267,3518,2555,1429,514,37632
POA2761,7950,5067,4882,5176,4609,3891,2117,729,285,34702
POA2762,6042,2334,4245,5267,1908,1092,662,188,49,21780
POA2763,7588,3988,4922,6096,4057,3220,2281,800,243,33197
POA2765,11840,4675,8343,9345,4636,3178,2347,1002,245,45613
POA2766,3471,2205,2357,2450,2004,1853,1437,718,564,17047
POA2767,4687,3101,3285,3559,3044,2731,2014,750,220,23384
POA2768,5971,4173,3235,5248,4435,2984,1899,775,145,28864
POA2769,4798,1666,1523,4078,2001,905,786,409,142,16315
POA2770,14823,8777,8632,7909,7325,6462,4720,2361,493,61494
POA2773,1106,746,436,691,908,868,720,378,115,5978
POA2774,2687,1482,1358,1825,1715,1561,1495,730,157,13010
POA2775,164,112,111,156,274,317,225,133,21,1518
POA2776,874,447,412,580,581,558,448,198,53,4156
POA2777,3304,2003,1603,2176,2497,2345,2139,1165,581,17816
POA2778,395,284,249,277,362,411,318,104,32,2425
POA2779,999,581,516,693,735,658,569,271,59,5077
POA2780,1730,1187,1225,1517,1938,2094,2224,1070,354,13348
POA2782,1075,537,471,692,821,946,1090,568,229,6428
POA2783,436,292,254,336,377,467,323,127,40,2651
POA2784,218,136,121,164,201,216,156,73,9,1300
POA2785,668,310,376,514,665,882,837,463,111,4822
POA2786,153,92,104,121,165,205,207,110,18,1178
POA2787,770,429,463,494,574,679,722,371,103,4605
POA2790,2432,1573,1722,1584,1942,2325,2121,1311,438,15452
POA2791,52,19,21,24,50,65,49,28,12,322
POA2792,53,36,50,30,58,69,40,28,14,386
POA2793,149,73,91,87,127,200,223,111,11,1074
POA2794,1839,1166,1102,1012,1259,1404,1437,898,387,10504
POA2795,8448,5924,5817,5278,5642,5562,4701,2637,1061,45077
POA2797,95,27,35,59,62,67,55,36,9,434
POA2798,488,209,160,262,343,308,281,118,24,2193
POA2799,859,480,506,422,480,604,460,249,100,4156
POA2800,10394,5649,6272,6036,5876,5457,4753,2737,1103,48283
POA2803,41,21,23,26,40,56,46,38,3,286
POA2804,489,297,238,264,359,427,401,272,83,2832
POA2805,70,45,31,49,57,56,65,32,11,408
POA2806,154,75,80,86,74,146,136,73,34,862
POA2807,62,39,36,42,62,85,80,36,0,450
POA2808,24,19,14,12,33,45,53,16,0,216
POA2809,37,10,24,21,20,45,26,19,6,202
POA2810,484,277,246,293,366,484,529,317,128,3132
POA2817,70,24,42,45,46,76,50,13,4,359
POA2818,184,90,88,91,117,111,98,51,17,849
POA2820,1291,775,1052,855,854,999,850,509,191,7378
POA2821,1063,533,525,532,514,616,530,340,120,4778
POA2822,84,45,47,43,43,85,67,17,6,433
POA2823,261,122,168,138,138,182,175,104,44,1340
POA2824,395,198,214,189,230,310,253,182,82,2055
POA2825,421,270,287,198,297,273,196,192,69,2202
POA2826,27,29,12,18,29,29,20,9,3,178
POA2827,701,332,389,362,455,527,468,330,117,3678
POA2828,163,66,80,86,100,147,90,39,15,798
POA2829,657,331,376,312,334,373,323,193,64,2965
POA2830,9640,5180,7010,5501,5097,5032,4023,2512,957,44963
POA2831,418,164,198,217,241,295,189,88,23,1845
POA2832,470,220,294,230,276,316,242,83,15,2149
POA2833,123,90,73,61,78,77,84,30,12,634
POA2834,287,155,191,180,234,357,315,215,48,1984
POA2835,792,435,566,476,404,504,351,193,76,3793
POA2836,188,122,126,96,121,107,95,41,5,895
POA2838,43,20,30,24,27,29,33,14,0,223
POA2839,227,135,177,99,131,168,88,38,17,1079
POA2840,527,273,327,275,314,320,212,112,34,2389
POA2842,139,72,59,75,87,101,117,55,10,720
POA2843,219,129,123,110,152,185,161,132,44,1262
POA2844,215,113,127,117,146,200,189,158,49,1312
POA2845,433,226,238,226,242,284,241,96,26,2019
POA2846,28,22,16,16,38,47,54,18,4,253
POA2847,416,228,247,278,285,372,373,191,49,2447
POA2848,232,141,100,120,201,258,254,190,48,1540
POA2849,238,133,113,157,225,273,286,141,44,1610
POA2850,3896,1944,2363,2269,2506,2534,1969,1223,433,19146
POA2852,772,344,389,454,447,509,482,245,78,3734
POA2864,163,94,68,100,106,107,108,69,20,824
POA2865,178,93,81,117,139,108,145,48,25,927
POA2866,649,373,266,358,372,417,362,215,97,3112
POA2867,155,56,57,75,57,95,83,52,9,636
POA2868,113,58,50,63,63,93,58,59,25,579
POA2869,276,134,133,142,196,253,223,114,47,1528
POA2870,2487,1461,1428,1342,1402,1529,1222,828,343,12036
POA2871,1777,983,978,961,1031,1163,1067,734,278,8965
POA2873,88,42,59,54,71,93,84,45,35,560
POA2874,68,27,31,37,46,62,49,35,16,369
POA2875,140,72,67,81,88,144,128,53,31,802
POA2876,118,48,53,52,75,56,64,27,8,494
POA2877,778,353,428,393,407,490,372,240,112,3575
POA2878,48,30,35,40,33,39,31,12,6,286
POA2879,76,56,60,48,74,101,104,53,10,577
POA2880,3104,1908,2226,1959,2091,2641,2273,1292,599,18097
POA2898,66,11,64,69,43,82,56,38,15,445
