POA_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
POA2770,54,394,3,398,..,80,24,96,0,96,..,400,135,537,0,541,..,192,105,304,0,305,..,3980,886,4875,88,4954,..,18951,3366,22320,225,22544,..,498,116,622,5600,6217,32735,19449,3488,22937,5823,61494
POA2773,0,0,0,0,..,0,5,3,0,3,..,3,0,3,0,3,..,9,3,13,0,13,..,69,6,76,0,78,..,299,26,320,4,324,..,8,0,8,102,115,5545,307,26,332,104,5978
POA2774,0,4,0,4,..,19,6,24,0,24,..,4,0,4,0,4,..,10,3,14,0,14,..,153,10,164,5,169,..,703,48,753,8,764,..,26,0,26,267,297,11954,730,48,774,279,13010
POA2775,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,15,0,15,0,15,..,65,3,65,0,69,..,0,0,0,149,151,1300,60,6,68,150,1518
POA2776,0,5,0,5,..,3,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,37,3,42,3,43,..,204,19,217,0,226,..,5,0,3,93,103,3827,205,16,223,102,4156
POA2777,0,3,0,3,..,20,6,29,0,29,..,9,0,9,0,9,..,7,0,7,0,7,..,203,26,223,14,236,..,806,63,867,15,880,..,74,5,82,433,513,16417,885,66,951,448,17816
POA2778,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,31,5,33,0,33,..,138,15,151,0,151,..,7,0,5,54,63,2218,144,16,154,54,2425
POA2779,0,3,0,3,..,15,0,14,0,14,..,0,0,0,0,0,..,3,0,3,0,3,..,50,0,53,0,52,..,292,23,314,3,323,..,7,0,7,123,130,4627,302,23,326,123,5077
POA2780,0,3,0,3,..,43,3,48,0,47,..,3,0,9,0,9,..,72,14,91,3,89,..,236,34,272,5,276,..,1169,126,1289,20,1305,..,45,3,46,554,602,11432,1211,128,1339,571,13348
POA2782,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,14,4,16,0,16,..,58,6,60,3,68,..,411,15,422,11,440,..,19,0,19,339,357,5639,427,21,443,349,6428
POA2783,0,0,0,0,..,3,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,39,3,42,0,45,..,147,13,166,0,164,..,5,0,3,64,68,2412,154,14,164,69,2651
POA2784,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,18,4,22,0,19,..,80,4,85,0,85,..,3,0,3,42,52,1161,78,4,88,47,1300
POA2785,0,0,0,0,..,18,3,16,0,16,..,0,0,3,0,3,..,4,0,4,0,4,..,62,3,72,0,74,..,286,34,317,9,328,..,14,0,19,286,300,4192,302,35,335,295,4822
POA2786,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,19,0,23,0,20,..,83,7,91,6,88,..,0,0,0,53,58,1030,87,7,94,57,1178
POA2787,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,51,8,56,0,57,..,200,32,235,7,238,..,15,0,19,551,565,3795,217,37,250,559,4605
POA2790,0,10,0,10,..,24,12,42,0,42,..,5,0,5,0,5,..,20,4,28,0,28,..,126,5,129,8,133,..,645,88,733,12,740,..,49,7,49,1286,1333,13378,685,88,781,1294,15452
POA2791,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,30,30,285,5,0,5,30,322
POA2792,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,9,0,9,0,9,..,0,0,0,22,22,356,9,0,9,22,386
POA2793,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,20,0,20,0,20,..,0,0,0,128,124,928,20,0,20,128,1074
POA2794,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,6,0,5,0,5,..,136,25,160,5,167,..,352,62,414,8,425,..,34,4,36,701,735,9343,386,65,457,705,10504
POA2795,6,63,0,65,..,49,25,75,0,75,..,0,0,5,0,5,..,65,15,73,0,73,..,350,41,384,6,396,..,2129,240,2369,41,2402,..,82,4,90,3146,3237,39437,2208,246,2450,3185,45077
POA2797,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,0,0,0,..,14,0,11,0,11,..,0,0,0,50,51,374,11,0,18,50,434
POA2798,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,4,13,0,13,..,24,4,27,0,27,..,0,0,3,178,179,1986,27,7,32,178,2193
