POA_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
POA2019,0,0,0,10,4,5,8,7,0,33,0,3,17,124,23,39,5,3,4,217,0,0,0,6,0,0,8,17,4,36,0,0,0,0,0,0,3,9,6,14,0,3,14,75,42,27,22,11,3,201,0,0,0,7,6,8,0,0,0,27,0,0,0,8,3,0,0,0,0,12,0,0,0,7,3,3,0,0,0,16,0,0,0,0,0,11,15,13,9,45,0,0,0,13,0,13,3,0,0,32,0,5,0,24,5,6,5,4,0,52,0,0,16,64,30,12,15,4,0,145,0,0,0,18,0,0,0,0,0,21,0,0,0,0,0,4,0,0,0,8,0,4,7,108,10,7,3,4,0,146,0,0,0,12,9,4,12,8,7,51,0,0,0,6,5,3,0,0,0,16,0,0,0,11,8,3,0,0,0,18,0,0,0,13,5,0,4,5,0,27,0,0,0,32,6,5,9,0,0,50
POA2020,0,0,0,14,8,5,3,6,0,45,0,12,294,828,57,74,39,16,4,1338,0,0,0,0,0,0,9,8,4,21,0,0,0,0,0,4,16,12,8,35,0,4,12,96,14,19,13,0,3,162,0,0,0,24,4,5,9,3,0,47,0,5,3,16,4,0,0,0,0,27,0,0,3,10,3,0,4,0,0,19,0,0,0,8,3,6,26,58,14,114,4,0,32,85,17,19,15,0,5,172,6,7,30,161,10,12,13,3,3,240,0,10,302,591,74,41,39,12,3,1069,0,0,0,21,5,7,0,0,0,29,0,0,0,3,6,3,0,0,0,12,0,0,19,193,12,3,0,0,0,228,0,0,9,13,3,4,8,8,9,55,0,0,7,48,11,5,0,0,0,72,0,0,9,60,5,5,0,0,0,86,0,0,0,9,5,11,4,5,0,36,0,3,20,90,13,14,12,3,0,158
POA2021,0,0,0,11,5,0,0,0,0,22,0,0,0,31,10,5,6,4,0,63,0,0,0,0,3,4,0,0,0,12,0,0,0,0,0,0,4,0,0,11,8,20,35,209,78,74,46,32,20,517,0,0,0,0,0,0,5,3,0,9,0,3,6,39,14,0,3,0,0,72,0,0,3,18,7,6,9,5,3,54,0,0,0,0,3,0,3,4,9,20,0,13,8,29,12,3,5,0,0,64,0,0,0,17,4,9,6,0,0,36,0,0,3,10,0,0,0,0,0,26,0,0,0,12,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,3,0,0,3,30,9,3,7,4,0,64,0,0,0,17,4,7,7,3,4,39,0,0,0,20,10,7,3,3,0,44,0,0,0,19,8,0,0,0,0,26,0,0,0,0,0,0,0,0,0,5,0,0,0,24,5,7,10,0,0,57
POA2022,0,0,3,27,0,0,3,0,0,33,0,11,14,89,32,35,25,11,4,222,0,0,0,0,0,3,0,4,0,12,0,0,0,6,0,0,6,7,4,18,8,20,47,313,69,27,29,24,11,553,0,0,0,7,0,0,0,0,0,14,0,3,4,57,3,3,7,0,5,78,0,0,4,26,11,0,6,8,3,53,0,0,0,0,0,4,4,4,6,25,0,8,5,19,9,8,0,7,0,46,0,3,8,20,3,0,6,9,0,47,0,0,3,17,0,9,3,7,0,46,0,0,0,9,0,0,0,3,0,21,0,0,0,0,0,0,0,0,0,3,0,0,9,151,7,6,0,4,0,175,0,0,12,33,3,0,11,7,5,76,0,0,0,22,20,7,4,3,0,59,0,3,0,29,8,4,3,0,0,49,0,0,0,0,0,0,0,0,0,7,0,0,0,12,7,10,3,0,3,44
POA2023,0,0,0,0,0,0,0,0,0,4,0,8,10,53,29,22,9,8,3,145,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,7,3,0,9,0,20,24,145,37,25,37,15,3,303,0,0,0,3,0,0,0,0,0,4,0,0,0,23,4,0,4,0,5,34,0,0,5,16,3,3,9,3,4,49,0,0,0,0,0,5,6,3,0,11,0,10,12,13,11,11,5,7,0,68,0,0,0,14,6,5,0,4,0,29,0,0,3,8,3,3,0,0,0,23,0,0,0,9,0,5,0,0,0,13,0,0,0,0,0,0,4,0,0,0,0,0,0,26,8,7,0,5,0,37,0,0,0,17,0,5,5,4,0,29,0,0,0,10,3,0,3,0,0,17,0,0,0,4,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,6,0,0,0,4,7,5,6,0,0,24
POA2024,0,0,0,17,5,0,0,4,0,24,0,7,15,12,7,4,3,3,4,51,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,4,4,0,12,0,28,23,214,82,54,26,20,10,465,0,0,0,0,0,0,0,0,0,6,0,0,7,41,3,0,7,0,0,59,0,5,0,18,4,9,7,3,0,51,0,0,0,3,0,0,10,9,10,35,0,3,6,9,3,7,0,0,4,39,0,0,0,9,5,0,0,0,3,20,0,0,0,7,0,0,3,0,0,9,0,0,0,7,0,4,0,0,3,9,0,0,0,0,0,0,0,0,0,3,0,0,3,50,15,3,3,5,3,85,0,0,0,14,7,0,10,10,15,61,0,0,0,3,6,3,5,0,0,22,0,0,0,12,0,0,0,0,0,14,0,0,0,3,3,0,0,0,0,12,0,3,0,0,10,4,3,0,0,23
POA2025,0,0,0,5,0,0,0,0,0,10,0,0,4,39,14,4,4,3,4,74,0,0,0,3,0,0,0,4,0,7,0,0,0,0,0,0,4,7,0,10,0,16,23,76,40,26,31,18,6,236,0,0,0,0,0,0,0,0,0,6,0,0,0,15,0,0,0,0,4,20,0,0,0,15,7,5,3,5,4,34,0,0,0,0,0,0,3,3,4,8,0,7,10,4,8,3,0,0,0,30,0,0,0,6,6,0,8,3,0,15,0,0,0,6,3,0,0,0,0,13,0,0,0,6,0,5,0,0,0,10,0,0,0,0,0,4,0,0,5,7,0,0,0,17,6,3,0,4,0,23,0,0,0,8,0,7,0,5,0,24,4,0,0,11,3,0,0,3,0,22,0,0,0,4,0,3,0,0,0,13,0,0,0,0,3,0,0,5,0,4,0,0,0,3,4,8,4,0,0,17
POA2026,0,0,5,117,3,4,3,5,0,133,0,5,5,46,20,14,6,20,7,118,0,0,0,3,4,0,4,0,0,16,0,0,0,0,0,0,10,6,5,18,9,25,71,1066,156,70,56,42,7,1498,0,0,0,7,3,6,3,0,0,14,0,3,22,220,10,6,6,5,6,283,0,4,11,121,20,16,13,9,10,199,0,6,0,10,0,4,8,20,9,46,3,0,4,24,15,0,0,0,0,58,0,5,0,39,0,13,6,10,4,76,0,0,4,21,7,3,0,3,0,35,0,0,0,14,4,4,0,0,0,23,0,0,0,4,0,0,0,0,4,10,0,0,4,198,28,11,4,5,0,244,0,0,16,175,7,7,9,20,8,241,0,0,6,32,28,10,0,0,0,80,0,0,0,35,11,3,0,0,0,46,0,0,0,3,3,3,6,0,0,19,0,0,0,18,3,4,3,3,0,34
POA2027,0,0,0,8,0,0,0,0,0,4,0,4,3,48,13,24,5,10,3,116,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,5,0,3,23,78,21,24,23,22,7,205,0,0,0,4,3,3,0,0,0,9,0,0,0,17,3,4,0,3,0,31,0,0,0,6,6,6,8,7,7,47,0,0,0,0,0,0,3,0,0,7,0,3,4,16,4,8,13,5,0,53,0,4,0,6,3,3,6,3,0,32,0,0,0,3,3,0,0,0,0,6,0,0,0,4,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,6,0,0,0,15,5,5,5,3,0,27,0,0,0,11,3,0,5,6,0,29,0,0,6,5,6,3,3,0,0,25,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,11,4,5,10,3,0,33
POA2028,0,0,0,0,0,0,0,0,0,0,0,0,3,15,16,10,5,9,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,4,0,5,56,7,23,13,15,6,131,0,0,0,0,3,0,0,0,0,9,0,0,0,14,6,0,4,0,0,22,0,0,0,6,0,0,4,4,0,21,0,0,0,0,0,0,0,0,0,6,0,0,3,12,3,0,0,0,0,31,0,0,0,3,0,0,0,0,3,14,0,0,0,5,0,4,3,0,0,8,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,3,0,0,12,0,0,0,9,0,0,6,0,0,23,0,0,0,6,3,0,0,3,0,10,0,0,0,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,7
POA2029,0,0,0,6,3,0,0,0,0,12,0,12,7,48,23,16,8,5,7,134,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,3,4,4,17,0,8,25,117,42,20,16,18,10,261,0,0,0,5,9,4,0,0,0,10,0,0,3,16,4,0,0,0,4,27,0,0,0,10,3,0,7,4,0,29,0,0,0,4,0,0,6,4,4,24,0,3,0,3,5,8,3,0,0,26,0,0,0,0,6,3,0,4,0,23,0,0,5,10,8,0,0,4,0,12,0,0,0,6,0,3,0,5,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,6,4,4,0,39,0,0,0,13,0,3,4,12,4,41,0,0,0,4,6,3,0,0,0,25,0,0,0,7,5,0,0,0,0,18,0,0,0,0,0,3,0,0,0,4,0,0,0,7,7,4,4,4,0,24
POA2030,0,0,3,0,0,0,0,0,0,13,0,15,17,71,49,34,26,8,3,228,0,0,0,6,0,3,0,0,0,8,0,0,0,4,0,0,6,11,3,26,6,32,23,74,67,52,29,29,11,322,0,0,0,0,0,5,0,0,0,12,0,7,3,24,3,3,3,3,0,41,0,0,0,6,9,3,4,12,3,43,0,0,0,4,0,10,12,16,7,53,0,24,12,11,10,10,4,4,0,73,0,0,3,8,7,11,3,4,5,33,0,0,0,16,0,9,4,4,3,34,0,0,0,16,0,8,9,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,8,0,0,0,23,0,0,0,12,3,5,7,3,0,35,0,0,0,7,3,3,0,0,0,16,0,0,0,9,6,0,0,0,0,17,0,0,0,0,3,3,0,0,0,9,0,3,0,6,7,11,4,0,0,38
POA2031,0,0,0,34,5,5,9,0,0,59,0,17,34,161,50,51,30,16,12,369,0,0,0,3,3,3,0,0,0,18,0,0,4,7,0,0,13,7,3,35,4,47,62,670,196,124,77,43,13,1242,0,0,0,6,12,5,6,0,0,36,0,5,9,92,17,10,4,7,0,146,3,0,9,55,25,10,18,6,7,129,0,0,4,8,5,4,19,44,32,102,0,8,9,34,18,26,22,10,0,123,0,5,7,90,10,8,16,10,5,146,0,0,11,34,13,8,7,0,0,85,0,0,0,31,4,3,0,0,0,38,0,0,0,0,0,4,0,4,0,9,5,6,23,599,46,23,9,6,5,723,0,0,0,57,8,8,15,19,16,118,0,8,0,51,26,15,6,3,0,107,0,0,4,38,12,0,0,0,0,55,0,0,0,12,3,4,0,6,0,39,0,0,27,53,15,20,21,16,3,149
