SA3_CODE_2021,C21_1500_1999_R100_149,C21_1500_1999_R150_199,C21_1500_1999_R200_224,C21_1500_1999_R225_274,C21_1500_1999_R275_349,C21_1500_1999_R350_449,C21_1500_1999_R450_549,C21_1500_1999_R550_649,C21_1500_1999_R650more,C21_1500_1999_R_NS,C21_1500_1999_R_Tot,C21_2000_2499_R1_74,C21_2000_2499_R75_99,C21_2000_2499_R100_149,C21_2000_2499_R150_199,C21_2000_2499_R200_224,C21_2000_2499_R225_274,C21_2000_2499_R275_349,C21_2000_2499_R350_449,C21_2000_2499_R450_549,C21_2000_2499_R550_649,C21_2000_2499_R650more,C21_2000_2499_R_NS,C21_2000_2499_R_Tot,C21_2500_2999_R1_74,C21_2500_2999_R75_99,C21_2500_2999_R100_149,C21_2500_2999_R150_199,C21_2500_2999_R200_224,C21_2500_2999_R225_274,C21_2500_2999_R275_349,C21_2500_2999_R350_449,C21_2500_2999_R450_549,C21_2500_2999_R550_649,C21_2500_2999_R650more,C21_2500_2999_R_NS,C21_2500_2999_R_Tot,C21_3000_3999_R1_74,C21_3000_3999_R75_99,C21_3000_3999_R100_149,C21_3000_3999_R150_199,C21_3000_3999_R200_224,C21_3000_3999_R225_274,C21_3000_3999_R275_349,C21_3000_3999_R350_449,C21_3000_3999_R450_549,C21_3000_3999_R550_649,C21_3000_3999_R650more,C21_3000_3999_R_NS,C21_3000_3999_R_Tot,C21_4000more_R1_74,C21_4000more_R75_99,C21_4000more_R100_149,C21_4000more_R150_199,C21_4000more_R200_224,C21_4000more_R225_274,C21_4000more_R275_349,C21_4000more_R350_449,C21_4000more_R450_549,C21_4000more_R550_649,C21_4000more_R650more,C21_4000more_R_NS,C21_4000more_R_Tot,C21_PI_S_R1_74,C21_PI_S_R75_99,C21_PI_S_R100_149,C21_PI_S_R150_199,C21_PI_S_R200_224,C21_PI_S_R225_274,C21_PI_S_R275_349,C21_PI_S_R350_449,C21_PI_S_R450_549,C21_PI_S_R550_649,C21_PI_S_R650more,C21_PI_S_R_NS,C21_PI_S_R_Tot,C21_AI_NS_R1_74,C21_AI_NS_R75_99,C21_AI_NS_R100_149,C21_AI_NS_R150_199,C21_AI_NS_R200_224,C21_AI_NS_R225_274,C21_AI_NS_R275_349,C21_AI_NS_R350_449,C21_AI_NS_R450_549,C21_AI_NS_R550_649,C21_AI_NS_R650more,C21_AI_NS_R_NS,C21_AI_NS_R_Tot,C21_Tot_R1_74,C21_Tot_R75_99,C21_Tot_R100_149,C21_Tot_R150_199,C21_Tot_R200_224,C21_Tot_R225_274,C21_Tot_R275_349,C21_Tot_R350_449,C21_Tot_R450_549,C21_Tot_R550_649,C21_Tot_R650more,C21_Tot_R_NS,C21_Tot_R_Tot
11902,14,25,20,77,388,813,513,243,171,57,2329,3,3,12,18,21,53,287,634,489,267,182,36,1997,0,0,6,4,10,22,126,319,276,191,166,26,1149,8,0,10,10,6,13,93,247,298,202,249,31,1156,0,0,5,5,6,16,43,115,155,180,298,28,847,0,3,13,14,13,37,113,200,149,96,95,85,818,0,3,27,10,3,10,32,43,25,13,12,85,273,73,125,716,578,390,895,3185,5349,3335,1775,1488,721,18633
11903,21,38,21,38,142,634,581,250,125,52,1896,6,3,11,14,19,31,116,571,643,340,185,46,1982,0,0,3,10,8,20,49,288,415,250,139,20,1206,0,0,4,18,8,34,43,254,532,350,293,37,1574,0,3,3,10,10,24,21,101,265,235,425,33,1129,0,3,15,16,9,19,45,122,178,110,83,71,668,4,0,65,16,6,3,10,21,17,12,5,58,226,90,149,1092,693,366,510,1118,3783,3837,2078,1496,604,15824
11904,5,26,19,42,167,885,959,475,275,57,2912,4,0,10,8,10,40,137,746,1150,658,360,54,3179,0,0,3,10,8,22,48,311,599,427,262,39,1738,0,0,8,19,17,25,39,323,689,652,515,34,2321,0,3,3,10,7,21,29,124,403,432,589,41,1661,0,0,9,4,5,19,50,131,221,171,141,85,835,0,0,17,11,3,9,7,25,29,14,15,75,211,53,58,483,344,228,447,1198,4770,5960,3680,2641,624,20488
12001,10,8,13,15,41,205,437,288,246,38,1295,0,0,6,4,7,24,38,177,568,442,446,35,1747,0,0,4,3,10,10,11,67,249,301,339,18,1011,0,0,5,12,0,20,19,89,357,541,711,31,1774,0,0,3,9,3,14,24,43,281,525,1579,34,2518,0,4,14,5,7,16,15,11,54,93,188,46,437,0,0,17,5,0,5,6,10,17,13,11,47,127,36,44,400,209,121,192,315,1177,2823,2727,4073,414,12535
12002,0,7,10,15,57,239,196,146,217,19,910,0,0,5,3,8,8,35,130,255,260,393,13,1115,0,0,3,0,3,5,6,38,90,100,254,3,511,0,0,5,0,0,9,18,61,118,234,691,11,1149,0,0,3,3,4,12,18,36,97,218,1943,21,2360,0,0,7,0,9,8,13,19,31,35,203,12,340,0,0,13,8,0,3,3,5,6,4,9,28,80,40,53,458,174,157,257,471,1013,1084,1174,3997,200,9084
12003,23,42,31,80,275,1186,1142,491,304,61,3649,0,0,19,35,23,48,174,1105,1508,631,425,66,4043,0,0,14,12,13,38,57,454,831,451,300,46,2218,0,0,22,24,19,40,51,468,1103,756,655,58,3200,4,9,16,24,16,20,34,208,612,584,1063,48,2641,0,0,21,21,15,26,38,195,288,197,243,109,1162,3,4,24,11,6,9,14,34,37,15,12,87,249,63,84,765,623,442,759,1813,6687,7739,4141,3551,854,27518
12101,9,4,10,21,64,403,661,356,383,43,1964,3,0,4,9,4,33,36,387,837,564,575,50,2504,0,0,5,0,3,7,15,122,344,303,375,16,1191,3,0,0,5,3,20,27,132,540,658,871,42,2308,7,0,5,5,7,20,24,123,447,696,2756,52,4144,0,3,5,3,5,17,22,52,102,99,251,51,602,4,0,5,5,4,0,3,12,11,9,24,61,133,62,36,200,288,144,287,476,2158,3980,3302,5915,504,17353
12102,3,13,10,13,52,375,382,164,82,24,1110,0,0,0,5,12,15,40,314,488,217,163,11,1266,0,0,0,0,5,8,14,134,281,132,117,10,705,0,0,0,0,8,11,12,161,395,215,255,25,1076,0,0,5,3,3,9,3,91,286,211,440,25,1083,0,5,0,3,0,4,6,40,95,54,52,25,281,0,0,3,3,0,4,4,12,6,3,3,20,61,24,27,137,229,135,196,407,2129,2670,1236,1253,294,8746
12103,9,3,0,4,22,132,234,170,226,27,822,0,0,0,0,0,9,15,101,261,259,355,31,1038,0,0,0,0,6,7,10,47,112,145,242,6,576,0,0,0,3,4,5,9,55,176,261,575,21,1110,0,0,4,0,0,8,19,43,147,312,1796,34,2370,0,0,0,0,0,3,5,18,32,62,210,23,365,0,0,0,0,0,0,0,0,3,3,18,28,62,12,7,48,41,42,99,176,749,1401,1605,3931,259,8377
12104,0,13,4,17,112,633,629,384,423,42,2262,4,0,5,9,12,18,58,509,945,696,696,46,2996,0,0,3,3,4,8,22,75,276,328,405,22,1141,0,0,3,0,10,13,28,152,518,753,1107,39,2620,5,0,3,11,8,12,38,123,449,879,3977,76,5575,0,0,9,3,0,15,6,34,78,102,345,38,629,0,3,0,8,6,8,3,14,22,16,26,66,170,37,28,168,300,144,212,593,2757,3924,3658,7660,489,19981
