SA3_CODE_2021,C21_75_84_No_need_assist_F,C21_75_84_No_need_assist_P,C21_75_84_Need_assist_ns_M,C21_75_84_Need_assist_ns_F,C21_75_84_Need_assist_ns_P,C21_75_84_Tot_M,C21_75_84_Tot_F,C21_75_84_Tot_P,C21_85over_Need_assist_M,C21_85over_Need_assist_F,C21_85over_Need_assist_P,C21_85over_No_need_assist_M,C21_85over_No_need_assist_F,C21_85over_No_need_assist_P,C21_85over_Need_assist_ns_M,C21_85over_Need_assist_ns_F,C21_85over_Need_assist_ns_P,C21_85over_Tot_M,C21_85over_Tot_F,C21_85over_Tot_P,C21_Tot_Need_assist_M,C21_Tot_Need_assist_F,C21_Tot_Need_assist_P,C21_Tot_No_need_assist_M,C21_Tot_No_need_assist_F,C21_Tot_No_need_assist_P,C21_Tot_Need_assist_ns_M,C21_Tot_Need_assist_ns_F,C21_Tot_Need_assist_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
10304,1415,2712,119,128,250,1689,1916,3612,215,396,616,288,368,657,48,90,143,551,854,1414,1716,1801,3519,26475,27602,54076,1865,1806,3671,30056,31209,61266
10401,1783,3524,119,137,253,2293,2396,4693,277,582,858,358,424,787,43,71,113,678,1077,1754,2277,2284,4557,21754,22677,44428,2793,1883,4681,26824,26844,53665
10402,2656,5085,219,291,504,3169,3639,6806,397,804,1204,548,595,1147,130,243,372,1075,1642,2720,3007,3259,6267,38686,41454,80141,2985,3073,6058,44678,47786,92462
10501,442,887,119,122,236,679,687,1362,63,122,181,89,101,186,21,54,78,173,277,451,568,581,1155,8429,8310,16741,1853,1861,3716,10850,10752,21607
10502,530,976,50,86,143,614,793,1405,85,167,256,101,149,254,31,82,109,217,398,618,774,770,1542,7985,8366,16356,996,986,1984,9755,10122,19876
10503,1750,3314,247,267,516,2240,2495,4733,260,520,781,339,408,747,118,147,268,717,1075,1794,2284,2272,4551,29872,31354,61226,4567,3740,8305,36723,37366,74084
10601,1667,3380,175,154,324,2375,2432,4808,290,603,887,293,381,676,53,95,147,636,1079,1710,3420,3429,6848,41856,42518,84375,4249,2458,6700,49525,48405,97927
10602,1672,3140,79,108,183,1907,2260,4163,210,511,718,268,344,606,44,86,129,522,941,1452,2798,2950,5742,37763,39906,77668,1842,1767,3606,42403,44623,87019
10603,2688,5382,243,261,509,3492,3569,7066,308,560,864,451,503,950,108,177,281,867,1240,2101,2804,2798,5601,32751,33869,66619,2147,2049,4193,37702,38716,76414
10604,663,1286,70,46,112,818,873,1690,94,195,296,127,171,291,26,47,71,247,413,659,874,865,1740,13314,13251,26564,1322,954,2278,15510,15070,30584
10701,1879,3594,129,150,273,2384,2878,5256,397,852,1255,380,425,802,60,129,194,837,1406,2249,3037,3606,6646,34349,35114,69464,1861,1843,3710,39247,40563,79819
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,5,0,9
10703,2406,4687,210,215,422,3035,3399,6432,375,733,1104,430,524,959,208,197,406,1013,1454,2471,3166,3447,6611,42827,45026,87850,2449,2342,4798,48442,50815,99254
10704,3084,5889,209,292,501,3712,4344,8052,589,1085,1681,600,752,1355,141,330,473,1330,2167,3503,3572,4246,7814,59766,60982,120751,3040,3157,6197,66378,68385,134762
10801,1493,2974,125,123,247,1955,2018,3967,273,508,776,319,388,710,45,68,112,637,964,1599,1518,1688,3212,13497,14321,27818,1121,1159,2278,16136,17168,33311
10802,1568,3171,132,147,272,2168,2241,4399,267,540,809,320,334,658,42,70,114,629,944,1579,2415,2413,4831,20197,21258,41452,2782,2091,4878,25394,25762,51154
