region_id,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_school_quals_Cert_Level_M,Non_school_quals_Cert_Level_F,Non_school_quals_Cert_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SED10026,26761,28897,55658,13364,7562,20926,2521,6718,9239,972,1011,1983,910,795,1705,17767,16086,33853,7478,11405,18883,5.1,4.9,5.0,66.4,55.7,60.8,63.0,52.9,57.8,304,346,650,188,389,577,1535,3068,4603,1121,2033,3154,7633,4910,12543,27902,29224,57126,4815,5392,10207,18587,19277,37864,11557,12932,24489
SED10027,26211,27984,54195,12444,7242,19686,2777,5746,8523,978,922,1900,969,756,1725,17168,14666,31834,7649,11916,19565,5.6,5.2,5.4,65.5,52.4,58.7,61.8,49.7,55.6,714,662,1376,212,325,537,2655,3397,6052,1982,2570,4552,6767,3191,9958,27857,29296,57153,3310,3381,6691,20085,21132,41217,9060,9597,18657
SED10028,27710,30261,57971,13778,8313,22091,3601,7163,10764,724,905,1629,1005,908,1913,19108,17289,36397,7825,12191,20016,5.3,5.3,5.3,69.0,57.1,62.8,65.3,54.1,59.5,3679,2747,6426,648,974,1622,7240,7582,14822,2561,3578,6139,3677,2358,6035,28385,30525,58910,4516,4664,9180,19389,21168,40557,11752,12286,24038
SED10029,32311,33893,66204,11429,6428,17857,3221,4460,7681,1227,918,2145,1871,1346,3217,17748,13152,30900,12722,18920,31642,10.5,10.2,10.4,54.9,38.8,46.7,49.1,34.8,41.8,503,431,934,98,165,263,2358,2699,5057,1918,2410,4328,5457,3410,8867,34196,35533,69729,4588,4739,9327,23222,24054,47276,12615,13229,25844
SED10030,27596,30388,57984,11580,6397,17977,2952,6566,9518,945,1018,1963,1212,1042,2254,16689,15023,31712,8899,13312,22211,7.3,6.9,7.1,60.5,49.4,54.7,56.1,46.0,50.8,645,617,1262,244,437,681,2210,2971,5181,1839,2768,4607,7876,4736,12612,26987,29210,56197,4481,5085,9566,17769,19188,36957,11738,13156,24894
SED10031,27435,29263,56698,12055,6510,18565,3188,6974,10162,956,903,1859,820,728,1548,17019,15115,32134,9016,12851,21867,4.8,4.8,4.8,62.0,51.7,56.7,59.0,49.2,53.9,777,675,1452,304,568,872,2523,3278,5801,1847,2976,4823,7817,4396,12213,27548,29172,56720,4465,4931,9396,18481,19503,37984,11547,12725,24272
SED10032,34891,34935,69826,14267,8095,22362,4249,5244,9493,1390,1056,2446,1795,1469,3264,21701,15864,37565,10201,16435,26636,8.3,9.3,8.7,62.2,45.4,53.8,57.1,41.2,49.1,1819,1372,3191,251,270,521,3912,4417,8329,2690,3028,5718,5958,3457,9415,34594,34748,69342,5745,5566,11311,22009,22401,44410,15069,14808,29877
SED10033,28895,29137,58032,16490,8579,25069,3337,8463,11800,1085,1112,2197,816,706,1522,21728,18860,40588,5989,9194,15183,3.8,3.7,3.7,75.2,64.7,69.9,72.4,62.3,67.3,1172,923,2095,333,546,879,3736,4722,8458,2521,3514,6035,8335,3988,12323,32429,32111,64540,3796,3953,7749,22884,22580,45464,11058,11397,22455
SED10034,25598,26664,52262,14146,7279,21425,2980,8008,10988,997,1117,2114,752,586,1338,18875,16990,35865,5797,8797,14594,4.0,3.4,3.7,73.7,63.7,68.6,70.8,61.5,66.1,1143,1100,2243,380,699,1079,3148,4292,7440,2333,3138,5471,8606,3810,12416,27849,28570,56419,3472,3545,7017,19851,20297,40148,9264,9778,19042
SED10035,39272,36820,76092,18863,12886,31749,4353,6129,10482,1106,1200,2306,1467,1187,2654,25789,21402,47191,9424,12103,21527,5.7,5.5,5.6,65.7,58.1,62.0,61.9,54.9,58.5,3144,2842,5986,613,794,1407,7954,8397,16351,3252,3360,6612,5271,2986,8257,31779,29958,61737,8110,7880,15990,18006,17793,35799,19887,18195,38082
SED10036,28685,29894,58579,15498,8627,24125,3867,8456,12323,944,1053,1997,937,832,1769,21246,18968,40214,6543,10071,16614,4.4,4.4,4.4,74.1,63.4,68.6,70.8,60.7,65.6,2354,1783,4137,583,893,1476,5785,6590,12375,2856,3869,6725,6064,3397,9461,31151,31869,63020,3774,3812,7586,22033,22558,44591,10690,11083,21773
SED10037,26684,28463,55147,11670,5931,17601,2862,7060,9922,861,999,1860,1112,858,1970,16505,14848,31353,9017,12519,21536,6.7,5.8,6.3,61.9,52.2,56.9,57.7,49.2,53.3,1330,1134,2464,369,617,986,3023,3788,6811,2058,2644,4702,7640,3994,11634,27661,28995,56656,3964,4079,8043,19718,20669,40387,9979,10501,20480
SED10038,26737,28590,55327,12243,6021,18264,3112,7562,10674,1004,1016,2020,928,798,1726,17287,15397,32684,8411,12188,20599,5.4,5.2,5.3,64.7,53.9,59.1,61.2,51.1,56.0,723,691,1414,366,627,993,2537,3412,5949,2171,2976,5147,8666,4821,13487,27997,29314,57311,4251,4617,8868,19398,20154,39552,10965,11968,22933
SED10039,30456,32396,62852,13969,8996,22965,3911,6293,10204,1116,1103,2219,1193,1110,2303,20189,17502,37691,8685,13349,22034,5.9,6.3,6.1,66.3,54.0,60.0,62.4,50.6,56.3,2002,1708,3710,315,412,727,5082,5660,10742,2635,3451,6086,5232,2992,8224,30940,32422,63362,4557,4610,9167,20837,21941,42778,12500,13018,25518
SED10040,27586,31497,59083,13832,7811,21643,3508,7521,11029,715,977,1692,930,842,1772,18985,17151,36136,7554,13151,20705,4.9,4.9,4.9,68.8,54.5,61.2,65.4,51.8,58.2,3936,2800,6736,623,1052,1675,8224,8625,16849,2421,3837,6258,2861,2040,4901,28464,31258,59722,5136,5731,10867,18383,20248,38631,13226,14814,28040
