LGA_CODE_2021,C21_AP_75_79_NCB_4,C21_AP_75_79_NCB_5,C21_AP_75_79_NCB_6mor,C21_AP_75_79_NCB_NS,C21_AP_75_79_Tot,C21_AP_80_84_NCB_0,C21_AP_80_84_NCB_1,C21_AP_80_84_NCB_2,C21_AP_80_84_NCB_3,C21_AP_80_84_NCB_4,C21_AP_80_84_NCB_5,C21_AP_80_84_NCB_6mor,C21_AP_80_84_NCB_NS,C21_AP_80_84_Tot,C21_AP_85over_N_c_b_0,C21_AP_85over_N_c_b_1,C21_AP_85over_N_c_b_2,C21_AP_85over_N_c_b_3,C21_AP_85over_N_c_b_4,C21_AP_85over_N_c_b_5,C21_AP_85over_N_c_b_6mor,C21_AP_85over_N_c_b_NS,C21_AP_85over_Tot,C21_AP_Tot_NCB_0,C21_AP_Tot_NCB_1,C21_AP_Tot_NCB_2,C21_AP_Tot_NCB_3,C21_AP_Tot_NCB_4,C21_AP_Tot_NCB_5,C21_AP_Tot_N_ch_b_6mor,C21_AP_Tot_NCB_NS,C21_AP_Tot_Tot
LGA14300,17,8,5,14,114,0,0,13,17,13,6,8,10,69,5,0,5,25,13,11,3,13,81,461,191,553,461,253,97,50,180,2236
LGA14350,84,25,18,82,746,22,20,127,110,90,35,23,71,488,39,36,101,99,94,45,32,72,525,2708,1317,3275,2369,1122,422,266,1264,12745
LGA14400,61,21,8,55,613,41,19,125,105,51,18,11,31,402,40,51,103,110,66,31,11,82,494,2398,948,3213,2025,639,167,73,575,10036
LGA14500,195,52,27,83,2510,142,133,641,583,231,74,28,112,1938,204,190,681,622,339,100,87,262,2479,14664,7514,17538,8223,2166,477,246,1694,52508
LGA14550,37,6,0,19,194,11,7,15,36,34,24,12,14,150,8,3,20,21,22,18,16,36,140,856,385,912,740,400,138,95,437,3967
LGA14600,22,5,0,17,117,8,4,13,24,27,3,5,18,95,11,12,17,17,17,19,13,22,126,448,199,496,480,269,118,60,344,2418
LGA14650,534,137,86,367,4976,231,213,990,906,474,176,114,371,3487,235,287,934,924,571,230,201,532,3909,22680,10039,28346,16431,5876,1630,1012,4682,90692
LGA14700,45,5,0,29,587,51,34,125,86,47,19,5,23,395,43,33,116,90,51,24,14,106,489,6753,2560,4164,1786,467,107,51,774,16661
LGA14750,25,13,9,26,212,17,10,43,27,33,21,15,26,177,10,12,29,37,31,17,24,23,182,1157,400,1078,841,430,144,105,450,4608
LGA14850,106,32,25,78,820,57,32,142,130,115,50,36,58,615,47,35,122,137,121,57,56,104,687,5054,2112,4848,3108,1419,440,303,1629,18917
LGA14870,53,20,19,63,527,29,19,76,86,49,20,17,38,332,42,20,82,75,50,26,20,34,339,2080,883,2339,1584,667,227,170,702,8650
LGA14900,300,141,176,246,2493,68,118,437,373,228,110,196,221,1750,78,112,328,312,187,119,263,371,1770,27315,10577,23330,13582,6079,2452,2066,6883,92294
LGA14920,20,12,7,27,193,4,5,22,34,18,4,8,24,123,6,4,24,17,22,10,10,20,112,609,290,762,621,253,108,72,431,3138
LGA14950,13,3,5,9,74,3,0,6,12,11,5,8,4,52,0,4,12,12,22,8,8,11,70,248,96,283,286,179,62,48,122,1327
LGA15050,200,51,45,107,1442,77,41,243,220,131,62,52,87,912,70,64,206,205,150,63,72,140,962,10132,4275,10576,6471,2413,739,548,1773,36923
LGA15240,372,104,51,333,3221,142,122,552,494,329,111,84,284,2121,172,139,502,482,331,137,102,468,2333,8576,4073,12284,8462,3648,1099,673,3754,42566
LGA15270,82,21,12,59,566,27,20,74,78,62,17,15,50,349,32,25,62,70,57,43,25,57,370,2323,1038,2702,1989,889,270,168,917,10293
LGA15300,24,11,7,33,196,8,3,16,26,25,10,14,38,137,7,7,11,20,20,10,12,24,111,1081,419,1017,807,389,144,115,1139,5109
LGA15350,46,15,0,43,772,83,34,149,114,45,20,3,35,487,89,45,142,140,62,14,21,55,570,4986,1637,3457,1769,438,109,47,572,13010
LGA15520,49,23,8,46,367,13,5,53,54,40,20,10,35,245,14,15,30,37,39,24,17,55,229,1044,441,1520,1180,455,168,79,495,5384
LGA15560,7,3,0,10,55,0,3,8,8,12,4,9,8,48,0,0,3,9,7,3,7,9,44,269,118,290,287,149,48,38,152,1345
LGA15650,35,9,12,22,234,9,3,30,34,39,10,3,17,145,10,9,24,31,34,14,11,26,165,1520,595,1627,1233,543,165,143,500,6324
LGA15700,75,17,17,51,598,36,29,101,90,68,20,16,40,399,43,32,93,92,74,34,11,47,429,1880,937,2394,1665,792,247,158,789,8873
