LGA_CODE_2021,C21_1PF_Cu15DS_MR_4000over,C21_1PF_Cu15DS_MR_NS,C21_1PF_Cu15DS_Tot,C21_1PF_CU15_NDS_MR_0_299,C21_1PF_CU15_NDS_MR_300_449,C21_1PF_CU15_NDS_MR_450_599,C21_1PF_CU15_NDS_MR_600_799,C21_1PF_CU15_NDS_MR_800_999,C21_1PF_CU15_NDS_MR_1000_1399,C21_1PF_CU15_NDS_MR_1400_1799,C21_1PF_CU15_NDS_MR_1800_2399,C21_1PF_CU15_NDS_MR_2400_2999,C21_1PF_CU15_NDS_MR_3000_3999,C21_1PF_CU15_NDS_MR_4000over,C21_1PF_CU15_NDS_MR_NS,C21_1PF_CU15_NDS_Tot,C21_1PF_NCu15DS_MR_0_299,C21_1PF_NCu15DS_MR_300_449,C21_1PF_NCu15DS_MR_450_599,C21_1PF_NCu15DS_MR_600_799,C21_1PF_NCu15DS_MR_800_999,C21_1PF_NCu15DS_MR_1000_1399,C21_1PF_NCu15DS_MR_1400_1799,C21_1PF_NCu15DS_MR_1800_2399,C21_1PF_NCu15DS_MR_2400_2999,C21_1PF_NCu15DS_MR_3000_3999,C21_1PF_NCu15DS_MR_4000over,C21_1PF_NCu15DS_MR_NS,C21_1PF_NCu15DS_Tot,C21_1PF_NDCO_MR_0_299,C21_1PF_NDCO_MR_300_449,C21_1PF_NDCO_MR_450_599,C21_1PF_NDCO_MR_600_799,C21_1PF_NDCO_MR_800_999,C21_1PF_NDCO_MR_1000_1399,C21_1PF_NDCO_MR_1400_1799,C21_1PF_NDCO_MR_1800_2399,C21_1PF_NDCO_MR_2400_2999,C21_1PF_NDCO_MR_3000_3999,C21_1PF_NDCO_MR_4000over,C21_1PF_NDCO_MR_NS,C21_1PF_NDCO_Tot,C21_1PF_Tot_MR_0_299,C21_1PF_Tot_MR_300_449,C21_1PF_Tot_MR_450_599,C21_1PF_Tot_MR_600_799,C21_1PF_Tot_MR_800_999,C21_1PF_Tot_MR_1000_1399,C21_1PF_Tot_MR_1400_1799,C21_1PF_Tot_MR_1800_2399,C21_1PF_Tot_MR_2400_2999,C21_1PF_Tot_MR_3000_3999,C21_1PF_Tot_MR_4000over,C21_1PF_Tot_MR_NS,C21_1PF_Tot_Tot,C21_Tot_MR_0_299,C21_Tot_MR_300_449,C21_Tot_MR_450_599,C21_Tot_MR_600_799,C21_Tot_MR_800_999,C21_Tot_MR_1000_1399,C21_Tot_MR_1400_1799,C21_Tot_MR_1800_2399,C21_Tot_MR_2400_2999,C21_Tot_MR_3000_3999,C21_Tot_MR_4000over,C21_Tot_MR_NS,C21_Tot_Tot
LGA11450,12,9,163,18,11,3,3,16,45,86,193,149,115,50,54,745,3,0,0,5,14,37,49,67,43,38,20,19,306,24,5,4,20,22,80,65,103,70,69,27,36,539,54,19,7,30,61,178,223,413,286,242,106,126,1752,415,137,120,176,335,997,1426,3952,4552,3885,1651,1068,18716
LGA11500,8,21,215,30,11,6,20,29,131,148,244,116,72,51,71,934,16,9,3,20,25,65,82,72,37,30,13,28,398,54,14,27,52,54,168,178,227,91,61,40,83,1042,102,35,42,94,114,394,454,595,264,173,112,204,2585,716,223,217,404,540,1984,2805,5574,3745,2531,1238,1385,21362
LGA11520,14,6,65,9,3,0,3,8,19,19,33,29,50,71,32,280,17,5,3,6,6,15,13,24,18,25,55,21,208,22,5,0,13,11,28,24,52,25,32,47,27,280,52,12,8,22,21,65,58,118,92,118,189,76,837,416,78,68,116,134,384,455,985,913,1520,2723,587,8377
LGA11570,39,28,412,71,21,20,23,43,139,159,278,180,207,141,125,1400,51,21,15,39,39,112,129,170,89,97,63,66,887,112,50,37,69,90,201,212,327,153,187,127,162,1728,247,98,79,135,188,494,545,876,471,550,367,384,4426,1526,411,383,584,855,2544,3162,5968,4447,5760,4262,2540,32442
LGA11600,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,3,0,3,4,3,5,0,0,3,0,0,0,26,30,13,11,13,19,27,13,10,0,3,4,12,161
LGA11650,17,27,495,61,23,23,57,86,271,386,493,232,146,51,125,1959,20,14,20,34,41,134,176,181,66,52,32,40,814,113,52,58,77,124,314,354,312,145,64,43,148,1800,206,99,112,182,272,794,1023,1111,486,305,145,347,5075,1440,560,523,857,1334,3965,5884,9736,5902,4467,2687,2210,39561
LGA11700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,8,7,0,3,3,0,4,0,3,0,0,8,11,35
LGA11720,4,5,103,17,12,8,19,26,125,123,85,20,24,13,39,503,4,0,5,8,11,38,26,27,5,0,5,9,129,29,13,8,23,39,80,49,38,20,12,3,29,339,45,23,14,53,84,273,228,165,47,42,21,80,1073,213,117,96,229,365,1316,1663,1709,662,514,267,409,7555
LGA11730,0,0,58,17,5,6,11,25,93,76,35,3,14,4,17,308,6,0,6,6,12,20,18,15,3,0,0,5,84,14,10,9,15,22,58,34,22,7,9,0,18,215,32,17,18,38,70,187,141,77,17,18,6,38,662,207,134,128,248,374,1109,1006,865,252,158,130,246,4852
LGA11750,0,0,6,5,4,0,5,4,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,3,0,0,0,0,0,0,17,8,4,4,3,5,7,6,3,0,0,0,4,39,25,13,16,29,39,62,46,43,3,14,11,14,306
