LGA_CODE_2021,C11_Aus_BP_B_OS,C11_Aus_Fa_O_B_OS,C11_Aus_Mo_O_B_OS,C11_Aus_BP_B_Aus,C11_Aus_Bplace_NS,C11_Aus_Tot_resp,C11_Aus_Ab_BP_B_OS,C11_Aus_Ab_Fa_O_B_OS,C11_Aus_Ab_Mo_O_B_OS,C11_Aus_Ab_BP_B_Aus,C11_Aus_Abor_Bplace_NS,C11_Aus_Abor_Tot_respons,C11_Chi_BP_B_OS,C11_Chi_Fa_O_B_OS,C11_Chi_Mo_O_B_OS,C11_Chi_BP_B_Aus,C11_Chi_Bplace_NS,C11_Chi_Tot_resp,C11_Cro_BP_B_OS,C11_Cro_Fa_O_B_OS,C11_Cro_Mo_O_B_OS,C11_Cro_BP_B_Aus,C11_Cro_Bplace_NS,C11_Cro_Tot_resp,C11_Dut_BP_B_OS,C11_Dut_Fa_O_B_OS,C11_Dut_Mo_O_B_OS,C11_Dut_BP_B_Aus,C11_Dut_Bplace_NS,C11_Dut_Tot_resp,C11_Eng_BP_B_OS,C11_Eng_Fa_O_B_OS,C11_Eng_Mo_O_B_OS,C11_Eng_BP_B_Aus,C11_Eng_Bplace_NS,C11_Eng_Tot_resp,C11_Fil_BP_B_OS,C11_Fil_Fa_O_B_OS,C11_Fil_Mo_O_B_OS,C11_Fil_BP_B_Aus,C11_Fil_Bplace_NS,C11_Fil_Tot_resp,C11_Fre_BP_B_OS,C11_Fre_Fa_O_B_OS,C11_Fre_Mo_O_B_OS,C11_Fre_BP_B_Aus,C11_Fre_Bplace_NS,C11_Fre_Tot_resp,C11_Ger_BP_B_OS,C11_Ger_Fa_O_B_OS,C11_Ger_Mo_O_B_OS,C11_Ger_BP_B_Aus,C11_Ger_Bplace_NS,C11_Ger_Tot_resp,C11_Gre_BP_B_OS,C11_Gre_Fa_O_B_OS,C11_Gre_Mo_O_B_OS,C11_Gre_BP_B_Aus,C11_Gre_Bplace_NS,C11_Gre_Tot_resp,C11_Hun_BP_B_OS,C11_Hun_Fa_O_B_OS,C11_Hun_Mo_O_B_OS,C11_Hun_BP_B_Aus,C11_Hun_Bplace_NS,C11_Hun_Tot_resp,C11_Ind_BP_B_OS,C11_Ind_Fa_O_B_OS,C11_Ind_Mo_O_B_OS,C11_Ind_BP_B_Aus,C11_Ind_Bplace_NS,C11_Ind_Tot_resp,C11_Iri_BP_B_OS,C11_Iri_Fa_O_B_OS,C11_Iri_Mo_O_B_OS,C11_Iri_BP_B_Aus,C11_Iri_Bplace_NS,C11_Iri_Tot_resp,C11_Ita_BP_B_OS,C11_Ita_Fa_O_B_OS,C11_Ita_Mo_O_B_OS,C11_Ita_BP_B_Aus,C11_Ita_Bplace_NS,C11_Ita_Tot_resp,C11_Kor_BP_B_OS,C11_Kor_Fa_O_B_OS,C11_Kor_Mo_O_B_OS,C11_Kor_BP_B_Aus,C11_Kor_Bplace_NS,C11_Kor_Tot_resp,C11_Leb_BP_B_OS,C11_Leb_Fa_O_B_OS,C11_Leb_Mo_O_B_OS,C11_Leb_BP_B_Aus,C11_Leb_Bplace_NS,C11_Leb_Tot_resp,C11_Mac_BP_B_OS,C11_Mac_Fa_O_B_OS,C11_Mac_Mo_O_B_OS,C11_Mac_BP_B_Aus,C11_Mac_Bplace_NS,C11_Mac_Tot_resp,C11_Mal_BP_B_OS,C11_Mal_Fa_O_B_OS,C11_Mal_Mo_O_B_OS,C11_Mal_BP_B_Aus,C11_Mal_Bplace_NS,C11_Mal_Tot_resp,C11_Mao_BP_B_OS,C11_Mao_Fa_O_B_OS,C11_Mao_Mo_O_B_OS,C11_Mao_BP_B_Aus,C11_Mao_Bplace_NS,C11_Mao_Tot_resp,C11_NZ_BP_B_OS,C11_NZ_Fa_O_B_OS,C11_NZ_Mo_O_B_OS,C11_NZ_BP_B_Aus,C11_NZ_Bplace_NS,C11_NZ_Tot_resp,C11_Pol_BP_B_OS,C11_Pol_Fa_O_B_OS,C11_Pol_Mo_O_B_OS,C11_Pol_BP_B_Aus,C11_Pol_Bplace_NS,C11_Pol_Tot_resp,C11_Rus_BP_B_OS,C11_Rus_Fa_O_B_OS,C11_Rus_Mo_O_B_OS,C11_Rus_BP_B_Aus,C11_Rus_Birthplac_ns,C11_Rus_Tot_resp,C11_Sam_BP_B_OS,C11_Sam_Fa_O_B_OS,C11_Sam_Mo_O_B_OS,C11_Sam_BP_B_Aus,C11_Sam_Birthplac_ns,C11_Sam_Tot_resp,C11_Sco_BP_B_OS,C11_Sco_Fa_O_B_OS,C11_Sco_Mo_O_B_OS,C11_Sco_BP_B_Aus,C11_Sco_Birthplac_ns,C11_Sco_Tot_resp,C11_Ser_BP_B_OS,C11_Ser_Fa_O_B_OS,C11_Ser_Mo_O_B_OS,C11_Ser_BP_B_Aus,C11_Ser_Bplace_NS,C11_Ser_Tot_resp,C11_SAf_BP_B_OS,C11_SAf_Fa_O_B_OS,C11_SAf_Mo_O_B_OS,C11_SAf_BP_B_Aus,C11_SAf_Bplace_NS,C11_SAf_Tot_resp,C11_Span_BP_B_OS,C11_Span_Fa_O_B_OS,C11_Span_Mo_O_B_OS,C11_Span_BP_B_Aus,C11_Span_Bplace_NS,C11_Span_Tot_resp,C11_SriL_BP_B_OS,C11_SriL_Fa_O_B_OS,C11_SriL_Mo_O_B_OS,C11_SriL_BP_B_Aus,C11_SriL_Bplace_NS,C11_SriL_Tot_resp,C11_Viet_BP_B_OS,C11_Viet_Fa_O_B_OS,C11_Viet_Mo_O_B_OS,C11_Viet_BP_B_Aus,C11_Viet_Bplace_NS,C11_Viet_Tot_resp,C11_Wel_BP_B_OS,C11_Wel_Fa_O_B_OS,C11_Wel_Mo_O_B_OS,C11_Wel_BP_B_Aus,C11_Wel_Bplace_NS,C11_Wel_Tot_resp,C11_Oth_BP_B_OS,C11_Oth_Fa_O_B_OS,C11_Oth_Mo_O_B_OS,C11_Oth_BP_B_Aus,C11_Oth_Bplace_NS,C11_Oth_Tot_resp,C11_Anc_ns_BP_B_OS,C11_Anc_ns_Fa_O_B_OS,C11_Anc_ns_Mo_O_B_OS,C11_Anc_ns_BP_B_Aus,C11_Anc_ns_Bplace_NS,C11_Anc_NS_Tot_resp,C11_Tot_P_BP_B_OS,C11_Tot_P_Fa_O_B_OS,C11_Tot_P_Mo_O_B_OS,C11_Tot_P_BP_B_Aus,C11_Tot_P_Bplace_NS,C11_Tot_P_Tot_resp,C16_Aus_BP_B_OS,C16_Aus_Fa_O_B_OS
LGA10800,8,107,72,2550,73,2804,0,0,0,15,0,15,15,0,0,11,0,31,5,0,0,0,0,5,17,10,4,17,0,47,161,93,73,2050,51,2433,8,0,4,0,0,7,0,0,0,8,0,10,10,10,13,298,5,337,4,9,0,12,0,24,4,4,0,4,0,8,0,0,0,0,0,0,18,29,10,661,15,734,10,0,0,20,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,12,13,4,3,0,0,18,7,3,9,5,0,25,7,7,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,34,29,19,608,11,704,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,21,0,29,44,19,5,43,8,121,8,9,4,156,129,300,325,208,131,4942,257,5861,10,114
LGA10850,13,151,121,2865,84,3230,0,0,0,31,0,37,13,4,5,17,0,36,3,0,0,5,0,8,41,18,9,21,0,95,237,178,114,2336,78,2950,16,0,0,0,0,16,8,0,0,26,0,33,30,16,11,153,3,213,8,4,0,9,0,15,5,4,0,0,0,7,7,0,4,0,0,8,37,47,16,897,24,1023,18,12,9,48,5,90,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,10,9,5,0,3,0,18,18,15,5,9,3,52,11,3,0,6,0,22,0,0,0,3,0,6,0,0,0,0,0,0,53,55,31,532,20,686,0,0,0,0,0,0,6,0,0,0,0,11,7,0,0,5,0,7,0,3,0,0,0,3,0,0,0,0,0,0,9,3,0,17,0,33,60,15,15,64,6,157,10,4,5,154,293,464,510,334,216,5453,473,6989,8,181
LGA10900,360,4004,2598,22978,711,30647,0,16,5,160,9,183,458,74,67,156,9,766,169,63,24,65,13,329,815,277,175,376,21,1669,6977,3577,2452,18530,596,32131,213,9,39,16,6,284,236,54,50,224,16,582,1067,359,247,1702,57,3429,290,72,47,180,18,610,300,59,29,60,4,457,219,42,26,30,0,323,1541,879,567,7700,210,10899,553,266,125,743,26,1720,57,0,7,4,0,70,70,30,25,55,5,187,14,0,0,0,0,20,259,131,57,168,11,629,104,32,22,20,11,187,359,199,113,48,19,739,433,101,56,136,12,728,189,51,26,85,0,347,39,9,6,5,4,64,1728,900,561,5527,148,8870,55,10,6,13,0,90,148,34,27,9,4,227,193,36,12,61,5,302,66,12,9,3,0,88,73,4,6,3,0,85,293,104,62,274,10,740,2588,755,463,863,123,4793,170,82,83,770,3367,4461,16189,7175,4711,42963,4900,75939,397,3928
LGA10950,3,42,33,1343,24,1445,0,0,0,29,3,30,6,0,0,9,0,17,0,0,0,13,0,14,0,0,0,0,0,5,40,38,22,991,32,1124,4,0,0,0,0,9,0,0,0,0,0,0,3,0,0,63,4,75,0,0,3,0,0,8,0,0,0,0,0,0,5,0,0,0,0,4,14,16,6,335,5,378,4,0,0,11,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,10,3,0,0,0,0,7,6,3,0,0,0,12,3,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,11,7,3,175,4,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,46,0,0,16,0,60,0,0,3,76,183,263,138,76,57,2383,237,2898,3,31
LGA11150,5,40,31,1237,53,1373,0,0,0,134,7,145,7,0,0,14,0,21,0,0,0,0,0,0,3,5,4,3,0,14,50,31,26,726,17,852,0,0,0,0,0,4,3,0,0,7,0,8,10,4,3,66,0,83,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,13,5,10,239,7,274,0,0,0,16,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,9,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,9,155,0,182,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,25,9,8,19,5,64,6,3,0,80,425,509,125,71,52,2114,501,2871,4,56
LGA11200,5,26,9,569,13,619,0,5,0,644,3,648,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,18,7,286,10,331,0,0,0,0,0,0,0,0,0,8,0,8,6,7,3,26,0,37,3,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,4,0,7,0,117,6,130,3,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,4,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,73,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,4,14,8,0,16,0,39,0,0,0,36,103,143,58,45,17,1517,129,1762,3,16
LGA11250,24,387,200,7761,242,8613,0,0,0,86,12,109,29,5,0,24,3,60,30,3,0,13,0,53,35,13,14,21,0,87,322,326,174,6124,240,7184,48,0,15,9,0,76,0,7,0,30,0,46,60,32,19,726,13,857,36,13,0,46,12,106,3,0,0,6,0,13,49,4,6,16,0,70,56,68,19,1459,36,1637,138,79,13,240,7,483,3,0,0,0,0,3,7,0,0,18,0,33,0,0,0,0,0,8,66,43,22,134,6,273,20,4,0,5,5,30,21,8,10,3,0,45,13,0,4,36,0,57,0,4,0,7,0,11,0,0,0,0,0,5,101,67,48,1185,36,1441,3,0,0,0,0,3,8,0,4,0,0,14,7,0,0,12,0,15,8,0,0,4,4,17,0,0,0,0,0,5,10,5,0,51,4,79,151,60,22,139,7,381,39,6,11,527,1110,1688,1120,731,369,14657,1631,18515,30,376
LGA11300,266,569,370,2585,113,3898,0,7,0,19,0,18,7717,64,121,69,205,8179,323,22,12,47,4,405,62,23,8,29,0,122,1062,376,279,1874,104,3701,377,15,13,5,7,422,88,15,18,19,0,138,164,41,20,172,7,405,825,116,41,242,40,1273,57,4,8,12,0,83,1625,16,16,4,26,1688,385,163,90,1040,37,1713,1959,295,133,592,52,3023,1445,8,9,8,33,1503,1131,175,90,168,29,1599,51,6,6,13,0,64,91,22,21,47,0,172,64,13,3,0,0,88,95,6,18,4,0,130,190,14,18,31,3,254,190,15,10,29,3,243,38,14,0,0,0,45,236,106,71,630,23,1073,68,3,0,0,0,78,36,5,3,0,0,51,169,13,3,16,4,214,183,10,7,5,5,198,408,4,12,3,13,437,25,5,3,21,0,52,3470,187,112,167,100,4032,381,16,37,116,1625,2175,21812,1521,1005,5734,2356,32426,342,596
LGA11350,148,1365,900,7751,271,10444,0,7,5,65,3,77,84,31,6,53,4,176,42,16,0,15,0,76,304,88,49,96,9,553,2696,1211,839,7031,297,12075,52,7,26,10,3,93,180,36,21,99,8,346,578,166,107,727,42,1618,84,43,4,76,4,213,60,25,11,16,0,103,88,14,21,11,0,140,565,321,247,3290,117,4533,252,102,34,295,22,704,19,0,0,0,5,27,28,12,6,24,0,76,12,4,0,3,0,14,42,16,17,45,0,121,53,23,7,3,12,99,175,57,41,15,4,298,126,26,21,57,0,225,89,16,11,28,6,140,3,7,3,0,0,15,573,300,228,2182,68,3345,14,5,0,5,0,20,88,27,13,4,0,140,83,3,3,23,3,120,16,12,0,0,0,30,16,0,7,0,0,21,85,20,12,86,6,214,1359,352,253,360,52,2387,90,50,35,397,1523,2090,6288,2612,1739,16359,2210,29208,199,1418
LGA11400,22,309,229,5430,127,6117,0,0,0,25,6,26,15,7,0,15,3,41,18,4,0,0,0,20,53,19,13,60,3,157,425,238,235,4381,125,5398,16,0,6,0,0,21,8,9,6,35,0,54,70,27,27,330,15,472,0,0,0,11,0,18,6,9,6,3,0,16,17,5,0,0,0,20,87,82,56,1515,17,1760,54,23,9,109,6,193,0,0,0,3,0,3,4,3,0,5,0,20,3,0,0,0,0,4,14,5,4,21,0,46,18,11,3,9,5,50,29,12,11,14,0,66,15,5,6,21,0,52,9,3,0,14,0,25,0,0,0,0,0,3,89,64,55,1064,18,1293,5,0,0,0,0,8,21,0,0,0,0,22,3,0,0,5,5,18,0,0,0,0,0,3,4,0,0,0,0,5,13,6,4,45,3,74,118,43,29,87,10,285,16,14,7,268,355,655,964,573,426,10230,627,12819,13,290
LGA11450,336,2476,1621,18461,405,23305,0,7,3,93,5,107,579,45,39,64,38,763,318,70,36,145,8,584,337,124,85,174,10,727,3759,2053,1412,12782,386,20393,310,25,56,6,4,407,104,38,19,96,0,256,515,182,130,1021,25,1875,240,84,39,194,15,577,128,40,19,36,0,218,442,29,15,12,15,511,848,406,250,3776,92,5368,1378,503,166,1301,64,3419,17,0,8,0,0,29,347,89,34,96,16,577,91,32,12,30,14,167,643,168,96,444,29,1376,124,35,15,14,0,195,200,96,58,40,6,401,274,42,58,113,9,504,114,16,16,35,5,180,103,38,12,5,0,155,994,464,329,2719,75,4573,195,49,20,42,8,310,171,36,36,13,0,252,234,42,34,44,8,359,57,4,8,3,0,72,79,4,8,3,3,97,121,40,21,110,0,294,2647,473,233,500,69,3914,266,78,60,691,1751,2850,13772,4810,3002,32349,2807,56737,640,3359
LGA11500,1681,4866,3350,35426,1313,46635,8,52,25,518,36,636,2893,74,115,178,86,3338,766,105,60,157,28,1110,582,238,99,317,21,1261,8548,3796,2693,24751,1247,41038,4375,102,303,44,112,4942,393,56,29,216,27,719,1406,365,238,1950,92,4057,831,197,102,374,59,1568,360,61,38,73,6,540,5148,95,67,41,113,5463,1670,760,554,7795,246,11020,1610,508,231,1303,83,3744,124,7,15,0,5,154,1792,326,109,309,90,2629,350,35,21,35,20,455,742,238,133,554,32,1702,1206,132,81,72,80,1572,619,201,124,89,41,1076,939,103,72,232,19,1365,378,32,28,70,5,518,3069,192,73,51,167,3554,2095,884,623,5419,200,9222,427,42,18,40,13,534,817,68,46,27,34,997,1227,96,67,88,43,1522,413,17,9,11,6,459,849,19,35,9,20,932,265,64,38,179,19,561,17372,1376,766,1126,669,21316,1793,206,183,1555,6813,10546,57228,9444,6406,62092,10788,145958,2672,5114
LGA11520,538,2145,1502,11021,306,15520,0,6,3,40,0,44,7911,172,213,219,137,8657,402,52,44,98,4,606,299,102,52,113,8,576,3859,1611,1135,8856,246,15702,629,19,62,9,23,739,247,34,25,107,8,418,568,141,109,773,23,1611,1875,292,123,770,50,3107,210,22,23,43,4,298,1677,58,36,33,23,1830,1321,552,325,4827,98,7116,7514,1253,518,2628,249,12166,2428,12,21,7,47,2511,1005,196,89,286,40,1613,103,18,5,15,10,146,392,97,45,160,7,701,160,24,12,3,4,206,421,107,72,26,11,642,376,45,62,91,12,587,273,35,23,59,3,393,67,4,8,0,0,79,996,440,277,2740,63,4512,223,13,24,27,6,299,217,38,22,13,8,296,486,54,25,54,9,634,280,15,13,5,8,317,491,3,23,10,11,536,123,37,26,151,3,343,5492,593,463,553,114,7213,557,86,64,459,4265,5431,37298,5266,3355,24309,5542,75760,731,2389
LGA11570,5987,6088,3594,30730,1474,47875,0,22,18,351,13,407,30017,274,371,358,729,31743,1299,122,71,207,43,1740,518,151,96,223,8,1006,10480,3906,2454,22484,1500,40827,3865,76,279,31,129,4375,609,82,60,207,13,967,1602,380,205,1750,113,4047,15530,1721,771,4099,491,22605,536,77,27,49,13,707,6068,101,82,33,139,6421,1888,1061,583,9309,315,13160,8428,1520,616,3011,318,13902,4152,23,55,23,97,4341,35070,5022,1907,3388,1569,46957,3401,353,141,411,96,4396,1163,284,120,386,35,1987,1497,140,102,44,81,1865,766,202,155,87,28,1232,1356,131,74,176,34,1781,562,40,35,81,18,738,1745,113,46,12,102,2017,1722,870,561,5342,170,8670,726,52,31,45,19,875,348,44,32,26,6,457,1412,94,69,117,42,1736,506,22,30,14,10,584,19225,97,185,94,541,20133,202,67,40,241,11,568,47797,2820,1515,1839,1466,55427,6520,498,402,1599,17629,26652,200139,18551,10064,64944,26056,319748,8172,7323
LGA11600,3,50,42,1096,20,1210,0,0,0,20,0,20,9,0,0,7,0,12,0,0,0,0,0,4,9,0,4,11,0,23,60,51,41,830,33,1017,18,0,0,0,0,25,0,0,0,7,0,12,12,5,3,86,0,104,4,0,0,0,0,4,0,0,0,0,0,0,12,4,0,0,0,16,21,9,11,268,14,324,24,11,3,34,0,72,6,0,0,0,0,9,0,0,0,9,0,13,0,0,0,0,0,4,4,0,0,0,0,7,25,0,0,0,0,25,4,6,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,19,11,14,232,5,277,0,0,0,0,0,0,8,0,0,0,0,9,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,25,8,3,26,4,61,9,6,3,62,72,142,240,104,81,2025,142,2586,7,52
LGA11650,1398,12705,8892,106712,3442,133153,4,60,18,839,31,949,1858,153,185,611,55,2863,539,125,51,170,11,899,2197,672,401,1226,62,4557,23564,11563,8034,84945,3416,131530,1275,80,325,49,30,1756,562,125,104,774,37,1603,2345,778,554,5908,176,9765,909,279,104,692,48,2027,479,116,45,125,10,772,980,129,96,104,42,1344,4366,2526,1484,27555,779,36712,2346,945,334,3215,159,6995,349,8,17,15,10,399,335,119,41,225,33,750,76,19,10,19,4,126,1326,414,169,913,76,2893,1213,328,194,177,49,1959,1387,725,508,234,76,2932,771,166,103,360,19,1416,527,84,69,165,14,846,175,96,39,12,4,329,5417,2739,1873,19628,543,30204,237,34,9,57,9,346,867,140,91,62,10,1170,767,61,79,299,34,1237,141,47,20,28,3,235,170,16,19,9,8,211,795,294,165,820,31,2109,7670,2159,1312,2705,427,14271,1033,448,327,5068,13791,20670,54863,23283,15690,196968,21388,312181,1680,13930
LGA11700,0,29,15,711,23,787,0,0,0,459,0,458,3,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,14,39,21,16,411,17,505,4,0,0,0,0,3,0,0,0,4,0,3,10,6,5,39,0,57,7,0,0,11,0,13,0,0,0,0,0,3,0,0,0,3,0,7,11,9,4,122,0,144,3,10,0,14,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,3,0,0,0,0,5,0,0,0,0,0,4,3,0,0,0,0,6,0,0,0,0,0,4,0,0,0,5,0,4,4,0,0,0,0,4,16,5,10,96,0,125,0,0,0,0,0,0,8,0,0,0,0,7,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,27,3,0,13,0,52,3,0,0,31,114,153,132,56,35,1606,158,1989,0,18
LGA11720,105,1346,951,20511,578,23490,0,5,0,151,5,159,121,10,10,69,7,213,27,5,0,16,3,56,176,77,49,175,9,492,1810,1316,922,16772,557,21376,120,10,51,9,4,198,39,10,4,93,0,152,314,112,86,1407,31,1955,31,26,5,69,5,136,33,10,7,11,0,64,70,3,4,6,0,84,299,199,130,3987,90,4710,113,69,21,349,8,559,6,5,0,0,0,7,25,7,6,23,0,62,9,4,5,4,0,23,49,14,9,36,0,108,112,46,14,51,7,222,127,72,37,38,6,283,157,38,19,129,5,353,18,10,8,34,0,63,13,18,3,8,0,43,596,456,305,4117,76,5544,11,0,3,3,0,11,34,5,8,11,3,58,34,9,10,45,0,103,7,3,0,0,0,6,5,0,7,0,0,14,71,48,18,259,8,398,581,153,98,410,16,1263,83,48,42,1311,2726,4208,4285,2557,1738,38419,3841,50838,153,1542
LGA11730,150,1243,977,19830,539,22741,0,3,0,494,12,508,98,8,9,108,5,226,17,0,0,8,0,24,305,89,51,136,12,592,2126,1254,938,16130,534,20982,113,4,43,10,4,176,50,18,8,117,5,196,279,88,72,1755,35,2225,37,23,4,57,3,124,31,8,0,11,3,53,65,10,8,30,3,117,336,253,167,5036,134,5923,103,86,20,408,8,625,10,0,0,0,0,15,5,0,0,14,0,25,0,3,0,3,0,4,50,20,12,53,0,136,65,28,9,25,4,135,103,53,63,21,3,245,62,24,7,41,0,134,22,10,6,11,0,47,3,6,0,6,0,11,492,379,213,4272,95,5444,4,3,0,9,0,12,49,9,9,7,3,79,33,8,4,37,4,89,13,0,0,3,0,20,13,0,0,0,0,14,68,16,20,142,0,242,545,203,156,410,22,1333,81,57,32,1034,2052,3248,4368,2415,1761,37946,3178,49668,149,1318
LGA11750,4,76,87,1987,57,2212,0,0,0,12,0,12,16,0,0,10,4,29,8,6,4,4,0,12,23,8,8,11,0,49,102,58,71,1400,32,1663,17,0,5,0,0,24,0,0,0,6,0,6,25,6,8,165,3,205,0,0,3,11,0,16,0,0,0,0,0,0,6,0,0,3,0,11,43,19,14,490,8,573,18,3,5,29,3,59,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,6,0,4,22,0,0,0,0,23,18,4,0,0,3,23,3,3,0,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,39,24,22,326,4,411,0,0,0,0,0,0,12,0,0,0,0,14,3,0,0,7,0,9,6,0,0,0,0,6,3,0,0,0,0,3,3,3,3,20,0,30,99,3,7,34,3,151,5,0,4,122,324,460,392,136,135,3532,421,4612,9,104
LGA11800,237,2256,1625,23945,724,28781,0,10,3,317,14,345,332,34,34,158,11,575,72,11,6,19,5,115,494,176,85,252,14,1026,4079,2167,1545,19926,763,28482,199,3,61,6,9,280,126,34,21,211,7,395,661,183,135,1906,81,2963,86,51,12,99,8,251,90,23,5,29,4,152,712,45,75,25,34,885,723,454,273,6607,184,8229,428,166,70,725,54,1437,25,0,0,0,0,28,23,14,3,43,0,90,10,0,0,11,0,26,108,36,32,115,5,284,91,36,29,26,5,181,250,124,80,54,12,519,149,40,25,86,7,299,53,26,10,47,0,135,21,5,15,0,0,41,912,552,381,5039,119,7009,19,0,0,0,0,24,161,14,14,10,4,202,65,9,17,77,8,178,18,3,0,8,4,29,26,4,3,4,0,39,144,38,15,177,0,380,2077,408,282,623,91,3477,229,78,47,1123,2904,4375,10684,4270,3053,45818,4591,68419,373,2414
LGA12000,6,58,60,1702,45,1869,0,0,0,11,0,11,0,0,0,10,0,13,0,0,0,0,0,0,18,6,6,3,0,32,103,84,73,1396,23,1680,0,0,0,0,0,0,3,0,0,11,0,15,7,6,8,136,5,160,4,0,0,7,0,9,0,0,0,0,0,0,4,0,0,5,0,9,16,20,13,544,6,607,5,5,3,35,4,50,0,0,0,0,0,0,4,0,0,11,0,13,0,0,0,0,0,0,3,0,0,0,0,7,8,0,4,0,0,13,6,0,3,6,0,9,0,3,0,12,0,15,0,0,0,0,0,0,0,0,0,0,0,0,30,24,13,375,6,445,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,4,0,13,44,12,3,34,0,95,6,0,0,83,170,265,227,143,115,3370,252,4102,13,83
LGA12150,0,26,36,2056,58,2171,0,0,0,68,6,70,6,0,4,8,0,23,0,0,0,0,0,0,7,5,0,9,0,20,42,29,24,1297,65,1457,0,0,0,0,0,0,0,0,0,13,0,13,17,0,0,107,0,131,5,0,0,0,0,10,0,0,0,5,0,4,0,0,0,0,0,0,5,12,7,389,9,425,5,3,0,23,0,37,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,4,0,6,6,0,11,7,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,13,8,18,280,11,326,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,6,4,0,0,0,0,0,4,0,0,0,0,4,0,5,0,4,0,9,19,0,4,19,0,47,0,3,6,136,197,339,131,67,59,3464,313,4033,6,36
LGA12160,21,182,126,4621,166,5110,0,0,0,12,4,20,37,4,0,16,0,58,0,0,0,0,0,3,30,11,3,25,0,69,293,190,132,3916,106,4629,18,0,0,0,0,19,0,3,0,25,0,25,41,20,14,308,6,381,10,7,0,12,0,22,4,0,0,0,5,6,4,0,0,6,0,8,46,34,22,1409,38,1554,19,7,9,68,0,110,3,0,0,0,0,3,3,0,0,8,0,18,0,0,0,0,0,0,5,5,5,8,0,24,3,0,0,0,0,12,7,6,4,7,0,21,9,4,0,10,0,26,7,0,0,9,0,8,4,0,0,0,0,4,53,43,43,791,13,949,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,8,0,10,5,0,0,0,0,5,13,0,0,0,0,13,11,4,0,29,0,46,90,23,11,74,11,211,14,16,4,294,438,767,633,366,235,9043,714,10993,31,219
LGA12350,21,225,211,4852,151,5466,0,9,0,126,4,132,18,4,3,18,0,46,7,4,0,5,3,26,53,11,11,18,0,100,351,285,194,4039,123,4997,13,0,4,0,0,16,7,4,0,36,3,43,74,23,21,232,6,350,18,6,4,19,0,50,12,0,0,3,0,18,6,0,0,0,0,12,77,47,28,1328,27,1510,34,22,8,91,0,165,5,0,0,0,0,5,0,4,0,3,0,12,4,0,0,0,0,3,36,9,9,36,0,89,9,8,10,15,4,38,19,8,13,9,0,44,24,3,0,9,0,42,6,0,0,7,0,16,0,0,0,0,0,0,103,68,34,901,11,1120,8,0,0,0,0,10,16,0,0,3,0,23,9,0,0,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,8,4,6,27,0,48,156,42,24,120,13,358,18,12,5,330,689,1050,938,493,360,9389,968,12146,28,254
