LGA_CODE_2021,C16_Aus_Mo_O_B_OS,C16_Aus_BP_B_Aus,C16_Aus_Bplace_NS,C16_Aus_Tot_resp,C16_Aus_Ab_BP_B_OS,C16_Aus_Ab_Fa_O_B_OS,C16_Aus_Ab_Mo_O_B_OS,C16_Aus_Ab_BP_B_Aus,C16_Aus_Abor_Bplace_NS,C16_Aus_Abor_Tot_resp,C16_Chi_BP_B_OS,C16_Chi_Fa_O_B_OS,C16_Chi_Mo_O_B_OS,C16_Chi_BP_B_Aus,C16_Chi_Bplace_NS,C16_Chi_Tot_resp,C16_Cro_BP_B_OS,C16_Cro_Fa_O_B_OS,C16_Cro_Mo_O_B_OS,C16_Cro_BP_B_Aus,C16_Cro_Bplace_NS,C16_Cro_Tot_resp,C16_Dut_BP_B_OS,C16_Dut_Fa_O_B_OS,C16_Dut_Mo_O_B_OS,C16_Dut_BP_B_Aus,C16_Dut_Bplace_NS,C16_Dut_Tot_resp,C16_Eng_BP_B_OS,C16_Eng_Fa_O_B_OS,C16_Eng_Mo_O_B_OS,C16_Eng_BP_B_Aus,C16_Eng_Bplace_NS,C16_Eng_Tot_resp,C16_Fil_BP_B_OS,C16_Fil_Fa_O_B_OS,C16_Fil_Mo_O_B_OS,C16_Fil_BP_B_Aus,C16_Fil_Bplace_NS,C16_Fil_Tot_resp,C16_Fre_BP_B_OS,C16_Fre_Fa_O_B_OS,C16_Fre_Mo_O_B_OS,C16_Fre_BP_B_Aus,C16_Fre_Bplace_NS,C16_Fre_Tot_resp,C16_Ger_BP_B_OS,C16_Ger_Fa_O_B_OS,C16_Ger_Mo_O_B_OS,C16_Ger_BP_B_Aus,C16_Ger_Bplace_NS,C16_Ger_Tot_resp,C16_Gre_BP_B_OS,C16_Gre_Fa_O_B_OS,C16_Gre_Mo_O_B_OS,C16_Gre_BP_B_Aus,C16_Gre_Bplace_NS,C16_Gre_Tot_resp,C16_Hun_BP_B_OS,C16_Hun_Fa_O_B_OS,C16_Hun_Mo_O_B_OS,C16_Hun_BP_B_Aus,C16_Hun_Bplace_NS,C16_Hun_Tot_resp,C16_Ind_BP_B_OS,C16_Ind_Fa_O_B_OS,C16_Ind_Mo_O_B_OS,C16_Ind_BP_B_Aus,C16_Ind_Bplace_NS,C16_Ind_Tot_resp,C16_Iri_BP_B_OS,C16_Iri_Fa_O_B_OS,C16_Iri_Mo_O_B_OS,C16_Iri_BP_B_Aus,C16_Iri_Bplace_NS,C16_Iri_Tot_resp,C16_Ita_BP_B_OS,C16_Ita_Fa_O_B_OS,C16_Ita_Mo_O_B_OS,C16_Ita_BP_B_Aus,C16_Ita_Bplace_NS,C16_Ita_Tot_resp,C16_Kor_BP_B_OS,C16_Kor_Fa_O_B_OS,C16_Kor_Mo_O_B_OS,C16_Kor_BP_B_Aus,C16_Kor_Bplace_NS,C16_Kor_Tot_resp,C16_Leb_BP_B_OS,C16_Leb_Fa_O_B_OS,C16_Leb_Mo_O_B_OS,C16_Leb_BP_B_Aus,C16_Leb_Bplace_NS,C16_Leb_Tot_resp,C16_Mac_BP_B_OS,C16_Mac_Fa_O_B_OS,C16_Mac_Mo_O_B_OS,C16_Mac_BP_B_Aus,C16_Mac_Bplace_NS,C16_Mac_Tot_resp,C16_Mal_BP_B_OS,C16_Mal_Fa_O_B_OS,C16_Mal_Mo_O_B_OS,C16_Mal_BP_B_Aus,C16_Mal_Bplace_NS,C16_Mal_Tot_resp,C16_Mao_BP_B_OS,C16_Mao_Fa_O_B_OS,C16_Mao_Mo_O_B_OS,C16_Mao_BP_B_Aus,C16_Mao_Bplace_NS,C16_Mao_Tot_resp,C16_NZ_BP_B_OS,C16_NZ_Fa_O_B_OS,C16_NZ_Mo_O_B_OS,C16_NZ_BP_B_Aus,C16_NZ_Bplace_NS,C16_NZ_Tot_resp,C16_Pol_BP_B_OS,C16_Pol_Fa_O_B_OS,C16_Pol_Mo_O_B_OS,C16_Pol_BP_B_Aus,C16_Pol_Bplace_NS,C16_Pol_Tot_resp,C16_Rus_BP_B_OS,C16_Rus_Fa_O_B_OS,C16_Rus_Mo_O_B_OS,C16_Rus_BP_B_Aus,C16_Rus_Birthplac_ns,C16_Rus_Tot_resp,C16_Sam_BP_B_OS,C16_Sam_Fa_O_B_OS,C16_Sam_Mo_O_B_OS,C16_Sam_BP_B_Aus,C16_Sam_Birthplac_ns,C16_Sam_Tot_resp,C16_Sco_BP_B_OS,C16_Sco_Fa_O_B_OS,C16_Sco_Mo_O_B_OS,C16_Sco_BP_B_Aus,C16_Sco_Birthplac_ns,C16_Sco_Tot_resp,C16_Ser_BP_B_OS,C16_Ser_Fa_O_B_OS,C16_Ser_Mo_O_B_OS,C16_Ser_BP_B_Aus,C16_Ser_Bplace_NS,C16_Ser_Tot_resp,C16_SAf_BP_B_OS,C16_SAf_Fa_O_B_OS,C16_SAf_Mo_O_B_OS,C16_SAf_BP_B_Aus,C16_SAf_Bplace_NS,C16_SAf_Tot_resp,C16_Span_BP_B_OS,C16_Span_Fa_O_B_OS,C16_Span_Mo_O_B_OS,C16_Span_BP_B_Aus,C16_Span_Bplace_NS,C16_Span_Tot_resp,C16_SriL_BP_B_OS,C16_SriL_Fa_O_B_OS,C16_SriL_Mo_O_B_OS,C16_SriL_BP_B_Aus,C16_SriL_Bplace_NS,C16_SriL_Tot_resp,C16_Viet_BP_B_OS,C16_Viet_Fa_O_B_OS,C16_Viet_Mo_O_B_OS,C16_Viet_BP_B_Aus,C16_Viet_Bplace_NS,C16_Viet_Tot_resp,C16_Wel_BP_B_OS,C16_Wel_Fa_O_B_OS,C16_Wel_Mo_O_B_OS,C16_Wel_BP_B_Aus,C16_Wel_Bplace_NS,C16_Wel_Tot_resp,C16_Oth_BP_B_OS,C16_Oth_Fa_O_B_OS,C16_Oth_Mo_O_B_OS,C16_Oth_BP_B_Aus,C16_Oth_Bplace_NS,C16_Oth_Tot_resp,C16_Anc_ns_BP_B_OS,C16_Anc_ns_Fa_O_B_OS,C16_Anc_ns_Mo_O_B_OS,C16_Anc_ns_BP_B_Aus,C16_Anc_ns_Bplace_NS,C16_Anc_NS_Tot_resp,C16_Tot_P_BP_B_OS,C16_Tot_P_Fa_O_B_OS,C16_Tot_P_Mo_O_B_OS,C16_Tot_P_BP_B_Aus,C16_Tot_P_Bplace_NS,C16_Tot_P_Tot_resp,C21_Aus_BP_B_OS,C21_Aus_Fa_O_B_OS,C21_Aus_Mo_O_B_OS,C21_Aus_BP_B_Aus
LGA10800,67,2423,64,2670,0,0,0,22,0,22,22,0,3,11,0,31,0,0,0,0,0,0,14,0,3,11,0,31,134,92,78,2023,57,2382,18,0,0,0,0,21,0,0,0,12,0,10,15,10,8,281,3,317,0,0,0,13,0,18,0,0,0,0,0,0,11,0,0,0,0,11,20,20,7,587,10,644,5,4,0,23,0,32,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,7,0,5,0,13,12,0,0,0,0,14,8,0,0,4,0,18,0,0,0,0,0,8,5,0,0,0,0,5,0,0,0,0,0,0,35,22,19,539,8,619,3,0,0,0,0,3,11,0,0,0,0,16,0,0,0,0,0,0,10,0,0,0,0,10,7,0,0,0,0,5,0,0,0,10,0,14,95,16,3,22,8,146,4,0,4,98,625,727,364,183,120,4547,746,5958,13,101,76,2239
LGA10850,115,3080,61,3450,0,0,0,19,0,24,19,6,0,13,0,35,0,0,0,0,0,8,37,11,15,36,3,102,243,163,127,2434,65,3027,7,0,0,0,0,7,5,3,0,23,0,36,40,21,9,170,6,241,8,4,0,7,0,19,4,0,0,3,0,16,0,0,0,3,0,6,48,50,20,932,12,1062,16,0,6,71,3,100,0,0,0,0,0,0,8,0,0,0,0,14,0,0,0,0,0,0,7,3,0,13,0,27,8,5,0,5,0,11,21,12,3,9,3,53,17,9,0,8,0,26,0,0,0,5,0,6,3,4,0,0,0,4,69,51,36,557,12,729,0,0,0,0,0,0,0,0,3,4,0,5,4,0,0,7,0,11,0,4,0,4,0,8,6,0,0,0,0,6,6,0,4,20,0,36,72,31,7,53,0,162,6,0,0,88,435,533,533,326,222,5609,567,7259,22,228,146,3044
LGA10900,2624,22339,378,29664,0,23,9,222,6,259,630,71,102,188,20,1011,181,51,28,96,5,357,761,275,181,399,9,1625,6853,3818,2616,20764,400,34455,281,14,50,31,3,384,269,70,46,231,8,611,1118,407,277,1870,42,3715,291,91,46,228,0,662,290,56,29,83,5,467,292,45,34,38,4,409,1703,1135,689,8892,144,12568,679,272,115,868,22,1966,88,0,9,5,0,105,115,28,12,70,5,231,23,3,3,8,0,39,304,124,57,276,4,765,93,27,13,26,6,161,308,185,125,94,5,719,511,100,61,184,4,860,224,45,26,107,4,412,41,18,5,15,0,76,1776,989,651,6151,99,9667,58,17,6,20,0,99,171,42,38,13,0,264,274,32,21,75,4,397,59,19,10,16,0,102,143,11,12,4,0,172,306,104,73,378,8,867,3085,892,551,1061,48,5630,108,36,36,371,3305,3852,16665,7329,4840,43868,4196,76902,497,4290,2909,21866
LGA10950,31,1283,19,1371,0,0,0,23,0,25,6,0,0,3,0,17,0,0,0,6,0,7,3,0,0,0,0,5,40,36,20,891,13,1014,10,0,0,0,0,12,4,0,0,0,0,3,3,6,3,63,0,77,5,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,13,17,7,9,282,3,323,0,0,0,9,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,5,0,10,0,5,0,0,0,8,4,5,5,0,0,12,0,0,0,7,0,14,0,0,0,0,0,4,0,0,0,0,0,0,15,3,8,166,0,197,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,46,4,0,3,0,59,0,0,0,37,274,316,144,63,52,2117,314,2689,0,45,39,1062
LGA11150,25,1154,45,1284,0,0,0,140,7,150,3,0,0,10,0,13,0,0,0,0,0,4,7,0,0,5,0,12,37,34,15,608,27,722,0,0,0,0,0,3,0,0,0,7,0,7,4,0,3,48,0,58,0,0,0,6,0,6,0,0,0,0,0,0,6,0,0,0,0,6,5,5,8,205,5,236,5,6,0,3,0,11,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,3,113,4,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,14,9,15,0,72,8,0,0,29,481,525,121,81,41,1832,553,2633,6,34,21,716
LGA11200,11,545,21,592,0,3,0,527,6,535,0,0,0,11,0,8,0,0,0,0,0,0,0,0,0,0,0,4,14,16,7,303,14,344,0,0,0,0,0,0,0,0,0,3,0,0,6,6,0,38,0,44,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,5,6,0,9,119,0,132,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,4,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,84,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,8,10,0,36,0,0,0,29,140,171,42,36,15,1374,180,1645,0,14,10,262
LGA11250,213,7589,214,8422,0,8,0,153,13,168,27,0,0,17,0,54,29,4,7,28,0,68,34,18,10,23,0,83,284,315,174,5836,174,6783,105,4,30,8,10,150,7,4,4,38,0,58,62,40,19,709,19,851,24,7,0,42,6,76,4,0,0,3,0,6,59,0,0,15,0,79,49,61,29,1495,30,1669,124,73,24,333,9,559,5,0,0,0,0,3,4,4,3,21,0,26,0,0,0,0,0,0,61,40,22,117,5,237,12,5,7,8,0,30,15,10,3,8,0,39,10,5,0,31,0,49,0,5,0,6,0,14,0,0,0,0,0,5,88,66,47,1248,26,1474,4,0,0,3,0,10,17,0,3,0,0,17,19,0,0,13,0,34,7,0,0,3,0,11,3,0,6,0,0,7,15,5,0,40,0,67,197,63,27,151,4,441,23,6,4,252,1354,1641,1088,682,382,13794,1769,17709,58,364,202,6879
LGA11300,406,2408,28,3779,0,11,0,31,0,44,11697,87,170,81,84,12118,302,14,20,51,0,384,49,21,8,28,0,105,1194,376,290,2053,46,3952,505,4,45,3,0,561,89,12,18,29,0,153,162,37,36,185,4,420,805,106,42,311,14,1273,68,4,9,16,0,94,1789,15,20,0,11,1836,456,178,91,1138,25,1885,1899,283,147,587,22,2931,1518,13,17,4,8,1557,1085,217,107,207,8,1626,44,6,6,9,0,72,90,18,17,41,0,168,41,8,5,5,0,65,83,22,22,11,0,136,177,18,10,42,0,249,176,10,10,19,0,218,35,9,3,0,0,48,223,100,62,611,16,1018,69,7,8,17,0,96,25,4,4,0,0,32,200,15,5,15,0,240,163,7,0,0,0,174,693,17,24,11,3,751,22,5,4,26,0,55,4441,185,182,158,47,5017,188,17,3,39,1741,1988,26569,1523,1099,5595,2028,36810,486,587,510,2247
LGA11350,1000,7902,196,10713,0,7,3,74,0,92,84,34,18,58,4,199,43,6,0,19,0,70,304,97,56,116,0,577,2793,1210,847,7317,203,12375,60,7,20,10,0,99,251,35,30,100,8,426,649,170,116,746,26,1704,84,42,8,76,0,211,57,19,5,19,5,102,101,11,15,23,4,155,669,358,235,3317,78,4664,379,115,56,328,13,894,23,5,0,0,0,24,20,14,3,31,0,66,8,5,0,3,0,21,37,13,13,28,0,88,56,22,13,6,3,95,176,76,38,23,8,319,157,37,21,64,0,279,90,27,8,26,0,158,9,0,3,0,0,22,645,299,222,2296,65,3526,12,5,0,0,0,18,101,20,14,9,7,151,140,19,10,27,0,199,18,7,3,7,3,42,20,3,3,0,0,33,108,33,22,98,5,266,1520,401,265,411,48,2645,66,29,12,225,3657,3984,6703,2611,1792,16302,4151,31556,229,1662,1226,7608
LGA11400,273,5750,93,6421,0,0,0,30,0,34,27,4,4,14,0,48,14,3,0,5,0,24,58,25,13,46,0,150,421,268,231,4655,97,5673,31,0,6,6,0,44,8,10,0,38,0,57,65,22,18,337,15,454,0,5,0,5,0,9,14,0,0,3,0,15,20,5,0,4,0,24,75,72,42,1479,28,1700,51,10,7,133,0,209,5,0,0,0,0,5,0,0,0,10,0,15,0,0,0,0,0,0,17,10,0,31,0,62,29,12,4,9,0,50,38,20,15,4,0,83,14,4,6,26,0,53,9,6,5,11,0,25,5,0,0,0,0,5,91,70,53,1127,16,1357,0,0,0,0,0,7,29,6,5,0,0,40,10,0,0,3,0,14,0,0,0,0,0,3,0,0,0,0,0,6,10,3,8,43,5,67,132,41,32,73,6,295,15,10,0,176,784,986,986,535,432,10449,984,13391,24,342,277,5701
LGA11450,2181,22547,364,29098,3,20,5,217,4,252,1292,55,95,134,15,1605,485,98,61,276,9,920,392,152,94,263,3,904,4560,2766,1971,17516,300,27112,689,67,107,30,5,900,178,47,15,166,3,412,653,256,174,1447,25,2565,389,135,84,400,4,1013,166,50,13,76,6,307,1484,70,19,38,8,1626,1161,611,440,5681,65,7950,1933,777,292,2316,62,5375,60,0,13,0,0,76,624,169,68,224,13,1094,180,36,30,67,5,313,857,257,147,893,10,2167,231,32,45,34,0,339,304,140,113,86,0,643,391,77,83,197,12,755,169,22,23,59,0,273,278,52,28,15,4,375,1174,664,485,4046,60,6432,390,78,29,107,3,604,271,41,46,26,7,383,415,54,26,92,5,590,128,8,13,7,0,160,295,27,22,10,0,352,160,71,38,147,4,416,5946,924,534,977,58,8452,194,46,29,352,3350,3977,21789,6611,4258,41391,4176,78224,1797,4713,3170,29090
LGA11500,3578,32586,791,44739,16,78,33,821,25,974,4352,92,176,216,43,4892,740,100,80,167,6,1095,603,242,97,318,12,1267,8475,3970,2760,26036,769,42001,5066,129,399,54,43,5693,503,53,38,213,13,827,1586,404,266,2096,47,4398,885,218,130,451,36,1718,347,57,35,85,0,521,8285,124,65,45,65,8582,1866,945,587,8521,168,12079,1697,561,269,1644,69,4238,212,4,24,6,0,249,2263,525,233,390,50,3455,373,52,29,59,4,524,673,228,142,585,32,1662,1293,174,124,93,34,1724,800,259,175,148,3,1384,938,92,84,228,6,1350,396,50,35,84,4,571,3958,296,144,73,117,4587,2083,936,671,5969,136,9790,448,72,30,70,5,619,739,90,77,44,4,955,1523,89,73,108,21,1815,524,14,19,8,5,565,1274,45,56,19,15,1407,277,77,54,224,3,636,26360,1744,1180,1460,332,31072,1168,110,98,640,8077,10086,70102,10026,6976,59582,10315,157001,4379,5315,3699,30001
LGA11520,1677,10504,134,15444,4,6,0,76,5,91,13928,246,330,316,83,14907,473,64,40,170,0,752,282,82,49,121,7,546,4420,1864,1299,9570,191,17343,836,38,99,30,5,1010,306,44,26,119,0,493,650,160,110,827,13,1769,1875,301,161,921,19,3278,216,35,25,50,0,328,2890,75,67,39,15,3087,1575,702,428,5206,70,7988,7660,1333,695,3227,122,13032,3696,18,29,12,16,3772,1061,250,126,422,16,1879,128,28,11,37,0,214,378,90,66,214,4,747,149,27,18,10,7,205,357,130,71,30,0,587,422,47,70,128,3,672,341,44,32,64,0,479,56,10,14,4,0,83,1110,466,353,2944,43,4919,261,28,30,47,3,365,235,53,34,16,6,343,620,49,52,87,8,822,380,19,20,12,3,437,760,18,48,26,3,859,162,37,32,165,4,399,7521,721,696,790,59,9796,255,24,31,139,4789,5240,48072,5722,3998,24739,5489,88015,1034,2549,1846,10190
LGA11570,4400,28295,974,49158,19,71,29,446,5,574,37474,322,562,439,441,39243,1209,131,78,273,16,1709,492,143,82,229,13,964,11865,4340,2695,22738,794,42431,4842,115,414,46,66,5486,719,65,40,228,19,1073,1689,352,209,1816,70,4136,15013,1806,968,4607,316,22711,546,84,42,100,9,792,8251,148,108,68,53,8627,2099,1171,762,9680,163,13875,8035,1595,714,3649,157,14146,4208,20,71,11,22,4338,37275,6551,2774,5181,566,52348,3305,409,172,497,35,4413,1055,232,144,475,20,1927,1392,135,125,49,31,1734,887,242,136,105,19,1389,1254,141,83,235,24,1731,624,46,44,85,12,808,1734,154,60,29,45,2017,1901,936,613,5691,128,9264,698,44,43,76,9,868,374,54,66,23,5,519,1735,101,89,150,20,2091,569,27,30,23,0,649,24298,150,349,155,241,25189,205,80,52,270,7,620,66803,3901,2368,2746,730,76547,3411,326,178,748,17913,22563,227634,20825,12146,63392,22177,346176,12718,8038,5050,25309
LGA11600,39,1122,21,1240,3,0,0,20,0,22,21,0,0,5,0,29,0,0,0,0,0,0,12,0,3,9,0,21,58,54,39,825,21,992,14,0,0,0,0,14,8,0,0,4,0,7,16,6,5,63,0,86,4,0,0,0,0,10,0,0,0,0,0,0,27,4,0,0,0,36,21,18,9,272,0,323,21,7,0,24,0,53,20,0,3,0,0,24,3,0,0,6,0,13,0,0,0,0,0,0,4,0,0,4,0,6,11,0,0,0,4,15,8,0,0,0,0,12,4,0,0,4,0,8,3,0,0,0,0,3,0,0,0,0,0,0,24,13,14,259,4,307,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,6,8,15,0,105,11,0,3,26,209,248,325,96,76,1974,251,2723,11,56,60,1002
LGA11650,9670,109392,2462,137133,6,77,38,1275,31,1434,2919,202,255,746,43,4167,526,155,83,276,5,1035,2102,661,399,1289,40,4490,24285,12727,8978,94021,2367,142378,1779,105,453,88,38,2462,792,172,132,890,24,2010,2606,950,599,6836,167,11160,1027,327,138,844,18,2358,484,132,50,179,9,851,1865,136,97,151,11,2253,5234,3056,1915,31466,579,42257,2718,1140,405,3863,113,8243,694,6,35,20,0,762,410,175,63,263,7,911,80,27,8,34,0,152,1399,411,209,1208,42,3277,1100,328,222,222,23,1895,1482,800,524,435,28,3270,931,225,139,451,17,1763,698,92,100,205,8,1096,236,113,25,22,5,400,5765,3112,2116,22434,474,33906,253,40,16,83,5,400,1018,181,140,94,9,1441,1074,99,73,371,9,1633,207,48,24,33,0,320,332,17,44,19,3,410,952,276,195,1053,19,2490,10087,2545,1766,3451,194,18043,570,184,148,2245,16532,19681,60470,24663,16945,203831,21829,327736,2182,15545,11233,107973
LGA11700,25,554,14,606,0,6,0,409,37,453,6,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,19,23,16,354,14,423,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,32,0,47,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,5,3,9,7,0,90,0,104,6,7,0,9,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,10,0,0,0,0,0,4,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,5,3,97,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,26,3,4,17,6,53,3,3,0,34,282,321,76,45,37,1312,353,1831,0,19,15,394
LGA11720,1051,22976,500,26226,0,10,0,288,6,308,117,11,15,74,4,220,22,9,4,19,0,53,163,69,59,161,0,457,1822,1382,950,19189,453,23797,175,13,64,15,3,274,43,9,8,100,0,167,295,130,101,1653,38,2211,31,28,0,92,0,151,39,8,7,26,0,78,117,13,8,17,9,158,346,270,136,4538,105,5385,120,72,15,440,12,659,15,0,0,0,0,20,25,6,3,30,0,65,7,10,0,12,3,32,52,22,20,69,11,164,114,30,19,33,4,200,144,77,62,59,0,346,152,39,21,155,3,368,27,9,5,34,0,73,16,9,0,0,0,29,618,457,313,4819,88,6287,8,0,0,5,0,14,66,15,9,27,0,116,52,7,0,71,4,131,9,0,0,0,0,12,14,0,7,0,0,18,73,41,20,307,7,451,739,182,114,449,31,1511,45,25,15,589,4388,5058,4437,2658,1771,41303,5385,55561,228,1793,1240,24880
LGA11730,938,19923,454,22777,0,14,8,530,4,552,144,19,9,96,5,264,16,5,0,9,0,27,321,91,54,153,4,612,2082,1210,942,16800,465,21500,137,5,51,0,10,202,62,18,12,122,5,217,303,108,66,1789,28,2301,32,21,3,63,4,124,28,6,5,4,0,46,121,9,0,33,0,165,383,278,168,5295,124,6243,116,80,15,410,11,629,8,0,3,0,0,10,6,3,0,16,0,23,3,0,0,0,0,6,50,16,7,63,5,140,56,26,6,16,5,114,100,62,50,51,3,265,66,29,13,31,6,142,30,7,9,18,0,59,4,3,0,0,0,14,510,359,254,4646,91,5856,5,6,0,4,0,8,48,10,13,10,0,83,39,3,7,33,5,85,22,0,0,4,0,28,22,0,4,0,0,31,84,23,18,141,0,269,686,194,158,462,22,1521,36,25,16,648,3456,4189,4525,2374,1679,37669,4421,50670,181,1391,1026,19634
LGA11750,93,2119,63,2384,0,0,0,36,0,38,22,0,0,8,0,32,0,0,0,3,0,11,20,9,3,11,0,40,93,66,64,1168,40,1432,19,0,5,0,0,22,5,0,0,6,0,14,25,11,4,110,3,153,3,0,3,12,0,19,3,0,0,0,0,3,20,3,0,0,0,25,47,11,22,415,6,508,9,0,3,45,0,64,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,4,21,0,3,0,0,23,15,12,3,3,0,29,3,4,7,3,0,16,0,0,4,0,0,12,4,5,0,0,0,9,33,18,16,279,8,358,0,0,0,0,0,0,19,0,0,0,0,16,0,0,0,4,0,4,10,0,0,0,0,10,3,0,0,0,0,3,3,5,0,9,0,19,111,11,16,34,3,170,9,0,4,55,494,562,407,156,147,3274,590,4564,8,73,90,1577
LGA11800,1743,24335,474,29344,0,22,5,411,15,455,381,51,56,156,6,643,72,16,11,34,0,126,481,164,81,272,8,1013,4200,2274,1619,21679,527,30298,273,9,79,25,11,397,157,16,25,197,7,399,672,208,153,2040,42,3115,92,51,10,128,4,286,107,22,8,40,0,177,1133,60,93,52,10,1348,896,524,350,7567,124,9459,431,167,71,908,19,1597,53,0,0,5,0,63,38,12,8,55,0,109,17,0,0,11,0,30,103,35,35,110,7,286,152,50,27,47,3,280,249,139,89,57,7,543,193,29,24,102,3,356,88,18,7,38,5,155,37,3,14,0,0,55,981,598,405,5780,96,7858,24,0,3,7,0,29,146,31,15,10,0,207,152,9,24,89,0,280,28,8,0,3,0,47,53,0,4,0,3,67,157,43,33,252,0,483,3109,461,354,769,65,4754,196,41,27,597,4825,5672,12332,4389,3174,47124,5923,72949,468,2710,1982,24352
LGA12000,61,1759,43,1953,0,0,0,15,0,17,0,0,0,6,0,11,0,0,0,0,0,0,17,4,3,23,0,42,98,85,55,1386,37,1660,0,0,0,0,0,0,3,0,0,12,3,19,11,15,8,153,4,193,8,0,0,9,0,19,0,0,0,0,0,0,8,0,0,8,0,17,15,15,13,572,12,628,6,4,4,29,0,50,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,3,0,0,0,0,5,7,0,0,0,0,7,3,4,0,3,0,15,4,3,0,3,0,12,0,0,0,3,0,3,0,0,0,0,0,0,25,26,13,420,11,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,0,13,43,14,4,37,0,101,0,5,0,43,411,465,223,155,99,3342,495,4313,13,80,60,1795
LGA12150,40,1914,39,2039,0,0,0,52,0,54,5,0,4,15,0,21,0,0,0,0,0,0,3,3,5,8,0,19,34,28,32,1159,38,1290,4,0,0,0,0,4,0,0,0,10,0,10,13,4,0,96,0,120,8,0,0,4,0,14,0,0,0,0,0,0,14,0,0,0,0,17,12,9,7,332,13,377,6,5,0,23,0,38,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,9,0,5,3,4,0,13,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,13,4,6,253,7,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,3,0,0,0,0,3,0,0,0,10,0,12,20,3,0,18,0,49,0,3,5,59,569,631,132,69,66,2991,661,3919,9,31,26,1431
LGA12160,148,4808,140,5339,0,0,0,15,8,23,34,0,3,22,4,64,0,0,0,0,0,0,40,9,0,22,0,79,300,195,129,3910,129,4661,35,0,0,0,0,38,7,3,0,24,0,37,40,24,18,324,3,406,7,4,0,10,0,26,3,0,0,0,0,8,25,3,4,0,0,31,56,30,33,1313,38,1463,24,9,8,73,4,115,0,0,0,0,0,0,4,6,0,16,0,24,0,0,0,0,0,0,8,6,0,6,0,14,9,5,0,7,0,21,21,8,8,0,0,37,13,5,0,8,0,24,4,4,0,3,0,11,0,0,0,0,0,3,62,54,42,821,24,998,0,0,0,0,0,0,5,0,0,0,0,8,6,0,0,4,0,15,5,7,0,0,0,6,16,0,0,0,0,18,5,3,0,24,0,40,108,19,25,63,9,224,5,6,0,171,658,838,733,374,250,8858,934,11144,22,231,141,4448
LGA12350,202,5308,120,5915,0,4,0,142,0,147,37,3,5,15,0,70,19,7,4,3,3,30,61,14,10,25,3,113,359,245,185,4319,101,5214,22,0,0,0,0,29,17,0,0,29,0,43,86,36,18,296,7,446,23,9,0,27,0,59,17,0,0,10,0,25,23,0,0,0,0,27,66,58,27,1263,29,1449,35,26,9,71,0,146,5,0,0,0,0,7,9,5,0,11,0,17,0,0,0,0,0,0,29,5,10,30,0,70,14,0,7,12,0,32,16,12,25,16,0,65,17,0,0,11,0,38,10,0,0,0,0,7,0,0,0,0,0,0,96,64,54,960,16,1184,0,0,5,0,0,6,10,0,0,4,0,15,10,0,0,14,0,20,5,0,0,0,0,5,4,0,0,0,0,4,8,9,3,29,3,54,170,46,24,111,3,343,14,6,7,128,888,1046,992,478,358,9506,1130,12464,46,264,210,4856
