LGA_CODE_2021,Per_age_15over_C11_M,Per_age_15over_C11_F,Per_age_15over_C11_P,Per_age_15over_C16_M,Per_age_15over_C16_F,Per_age_15over_C16_P,Per_age_15over_C21_M,Per_age_15over_C21_F,Per_age_15over_C21_P,Lfs_Em_FT_C11_M,Lfs_Em_FT_C11_F,Lfs_Em_FT_C11_P,Lfs_Em_FT_C16_M,Lfs_Em_FT_C16_F,Lfs_Em_FT_C16_P,Lfs_Em_FT_C21_M,Lfs_Em_FT_C21_F,Lfs_Em_FT_C21_P,Lfs_Em_PT_C11_M,Lfs_Em_PT_C11_F,Lfs_Em_PT_C11_P,Lfs_Em_PT_C16_M,Lfs_Em_PT_C16_F,Lfs_Em_PT_C16_P,Lfs_Em_PT_C21_M,Lfs_Em_PT_C21_F,Lfs_Em_PT_C21_P,Lfs_Em_AFWr_C11_M,Lfs_Em_AFWr_C11_F,Lfs_Em_AFWr_C11_P,Lfs_Em_AFWr_C16_M,Lfs_Em_AFWr_C16_F,Lfs_Em_AFWr_C16_P,Lfs_Em_AFWr_C21_M,Lfs_Em_AFWr_C21_F,Lfs_Em_AFWr_C21_P,Lfs_Unem_LFW_C11_M,Lfs_Unem_LFW_C11_F,Lfs_Unem_LFW_C11_P,Lfs_Unem_LFW_C16_M,Lfs_Unem_LFW_C16_F,Lfs_Unem_LFW_C16_P,Lfs_Unem_LFW_C21_M,Lfs_Unem_LFW_C21_F,Lfs_Unem_LFW_C21_P,Lfs_Tot_LForc_C11_M,Lfs_Tot_LForc_C11_F,Lfs_Tot_LForc_C11_P,Lfs_Tot_LForc_C16_M,Lfs_Tot_LForc_C16_F,Lfs_Tot_LForc_C16_P,Lfs_Tot_LForc_C21_M,Lfs_Tot_LForc_C21_F,Lfs_Tot_LForc_C21_P,N_LForc_C11_M,N_LForc_C11_F,N_LForc_C11_P,N_LForc_C16_M,N_LForc_C16_F,N_LForc_C16_P,N_LForc_C21_M,N_LForc_C21_F,N_LForc_C21_P,Pcnt_Unemp_C11_M,Pcnt_Unemp_C11_F,Pcnt_Unemp_C11_P,Pcnt_Unemp_C16_M,Pcnt_Unemp_C16_F,Pcnt_Unemp_C16_P,Pcnt_Unemp_C21_M,Pcnt_Unemp_C21_F,Pcnt_Unemp_C21_P,Pcnt_LForc_prt_C11_M,Pcnt_LForc_prt_C11_F,Pcnt_LForc_prt_C11_P,Pcnt_LForc_prt_C16_M,Pcnt_LForc_prt_C16_F,Pcnt_LForc_prt_C16_P,Pcnt_LForc_prt_C21_M,Pcnt_LForc_prt_C21_F,Pcnt_LForc_prt_C21_P,Pcnt_Emp_to_pop_C11_M,Pcnt_Emp_to_pop_C11_F,Pcnt_Emp_to_pop_C11_P,Pcnt_Emp_to_pop_C16_M,Pcnt_Emp_to_pop_C16_F,Pcnt_Emp_to_pop_C16_P,Pcnt_Emp_to_pop_C21_M,Pcnt_Emp_to_pop_C21_F,Pcnt_Emp_to_pop_C21_P,H_no_sc_qu_Po_De_C11_M,H_no_sc_qu_Po_De_C11_F,H_no_sc_qu_Po_De_C11_P,H_no_sc_qu_Po_De_C16_M,H_no_sc_qu_Po_De_C16_F,H_no_sc_qu_Po_De_C16_P,H_no_sc_qu_Po_De_C21_M,H_no_sc_qu_Po_De_C21_F,H_no_sc_qu_Po_De_C21_P,H_n_s_q_Gr_D_G_Ce_C11_M,H_n_s_q_Gr_D_G_Ce_C11_F,H_n_s_q_Gr_D_G_Ce_C11_P,H_n_s_q_Gr_D_G_Ce_C16_M,H_n_s_q_Gr_D_G_Ce_C16_F,H_n_s_q_Gr_D_G_Ce_C16_P,H_n_s_q_Gr_D_G_Ce_C21_M,H_n_s_q_Gr_D_G_Ce_C21_F,H_n_s_q_Gr_D_G_Ce_C21_P,H_n_s_q_BD_C11_M,H_n_s_q_BD_C11_F,H_n_s_q_BD_C11_P,H_n_s_q_BD_C16_M,H_n_s_q_BD_C16_F,H_n_s_q_BD_C16_P,H_n_s_q_BD_C21_M,H_n_s_q_BD_C21_F,H_n_s_q_BD_C21_P,H_n_s_q_AdDip_DL_C11_M,H_n_s_q_AdDip_DL_C11_F,H_n_s_q_AdDip_DL_C11_P,H_n_s_q_AdDip_DL_C16_M,H_n_s_q_AdDip_DL_C16_F,H_n_s_q_AdDip_DL_C16_P,H_n_s_q_AdDip_DL_C21_M,H_n_s_q_AdDip_DL_C21_F,H_n_s_q_AdDip_DL_C21_P,H_n_s_q_Cert_III_IV_C11_M,H_n_s_q_Cert_III_IV_C11_F,H_n_s_q_Cert_III_IV_C11_P,H_n_s_q_Cert_III_IV_C16_M,H_n_s_q_Cert_III_IV_C16_F,H_n_s_q_Cert_III_IV_C16_P,H_n_s_q_Cert_III_IV_C21_M,H_n_s_q_Cert_III_IV_C21_F,H_n_s_q_Cert_III_IV_C21_P,H_n_s_q_Cert_I_II_C11_M,H_n_s_q_Cert_I_II_C11_F,H_n_s_q_Cert_I_II_C11_P,H_n_s_q_Cert_I_II_C16_M,H_n_s_q_Cert_I_II_C16_F,H_n_s_q_Cert_I_II_C16_P,H_n_s_q_Cert_I_II_C21_M,H_n_s_q_Cert_I_II_C21_F,H_n_s_q_Cert_I_II_C21_P,H_n_s_q_Cert_Lev_nfd_C11_M,H_n_s_q_Cert_Lev_nfd_C11_F,H_n_s_q_Cert_Lev_nfd_C11_P,H_n_s_q_Cert_Lev_nfd_C16_M,H_n_s_q_Cert_Lev_nfd_C16_F,H_n_s_q_Cert_Lev_nfd_C16_P,H_n_s_q_Cert_Lev_nfd_C21_M,H_n_s_q_Cert_Lev_nfd_C21_F,H_n_s_q_Cert_Lev_nfd_C21_P,H_n_s_q_Cert_Lev_Tot_C11_M,H_n_s_q_Cert_Lev_Tot_C11_F,H_n_s_q_Cert_Lev_Tot_C11_P,H_n_s_q_Cert_Lev_Tot_C16_M,H_n_s_q_Cert_Lev_Tot_C16_F,H_n_s_q_Cert_Lev_Tot_C16_P,H_n_s_q_Cert_Lev_Tot_C21_M,H_n_s_q_Cert_Lev_Tot_C21_F,H_n_s_q_Cert_Lev_Tot_C21_P,Mi_Liv_SA_1yr_ag_C11_M,Mi_Liv_SA_1yr_ag_C11_F,Mi_Liv_SA_1yr_ag_C11_P,Mi_Liv_SA_1yr_ag_C16_M,Mi_Liv_SA_1yr_ag_C16_F,Mi_Liv_SA_1yr_ag_C16_P,Mi_Liv_SA_1yr_ag_C21_M,Mi_Liv_SA_1yr_ag_C21_F,Mi_Liv_SA_1yr_ag_C21_P,Mi_Liv_DA_1yr_ag_C11_M,Mi_Liv_DA_1yr_ag_C11_F,Mi_Liv_DA_1yr_ag_C11_P,Mi_Liv_DA_1yr_ag_C16_M,Mi_Liv_DA_1yr_ag_C16_F,Mi_Liv_DA_1yr_ag_C16_P,Mi_Liv_DA_1yr_ag_C21_M,Mi_Liv_DA_1yr_ag_C21_F,Mi_Liv_DA_1yr_ag_C21_P,Mi_Liv_SA_5yrs_ag_C11_M,Mi_Liv_SA_5yrs_ag_C11_F,Mi_Liv_SA_5yrs_ag_C11_P,Mi_Liv_SA_5yrs_ag_C16_M,Mi_Liv_SA_5yrs_ag_C16_F,Mi_Liv_SA_5yrs_ag_C16_P,Mi_Liv_SA_5yrs_ag_C21_M,Mi_Liv_SA_5yrs_ag_C21_F,Mi_Liv_SA_5yrs_ag_C21_P,Mi_Liv_DA_5yrs_ag_C11_M,Mi_Liv_DA_5yrs_ag_C11_F,Mi_Liv_DA_5yrs_ag_C11_P,Mi_Liv_DA_5yrs_ag_C16_M,Mi_Liv_DA_5yrs_ag_C16_F,Mi_Liv_DA_5yrs_ag_C16_P,Mi_Liv_DA_5yrs_ag_C21_M,Mi_Liv_DA_5yrs_ag_C21_F,Mi_Liv_DA_5yrs_ag_C21_P
LGA10800,2292,2285,4579,2367,2358,4725,2232,2223,4458,1243,521,1765,1093,512,1606,1061,540,1607,186,547,739,236,531,768,210,558,772,105,88,197,83,87,171,93,78,168,42,56,98,56,38,91,47,27,77,1573,1217,2793,1468,1169,2635,1410,1215,2623,617,991,1610,632,897,1530,597,818,1410,2.7,4.6,3.5,3.9,3.1,3.5,3.2,2.5,2.9,68.8,53.2,61,62,49.5,55.8,63.1,54.5,58.8,66.9,50.7,58.8,59.6,48,53.8,61.1,53.2,57.2,13,11,24,12,28,39,17,31,46,13,15,31,8,27,39,16,38,54,100,194,293,107,219,326,113,248,363,77,149,219,90,156,243,97,191,288,543,259,800,590,251,841,609,322,930,23,55,80,21,61,79,19,59,77,25,53,79,43,64,108,21,49,75,597,360,957,651,375,1025,649,428,1073,2424,2490,4913,2342,2294,4636,2201,2186,4391,363,334,699,228,264,494,242,262,504,1785,1798,3577,1748,1698,3447,1620,1546,3166,790,839,1626,702,732,1426,701,769,1469
LGA10850,2692,2728,5419,2833,2917,5750,2949,3030,5977,1395,619,2018,1317,673,1989,1363,814,2171,218,670,889,294,752,1045,344,756,1098,110,100,209,86,102,186,122,107,226,82,75,155,115,85,199,89,69,159,1797,1467,3270,1812,1613,3425,1914,1743,3658,740,1140,1877,794,1110,1901,811,1084,1893,4.6,5,4.8,6.3,5.2,5.8,4.6,4,4.3,66.9,53.8,60.3,63.8,55.3,59.5,65,57.6,61.2,63.8,51.1,57.4,59.8,52.5,56.1,62,55.3,58.6,36,33,71,43,66,110,62,92,152,15,32,47,35,55,88,35,82,116,158,289,444,186,360,547,238,428,662,146,250,395,151,279,428,167,310,475,693,351,1044,787,408,1190,871,490,1367,28,73,97,27,56,84,35,72,116,37,57,95,59,99,157,52,81,136,753,484,1233,870,562,1432,964,647,1614,2841,2880,5721,2841,2898,5738,2956,3017,5974,419,420,834,426,448,875,450,463,916,2010,1997,4003,2015,1987,4003,2061,2070,4133,1015,1098,2110,1079,1195,2271,1145,1247,2392
LGA10900,29131,32013,61142,29900,32927,62836,30905,33588,64491,13496,7571,21073,13126,7869,20997,11582,7616,19204,3938,8543,12477,4270,8879,13148,4788,8028,12816,945,1115,2057,763,959,1723,1896,2377,4272,1023,833,1852,935,846,1782,863,592,1456,19397,18068,37459,19099,18544,37645,19133,18616,37749,8236,12412,20649,9382,12894,22277,10713,13814,24528,5.3,4.6,4.9,4.9,4.6,4.7,4.5,3.2,3.9,66.6,56.4,61.3,63.9,56.3,59.9,61.9,55.4,58.5,63.1,53.8,58.2,60.7,53.8,57.1,59.1,53.7,56.3,1535,1588,3124,1934,2256,4194,2539,3266,5806,645,1065,1709,702,1334,2035,849,1592,2438,4103,5826,9930,4519,6522,11043,5352,7475,12828,2707,3805,6518,3047,4320,7364,3119,4358,7471,7047,3059,10107,7208,3437,10638,7285,3666,10950,311,510,819,267,439,709,280,478,757,500,890,1385,671,1051,1719,628,962,1587,7853,4455,12311,8142,4928,13069,8197,5101,13297,30488,32702,63191,30132,32369,62501,32110,34285,66388,4004,4399,8400,4081,4303,8388,4086,4265,8351,21393,22825,44223,21433,23049,44481,23092,24729,47827,11061,12254,23311,11676,12686,24360,11448,12165,23613
LGA10950,1120,1092,2219,1082,1060,2137,1008,980,1988,569,293,861,529,263,798,542,291,836,81,209,292,85,241,324,70,214,287,53,45,93,29,24,56,37,46,79,42,34,79,40,19,61,23,26,40,744,580,1321,686,544,1235,671,567,1241,280,437,718,269,402,670,243,324,566,5.6,5.9,5.7,5.5,4,4.9,3.3,3.9,3.5,66.4,52.8,59.7,63.4,51.7,57.6,66.6,57.9,62.3,62.6,49.7,56.2,59.9,49.7,54.8,64.4,55.7,60.1,7,7,17,7,9,17,14,21,33,5,11,19,9,11,16,6,15,23,51,96,147,50,104,157,51,119,169,26,62,87,42,76,114,38,63,103,229,99,329,257,100,359,251,128,380,6,17,27,12,19,26,6,14,18,14,23,34,17,21,42,11,26,42,248,138,387,283,146,428,272,162,439,1158,1098,2255,1040,1008,2048,960,943,1905,188,204,395,126,152,278,136,149,290,852,783,1634,782,728,1509,701,676,1379,396,427,820,328,356,683,343,349,699
LGA11150,1073,1070,2142,991,1025,2014,898,921,1820,515,334,851,402,317,720,402,306,705,69,203,272,89,147,231,66,140,207,36,43,81,21,26,48,34,39,76,41,24,64,42,30,75,15,15,27,663,600,1262,558,515,1073,522,495,1016,239,331,566,233,311,546,206,265,473,6.3,3.8,5.1,7.4,5.8,6.6,2.7,2.6,2.7,62.1,56,59.1,55.8,50.5,53.1,58.3,53.5,55.9,58.2,53.9,56,51.7,47.6,49.6,56.8,52.1,54.4,12,14,25,11,21,29,18,21,34,3,14,13,0,5,9,4,12,20,61,138,199,47,117,165,56,126,180,55,66,121,55,93,144,51,76,127,194,93,289,166,78,243,154,89,248,11,24,33,8,23,29,12,9,18,9,22,28,12,14,30,10,13,23,211,138,350,189,118,305,177,113,290,1007,973,1974,880,867,1746,799,775,1582,207,208,415,118,168,282,124,148,273,684,647,1334,618,604,1216,578,584,1157,405,436,843,313,354,669,277,279,558
LGA11200,653,660,1315,648,623,1268,528,551,1080,237,179,411,201,148,346,166,136,302,63,92,159,43,65,109,37,68,108,31,15,48,17,27,44,12,20,38,50,33,84,59,37,96,20,10,34,381,322,708,318,278,597,242,237,481,223,291,512,272,300,571,193,226,413,13.6,10.7,12.3,18.2,13.7,16.1,9.1,5.1,7.1,58.5,49.2,53.8,49,44.5,46.8,46,43.1,44.5,50.5,44,47.2,40.1,38.4,39.3,41.8,40.9,41.4,0,7,7,0,8,9,8,15,19,0,3,7,4,3,5,7,8,9,23,60,85,20,63,78,20,50,75,17,38,55,25,37,65,16,35,53,106,51,157,88,48,141,74,42,115,12,19,27,22,20,43,5,18,15,3,10,11,8,4,14,5,4,6,119,76,197,122,78,198,78,55,133,713,718,1430,630,636,1264,479,481,965,100,98,197,92,90,182,80,65,150,529,533,1061,484,498,984,366,361,727,206,220,421,168,173,344,153,156,311
LGA11250,7298,7883,15179,7132,7631,14763,7073,7516,14592,2771,1601,4374,2554,1678,4230,2589,1832,4422,609,1470,2078,705,1473,2175,748,1433,2178,278,276,556,248,248,494,274,300,572,375,263,635,401,264,668,267,153,419,4030,3612,7642,3911,3656,7569,3870,3720,7586,2748,3656,6402,2674,3405,6075,2618,3161,5778,9.3,7.3,8.3,10.3,7.3,8.8,6.9,4,5.5,55.2,45.8,50.3,54.8,48,51.3,54.7,49.4,52,50.1,42.5,46.1,49.2,44.5,46.7,50.9,47.4,49.1,51,74,126,65,129,193,99,157,252,53,98,151,62,112,177,60,167,224,269,516,784,299,597,894,326,717,1042,284,356,637,301,504,804,338,552,893,1803,800,2609,1972,909,2878,1951,1041,2989,67,141,207,72,158,228,71,130,198,66,128,199,81,208,288,84,169,254,1938,1076,3006,2124,1277,3397,2106,1342,3446,7263,7737,15004,6776,7126,13902,6690,7005,13696,1016,1042,2058,911,1026,1933,954,1060,2020,5657,5948,11608,5220,5451,10668,5029,5163,10186,2091,2222,4318,2117,2412,4534,2218,2534,4761
LGA11300,13438,14209,27651,15370,16637,32003,17309,18109,35414,5529,3730,9260,6018,4279,10301,5412,4318,9734,2109,2877,4987,2518,3490,6006,2868,3657,6533,419,432,850,430,442,870,1261,1238,2502,559,540,1096,731,681,1414,851,582,1433,8619,7571,16192,9693,8895,18588,10397,9800,20193,3879,5818,9692,4844,6869,11712,5801,7177,12977,6.5,7.1,6.8,7.5,7.7,7.6,8.2,5.9,7.1,64.1,53.3,58.6,63.1,53.4,58.1,60.1,54.1,57,60,49.5,54.6,58.3,49.3,53.7,55.2,50.9,53,1233,1074,2312,1590,1683,3276,1977,2140,4118,161,247,413,198,312,507,236,433,674,2579,2946,5530,3452,3977,7421,4073,4529,8604,1279,1473,2751,1233,1524,2752,1756,1981,3740,1472,676,2150,1503,750,2252,1541,923,2465,77,122,198,75,119,192,82,155,237,106,211,324,179,293,471,208,290,498,1656,1010,2672,1754,1160,2912,1835,1369,3198,12354,13034,25388,12789,13844,26631,14016,14957,28975,2434,2559,4994,3648,3786,7432,4430,4381,8812,7899,8597,16499,8032,8757,16792,8521,9350,17868,6027,6251,12279,7970,8463,16429,9256,9316,18573
LGA11350,11517,12305,23814,12545,13722,26267,14389,15912,30299,3695,2135,5828,3787,2335,6119,4225,2726,6949,2214,3689,5903,2533,4065,6603,3301,5152,8455,457,432,890,405,430,837,601,722,1328,640,533,1170,494,454,946,457,447,901,7006,6786,13785,7227,7279,14503,8584,9049,17631,3720,4829,8554,3679,4755,8436,4298,5308,9606,9.1,7.8,8.5,6.9,6.2,6.5,5.3,5,5.1,60.8,55.1,57.9,57.6,53,55.2,59.7,56.9,58.2,55.3,50.8,53,53.7,49.8,51.6,56.5,54,55.2,361,412,774,476,626,1105,762,1123,1881,183,344,531,207,390,595,272,542,814,1558,2219,3778,1860,2660,4523,2653,3840,6491,817,1567,2382,956,1832,2786,1259,2108,3359,2731,1116,3853,2855,1249,4096,2982,1410,4395,94,193,286,82,152,237,92,193,281,147,251,397,210,408,614,251,378,629,2965,1567,4531,3145,1811,4954,3329,1981,5306,10952,11410,22368,10762,11421,22181,12501,13307,25808,2308,2641,4949,2193,2649,4839,2902,3486,6383,7225,7288,14512,7150,7329,14474,7879,8158,16032,5237,5967,11213,5271,6162,11435,6773,7911,14689
LGA11400,4971,5044,10017,5215,5285,10501,5424,5551,10970,2594,1296,3897,2514,1270,3785,2606,1396,4002,484,1240,1730,535,1339,1872,641,1503,2151,215,194,403,186,189,376,169,208,379,113,122,233,141,127,263,93,78,174,3416,2845,6261,3374,2922,6300,3517,3184,6701,1399,2030,3435,1467,2012,3475,1500,1963,3462,3.3,4.2,3.7,4.2,4.3,4.2,2.7,2.4,2.6,68.6,56.5,62.5,64.7,55.3,60,64.8,57.4,61.1,66.3,54.1,60.2,62,52.9,57.4,63.1,56,59.5,98,87,182,124,125,251,148,204,354,40,94,133,40,98,139,51,130,185,324,615,941,397,716,1111,494,872,1367,310,444,756,355,543,896,347,590,939,1336,608,1945,1438,609,2049,1509,749,2255,57,116,170,51,113,167,54,115,173,67,124,188,80,194,278,75,138,216,1458,847,2306,1572,927,2494,1638,1006,2644,5438,5458,10891,5416,5410,10831,5581,5693,11272,710,705,1416,630,691,1316,649,611,1265,3994,3959,7954,3952,3833,7784,4054,4023,8074,1750,1838,3584,1802,1965,3762,1878,1966,3836
LGA11450,20863,22108,42971,28801,30725,59521,43153,46073,89228,12561,6733,19297,17174,9745,26919,21162,13766,34924,1980,5786,7764,2915,8011,10923,6149,10758,16906,765,936,1696,911,1264,2170,3437,4210,7650,588,623,1210,829,897,1729,1063,1099,2153,15895,14074,29972,21830,19914,41745,31806,29832,61637,4132,7246,11378,5616,9340,14961,9809,14555,24362,3.7,4.4,4,3.8,4.5,4.1,3.3,3.7,3.5,76.2,63.7,69.7,75.8,64.8,70.1,73.7,64.7,69.1,73.4,60.8,66.9,72.9,61.9,67.2,71.2,62.4,66.7,423,444,871,815,1022,1840,1971,2559,4527,177,344,522,279,588,867,478,1120,1601,1683,2594,4274,2665,4307,6967,5146,7974,13117,1572,2268,3842,2497,3641,6138,4012,5755,9771,6357,2336,8691,8604,3721,12329,12018,6162,18182,159,413,578,214,572,782,305,711,1016,257,593,845,518,874,1391,795,1185,1984,6776,3342,10118,9339,5167,14505,13117,8062,21180,22682,23513,46194,29050,30194,59238,46845,48507,95352,3798,3996,7800,6266,6574,12845,8756,9199,17954,14785,15314,30095,16577,17184,33754,24255,24974,49231,9690,10322,20014,16646,17579,34226,26629,28274,54902
LGA11500,54979,58960,113939,59610,63538,123145,66824,70834,137653,27812,16157,43967,28688,17079,45763,24028,16795,40824,5424,11562,16985,6773,12733,19502,7992,12548,20533,2112,1990,4100,1784,1787,3569,6434,4998,11431,2658,2523,5181,2823,3050,5872,2576,2352,4936,38010,32225,70234,40061,34649,74709,41027,36689,77719,13918,23395,37312,16094,25003,41102,21720,29694,51411,7,7.8,7.4,7,8.8,7.9,6.3,6.4,6.3,69.1,54.7,61.6,67.2,54.5,60.7,61.4,51.8,56.5,64.3,50.4,57.1,62.5,49.7,55.9,57.5,48.5,52.9,1360,1191,2553,2382,2254,4639,3940,3858,7798,341,536,877,477,728,1204,653,1155,1804,4113,5560,9675,5564,7492,13054,8182,10805,18991,3358,4647,8001,4312,6131,10442,5271,7048,12318,13003,5864,18866,13555,7175,20734,13671,8303,21977,610,1169,1773,541,1129,1671,579,1205,1789,668,1372,2035,1098,1761,2859,1049,1719,2768,14278,8398,22675,15195,10062,25263,15302,11226,26534,58986,61612,120600,60212,62567,122785,70038,72729,142764,7812,8267,16086,9834,10223,20057,10366,10594,20957,41449,43025,84473,41353,42830,84178,44618,46082,90699,20492,22187,42676,25109,26553,51662,30386,32003,62388
LGA11520,30296,32721,63021,35063,38666,73726,35730,39347,75074,15754,10651,26405,17811,12446,30257,15980,12599,28579,3318,6807,10124,4292,8104,12401,5144,7815,12958,996,1152,2151,854,1182,2040,2175,2608,4778,932,811,1745,1220,1153,2374,1075,889,1965,20999,19422,40418,24181,22889,47072,24367,23909,48280,7152,11354,18498,8776,13485,22261,9721,13623,23338,4.4,4.2,4.3,5,5,5,4.4,3.7,4.1,69.3,59.3,64.1,69,59.2,63.8,68.2,60.8,64.3,66.2,56.9,61.4,65.5,56.2,60.6,65.2,58.5,61.7,2623,2439,5058,3908,4103,8013,4608,4988,9604,558,813,1372,692,1051,1741,749,1326,2080,6471,7514,13986,8416,9868,18283,9400,11118,20519,2609,3526,6139,3039,4078,7121,3382,4494,7882,4476,1837,6309,4570,2024,6593,4715,2176,6892,186,340,523,189,303,493,209,343,554,390,738,1124,595,981,1577,621,989,1607,5053,2911,7959,5356,3306,8661,5550,3505,9053,28180,30411,58598,31466,34161,65630,33203,35987,69186,5620,5908,11525,7118,7459,14583,7494,7843,15336,17546,19234,36783,18950,21017,39968,21057,23391,44451,14096,14997,29094,18124,19279,37404,17534,18574,36104
LGA11570,123989,128759,252754,135593,139564,275165,148038,149488,297532,50403,28763,79166,54030,31539,85560,38774,28984,67758,14987,21762,36744,19096,25730,44826,17181,22501,39684,4678,3924,8604,4071,3683,7753,15117,11048,26160,5927,4663,10591,6739,5675,12416,6118,4226,10348,75993,59111,135105,83932,66627,150556,77183,66764,143939,39396,61197,100595,43546,64628,108175,59768,71878,131643,7.8,7.9,7.8,8,8.5,8.2,7.9,6.3,7.2,61.3,45.9,53.5,61.9,47.7,54.7,52.1,44.7,48.4,56.5,42.3,49.3,56.9,43.7,50.2,48,41.8,44.9,4594,3739,8332,6743,6123,12859,9252,8550,17800,880,1203,2082,1169,1746,2911,1470,2505,3977,13659,15378,29035,18031,20406,38435,22614,25713,48326,8879,10878,19762,10368,13248,23619,11795,14957,26753,20751,8360,29110,21231,9785,31016,20781,10583,31364,900,1790,2687,863,1657,2521,995,1758,2749,1377,2555,3939,2144,3366,5510,2219,3353,5575,23023,12698,35730,24235,14804,39045,23992,15691,39687,129817,133660,263474,135616,138683,274300,148670,149673,298343,16760,16503,33258,21272,20704,41979,22278,21111,43387,89679,93320,182998,92308,95418,187732,100040,102939,202978,45980,46531,92511,56570,56002,112573,60382,58140,118526
LGA11600,1082,950,2029,1149,1037,2184,1245,1052,2304,644,271,917,622,263,882,725,307,1029,74,218,294,105,283,387,90,252,343,49,40,93,66,45,111,46,48,94,31,19,54,17,23,40,22,23,41,801,560,1361,818,615,1428,881,635,1514,233,360,591,237,329,564,213,295,507,4.2,4.1,4.2,2.5,3.8,3,2.5,3.5,2.9,74.1,58.8,67,71.1,59.1,65.4,70.3,60.2,65.7,71,56.4,64.2,69.3,56.9,63.4,68.5,58.1,63.8,9,4,11,6,8,19,8,15,22,5,14,15,0,15,16,6,17,21,43,93,135,64,119,188,85,131,216,42,69,113,56,81,136,63,97,157,214,105,319,230,108,339,239,147,382,10,22,30,8,21,30,13,23,36,6,20,29,15,33,45,23,21,48,228,151,378,254,157,412,277,195,469,1118,979,2102,1085,982,2063,1082,996,2081,194,187,379,185,171,349,229,170,402,827,709,1537,790,696,1489,755,651,1403,398,398,798,402,385,786,476,424,903
LGA11650,119710,131777,251484,127601,139709,267309,135785,148463,284248,51295,27056,78353,53461,29329,82787,48927,30365,79291,13280,30788,44067,15177,34041,49220,19158,33766,52926,4128,4463,8593,3446,4144,7590,8078,10543,18623,5184,4509,9685,5250,4857,10101,4195,3268,7463,73881,66818,140700,77334,72363,149698,80361,77935,158296,39031,57885,96916,42635,58759,101393,47870,61981,109849,7,6.7,6.9,6.8,6.7,6.7,5.2,4.2,4.7,61.7,50.7,55.9,60.6,51.8,56,59.2,52.5,55.7,57.4,47.3,52.1,56.5,48.3,52.2,56.1,50.3,53.1,2292,2029,4317,3153,3240,6392,4720,5324,10042,1051,1787,2839,1253,2350,3601,1600,3425,5020,8811,12673,21481,11083,16324,27405,14300,21385,35685,7873,11701,19578,9581,15092,24671,10744,17041,27784,33712,15040,48754,36266,18295,54561,38179,21493,59670,1231,2550,3772,1206,2478,3683,1402,2610,4010,1705,3582,5286,2441,4449,6888,2649,4463,7110,36645,21170,57812,39916,25217,65131,42232,28560,70788,122168,131269,253438,123671,131271,254946,135314,143689,279003,19581,21505,41085,20821,22711,43531,21761,23126,44882,81226,87190,168413,82075,86777,168844,89860,95013,184867,51339,56792,108129,56760,61986,118748,58720,63770,122490
LGA11700,855,725,1581,799,685,1482,720,707,1420,346,210,561,267,160,426,209,157,368,76,106,180,38,62,103,40,76,113,31,20,48,17,20,34,14,10,27,53,34,91,42,35,67,24,15,40,504,372,879,360,272,633,283,263,544,303,313,616,310,306,612,285,289,577,10.3,9.4,9.9,10.8,11.4,11.1,8,5,6.6,59,51.2,55.4,45.3,39.7,42.7,40.1,36.9,38.5,52.9,46.4,49.9,40.4,35.1,38,36.9,35.1,36,10,8,13,4,3,12,10,12,22,7,6,17,0,3,13,3,12,20,35,60,94,19,40,57,28,54,78,29,32,55,32,43,73,28,41,67,107,63,171,104,58,164,101,63,165,14,23,31,11,15,20,11,10,24,7,11,17,12,10,25,4,9,17,130,88,213,130,79,210,113,93,205,828,767,1591,714,649,1365,587,572,1160,112,124,236,93,92,186,97,91,187,631,562,1186,534,504,1034,455,428,888,266,265,535,222,199,420,182,192,373
LGA11720,19707,20272,39983,21826,22364,44187,25444,25356,50801,8896,3837,12733,8477,4260,12737,9998,5429,15427,1743,4884,6634,2301,5272,7573,2831,6340,9174,800,716,1521,616,696,1315,1062,1456,2516,750,704,1451,1137,923,2058,890,712,1595,12191,10143,22336,12530,11154,23685,14776,13935,28714,6463,9131,15596,7803,9564,17373,9379,10163,19546,6.2,6.9,6.5,9.1,8.2,8.7,6,5.1,5.6,61.9,50,55.9,57.4,49.9,53.6,58.1,55,56.5,58.1,46.6,52.2,52.2,45.8,48.9,54.6,52.2,53.4,158,130,289,211,256,468,322,435,748,85,167,255,105,240,347,128,391,517,779,1330,2114,874,1610,2486,1249,2360,3608,797,1277,2071,1006,1793,2798,1295,2413,3712,6044,2586,8631,6785,3440,10229,8135,4920,13046,182,451,627,231,547,780,293,643,931,206,468,678,317,660,974,349,668,1017,6434,3509,9943,7336,4650,11983,8774,6227,15001,20057,20676,40734,20808,21472,42282,24300,25006,49308,3211,3462,6675,3374,3610,6988,4204,4601,8805,13918,14126,28043,14217,14272,28490,15336,15522,30854,7607,8323,15927,8663,9550,18203,11315,12342,23655
