LGA_CODE_2021,C21_650_799_1PF_1C,C21_650_799_1PF_2C,C21_650_799_1PF_3C,C21_650_799_1PF_4mC,C21_650_799_Tot,C21_800_999_1PF_1C,C21_800_999_1PF_2C,C21_800_999_1PF_3C,C21_800_999_1PF_4mC,C21_800_999_Tot,C21_1000_1499_1PF_1C,C21_1000_1499_1PF_2C,C21_1000_1499_1PF_3C,C21_1000_1499_1PF_4mC,C21_1000_1499_Tot,C21_1500_1999_1PF_1C,C21_1500_1999_1PF_2C,C21_1500_1999_1PF_3C,C21_1500_1999_1PF_4mC,C21_1500_1999_Tot,C21_2000_2499_1PF_1C,C21_2000_2499_1PF_2C,C21_2000_2499_1PF_3C,C21_2000_2499_1PF_4mC,C21_2000_2499_Tot,C21_2500_2999_1PF_1C,C21_2500_2999_1PF_2C,C21_2500_2999_1PF_3C,C21_2500_2999_1PF_4mC,C21_2500_2999_Tot,C21_3000_3999_1PF_1C,C21_3000_3999_1PF_2C,C21_3000_3999_1PF_3C,C21_3000_3999_1PF_4mC,C21_3000_3999_Tot,C21_4000more_1PF_1C,C21_4000more_1PF_2C,C21_4000more_1PF_3C,C21_4000more_1PF_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_1PF_1C,C21_Par_inc_st_1PF_2C,C21_Par_inc_st_1PF_3C,C21_Par_inc_st_1PF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_1PF_1Ch,C21_All_inc_ns_1PF_2C,C21_All_inc_ns_1PF_3C,C21_All_inc_ns_1PF_4mC,C21_All_inc_ns_Tot,C21_Tot_1PF_1C,C21_Tot_1PF_2C,C21_Tot_1PF_3C,C21_Tot_1PF_4mC,C21_Tot_Tot
LGA14300,5,9,0,0,9,31,11,0,0,37,25,16,7,0,47,17,10,5,3,32,10,5,3,0,19,8,0,0,0,12,3,3,0,0,9,0,0,0,0,5,8,9,6,0,16,4,4,0,0,3,130,75,33,9,247
LGA14350,97,61,16,16,190,128,47,29,18,223,222,98,52,24,396,104,47,12,9,167,55,26,10,6,102,16,0,9,5,32,13,4,0,0,24,10,0,0,0,8,49,53,13,17,132,26,17,6,0,47,919,458,197,112,1686
LGA14400,18,18,4,0,46,28,14,10,0,46,111,36,7,0,159,61,33,4,3,108,45,30,5,3,83,25,8,5,0,33,16,20,6,0,35,15,11,3,0,30,27,23,8,0,55,6,5,0,0,11,406,227,51,20,703
LGA14500,93,46,11,4,157,118,40,13,0,171,371,154,27,9,562,289,149,27,6,477,296,195,43,3,542,158,64,19,3,246,184,114,13,0,318,267,214,53,10,548,107,116,41,10,270,23,8,0,0,31,2258,1315,295,54,3914
LGA14550,18,11,8,4,38,42,10,5,4,62,68,20,6,9,100,26,13,3,3,41,11,5,3,0,17,4,0,0,0,4,4,0,5,0,11,3,0,0,0,4,27,9,9,0,42,5,6,3,0,12,274,105,55,23,459
LGA14600,13,17,9,3,36,27,3,0,6,37,24,14,8,0,43,13,12,0,0,23,11,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,5,0,16,4,0,0,0,7,128,74,24,20,239
LGA14650,426,271,106,33,833,726,309,113,50,1195,1499,642,200,80,2419,841,461,144,36,1481,605,340,90,23,1054,290,147,49,18,514,157,148,50,15,370,97,68,26,13,206,299,264,100,37,698,100,26,18,6,146,5964,3139,1054,367,10523
LGA14700,22,18,0,0,43,46,18,0,0,59,123,41,0,0,170,112,55,3,0,168,126,54,14,0,198,53,14,3,0,76,55,35,4,5,96,85,69,16,5,178,33,28,14,3,74,15,0,0,0,13,747,371,77,13,1198
LGA14750,22,15,11,4,47,41,10,7,4,62,60,31,10,4,105,28,18,3,4,51,20,12,0,3,38,4,6,0,0,15,8,3,0,8,12,0,0,0,0,3,13,12,7,0,31,8,3,0,0,9,255,144,63,30,488
LGA14850,120,84,29,7,237,184,69,30,12,287,365,126,49,22,556,210,97,32,8,342,98,61,21,8,190,62,29,7,4,104,29,28,5,0,68,16,10,7,3,40,78,52,25,14,174,25,6,3,4,35,1463,682,243,88,2472
LGA14870,58,36,13,9,109,98,28,17,4,148,135,58,21,10,219,65,23,10,10,108,45,17,6,4,70,17,14,3,0,34,18,8,4,0,31,12,7,0,0,27,25,19,11,6,53,13,3,0,0,21,613,262,113,44,1037
LGA14900,422,271,134,66,896,626,245,125,80,1076,1216,568,219,104,2104,770,404,176,78,1429,581,369,120,55,1120,276,210,74,45,598,191,259,83,52,587,96,159,73,36,357,229,195,115,55,590,113,57,29,13,210,5543,3354,1428,729,11047
LGA14920,17,11,12,6,41,30,6,8,3,46,40,16,5,4,68,23,7,0,0,28,10,5,0,4,21,0,0,0,0,4,0,0,0,0,5,3,0,0,3,5,13,9,3,3,27,8,3,0,0,12,192,77,41,25,336
LGA14950,4,4,0,0,14,10,4,0,0,16,26,4,0,3,31,7,8,0,0,16,0,3,0,0,5,0,0,4,0,6,0,3,0,0,3,0,0,0,0,0,3,0,0,3,7,0,0,0,0,0,73,38,9,7,124
LGA15050,180,129,73,27,412,300,140,64,38,547,593,325,92,39,1048,313,209,66,28,626,241,167,59,14,469,92,71,16,6,183,58,65,17,11,150,35,37,20,3,92,113,80,41,18,253,36,19,3,5,61,2339,1473,528,223,4562
LGA15240,245,162,57,21,491,431,151,65,30,670,699,247,115,41,1101,282,140,52,22,486,135,93,17,6,246,59,32,7,3,98,23,21,16,4,65,30,10,5,4,50,181,114,50,30,378,64,27,13,17,117,2690,1242,480,220,4633
LGA15270,50,31,9,13,103,88,24,14,8,139,114,60,17,9,195,62,32,16,8,118,53,17,10,5,83,16,14,9,3,35,18,13,4,0,32,7,8,0,0,19,34,23,16,3,76,13,7,3,3,16,566,279,118,58,1025
LGA15300,26,12,10,6,51,40,10,13,0,61,65,27,18,7,121,24,19,10,3,55,24,10,3,0,36,4,5,4,0,14,13,4,3,0,18,3,0,0,0,3,16,11,11,3,38,17,12,5,7,38,291,155,80,40,561
LGA15350,18,8,0,0,29,32,8,3,0,45,63,29,4,0,105,73,26,7,0,105,79,23,10,0,112,38,10,0,0,42,49,19,3,0,61,95,70,20,7,190,26,36,5,3,66,7,0,0,0,7,551,246,58,8,862
LGA15520,13,14,6,0,38,21,16,6,5,48,38,22,12,6,77,25,14,5,0,39,23,7,0,0,27,6,4,0,0,13,3,8,0,0,13,6,0,0,0,3,17,7,3,5,37,6,0,0,0,6,201,109,38,20,370
LGA15560,4,5,0,0,9,11,3,5,0,17,19,8,3,4,28,9,3,0,0,18,6,3,0,0,13,0,0,0,0,6,0,0,0,0,3,5,0,0,0,5,0,0,6,0,9,3,5,0,0,4,75,28,19,4,130
LGA15650,32,23,9,3,70,58,18,18,9,107,81,45,20,7,154,44,34,10,8,86,35,17,12,4,69,17,9,0,0,21,16,12,0,0,28,5,9,0,0,13,21,16,6,3,52,13,3,0,0,22,402,248,108,52,803
LGA15700,63,39,15,7,125,86,31,23,6,147,128,58,20,16,219,41,22,7,4,78,31,13,6,0,50,12,6,6,0,19,11,0,0,0,15,11,4,3,0,17,40,40,14,10,104,20,5,7,5,30,577,277,114,67,1037
LGA15750,25,11,5,3,45,51,13,7,7,73,59,21,14,7,94,31,19,5,0,59,34,17,3,0,53,15,5,0,0,16,3,0,0,0,3,3,3,3,0,10,24,11,7,0,44,8,3,0,0,7,301,141,49,34,524
LGA15800,12,15,0,4,34,17,16,4,4,38,35,16,5,4,60,10,7,6,0,23,13,5,0,3,14,0,0,0,0,0,3,3,0,0,6,0,0,0,0,4,8,7,0,0,15,10,3,0,0,11,142,87,34,22,278
LGA15850,12,6,5,5,29,13,15,5,8,38,40,12,5,8,63,18,7,3,4,33,12,3,3,0,19,0,7,0,0,11,0,3,0,0,3,5,0,0,0,5,9,14,5,4,30,5,3,0,0,7,137,83,28,32,286
LGA15900,322,176,38,24,563,543,173,41,37,796,1040,424,108,34,1612,692,360,86,21,1161,489,266,67,17,841,202,106,23,7,343,168,115,35,5,322,101,86,22,4,209,224,178,71,16,496,65,19,3,4,87,4509,2143,592,197,7440
LGA15950,49,15,4,0,62,69,27,8,0,94,181,63,17,0,254,156,72,9,5,231,215,84,12,0,312,81,26,6,0,117,119,49,4,0,180,266,165,22,0,456,58,55,18,0,131,9,7,0,0,17,1338,622,98,7,2061
LGA15990,232,114,26,8,377,374,120,29,11,533,935,383,95,21,1428,807,411,101,8,1327,723,393,86,12,1217,339,161,29,13,538,335,233,83,5,655,383,428,113,11,938,271,266,118,19,675,63,35,0,0,104,4966,2794,708,125,8589
LGA16100,10,8,0,0,16,10,6,3,0,24,22,11,3,0,41,23,10,6,0,33,13,6,0,0,22,4,0,0,0,5,0,0,0,0,3,0,0,3,0,6,11,4,0,0,14,0,6,0,0,5,135,59,29,7,219
LGA16150,87,57,31,17,195,133,55,11,21,218,240,132,32,27,437,144,77,37,12,275,111,60,23,7,204,40,23,5,0,72,31,24,15,0,73,22,18,6,0,43,50,39,21,5,110,22,11,7,3,38,1057,596,228,128,2004
LGA16200,28,23,13,4,70,43,17,16,13,84,76,45,23,10,146,52,22,9,8,88,25,20,6,5,50,12,10,7,0,26,8,6,3,5,21,7,7,0,0,7,23,10,7,8,42,7,5,3,0,14,351,201,92,52,704
LGA16260,330,157,44,19,557,484,182,48,15,736,1138,384,79,29,1636,847,347,60,26,1274,715,308,78,10,1104,382,146,33,9,565,287,191,56,8,541,202,165,58,14,447,206,142,64,19,440,73,31,6,3,111,5665,2468,620,179,8935
LGA16350,469,278,139,66,947,637,242,118,68,1065,1388,602,217,90,2295,935,466,137,61,1593,707,399,108,43,1262,344,181,62,30,620,269,224,61,25,576,130,121,49,37,337,256,184,93,39,574,100,53,18,14,182,6197,3313,1186,572,11264
LGA16380,211,104,50,16,386,335,99,42,20,490,630,249,85,49,1008,281,147,44,16,489,196,100,30,11,336,68,27,8,4,109,31,28,10,4,73,40,19,7,0,66,117,77,25,13,243,37,10,12,0,58,2370,1070,366,163,3965
LGA16400,176,97,40,24,326,277,92,47,22,433,493,224,75,40,836,257,124,41,13,433,147,84,33,7,271,67,29,14,5,120,43,36,11,4,96,29,22,13,3,60,138,68,42,18,266,31,13,7,0,59,1970,989,379,168,3507
LGA16490,53,34,6,10,107,119,48,13,6,182,228,106,28,12,371,247,97,29,7,382,190,115,24,7,333,90,36,15,0,139,93,52,17,0,166,53,52,20,0,125,69,64,27,9,172,21,11,4,0,31,1336,700,221,70,2322
LGA16550,194,61,21,6,281,275,67,26,4,374,552,180,30,10,776,446,173,27,0,646,386,179,34,7,608,177,67,19,7,269,190,111,31,0,332,220,200,45,3,471,167,100,40,9,315,39,11,3,0,46,3048,1309,310,70,4731
LGA16610,61,31,24,3,120,105,31,30,15,179,173,77,21,13,286,84,33,14,5,143,32,11,6,4,57,12,16,5,0,30,7,8,4,0,20,9,3,4,0,18,44,30,8,4,83,10,5,0,0,19,673,331,131,57,1193
LGA16700,185,67,9,5,269,236,59,19,3,318,545,202,29,9,778,397,157,23,8,582,365,184,25,3,573,172,73,15,0,271,154,137,21,4,318,152,121,30,7,315,120,91,30,5,242,33,12,0,0,44,2765,1257,236,55,4314
LGA16900,191,113,40,14,358,323,114,48,21,502,499,259,85,36,880,300,162,50,22,532,208,118,42,13,376,91,49,18,5,167,75,68,21,9,168,31,35,14,3,78,119,64,36,12,234,51,20,12,0,74,2263,1186,439,150,4045
LGA16950,256,135,61,29,479,420,154,56,35,669,694,305,124,49,1176,340,172,53,19,579,187,100,33,8,334,85,41,18,3,151,53,45,10,3,107,34,23,10,3,72,161,96,48,21,327,57,18,7,0,82,2836,1329,506,209,4877
LGA17000,39,29,12,7,94,56,25,7,10,95,112,55,16,5,185,74,26,5,11,113,58,33,5,3,106,26,13,3,4,47,25,12,5,5,40,12,15,4,0,31,25,17,5,7,59,12,3,4,0,26,533,275,102,63,962
LGA17040,27,20,7,3,58,63,19,9,3,96,87,36,14,4,133,57,21,5,3,90,42,18,7,3,70,19,10,3,0,33,29,7,4,0,38,15,3,3,0,21,36,10,10,4,54,9,0,0,0,13,438,187,71,23,719
LGA17080,31,16,10,7,65,61,18,6,4,90,76,32,18,4,129,37,13,8,0,61,28,16,0,0,41,11,3,0,0,13,6,4,0,0,14,4,0,0,0,4,27,17,3,5,49,13,4,0,0,17,357,174,70,28,626
LGA17100,58,35,10,7,107,71,29,6,5,106,165,61,13,0,241,123,48,12,0,182,106,20,7,4,136,55,22,3,3,85,58,28,6,3,100,43,47,16,5,106,28,18,11,4,65,13,8,0,0,19,868,383,112,28,1399
