LGA_CODE_2021,C21_450_549_1PF_CU15_DS,C21_450_549_1PF_CU15_NDS,C21_450_549_1PFnoCU15_DS,C21_450_549_1PF_NDCO,C21_450_549_Tot,C21_550_649_1PF_CU15_DS,C21_550_649_1PF_CU15_NDS,C21_550_649_1PFnoCU15_DS,C21_550_649_1PF_NDCO,C21_550_649_Tot,C21_650_749_1PF_CU15_DS,C21_650_749_1PF_CU15_NDS,C21_650_749_1PFnoCU15_DS,C21_650_749_1PF_NDCO,C21_650_749_Tot,C21_750_849_1PF_CU15_DS,C21_750_849_1PF_CU15_NDS,C21_750_849_1PFnoCU15_DS,C21_750_849_1PF_NDCO,C21_750_849_Tot,C21_850_949_1PF_CU15_DS,C21_850_949_1PF_CU15_NDS,C21_850_949_1PFnoCU15_DS,C21_850_949_1PF_NDCO,C21_850_949_Tot,C21_950over_1PF_CU15_DS,C21_950over_1PF_CU15_NDS,C21_950over_1PFnoCU15_DS,C21_950over_1PF_NDCO,C21_950over_Tot,C21_Rns_1PF_CU15_DS,C21_Rns_1PF_CU15_NDS,C21_Rns_1PFnoCU15_DS,C21_Rns_1PF_NDCO,C21_Rns_Tot,C21_Tot_1PF_CU15_DS,C21_Tot_1PF_CU15_NDS,C21_Tot_1PFnoCU15_DS,C21_Tot_1_pa_f_NDCO,C21_Tot_Tot
LGA10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35,9,14,55
LGA10850,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,77,9,27,123
LGA10900,27,157,46,65,299,13,28,5,19,68,0,10,3,9,24,0,6,0,0,8,0,3,0,0,5,0,0,0,0,0,0,14,0,3,20,105,554,165,270,1092
LGA10950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,31,0,9,45
LGA11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,8,3,30,0,13,49
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,10,33,3,15,64
LGA11250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,31,265,30,85,406
LGA11300,11,48,40,60,162,12,49,33,28,122,7,22,21,15,59,4,8,8,11,32,0,3,0,5,11,4,0,3,4,15,6,3,3,9,21,50,192,152,174,572
LGA11350,8,70,29,30,135,13,57,15,17,97,13,42,8,3,70,4,19,6,8,44,5,7,3,5,19,0,11,0,4,26,0,11,0,7,19,58,319,90,119,591
LGA11400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,6,84,10,31,131
LGA11450,117,533,94,215,964,53,236,49,110,456,14,40,7,8,73,0,10,0,9,18,3,0,0,3,5,0,3,0,5,5,6,42,10,21,73,229,1177,217,500,2127
LGA11500,108,403,87,221,826,38,134,39,84,293,7,30,6,13,54,0,0,0,4,4,0,4,0,3,5,0,3,4,0,7,20,86,24,75,205,531,2672,504,1490,5198
LGA11520,7,135,54,75,263,18,111,47,63,239,26,90,38,51,203,12,46,29,34,127,9,32,12,18,72,10,23,20,21,77,5,14,6,8,34,96,520,239,359,1219
LGA11570,192,717,232,524,1661,149,417,158,266,985,76,217,92,141,528,36,80,39,53,206,9,21,6,17,50,6,16,7,12,35,41,136,53,129,354,814,3158,1169,2588,7735
LGA11600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,29,0,9,46
LGA11650,229,1121,217,508,2081,102,378,85,162,727,38,137,27,43,242,23,39,5,16,80,13,18,4,6,38,3,19,7,4,29,25,108,14,73,223,798,4515,955,2412,8688
LGA11700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,39,4,22,64
LGA11720,19,98,16,23,163,4,13,0,6,19,0,3,0,4,5,0,0,0,3,3,0,0,0,0,3,0,0,0,0,3,3,24,7,13,48,178,1105,118,411,1810
LGA11730,10,52,10,24,95,0,10,0,9,21,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,5,38,101,689,99,272,1167
LGA11750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,6,6,65
LGA11800,52,235,51,94,431,22,75,18,28,138,4,21,0,5,38,3,6,4,0,15,0,0,0,0,0,0,0,0,0,3,0,33,0,32,65,167,1108,197,559,2027
LGA12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3,0,49
LGA12150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,81,0,25,119
LGA12160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,28,112,20,43,205
LGA12350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,19,21,184,18,57,287
LGA12380,148,424,148,315,1031,70,212,77,142,503,32,94,50,62,239,11,25,12,18,70,3,9,3,13,25,3,6,0,6,20,11,64,25,74,175,466,1758,639,1461,4323
LGA12390,7,32,9,12,61,0,7,0,5,11,0,4,0,0,3,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,8,28,4,9,52,102,837,102,301,1341
LGA12700,0,0,0,3,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,59,12,28,117
LGA12730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,77,9,30,127
LGA12750,4,45,10,12,75,3,11,0,0,13,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,5,8,36,73,425,55,186,738
LGA12850,150,400,197,523,1271,77,141,67,143,426,27,65,30,61,176,7,25,0,25,57,0,0,0,3,9,0,8,0,5,19,17,73,28,93,211,595,1911,797,2296,5601
LGA12870,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,105,22,41,186
LGA12900,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,12,123,13,45,198
LGA12930,54,274,120,239,695,41,166,86,159,457,27,54,23,43,155,14,31,16,25,77,11,5,4,9,30,3,18,7,13,42,4,32,24,35,96,202,956,425,884,2470
LGA12950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,8,72,9,17,108
LGA13010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,113,15,44,183
LGA13310,4,34,4,6,50,0,4,0,5,14,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,11,0,4,25,53,434,58,169,717
LGA13340,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,11,77,14,22,121
LGA13450,4,9,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,6,21,49,294,35,122,503
LGA13550,0,7,0,0,15,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,14,26,190,10,64,284
LGA13660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,41,5,19,71
LGA13800,31,144,34,79,286,24,45,12,21,95,4,9,6,8,28,0,9,0,10,15,0,4,0,7,12,0,3,0,7,13,8,16,11,4,36,122,632,135,350,1240
LGA13850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,16,48
LGA13910,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,3,15,33,230,27,81,372
LGA14000,36,206,90,117,457,37,127,79,74,319,35,90,52,35,211,17,34,20,23,96,6,10,8,0,27,0,13,6,12,28,4,11,15,22,51,169,671,339,427,1612
LGA14100,0,4,3,0,16,8,11,6,0,22,0,7,8,0,22,3,3,4,0,17,4,6,0,0,14,8,8,6,6,25,0,0,0,0,0,18,55,42,24,144
LGA14170,27,198,91,120,439,20,201,62,81,367,21,140,62,58,281,24,75,34,47,185,14,53,22,23,115,20,76,52,26,168,6,21,7,29,65,188,1162,479,715,2545
LGA14220,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,11,36,294,31,93,454
LGA14300,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,72,8,19,107
LGA14350,3,7,5,5,27,0,3,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,12,31,70,445,65,203,785
LGA14400,7,39,12,20,81,13,22,9,7,47,0,8,4,0,14,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,31,109,36,70,246
LGA14500,3,97,46,43,191,28,138,75,61,305,12,72,57,24,169,14,38,36,17,102,12,33,36,17,96,61,78,75,23,236,3,23,14,7,44,151,523,350,212,1228
LGA14550,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,23,101,10,47,179
LGA14600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,10,74,8,31,115
LGA14650,122,526,115,191,954,33,148,30,50,262,9,25,10,17,66,5,12,5,8,26,0,5,0,0,7,4,5,4,0,10,15,82,15,44,152,433,2455,510,1229,4631
LGA14700,5,76,9,16,114,6,50,9,16,82,3,29,8,14,56,6,21,8,9,42,6,7,11,4,24,6,31,8,4,50,3,5,0,7,9,36,272,78,104,484
LGA14750,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,3,15,151,16,43,229
LGA14850,13,60,14,25,114,0,17,5,8,33,0,9,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,8,23,101,567,127,264,1059
LGA14870,3,9,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,9,22,43,263,38,118,467
LGA14900,161,565,188,396,1306,105,263,92,200,659,29,79,25,58,184,13,23,3,11,48,3,4,0,7,16,0,0,3,11,15,19,79,21,76,187,596,2343,682,1738,5359
LGA14920,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,107,5,29,157
LGA14950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,31,0,7,35
LGA15050,71,267,52,65,453,3,32,7,16,60,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,50,10,20,82,250,1370,230,530,2389
LGA15240,20,129,16,52,210,3,12,4,3,28,0,4,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,25,4,14,53,189,1194,167,542,2089
LGA15270,9,38,7,13,61,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,5,18,33,296,31,102,466
LGA15300,0,0,0,5,5,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,13,35,30,194,17,98,331
LGA15350,5,25,15,22,68,6,29,17,16,63,7,19,10,6,43,5,18,8,9,36,6,7,0,8,24,14,39,20,13,84,0,5,5,0,8,36,157,81,81,358
LGA15520,0,3,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,13,16,91,20,27,149
LGA15560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,0,20,51
LGA15650,0,11,0,7,15,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,15,38,270,29,103,443
LGA15700,4,25,0,11,41,0,3,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,5,25,58,239,35,121,454
LGA15750,0,7,0,0,9,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,13,22,156,24,67,267
LGA15800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,85,9,25,125
LGA15850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,19,76,8,26,132
LGA15900,77,423,94,152,750,34,142,32,55,268,6,42,10,7,65,5,23,4,8,44,0,0,9,6,11,0,10,6,0,22,7,49,9,35,99,297,1801,427,928,3445
LGA15950,0,61,33,28,123,8,107,39,46,194,15,99,26,37,175,12,67,32,30,139,8,40,18,26,87,26,67,55,34,177,0,6,8,8,28,69,498,219,231,1014
LGA15990,29,243,65,118,459,33,256,99,140,532,45,217,99,97,454,42,153,66,71,324,48,109,66,70,284,72,225,125,74,493,7,21,20,21,71,298,1351,582,718,2951
LGA16100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,9,10,51,3,21,84
LGA16150,25,81,10,23,139,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,6,33,101,656,72,223,1053
LGA16200,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,42,195,20,60,320
LGA16260,107,552,251,400,1306,68,257,124,216,661,34,91,49,71,241,8,45,33,28,119,0,14,3,10,29,6,14,3,13,41,9,61,20,52,153,348,1818,769,1371,4310
LGA16350,151,694,135,300,1286,67,227,50,99,444,14,73,14,24,123,0,14,3,11,35,0,3,0,4,11,0,6,0,6,14,12,97,12,52,178,520,3196,578,1532,5823
LGA16380,48,221,43,83,397,17,50,10,25,108,9,18,4,4,29,0,7,0,0,10,0,0,0,0,0,0,0,0,0,4,3,22,5,20,47,195,1036,218,502,1946
LGA16400,37,162,35,68,301,18,38,8,18,85,5,13,3,10,30,0,5,0,0,4,0,4,0,0,4,0,0,0,0,5,4,35,5,14,55,177,932,152,425,1688
LGA16490,18,108,28,40,198,7,46,12,13,83,3,22,4,8,43,0,11,0,0,16,0,0,0,0,0,0,0,0,0,0,0,16,3,3,28,69,562,90,219,936
LGA16550,15,169,57,105,348,19,202,65,109,399,32,114,32,66,236,13,67,28,28,142,8,32,12,18,80,26,64,39,34,167,3,29,8,30,70,157,975,347,676,2153
LGA16610,3,25,4,4,35,0,5,0,5,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,4,16,42,333,40,134,556
LGA16700,27,193,67,106,385,36,174,85,103,398,18,82,51,54,206,15,32,15,19,76,3,17,9,14,46,8,14,13,18,50,6,17,11,25,58,131,755,364,580,1829
LGA16900,59,303,67,143,572,26,115,21,39,203,8,16,9,7,33,0,6,0,0,7,0,0,0,0,0,0,4,0,0,3,4,28,5,25,61,188,1010,205,524,1923
LGA16950,42,187,24,82,339,10,34,4,9,57,0,3,3,4,13,0,4,0,0,11,0,0,0,0,0,0,0,0,0,3,3,26,3,21,58,204,1241,205,597,2252
LGA17000,3,27,3,8,43,0,4,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,13,35,255,31,99,414
LGA17040,3,19,9,7,32,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,8,0,4,10,22,158,26,56,268
LGA17080,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,24,176,23,77,301
LGA17100,18,75,40,63,193,8,38,28,36,109,5,19,13,9,43,0,7,0,8,12,0,0,3,0,7,0,7,0,3,13,4,12,3,10,26,60,210,134,207,602
LGA17150,56,367,122,195,748,59,257,98,154,573,44,157,58,85,345,31,69,48,44,187,16,21,19,20,73,21,33,6,18,82,6,28,11,23,74,297,1358,494,856,3004
LGA17200,9,103,45,82,247,10,179,69,89,351,13,159,49,71,289,10,94,50,46,203,13,66,31,26,134,17,108,69,48,239,6,33,14,42,101,140,1152,480,825,2597
LGA17310,12,50,9,14,82,0,3,0,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,3,45,3,16,65,158,999,160,358,1674
LGA17350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,12,58,7,28,106
LGA17400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,13,77,6,33,127
LGA17420,39,200,96,113,445,61,237,112,159,574,42,114,68,88,312,20,39,18,26,114,8,31,18,16,67,13,17,10,15,53,6,13,9,18,40,202,792,380,501,1875
LGA17550,57,209,62,130,450,31,129,32,59,252,17,45,8,28,101,12,13,9,4,37,0,12,4,4,22,3,10,3,3,16,6,26,8,24,63,200,970,243,597,2004
LGA17620,0,6,0,0,5,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,13,16,148,16,52,234
LGA17640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,6,34,9,12,66
LGA17650,0,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,7,67,13,10,93
LGA17750,10,44,9,17,73,3,9,3,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32,4,17,54,133,950,130,345,1565
LGA17850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,0,3,26
LGA17900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,13,77,5,30,124
LGA17950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,3,12,41
LGA18020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,10,15,88,17,29,152
LGA18050,0,42,11,20,77,7,55,35,24,119,3,60,14,19,98,6,55,12,12,90,5,34,13,8,61,30,107,38,22,195,3,8,14,8,33,71,397,146,145,753
LGA18100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,21,7,5,39
LGA18200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,9,56,16,25,103
LGA18250,8,110,58,76,247,10,90,61,38,195,13,57,39,34,140,15,51,32,22,113,0,33,15,12,57,26,73,48,26,177,0,14,8,10,35,91,503,295,266,1155
LGA18350,15,70,21,57,170,12,37,17,26,89,9,15,3,7,39,0,7,3,4,15,0,0,0,0,4,0,4,0,0,11,3,3,6,11,20,73,325,78,210,687
LGA18400,18,92,22,35,165,7,41,3,10,59,4,7,5,4,16,0,9,0,0,8,0,0,0,0,5,0,6,0,0,4,4,13,3,5,27,71,373,60,151,660
LGA18450,108,446,155,252,954,58,197,50,82,387,20,59,16,20,120,9,23,9,14,45,5,8,6,9,24,4,8,0,3,20,8,64,16,56,142,419,2176,542,1352,4489
LGA18500,3,34,9,15,57,4,40,19,34,96,7,35,13,11,69,3,38,15,8,64,9,26,11,12,50,31,106,56,36,224,0,10,6,4,21,62,305,131,130,627
LGA18710,0,11,3,4,22,0,3,0,0,4,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,8,15,83,20,37,152
LGA19399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
