LGA_CODE_2021,C11_70_74_Married_P,C11_70_74_Sep_M,C11_70_74_Sep_F,C11_70_74_Sep_P,C11_70_74_Div_M,C11_70_74_Div_F,C11_70_74_Div_P,C11_70_74_Wid_M,C11_70_74_Wid_F,C11_70_74_Wid_P,C11_70_74_Nvr_marrd_M,C11_70_74_Nvr_marrd_F,C11_70_74_Nvr_marrd_P,C11_70_74_Tot_M,C11_70_74_Tot_F,C11_70_74_Tot_P,C11_75_79_Married_M,C11_75_79_Married_F,C11_75_79_Married_P,C11_75_79_Sep_M,C11_75_79_Sep_F,C11_75_79_Sep_P,C11_75_79_Div_M,C11_75_79_Div_F,C11_75_79_Div_P,C11_75_79_Wid_M,C11_75_79_Wid_F,C11_75_79_Wid_P,C11_75_79_Nvr_marrd_M,C11_75_79_Nvr_marrd_F,C11_75_79_Nvr_marrd_P,C11_75_79_Tot_M,C11_75_79_Tot_F,C11_75_79_Tot_P,C11_80_84_Married_M,C11_80_84_Married_F,C11_80_84_Married_P,C11_80_84_Sep_M,C11_80_84_Sep_F,C11_80_84_Sep_P,C11_80_84_Div_M,C11_80_84_Div_F,C11_80_84_Div_P,C11_80_84_Wid_M,C11_80_84_Wid_F,C11_80_84_Wid_P,C11_80_84_Nvr_marrd_M,C11_80_84_Nvr_marrd_F,C11_80_84_Nvr_marrd_P,C11_80_84_Tot_M,C11_80_84_Tot_F,C11_80_84_Tot_P,C11_85_over_Married_M,C11_85_over_Married_F,C11_85_over_Married_P,C11_85_over_Seprtd_M,C11_85_over_Seprtd_F,C11_85_over_Seprtd_P,C11_85_over_Divorce_M,C11_85_over_Divorce_F,C11_85_over_Divorce_P,C11_85_over_Wid_M,C11_85_over_Wid_F,C11_85_over_Wid_P,C11_85_over_Nvr_mard_M,C11_85_over_Nvr_mard_F,C11_85_over_Nvr_mard_P,C11_85_over_Tot_M,C11_85_over_Tot_F,C11_85_over_Tot_P,C11_Tot_Married_M,C11_Tot_Married_F,C11_Tot_Married_P,C11_Tot_Sep_M,C11_Tot_Sep_F,C11_Tot_Sep_P,C11_Tot_Div_M,C11_Tot_Div_F,C11_Tot_Div_P,C11_Tot_Wid_M,C11_Tot_Wid_F,C11_Tot_Wid_P,C11_Tot_nver_marrie_M,C11_Tot_nver_marrie_F,C11_Tot_nver_marrie_P,C11_Tot_Tot_M,C11_Tot_Tot_F,C11_Tot_Tot_P,C16_15_19_Married_M,C16_15_19_Married_F,C16_15_19_Married_P,C16_15_19_Sep_M,C16_15_19_Sep_F,C16_15_19_Sep_P,C16_15_19_Div_M,C16_15_19_Div_F,C16_15_19_Div_P,C16_15_19_Wid_M,C16_15_19_Wid_F,C16_15_19_Wid_P,C16_15_19_Nvr_marrd_M,C16_15_19_Nvr_marrd_F,C16_15_19_Nvr_marrd_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Married_M,C16_20_24_Married_F,C16_20_24_Married_P,C16_20_24_Sep_M,C16_20_24_Sep_F,C16_20_24_Sep_P,C16_20_24_Div_M,C16_20_24_Div_F,C16_20_24_Div_P,C16_20_24_Wid_M,C16_20_24_Wid_F,C16_20_24_Wid_P,C16_20_24_Nvr_marrd_M,C16_20_24_Nvr_marrd_F,C16_20_24_Nvr_marrd_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_29_Married_M,C16_25_29_Married_F,C16_25_29_Married_P,C16_25_29_Sep_M,C16_25_29_Sep_F,C16_25_29_Sep_P,C16_25_29_Div_M,C16_25_29_Div_F,C16_25_29_Div_P,C16_25_29_Wid_M,C16_25_29_Wid_F,C16_25_29_Wid_P,C16_25_29_Nvr_marrd_M,C16_25_29_Nvr_marrd_F,C16_25_29_Nvr_marrd_P,C16_25_29_Tot_M,C16_25_29_Tot_F,C16_25_29_Tot_P,C16_30_34_Married_M,C16_30_34_Married_F,C16_30_34_Married_P,C16_30_34_Sep_M,C16_30_34_Sep_F,C16_30_34_Sep_P,C16_30_34_Div_M,C16_30_34_Div_F,C16_30_34_Div_P,C16_30_34_Wid_M,C16_30_34_Wid_F,C16_30_34_Wid_P,C16_30_34_Nvr_marrd_M,C16_30_34_Nvr_marrd_F,C16_30_34_Nvr_marrd_P,C16_30_34_Tot_M,C16_30_34_Tot_F,C16_30_34_Tot_P,C16_35_39_Married_M,C16_35_39_Married_F,C16_35_39_Married_P,C16_35_39_Sep_M,C16_35_39_Sep_F,C16_35_39_Sep_P,C16_35_39_Div_M,C16_35_39_Div_F,C16_35_39_Div_P,C16_35_39_Wid_M,C16_35_39_Wid_F,C16_35_39_Wid_P,C16_35_39_Nvr_marrd_M,C16_35_39_Nvr_marrd_F,C16_35_39_Nvr_marrd_P,C16_35_39_Tot_M,C16_35_39_Tot_F,C16_35_39_Tot_P,C16_40_44_Married_M,C16_40_44_Married_F,C16_40_44_Married_P,C16_40_44_Sep_M,C16_40_44_Sep_F,C16_40_44_Sep_P,C16_40_44_Div_M,C16_40_44_Div_F,C16_40_44_Div_P,C16_40_44_Wid_M,C16_40_44_Wid_F,C16_40_44_Wid_P,C16_40_44_Nvr_marrd_M,C16_40_44_Nvr_marrd_F,C16_40_44_Nvr_marrd_P,C16_40_44_Tot_M,C16_40_44_Tot_F,C16_40_44_Tot_P,C16_45_49_Married_M,C16_45_49_Married_F,C16_45_49_Married_P,C16_45_49_Sep_M
LGA10800,198,3,4,8,10,8,19,7,43,53,10,0,10,126,164,283,85,63,148,0,0,0,6,0,6,16,41,59,5,4,12,112,114,230,52,30,85,0,0,0,3,0,6,18,69,80,8,8,12,76,103,180,24,22,42,0,0,0,0,0,0,20,77,101,3,4,8,48,105,150,1254,1243,2495,62,62,128,181,149,330,84,320,403,708,515,1223,2292,2285,4579,0,0,0,0,0,0,0,0,0,0,0,0,163,171,333,163,169,333,3,10,16,0,0,0,0,0,0,0,0,0,141,106,252,148,122,267,28,51,82,5,0,3,0,0,0,0,0,0,104,82,182,137,137,268,83,91,171,8,7,13,3,10,14,0,0,0,71,52,122,161,156,314,98,109,210,4,6,12,4,5,9,0,0,0,48,38,84,156,167,319,118,114,236,10,9,18,16,16,29,0,4,4,36,30,70,184,177,364,92,126,219,6
LGA10850,198,5,3,5,20,20,37,16,34,47,14,5,19,154,154,307,79,51,130,6,0,5,7,6,14,20,51,74,9,3,7,120,113,226,56,32,86,0,0,0,0,6,9,25,54,78,5,3,13,88,98,183,17,8,27,0,0,0,0,3,3,13,52,66,0,3,7,32,68,94,1425,1423,2847,99,96,192,227,236,459,94,262,353,848,714,1563,2692,2728,5419,0,0,0,0,0,0,0,0,0,0,0,0,234,223,456,234,221,457,3,12,16,0,0,0,0,0,0,0,0,0,156,152,309,160,166,322,49,70,116,5,5,4,0,0,0,0,0,0,121,121,241,167,200,372,82,96,182,3,8,13,9,8,14,0,3,3,68,57,132,168,172,343,115,129,241,7,13,22,14,13,26,0,0,0,56,59,113,186,216,406,136,171,302,9,15,20,18,26,44,0,3,10,40,37,78,205,249,455,146,152,298,19
LGA10900,1681,42,43,81,133,270,402,70,311,380,101,105,210,1268,1489,2760,629,464,1094,23,25,46,86,160,245,100,432,535,72,67,138,913,1139,2056,407,243,647,26,13,33,46,89,134,127,476,607,36,38,77,635,862,1497,240,129,373,6,3,12,21,74,94,192,803,996,18,63,81,481,1071,1553,15283,15327,30608,804,1051,1857,2403,3854,6256,722,2777,3504,9917,9007,18922,29131,32013,61142,5,4,7,0,0,0,0,0,0,0,0,3,2448,2309,4761,2456,2318,4771,51,92,143,0,0,0,0,5,5,0,0,3,1825,1650,3479,1878,1755,3633,337,521,857,8,24,39,9,30,41,5,0,5,1181,1070,2246,1540,1642,3188,911,1100,2008,24,49,74,55,56,114,4,6,12,858,738,1593,1851,1950,3799,1218,1379,2591,71,85,152,99,147,248,0,3,7,725,652,1378,2115,2260,4377,1522,1682,3202,86,139,228,186,294,481,9,14,22,714,664,1376,2510,2800,5307,1631,1708,3341,108
LGA10950,80,0,4,4,7,8,12,4,36,45,6,0,10,68,74,145,33,23,49,4,0,3,5,0,5,10,17,27,5,0,5,50,45,96,13,15,29,0,0,0,0,0,0,12,24,28,0,0,0,26,40,64,3,0,3,0,0,0,0,0,0,7,31,35,0,4,3,14,34,45,563,551,1115,36,36,74,89,75,161,53,142,193,379,296,674,1120,1092,2219,0,0,0,0,0,0,0,0,0,0,0,0,79,87,171,79,87,171,5,4,10,0,0,0,0,0,0,0,0,0,81,68,146,85,74,153,21,24,46,0,0,0,0,0,0,0,0,0,67,57,123,91,86,177,24,34,62,3,0,4,0,0,4,0,0,0,41,27,69,74,67,136,30,41,69,0,4,4,0,4,3,0,0,0,26,14,38,53,60,116,50,54,100,6,8,15,3,0,6,0,0,0,27,25,53,86,85,178,63,57,120,0
LGA11150,37,3,0,4,3,3,6,5,12,14,7,6,10,29,41,71,23,11,39,3,0,3,3,0,5,9,9,21,4,0,3,49,28,72,16,8,25,0,0,0,0,0,0,4,16,20,3,3,8,25,31,49,4,0,4,0,0,0,0,0,0,0,13,13,4,0,4,6,13,16,437,435,868,51,37,87,67,73,136,26,88,123,493,445,931,1073,1070,2142,0,0,0,0,0,0,0,0,0,0,0,0,52,70,121,52,70,121,3,4,6,0,0,0,0,0,0,0,0,0,78,78,158,82,79,163,11,25,37,0,0,0,3,0,3,0,0,0,68,74,145,89,102,190,31,35,69,0,6,5,0,0,0,0,0,0,57,54,111,95,89,184,28,29,56,0,0,4,0,3,4,0,0,0,28,43,75,62,78,139,35,23,62,3,10,10,5,9,13,0,0,0,28,44,69,68,84,149,47,53,98,6
LGA11200,17,0,0,0,0,0,3,0,10,10,7,0,7,17,15,33,3,13,15,0,0,0,6,0,6,5,5,11,3,0,4,16,23,36,3,3,12,0,0,0,0,0,0,0,11,10,0,6,5,12,16,33,4,0,5,0,0,0,0,0,0,0,14,11,0,0,0,7,9,22,190,174,362,26,14,41,46,33,84,18,52,73,374,381,756,653,660,1315,0,0,0,0,0,0,0,0,0,0,0,0,44,54,94,44,56,93,9,3,8,0,0,0,0,0,0,0,0,0,59,60,115,63,58,126,5,9,14,0,0,0,0,0,0,0,0,0,72,63,133,77,74,145,10,11,27,4,0,4,0,0,0,0,0,0,26,22,50,45,38,80,10,8,21,0,0,0,0,0,0,0,0,0,26,29,56,37,35,75,3,10,13,0,0,0,4,0,4,0,0,0,36,27,64,40,40,79,16,21,41,3
LGA11250,514,12,16,26,41,30,70,32,128,163,28,12,41,363,449,812,220,162,379,15,3,16,27,41,62,46,206,253,14,7,21,314,420,732,171,107,277,4,0,6,19,6,29,56,251,308,14,13,25,265,383,648,74,37,113,0,0,4,11,12,19,61,273,339,6,19,23,153,339,493,3362,3313,6674,272,318,589,689,802,1494,284,1127,1412,2689,2316,5009,7298,7883,15179,4,0,4,0,0,0,0,0,0,0,0,3,507,438,943,511,437,952,14,29,40,0,0,5,0,3,3,0,0,0,461,457,916,476,482,966,108,132,242,11,19,30,3,0,4,0,0,0,419,418,836,548,569,1116,143,204,346,7,24,31,14,17,31,0,4,4,307,277,582,475,524,998,180,192,371,27,38,68,20,45,65,0,0,0,196,167,365,424,448,873,220,253,466,30,29,59,46,47,89,0,0,0,190,177,368,483,504,992,272,261,534,36
LGA11300,648,10,16,25,28,49,81,22,153,177,63,33,91,476,542,1021,282,197,474,18,6,22,29,44,75,28,199,232,34,60,97,397,506,905,263,140,404,4,6,12,19,27,47,48,249,299,34,42,78,362,469,835,156,75,230,5,3,6,15,13,25,99,377,474,11,62,69,286,527,811,6608,6594,13205,244,349,592,666,1007,1671,246,1238,1488,5675,5014,10691,13438,14209,27651,4,13,15,8,0,5,0,0,0,0,0,0,1005,1124,2128,1015,1138,2156,121,224,340,0,7,6,0,4,4,5,0,4,2070,1967,4044,2205,2202,4405,592,748,1343,13,18,31,18,34,50,0,0,3,1658,1530,3193,2283,2331,4618,878,917,1797,29,33,63,48,65,111,0,0,3,673,587,1263,1628,1615,3239,787,742,1530,19,34,53,43,57,107,3,4,8,309,286,593,1168,1127,2296,669,740,1411,34,51,87,59,115,168,0,10,10,227,185,412,984,1101,2084,654,740,1396,32
LGA11350,498,16,12,26,59,69,125,23,108,135,29,13,44,404,422,824,191,170,358,3,5,8,39,38,75,25,141,165,22,10,24,277,357,639,140,96,241,3,0,3,22,41,59,54,188,239,5,11,18,230,331,564,98,49,154,0,6,4,10,35,50,82,272,349,5,11,20,197,368,571,4552,4609,9157,407,471,871,1473,1994,3462,276,973,1256,4809,4263,9073,11517,12305,23814,0,3,3,3,0,3,0,0,0,0,0,0,830,768,1601,832,773,1608,12,20,31,0,0,0,0,0,0,5,0,5,578,580,1155,587,609,1194,57,110,167,10,7,15,3,6,12,0,0,0,711,746,1458,777,869,1648,227,313,541,12,18,30,11,23,34,0,0,0,573,562,1133,825,919,1745,359,436,793,31,56,87,32,87,120,5,7,10,477,516,988,905,1098,2000,473,592,1067,51,50,103,94,142,230,3,5,8,484,490,972,1103,1281,2384,480,534,1011,64
LGA11400,368,15,3,16,33,18,52,19,70,88,28,8,39,297,257,553,155,111,267,5,3,6,16,11,30,23,94,118,22,9,28,221,224,447,94,55,156,0,3,3,13,4,13,27,74,106,6,6,14,140,148,288,40,27,71,3,0,3,4,0,8,28,125,155,0,9,8,80,168,246,2865,2869,5734,154,128,279,421,348,769,152,499,654,1383,1198,2586,4971,5044,10017,6,0,6,0,0,0,0,0,0,0,0,0,459,447,906,464,441,903,10,16,25,0,0,0,0,0,0,0,0,0,257,225,487,271,242,515,67,112,183,12,14,24,0,3,4,0,0,0,189,151,337,266,279,541,167,225,394,10,15,27,7,12,17,0,0,0,132,86,211,315,338,650,228,241,475,19,8,23,11,14,27,0,3,3,82,69,148,336,340,679,296,344,644,15,16,27,22,31,60,4,7,11,78,68,143,416,462,877,314,315,627,12
LGA11450,922,22,21,44,49,71,117,38,161,202,20,22,39,626,703,1326,343,234,578,11,11,21,32,32,69,49,214,260,8,8,21,446,496,940,188,122,313,9,6,17,16,23,37,70,272,338,8,8,16,287,426,721,125,66,192,5,0,4,11,13,24,96,443,536,10,17,24,242,533,772,11921,11986,23908,537,787,1328,1232,1868,3095,394,1482,1877,6781,5982,12758,20863,22108,42971,11,8,17,0,0,0,0,0,0,0,0,0,2709,2623,5340,2723,2630,5356,86,188,275,4,13,15,7,5,9,0,0,0,2328,2214,4539,2420,2421,4844,955,1411,2367,37,57,93,12,38,48,0,5,9,1691,1486,3177,2693,3000,5695,1921,2267,4190,66,98,166,59,81,145,3,5,14,943,753,1697,2998,3209,6209,2054,2159,4215,91,155,248,119,207,328,7,15,21,565,478,1045,2834,3019,5847,2243,2178,4416,136,162,299,190,341,531,3,30,36,435,395,827,3003,3106,6108,1905,1825,3732,113
LGA11500,2023,56,56,114,154,246,395,140,526,654,56,47,104,1587,1699,3287,687,433,1117,45,29,72,84,127,217,144,610,751,32,36,71,998,1235,2235,398,270,670,19,7,30,41,74,110,151,610,765,22,24,48,635,990,1625,229,122,349,8,11,12,24,40,62,153,735,890,21,22,43,434,922,1360,26903,27043,53952,1791,2498,4292,3716,5752,9465,1091,4101,5193,21478,19558,41039,54979,58960,113939,15,22,36,3,0,6,3,0,3,3,0,3,5455,5149,10604,5478,5176,10655,213,517,728,21,50,66,3,13,17,0,3,9,5502,5120,10632,5742,5708,11451,1312,2240,3554,86,160,248,46,95,138,4,6,13,3932,3336,7262,5375,5836,11212,2986,3664,6649,163,289,458,153,262,412,6,12,21,2436,2122,4556,5740,6350,12095,3312,3351,6662,226,335,565,236,375,615,9,19,32,1553,1474,3022,5337,5556,10889,3080,3032,6116,250,354,604,358,537,893,19,49,70,1327,1208,2534,5028,5176,10205,2869,2927,5798,269
LGA11520,1549,28,24,53,105,127,229,59,327,382,84,92,171,1122,1269,2391,670,529,1203,10,16,27,39,77,110,103,411,516,60,41,104,885,1077,1963,543,295,837,17,9,20,33,60,93,107,546,651,38,70,106,733,976,1711,305,136,436,8,6,12,19,39,56,161,760,923,22,58,75,512,997,1505,16137,16292,32429,619,758,1378,1828,2721,4541,612,2639,3249,11107,10314,21423,30296,32721,63021,4,8,14,0,0,0,0,0,0,0,0,0,2039,1948,3993,2043,1960,4005,71,185,258,5,7,14,0,0,5,3,0,8,2977,3027,6004,3065,3222,6282,935,1381,2314,24,28,57,23,36,63,0,0,5,3016,2729,5744,4001,4181,8183,2352,2600,4952,45,65,104,99,139,235,0,6,6,1737,1465,3206,4228,4275,8499,2341,2322,4660,67,94,162,141,191,331,0,12,10,898,876,1777,3449,3492,6941,2118,2230,4344,71,103,181,195,313,507,5,19,25,638,708,1348,3027,3384,6404,1867,1957,3830,83
LGA11570,6473,187,149,335,417,451,868,308,1444,1755,289,202,495,4777,5152,9933,2890,2121,5007,106,69,180,260,332,592,448,1873,2321,196,151,348,3902,4547,8453,2155,1329,3489,68,32,101,151,191,340,572,2388,2958,155,134,290,3108,4076,7183,1270,660,1928,19,24,38,77,165,241,777,2957,3730,82,120,199,2225,3914,6142,66511,66107,132609,3591,4835,8428,7804,11382,19183,2884,12013,14892,43202,34433,77637,123989,128759,252754,48,148,192,4,11,13,8,12,20,5,6,7,11128,10495,21626,11186,10671,21859,735,2235,2972,30,105,132,23,71,94,7,11,24,11714,9546,21259,12508,11972,24482,4021,6300,10322,167,374,542,188,312,499,17,19,34,8921,6164,15085,13303,13179,26482,7841,8768,16612,356,607,961,404,692,1091,5,29,36,4652,3203,7855,13266,13290,26550,8259,8130,16387,374,631,1008,570,1001,1575,16,51,72,2865,2083,4951,12089,11900,23990,7722,7723,15438,468,676,1144,785,1321,2107,30,100,130,2179,1847,4026,11182,11669,22847,7302,7254,14557,487
LGA11600,79,4,0,4,7,0,11,4,15,24,7,0,6,75,44,116,29,10,40,0,0,0,0,0,4,3,23,24,0,0,0,38,32,72,18,9,28,0,0,0,0,0,0,6,16,20,0,3,3,26,29,53,5,5,7,0,0,0,0,0,0,5,22,24,0,0,0,9,28,38,538,519,1062,45,24,69,75,58,134,41,94,136,381,247,633,1082,950,2029,0,0,0,0,0,0,0,0,0,0,0,0,74,85,158,74,84,158,5,6,8,5,0,4,0,0,0,0,0,0,80,62,139,87,71,156,19,29,53,0,3,6,0,0,0,0,0,0,76,50,129,99,82,189,40,47,89,6,0,5,0,3,4,0,0,3,38,35,76,86,88,177,44,50,89,0,0,6,0,3,7,0,0,0,23,15,42,65,73,139,56,58,115,5,6,5,6,10,16,0,0,0,34,20,53,100,92,190,68,72,133,5
LGA11650,8413,211,185,393,820,1065,1886,454,1742,2198,328,224,550,6335,7109,13434,3480,2724,6204,144,107,248,422,681,1099,611,2374,2975,252,205,459,4904,6092,10991,2625,1837,4461,79,67,153,297,430,724,844,3014,3857,171,150,324,4020,5504,9522,1664,974,2632,39,26,68,134,274,402,1198,4335,5528,127,197,328,3159,5807,8962,59668,59947,119615,4277,5314,9593,10745,15834,26583,4095,14826,18919,40923,35853,76782,119710,131777,251484,13,21,38,5,3,9,6,3,11,0,0,3,10093,9775,19869,10118,9809,19930,246,461,705,21,50,69,8,9,18,5,10,17,8986,8375,17359,9264,8911,18169,1703,2596,4295,91,216,305,70,114,178,4,11,14,6631,5769,12399,8495,8700,17196,4044,4966,9010,242,397,631,221,339,560,4,30,30,4240,3606,7841,8750,9332,18078,5069,5559,10627,372,558,935,423,700,1124,20,40,64,3090,2665,5759,8981,9528,18508,5837,6176,12017,533,755,1293,837,1298,2136,33,103,135,2813,2478,5288,10053,10813,20868,6014,6326,12338,570
LGA11700,33,6,0,6,7,4,8,3,6,3,10,7,11,42,27,70,11,8,23,0,0,0,5,0,3,8,6,15,0,0,0,23,14,39,6,8,14,0,0,0,0,0,0,4,11,11,0,0,0,13,14,19,0,0,3,0,0,0,0,0,0,0,5,8,0,0,0,5,10,14,299,267,567,40,21,66,82,47,135,19,47,68,410,341,748,855,725,1581,0,0,0,0,0,0,0,0,0,0,0,0,58,60,115,58,64,119,3,9,7,0,0,0,0,0,0,0,0,0,48,52,97,52,53,106,7,8,17,0,0,3,0,0,0,0,0,0,46,54,101,56,63,117,20,16,40,0,0,0,3,0,6,0,0,0,44,41,89,67,65,133,25,27,48,3,0,8,0,0,0,0,0,0,29,22,45,57,48,104,15,15,31,3,0,4,3,5,5,0,0,0,34,28,61,53,42,101,17,23,42,0
LGA11720,988,31,27,56,92,89,191,75,225,304,46,29,72,783,817,1608,397,294,694,17,16,34,51,51,105,77,330,408,36,21,55,577,718,1299,239,169,413,8,6,20,30,20,48,108,396,504,21,25,50,411,615,1026,135,55,188,3,5,6,12,29,42,112,475,588,14,26,43,279,590,864,9371,9274,18641,731,801,1533,1710,2035,3743,556,2042,2599,7341,6126,13464,19707,20272,39983,9,0,12,5,6,7,0,0,0,0,0,0,1737,1690,3432,1753,1697,3455,73,103,182,0,11,13,4,3,3,0,0,0,1677,1569,3242,1765,1683,3446,386,556,943,30,70,98,17,29,42,0,0,0,1294,1138,2430,1722,1796,3516,765,890,1658,82,108,195,49,72,117,0,8,10,901,754,1649,1797,1836,3633,868,830,1694,115,106,221,89,125,214,8,11,16,657,500,1154,1734,1572,3302,910,1001,1913,83,146,231,161,197,354,10,18,23,615,436,1052,1773,1789,3567,966,972,1936,125
LGA11730,1675,49,36,84,156,123,279,90,303,401,71,37,104,1299,1241,2539,667,503,1167,26,17,42,109,68,180,113,406,519,61,39,103,973,1031,2003,455,283,731,25,10,35,39,51,92,129,456,580,37,15,51,681,810,1491,224,113,338,14,4,11,16,23,37,163,649,810,19,30,48,436,819,1249,9969,9964,19934,777,823,1601,2063,2236,4302,677,2435,3113,6295,5203,11497,19784,20660,40444,0,6,6,0,0,0,0,0,0,0,0,0,1539,1416,2953,1539,1424,2959,42,66,112,0,10,16,0,6,6,0,0,0,1033,888,1917,1085,962,2052,216,296,510,6,20,30,14,20,32,0,0,0,789,727,1510,1024,1066,2089,393,479,871,38,57,94,19,39,65,4,4,8,577,452,1027,1030,1028,2062,519,597,1118,33,80,112,48,95,141,7,7,11,490,433,926,1097,1210,2306,681,753,1436,71,118,187,108,169,278,7,11,24,506,415,919,1369,1465,2836,731,876,1611,101
LGA11750,87,0,10,12,11,3,18,11,22,32,5,4,3,75,79,153,34,31,66,0,0,0,4,5,10,4,23,31,6,0,6,52,63,111,24,8,30,0,0,0,0,0,4,8,26,32,0,0,0,31,38,71,0,0,5,0,0,0,0,0,0,8,36,45,0,0,5,15,40,54,855,831,1685,72,55,130,170,143,316,49,155,206,735,525,1264,1878,1714,3598,0,3,3,0,0,0,0,0,0,0,0,0,124,114,238,124,113,239,7,11,14,0,4,4,0,0,0,0,0,0,121,113,236,130,125,259,41,59,99,0,0,3,0,0,4,0,0,0,125,106,231,170,165,337,85,111,198,3,6,13,4,3,3,0,0,0,76,67,143,165,189,357,88,86,175,6,4,12,7,4,10,0,0,0,51,37,89,162,133,296,92,69,160,9,8,22,12,15,27,0,0,3,37,39,75,152,134,285,62,51,113,8
LGA11800,1884,46,33,78,193,220,412,85,359,453,64,33,95,1389,1532,2926,797,605,1404,35,22,51,86,115,203,101,448,547,37,23,62,1060,1207,2266,580,347,928,23,11,34,57,73,131,146,502,644,33,22,51,834,958,1790,328,184,515,7,3,9,34,46,74,232,845,1075,14,22,35,608,1095,1703,13321,13445,26766,958,1154,2109,2624,3463,6088,803,2924,3724,8813,7805,16617,26514,28795,55306,10,8,25,0,0,5,5,0,3,0,0,0,2211,2095,4302,2225,2112,4331,67,119,188,5,14,23,4,7,9,0,0,0,1810,1660,3470,1885,1804,3694,375,586,960,18,55,77,20,19,43,0,7,7,1415,1259,2671,1829,1928,3760,871,1062,1932,63,101,159,52,69,125,4,6,11,874,782,1663,1866,2023,3893,968,1063,2031,67,122,188,66,150,211,0,17,22,676,664,1340,1781,2005,3792,1216,1281,2492,133,140,275,176,300,474,13,36,52,581,558,1144,2114,2318,4428,1245,1336,2583,146
LGA12000,150,0,3,9,13,4,15,4,21,27,12,0,15,107,103,210,56,42,99,4,3,8,0,4,6,8,38,41,4,0,8,77,86,164,34,21,60,0,0,0,3,0,3,9,26,41,9,0,9,61,48,110,22,11,34,0,0,0,0,5,4,12,49,65,0,6,8,35,68,104,900,919,1822,50,56,113,126,104,229,54,181,238,417,366,786,1552,1628,3182,0,0,0,0,0,0,0,0,0,0,0,0,134,124,262,134,124,262,0,8,5,0,0,0,0,0,0,0,0,0,85,104,191,93,107,200,25,40,61,0,4,3,4,0,0,0,0,0,64,52,115,91,96,181,46,55,97,0,7,3,3,0,5,0,0,0,32,32,59,80,84,171,67,74,146,4,10,12,8,5,9,0,0,0,36,23,56,111,109,219,79,76,153,5,8,13,6,15,24,0,0,0,30,16,46,121,120,239,94,107,195,8
LGA12150,82,5,6,6,16,6,18,7,32,41,11,4,16,82,81,162,53,33,85,3,0,3,9,6,11,8,21,33,5,3,12,77,66,141,24,14,39,5,0,5,12,3,11,10,42,52,3,0,3,51,60,106,12,9,19,0,0,0,0,0,0,4,37,45,5,4,7,26,48,74,686,666,1352,51,40,95,117,88,206,59,182,240,689,590,1280,1601,1570,3171,0,0,0,0,0,0,0,0,0,0,0,0,111,95,199,111,95,199,3,3,9,0,0,0,0,0,0,0,0,0,93,117,207,93,121,217,19,33,52,0,4,4,0,0,0,3,0,0,84,86,170,106,123,226,47,48,96,3,5,10,3,3,9,0,3,3,56,42,98,112,104,211,37,41,75,0,0,3,6,0,7,0,0,0,36,50,87,77,94,169,34,40,78,7,10,9,11,10,18,4,0,6,50,59,101,98,115,208,63,74,142,8
LGA12160,432,9,5,10,34,19,54,26,95,119,22,12,30,326,327,655,146,124,271,4,3,5,9,7,19,24,71,88,18,7,17,190,210,407,95,67,164,0,3,0,7,11,19,29,131,163,10,6,14,149,215,364,55,25,78,0,0,0,0,0,7,30,162,196,3,8,14,90,197,286,2384,2369,4746,137,139,274,340,368,711,155,598,749,1302,1041,2341,4315,4514,8825,0,0,6,0,0,0,0,0,0,0,0,0,318,293,605,320,292,610,3,12,17,0,3,3,0,0,0,0,0,0,243,218,462,246,235,485,50,56,107,0,3,4,0,0,0,0,0,0,167,157,328,218,216,439,111,148,263,5,11,20,4,5,14,0,0,0,121,113,234,244,289,535,146,173,316,9,8,14,4,21,25,0,0,0,99,81,178,257,284,539,179,199,377,14,17,28,24,27,50,0,6,3,87,82,166,301,326,629,202,216,419,15
LGA12350,434,19,12,28,41,30,72,36,103,143,21,12,36,367,353,716,150,130,279,12,3,9,19,13,28,42,97,136,9,7,23,229,250,477,110,71,176,9,0,9,7,10,15,55,128,185,10,9,13,180,215,398,56,35,94,0,0,0,0,8,12,56,159,209,3,8,12,110,212,323,2493,2482,4970,184,182,369,413,447,863,237,669,909,1528,1194,2725,4861,4978,9835,0,0,0,0,0,0,0,0,0,0,0,0,377,357,734,377,362,741,11,26,39,0,3,6,0,0,0,0,0,0,324,291,609,336,320,652,58,58,117,3,0,7,0,0,0,0,0,0,216,191,405,278,254,534,109,143,246,10,11,19,4,8,8,0,0,0,132,124,264,256,284,542,129,168,295,8,21,29,20,29,46,0,7,4,119,89,207,280,306,581,185,203,390,22,26,46,34,47,78,0,3,3,93,66,164,329,347,680,213,244,458,18
