LGA_CODE_2021,C21_CF_1P1NW_Tot,C21_CF_1A1NW_Neg_ni_inc,C21_CF_1A1NW_1_149,C21_CF_1A1NW_150_399,C21_CF_1A1NW_400_649,C21_CF_1A1NW_650_799,C21_CF_1A1NW_800_1249,C21_CF_1A1NW_1250_1999,C21_CF_1A1NW_2000_2499,C21_CF_1A1NW_2500_2999,C21_CF_1A1NW_3000_3999,C21_CF_1A1NW_4000more,C21_CF_1A1NW_Ns,C21_CF_1A1NW_Tot,C21_CF_BA_Neg_ni_inc,C21_CF_BA_1_149,C21_CF_BA_150_399,C21_CF_BA_400_649,C21_CF_BA_650_799,C21_CF_BA_800_1249,C21_CF_BA_1250_1999,C21_CF_BA_2000_2499,C21_CF_BA_2500_2999,C21_CF_BA_3000_3999,C21_CF_BA_4000more,C21_CF_BA_Ns,C21_CF_BA_Tot,C21_CF_BNW_Neg_ni_inc,C21_CF_BNW_1_149,C21_CF_BNW_150_399,C21_CF_BNW_400_649,C21_CF_BNW_650_799,C21_CF_BNW_800_1249,C21_CF_BNW_1250_1999,C21_CF_BNW_2000_2499,C21_CF_BNW_2500_2999,C21_CF_BNW_3000_3999,C21_CF_BNW_4000more,C21_CF_BNW_Ns,C21_CF_BNW_Tot,C21_CF_LFns_Neg_ni_inc,C21_CF_LFns_1_149,C21_CF_LFns_150_399,C21_CF_LFns_400_649,C21_CF_LFns_650_799,C21_CF_LFns_800_1249,C21_CF_LFns_1250_1999,C21_CF_LFns_2000_2499,C21_CF_LFns_2500_2999,C21_CF_LFns_3000_3999,C21_CF_LFns_4000more,C21_CF_LFns_Ns,C21_CF_LFns_Tot,C21_C_f_c_Tot_Fi_Neg_ni_inc,C21_C_f_c_Tot_Fi_1_149,C21_C_f_c_Tot_Fi_150_399,C21_C_f_c_Tot_Fi_400_649,C21_CF_c_Tot_Fi_650_799,C21_CF_c_Tot_Fi_800_1249,C21_CF_c_Tot_Fi_1250_1999,C21_CF_c_Tot_Fi_2000_2499,C21_CF_c_Tot_Fi_2500_2999,C21_CF_c_Tot_Fi_3000_3999,C21_CF_c_Tot_Fi_4000more,C21_C_f_with_c_TotFI_Ns,C21_C_f_with_c_Tot_Tot,C21_1PF_F_Neg_ni_inc,C21_1PF_F_1_149,C21_1PF_F_150_399,C21_1PF_F_400_649,C21_1PF_F_650_799,C21_1PF_F_800_1249,C21_1PF_F_1250_1999,C21_1PF_F_2000_2499,C21_1PF_F_2500_2999,C21_1PF_F_3000_3999,C21_1PF_F_4000more,C21_1PF_F_Ns,C21_1PF_F_Tot,C21_1PF_P_Neg_ni_inc,C21_1PF_P_1_149,C21_1PF_P_150_399,C21_1PF_P_400_649,C21_1PF_P_650_799,C21_1PF_P_800_1249,C21_1PF_P_1250_1999,C21_1PF_P_2000_2499,C21_1PF_P_2500_2999,C21_1PF_P_3000_3999,C21_1PF_P_4000more,C21_1PF_P_Ns,C21_1PF_P_Tot,C21_1PF_A_Neg_ni_inc,C21_1PF_A_1_149,C21_1PF_A_150_399,C21_1PF_A_400_649,C21_1PF_A_650_799,C21_1PF_A_800_1249,C21_1PF_A_1250_1999,C21_1PF_A_2000_2499,C21_1PF_A_2500_2999,C21_1PF_A_3000_3999,C21_1PF_A_4000_more,C21_1PF_A_Ns,C21_1PF_A_Tot,C21_1PF_U_Neg_ni_inc,C21_1PF_U_1_149,C21_1PF_U_150_399,C21_1PF_U_400_649,C21_1PF_U_650_799,C21_1PF_U_800_1249,C21_1PF_U_1250_1999,C21_1PF_U_2000_2499,C21_1PF_U_2500_2999,C21_1PF_U_3000_3999,C21_1PF_U_4000_more,C21_1PF_U_Ns,C21_1PF_U_Tot,C21_1PF_N_lf_Fi_Neg_ni_inc,C21_1PF_N_lf_Fi_1_149,C21_1PF_N_lf_Fi_150_399,C21_1PF_N_lf_Fi_400_649,C21_1PF_N_lf_Fi_650_799,C21_1PF_N_lf_Fi_800_1249,C21_1PF_N_lf_Fi_1250_1999,C21_1PF_N_lf_Fi_2000_2499,C21_1PF_N_lf_Fi_2500_2999,C21_1PF_N_lf_Fi_3000_3999,C21_1PF_N_lf_Fi_4000_more,C21_1PF_N_lf_Fi_Ns,C21_1PF_N_the_lf_Tot,C21_1PF_LFns_Neg_ni_inc,C21_1PF_LFns_1_149,C21_1PF_LFns_150_399,C21_1PF_LFns_400_649,C21_1PF_LFns_Fi_650_799,C21_1PF_LFns_Fi_800_1249,C21_1PF_LFns_Fi_1250_1999,C21_1PF_LFns_Fi_2000_2499,C21_1PF_LFns_Fi_2500_2999,C21_1PF_LFns_Fi_3000_3999,C21_1PF_LFns_4000more,C21_1PF_LFns_Ns,C21_1PF_LFns_Tot,C21_1PF_TotFI_Neg_ni_inc,C21_1PF_TotFI_1_149,C21_1PF_TotFI_150_399,C21_1PF_TotFI_400_649,C21_1PF_TotFI_650_799,C21_1PF_TotFI_800_1249,C21_1PF_TotFI_1250_1999,C21_1PF_TotFI_2000_2499,C21_1PF_TotFI_2500_2999,C21_1PF_TotFI_3000_3999,C21_1PF_TotFI_4000more,C21_One_par_f_TotFI_Ns,C21_One_parent_f_Tot_Tot,C21_TotFI_Neg_ni_inc,C21_TotFI_1_149,C21_TotFI_150_399,C21_TotFI_400_649,C21_TotFI_650_799,C21_TotFI_800_1249,C21_TotFI_1250_1999,C21_TotFI_2000_2499,C21_TotFI_2500_2999,C21_TotFI_3000_3999,C21_TotFI_4000_more,C21_TotFI_Ns,C21_Tot_Tot
LGA10800,17,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,5,4,0,6,0,0,9,0,0,0,0,0,8,3,0,0,0,0,5,23,0,0,0,0,0,0,0,0,0,0,0,32,36,0,0,0,6,11,35,103,83,68,87,65,87,551,0,0,0,0,0,8,15,12,0,3,4,10,60,0,0,0,7,7,17,13,0,3,0,5,9,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,16,9,20,13,3,0,0,0,4,76,0,0,0,0,0,3,0,0,0,0,0,3,3,4,0,3,31,15,51,39,13,8,3,8,26,200,19,7,12,66,122,190,263,186,124,143,109,182,1425
LGA10850,36,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,3,9,17,6,0,0,0,3,52,0,0,0,0,0,0,0,0,0,0,0,57,54,4,0,4,6,10,42,133,131,131,156,127,97,839,0,0,0,0,6,14,40,16,5,10,0,10,103,0,0,0,7,15,16,13,7,3,0,0,9,68,0,0,0,0,0,4,4,0,0,0,0,0,15,0,0,0,8,0,0,0,0,0,0,0,0,16,5,0,5,24,16,28,12,6,0,3,3,4,108,0,0,0,0,0,0,0,0,0,0,0,7,6,5,0,8,36,37,69,75,24,12,8,5,27,312,22,7,23,70,144,248,398,251,218,250,186,195,2011
LGA10900,492,0,0,0,5,0,29,51,22,17,26,16,16,175,0,0,0,0,0,0,28,28,22,27,22,16,140,11,10,8,20,31,120,190,89,49,65,33,42,672,0,0,0,0,0,3,0,0,0,0,0,218,225,19,11,15,45,60,367,1255,1236,1157,2017,2430,579,9183,0,0,0,0,12,108,285,213,90,93,78,95,980,0,4,15,71,80,207,241,74,33,22,21,66,832,0,0,3,22,32,49,46,22,4,4,4,20,209,3,0,18,12,15,10,10,0,4,0,0,10,80,20,11,53,178,104,322,244,76,46,22,12,70,1157,0,0,0,0,0,0,6,0,0,0,0,15,25,24,13,86,295,242,691,830,393,183,147,113,265,3285,159,81,187,692,1098,2562,4194,2761,2183,3205,3540,1204,21865
LGA10950,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,6,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,18,18,0,3,3,0,0,20,48,37,28,31,42,51,270,0,0,0,0,0,5,6,0,0,4,3,5,31,0,0,0,3,4,3,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,10,4,9,8,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,13,14,10,3,4,5,10,90,7,3,7,32,38,75,108,75,59,60,68,84,622
LGA11150,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,8,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,25,23,0,0,0,0,3,14,25,29,17,44,29,53,219,0,0,0,0,0,5,8,4,5,0,0,3,25,0,0,0,0,4,3,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,7,0,4,11,9,10,9,0,0,0,0,4,57,0,0,0,0,0,0,0,0,0,0,0,8,8,7,0,3,14,16,15,18,9,4,0,0,12,106,9,3,8,24,44,47,87,65,37,62,45,99,524
LGA11200,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,5,4,11,17,13,7,5,8,9,77,0,0,0,0,0,6,10,4,0,0,0,4,22,0,0,0,7,0,3,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,11,9,8,9,3,0,0,0,0,3,47,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,9,18,11,19,12,5,0,0,0,9,90,5,9,10,22,22,46,41,28,13,16,16,31,279
LGA11250,56,0,0,0,0,0,0,5,8,0,4,0,0,22,0,0,0,0,0,0,3,3,0,4,0,3,18,6,0,4,6,10,39,49,23,0,9,0,12,163,0,0,0,0,0,0,3,0,0,0,0,97,106,6,0,3,11,17,85,248,208,174,276,209,169,1417,0,0,0,5,15,63,99,50,16,22,0,27,299,0,4,12,34,32,55,35,15,4,3,0,10,201,0,0,3,5,5,12,16,4,0,0,0,11,55,5,0,5,10,6,6,0,0,0,0,0,5,41,13,3,32,96,41,120,76,20,4,0,3,42,461,0,0,0,0,0,0,0,0,0,0,0,6,13,23,6,53,151,101,251,220,89,27,35,7,104,1063,61,15,69,264,405,681,835,483,362,490,311,449,4413
LGA11300,299,0,0,4,3,10,29,46,19,10,10,9,9,154,0,0,0,0,0,7,29,13,14,3,18,7,85,19,5,23,39,35,108,156,86,58,45,58,40,661,0,0,0,0,0,0,0,5,0,5,0,125,131,22,7,33,62,60,272,642,506,362,683,1213,267,4129,0,0,4,0,3,39,89,66,18,31,48,24,315,4,0,3,17,22,56,54,22,12,12,17,13,236,0,0,0,14,5,10,12,7,0,3,0,7,69,8,0,4,13,8,6,14,0,0,3,0,6,57,80,12,64,94,35,130,126,75,31,24,26,39,739,4,0,0,5,0,4,7,0,0,0,0,12,25,88,15,76,141,80,250,298,172,61,73,89,104,1441,296,72,159,405,467,1012,1727,1200,721,1120,1734,526,9427
LGA11350,302,0,0,0,0,4,13,11,9,9,3,3,4,58,0,0,0,0,0,5,5,9,8,3,8,3,32,13,4,4,13,12,44,65,33,23,13,14,21,255,0,0,0,0,0,0,6,0,4,0,5,159,173,17,4,15,32,53,220,632,467,402,483,597,346,3261,0,0,0,3,12,41,107,55,20,13,24,35,319,4,0,17,65,68,136,128,28,6,7,9,58,535,0,0,0,12,0,14,18,5,4,0,5,11,68,4,0,7,15,5,9,7,0,3,0,0,3,54,23,8,41,102,55,150,93,28,19,7,6,52,591,0,0,0,0,0,0,0,3,0,0,0,11,16,33,8,63,196,147,356,361,123,45,31,41,172,1577,92,34,122,373,499,1060,1834,1086,718,837,1057,745,8455
LGA11400,39,0,0,0,0,0,0,3,0,0,0,0,3,11,0,0,0,0,0,3,0,4,0,3,0,0,14,0,0,0,6,4,15,30,6,5,10,0,5,84,0,0,0,0,0,0,0,0,0,0,0,84,86,3,0,9,18,17,83,257,217,168,293,326,199,1590,0,0,4,5,4,25,35,18,4,4,0,16,115,0,0,3,8,13,30,27,5,3,3,0,6,92,0,0,0,5,0,6,0,0,0,0,0,7,22,0,0,0,5,0,0,0,0,0,0,0,0,7,3,5,12,29,23,44,34,7,5,4,5,15,176,0,0,0,0,0,0,0,0,0,0,0,12,14,3,5,15,50,44,105,92,27,17,11,7,49,433,51,14,40,154,267,428,703,441,305,445,476,364,3687
LGA11450,921,4,0,4,9,9,47,139,81,44,41,37,34,446,0,0,0,0,0,15,80,70,88,92,59,37,450,42,8,19,67,67,209,357,132,102,100,53,72,1234,0,0,0,0,0,4,6,4,8,0,0,475,495,66,11,40,113,153,697,2641,2738,2660,4144,4097,1051,18391,3,0,0,11,21,198,488,358,174,205,113,108,1674,0,0,7,69,78,267,243,111,61,51,37,48,972,0,0,0,34,37,68,82,32,19,25,10,27,331,5,0,12,25,26,28,20,11,4,4,3,4,138,70,18,72,272,139,343,315,110,54,38,36,79,1536,0,0,0,0,0,6,4,0,0,0,0,44,45,81,19,92,409,295,899,1147,620,315,315,192,313,4695,373,90,213,809,1221,2639,5378,4728,4169,5890,5245,1724,32473
LGA11500,1766,6,0,7,19,34,184,334,149,74,81,43,69,1000,0,0,0,0,3,29,155,103,103,90,63,49,600,91,26,74,230,260,689,844,384,221,181,108,203,3314,6,0,0,0,4,5,19,16,11,6,9,730,796,115,36,108,350,457,1894,4890,3919,3049,3783,3048,1613,23262,0,0,4,18,45,366,745,400,201,230,126,163,2296,3,7,23,144,166,393,385,151,47,65,27,82,1491,8,3,19,73,49,144,149,77,38,27,8,68,666,15,3,35,84,47,54,59,21,9,9,3,20,371,172,26,284,896,512,1058,810,262,139,87,46,278,4570,5,0,3,4,4,12,7,0,0,0,7,98,131,204,40,371,1218,823,2027,2156,915,438,415,215,700,9528,752,173,678,2220,2843,5845,9888,6687,4647,5491,3992,2900,46118
LGA11520,594,0,0,5,12,8,39,51,29,18,20,28,5,220,4,0,0,4,3,5,31,32,29,38,46,22,205,37,10,21,48,43,132,201,126,88,108,108,55,960,0,0,0,0,0,4,12,4,0,8,7,258,291,45,13,27,96,92,373,1012,989,930,1848,4962,568,10951,0,0,4,0,7,74,250,236,81,154,228,82,1126,0,4,15,30,39,111,131,71,30,37,30,27,521,0,0,3,15,16,26,34,20,10,8,13,7,142,6,0,5,15,6,10,13,12,4,6,4,5,90,86,15,67,114,70,241,275,92,85,57,59,89,1246,0,0,0,0,0,0,0,0,0,0,0,18,27,91,18,93,178,133,461,704,429,208,262,341,235,3151,409,134,217,610,898,1808,3283,2612,2124,3639,7597,1238,24570
