LGA_CODE_2021,C11_OO_DS_Sep_house,C11_OO_DS_SemiDRTHT,C11_OO_DS_F_a,C11_OO_DS_OD,C11_OO_DS_NS,C11_Owned_Outright_Tot,C11_OWM_DS_Sep_house,C11_OWM_DS_SemiDRTHT,C11_OWM_DS_F_a,C11_OWM_DS_OD,C11_OWM_DS_NS,C11_Owned_with_mortgage_Tot,C11_R_REA_DS_Sep_house,C11_R_REA_DS_SemiDRTHT,C11_R_REA_DS_F_a,C11_R_REA_DS_OD,C11_R_REA_DS_NS,C11_R_Real_Estate_Agent_Tot,C11_R_STHA_DS_Sep_house,C11_R_STHA_DS_SemiDRTHT,C11_R_STHA_DS_F_a,C11_R_STHA_DS_OD,C11_R_STHA_DS_NS,C11_R_ST_House_Auth_Tot,C11_R_CHP_DS_Sep_house,C11_R_CHP_DS_SemiDRTHT,C11_R_CHP_DS_F_a,C11_R_CHP_DS_OD,C11_R_CHP_DS_NS,C11_R_CHP_Tot,C11_R_PNISH_DS_Sep_house,C11_R_PNISH_DS_SemDRTHT,C11_R_PNISH_DS_F_a,C11_R_PNISH_DS_OD,C11_R_PNISH_DS_NS,C11_R_PNISH_Tot,C11_R_OLT_DS_Sep_house,C11_R_OLT_DS_SemDRTHT,C11_R_OLT_DS_F_a,C11_R_OLT_DS_OD,C11_R_OLT_DS_NS,C11_R_Oth_Llord_Type_Tot,C11_R_LT_NS_DS_Sep_house,C11_R_LT_NS_DS_SemDRTHT,C11_R_LT_NS_DS_F_a,C11_R_LT_NS_DS_OD,C11_R_LT_NS_DS_NS,C11_R_Llord_Type_NS_Tot,C11_R_Tot_DS_Sep_house,C11_R_Tot_DS_SemDRTHT,C11_R_Tot_DS_F_a,C11_R_Tot_DS_OD,C11_R_Tot_DS_NS,C11_R_Tot_Tot,C11_OTT_DS_Sep_house,C11_OTT_DS_SemiDRTHT,C11_OTT_DS_F_a,C11_OTT_DS_OD,C11_OTT_DS_NS,C11_OTT_Tot,C11_TT_NS_DS_Sep_house,C11_TT_NS_DS_SemiDRTHT,C11_TT_NS_DS_F_a,C11_TT_NS_DS_OD,C11_TT_NS_DS_NS,C11_TT_NS_Tot,C11_Tot_DS_Sep_house,C11_Tot_DS_SemiDRTHT,C11_Tot_DS_F_a,C11_Tot_DS_OD,C11_Tot_DS_NS,C11_Tot_Tot,C16_OO_DS_Sep_house,C16_OO_DS_SemiDRTHT,C16_OO_DS_F_a,C16_OO_DS_OD,C16_OO_DS_NS,C16_OO_Tot,C16_OWM_DS_Sep_house,C16_OWM_DS_SemiDRTHT,C16_OWM_DS_F_a,C16_OWM_DS_OD,C16_OWM_DS_NS,C16_OWM_Tot,C16_R_REA_DS_Sep_house,C16_R_REA_DS_SemiDRTHT,C16_R_REA_DS_F_a,C16_R_REA_DS_OD,C16_R_REA_DS_NS,C16_R_REA_Tot,C16_R_STHA_DS_Sep_house,C16_R_STHA_DS_SemiDRTHT,C16_R_STHA_DS_F_a,C16_R_STHA_DS_OD,C16_R_STHA_DS_NS,C16_R_STHA_Tot,C16_R_CHP_DS_Sep_house,C16_R_CHP_DS_SemiDRTHT,C16_R_CHP_DS_F_a,C16_R_CHP_DS_OD,C16_R_CHP_DS_NS,C16_R_CHP_Tot,C16_R_PNISH_DS_Sep_house,C16_R_PNISH_DS_SemDRTHT,C16_R_PNISH_DS_F_a,C16_R_PNISH_DS_OD,C16_R_PNISH_DS_NS,C16_R_PNISH_Tot,C16_R_OLT_DS_Sep_house,C16_R_OLT_DS_SemDRTHT,C16_R_OLT_DS_F_a,C16_R_OLT_DS_OD,C16_R_OLT_DS_NS,C16_R_OLT_Tot,C16_R_LT_NS_DS_Sep_house,C16_R_LT_NS_DS_SemDRTHT,C16_R_LT_NS_DS_F_a,C16_R_LT_NS_DS_OD,C16_R_LT_NS_DS_NS,C16_R_LT_NS_Tot,C16_R_Tot_DS_Sep_house,C16_R_Tot_DS_SemiDRTHT,C16_R_Tot_DS_F_a,C16_R_Tot_DS_OD,C16_R_Tot_DS_NS,C16_R_Tot_Tot,C16_OTT_DS_Sep_house,C16_OTT_DS_SemiDRTHT,C16_OTT_DS_F_a,C16_OTT_DS_OD,C16_OTT_DS_NS,C16_OTT_Tot,C16_TT_NS_DS_Sep_house,C16_TT_NS_DS_SemiDRTHT,C16_TT_NS_DS_F_a,C16_TT_NS_DS_OD,C16_TT_NS_DS_NS,C16_TT_NS_Tot,C16_Tot_DS_Sep_house,C16_Tot_DS_SemiDRTHT,C16_Tot_DS_F_a,C16_Tot_DS_OD,C16_Tot_DS_NS,C16_Tot_Tot,C21_OO_DS_Sep_house,C21_OO_DS_SemiDRTHT,C21_OO_DS_F_a,C21_OO_DS_OD,C21_OO_DS_NS,C21_OO_Tot,C21_OWM_DS_Sep_house,C21_OWM_DS_SemiDRTHT,C21_OWM_DS_F_a,C21_OWM_DS_OD,C21_OWM_DS_NS,C21_OWM_Tot,C21_R_REA_DS_Sep_house,C21_R_REA_DS_SemiDRTHT,C21_R_REA_DS_F_a,C21_R_REA_DS_OD,C21_R_REA_DS_NS,C21_R_REA_Tot,C21_R_STHA_DS_Sep_house,C21_R_STHA_DS_SemiDRTHT,C21_R_STHA_DS_F_a,C21_R_STHA_DS_OD,C21_R_STHA_DS_NS,C21_R_STHA_Tot,C21_R_CHP_DS_Sep_house,C21_R_CHP_DS_SemiDRTHT,C21_R_CHP_DS_F_a,C21_R_CHP_DS_OD,C21_R_CHP_DS_NS,C21_R_CHP_Tot,C21_R_PNISH_DS_Sep_house,C21_R_PNISH_DS_SemDRTHT,C21_R_PNISH_DS_F_a,C21_R_PNISH_DS_OD,C21_R_PNISH_DS_NS,C21_R_PNISH_Tot,C21_R_OLT_DS_Sep_house,C21_R_OLT_DS_SemDRTHT,C21_R_OLT_DS_F_a,C21_R_OLT_DS_OD,C21_R_OLT_DS_NS,C21_R_OLT_Tot,C21_R_LT_NS_DS_Sep_house,C21_R_LT_NS_DS_SemDRTHT,C21_R_LT_NS_DS_F_a,C21_R_LT_NS_DS_OD,C21_R_LT_NS_DS_NS,C21_R_LT_NS_Tot,C21_R_Tot_DS_Sep_house,C21_R_Tot_DS_SemiDRTHT,C21_R_Tot_DS_F_a,C21_R_Tot_DS_OD,C21_R_Tot_DS_NS,C21_R_Tot_Tot,C21_OTT_DS_Sep_house,C21_OTT_DS_SemiDRTHT
LGA10800,1044,3,10,15,0,1075,599,0,7,8,0,608,88,3,31,0,0,129,35,0,4,0,0,42,8,0,7,0,0,19,111,6,11,4,0,130,49,0,12,0,0,68,3,0,0,0,0,9,298,9,75,9,0,386,118,0,3,0,0,117,94,0,12,40,0,141,2150,18,96,69,0,2327,997,4,8,9,14,1029,557,0,0,0,7,570,87,0,23,4,4,122,24,0,0,0,0,33,0,0,8,0,0,11,124,4,0,0,0,135,66,0,3,0,4,76,0,0,0,0,0,6,311,5,47,7,17,380,115,0,3,0,3,125,282,3,12,9,12,328,2265,14,70,25,51,2429,990,21,4,22,9,1043,567,5,0,10,5,587,88,22,25,0,0,130,25,0,3,0,0,32,6,10,0,0,0,15,135,9,5,0,7,152,64,14,11,6,6,100,4,0,3,0,0,0,326,57,39,6,4,434,107,8
LGA10850,957,9,0,9,3,982,906,11,0,0,0,921,234,23,34,3,0,295,44,6,0,0,0,50,6,9,12,0,0,23,118,0,0,4,0,131,25,0,0,4,0,31,3,0,0,0,0,4,435,33,48,12,0,528,58,3,0,0,0,69,135,4,3,0,0,144,2490,57,54,24,4,2637,982,3,0,14,0,1000,916,5,0,8,0,928,264,12,45,0,0,328,36,0,4,0,0,39,0,0,0,0,0,0,128,3,0,0,3,137,17,0,0,5,0,25,0,0,0,0,0,0,444,18,52,9,3,525,77,0,0,3,0,86,211,3,20,13,28,268,2637,33,69,39,30,2810,1109,15,0,4,0,1126,943,9,0,4,8,963,279,49,15,0,0,346,39,9,5,0,0,49,20,5,4,0,0,24,151,4,0,3,0,161,21,0,0,7,0,34,6,0,0,0,0,6,517,65,25,12,5,614,65,0
LGA10900,10047,449,81,6,7,10591,11192,189,48,6,3,11437,2758,322,236,9,4,3337,147,130,47,0,0,327,73,68,40,0,0,173,978,74,65,13,3,1130,67,6,6,0,0,81,16,6,6,0,0,33,4032,609,398,18,8,5069,345,113,33,0,3,492,1365,114,58,72,0,1607,26983,1476,612,109,22,29201,10834,427,45,16,24,11354,11161,132,47,13,23,11377,2612,330,258,14,14,3227,155,133,84,0,0,368,53,78,54,0,0,188,962,86,47,5,13,1114,56,8,4,5,13,87,11,3,0,0,0,15,3843,639,448,27,38,4993,291,146,13,6,3,454,1358,137,82,43,24,1644,27487,1477,631,109,111,29822,12060,408,160,7,14,12648,11658,177,93,4,6,11941,2870,342,334,21,14,3583,76,81,50,0,0,212,132,143,106,4,0,387,1009,79,78,5,3,1178,70,8,17,3,4,102,22,4,7,0,0,33,4179,660,589,35,24,5486,297,84
LGA10950,425,3,0,19,5,449,233,0,0,9,0,239,55,0,0,4,0,61,48,4,3,0,0,52,8,0,3,0,0,9,66,8,4,3,0,82,42,8,16,8,0,69,0,0,0,0,0,0,216,14,25,16,0,279,54,0,0,4,0,62,92,5,7,12,5,113,1023,25,30,50,11,1143,382,5,0,8,3,402,218,0,0,0,0,221,48,4,0,0,0,48,39,0,3,0,0,50,7,0,0,0,0,8,67,6,4,4,0,83,41,13,11,3,0,67,0,0,0,0,0,0,202,30,21,6,7,258,39,0,0,0,0,44,104,6,9,33,3,157,944,39,34,51,11,1084,375,9,0,11,8,393,227,0,0,0,3,231,36,0,0,0,0,44,27,13,0,0,0,39,10,8,0,0,0,16,79,12,0,0,3,95,50,16,0,6,3,74,9,0,0,0,0,6,211,46,6,3,3,273,38,0
LGA11150,289,0,0,24,3,326,203,0,0,0,0,207,15,0,0,4,0,13,58,0,9,0,0,66,32,0,0,0,0,32,77,0,5,0,0,84,89,6,9,6,0,107,0,0,0,0,0,0,261,6,28,7,0,303,88,0,3,7,0,92,154,0,7,105,0,260,990,6,35,145,6,1183,242,0,0,62,6,305,182,0,0,3,3,192,31,6,4,0,0,42,59,9,7,0,0,74,32,0,5,0,0,32,58,0,4,0,0,57,60,4,9,11,0,84,7,0,0,0,0,7,237,15,25,10,5,294,48,0,0,4,3,61,194,9,6,48,3,257,908,24,38,124,19,1108,247,0,0,17,7,279,169,0,0,0,0,171,34,0,5,0,0,39,45,0,6,0,0,48,35,0,0,0,4,37,53,0,0,0,0,58,78,3,5,12,3,104,0,0,0,0,0,0,251,9,13,9,13,290,54,0
LGA11200,149,0,0,8,4,162,64,0,0,0,0,65,7,0,0,0,0,4,33,0,0,0,0,38,81,0,17,0,0,98,29,0,3,0,0,33,42,0,16,0,0,55,5,0,0,0,0,6,194,0,35,0,0,236,90,0,0,0,0,90,37,0,4,0,0,42,536,0,41,8,4,593,141,0,0,5,0,142,51,0,0,0,0,46,12,0,0,0,0,12,50,0,11,0,0,63,130,0,13,0,0,140,24,0,0,0,0,26,39,0,9,0,0,44,4,0,0,0,0,4,249,3,32,0,0,289,50,0,0,0,0,55,59,0,3,6,0,73,550,4,39,10,6,608,112,3,0,0,12,127,48,0,0,0,0,50,11,0,0,0,0,15,85,17,3,0,0,105,50,3,0,0,0,52,19,3,0,0,0,26,29,3,0,3,3,42,0,0,0,0,0,3,206,27,3,5,4,249,38,0
LGA11250,3287,3,69,105,6,3473,2123,3,42,10,0,2180,587,17,60,0,0,667,69,9,19,0,0,102,32,4,0,0,0,31,400,21,57,0,0,475,126,8,26,13,0,173,6,0,4,0,0,11,1218,57,165,18,0,1459,163,6,6,4,0,186,560,41,55,27,0,681,7351,106,347,157,11,7980,2994,32,7,69,4,3110,2125,16,0,3,3,2149,556,53,45,0,0,653,63,22,26,0,0,108,19,0,18,0,0,42,501,31,33,4,4,567,154,3,25,9,5,193,16,0,4,0,0,21,1301,112,148,15,7,1584,132,3,14,0,0,152,552,26,43,31,23,669,7103,181,215,122,43,7668,3082,29,3,33,4,3160,2195,10,0,0,4,2219,670,60,72,0,0,805,82,26,16,0,0,121,37,12,20,0,0,73,544,30,23,6,6,602,170,15,19,26,8,236,4,3,3,0,0,22,1503,146,159,27,13,1845,142,5
LGA11300,2753,359,520,10,0,3654,1703,357,708,6,0,2770,610,236,1808,19,4,2675,24,68,195,0,0,283,45,7,24,0,0,71,212,77,279,8,0,576,22,9,47,0,0,74,7,3,10,0,0,14,908,395,2363,37,5,3709,95,23,69,0,0,188,287,76,357,24,4,747,5749,1210,4024,78,12,11077,2297,700,617,4,10,3636,1398,640,809,5,7,2859,531,307,2482,29,29,3381,19,98,193,0,0,308,15,13,38,0,5,64,168,84,524,7,9,794,19,20,75,5,5,125,6,5,9,0,0,14,747,528,3323,40,50,4687,79,37,144,0,3,267,289,101,515,19,18,944,4815,2014,5411,71,84,12390,2337,762,650,9,3,3764,1489,645,1068,0,0,3209,633,428,3999,70,52,5179,6,113,198,0,0,315,21,12,68,0,0,103,209,106,531,10,9,869,43,24,148,0,3,216,4,7,36,0,0,44,915,691,4978,85,59,6728,77,40
LGA11350,3571,206,85,155,9,4019,2946,236,63,18,10,3271,1041,326,217,4,0,1596,67,42,47,0,0,155,31,17,12,0,0,63,1118,158,138,53,7,1473,46,9,14,69,0,135,12,0,8,0,0,25,2314,548,435,129,14,3447,243,30,24,11,0,310,599,101,93,431,0,1224,9675,1124,697,745,29,12269,3668,157,145,299,86,4360,2957,169,95,36,30,3290,955,294,213,24,19,1502,60,19,69,0,0,151,23,10,12,0,0,50,1114,125,146,70,24,1475,47,9,7,59,8,131,18,0,9,0,0,24,2217,458,446,152,57,3334,247,19,20,22,3,306,1320,141,155,394,55,2071,10413,945,861,905,234,13356,4263,358,159,226,24,5029,3230,318,115,25,7,3690,1118,411,239,30,15,1811,42,19,27,0,0,97,63,35,57,0,0,153,1272,207,180,68,20,1743,134,12,9,93,5,261,20,9,6,0,0,34,2652,689,520,188,42,4092,224,37
LGA11400,2030,8,7,28,0,2073,1561,0,3,15,0,1587,230,18,18,5,0,275,31,0,0,0,0,31,3,8,19,0,0,24,276,6,4,8,0,298,53,3,5,3,0,68,5,4,0,0,0,8,597,36,45,18,0,699,214,9,3,8,0,231,163,0,7,6,0,175,4562,60,66,82,5,4768,1968,0,6,19,10,2001,1638,0,3,7,8,1661,242,9,23,7,0,283,25,0,0,0,0,27,8,3,13,0,0,24,272,3,7,9,0,293,50,0,0,3,0,59,8,0,3,0,0,11,611,20,46,15,3,699,165,0,6,9,3,181,361,6,13,12,3,392,4743,34,75,62,25,4932,2108,11,10,94,0,2230,1631,10,0,63,3,1708,260,22,17,4,0,304,18,6,0,0,0,23,8,7,15,4,0,28,295,7,3,10,3,333,74,3,0,3,0,88,5,0,0,0,0,5,675,38,35,20,3,779,176,3
LGA11450,4235,255,70,125,6,4689,9069,324,31,4,11,9435,1836,167,84,0,6,2085,209,72,33,0,0,314,19,24,3,0,0,43,557,40,31,4,0,629,50,3,0,12,4,70,8,5,4,0,0,15,2674,306,146,20,5,3159,145,90,15,4,0,258,626,68,38,23,0,752,16750,1047,302,178,27,18297,5453,304,41,51,11,5863,12164,350,21,3,18,12554,3138,398,66,6,18,3624,217,79,30,0,0,322,26,14,0,0,0,41,573,68,7,3,3,661,98,4,0,17,0,122,13,5,0,0,0,19,4068,564,103,23,21,4784,186,127,11,8,5,335,1103,165,25,21,8,1323,22970,1512,201,100,72,24864,6933,320,60,111,16,7439,18903,603,84,4,14,19608,6566,758,134,11,15,7474,266,72,41,0,0,379,45,85,0,0,0,133,903,99,21,7,9,1032,165,14,3,20,0,204,33,7,0,0,0,47,7979,1036,191,32,20,9265,335,208
LGA11500,10200,984,230,48,0,11468,17605,2082,276,61,0,20035,4141,1687,557,18,4,6404,3004,1658,319,0,3,4984,104,92,47,0,0,243,1364,330,104,10,0,1810,135,17,12,0,0,170,47,15,12,0,0,73,8799,3799,1049,28,11,13683,330,76,128,6,0,532,1955,594,202,12,3,2766,38893,7533,1885,150,23,48483,10694,1127,300,17,13,12149,17206,2051,333,20,23,19630,5686,2124,1040,32,33,8913,2563,1923,166,0,4,4654,98,110,38,0,0,248,1293,317,73,10,5,1701,139,29,17,0,4,187,61,14,6,0,0,78,9844,4517,1332,38,47,15778,409,169,148,3,13,746,2284,991,299,28,26,3636,40435,8852,2415,107,126,51939,11399,1301,438,0,7,13148,19934,2315,699,0,19,22971,8286,2261,1657,8,18,12233,2594,1768,211,0,3,4575,169,207,113,0,4,487,1483,288,152,0,8,1934,208,49,36,0,0,289,51,22,11,0,0,89,12788,4592,2178,10,33,19601,397,359
LGA11520,6208,862,2234,14,7,9332,4299,1174,3234,9,6,8728,1232,799,4384,60,27,6502,86,162,459,0,0,705,10,21,77,0,0,107,366,158,717,32,3,1273,32,69,145,4,0,252,7,8,26,0,0,45,1734,1208,5806,99,35,8882,179,40,150,8,0,383,625,206,1271,37,7,2138,13056,3492,12686,168,64,29465,6066,807,3024,34,27,9957,4231,1059,4111,56,24,9490,1211,626,6872,146,46,8896,86,182,431,0,8,707,18,16,96,0,6,140,327,95,942,49,16,1422,22,59,141,5,0,222,0,3,30,0,0,41,1655,981,8512,198,81,11427,163,40,232,4,8,453,562,240,1558,33,27,2430,12687,3132,17443,330,160,33743,6232,968,3529,41,5,10774,4416,1105,4357,69,7,9952,1417,772,8172,213,20,10598,72,177,386,0,0,636,27,32,159,0,0,217,341,125,876,40,9,1387,44,62,181,5,3,296,6,0,27,0,0,40,1906,1166,9807,260,30,13171,134,56
LGA11570,27587,3007,2981,83,46,33699,21439,5184,5456,54,62,32206,5721,2532,9180,201,79,17717,2820,1455,3193,0,9,7473,166,251,388,0,0,800,2304,678,1282,71,19,4355,404,119,255,42,8,828,81,32,102,0,0,216,11497,5066,14402,315,117,31394,910,221,361,18,4,1513,3782,1054,2964,110,11,7921,65218,14534,26165,576,246,106729,25912,3483,3095,90,40,32624,20289,6374,5178,97,78,32021,6596,3264,12332,279,123,22598,2442,2015,3329,3,10,7799,161,265,383,0,4,816,2408,755,1435,70,49,4715,470,130,270,19,8,898,76,35,79,3,3,190,12148,6466,17829,374,190,37018,942,283,456,17,16,1723,4095,1308,3080,93,88,8665,63387,17914,29649,677,423,112048,25858,3898,3644,80,17,33505,21515,6601,6900,102,35,35154,8788,3822,15500,277,97,28487,2319,1963,3273,0,12,7566,276,554,847,3,10,1686,2983,822,1714,72,41,5626,705,162,415,20,14,1323,94,48,119,10,6,274,15173,7367,21870,373,172,44960,1020,296
LGA11600,410,0,0,25,0,434,214,0,0,4,0,221,9,0,0,0,0,12,10,0,4,0,0,14,3,0,8,0,0,12,89,7,4,3,0,100,42,0,12,18,0,71,3,0,0,0,0,3,156,7,30,21,0,212,99,0,0,5,0,102,51,0,0,7,0,62,930,7,32,62,0,1024,385,0,0,13,3,399,183,0,0,5,0,187,18,0,8,0,0,30,12,0,0,0,0,12,7,0,6,0,0,10,101,0,4,0,4,109,41,0,8,6,0,62,0,0,0,0,0,4,182,0,20,11,0,224,118,0,0,0,0,121,93,0,8,45,0,143,957,0,33,72,10,1070,369,0,0,18,5,387,193,0,0,0,0,202,36,0,0,0,0,42,8,0,4,0,0,14,9,0,5,0,0,7,114,0,6,0,0,126,75,0,9,11,6,104,4,0,0,0,0,4,241,0,20,15,9,297,101,0
LGA11650,33776,4470,1959,707,17,40937,37219,2193,878,66,37,40394,12387,3463,3060,119,52,19073,1407,1177,930,4,0,3519,181,198,222,0,0,609,4499,705,507,81,20,5806,498,90,67,345,0,998,89,59,36,12,5,202,19060,5687,4822,554,82,30209,1115,780,400,33,7,2331,4541,1105,987,278,23,6931,95718,14229,9051,1648,160,120799,34673,5139,2152,376,120,42460,37963,2066,1131,120,57,41342,13013,3549,3540,345,137,20587,1230,1332,797,9,12,3377,139,264,181,0,9,597,4054,654,533,90,43,5374,523,97,58,174,31,878,104,50,28,5,0,189,19056,5950,5141,621,236,31000,1059,1081,356,31,30,2561,5586,1547,1152,460,160,8903,98332,15785,9929,1607,604,126265,37951,5093,2570,372,57,46044,40724,2494,1709,64,38,45024,16117,3815,4689,313,87,25025,1247,1312,789,5,14,3358,362,380,371,5,3,1117,4340,658,664,66,33,5760,676,146,63,137,16,1033,120,45,44,29,0,232,22858,6352,6612,547,154,36531,1282,1521
LGA11700,247,0,11,52,25,334,73,0,0,3,0,81,0,0,0,0,0,6,74,0,3,0,12,90,30,0,0,0,0,36,32,0,0,6,0,37,49,0,12,16,5,85,3,0,0,0,0,3,187,0,20,23,19,257,89,0,11,12,3,108,72,0,0,16,3,94,669,0,40,104,56,873,242,0,0,0,5,255,51,0,0,0,4,54,4,0,0,0,0,8,70,3,8,0,0,82,40,0,0,0,0,36,27,0,0,0,0,25,43,3,3,0,0,50,7,0,0,0,0,8,180,14,7,3,0,205,59,5,0,0,0,67,114,11,5,10,10,145,645,24,17,19,17,726,207,0,0,20,39,273,44,0,0,0,4,49,6,0,0,0,0,7,65,12,3,0,3,78,52,4,0,0,0,53,27,0,0,0,6,35,52,7,0,15,9,81,0,0,0,0,0,0,197,20,10,11,24,257,44,0
LGA11720,6180,130,57,36,3,6404,6544,50,31,14,4,6645,2019,437,231,4,3,2697,392,66,145,0,0,605,19,32,5,0,0,51,711,38,29,4,0,794,81,34,0,21,0,132,17,5,6,0,0,24,3248,601,418,32,4,4296,264,35,4,6,0,309,986,76,55,27,8,1156,17219,897,573,114,15,18811,6133,244,9,19,30,6434,6738,80,13,11,30,6865,2585,701,156,16,25,3476,337,174,71,0,0,587,10,33,0,0,0,39,775,66,23,10,7,876,76,22,0,0,0,105,18,3,0,0,0,28,3807,1000,250,24,39,5123,253,41,5,0,3,299,1411,202,52,29,40,1728,18336,1566,324,80,142,20446,6859,279,16,38,24,7222,8525,186,27,7,13,8756,3365,850,165,8,7,4403,320,158,37,0,0,524,62,64,7,0,0,132,860,77,25,3,0,968,111,15,6,0,9,140,23,14,3,0,0,38,4741,1180,245,15,16,6204,249,61
LGA11730,7752,257,223,490,4,8724,5224,80,72,60,0,5430,1686,259,512,18,5,2479,261,38,89,0,0,398,107,25,25,0,4,158,996,97,162,29,0,1285,113,6,31,96,0,243,30,0,4,0,0,43,3195,433,820,146,14,4606,331,12,27,27,5,403,736,49,82,291,3,1172,17235,827,1225,1015,27,20338,7818,314,207,733,65,9137,5059,86,62,76,30,5314,1790,355,442,28,16,2631,212,66,68,0,5,349,91,67,16,3,0,177,1006,110,145,27,12,1301,117,22,13,122,4,284,30,13,6,0,0,48,3242,637,688,184,41,4786,327,21,11,35,19,413,1427,110,144,236,23,1947,17872,1174,1114,1263,177,21596,8764,352,175,570,48,9911,5500,156,52,73,9,5798,1844,470,465,27,16,2819,202,58,41,0,0,305,85,113,24,0,0,224,1138,135,135,31,12,1461,149,23,29,137,17,354,30,19,5,5,0,54,3450,823,702,192,46,5215,288,22
LGA11750,531,0,0,52,20,607,439,0,0,0,0,441,145,10,52,0,0,211,72,0,8,0,0,84,14,3,10,0,0,26,64,0,9,13,0,83,147,4,39,10,0,202,3,0,8,0,0,12,448,17,121,28,0,616,66,0,0,8,0,74,126,0,12,25,0,163,1609,19,137,114,22,1903,515,0,4,63,0,578,409,0,3,5,0,416,155,11,44,0,0,208,63,3,0,0,0,63,9,0,11,0,0,21,54,0,7,0,0,70,133,8,28,4,0,182,0,0,3,0,0,6,418,24,101,11,0,551,56,0,4,7,0,73,208,3,39,7,7,265,1613,31,142,96,5,1885,506,0,0,24,5,534,376,0,0,7,3,392,115,27,20,3,0,166,48,6,9,0,0,69,18,4,7,0,0,27,81,0,9,6,0,99,87,16,25,9,3,137,3,0,0,0,0,5,353,52,75,12,3,506,51,5
LGA11800,7781,697,411,850,0,9741,6892,399,224,36,0,7547,2480,918,1110,20,4,4529,534,263,262,0,0,1063,76,60,64,4,0,200,1183,241,258,50,0,1736,130,29,34,201,0,394,29,13,15,4,0,55,4427,1522,1744,280,7,7981,333,132,70,48,4,586,895,180,259,102,0,1439,20333,2933,2705,1322,10,27302,8139,878,492,705,97,10309,6995,457,270,40,52,7803,2400,1057,1238,17,53,4768,487,296,252,0,0,1043,64,79,30,0,0,170,1107,247,226,33,27,1647,125,31,24,147,23,345,33,9,9,0,0,56,4211,1718,1791,200,114,8033,335,104,55,33,21,542,1367,398,379,266,77,2481,21042,3556,2976,1242,352,29169,9380,906,628,515,64,11494,7911,573,334,36,8,8863,2753,1135,1381,20,25,5314,368,218,201,3,0,788,208,135,126,0,0,463,1300,280,290,29,20,1918,196,41,38,136,27,438,36,17,14,5,3,73,4860,1832,2039,187,75,8993,327,185
LGA12000,667,0,16,14,0,693,473,0,0,3,0,484,32,0,0,0,0,37,9,0,6,0,0,13,0,0,8,0,0,6,118,0,3,3,0,127,12,0,4,0,0,15,0,0,4,0,0,5,181,4,25,5,0,211,47,0,3,0,0,55,89,0,13,5,0,101,1457,6,56,23,0,1542,659,0,5,3,10,678,462,0,0,0,5,466,73,0,3,0,0,80,5,0,11,0,0,16,0,0,0,0,0,0,104,0,0,0,3,108,15,0,0,0,0,16,3,0,0,0,0,4,199,0,14,0,5,225,68,0,0,0,0,68,173,0,9,4,0,190,1562,4,30,13,13,1629,741,8,6,4,6,762,538,3,0,0,0,544,89,5,4,0,0,103,4,0,3,0,0,8,8,3,0,0,0,9,111,4,0,0,0,117,25,0,0,3,0,26,6,0,0,0,0,6,244,10,10,3,0,268,65,0
LGA12150,638,9,0,16,0,668,323,4,0,6,0,330,57,0,3,0,0,70,71,4,4,0,0,81,30,0,6,0,0,45,105,0,18,5,0,122,42,4,10,0,0,63,0,0,0,0,0,10,315,20,37,13,0,382,110,4,0,3,0,115,110,0,0,7,0,123,1495,34,41,37,4,1614,539,3,8,23,9,577,297,0,0,3,4,305,45,0,6,0,0,56,71,0,5,0,0,76,25,0,0,0,0,32,103,3,14,5,0,122,30,0,16,3,0,55,5,0,4,0,0,10,283,5,41,3,4,342,94,0,3,0,0,94,264,0,15,35,3,318,1480,15,73,63,14,1642,508,0,4,3,6,517,294,4,0,0,0,297,65,0,14,0,0,77,82,5,11,0,0,99,31,5,4,0,0,38,116,0,3,0,0,127,46,13,5,0,3,63,3,0,0,0,0,6,341,21,37,0,7,408,70,0
LGA12160,1922,28,35,30,0,2008,1201,3,3,6,0,1212,237,11,82,7,0,341,165,0,27,0,0,183,0,0,0,0,0,0,190,5,26,10,0,233,42,0,9,7,0,59,3,0,0,0,0,3,638,22,137,25,0,830,162,3,0,11,0,177,208,8,22,3,0,238,4120,64,206,74,5,4468,1878,36,12,40,11,1977,1153,8,0,7,3,1172,288,62,42,12,5,408,159,4,8,0,0,173,0,3,0,0,0,3,226,7,15,11,4,261,37,0,7,0,0,47,6,0,0,0,0,6,720,86,68,19,7,904,136,16,0,3,0,166,338,12,8,21,0,389,4226,160,99,98,30,4605,2087,33,16,13,3,2157,1122,14,9,4,5,1148,316,100,36,4,0,457,151,7,19,0,0,177,0,0,0,0,0,0,248,27,4,8,3,288,66,4,3,0,0,74,5,6,0,0,0,7,777,142,67,13,3,1004,143,26
