LGA_CODE_2021,C21_P_35_39_Tot_LF,C21_P_35_39_Not_LF,C21_P_35_39_LF_NS,C21_P_35_39_Tot,C21_P_40_44_Em_FT,C21_P_40_44_Em_PT,C21_P_40_44_Em_AFW,C21_P_40_44_Em_Hrs_NS,C21_P_40_44_Em_Tot,C21_P_40_44_Unem_Look_FT,C21_P_40_44_Unem_Look_PT,C21_P_40_44_Unem_Tot,C21_P_40_44_Tot_LF,C21_P_40_44_Not_LF,C21_P_40_44_LF_NS,C21_P_40_44_Tot,C21_P_45_49_Em_FT,C21_P_45_49_Em_PT,C21_P_45_49_Em_AFW,C21_P_45_49_Em_Hrs_NS,C21_P_45_49_Em_Tot,C21_P_45_49_Unem_Look_FT,C21_P_45_49_Unem_Look_PT,C21_P_45_49_Unem_Tot,C21_P_45_49_Tot_LF,C21_P_45_49_Not_LF,C21_P_45_49_LF_NS,C21_P_45_49_Tot,C21_P_50_54_Em_FT,C21_P_50_54_Em_PT,C21_P_50_54_Em_AFW,C21_P_50_54_Em_Hrs_NS,C21_P_50_54_Em_Tot,C21_P_50_54_Unem_Look_FT,C21_P_50_54_Unem_Look_PT,C21_P_50_54_Unem_Tot,C21_P_50_54_Tot_LF,C21_P_50_54_Not_LF,C21_P_50_54_LF_NS,C21_P_50_54_Tot,C21_P_55_59_Em_FT,C21_P_55_59_Em_PT,C21_P_55_59_Em_AFW,C21_P_55_59_Em_Hrs_NS,C21_P_55_59_Em_Tot,C21_P_55_59_Unem_Look_FT,C21_P_55_59_Unem_Look_PT,C21_P_55_59_Unem_Tot,C21_P_55_59_Tot_LF,C21_P_55_59_Not_LF,C21_P_55_59_LF_NS,C21_P_55_59_Tot,C21_P_60_64_Em_FT,C21_P_60_64_Em_PT,C21_P_60_64_Em_AFW,C21_P_60_64_Em_Hrs_NS,C21_P_60_64_Em_Tot,C21_P_60_64_Unem_Look_FT,C21_P_60_64_Unem_Look_PT,C21_P_60_64_Unem_Tot,C21_P_60_64_Tot_LF,C21_P_60_64_Not_LF,C21_P_60_64_LF_NS,C21_P_60_64_Tot,C21_P_65_69_Em_FT,C21_P_65_69_Em_PT,C21_P_65_69_Em_AFW,C21_P_65_69_Em_Hrs_NS,C21_P_65_69_Em_Tot,C21_P_65_69_Unem_Look_FT,C21_P_65_69_Unem_Look_PT,C21_P_65_69_Unem_Tot,C21_P_65_69_Tot_LF,C21_P_65_69_Not_LF,C21_P_65_69_LF_NS,C21_P_65_69_Tot,C21_P_70_74_Em_FT,C21_P_70_74_Em_PT,C21_P_70_74_Em_AFW,C21_P_70_74_Em_Hrs_NS,C21_P_70_74_Em_Tot,C21_P_70_74_Unem_Look_FT,C21_P_70_74_Unem_Look_PT,C21_P_70_74_Unem_Tot,C21_P_70_74_Tot_LF,C21_P_70_74_Not_LF,C21_P_70_74_LF_NS,C21_P_70_74_Tot,C21_P_75over_Emp_Wor_ft,C21_P_75over_Em_Work_pt,C21_P_75over_Em_Aw_fr_w,C21_P_75over_Emp_Hou_w_ns,C21_P_75over_Em_Tot,C21_P_75over_Unem_Lo_ft_w,C21_P_75over_Unem_Lo_pt_w,C21_P_75over_Unemp_Tot,C21_P_75over_Tot_lab_for,C21_P_75over_N_lab_forc,C21_P_75over_LF_NS,C21_P_75over_Tot,C21_P_Tot_Em_FT,C21_P_Tot_Em_PT,C21_P_Tot_Em_AFW,C21_P_Tot_Em_Hrs_NS,C21_P_Tot_Em_Tot,C21_P_Tot_Unem_Look_FT,C21_P_Tot_Unem_Look_PT,C21_P_Tot_Unem_Tot,C21_P_Tot_Tot_labo_for,C21_P_Tot_Not_LF,C21_P_Tot_LF_NS,C21_P_Tot_Tot
LGA10800,237,34,39,306,162,57,6,7,233,3,0,10,238,43,41,325,173,62,5,6,252,8,0,3,254,36,22,317,164,68,10,4,245,4,0,3,252,46,28,328,181,69,12,6,263,7,0,7,273,63,34,371,148,81,8,9,243,7,3,15,255,126,40,421,67,52,3,4,135,7,3,3,137,190,29,362,37,33,0,0,68,0,0,0,68,220,28,324,19,32,6,3,59,0,0,0,64,449,72,590,1607,772,94,71,2545,53,20,77,2623,1410,424,4458
LGA10850,314,57,20,391,206,87,15,6,304,8,0,8,317,51,20,383,254,110,17,6,377,13,6,15,392,46,29,462,269,109,22,3,409,7,0,12,415,81,46,544,244,104,21,10,376,16,3,22,395,97,46,538,193,110,12,0,315,9,4,12,325,198,45,572,91,80,12,5,193,3,0,5,196,251,29,476,48,31,8,0,82,0,0,0,82,285,31,400,32,31,0,6,64,0,0,0,64,502,69,638,2171,1098,161,67,3503,105,57,159,3658,1893,424,5977
LGA10900,3827,697,154,4678,2441,1232,304,39,4018,61,34,95,4108,651,146,4905,2803,1302,309,32,4447,82,35,119,4567,733,189,5489,2700,1311,316,37,4358,70,38,115,4474,848,152,5472,2293,1314,335,32,3977,71,35,108,4083,1175,141,5408,1557,1261,331,22,3167,91,76,161,3334,2318,151,5794,607,837,202,12,1663,24,38,61,1726,3652,162,5533,200,400,67,5,674,0,15,16,694,4137,153,4984,64,181,36,11,289,0,8,8,298,6255,463,7021,19204,12816,3928,343,36295,771,685,1456,37749,24528,2215,64491
LGA10950,95,14,8,119,53,14,0,0,77,4,0,0,78,10,7,103,97,26,0,0,127,0,0,0,127,17,14,160,99,28,3,0,137,3,0,4,138,23,14,174,109,24,3,3,136,0,6,6,138,26,19,188,64,28,3,0,88,0,0,0,88,34,14,132,30,16,0,0,56,0,0,0,54,39,15,109,13,21,0,0,33,0,0,0,33,73,12,112,18,6,3,5,33,0,0,0,33,200,41,278,836,287,45,30,1199,31,10,40,1241,566,184,1988
LGA11150,105,19,28,148,52,14,0,0,72,0,0,0,80,19,26,122,64,12,0,6,85,4,0,4,84,21,20,128,103,6,0,4,115,0,0,0,113,27,34,173,88,18,0,0,108,0,0,5,110,22,21,164,60,19,3,0,95,0,0,3,98,32,27,158,25,13,0,3,38,0,0,3,41,43,15,102,15,14,0,3,40,0,0,0,40,57,16,110,5,6,4,5,21,0,0,0,21,94,27,141,705,207,37,40,992,21,7,27,1016,473,331,1820
LGA11200,49,24,11,78,16,12,0,0,30,0,0,0,30,12,10,49,21,10,4,0,32,0,0,3,30,22,9,63,40,14,0,0,57,4,0,4,56,24,22,104,36,7,0,0,49,0,3,4,52,43,18,109,32,7,3,6,49,0,0,0,48,33,16,100,25,3,0,4,30,0,0,0,30,38,17,84,10,3,0,0,10,0,0,0,10,38,0,49,4,5,0,0,4,0,0,0,6,49,14,69,302,108,18,22,446,17,19,34,481,413,184,1080
LGA11250,722,182,81,989,411,146,30,12,608,29,9,32,644,158,92,894,466,149,28,11,650,31,11,38,684,190,73,944,486,164,31,11,689,27,11,33,730,248,89,1066,498,217,41,18,781,24,12,41,821,325,72,1218,387,222,42,19,669,22,18,36,710,578,66,1348,150,109,26,6,291,3,13,16,301,817,70,1193,37,54,12,0,107,0,0,0,107,851,65,1023,12,22,0,4,38,0,0,0,38,1571,253,1862,4422,2178,407,165,7172,265,156,419,7586,5778,1222,14592
LGA11300,2083,593,186,2860,957,431,100,24,1515,48,23,75,1587,446,107,2141,955,432,126,25,1538,60,25,86,1624,525,108,2257,934,402,147,20,1507,50,20,71,1576,564,98,2245,750,382,129,19,1282,46,26,76,1354,696,83,2137,496,337,104,20,958,44,37,79,1030,829,106,1970,208,166,52,9,432,6,16,26,463,1084,63,1600,52,75,20,5,152,0,3,4,154,1191,80,1424,18,55,20,0,95,0,0,5,97,2589,450,3137,9734,6533,2047,452,18768,717,716,1433,20193,12977,2240,35414
LGA11350,1963,390,297,2649,832,849,85,33,1795,38,30,68,1867,368,266,2500,975,854,79,28,1943,52,48,97,2040,380,274,2695,839,793,74,42,1743,41,40,84,1825,441,240,2506,739,745,81,15,1584,34,34,68,1652,614,234,2494,485,731,81,23,1312,37,41,74,1390,1067,247,2700,222,484,49,4,761,0,18,22,784,1557,218,2558,71,234,18,11,329,0,10,10,337,1418,165,1925,34,91,10,4,139,0,0,0,140,1852,225,2221,6949,8455,947,378,16724,443,458,901,17631,9606,3064,30299
LGA11400,639,57,65,762,438,188,12,9,645,5,6,10,654,71,56,780,548,186,19,14,765,9,8,23,782,63,72,916,499,190,23,5,722,9,8,15,740,117,59,911,467,243,19,11,740,11,5,10,753,173,63,993,354,219,29,10,617,6,9,13,630,301,67,996,157,144,18,13,322,3,7,4,331,441,46,822,83,99,7,5,186,0,5,5,192,605,58,857,63,81,3,11,150,0,0,0,152,1004,140,1295,4002,2151,262,121,6525,90,80,174,6701,3462,806,10970
LGA11450,8670,1383,361,10410,4522,1753,507,101,6880,140,53,193,7071,1061,289,8423,4351,1548,471,54,6431,124,50,174,6605,1035,217,7853,3381,1275,412,70,5139,81,37,120,5259,985,184,6429,2490,1112,393,51,4046,84,23,108,4158,1218,166,5538,1501,859,274,44,2678,60,32,92,2770,1869,148,4790,534,445,131,16,1131,12,19,32,1161,2608,134,3899,133,181,46,9,368,0,4,9,377,2778,142,3295,34,55,18,6,114,0,4,4,117,4133,395,4650,34924,16906,6635,1017,59482,1269,886,2153,61637,24362,3231,89228
LGA11500,10393,3135,889,14418,5233,2217,822,189,8472,308,119,432,8896,2572,706,12172,4675,1796,737,123,7333,257,99,353,7689,2375,629,10694,3949,1532,709,92,6288,245,95,333,6623,2484,487,9592,3823,1522,725,97,6159,187,93,281,6442,3060,529,10027,2621,1315,660,68,4664,155,95,246,4911,4157,407,9472,992,668,318,38,2011,40,36,77,2088,5650,364,8107,213,258,89,9,572,9,10,14,587,5704,416,6709,52,93,41,13,192,3,3,7,200,7288,1154,8643,40824,20533,9850,1579,72788,3054,1880,4936,77719,51411,8526,137653
LGA11520,6139,957,292,7390,3546,1168,311,76,5103,114,40,160,5264,766,256,6284,3407,1153,266,50,4876,125,41,162,5046,828,186,6059,2991,1134,286,48,4466,114,55,162,4623,871,178,5675,2483,1145,279,27,3941,101,44,145,4087,1217,167,5470,1480,940,250,23,2692,86,48,131,2820,1813,152,4782,638,662,163,20,1484,26,21,47,1530,2537,174,4241,237,337,87,10,673,3,16,25,689,2979,165,3830,83,172,45,13,313,0,4,5,319,5958,687,6960,28579,12958,4102,675,46315,1169,800,1965,48280,23338,3455,75074
LGA11570,17073,7792,2164,27026,8072,3955,1987,338,14353,603,289,894,15248,7118,1681,24045,8071,3655,1992,277,13996,552,261,810,14810,6915,1502,23222,7299,3401,1992,269,12957,549,254,804,13759,7308,1383,22450,6136,3148,2005,224,11509,480,264,751,12256,8351,1328,21938,3997,2456,1640,151,8241,353,319,670,8909,9961,1114,19985,1499,1262,691,68,3520,94,90,182,3703,11611,928,16245,374,468,212,32,1089,6,24,32,1119,11434,961,13514,100,199,100,22,428,3,9,16,438,22297,3148,25881,67758,39684,22640,3518,133597,6071,4274,10348,143939,131643,21938,297532
LGA11600,148,12,19,173,80,41,6,0,124,0,0,0,125,15,20,164,91,23,0,5,121,0,0,0,119,11,23,161,121,26,3,3,158,3,0,3,164,16,28,209,105,34,0,6,142,4,0,5,145,23,22,189,74,35,7,8,123,3,0,4,133,48,23,199,41,20,0,3,73,0,0,0,73,65,17,153,28,5,0,0,33,0,0,0,33,49,16,102,14,14,0,0,24,0,0,0,24,141,23,183,1029,343,49,44,1468,26,19,41,1514,507,282,2304
LGA11650,16697,3078,1009,20786,9467,4883,1229,224,15803,356,196,548,16354,3222,1000,20567,10385,4902,1256,211,16757,414,194,611,17363,3535,1047,21944,9962,5004,1312,241,16509,411,182,594,17108,4213,921,22238,8591,5022,1307,158,15084,385,225,606,15690,5821,969,22485,5457,4531,1205,105,11298,291,245,536,11830,9667,904,22398,1903,2406,629,63,5006,68,94,164,5163,14613,974,20754,497,995,205,35,1723,5,42,47,1768,17066,1098,19938,179,523,113,75,883,11,16,29,912,31035,4303,36250,79291,52926,16228,2398,150834,4246,3216,7463,158296,109849,16097,284248
LGA11700,32,36,16,89,30,11,0,3,44,0,0,0,47,26,21,91,33,11,4,0,46,0,3,3,51,39,20,111,42,9,0,0,54,0,0,0,54,36,19,110,28,13,6,0,47,5,0,5,56,34,33,120,41,11,0,0,55,4,0,3,58,43,21,122,29,12,0,0,42,0,0,0,41,54,23,121,10,3,0,0,16,0,0,0,16,69,18,100,15,8,0,0,23,0,0,0,23,89,17,129,368,113,13,12,510,16,18,40,544,577,294,1420
LGA11720,3190,848,160,4195,1676,766,141,40,2625,76,33,114,2734,776,181,3695,1676,839,140,46,2703,87,34,118,2820,798,157,3777,1683,832,178,37,2735,71,44,114,2848,945,182,3970,1312,725,179,36,2249,72,38,106,2359,1179,162,3703,854,666,148,28,1697,44,53,98,1795,1963,173,3936,291,334,69,22,709,12,11,24,731,2609,159,3494,84,139,24,11,257,0,4,6,260,2657,171,3081,32,78,12,12,122,0,3,3,127,3754,369,4253,15427,9174,2024,486,27120,919,678,1595,28714,19546,2544,50801
LGA11730,1827,666,211,2704,1079,647,74,45,1842,63,28,90,1937,535,223,2698,1335,655,86,35,2108,71,43,117,2219,680,225,3129,1357,749,104,35,2248,53,43,93,2341,835,219,3394,1309,873,113,39,2334,82,51,131,2473,1243,264,3976,947,875,118,33,1971,71,63,138,2115,2069,250,4436,382,449,55,14,906,16,18,30,936,3167,241,4352,119,203,16,14,354,0,3,3,360,3399,243,4005,66,103,13,20,197,0,0,7,198,5676,603,6475,10608,7734,989,447,19770,761,545,1302,21077,21170,3218,45462
LGA11750,205,30,58,290,133,23,4,0,164,4,0,3,169,20,30,224,129,28,12,5,168,0,0,0,165,26,31,221,114,33,9,3,159,0,0,5,162,18,36,219,130,45,10,0,183,0,0,0,185,50,39,275,115,49,13,7,175,3,5,4,186,63,35,280,49,31,7,0,83,0,0,0,86,110,29,221,13,15,0,0,27,0,0,0,27,113,31,174,6,8,0,0,23,0,0,0,23,213,53,284,1265,426,108,50,1844,38,22,61,1901,817,502,3227
LGA11800,3776,663,299,4738,2115,1165,121,58,3465,93,68,163,3625,617,291,4535,2436,1218,117,58,3825,103,59,165,3988,623,273,4889,2261,1223,123,49,3655,103,57,159,3809,849,277,4933,1831,1283,183,45,3342,95,63,153,3498,1298,273,5064,1311,1325,158,41,2834,72,94,163,2995,2267,254,5518,489,731,88,20,1324,17,25,40,1371,3770,234,5376,122,302,27,15,459,0,4,4,469,4086,252,4810,46,107,8,14,181,0,5,4,185,6922,930,8044,18067,13763,1586,642,34050,1029,886,1911,35969,24626,4208,64798
LGA12000,173,19,12,207,133,46,5,0,188,0,3,3,195,32,15,236,136,46,7,6,194,3,7,6,199,32,20,245,160,54,3,7,220,4,0,5,222,49,13,286,140,62,4,9,215,0,0,0,218,60,13,290,104,54,3,6,176,12,5,12,187,100,19,307,65,38,9,0,104,0,0,3,111,174,18,296,18,26,0,0,43,0,0,0,45,204,24,270,20,22,0,3,51,0,0,0,51,375,40,468,1267,610,68,36,1982,37,31,71,2052,1253,218,3522
LGA12150,155,31,44,233,62,26,3,3,97,6,3,7,103,34,26,164,83,25,9,0,117,3,6,5,123,47,19,192,113,33,3,5,158,6,0,5,168,46,27,248,97,44,8,0,143,12,4,13,161,70,38,265,88,38,7,5,136,3,5,5,143,80,24,247,62,27,5,3,94,0,0,0,97,102,25,219,18,16,0,0,32,0,0,3,34,124,26,189,11,11,0,3,27,0,0,0,27,242,50,321,890,399,54,43,1386,67,32,99,1487,1027,407,2916
LGA12160,427,66,45,541,244,143,16,9,415,6,4,7,426,79,48,553,310,132,22,12,469,7,4,17,488,112,58,661,322,128,7,8,463,13,4,14,482,128,40,645,312,176,29,9,523,9,9,14,542,187,61,784,259,162,23,9,456,9,9,17,477,362,49,894,96,104,20,4,226,4,5,8,231,615,64,911,41,48,3,14,103,0,0,0,104,670,73,851,33,45,8,6,91,0,0,0,93,1252,123,1463,2646,1513,216,128,4497,116,75,189,4685,4004,740,9429
LGA12350,459,79,54,596,285,127,15,14,445,14,4,24,463,103,48,608,356,138,20,10,521,14,5,21,541,121,59,722,375,168,13,3,567,13,4,13,581,186,75,838,334,173,16,18,541,13,15,29,565,261,53,880,254,165,21,0,446,6,4,12,458,365,57,876,152,116,19,8,291,3,0,3,295,550,65,911,48,63,4,5,121,0,0,0,123,759,79,958,43,57,6,14,111,0,0,0,120,1271,135,1515,3060,1764,222,118,5158,168,116,277,5443,4255,868,10563
LGA12380,12742,5619,1763,20123,5902,2258,1011,245,9411,448,174,626,10039,4663,1261,15958,4549,1797,941,187,7474,381,135,515,7988,4280,1015,13285,3909,1644,882,183,6613,346,163,503,7120,4657,937,12713,3523,1498,908,153,6079,309,144,450,6528,4922,852,12308,2231,1254,680,92,4256,229,155,379,4636,5506,712,10858,885,648,303,39,1876,55,48,105,1981,6313,589,8887,233,220,100,20,572,7,12,18,591,6167,488,7244,47,84,35,15,180,0,6,6,188,10815,1245,12245,45769,26119,11261,2885,86028,4741,3074,7816,93846,79389,15314,188553
LGA12390,2758,493,310,3564,1678,578,59,38,2352,50,19,66,2416,393,298,3104,1656,486,67,35,2246,54,15,72,2311,461,272,3049,1722,575,63,43,2398,52,18,70,2472,479,279,3230,1568,566,99,28,2258,41,16,56,2314,602,254,3176,1176,631,84,31,1913,36,30,67,1985,1052,214,3251,471,397,62,9,940,8,16,29,969,1574,208,2758,197,180,18,12,405,0,12,9,415,1806,194,2410,100,137,11,13,266,0,0,0,265,3583,465,4314,16359,7447,1063,511,25386,579,370,946,26334,13227,3848,43414
LGA12700,464,88,32,585,269,123,13,6,410,7,0,5,422,79,32,531,291,144,15,15,470,4,3,13,485,83,20,588,304,174,24,13,522,9,4,11,531,98,26,655,308,175,29,9,517,13,0,9,528,205,23,759,200,187,33,4,424,10,5,19,446,295,32,771,85,101,10,5,210,0,6,4,209,456,28,697,22,42,15,9,84,0,0,0,89,447,20,556,25,40,6,0,71,0,0,0,71,711,62,849,2488,1548,261,103,4403,93,58,153,4558,2863,356,7769
LGA12730,334,52,37,419,215,88,8,9,321,9,4,16,334,42,48,424,278,77,20,10,377,6,0,9,390,62,47,499,286,102,7,0,395,8,3,8,407,82,40,528,269,137,15,9,425,6,3,14,443,103,53,594,215,152,16,6,386,7,6,12,402,213,60,671,116,91,10,4,220,0,0,0,224,349,39,606,46,57,9,3,112,0,0,0,110,377,35,531,27,35,5,3,69,0,0,0,66,786,109,965,2310,1236,153,82,3773,86,58,140,3918,2382,669,6972
LGA12750,1350,267,146,1761,752,490,66,27,1340,30,15,43,1380,258,148,1787,932,545,80,28,1587,43,11,55,1645,385,175,2203,1034,604,104,38,1777,47,18,67,1846,526,187,2562,925,797,127,38,1882,39,25,63,1946,901,232,3076,674,888,110,20,1685,18,43,58,1746,1873,232,3850,289,493,63,14,859,8,17,27,887,2925,244,4055,88,221,15,10,327,4,0,5,332,3204,237,3773,37,76,9,12,132,0,4,4,132,4883,476,5494,7501,6360,893,350,15097,359,290,646,15744,16614,2617,34972
