LGA_CODE_2021,C16_F_a_4_8_FH_One_PFam,C16_F_a_4_8_FH_oth_fa,C16_F_a_4_8_FH_Tot,C16_F_a_4_8_LP_H,C16_F_a_4_8_GH,C16_F_a_4_8_OH,C16_F_a_4_8_Tot,C16_F_a_9m_FH_CF_no_ch,C16_F_a_9m_FH_CF_w_ch,C16_F_a_9m_FH_One_PFam,C16_F_a_9m_FH_oth_fa,C16_F_a_9m_FH_Tot,C16_F_a_9m_LP_H,C16_F_a_9m_GH,C16_F_a_9m_OH,C16_F_a_9m_Tot,C16_F_a_a_h_FH_CF_no_ch,C16_F_a_a_h_FH_CF_w_ch,C16_F_a_a_h_FH_One_PFam,C16_F_a_a_h_FH_oth_fa,C16_F_a_a_h_FH_Tot,C16_F_a_a_h_LP_H,C16_F_a_a_h_GH,C16_F_a_a_h_OH,C16_F_a_a_h_Tot,C16_F_a_Tot_FH_CF_no_ch,C16_F_a_Tot_FH_CF_w_ch,C16_F_a_Tot_FH_One_PFam,C16_F_a_Tot_FH_oth_fa,C16_F_a_Tot_FH_Tot,C16_F_a_Tot_LP_H,C16_F_a_Tot_GH,C16_F_a_Tot_OH,C16_F_a_Tot_Tot,C16_OD_C_c_hb_FH_CF_no_ch,C16_OD_C_c_hb_FH_CF_w_ch,C16_OD_C_c_hb_FH_One_PFam,C16_OD_C_c_hb_FH_oth_fa,C16_OD_C_c_hb_FH_Tot,C16_OD_C_c_hb_LP_H,C16_OD_C_c_hb_GH,C16_OD_C_c_hb_OH,C16_OD_C_c_hb_Tot,C16_OD_Ih_t_s_FH_CF_no_ch,C16_OD_Ih_t_s_FH_CF_w_ch,C16_OD_Ih_t_s_FH_One_PFam,C16_OD_Ih_t_s_FH_oth_fa,C16_OD_Ih_t_s_FH_Tot,C16_OD_Ih_t_s_LP_H,C16_OD_Ih_t_s_GH,C16_OD_Ih_t_s_OH,C16_OD_Ih_t_s_Tot,C16_OD_H_f_so_FH_CF_no_ch,C16_OD_H_f_so_FH_CF_w_ch,C16_OD_H_f_so_FH_One_PFam,C16_OD_H_f_so_FH_oth_fa,C16_OD_H_f_so_FH_Tot,C16_OD_H_f_so_LP_H,C16_OD_H_f_so_GH,C16_OD_H_f_so_OH,C16_OD_H_f_so_Tot,C16_OD_Tot_FH_CF_no_ch,C16_OD_Tot_FH_CF_w_ch,C16_OD_Tot_FH_One_PFam,C16_OD_Tot_FH_oth_fa,C16_OD_Tot_FH_Tot,C16_OD_Tot_LP_H,C16_OD_Tot_GH,C16_OD_Tot_OH,C16_OD_Tot_Tot,C16_DS_ns_FH_CF_no_ch,C16_DS_ns_FH_CF_w_ch,C16_DS_ns_FH_One_PFam,C16_DS_ns_FH_oth_fa,C16_DS_ns_FH_Tot,C16_DS_ns_LP_H,C16_DS_ns_GH,C16_DS_ns_OH,C16_DS_NS_Tot,C16_Tot_FH_CF_no_ch,C16_Tot_FH_CF_w_ch,C16_Tot_FH_One_PFam,C16_Tot_FH_oth_fa,C16_Tot_FH_Tot,C16_Tot_LP_H,C16_Tot_GH,C16_Tot_OH,C16_Tot_Tot,C21_S_h_FH_CF_no_ch,C21_S_h_FH_CF_w_ch,C21_S_h_FH_One_PFam,C21_S_h_FH_oth_fa,C21_S_h_FH_Tot,C21_S_h_LP_H,C21_S_h_GH,C21_S_h_OH,C21_S_h_Tot,C21_SDRTHT1S_FH_CF_no_ch,C21_SDRTHT1S_FH_CF_w_ch,C21_SDRTHT1S_FH_One_PFam,C21_SDRTHT1S_FH_oth_fa,C21_SDRTHT1S_FH_Tot,C21_SDRTHT1S_LP_H,C21_SDRTHT1S_GH,C21_SDRTHT1S_OH,C21_SDRTHT1S_Tot,C21_SDRTHT2S_FH_CF_no_ch,C21_SDRTHT2S_FH_CF_w_ch,C21_SDRTHT2S_FH_One_PFam,C21_SDRTHT2S_FH_oth_fa,C21_SDRTHT2S_FH_Tot,C21_SDRTHT2S_LP_H,C21_SDRTHT2S_GH,C21_SDRTHT2S_OH,C21_SDRTHT2S_Tot,C21_SDRTHT_Tot_FH_CF_no_ch,C21_SDRTHT_Tot_FH_CF_w_ch,C21_SDRTHT_Tot_FH_One_PFam,C21_SDRTHT_Tot_FH_oth_fa,C21_SDRTHT_Tot_FH_Tot,C21_SDRTHT_Tot_LP_H,C21_SDRTHT_Tot_GH,C21_SDRTHT_Tot_OH,C21_SDRTHT_Tot_Tot,C21_F_a_1_2_FH_CF_no_ch,C21_F_a_1_2_FH_CF_w_ch,C21_F_a_1_2_FH_One_PFam,C21_F_a_1_2_FH_oth_fa,C21_F_a_1_2_FH_Tot,C21_F_a_1_2_LP_H,C21_F_a_1_2_GH,C21_F_a_1_2_OH,C21_F_a_1_2_Tot,C21_F_a_3_FH_CF_no_ch,C21_F_a_3_FH_CF_w_ch,C21_F_a_3_FH_One_PFam,C21_F_a_3_FH_oth_fa,C21_F_a_3_FH_Tot,C21_F_a_3_LP_H,C21_F_a_3_GH,C21_F_a_3_OH,C21_F_a_3_Tot,C21_F_a_4_8_FH_CF_no_ch,C21_F_a_4_8_FH_CF_w_ch,C21_F_a_4_8_FH_One_PFam,C21_F_a_4_8_FH_oth_fa,C21_F_a_4_8_FH_Tot,C21_F_a_4_8_LP_H,C21_F_a_4_8_GH,C21_F_a_4_8_OH,C21_F_a_4_8_Tot,C21_F_a_9m_FH_CF_no_ch,C21_F_a_9m_FH_CF_w_ch,C21_F_a_9m_FH_One_PFam,C21_F_a_9m_FH_oth_fa,C21_F_a_9m_FH_Tot,C21_F_a_9m_LP_H,C21_F_a_9m_GH,C21_F_a_9m_OH,C21_F_a_9m_Tot,C21_F_a_a_h_FH_CF_no_ch,C21_F_a_a_h_FH_CF_w_ch,C21_F_a_a_h_FH_One_PFam,C21_F_a_a_h_FH_oth_fa,C21_F_a_a_h_FH_Tot,C21_F_a_a_h_LP_H,C21_F_a_a_h_GH,C21_F_a_a_h_OH,C21_F_a_a_h_Tot,C21_F_a_Tot_FH_CF_no_ch,C21_F_a_Tot_FH_CF_w_ch,C21_F_a_Tot_FH_One_PFam,C21_F_a_Tot_FH_oth_fa,C21_F_a_Tot_FH_Tot,C21_F_a_Tot_LP_H,C21_F_a_Tot_GH,C21_F_a_Tot_OH,C21_F_a_Tot_Tot,C21_OD_C_c_hb_FH_CF_no_ch,C21_OD_C_c_hb_FH_CF_w_ch,C21_OD_C_c_hb_FH_One_PFam,C21_OD_C_c_hb_FH_oth_fa,C21_OD_C_c_hb_FH_Tot,C21_OD_C_c_hb_LP_H,C21_OD_C_c_hb_GH,C21_OD_C_c_hb_OH,C21_OD_C_c_hb_Tot,C21_OD_Ih_t_s_FH_CF_no_ch,C21_OD_Ih_t_s_FH_CF_w_ch,C21_OD_Ih_t_s_FH_One_PFam,C21_OD_Ih_t_s_FH_oth_fa,C21_OD_Ih_t_s_FH_Tot,C21_OD_Ih_t_s_LP_H,C21_OD_Ih_t_s_GH,C21_OD_Ih_t_s_OH,C21_OD_Ih_t_s_Tot,C21_OD_H_f_so_FH_CF_no_ch,C21_OD_H_f_so_FH_CF_w_ch,C21_OD_H_f_so_FH_One_PFam,C21_OD_H_f_so_FH_oth_fa
LGA10800,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,4,0,4,56,0,15,74,0,0,0,0,0,3,0,10,15,0,0,0,0,0,0,0,0,0,3,0,0,0,8,7,0,3,12,6,0,0,0,6,7,0,14,30,6,10,3,0,21,13,0,22,54,689,559,224,16,1490,667,27,276,2460,635,527,192,10,1368,567,30,220,2181,18,4,6,0,29,54,5,11,97,0,0,0,0,0,0,0,0,0,18,4,6,0,29,54,5,11,97,3,8,0,0,10,24,4,11,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,0,0,8,24,4,12,51,3,0,0,0,3,9,0,37,52,0,0,0,0,3,0,0,0,4,0,3,0,0
LGA10850,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,6,0,3,0,9,49,0,16,68,0,0,0,0,0,6,0,5,13,0,0,0,0,3,0,0,0,3,9,5,0,0,12,4,0,3,23,15,9,0,0,24,11,0,12,43,0,0,0,0,3,32,0,0,30,786,801,287,23,1901,709,46,176,2838,819,815,292,29,1959,628,43,187,2816,6,5,0,5,23,50,0,5,77,4,0,0,0,4,7,0,0,8,8,5,0,5,22,61,0,5,91,3,0,3,0,5,19,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,19,0,0,27,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,5,4,0,0
LGA10900,0,0,0,3,0,4,11,..,..,..,..,..,..,..,..,..,0,0,0,0,3,9,0,0,10,66,19,48,11,145,400,38,56,640,5,0,0,0,5,5,0,34,40,0,0,0,0,3,5,0,24,26,5,6,0,0,14,16,0,6,43,12,5,0,0,26,22,0,58,110,31,15,4,0,54,54,7,11,121,8012,9090,3073,220,20395,7384,851,1364,29992,8672,8947,2957,194,20771,6667,686,894,29025,152,46,90,3,289,473,19,41,827,105,58,79,3,248,297,16,29,584,258,102,169,7,532,774,34,68,1414,63,31,37,3,135,434,12,38,620,35,11,20,0,66,125,6,15,219,3,0,5,0,8,27,0,0,32,0,0,0,0,0,0,0,0,0,36,25,15,0,80,50,3,10,143,142,66,71,4,286,628,25,66,1013,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,5,8,0,7,0
LGA10950,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,3,3,0,0,5,22,0,6,31,0,0,0,0,4,0,0,40,45,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,0,10,0,0,0,0,3,5,0,44,56,4,0,0,0,11,3,0,5,16,275,266,104,12,648,297,18,139,1105,244,253,86,16,602,222,17,90,931,7,0,5,0,11,38,0,6,49,0,0,0,0,0,5,0,4,4,7,0,5,0,11,36,0,7,60,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,3,0,0,3,0,0,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11150,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,4,0,3,0,8,25,0,5,38,3,0,0,0,3,9,0,90,110,0,0,0,0,0,0,0,7,10,5,0,0,0,6,0,0,0,10,10,0,0,0,12,14,0,104,126,7,4,3,0,8,4,0,8,19,199,214,121,12,552,266,15,303,1133,173,212,94,17,493,212,12,147,872,0,0,0,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,8,0,0,0,0,0,10,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,17,3,0,0,0,3,7,0,32,38,0,0,0,0,0,0,0,0,8,0,0,0,0
LGA11200,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,10,4,3,0,16,23,0,0,39,0,0,0,0,3,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,3,4,0,7,10,0,0,0,0,0,0,0,0,6,123,109,121,16,368,159,21,65,621,92,74,89,9,257,149,10,96,520,9,0,3,0,14,18,4,12,44,0,0,0,0,0,0,0,0,0,9,0,3,0,14,18,4,12,44,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,4,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,4,0,0,0,0
LGA11250,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,19,7,4,0,29,153,5,37,220,4,0,0,0,11,5,0,90,102,0,0,0,0,3,0,0,16,13,0,0,0,0,0,0,0,4,3,4,3,0,0,9,7,0,104,121,7,5,0,0,15,8,0,20,43,1888,1474,1020,79,4465,2534,181,556,7739,1848,1388,1018,80,4335,2413,157,564,7470,22,11,8,5,44,115,0,21,187,0,3,0,0,5,7,0,7,23,25,17,11,6,51,124,0,30,206,14,5,8,6,30,152,0,43,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,8,6,30,152,0,43,226,0,0,0,0,4,8,0,71,77,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11300,197,78,1369,541,514,222,2647,..,..,..,..,..,..,..,..,..,12,6,3,0,17,7,5,6,33,1316,1019,455,165,2950,1255,917,410,5536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,9,13,3,0,27,23,0,5,54,13,19,3,0,32,23,0,21,70,17,23,7,0,50,22,11,5,91,2762,3956,1242,286,8254,2399,1299,655,12614,1124,2085,573,81,3863,799,214,159,5033,162,237,70,14,480,188,40,23,733,320,597,164,29,1110,266,62,44,1487,481,836,239,34,1592,456,104,65,2213,162,113,71,30,373,254,97,60,789,495,296,144,111,1053,451,376,88,1970,538,335,161,68,1110,577,286,128,2105,704,362,183,55,1308,575,421,152,2456,10,8,14,0,34,14,0,0,55,1909,1121,577,272,3879,1871,1190,435,7370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,25,6,5,4
LGA11350,0,0,0,0,0,4,4,..,..,..,..,..,..,..,..,..,4,0,3,0,7,11,0,6,24,107,56,91,10,257,411,54,148,873,53,26,20,0,98,196,17,310,620,0,0,0,0,5,17,0,195,213,14,10,12,0,29,25,0,17,75,67,33,30,4,132,245,21,523,909,38,21,15,0,75,81,17,64,234,2903,2832,1506,91,7340,3133,899,2115,13483,2873,2932,1262,72,7139,2292,866,1175,11468,110,81,69,0,268,194,71,55,593,215,119,97,8,444,286,117,111,959,325,199,171,10,708,479,189,169,1545,100,41,57,3,202,314,45,97,655,16,7,8,4,31,47,5,25,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,20,12,0,70,54,9,11,149,153,69,77,10,304,416,59,135,911,55,12,17,0,83,170,14,157,420,9,0,0,0,3,7,0,35,51,16,0,11,0
LGA11400,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,7,0,3,0,17,57,5,0,76,0,4,0,0,3,18,0,11,30,0,0,0,0,0,0,0,0,7,6,4,3,0,10,16,0,0,31,3,8,4,0,16,28,0,12,62,9,9,0,0,19,3,0,0,25,1446,1589,402,33,3475,1138,77,307,4997,1546,1507,394,29,3475,1057,69,346,4949,13,7,5,0,23,29,0,7,70,0,0,0,0,0,3,0,0,10,13,10,5,0,32,39,0,9,78,11,0,0,0,13,40,0,10,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,15,39,0,10,63,7,0,0,0,7,6,0,18,29,0,0,0,0,0,0,0,0,4,48,59,15,3
LGA11450,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3,0,0,0,0,6,0,0,8,38,7,16,3,64,135,0,11,202,13,0,5,0,16,34,0,28,80,3,3,3,0,9,3,0,0,9,0,3,0,0,4,4,0,0,12,21,3,5,0,32,36,0,29,104,17,23,4,0,45,20,6,0,76,5874,11579,2760,215,20421,3297,363,944,25023,7952,17575,4070,284,29888,3970,541,867,35264,206,132,98,8,444,439,17,41,937,239,354,235,13,846,418,30,64,1362,450,481,337,17,1290,859,42,105,2293,41,10,24,3,76,136,0,6,223,0,0,0,0,0,0,0,0,0,5,0,6,0,9,23,0,0,35,0,0,0,0,0,0,0,0,0,26,37,15,0,78,38,0,4,120,64,50,38,4,161,205,6,10,379,31,8,10,0,46,93,0,17,160,0,0,0,0,0,0,0,0,0,3,0,0,0
LGA11500,79,10,484,278,51,63,865,..,..,..,..,..,..,..,..,..,4,8,0,0,11,10,0,0,21,579,320,248,27,1166,935,97,240,2441,0,3,0,0,3,0,0,0,7,0,4,0,0,6,7,0,8,20,10,17,11,0,42,15,10,15,81,15,24,14,0,49,25,7,27,112,33,21,8,0,69,46,0,16,126,10527,19935,8514,658,39637,9180,1164,2503,52483,9743,19932,7011,604,37290,6616,1001,1862,46767,655,935,671,64,2325,1485,109,236,4152,804,1260,978,72,3119,1544,123,455,5240,1461,2201,1650,134,5446,3027,231,688,9393,165,141,113,15,433,574,20,99,1119,124,42,38,8,217,265,13,27,527,418,263,180,25,891,605,77,95,1664,50,29,8,5,98,80,3,3,187,81,117,36,3,238,153,13,24,432,840,599,373,58,1872,1677,129,249,3927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0
LGA11520,641,181,6194,2187,1099,790,10277,..,..,..,..,..,..,..,..,..,4,3,0,0,8,12,3,6,23,5298,3318,1276,284,10181,4483,1609,1413,17689,4,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,108,50,28,7,188,71,42,32,331,105,56,28,7,192,71,42,32,336,39,30,12,0,89,59,10,10,165,8941,10653,2867,518,22982,7067,2055,2006,34107,3096,6115,1224,143,10573,1931,265,282,13052,269,400,116,17,793,258,27,20,1110,628,782,267,24,1694,475,59,91,2316,893,1184,379,37,2490,730,91,114,3425,924,607,321,48,1900,1262,146,166,3471,1009,648,294,55,2011,1160,188,124,3479,2399,1377,517,103,4397,2075,434,291,7196,1560,848,299,78,2785,1193,375,178,4530,22,25,5,4,57,33,4,7,101,5909,3519,1435,295,11148,5709,1149,764,18777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,62,41,10
LGA11570,580,99,3433,1171,343,500,5447,..,..,..,..,..,..,..,..,..,28,37,16,4,78,37,11,20,140,5646,8453,3554,540,18194,8019,1670,2333,30220,0,3,7,0,9,5,0,5,12,0,3,0,0,3,0,0,0,4,121,185,103,17,416,141,50,67,673,121,189,105,17,428,137,52,72,691,69,140,49,4,261,127,22,29,434,21012,45168,14915,1886,82983,21172,3587,5813,113550,13031,29517,9391,994,52929,9829,1636,3011,67401,773,1382,597,55,2808,1354,123,291,4579,2495,6253,2250,172,11174,2634,304,637,14746,3272,7639,2848,226,13985,3991,423,927,19325,2063,3003,1362,278,6700,4545,885,1174,13296,1847,2890,1511,223,6478,3348,574,829,11228,1907,2051,876,145,4981,2058,458,767,8268,671,687,252,53,1665,586,172,213,2642,191,336,133,20,678,237,47,69,1026,6683,8965,4127,719,20496,10770,2137,3056,36457,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,4,105,142,61,22
LGA11600,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,4,4,0,0,12,18,0,9,38,7,0,0,3,5,14,6,35,60,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,7,0,0,3,9,12,6,41,72,4,4,0,0,12,0,0,0,9,298,286,85,12,675,274,36,120,1112,257,271,91,13,630,252,25,132,1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,7,6,3,13,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,7,6,3,13,27,0,0,0,0,4,0,0,34,43,0,0,0,0,0,3,4,5,10,0,0,0,0
LGA11650,196,19,848,670,84,176,1780,..,..,..,..,..,..,..,..,..,14,6,8,0,27,43,4,4,74,2080,814,1059,99,4047,4776,435,845,10098,145,58,101,12,312,537,40,262,1158,4,11,3,0,16,13,0,175,203,51,61,43,3,152,63,8,39,267,202,124,145,10,484,608,55,476,1624,103,73,46,9,229,301,15,64,615,32096,35962,16125,1196,85383,31955,3712,6143,127189,28924,34716,14186,922,78751,21660,2816,4257,107480,2356,703,1003,96,4151,5217,259,594,10223,1461,893,1015,69,3444,2462,211,408,6522,3821,1593,2017,169,7588,7675,472,1004,16745,1291,592,747,66,2690,3578,203,554,7028,356,143,183,14,695,737,86,117,1638,744,224,239,37,1249,1067,157,209,2682,188,56,54,7,308,250,34,42,641,117,63,65,3,252,156,14,24,444,2698,1073,1297,125,5191,5798,498,946,12438,152,38,79,4,274,518,37,197,1024,6,0,3,0,6,5,0,7,17,29,20,18,0
LGA11700,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,5,0,4,0,8,8,0,0,17,0,0,0,0,0,4,0,7,12,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,3,0,0,3,0,3,12,0,8,25,3,0,0,0,7,3,0,3,17,120,137,99,3,360,229,15,150,753,126,75,86,5,298,171,11,148,630,4,0,0,0,7,16,0,7,33,0,0,0,0,0,0,0,0,0,4,0,0,0,6,16,0,7,30,0,0,0,0,0,3,0,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,0,13,13,3,0,0,0,3,3,0,39,39,0,0,0,0,0,0,0,5,5,0,0,0,0
LGA11720,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,26,19,27,3,71,205,12,41,334,8,7,0,0,10,6,0,17,36,3,3,0,0,5,4,0,5,12,6,4,5,0,11,14,0,7,34,12,11,9,0,30,28,0,23,79,29,29,20,0,72,38,4,30,142,5070,5823,2919,210,14020,4827,521,1256,20625,5657,6453,3283,214,15607,4318,496,898,21311,242,128,260,16,649,771,46,128,1584,32,21,43,0,103,153,9,14,282,277,152,309,21,752,924,59,141,1861,30,13,23,6,63,173,3,27,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,11,0,30,16,0,4,58,42,14,37,4,97,195,7,31,335,0,0,0,0,3,34,0,6,47,0,0,0,0,3,5,0,17,18,7,0,0,0
LGA11730,0,0,0,9,0,0,13,..,..,..,..,..,..,..,..,..,0,0,0,0,0,3,0,0,3,149,43,107,10,310,603,39,177,1129,129,13,17,3,164,273,16,616,1066,13,11,9,0,39,41,3,56,141,20,6,3,0,35,27,3,8,78,162,41,30,0,233,343,27,681,1280,54,23,15,0,97,49,5,39,183,6410,4309,2350,191,13254,5742,615,2169,21775,6334,4279,2222,201,13035,4394,593,1126,19147,165,44,91,10,317,512,22,90,937,104,54,85,12,248,223,23,66,562,270,101,171,15,562,739,46,153,1506,116,37,81,9,234,494,28,95,857,25,3,8,0,39,42,4,44,129,8,0,0,0,8,15,0,11,36,0,0,0,0,0,0,0,0,0,12,3,4,0,17,26,3,5,47,157,47,89,8,297,585,36,155,1070,111,10,9,7,139,242,8,393,781,5,3,0,0,8,5,0,27,42,48,42,7,5
LGA11750,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,17,3,10,0,23,74,3,47,146,6,0,0,0,3,16,0,59,78,0,0,0,0,0,3,0,13,12,4,4,0,0,8,0,0,0,21,12,3,0,0,17,15,0,72,106,0,0,0,0,4,0,0,4,5,462,456,161,18,1090,495,38,298,1919,351,356,140,10,861,383,28,259,1524,13,0,4,0,14,25,0,21,61,0,0,0,0,0,0,0,0,3,13,5,4,0,14,27,0,21,67,7,6,0,0,17,55,0,39,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,17,55,0,39,105,5,0,0,0,5,5,0,41,54,0,0,0,0,0,0,0,4,4,0,0,0,0
LGA11800,23,3,123,153,18,55,352,..,..,..,..,..,..,..,..,..,0,0,0,0,0,7,3,0,11,458,241,369,29,1104,1448,185,292,3017,135,25,26,4,191,338,15,595,1142,18,0,4,0,19,21,0,37,85,8,7,3,0,22,14,4,6,42,159,34,31,6,234,371,22,638,1275,77,45,21,0,151,110,16,85,366,7940,7040,3550,206,18736,7274,1025,2416,29461,7275,6827,2941,188,17233,4604,707,1055,23607,442,211,277,10,931,1013,85,149,2183,376,227,217,20,839,546,86,129,1599,818,438,494,30,1774,1561,174,271,3783,355,220,293,39,895,1224,111,230,2456,77,36,61,3,174,202,23,32,428,75,10,11,3,101,157,12,28,289,43,3,6,0,58,53,4,4,117,19,12,7,0,36,41,3,6,80,568,276,374,49,1258,1668,148,299,3379,133,21,15,6,180,283,21,337,828,0,0,0,0,0,5,0,59,67,5,6,0,0
LGA12000,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,8,0,0,0,8,21,0,4,33,3,0,0,0,3,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,10,13,3,4,0,0,9,0,0,0,13,485,448,135,20,1091,371,32,141,1634,543,439,151,6,1138,417,40,90,1689,5,6,0,0,10,16,0,5,24,0,0,0,0,0,0,0,0,0,5,6,0,0,11,16,0,5,24,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,0,13,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0
LGA12150,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,8,0,3,0,10,43,0,19,75,3,0,0,0,3,5,0,43,50,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,15,3,0,0,0,3,4,0,48,64,5,0,0,0,4,4,0,6,14,370,286,214,18,894,433,41,302,1671,324,271,205,17,813,367,39,211,1429,7,0,4,0,11,8,0,3,26,0,0,0,0,0,0,0,0,0,7,0,8,0,12,8,0,3,28,4,0,0,0,7,36,0,11,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,36,0,11,57,0,0,0,0,0,0,0,24,23,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA12160,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,9,3,6,0,19,72,0,7,99,9,0,0,0,6,4,0,44,55,0,0,0,0,0,0,0,4,3,5,3,3,0,12,22,0,7,42,11,7,3,0,21,28,3,52,100,3,4,5,0,18,12,0,3,30,1439,1022,424,44,2927,1333,100,293,4659,1434,1002,416,41,2897,1181,70,313,4460,30,0,8,0,39,149,11,21,215,6,0,0,0,10,11,0,0,22,33,0,13,0,48,162,8,21,238,11,8,3,0,19,46,4,17,86,0,0,0,0,0,11,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,3,0,18,59,6,17,100,0,0,0,0,0,6,0,27,36,0,0,0,0,0,0,0,0,0,6,3,0,0
