LGA_CODE_2021,C16_850_949_Oth_lan_typ,C16_850_949_LLT_NS,C16_850_949_Tot,C16_950over_REA,C16_950over_ST_HA,C16_950over_Co_ho_pr,C16_950over_Pe_no_sa_ho,C16_950over_Oth_lan_typ,C16_950over_LLT_NS,C16_950over_Tot,C16_R_NS_REA,C16_R_NS_ST_HA,C16_R_NS_Co_ho_pr,C16_R_NS_Pe_no_sa_ho,C16_R_NS_Oth_lan_typ,C16_R_NS_Land_typ_ns,C16_Rent_not_statd_Tot,C16_Tot_REA,C16_Tot_ST_HA,C16_Tot_Co_ho_pr,C16_Tot_Pe_no_sa_ho,C16_Tot_Oth_lan_typ,C16_Tot_LLT_NS,C16_Tot_Tot,C21_1_74_REA,C21_1_74_ST_HA,C21_1_74_Co_ho_pr,C21_1_74_Per_no_sa_ho,C21_1_74_Oth_land_typ,C21_1_74_LLT_NS,C21_1_74_Tot,C21_75_99_REA,C21_75_99_ST_HA,C21_75_99_Co_ho_pr,C21_75_99_Pe_no_sa_ho,C21_75_99_Oth_lan_typ,C21_75_99_Lan_type_ns,C21_75_99_Tot,C21_100_149_REA,C21_100_149_ST_HA,C21_100_149_Co_ho_pr,C21_100_149_Pe_no_sa_ho,C21_100_149_Ot_lan_ty,C21_100_149_Lan_typ_ns,C21_100_149_Tot,C21_150_199_REA,C21_150_199_ST_HA,C21_150_199_Co_ho_pr,C21_150_199_Pe_no_sa_ho,C21_150_199_Ot_lan_ty,C21_150_199_Lan_ty_ns,C21_150_199_Tot,C21_200_224_REA,C21_200_224_ST_HA,C21_200_224_Co_ho_pr,C21_200_224_Pe_no_sa_ho,C21_200_224_Ot_lan_ty,C21_200_224_Lan_ty_ns,C21_200_224_Tot,C21_225_274_REA,C21_225_274_ST_HA,C21_225_274_Co_ho_pr,C21_225_274_Pe_no_sa_ho,C21_225_274_Ot_la_typ,C21_225_274_Lan_ty_ns,C21_225_274_Tot,C21_275_349_REA,C21_275_349_ST_HA,C21_275_349_Co_ho_pr,C21_275_349_Pe_no_sa_ho,C21_275_349_Ot_lan_ty,C21_275_349_Lan_ty_ns,C21_275_349_Tot,C21_350_449_REA,C21_350_449_ST_HA,C21_350_449_Co_ho_pr,C21_350_449_Pe_no_sa_ho,C21_350_449_Ot_lan_ty,C21_350_449_Lan_ty_ns,C21_350_449_Tot,C21_450_549_REA,C21_450_549_ST_HA,C21_450_549_Co_ho_pr,C21_450_549_Pe_no_sa_ho,C21_450_549_Oth_lan_typ,C21_450_549_Lan_ty_ns,C21_450_549_Tot,C21_550_649_REA,C21_550_649_ST_HA,C21_550_649_Co_ho_pr,C21_550_649_Pe_no_sa_ho,C21_550_649_Ot_lan_ty,C21_550_649_Lan_ty_ns,C21_550_649_Tot,C21_650_749_REA,C21_650_749_ST_HA,C21_650_749_Co_ho_pr,C21_650_749_Pe_no_sa_ho,C21_650_749_Oth_lan_typ,C21_650_749_LLT_NS,C21_650_749_Tot,C21_750_849_REA,C21_750_849_ST_HA,C21_750_849_Co_ho_pr,C21_750_849_Pe_no_sa_ho,C21_750_849_Oth_lan_typ,C21_750_849_LLT_NS,C21_750_849_Tot,C21_850_950_REA,C21_850_949_ST_HA,C21_850_949_Co_ho_pr,C21_850_949_Pe_no_sa_ho,C21_850_949_Oth_lan_typ,C21_850_949_LLT_NS,C21_850_949_Tot,C21_950over_REA,C21_950over_ST_HA,C21_950over_Co_ho_pr,C21_950over_Pe_no_sa_ho,C21_950over_Oth_lan_typ,C21_950over_LLT_NS,C21_950over_Tot,C21_R_NS_REA,C21_R_NS_ST_HA,C21_R_NS_Co_ho_pr,C21_R_NS_Pe_no_sa_ho,C21_R_NS_Oth_lan_typ,C21_R_NS_Land_typ_ns,C21_Rent_not_statd_Tot,C21_Tot_REA,C21_Tot_ST_HA,C21_Tot_Co_ho_pr,C21_Tot_Pe_no_sa_ho,C21_Tot_Oth_lan_typ,C21_Tot_LLT_NS,C21_Tot_Tot
LGA10800,0,0,0,0,0,0,0,0,0,0,4,4,0,10,15,0,29,130,33,11,141,89,3,408,0,3,6,8,9,0,27,0,4,0,3,0,0,11,10,7,9,26,19,0,71,36,7,4,21,8,0,76,7,0,0,19,5,4,38,26,3,0,22,13,0,71,35,5,0,18,10,0,62,19,0,0,9,3,0,26,4,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,18,20,0,41,130,32,15,152,100,0,434
LGA10850,0,0,0,0,0,0,0,0,0,0,6,0,0,12,9,0,25,336,39,0,148,29,0,557,3,3,0,0,3,0,15,0,5,0,0,0,0,9,4,13,16,9,3,0,52,29,11,3,18,5,0,65,32,3,0,30,0,0,63,73,12,0,33,0,0,114,113,0,0,33,0,0,146,80,0,0,14,0,0,96,11,0,0,4,0,0,21,6,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,3,0,0,13,19,0,36,346,49,24,161,34,6,614
LGA10900,0,0,3,6,0,0,10,3,0,14,51,24,18,65,13,5,173,3280,398,203,1176,95,22,5168,0,5,0,0,0,0,12,0,11,10,6,0,0,26,9,13,18,39,0,0,80,22,85,126,60,12,3,318,33,20,32,60,9,0,146,128,16,65,120,12,5,344,398,29,52,216,10,4,700,1325,15,42,352,19,4,1765,1099,7,13,163,9,6,1291,325,0,0,43,7,0,378,128,0,0,11,0,0,141,45,0,0,3,0,0,46,13,0,0,4,0,0,14,7,0,0,9,0,0,16,41,14,22,80,25,16,198,3583,212,387,1178,102,33,5486
LGA10950,0,0,0,0,0,0,0,0,0,0,5,6,0,4,8,0,25,53,50,14,92,78,7,286,0,5,0,3,5,0,20,0,3,0,0,4,0,9,0,11,4,18,17,0,53,5,4,7,16,8,0,43,3,3,4,12,4,0,30,7,7,0,17,9,0,41,11,0,0,14,0,0,34,9,0,0,6,5,0,12,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,14,0,23,44,39,16,95,74,6,273
LGA11150,0,0,0,0,0,0,0,4,0,6,0,5,4,6,10,0,25,42,73,38,67,93,7,320,3,7,0,4,36,0,43,0,0,5,0,5,4,19,0,10,10,10,3,0,34,4,10,15,9,11,0,46,5,3,5,9,11,0,24,20,11,0,18,6,0,54,4,0,4,12,0,0,18,5,3,0,5,0,0,11,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,4,23,0,38,39,48,37,58,104,0,290
LGA11200,0,0,0,0,0,0,0,3,0,3,0,0,6,0,3,0,13,12,63,145,26,54,3,300,0,5,0,0,12,0,27,0,3,5,0,0,0,16,0,24,3,3,3,3,47,7,48,23,8,5,0,90,0,3,4,4,0,0,13,3,5,0,0,0,0,16,0,0,0,3,0,0,3,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,4,8,0,31,15,105,52,26,42,3,249
LGA11250,0,0,6,0,0,0,3,0,0,9,18,6,3,33,12,3,72,668,114,47,598,206,24,1658,0,10,0,9,33,0,57,7,10,11,8,22,0,59,31,12,7,68,20,4,137,162,32,28,134,34,0,380,129,19,9,111,32,0,297,219,22,8,117,21,0,388,149,9,0,74,12,0,244,75,5,0,28,11,0,129,10,0,0,3,4,0,21,0,0,0,4,0,0,9,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,9,17,6,0,49,36,6,114,805,121,73,602,236,22,1845
LGA11300,0,0,87,46,0,0,27,6,0,76,74,23,25,70,13,13,219,3453,332,90,864,139,28,4904,6,14,0,4,0,0,19,6,10,0,0,0,0,15,21,170,18,22,9,0,236,34,35,28,42,14,3,153,64,13,0,39,13,0,135,139,24,10,43,18,0,234,298,12,12,62,17,3,402,882,8,10,139,27,5,1068,1588,6,17,191,38,5,1834,1249,5,9,123,24,0,1413,478,0,3,63,8,0,552,170,0,0,27,9,0,207,91,0,0,10,3,0,100,78,0,0,30,6,0,107,88,14,7,88,26,26,245,5179,315,103,869,216,44,6728
LGA11350,4,0,61,54,0,0,29,9,0,90,25,10,3,73,12,7,129,1528,163,59,1544,135,31,3459,0,0,5,7,6,0,19,0,0,0,7,0,0,11,4,9,8,17,16,0,60,9,38,65,48,19,0,175,9,10,17,73,16,0,128,31,5,17,109,22,3,197,55,11,16,157,31,0,274,167,0,14,300,41,0,526,295,0,3,282,17,0,607,352,4,0,214,12,10,586,287,0,3,148,8,0,440,201,0,0,107,8,0,315,136,0,0,58,4,0,196,223,0,0,116,21,0,362,42,12,9,99,24,10,201,1811,97,153,1743,261,34,4092
LGA11400,0,0,0,0,0,0,3,0,3,4,14,0,8,26,17,0,61,294,28,33,314,80,11,759,0,4,4,3,18,0,33,3,0,5,5,0,0,18,3,7,13,30,8,0,65,40,8,3,48,10,0,104,24,0,3,49,4,0,89,70,0,0,74,3,0,151,96,0,0,46,9,0,147,58,0,0,26,3,0,83,11,0,0,3,0,0,14,6,0,0,5,0,0,7,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,3,0,30,27,3,66,304,23,28,333,88,5,779
LGA11450,0,0,3,11,0,0,0,0,0,10,70,20,14,47,13,9,163,3694,342,50,705,133,23,4945,7,9,0,5,0,0,22,0,4,6,3,0,0,19,7,123,14,12,4,3,162,12,52,35,22,13,0,140,8,33,9,28,5,0,87,54,39,28,44,54,3,220,361,35,12,96,15,0,517,1145,31,4,223,28,7,1435,3308,22,6,335,33,4,3711,1964,3,0,126,7,3,2106,298,0,0,28,4,0,330,91,0,0,10,4,0,104,24,0,3,6,0,0,30,33,0,0,3,0,0,38,158,18,14,89,34,25,337,7474,379,133,1032,204,47,9265
LGA11500,0,0,21,14,0,0,0,0,0,16,125,260,10,99,17,25,540,9034,4907,256,1798,208,108,16323,13,88,5,16,10,0,125,0,207,7,0,9,0,223,15,1330,58,36,15,13,1467,51,843,96,67,11,4,1064,58,399,38,87,9,0,591,247,459,64,145,30,0,952,1592,384,87,325,24,4,2414,5910,516,73,684,90,12,7281,2787,58,8,298,43,4,3204,1074,8,0,82,8,0,1169,180,8,0,33,7,0,223,39,4,0,8,6,0,50,14,6,0,4,0,0,21,23,0,0,11,4,0,40,241,264,44,137,44,44,770,12233,4575,487,1934,289,89,19601
LGA11520,0,0,378,421,0,0,57,3,0,481,169,39,11,98,26,18,362,9057,745,153,1523,254,53,11790,10,19,5,3,3,0,38,0,37,0,5,8,0,44,24,294,28,18,44,3,412,20,98,67,29,6,0,219,23,47,13,38,10,0,127,50,37,20,56,48,0,211,180,32,7,90,28,0,334,1068,16,35,174,22,0,1316,2757,9,11,248,38,3,3068,2562,6,3,220,25,4,2825,1701,3,0,152,20,0,1879,892,0,0,100,9,0,1006,448,0,0,42,0,0,489,664,0,0,76,4,3,749,196,38,12,135,42,24,438,10598,636,217,1387,296,40,13171
LGA11570,0,0,134,96,9,0,20,0,0,126,389,488,71,385,98,66,1500,22981,8290,887,5099,995,260,38517,35,189,23,25,8,0,292,12,492,45,16,3,9,577,77,2697,232,117,36,21,3183,134,1336,395,203,44,10,2120,193,610,151,237,40,3,1238,744,674,218,261,63,8,1969,3457,440,197,579,146,12,4831,8831,355,218,1379,293,31,11104,7156,225,69,1223,296,24,8992,3901,72,29,554,140,13,4711,2117,10,13,294,49,9,2491,810,7,4,131,18,0,974,275,0,0,31,7,0,324,173,0,5,54,6,0,238,569,458,73,517,175,137,1924,28487,7566,1686,5626,1323,274,44960
LGA11600,0,0,0,0,0,0,3,0,0,3,0,4,0,9,24,0,40,30,13,10,124,78,0,259,0,0,5,0,12,0,22,0,0,0,0,4,0,7,0,0,0,11,10,4,27,3,6,0,26,9,0,48,3,6,0,21,4,0,40,17,0,0,20,8,0,46,8,0,0,22,9,0,45,3,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,36,0,49,42,14,7,126,104,4,297
LGA11650,0,0,60,64,0,0,19,3,7,96,268,217,64,265,69,39,927,20853,3592,662,5636,949,235,31924,22,90,16,36,21,5,186,7,182,17,20,9,0,239,41,1309,109,114,69,10,1652,156,547,324,243,222,17,1504,255,237,141,309,84,16,1052,798,287,179,456,117,16,1852,3161,219,120,1085,118,16,4718,9865,233,99,1751,163,22,12128,6344,36,22,885,53,18,7360,2360,10,7,325,16,5,2717,885,3,5,116,12,0,1023,357,0,0,73,12,3,441,166,0,0,28,0,0,198,184,0,0,36,17,0,236,435,209,77,273,122,106,1221,25025,3358,1117,5760,1033,232,36531
LGA11700,0,0,0,0,0,0,0,0,0,0,0,0,4,7,9,0,21,8,82,40,31,56,11,228,5,21,0,6,26,0,48,0,3,0,0,6,0,14,0,10,5,17,7,0,38,4,22,14,10,10,0,55,0,8,13,7,5,0,26,0,6,7,0,3,0,19,0,5,8,5,4,0,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,5,26,0,40,7,78,53,35,81,0,257
LGA11720,0,0,0,6,0,0,5,0,0,10,56,38,8,49,18,9,177,3532,624,51,923,126,35,5299,3,6,3,6,4,0,17,0,6,6,4,0,0,20,19,57,12,48,3,4,144,62,144,42,60,27,3,327,101,40,5,89,12,0,254,360,86,22,123,9,3,605,1321,73,23,269,36,4,1719,1802,74,17,216,17,6,2125,572,4,0,53,4,0,621,61,0,0,13,0,0,73,22,0,0,9,0,0,32,7,0,0,0,0,0,14,0,0,0,0,0,0,3,6,0,0,4,0,0,21,60,31,9,75,25,19,220,4403,524,132,968,140,38,6204
LGA11730,0,0,7,13,0,0,4,3,0,16,32,31,13,58,30,10,179,2668,384,186,1361,307,62,4968,0,5,3,10,13,0,35,0,10,3,11,3,0,29,18,96,20,72,30,4,247,79,64,88,120,54,8,413,105,30,25,136,28,4,330,330,38,32,227,57,12,689,742,22,18,387,44,10,1219,992,0,27,269,41,7,1345,353,0,0,66,9,0,433,94,0,0,23,6,0,118,29,0,0,4,4,0,38,7,0,0,4,0,0,19,4,0,0,4,7,0,15,18,0,0,19,10,0,47,47,27,13,95,52,12,241,2819,305,224,1461,354,54,5215
LGA11750,0,0,0,0,0,0,0,0,0,0,0,6,0,11,16,4,34,208,68,24,82,199,10,585,0,6,13,4,18,0,35,4,9,0,0,20,0,28,13,12,6,6,33,0,72,25,16,10,13,29,0,90,25,9,0,17,3,0,58,44,5,3,14,6,0,76,47,3,0,17,6,0,73,8,0,0,9,0,0,14,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,0,14,22,0,51,166,69,27,99,137,5,506
LGA11800,3,0,6,5,0,0,12,7,0,26,89,59,27,56,42,9,289,4859,1101,204,1706,387,62,8319,6,8,6,17,3,0,41,0,14,10,6,7,0,35,14,80,37,76,47,0,259,41,236,159,89,50,7,585,37,71,42,103,38,0,294,292,106,72,192,50,5,716,973,93,42,376,59,5,1549,1856,90,40,544,45,16,2591,1288,22,16,272,46,5,1642,495,6,0,87,12,0,605,161,4,0,26,7,0,202,39,0,0,15,5,0,60,11,0,0,4,0,0,22,17,0,0,22,15,0,48,81,58,38,87,63,27,357,5314,788,463,1918,438,73,8993
LGA12000,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,86,16,0,115,16,4,236,0,0,0,8,5,0,10,0,0,0,4,0,0,7,0,6,4,29,4,0,46,15,0,0,15,3,0,34,7,0,0,28,0,0,36,23,0,0,10,0,0,35,27,0,0,8,4,0,43,22,0,0,7,0,0,31,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,17,103,8,9,117,26,6,268
LGA12150,0,0,0,0,0,0,0,0,0,0,0,3,0,10,11,0,29,56,80,27,129,59,10,372,0,8,0,5,16,0,31,0,8,5,0,14,0,20,0,6,4,14,5,0,32,33,35,14,24,9,0,115,20,12,0,25,0,0,65,22,15,10,31,0,0,80,0,3,0,15,0,0,26,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,14,0,27,77,99,38,127,63,6,408
LGA12160,0,0,0,0,0,0,0,0,0,0,6,10,0,17,22,0,47,410,180,3,280,64,10,953,4,5,0,10,4,0,24,0,14,0,4,0,0,13,28,57,0,30,9,0,121,66,63,0,55,14,3,208,51,21,0,45,5,0,120,119,5,0,53,4,0,186,139,0,0,46,3,0,188,38,3,0,15,5,0,64,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,6,0,12,34,0,65,457,177,0,288,74,7,1004
LGA12350,0,0,3,0,0,0,3,0,0,5,3,7,0,17,15,0,54,594,185,41,315,57,17,1206,0,5,0,10,4,0,21,3,9,0,10,0,0,21,18,53,18,26,7,3,125,125,43,10,61,12,7,251,72,16,7,65,11,0,167,184,27,4,81,9,5,308,175,4,0,50,4,4,234,59,0,0,19,7,0,85,0,0,0,5,0,0,9,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,11,6,17,26,0,76,659,171,45,347,78,17,1306
