region_id,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
UCL122013,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,4,3,3,0,0,0,13,0,3,5,6,0,5,3,0,22,0,3,0,3,0,0,3,0,9,3,6,10,13,10,4,0,0,46,3,0,0,0,0,0,3,0,6,6,9,10,16,10,4,6,0,61,0,3,0,0,0,0,0,0,3,0,3,0,3,0,4,3,0,13,6,21,19,28,19,13,12,0,118
UCL122014,0,0,4,0,0,0,7,0,0,0,6,0,3,0,0,9,0,0,5,3,3,10,0,0,21,0,0,3,3,0,7,6,0,19,0,0,0,0,0,0,3,0,3,0,0,10,10,4,0,6,0,30,3,0,0,3,0,0,0,0,6,3,0,10,13,4,0,9,0,39,0,0,0,0,0,0,0,0,0,9,20,17,14,4,3,3,0,70,12,23,35,39,15,23,18,0,165
UCL122015,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,3,4,0,0,0,10,0,3,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,12,11,12,8,4,0,0,50,0,0,0,4,0,0,0,0,4,3,12,11,16,8,4,0,0,54,0,0,3,0,0,0,0,0,3,4,0,0,5,7,0,0,0,16,7,15,23,27,19,4,0,0,95
UCL122016,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,10,0,6,9,0,3,0,3,3,24,0,0,0,0,0,0,0,0,0,6,9,8,7,8,5,0,0,43,0,0,0,3,0,0,0,0,3,6,9,8,10,8,5,0,0,46,0,0,0,0,0,0,0,0,0,3,0,0,6,0,4,6,0,19,9,21,17,19,15,9,9,3,102
UCL122017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,9,0,6,6,0,0,0,0,0,12,0,0,0,3,3,0,0,0,6,0,0,6,10,10,4,8,0,38,0,3,3,3,6,0,0,0,15,0,3,9,16,19,4,8,0,59,0,0,3,0,3,0,0,0,6,5,0,6,6,8,14,0,0,39,5,12,27,22,33,18,8,0,125
UCL122018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,9,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,3,0,3,6,8,8,13,10,3,0,3,51,0,0,3,4,0,0,0,0,7,6,8,11,17,10,3,3,3,61,0,0,0,0,0,0,0,0,0,6,3,3,3,3,12,6,0,36,12,14,17,25,16,15,9,3,111
UCL122019,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,9,0,7,0,0,0,19,0,0,0,8,4,0,0,0,12,0,0,0,0,0,0,0,0,0,3,4,5,10,7,12,0,0,41,0,0,0,0,0,0,0,0,0,3,4,5,10,7,12,0,0,41,0,0,0,0,0,0,0,0,0,6,3,0,3,6,6,4,0,28,12,7,14,21,27,18,4,0,103
UCL122020,3,3,0,0,0,0,6,0,0,3,0,0,0,0,0,3,0,0,0,3,5,4,0,0,12,0,3,6,8,0,3,0,0,20,0,0,0,0,3,0,0,0,3,6,3,9,12,10,6,3,0,49,0,0,0,0,3,0,0,0,3,6,3,9,12,16,6,3,0,55,0,0,3,0,0,0,0,0,3,3,0,0,0,0,6,3,0,12,9,6,24,26,21,19,6,0,111
UCL122021,0,0,4,0,0,0,4,0,0,0,5,0,0,0,0,5,0,3,9,11,18,5,0,0,46,3,0,5,7,10,7,3,0,35,0,4,0,3,0,5,0,0,12,3,0,9,10,15,13,4,3,57,0,0,0,0,0,0,0,0,0,3,4,9,13,15,18,4,3,69,0,0,0,0,3,3,0,0,6,0,0,3,3,7,6,3,3,25,6,7,26,39,57,39,10,6,190
UCL122022,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,4,0,0,0,6,9,0,3,0,18,3,3,4,12,5,0,0,0,27,0,0,0,0,6,0,0,0,6,11,6,12,28,16,5,6,3,87,0,3,0,0,0,0,0,0,3,11,9,12,28,22,5,6,3,96,3,0,0,0,0,3,0,0,6,3,5,6,3,3,6,0,0,26,20,17,22,49,42,18,9,3,180
