region_id,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL115017,157,139,100,45,888
UCL115018,46,72,51,24,352
UCL115019,519,402,163,37,2467
UCL115020,146,94,67,13,973
UCL115021,112,48,25,4,602
UCL115022,78,42,27,22,430
UCL115023,250,182,85,11,1250
UCL115024,76,53,34,9,410
UCL115025,115,54,48,3,834
UCL115026,99,44,16,4,629
UCL115027,77,45,26,4,361
UCL115028,83,78,35,12,506
UCL115029,148,45,20,9,1055
UCL115030,196,133,91,40,983
UCL115031,136,83,46,22,692
UCL115032,80,39,34,25,397
UCL115033,316,287,117,52,1291
UCL115034,250,143,46,15,1008
UCL115035,183,67,23,7,1266
UCL115036,72,26,12,0,589
UCL115037,514,257,78,47,2719
UCL115038,227,220,114,24,1325
UCL115039,116,40,24,8,597
UCL115040,82,77,42,13,529
UCL115041,165,94,63,13,1443
UCL115042,88,59,22,0,598
UCL115043,124,89,63,26,900
UCL115044,100,55,51,26,616
UCL115045,147,119,84,42,954
UCL115046,96,85,57,16,754
UCL115047,79,59,22,12,435
UCL115048,105,49,14,0,530
UCL115049,131,97,97,25,786
UCL115050,278,253,162,60,1555
UCL115051,77,66,29,19,406
UCL115052,182,119,133,109,905
UCL115053,69,28,28,9,471
UCL115054,84,50,43,18,418
UCL115055,85,24,9,0,450
UCL115056,140,113,64,27,819
UCL115057,249,148,84,38,1117
UCL115058,73,51,60,20,977
UCL115059,238,132,118,46,1148
UCL115060,167,142,96,74,816
UCL115061,117,98,89,60,786
UCL115062,78,22,18,6,817
UCL115063,52,25,41,48,380
UCL115064,61,30,7,6,498
UCL115065,96,29,23,9,532
UCL115066,350,182,109,79,1976
UCL115067,136,110,69,36,898
UCL115068,150,53,18,7,1084
UCL115069,146,112,96,37,843
UCL115070,113,110,59,18,548
UCL115071,133,118,59,28,697
UCL115072,118,60,13,3,837
UCL115073,112,56,54,23,654
UCL115074,145,91,20,4,579
UCL115075,119,76,40,21,686
UCL115076,105,59,41,11,647
UCL115077,123,91,44,27,643
UCL115078,229,209,125,26,939
UCL115079,121,134,80,26,566
UCL115080,105,78,63,24,757
UCL115081,87,27,12,6,622
UCL115082,90,79,22,3,799
UCL115083,87,58,37,26,457
UCL115084,213,123,80,22,943
UCL115085,168,142,99,30,705
UCL115086,95,51,17,0,897
UCL115087,70,28,8,8,412
UCL115088,114,59,46,12,488
UCL115089,244,154,66,34,2018
UCL115090,66,57,36,9,399
UCL115091,82,90,35,0,399
UCL115092,93,65,35,24,631
UCL115093,119,68,26,9,567
UCL115094,188,116,92,37,1021
UCL115095,51,32,26,20,371
UCL115096,240,177,94,20,1258
UCL115097,202,191,80,16,1053
UCL115098,106,88,54,9,576
UCL115099,142,120,114,51,972
UCL115100,185,198,107,53,1067
UCL115101,249,189,90,22,990
UCL115102,138,112,69,19,743
UCL115103,115,83,86,101,658
UCL115104,86,39,46,19,566
UCL115105,166,146,90,33,948
UCL115106,285,112,77,33,1402
UCL115107,111,35,24,0,748
UCL115108,304,187,119,44,1163
UCL115109,227,176,133,61,1399
UCL115110,203,127,88,25,1267
UCL115111,82,61,54,12,663
UCL115112,135,85,47,9,831
UCL115113,391,184,108,28,1951
UCL115114,281,190,135,52,1559
UCL115115,211,114,59,15,1351
UCL115116,129,71,42,18,624
