region_id,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
UCL115062,99,0,3,3,0,105,261,0,6,0,0,267,68,10,41,0,0,119,0,0,0,0,0,0,36,0,0,3,0,39,0,0,0,0,0,0,45,0,3,6,0,54,0,0,0,0,0,0,149,10,44,9,0,212,5,0,0,0,0,5,17,0,4,11,0,32,531,10,57,23,0,621
UCL115063,135,8,0,0,0,143,102,5,0,0,0,107,39,15,3,0,0,57,3,3,0,0,0,6,32,3,0,0,0,35,0,3,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,77,24,3,0,0,104,3,0,0,0,0,3,6,0,0,0,0,6,323,37,3,0,0,363
UCL115064,98,0,0,0,0,98,214,0,0,0,0,214,30,0,0,0,0,30,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,48,0,0,0,0,48,5,0,0,0,0,5,9,0,0,0,0,9,374,0,0,0,0,374
UCL115065,116,10,4,0,0,130,167,15,16,0,0,198,26,0,0,0,0,26,0,0,0,0,0,0,10,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3,0,0,0,39,3,0,0,0,0,3,7,0,0,0,0,7,329,28,20,0,0,377
UCL115066,506,28,14,5,0,553,438,16,0,3,0,457,158,27,10,5,0,200,3,0,7,0,0,10,57,9,3,3,0,72,5,6,31,0,0,42,0,0,0,0,0,0,4,0,3,0,0,7,227,42,54,8,0,331,4,0,26,0,0,30,16,7,9,0,0,32,1191,93,103,16,0,1403
UCL115067,383,0,12,5,0,400,219,0,18,0,0,237,70,4,58,0,0,132,61,0,0,0,0,61,71,0,10,4,0,85,21,0,0,0,0,21,16,0,6,5,0,27,5,0,3,0,0,8,244,4,77,9,0,334,12,0,0,0,0,12,32,0,3,0,0,35,890,4,110,14,0,1018
UCL115068,223,0,0,0,0,223,496,0,0,0,0,496,58,3,0,0,0,61,0,0,0,0,0,0,22,0,0,0,0,22,0,0,0,0,0,0,6,0,0,0,0,6,3,0,0,0,0,3,89,3,0,0,0,92,3,0,0,0,0,3,10,0,0,0,0,10,821,3,0,0,0,824
UCL115069,429,4,4,19,0,456,201,0,3,3,0,207,104,4,39,10,0,157,38,0,5,0,0,43,54,10,8,6,0,78,0,0,0,0,0,0,15,0,7,9,0,31,4,0,6,0,0,10,215,14,65,25,0,319,3,0,0,0,0,3,28,3,3,0,0,34,876,21,75,47,0,1019
UCL115070,234,5,5,10,0,254,131,0,0,0,0,131,38,9,15,0,0,62,0,0,0,0,0,0,27,3,3,3,0,36,0,0,0,0,0,0,3,0,0,6,0,9,3,0,0,0,0,3,71,12,18,9,0,110,5,0,0,0,0,5,10,0,0,4,0,14,451,17,23,23,0,514
UCL115071,437,3,8,0,0,448,195,0,4,0,0,199,36,10,16,0,0,62,20,0,3,0,0,23,68,0,7,0,0,75,3,11,9,0,0,23,12,0,3,0,0,15,5,3,0,0,0,8,144,24,38,0,0,206,0,0,0,0,0,0,27,5,5,0,0,37,803,32,55,0,0,890
