CED_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
CED111,65469,68767,134240,25142,15603,40743,9455,16233,25689,3879,4951,8837,2154,1717,3872,40631,38509,79137,21758,26971,48729,5.3,4.5,4.9,62.1,56,59,58.8,53.5,56.1,5105,5266,10369,1169,2285,3459,10544,13440,23985,5526,7228,12759,15778,7641,23416,573,1051,1626,1055,1932,2986,17399,10629,28028,63896,65717,129614,11192,11705,22895,43652,45240,88890,27523,28490,56020
CED112,62810,68927,131734,22899,14208,37105,8787,15575,24356,3921,5141,9059,2080,1601,3681,37687,36522,74211,21502,28282,49786,5.5,4.4,5,60,53,56.3,56.7,50.7,53.5,1670,1936,3609,634,1440,2072,5457,8898,14357,4718,7639,12357,18218,10935,29152,695,1284,1981,1183,2011,3196,20095,14229,34330,63346,67364,130706,10146,10913,21061,41484,43771,85260,27729,30444,58177
CED113,66046,66904,132953,29560,19248,48808,8912,16462,25379,2314,2856,5163,1462,1161,2619,42246,39723,81967,19591,23092,42686,3.5,2.9,3.2,64,59.4,61.7,61.8,57.6,59.7,3734,3757,7492,1243,2446,3682,7658,11160,18816,5244,7386,12632,17093,8657,25752,593,1093,1690,975,1670,2645,18659,11425,30084,63760,63956,127718,10698,10941,21639,42155,41871,84028,28558,29429,57980
CED114,69301,71708,141007,31124,17286,48407,7763,18277,26046,2186,2703,4889,1778,1403,3181,42857,39669,82521,20537,26378,46914,4.2,3.5,3.9,61.8,55.3,58.5,59.3,53.4,56.3,1420,1811,3240,676,1682,2365,5254,9185,14431,4198,6684,10874,18157,9959,28115,622,1263,1882,915,1555,2470,19691,12782,32466,66410,67941,134348,10994,11487,22480,44287,44768,89056,28808,30551,59358
CED115,69560,72918,142478,17178,12508,29681,7054,9264,16320,6094,4630,10723,3021,2330,5354,33346,28728,62077,30918,38831,69746,9.1,8.1,8.6,47.9,39.4,43.6,43.6,36.2,39.8,2015,2136,4147,355,699,1056,7823,9236,17057,4767,6199,10967,9255,5449,14704,537,960,1499,963,1374,2343,10759,7794,18549,70104,72084,142189,8869,9201,18072,48384,50100,98489,26337,27151,53485
CED116,67461,70598,138060,21297,12540,33834,9015,16536,25545,2372,2878,5253,1739,1331,3074,34422,33288,67710,28747,32986,61735,5.1,4,4.5,51,47.1,49,48.4,45.3,46.8,2386,2866,5255,980,2190,3170,6678,9715,16392,5094,7978,13076,20125,9754,29876,673,1352,2024,1285,2276,3559,22079,13382,35459,63230,65689,128919,10500,11158,21659,42015,43299,85307,28212,30414,58620
CED117,62096,66263,128354,29413,25778,55195,8928,13360,22280,3565,4243,7809,2030,1726,3754,43937,45101,89043,14838,18162,33002,4.6,3.8,4.2,70.8,68.1,69.4,67.5,65.5,66.4,8209,10377,18584,1766,3020,4782,18322,21624,39945,5449,6400,11854,6524,3382,9902,376,528,908,855,1136,1986,7751,5048,12801,55016,57926,112941,14195,15239,29437,33328,35983,69317,32609,34256,66867
CED118,78182,78175,156361,34023,24439,58463,9683,15088,24767,6890,5666,12557,2658,2531,5188,53252,47726,100976,21292,26964,48259,5,5.3,5.1,68.1,61.1,64.6,64.7,57.8,61.3,8614,8343,16963,1219,1805,3017,15696,19045,34745,7064,7874,14942,12049,6676,18734,553,931,1484,1145,1657,2799,13748,9263,23012,79722,80112,159837,14935,14824,29762,47959,48448,96410,40483,40571,81055
CED119,58597,61496,120095,26921,17696,44618,7707,14877,22579,4199,4758,8958,1382,1120,2503,40214,38456,78668,16289,20767,37061,3.4,2.9,3.2,68.6,62.5,65.5,66.3,60.7,63.4,3707,4095,7804,962,1969,2933,9834,13036,22868,6067,7959,14032,15216,6291,21502,408,912,1316,1217,2097,3316,16838,9298,26138,63157,65264,128416,7627,7755,15378,45878,47305,93181,21106,21887,42989
CED120,66853,69263,136113,29953,18268,48213,8841,16931,25772,4313,5028,9342,1473,1283,2752,44574,41503,86076,18767,24237,43002,3.3,3.1,3.2,66.7,59.9,63.2,64.5,58.1,61.2,1955,2686,4632,711,1698,2408,5565,9685,15247,5017,8280,13300,21309,10113,31416,541,1273,1812,1220,2008,3225,23068,13392,36459,69358,70859,140214,10161,10520,20678,45689,45987,91677,28762,30569,59329
CED121,69996,71302,141295,29168,15783,44952,8051,17654,25696,2852,3667,6512,2216,1729,3943,42283,38832,81111,24021,28912,52931,5.2,4.5,4.9,60.4,54.5,57.4,57.2,52,54.6,1647,1854,3502,588,1376,1966,4891,8292,13178,4582,7247,11829,22647,12549,35197,781,1501,2287,1115,2096,3207,24540,16144,40689,67905,69969,137874,11798,12165,23962,43780,44525,88303,31307,33078,64387
CED122,75493,79038,154528,31320,25645,56963,11064,15811,26876,4496,5344,9847,2461,2118,4576,49345,48923,98261,21460,25658,47118,5,4.3,4.7,65.4,61.9,63.6,62.1,59.2,60.6,9023,9660,18682,1179,2286,3462,17717,22247,39962,6234,8481,14714,10857,4604,15461,429,663,1095,1050,1610,2655,12337,6874,19211,64261,67507,131766,18353,19063,37421,38969,41963,80931,39637,40853,80492
CED123,71953,75758,147710,30717,21132,51849,9566,15020,24580,5287,5926,11213,2223,2021,4238,47784,44097,91879,19801,27015,46818,4.6,4.6,4.6,66.4,58.2,62.2,63.3,55.5,59.3,2910,3460,6372,704,1392,2096,7032,10580,17612,5260,7849,13107,18515,10577,29092,675,1324,1998,1142,1750,2888,20329,13646,33978,73296,75271,148565,11976,12788,24762,46165,47277,93444,33278,35406,68683
CED124,64236,68340,132575,19973,11930,31906,7938,15595,23531,2150,2480,4629,1883,1437,3324,31942,31447,63389,28157,32619,60775,5.9,4.6,5.2,49.7,46,47.8,46.8,43.9,45.3,1412,1675,3089,676,1425,2097,4769,7916,12691,4395,7260,11657,19913,10279,30189,669,1434,2104,1200,2107,3305,21785,13815,35597,61493,64166,125654,9495,10310,19802,41127,42461,83588,26845,29036,55881
CED125,76750,80872,157621,30340,20851,51197,9698,15476,25174,7240,6254,13496,2702,2504,5204,49981,45092,95068,22661,31446,54112,5.4,5.6,5.5,65.1,55.8,60.3,61.6,52.7,57,3969,4308,8275,734,1466,2195,9088,12598,21691,6444,8711,15153,17169,10021,27194,645,1349,1994,1278,2016,3294,19097,13386,32479,81084,83442,164524,13504,13956,27460,47184,48338,95519,40338,42371,82707
CED126,61401,65719,127120,26485,16910,43400,10075,16643,26720,3353,4643,7992,1420,1128,2547,41341,39330,80668,17748,23715,41467,3.4,2.9,3.2,67.3,59.8,63.5,65,58.1,61.4,4737,4627,9365,1086,2206,3292,13094,16002,29097,6234,9257,15486,12649,5072,17724,395,826,1220,1372,2257,3623,14415,8154,22573,63153,65986,129130,9391,9802,19192,43514,45839,89349,25610,26621,52238
CED127,57701,61152,118852,23146,14718,37867,8612,14700,23312,3890,4597,8483,1481,1089,2566,37123,35099,72223,18178,23630,41806,4,3.1,3.6,64.3,57.4,60.8,61.8,55.6,58.6,3312,4425,7744,1106,2252,3354,7424,11172,18598,5134,7743,12882,16213,7758,23971,486,1033,1516,1071,1754,2827,17772,10539,28313,59632,62030,121667,8064,8396,16460,41998,43788,85782,22225,23314,45537
CED128,69289,70676,139961,19192,13939,33130,7248,10372,17622,6119,4382,10504,2743,1916,4666,35303,30612,65919,29190,35407,64597,7.8,6.3,7.1,51,43.3,47.1,47,40.6,43.8,2426,2464,4888,433,932,1364,7567,9537,17105,5104,6714,11823,11806,6308,18117,509,942,1446,966,1632,2600,13285,8878,22160,72053,73332,145381,8891,8628,17518,49520,50800,100324,26577,26515,53089
CED129,71454,76072,147523,34207,23774,57980,9433,16350,25784,4592,5425,10017,2220,1918,4134,50452,47467,97918,19033,26528,45560,4.4,4,4.2,70.6,62.4,66.4,67.5,59.9,63.6,9304,8835,18138,1502,2275,3775,17603,20618,38225,6981,8770,15759,10848,5240,16086,401,824,1221,1218,2011,3228,12459,8079,20540,75666,78571,154235,13477,14059,27538,47067,49008,96077,37083,38800,75887
CED130,62522,66569,129088,25667,16334,42001,7403,15127,22536,1985,2382,4360,1928,1619,3545,36982,35462,72442,20132,25517,45654,5.2,4.6,4.9,59.2,53.3,56.1,56.1,50.8,53.4,1950,2444,4395,676,1552,2224,4946,8746,13693,3493,6190,9685,15859,9470,25332,738,1377,2115,937,1756,2687,17541,12600,30141,58658,60927,119586,11236,12102,23342,39088,40327,79413,26842,29192,56033
CED131,67683,71326,139005,28697,19252,47949,11231,20134,31359,2599,3436,6040,2585,1703,4292,45109,44530,89641,18996,23171,42166,5.7,3.8,4.8,66.7,62.4,64.5,62.8,60,61.4,4599,5070,9666,1224,2362,3591,11858,15520,27375,5299,7145,12436,15231,8387,23622,676,1031,1710,997,1554,2550,16907,10976,27880,62754,64675,127429,13978,14898,28879,39452,40687,80144,33527,35299,68827
CED132,66175,73342,139516,33636,26788,60421,8945,14144,23091,2948,4118,7063,1824,1703,3529,47351,46760,94105,16105,23355,39462,3.9,3.6,3.7,71.6,63.8,67.5,68.8,61.4,64.9,11927,12213,24144,1974,3192,5171,22816,25583,48397,5280,7562,12842,4841,2746,7583,266,487,754,908,1467,2380,6010,4703,10716,61260,66032,127295,15205,16359,31562,36314,39983,76294,36509,38934,75443
CED133,68579,71394,139966,22650,14499,37147,9883,17601,27483,2211,2523,4734,2170,1671,3843,36906,36297,73211,26567,30002,56570,5.9,4.6,5.2,53.8,50.8,52.3,50.7,48.5,49.6,1719,2105,3821,857,1802,2663,5979,9699,15680,4318,7483,11799,18330,10745,29071,795,1428,2220,1160,2025,3180,20280,14190,34481,64852,66926,131776,10499,11246,21739,44081,44522,88606,27576,30195,57772
CED134,60664,62965,123625,26771,16932,43708,5842,13286,19126,2034,2411,4439,1663,1308,2971,36310,33936,70247,16953,21608,38560,4.6,3.9,4.2,59.9,53.9,56.8,57.1,51.8,54.4,1198,1548,2747,443,1236,1679,3914,7815,11728,2914,5295,8209,14727,8500,23231,600,1177,1773,803,1423,2230,16131,11101,27238,56750,57725,114478,9305,9952,19262,39499,39494,78993,22418,24345,46766
CED135,84005,80820,164828,31435,21933,53359,11409,13873,25284,6473,5129,11605,3503,3122,6622,52817,44057,96874,25113,31430,56539,6.6,7.1,6.8,62.9,54.5,58.8,58.7,50.7,54.8,11879,10502,22376,1278,1857,3134,19905,20300,40204,6953,7922,14875,8723,4821,13541,463,787,1242,1009,1465,2476,10189,7065,17260,76380,74691,151067,19445,17678,37121,42405,43082,85487,47436,43755,91188
CED136,68504,72939,141438,28494,16247,44743,8541,18246,26788,2731,3498,6227,2352,1864,4212,42123,39849,81972,22906,29680,52589,5.6,4.7,5.1,61.5,54.6,58,58.1,52.1,55,1527,1806,3332,632,1436,2068,4977,8287,13262,5098,7755,12856,21790,12881,34669,777,1526,2305,1066,2011,3081,23634,16418,40053,68072,71072,139144,12533,13413,25946,42531,43798,86327,33524,36340,69864
CED137,85290,87359,172643,34142,26457,60595,13176,17158,30338,5858,6072,11930,3337,2627,5970,56520,52318,108836,24318,30738,55057,5.9,5,5.5,66.3,59.9,63,62.4,56.9,59.6,11646,11832,23474,1508,2519,4023,22699,25018,47721,8348,9685,18032,8437,4376,12812,424,705,1128,1158,1720,2883,10021,6803,16825,71749,74845,146590,21517,21260,42777,40832,44134,84964,47852,47792,95635
CED138,66349,73723,140075,21496,13410,34907,11562,20380,31942,2527,3166,5694,1918,1674,3592,37502,38634,76131,23657,29581,53235,5.1,4.3,4.7,56.5,52.4,54.4,53.6,50.1,51.8,2431,3251,5683,988,2107,3091,8530,12907,21434,5389,8797,14182,17080,8784,25863,551,1079,1626,1139,2060,3195,18771,11919,30687,61862,66410,128272,11668,13214,24880,39720,42150,81870,30276,34110,64388
CED139,63872,66254,130124,28596,16623,45221,7066,16134,23203,2022,2469,4493,1750,1401,3147,39434,36626,76054,19870,25255,45123,4.4,3.8,4.1,61.7,55.3,58.4,59,53.2,56,1455,1769,3223,628,1473,2098,4820,8967,13787,3588,6234,9822,16933,9580,26513,743,1308,2051,948,1716,2660,18617,12607,31224,61623,63670,125291,10566,11318,21890,41185,42147,83328,26810,28872,55679
CED140,60119,65846,125967,21966,13760,35720,8807,15370,24183,3431,4508,7942,1706,1350,3051,35905,34988,70892,21044,27225,48268,4.7,3.9,4.3,59.7,53.1,56.3,56.9,51.1,53.9,2905,3176,6079,883,1786,2668,8207,11320,19522,5317,8061,13376,15589,8160,23755,570,1055,1631,1230,2029,3258,17387,11252,28640,59268,63190,122461,9768,10238,20007,39787,42411,82197,25803,27724,53526
CED141,60106,64660,124765,23869,14007,37876,7979,16826,24803,2414,3194,5606,1855,1415,3271,36110,35446,71553,21284,26405,47684,5.1,4,4.6,60.1,54.8,57.4,57,52.6,54.7,2044,2333,4378,733,1586,2322,6589,9778,16371,4723,7065,11785,18639,9414,28055,587,1110,1694,1071,2011,3087,20299,12531,32828,61411,64120,125535,8673,9437,18110,42744,44290,87040,23761,25933,49698
CED142,98806,89657,188461,45538,34130,79668,14500,16024,30528,5947,6286,12228,3921,3302,7221,69903,59738,129644,21281,23827,45103,5.6,5.5,5.6,70.7,66.6,68.8,66.8,62.9,65,15488,15023,30510,2420,2873,5297,31815,31206,63022,9095,8893,17991,7584,3820,11398,491,585,1076,1115,1195,2307,9187,5595,14784,65370,59163,124532,32783,30972,63757,30795,27851,58649,64192,59453,123646
CED143,58881,64948,123828,29098,21328,50426,8803,14536,23341,2788,4082,6870,1453,1349,2807,42148,41295,83442,14619,21292,35903,3.4,3.3,3.4,71.6,63.6,67.4,69.1,61.5,65.1,7948,7919,15869,1513,2536,4054,18297,21154,39443,5216,7786,13003,6941,3160,10101,295,598,894,952,1653,2607,8188,5415,13602,57555,61817,119377,11810,12957,24762,36641,39686,76329,29489,31851,61335
CED144,74749,73641,148398,18984,14105,33083,9618,11361,20975,7262,5320,12584,3389,2205,5589,39248,32993,72239,29875,35425,65302,8.6,6.7,7.7,52.5,44.8,48.7,48,41.8,44.9,5734,4986,10722,801,1313,2109,12668,13931,26603,6077,7368,13440,8962,4827,13790,460,732,1185,1047,1566,2606,10463,7119,17583,73210,72410,145620,12440,11292,23732,48361,49517,97882,32177,29525,61699
CED145,58943,65315,124257,29071,23211,52280,8525,12878,21401,2821,3876,6698,1497,1518,3012,41913,41482,83396,13366,19699,33072,3.6,3.7,3.6,71.1,63.5,67.1,68.6,61.2,64.7,9049,9249,18296,1419,2294,3710,20593,24011,44608,4406,6495,10900,4879,2321,7196,227,386,615,800,1207,2006,5906,3911,9814,51127,54825,105950,14124,16061,30181,30020,32716,62735,32249,35304,67552
CED146,75458,78757,154210,24051,17510,41568,8597,12628,21226,7369,5458,12825,3001,2461,5464,43013,38060,81078,27881,35910,63785,7,6.5,6.7,57,48.3,52.6,53,45.2,49,3460,3641,7099,591,1082,1669,9702,12386,22087,5926,8007,13934,12690,7179,19865,521,1110,1630,1095,1817,2908,14306,10103,24402,81573,83082,164662,10362,10727,21085,54788,55919,110711,31104,32346,63456
CED147,65928,71307,137237,25932,14931,40861,8710,16903,25613,3648,4656,8300,1834,1428,3263,40130,37913,78038,22489,29980,52470,4.6,3.8,4.2,60.9,53.2,56.9,58.1,51.2,54.5,2356,2613,4964,725,1645,2367,6177,9296,15470,5211,8069,13274,19747,10740,30488,620,1359,1975,1087,2366,3453,21458,14465,35920,66510,69979,136486,10466,11390,21855,44607,46771,91369,28321,30679,59002
CED194,5734,4381,10112,762,470,1229,410,506,910,216,155,370,392,252,647,1775,1382,3161,1917,1722,3630,22.1,18.4,0,31,31.6,0,24.1,25.8,0,146,181,327,33,76,109,425,540,969,274,339,614,858,463,1326,55,72,127,74,104,176,985,636,1621,1117,690,1808,2858,2673,5527,761,424,1186,3046,2835,5882
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
