CED_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
CED111,627,77,96,0,0,806,199,19,38,0,0,255,172,42,37,4,0,259,286,43,55,4,0,385,390,64,99,4,0,551,1181,174,320,12,4,1689,1497,253,446,10,3,2206,2835,422,568,17,3,3850,2345,245,252,12,0,2857,2490,169,164,6,0,2822,1686,84,102,4,0,1881,807,75,126,5,0,1013,14519,1668,2308,68,18,18575
CED112,771,48,32,0,0,853,267,43,20,0,0,327,283,33,13,0,0,332,463,57,24,0,0,542,706,59,29,0,0,798,2101,174,97,0,0,2373,3073,249,96,0,0,3421,5029,229,87,3,5,5355,2855,73,26,0,3,2956,1835,57,5,0,4,1907,1063,25,3,0,6,1097,1121,75,21,0,0,1218,19562,1124,449,14,17,21179
CED113,840,49,22,8,0,920,410,30,23,7,0,465,338,30,26,0,0,386,686,46,48,9,0,777,934,73,107,3,0,1122,2588,243,221,8,9,3063,2704,416,111,8,0,3238,3865,307,59,8,14,4250,2379,71,27,3,0,2473,2282,54,18,0,5,2359,1290,32,13,3,6,1338,966,66,27,3,3,1069,19272,1417,696,39,43,21468
CED114,1040,34,4,9,6,1088,549,28,3,5,0,590,536,39,3,0,0,585,1185,80,16,0,0,1282,1730,83,11,8,3,1835,4333,122,22,14,4,4499,3522,46,12,7,7,3591,2850,29,7,0,3,2887,936,10,4,0,0,952,677,6,0,0,3,684,515,0,0,0,0,519,1123,22,6,6,0,1152,18984,507,91,47,37,19660
CED115,694,96,124,0,0,913,178,35,51,0,0,262,167,27,43,0,0,236,242,48,94,0,0,390,339,52,133,0,0,527,1014,183,498,0,4,1704,1107,227,552,3,0,1892,1891,400,511,4,4,2813,1267,186,130,0,5,1586,1403,93,100,0,0,1599,717,48,67,0,0,830,848,108,175,0,0,1128,9880,1493,2470,13,13,13871
CED116,988,53,30,0,0,1074,417,18,10,0,0,448,308,32,0,5,0,343,570,28,11,11,0,616,827,36,11,7,4,885,2347,117,39,0,0,2504,2620,138,23,3,0,2788,3454,126,41,0,0,3628,1674,62,14,6,7,1755,1350,45,13,5,4,1413,875,16,5,3,5,902,936,50,16,4,0,1003,16370,719,219,40,21,17368
CED117,306,308,186,9,0,809,77,60,35,0,0,177,50,51,52,0,0,151,81,67,92,0,0,246,88,109,122,3,0,331,303,305,400,10,3,1012,302,323,494,12,0,1134,533,649,1168,16,4,2369,482,578,968,10,0,2035,980,1283,946,6,0,3216,2539,2546,573,14,5,5682,332,308,215,9,0,868,6072,6597,5260,91,15,18034
CED118,908,123,35,0,0,1062,202,18,19,0,0,237,196,22,8,0,0,226,323,52,22,0,0,397,421,64,29,0,0,516,1401,217,156,0,0,1771,1810,388,346,0,0,2543,4061,952,688,0,10,5724,4493,722,198,3,36,5451,5419,454,73,9,16,5963,2644,195,47,0,0,2896,1610,219,87,4,3,1917,23484,3425,1700,19,66,28701
CED119,690,87,71,0,0,849,201,28,16,0,0,242,178,23,25,0,0,229,255,36,29,3,0,320,385,35,55,0,0,472,1128,152,141,0,0,1421,1359,209,280,0,0,1851,2791,491,716,0,0,3998,2573,416,409,0,3,3399,4222,483,216,0,0,4917,3081,234,93,0,0,3408,969,100,97,0,0,1160,17824,2291,2152,9,4,22280
CED120,818,19,9,0,6,853,321,12,3,0,4,339,286,13,3,0,0,305,513,9,6,3,4,531,777,19,5,0,0,803,2365,76,14,3,5,2461,2971,106,7,10,3,3095,5497,115,18,3,6,5642,4327,63,3,0,5,4405,3539,22,13,0,0,3574,2031,5,5,0,0,2046,1423,29,11,0,0,1468,24872,494,99,24,25,25511
CED121,880,46,9,0,7,940,386,12,4,0,0,407,338,24,0,0,0,363,636,36,5,8,0,685,949,30,6,0,6,993,3253,117,25,5,6,3397,4438,132,11,3,3,4589,5629,88,22,0,0,5735,2505,19,4,3,3,2534,1701,7,0,0,6,1716,880,5,0,0,0,884,1303,27,7,8,0,1343,22899,543,97,18,28,23594
CED122,395,174,314,4,0,886,58,36,70,0,0,168,48,31,52,0,0,131,92,46,101,0,0,240,102,58,167,0,0,334,297,151,485,0,0,938,327,175,616,11,0,1122,559,337,1415,7,0,2314,478,299,1252,4,0,2031,962,617,1453,7,4,3033,2512,1202,1010,4,4,4729,526,221,451,0,0,1204,6348,3345,7388,36,15,17136
CED123,725,78,31,0,0,835,231,23,15,0,0,270,193,22,10,0,0,230,396,50,24,0,0,471,500,77,44,0,0,617,1655,303,212,0,0,2172,2436,527,380,0,9,3347,4953,880,253,0,3,6086,4020,300,86,0,0,4407,3067,153,36,0,0,3251,1494,56,17,0,0,1579,1266,135,50,0,0,1449,20932,2610,1156,5,19,24724
CED124,810,40,21,4,5,877,396,31,13,0,0,442,385,23,13,3,0,410,692,28,20,3,0,751,947,36,15,7,0,1005,2731,107,50,7,3,2892,2864,88,34,3,0,2992,3326,57,17,5,0,3400,1566,13,6,0,0,1590,1089,13,8,0,0,1113,606,13,7,0,0,619,963,40,12,10,0,1022,16371,485,219,38,17,17125
CED125,865,63,22,0,0,946,266,19,8,0,0,293,236,32,10,0,0,284,417,54,23,0,0,500,607,66,18,0,0,691,2054,230,117,0,3,2410,2846,378,164,0,3,3388,6247,449,165,0,10,6872,5390,203,46,0,4,5643,4084,116,28,0,4,4229,1765,55,25,0,3,1846,1690,86,57,0,3,1837,26473,1755,689,3,31,28943
CED126,750,48,133,3,4,937,159,16,35,0,0,205,133,15,50,0,0,199,175,24,71,0,0,270,275,23,98,0,0,391,710,58,257,4,0,1028,724,67,354,3,0,1148,1438,123,695,8,4,2259,1295,109,611,5,0,2024,2749,188,664,9,4,3617,5712,275,385,9,8,6382,1070,74,197,0,0,1349,15190,1036,3536,35,21,19818
CED127,933,33,10,0,4,982,307,14,9,0,0,329,257,16,9,0,0,279,504,20,6,0,0,536,597,32,14,3,0,638,1891,88,33,0,0,2023,2514,143,35,0,0,2694,4556,171,21,4,5,4758,3190,69,10,0,6,3268,2850,33,12,0,0,2899,1685,18,13,0,5,1721,1103,38,7,0,3,1151,20388,676,174,16,18,21274
CED128,707,76,60,0,0,846,170,27,25,0,0,216,175,20,15,0,0,215,235,38,29,0,0,300,424,49,61,0,0,538,1217,161,220,0,0,1599,1507,234,317,0,0,2059,2786,501,343,0,0,3634,2224,342,96,0,0,2658,2221,246,54,0,4,2523,1206,119,42,0,0,1369,1101,152,89,0,5,1341,13981,1959,1353,7,11,17308
CED129,994,76,52,0,0,1128,233,26,17,0,0,277,165,27,19,0,0,207,270,30,25,0,0,321,397,43,23,0,0,460,1133,132,95,0,0,1358,1400,177,153,0,3,1735,2803,436,487,0,5,3731,2886,434,317,0,9,3639,5506,516,217,0,11,6251,6194,282,100,0,9,6585,1615,132,65,0,0,1812,23601,2299,1573,0,44,27510
CED130,891,15,0,3,3,919,439,9,3,4,0,451,472,10,0,7,0,488,971,17,4,0,0,992,1450,36,5,0,3,1501,3706,52,13,7,5,3786,3103,41,3,6,3,3161,2673,20,6,6,0,2703,989,7,0,0,0,1000,694,10,5,0,0,703,549,3,4,0,3,563,942,12,3,8,0,962,16871,246,48,40,19,17222
CED131,781,97,53,0,0,933,268,43,16,0,0,330,213,33,25,0,0,273,414,55,31,0,0,494,614,67,59,0,0,737,1787,230,192,0,0,2207,2565,372,230,0,0,3166,4382,416,302,7,0,5105,2451,192,104,4,0,2757,1787,163,89,5,0,2044,1262,127,102,3,5,1490,893,107,75,7,0,1072,17419,1898,1271,20,18,20624
CED132,572,128,352,3,0,1060,60,15,66,0,0,144,63,19,45,0,0,127,79,28,93,0,0,191,99,29,152,0,0,275,307,93,476,0,0,882,240,91,598,0,0,929,596,227,1418,0,0,2237,410,165,1256,0,0,1830,930,325,1463,0,4,2722,4064,917,1331,4,3,6312,548,109,420,0,4,1075,7958,2130,7671,6,10,17783
CED133,939,24,8,8,3,985,469,14,9,3,0,499,485,26,11,0,0,528,913,43,16,12,3,993,1258,53,18,6,0,1343,3605,149,52,24,5,3832,3428,123,27,18,6,3605,3494,84,22,13,5,3615,1281,7,4,4,0,1301,849,14,9,5,0,877,516,10,3,7,0,539,1045,50,10,11,0,1110,18285,608,197,111,20,19218
CED134,1029,24,4,0,9,1069,554,19,4,4,6,579,609,14,4,0,0,631,1163,12,5,9,4,1190,1426,20,9,7,8,1472,3249,57,8,5,3,3326,2657,29,4,3,5,2700,2082,21,4,4,15,2126,776,6,0,0,5,787,542,3,0,0,0,543,446,5,0,5,9,463,1073,15,3,3,4,1100,15603,232,47,39,57,15970
CED135,540,136,232,3,0,912,110,40,52,0,0,205,91,29,53,0,0,182,156,62,103,0,0,319,233,68,168,0,0,471,591,243,637,3,0,1476,691,340,1179,4,8,2220,1334,747,2254,11,6,4355,1072,588,947,4,3,2619,1628,555,446,7,0,2633,1585,289,242,3,0,2128,714,231,410,3,0,1352,8762,3319,6725,39,27,18868
CED136,811,44,11,3,0,867,350,34,7,0,0,387,311,35,5,0,0,353,647,44,17,3,0,708,888,90,8,0,0,988,3207,249,35,4,0,3490,4363,212,31,0,0,4615,5378,186,26,5,5,5595,2220,43,9,3,3,2275,1446,18,3,0,6,1472,728,19,5,3,0,752,1162,57,5,0,0,1231,21508,1030,152,25,18,22738
CED137,548,114,412,8,6,1091,97,16,81,0,0,198,79,20,69,0,0,170,99,30,154,0,0,289,152,40,176,4,0,373,377,118,689,3,0,1188,388,119,1090,3,0,1597,752,270,2987,21,9,4033,536,244,2151,22,6,2963,1094,384,1742,13,5,3237,2948,494,1104,14,3,4571,663,124,664,3,0,1448,7730,1991,11321,87,31,21156
CED138,814,124,57,0,3,1004,308,68,21,5,0,405,226,49,23,8,0,300,424,105,37,6,0,574,575,123,61,9,7,769,1555,360,180,10,3,2107,1977,482,170,6,0,2633,3349,497,150,14,8,4016,1987,208,54,0,0,2249,1712,141,53,0,0,1912,1228,66,37,5,0,1337,977,171,56,10,0,1213,15133,2393,905,59,25,18512
CED139,918,25,9,7,3,963,499,14,8,0,0,513,531,9,4,5,0,549,1119,25,14,3,3,1169,1658,26,29,8,0,1717,4196,63,39,11,8,4314,3378,36,22,6,5,3449,2680,16,10,3,4,2717,852,6,5,0,0,860,692,7,4,4,0,707,516,9,0,5,3,531,1045,10,5,0,5,1061,18079,232,148,41,33,18543
CED140,747,67,58,4,0,874,292,20,29,0,0,342,225,43,14,0,0,285,388,43,33,0,0,466,538,75,55,0,0,672,1507,162,182,4,4,1861,2020,264,246,7,3,2545,3637,317,273,8,3,4242,2653,133,100,3,0,2898,2338,68,83,5,0,2491,1478,44,52,4,0,1574,978,73,60,0,6,1118,16809,1307,1197,41,20,19370
CED141,852,54,10,3,0,916,348,22,3,0,0,373,290,18,17,0,0,327,533,39,9,0,0,580,701,28,24,3,0,758,2154,140,67,4,0,2365,3067,208,86,4,0,3361,4912,206,72,0,0,5194,2578,76,24,0,3,2678,1780,34,9,0,0,1828,984,21,5,0,0,1012,1056,49,24,4,3,1128,19252,891,348,18,3,20522
CED142,50,270,613,3,0,930,10,52,95,0,0,151,8,32,90,0,0,131,12,53,167,0,0,235,12,90,232,0,0,337,44,213,824,3,0,1080,33,229,986,5,0,1252,43,468,2247,6,8,2773,45,433,2034,0,0,2515,88,869,2421,5,6,3398,285,1798,2104,16,13,4216,39,239,692,12,3,981,666,4759,12501,54,30,18000
CED143,557,98,283,3,0,939,88,18,70,0,0,177,74,8,58,0,0,141,106,19,80,0,0,205,135,26,120,0,0,273,405,51,363,3,0,826,350,62,422,0,3,828,723,144,979,7,0,1852,615,132,868,0,0,1621,1341,258,1130,3,0,2730,4868,710,1163,9,3,6753,639,118,337,0,5,1103,9897,1633,5877,31,13,17455
CED144,514,158,186,0,0,857,136,42,60,0,0,249,142,34,45,0,0,225,170,51,107,0,0,334,249,90,161,0,0,496,646,243,538,6,0,1433,702,315,737,10,0,1758,1361,611,1227,3,3,3207,991,474,542,0,5,2006,1583,586,327,3,4,2494,1646,345,151,3,4,2141,850,239,259,3,0,1350,8995,3180,4337,30,18,16559
CED145,335,230,398,14,0,974,21,46,49,3,0,117,13,32,63,3,0,113,25,41,86,0,0,154,48,52,124,3,3,225,95,136,379,4,0,609,70,149,413,9,0,642,187,262,801,10,0,1254,119,220,747,8,0,1096,281,488,1184,10,0,1963,2163,2187,1636,39,4,6035,391,283,428,9,0,1110,3760,4118,6310,104,10,14307
CED146,917,80,22,0,0,1022,256,17,6,0,0,273,205,36,3,0,0,247,396,46,3,0,0,453,533,68,4,0,0,604,1617,286,29,0,0,1924,2113,391,57,0,4,2567,4602,715,79,0,21,5426,3856,318,42,0,25,4241,3458,164,30,0,13,3671,1727,76,12,0,3,1826,1550,157,17,0,3,1719,21226,2359,304,0,71,23964
CED147,810,61,18,4,0,892,313,33,6,0,0,357,260,27,5,0,0,295,485,50,8,4,0,543,664,63,18,0,0,743,2029,166,56,4,4,2255,2687,264,60,3,3,3014,4990,433,56,0,4,5486,3119,162,22,4,0,3303,2273,83,16,0,0,2379,1324,30,9,0,0,1361,1139,73,16,0,0,1227,20092,1445,288,22,16,21860
CED194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
