CED_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
CED138,197,534,386,256,464,444,111,248,38,2674,195,620,418,226,520,537,92,276,641,3517,4222,13903,10702,7332,12423,11975,3125,7384,1472,72542
CED139,88,351,341,211,631,672,190,374,33,2902,116,297,213,184,511,528,113,333,617,2921,2985,9648,7969,5586,14789,14119,4645,11658,1508,72911
CED140,526,426,237,132,447,385,101,191,31,2468,203,359,278,147,426,494,103,238,432,2679,6953,11049,8100,5031,12586,13289,3256,6590,986,67844
CED141,273,464,320,183,566,487,156,222,27,2702,146,280,202,136,419,481,111,209,374,2355,4764,10326,8664,5813,13960,13562,3700,6657,846,68288
CED142,708,491,289,140,555,488,134,244,34,3081,320,584,532,249,945,1349,258,651,872,5750,10538,13721,11103,5710,24034,30094,7818,17720,1691,122423
CED143,444,398,270,134,290,367,109,193,28,2231,177,413,370,178,569,886,193,520,404,3711,5982,10472,8067,4807,12213,19038,5517,13652,893,80638
CED144,715,388,252,133,417,337,93,127,29,2483,582,462,385,190,663,583,88,174,908,4039,10744,9322,7622,4034,13895,12100,2554,4536,1837,66647
CED145,419,404,255,139,268,291,72,181,25,2050,189,469,384,197,475,966,273,702,552,4207,5530,9616,7520,4265,11162,19486,5706,15926,1174,80383
CED146,650,280,219,112,492,421,84,128,30,2420,532,455,355,203,995,730,112,192,876,4452,10973,9270,7410,4545,18817,14821,2858,5070,1845,75612
CED147,561,399,260,163,542,574,132,275,31,2929,255,367,234,142,498,514,119,263,487,2876,7098,11281,8727,5610,15086,14247,4072,7462,1198,74778
CED194,4,7,14,5,12,11,0,15,3,68,14,29,16,8,19,17,9,11,47,166,284,414,316,184,406,405,111,314,87,2511
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
