CED_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
CED111,0,0,0,0,0,3,3,14,0,0,10,0,0,0,5,40,0,0,4,0,0,3,25,46,13,24,26,27,13,0,0,193,4,3,19,41,34,62,120,61,16,19,20,22,25,4,5,457,0,14,7,15,77,158,466,384,97,127,128,162,46,11,35,1723,0,68,226,53,21,143,102,4,0,0,0,0,0,0,19,641,12,23,24,9,8,9,12,5,0,11,4,8,4,3,3,143,0,4,6,25,44,41,26,11,4,4,3,3,0,3,6,186,108,253,81,39,49,44,67,27,8,9,12,10,5,0,22,733,8,170,249,50,18,9,3,23,0,0,0,0,0,0,37,563,0,4,5,13,25,35,36,19,3,10,0,12,7,0,10,185,8,10,30,58,44,80,237,331,131,156,265,356,232,11,45,1985,0,10,4,9,20,48,60,35,12,20,12,22,4,0,4,258,0,0,0,4,27,23,59,102
CED112,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,9,20,19,3,3,5,4,0,0,0,63,5,9,15,35,25,44,51,39,3,13,4,0,0,0,4,246,6,19,22,17,84,101,201,144,27,21,11,27,3,5,19,696,4,17,70,19,5,9,0,4,0,0,0,0,0,0,0,136,9,33,48,14,11,10,9,0,0,6,0,0,0,7,9,159,6,6,5,24,59,43,30,22,4,4,8,8,0,0,4,223,68,117,67,45,33,22,45,25,5,6,0,0,0,0,24,459,5,41,74,24,8,0,0,4,0,0,0,0,0,0,4,153,8,0,11,13,26,28,23,8,5,5,6,7,0,4,3,136,11,7,35,36,32,70,308,382,63,68,66,60,20,7,16,1170,0,13,4,12,30,31,46,41,9,9,14,16,10,0,0,246,0,0,3,7,13,12,15,26
CED113,0,0,0,0,5,0,13,3,0,0,0,0,0,0,0,19,0,0,0,0,0,12,47,52,14,22,16,31,0,0,5,194,0,4,32,58,44,51,74,41,4,3,4,8,9,0,9,348,8,11,16,3,23,50,122,57,24,26,14,33,4,0,26,412,7,26,130,53,13,16,6,7,0,5,0,0,0,0,7,274,3,10,10,6,4,6,18,10,0,10,5,8,3,0,6,92,0,0,4,19,32,43,62,25,3,3,19,9,13,4,14,239,119,241,153,79,100,55,73,35,0,0,3,4,0,0,23,898,8,33,97,17,6,5,3,0,0,0,0,0,0,0,8,177,7,3,15,11,21,9,13,5,3,0,5,0,7,0,10,104,9,10,24,24,17,60,494,387,128,147,167,128,45,10,30,1685,3,8,9,3,17,22,27,33,8,7,4,8,4,0,3,162,0,0,0,0,9,7,19,18
CED114,0,0,0,0,0,0,9,34,0,0,7,19,0,0,0,69,0,0,0,0,0,5,29,44,3,5,0,0,6,3,0,103,0,0,10,17,13,20,22,15,0,8,3,8,0,0,0,123,0,0,0,5,25,42,83,58,21,31,42,55,14,0,15,398,0,9,37,12,0,4,0,0,0,0,0,0,0,0,0,68,0,7,7,5,4,4,6,3,3,4,0,3,0,5,0,47,0,0,7,12,39,47,51,68,10,19,26,41,12,0,26,364,84,180,81,34,28,14,33,22,5,8,4,7,7,0,15,510,5,31,23,5,3,0,5,0,0,0,0,0,0,0,0,83,0,0,3,6,17,3,13,13,3,4,4,0,4,0,0,69,4,4,15,25,36,170,869,675,312,320,368,431,159,25,60,3463,0,5,3,3,5,4,20,24,12,6,17,29,9,0,0,130,0,0,0,0,3,9,6,3
CED115,0,0,0,0,5,32,119,70,14,16,13,17,6,27,12,326,0,0,0,3,11,41,179,123,27,45,30,27,8,4,12,514,0,3,0,9,5,9,11,10,0,5,0,0,0,4,0,68,8,17,70,139,876,661,717,359,71,131,83,62,21,5,248,3464,12,86,643,233,72,477,258,18,3,0,0,6,3,0,75,1893,7,32,63,43,70,60,105,97,18,16,22,16,10,0,14,554,0,4,6,73,388,408,360,201,45,29,58,92,23,0,35,1723,88,93,41,35,17,29,20,3,10,0,3,0,0,0,28,378,5,52,202,70,24,27,28,26,3,0,0,0,3,3,26,469,0,3,8,43,140,76,42,28,6,5,5,0,8,0,22,383,4,0,12,44,90,210,725,479,110,162,196,223,61,16,46,2376,0,0,3,60,93,120,124,62,11,9,9,6,7,0,11,518,0,0,24,111,179,121,169,285
CED116,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,10,3,5,5,6,0,0,0,42,0,5,38,49,35,32,65,37,13,7,10,10,8,5,6,311,8,16,11,7,41,39,98,69,16,16,11,34,6,4,20,404,4,54,143,50,11,26,0,0,0,0,0,0,0,0,6,290,11,30,25,6,0,6,6,4,0,0,0,0,0,0,6,100,4,11,10,17,25,15,16,10,5,0,3,0,0,0,15,123,122,297,141,65,71,44,53,22,4,6,3,10,10,4,43,890,7,60,117,22,0,0,3,0,0,0,0,0,0,0,10,234,0,9,14,13,14,5,9,10,3,0,5,5,3,0,3,94,16,14,23,29,13,20,106,137,58,51,81,114,36,0,19,706,7,18,8,10,8,18,18,28,6,5,3,9,5,0,0,138,4,0,3,0,9,9,10,4
CED117,0,0,0,0,5,9,10,3,0,0,3,0,0,0,0,26,0,0,0,4,12,23,85,46,13,15,14,11,0,0,5,226,0,9,35,67,68,80,128,105,24,26,17,24,14,3,9,596,8,22,27,78,536,738,983,542,139,152,121,111,34,3,79,3583,0,21,91,27,16,25,10,5,0,5,5,0,0,0,9,214,5,23,67,27,28,12,19,11,0,0,6,3,0,0,19,207,6,4,15,58,140,72,37,15,5,0,9,3,0,0,10,379,41,53,56,65,77,83,157,90,24,19,18,20,3,5,17,727,6,334,1046,169,33,23,20,29,5,7,7,7,0,0,95,1770,0,8,22,94,212,189,104,64,19,24,22,10,9,0,18,801,7,9,56,62,119,193,322,311,105,78,97,103,30,18,19,1531,0,4,11,58,85,144,169,71,21,16,31,25,15,5,10,664,0,0,0,15,44,40,63,62
CED118,0,0,0,7,111,416,394,149,32,8,12,17,5,0,23,1169,0,0,3,13,57,317,533,230,32,45,50,32,16,13,10,1347,0,3,9,18,22,30,51,35,9,4,12,13,3,0,6,202,0,19,22,65,454,708,1663,792,154,146,140,166,41,18,81,4459,0,29,185,64,19,94,24,5,0,0,0,0,0,0,7,426,3,18,89,80,113,124,174,125,26,56,27,16,8,3,13,879,3,4,7,85,661,693,600,181,38,35,37,76,21,4,36,2487,81,69,43,36,38,29,48,29,0,0,3,8,4,0,8,411,8,52,188,54,23,6,5,18,0,0,0,0,0,0,9,357,0,3,12,62,208,236,140,68,24,14,19,13,3,0,13,807,8,3,64,133,508,2567,11414,6939,2090,2187,2409,2472,790,158,421,32161,0,5,0,58,143,309,361,93,15,18,18,20,8,0,11,1071,0,0,0,24,141,259,410,465
CED119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,8,22,107,120,35,9,4,10,6,0,0,4,325,0,3,17,28,34,39,68,38,13,7,3,9,10,5,0,272,7,21,20,26,306,393,744,325,56,55,44,67,10,7,38,2114,0,25,124,17,11,34,7,3,0,0,0,0,0,0,15,236,16,35,99,64,135,177,228,137,26,31,7,17,6,0,20,1008,0,6,5,51,209,223,133,48,7,10,10,10,7,3,11,737,77,109,66,43,41,57,76,49,8,0,7,0,5,0,17,553,9,116,329,83,22,24,23,25,0,0,0,3,0,0,23,663,0,4,16,70,150,118,70,13,3,11,5,0,3,0,5,479,8,8,45,78,148,457,681,285,78,62,59,54,17,4,22,2005,3,4,10,36,81,150,151,46,10,8,7,8,8,0,7,542,0,0,3,5,15,8,34,38
CED120,0,0,0,0,13,16,17,12,0,0,0,0,0,0,3,65,0,0,0,0,0,15,64,20,3,7,7,18,0,0,7,141,0,0,8,26,23,32,43,23,7,4,0,6,3,0,4,196,4,8,14,9,41,85,176,118,13,17,13,57,15,15,23,590,5,31,128,43,18,43,12,0,0,0,0,0,0,0,7,280,10,21,27,10,25,19,16,20,0,0,0,0,0,0,7,166,0,5,9,12,98,86,119,40,0,7,4,18,3,5,15,407,95,154,77,54,64,38,42,20,0,0,0,0,5,0,25,581,7,38,111,21,9,8,4,14,0,0,0,0,0,0,14,216,0,4,8,13,27,16,6,10,8,0,4,5,3,0,0,98,5,8,28,30,51,61,293,227,37,33,42,56,13,3,16,895,0,12,8,15,25,16,39,19,7,9,0,7,4,0,0,159,0,0,0,9,16,23,24,22
CED121,0,0,0,0,0,0,0,7,0,0,0,6,0,0,4,22,0,0,0,0,0,5,20,33,5,7,3,8,0,0,5,88,0,0,20,27,20,22,43,22,0,4,10,13,0,0,6,188,3,9,9,4,44,26,124,79,20,14,26,15,5,0,26,403,0,11,31,14,3,5,3,0,0,0,0,0,0,0,6,77,8,5,23,5,3,0,8,4,3,6,0,0,0,0,9,64,3,8,10,22,35,16,29,7,3,3,3,9,3,20,15,190,125,169,61,29,25,21,40,23,0,5,4,0,6,0,27,516,3,18,27,3,10,0,0,0,0,0,0,0,0,0,4,64,0,0,6,15,16,16,10,14,8,6,4,3,6,0,5,114,15,9,31,23,9,29,227,228,43,52,42,41,14,6,20,798,4,8,5,3,4,13,32,16,0,3,3,4,3,0,0,101,5,0,0,0,9,8,10,15
CED122,0,0,0,0,5,13,9,4,0,0,0,0,0,0,8,45,0,0,0,16,92,310,331,162,46,60,57,51,33,7,15,1188,0,0,13,44,38,75,142,97,15,19,38,27,27,11,9,559,16,59,60,142,761,885,1730,1540,538,601,534,766,227,34,164,8047,0,46,164,40,16,37,11,7,0,0,0,0,0,0,13,347,64,138,240,99,60,42,38,21,7,8,4,3,3,0,23,759,0,3,15,71,184,103,97,27,3,10,5,6,15,0,17,553,43,55,67,42,52,72,218,114,34,43,43,54,20,4,25,871,71,586,985,203,59,18,27,54,5,0,7,4,0,0,108,2138,0,18,64,197,411,409,236,156,70,77,71,65,58,17,38,1880,10,5,85,113,157,208,484,342,149,178,267,371,156,14,54,2602,3,3,24,168,535,976,1080,749,239,307,342,368,160,12,145,5119,0,0,5,15,62,74,81,146
