CED_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED116,..,218,256,125,191,365,296,159,50,1650,..,135,401,381,786,1980,2754,2340,1245,10022,188,227,171,115,165,245,240,130,64,1542,11649,6601,7207,7808,9082,12098,12468,6944,2375,76236,..,163,4226,8133,9305,13259,15686,8104,1522,60411,..,1333,3982,2541,2396,2466,1516,444,57,14730,..,208,969,1545,1863,1067,552,452,329,6987,23585,..,..,..,..,..,..,..,..,23585,..,5261,..,..,..,..,..,..,..,5261,..,4534,2155,877,715,502,109,0,0,8889,..,601,324,154,244,492,587,401,285,3096,..,434,391,169,181,138,98,37,21,1473,..,456,654,305,390,720,633,289,82,3528,..,328,948,968,1909,3799,4762,3642,1763,18115,377,456,390,301,373,480,483,247,93,3200,23961,13765,14042,14985,17369,22930,24422,13627,4156,149271
CED117,..,1487,2694,534,264,243,203,67,14,5501,..,412,1776,1649,1588,1793,1884,1167,522,10790,150,289,423,243,186,123,104,52,39,1606,10500,7166,14158,12379,10598,7806,5786,3040,1150,72588,..,160,5466,12257,10375,7156,5058,2615,634,43721,..,989,8550,5124,3404,1997,973,224,20,21275,..,27,187,894,1727,1132,513,403,288,5171,21134,..,..,..,..,..,..,..,..,21134,..,6013,..,..,..,..,..,..,..,6013,..,2117,1834,709,675,366,67,0,0,5765,..,561,742,263,228,350,417,324,203,3091,..,436,896,238,119,99,40,21,11,1865,..,2686,5399,1257,633,552,416,153,28,11122,..,711,3412,3081,2977,3153,2925,1681,722,18665,314,517,766,435,334,253,174,80,45,2906,21449,14218,27252,24260,20460,15050,10585,5499,1949,140720
CED118,..,349,478,168,158,233,111,43,7,1559,..,163,494,462,537,894,1213,873,390,5022,137,161,178,92,60,90,98,59,34,913,21247,11269,14386,17951,11760,8954,6660,2985,985,96193,..,481,13015,27957,16916,11708,8151,3102,508,81840,..,1057,3663,2115,1567,816,290,82,7,9605,..,154,746,1689,2065,1315,633,389,223,7223,43358,..,..,..,..,..,..,..,..,43358,..,11859,..,..,..,..,..,..,..,11859,..,6443,4948,1321,690,311,66,0,0,13777,..,1156,1265,442,422,870,1083,630,275,6152,..,729,980,360,227,108,63,17,8,2486,..,970,1561,578,449,474,285,91,16,4429,..,334,1238,1238,1343,1780,1879,1279,550,9643,303,318,340,214,135,172,148,84,39,1762,43661,23501,27759,35928,23811,17556,12590,5685,1631,192127
CED119,..,138,207,74,101,109,94,45,12,774,..,83,334,354,456,955,1217,1213,581,5196,124,167,116,91,68,80,94,42,28,804,14427,8454,8295,10596,10629,8961,6788,3804,1221,73175,..,169,6234,14604,14397,12287,9416,4433,810,62357,..,650,3500,2216,1870,1102,458,127,18,9941,..,35,396,1082,1794,1103,457,353,191,5415,29219,..,..,..,..,..,..,..,..,29219,..,9278,..,..,..,..,..,..,..,9278,..,6132,3832,946,611,269,53,4,0,11833,..,413,346,177,189,428,473,406,237,2673,..,193,287,112,129,77,56,16,6,876,..,258,498,237,233,255,194,89,13,1778,..,177,771,832,1074,1738,1905,1679,824,8998,262,311,247,203,148,140,153,64,41,1559,29480,17619,16112,20411,20446,17397,13157,7173,2132,143928
CED120,..,130,188,86,135,203,162,83,20,995,..,146,415,322,592,1351,1760,1378,608,6581,246,238,165,80,98,147,122,57,36,1190,16688,9437,10445,10680,10865,10063,8164,4080,1257,81683,..,254,8386,13440,13700,12525,10271,4517,771,63858,..,1643,5010,2811,2464,1723,765,225,29,14669,..,188,1012,1663,1922,1047,525,341,207,6902,34015,..,..,..,..,..,..,..,..,34015,..,7841,..,..,..,..,..,..,..,7841,..,7400,3199,956,619,311,51,3,0,12532,..,551,384,208,316,581,671,473,218,3399,..,455,449,212,190,130,87,35,9,1557,..,292,491,227,289,406,368,157,33,2260,..,312,999,900,1502,2559,2929,2136,853,12189,456,477,369,232,258,272,235,101,49,2452,34474,19407,20287,20642,21256,19551,15894,7987,2177,161673
CED121,..,236,255,104,208,289,216,89,14,1415,..,196,514,397,723,1537,2040,1808,1007,8230,279,350,212,118,136,170,134,77,33,1511,15402,9182,10513,9983,10342,10333,9119,5146,1753,81771,..,305,7011,10870,11326,11892,11104,5625,1004,59133,..,2073,5481,3037,2597,1811,856,260,34,16153,..,290,1562,2082,2233,1207,642,439,249,8698,31094,..,..,..,..,..,..,..,..,31094,..,6498,..,..,..,..,..,..,..,6498,..,6620,2744,1111,722,425,72,0,0,11693,..,789,498,215,369,589,634,459,212,3760,..,624,552,271,248,175,98,30,9,1998,..,511,753,325,442,616,482,170,34,3328,..,444,1352,1232,1835,3101,3498,2628,1406,15490,555,650,481,301,305,334,261,149,50,3092,31650,18800,20433,19442,20074,20149,17641,9761,2992,160938
CED122,..,1723,2991,565,215,224,201,66,31,6017,..,444,1680,1386,1157,1582,2013,1665,867,10793,139,414,360,170,128,113,108,60,42,1545,12778,10070,17316,13132,11005,8837,6897,4511,1766,86316,..,199,7121,13829,12297,9612,7015,4119,1037,55240,..,1516,10218,4607,2321,1298,567,180,16,20730,..,66,406,1206,2047,1364,639,553,335,6607,25806,..,..,..,..,..,..,..,..,25806,..,8136,..,..,..,..,..,..,..,8136,..,3646,3191,1051,883,488,65,0,0,9332,..,1024,1009,316,299,532,623,512,343,4656,..,718,1582,356,181,139,64,30,9,3083,..,3483,6263,1225,536,516,438,156,51,12676,..,909,3250,2757,2381,2960,3216,2426,1176,19081,286,758,668,347,255,221,163,94,54,2848,26095,20454,33715,25695,21204,17133,12789,8080,3027,168196
CED123,..,349,420,177,233,258,179,51,23,1683,..,361,891,671,925,1463,1639,1212,506,7677,246,257,204,113,84,82,103,46,28,1156,18401,11279,13948,13183,11048,9406,7361,3496,1107,89234,..,442,9758,15706,12603,10518,8422,3476,553,61486,..,2231,6044,3172,2139,1273,442,140,13,15453,..,350,1725,2368,2500,1477,774,472,237,9900,37533,..,..,..,..,..,..,..,..,37533,..,8687,..,..,..,..,..,..,..,8687,..,7660,4228,1371,787,365,69,5,0,14491,..,1088,885,417,498,782,910,490,238,5300,..,572,567,292,227,178,88,26,4,1963,..,730,1039,482,546,594,386,124,31,3930,..,654,1979,1837,2231,2799,2664,1797,684,14642,492,460,442,271,223,175,146,78,33,2311,38034,22874,26666,25919,21745,18170,13902,6596,1796,175697
CED124,..,142,185,116,207,388,346,151,58,1591,..,118,311,268,733,1865,2579,2419,1330,9620,194,238,167,99,141,216,213,115,49,1426,11355,6423,6138,7196,9129,12052,12381,7210,2458,74348,..,153,3692,7226,9408,13206,15616,8448,1570,59317,..,1123,2842,2257,2467,2436,1589,573,62,13355,..,204,1031,1569,1786,1028,607,512,360,7090,22793,..,..,..,..,..,..,..,..,22793,..,5026,..,..,..,..,..,..,..,5026,..,4746,1997,963,813,567,116,0,0,9197,..,581,278,129,230,533,621,428,279,3082,..,457,318,162,200,177,126,57,16,1515,..,292,393,283,442,772,730,326,94,3330,..,246,725,776,1719,3661,4782,3758,1857,17512,415,481,386,279,348,392,404,195,74,2974,23209,13317,11658,13634,17406,22760,24587,14301,4309,145187
CED125,..,260,310,130,211,237,183,50,11,1390,..,210,597,482,622,1260,1621,1004,388,6185,257,225,236,129,92,104,108,42,28,1235,22251,11887,16264,15194,11242,10439,7812,3269,918,99274,..,495,13310,20113,13974,12630,9282,3431,452,73684,..,1601,5442,2937,2005,1263,506,114,17,13889,..,358,1652,2538,2508,1579,827,418,181,10051,45125,..,..,..,..,..,..,..,..,45125,..,10399,..,..,..,..,..,..,..,10399,..,8233,5622,1685,730,312,55,0,0,16641,..,1210,1146,531,548,1015,1042,611,268,6388,..,525,663,318,223,164,73,33,10,2006,..,519,814,434,495,507,384,119,19,3291,..,437,1459,1419,1629,2292,2492,1470,517,11715,539,455,502,290,213,193,183,66,39,2473,45666,24231,30605,30262,22332,19953,14841,6263,1499,195652
