CED_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
CED111,389,231,618,237,341,577,5,0,6,3,3,5,38,42,78,20100,14101,34199,874,1209,2081,408,4,416,230,23,257,300,68,367,153,112,266,863,948,1810,23596,17079,40672,41,47,87,0,0,0,3,0,4,99,43,147,12,15,25,20,6,26,171,110,284,0,0,0,0,0,0,18,16,31,17,42,54,15,9,18,49,63,111,187,105,292,408,284,687,23,20,42,7,13,16,6,6,9,34,37,72,9662,12278,21934,4659,7012,11669,121,103,226,38478,36789,75267
CED112,218,115,337,169,230,402,0,0,4,3,0,0,4,16,22,20825,16046,36872,1243,1259,2500,600,11,614,192,16,209,87,20,113,157,100,257,349,417,767,23855,18234,42098,73,49,124,0,0,3,0,0,0,104,37,143,12,8,20,13,0,15,211,107,315,0,0,0,0,0,0,9,6,17,18,31,47,11,9,15,31,48,82,211,84,293,454,234,686,41,28,65,4,3,7,6,0,6,51,33,82,6537,9199,15735,4540,7074,11612,164,151,317,35606,34924,70527
CED113,8,11,19,199,221,422,4,3,5,0,3,7,43,34,74,27722,23763,51488,1558,2062,3619,844,22,867,369,40,412,189,64,254,281,138,420,1398,1430,2823,32627,27793,60422,3,0,3,0,0,0,0,0,0,23,15,39,4,6,9,4,0,5,34,18,48,0,0,0,0,3,4,25,42,71,27,39,65,4,11,14,56,98,154,346,190,534,434,308,736,3,0,9,3,17,20,23,9,26,25,26,56,4239,5305,9542,3167,4913,8080,289,219,510,40790,38568,79354
CED114,11,5,17,112,101,212,18,9,21,3,0,3,62,68,130,29059,25096,54156,1983,2247,4229,682,22,703,252,43,293,335,109,444,325,102,426,1575,1454,3034,34413,29256,63668,0,0,3,0,0,0,0,0,0,5,4,11,0,0,0,4,0,0,14,8,25,0,0,0,0,0,0,9,6,16,7,13,23,9,3,7,21,22,46,286,172,458,325,203,526,3,0,3,0,5,4,32,9,44,36,8,47,3587,4119,7705,2368,4400,6772,345,275,624,41070,38270,79341
CED115,609,674,1283,181,257,436,4,0,4,4,0,4,41,41,80,16005,10135,26141,808,1610,2418,434,8,446,88,8,100,79,17,89,173,128,304,468,690,1159,18883,13580,32468,237,246,486,0,0,0,5,8,10,117,86,207,28,57,86,14,13,24,398,412,807,0,0,0,0,0,0,7,18,24,10,32,43,5,6,15,24,54,81,185,143,331,610,608,1222,82,93,179,6,5,9,9,0,6,98,100,197,5785,7698,13484,4736,4270,9007,202,139,347,30321,26398,56720
CED116,32,18,52,61,61,124,12,0,12,0,3,3,22,31,57,21291,18741,40029,1282,1457,2742,717,20,737,227,25,254,230,88,314,218,101,316,837,898,1732,24920,21449,46369,4,9,6,0,0,0,0,0,0,15,6,23,0,4,5,3,0,5,21,17,40,0,0,0,0,0,0,10,14,25,6,17,22,0,0,3,21,31,49,240,92,331,282,143,417,4,3,5,0,3,5,9,0,18,18,7,25,4045,5393,9436,3198,4751,7947,232,213,442,32683,31956,64638
CED117,1348,1147,2497,661,771,1434,58,22,82,80,69,146,83,107,192,10106,6963,17063,467,801,1270,177,3,183,452,82,535,724,275,1000,214,140,346,1329,1532,2860,15697,11917,27615,408,410,813,8,5,13,30,37,62,40,39,76,14,38,52,51,34,79,547,551,1102,9,18,32,21,33,59,19,17,30,13,24,40,28,21,50,95,109,207,143,85,229,791,752,1544,114,88,202,19,12,31,3,0,4,139,100,238,21078,24812,45886,4082,5683,9762,128,112,239,41912,43378,85290
CED118,1139,1257,2392,345,500,844,0,0,3,10,8,15,62,49,114,20062,13848,33916,838,1679,2520,464,0,467,208,9,218,95,20,110,263,157,427,302,387,683,23795,17914,41713,381,557,937,0,0,0,9,12,27,235,137,376,34,81,112,37,31,68,697,817,1513,0,0,0,0,0,6,37,32,67,18,62,83,12,15,28,71,114,178,214,134,348,980,1063,2039,190,222,417,7,18,26,6,5,8,205,244,448,18554,18822,37376,6849,6975,13828,207,171,379,50595,45196,95788
CED119,865,658,1524,41,60,104,3,10,13,0,0,3,22,23,42,17239,11788,29026,742,949,1692,490,6,496,162,11,176,140,22,160,173,128,305,533,504,1035,20416,14156,34571,120,105,228,3,0,8,14,17,27,179,110,284,28,32,66,30,4,35,369,272,644,0,0,0,0,0,0,6,7,12,0,8,7,3,3,11,10,20,34,118,77,198,496,369,874,55,43,99,0,6,5,8,0,8,63,46,111,12939,16089,29030,4798,6590,11390,112,78,188,38831,37335,76164
CED120,187,106,290,72,67,147,3,4,7,0,0,0,27,26,52,26232,19059,45294,1427,1402,2829,1393,37,1427,212,16,227,75,17,91,208,115,327,745,680,1430,30577,21541,52118,33,25,58,0,0,0,0,0,0,117,60,171,6,13,24,4,0,7,165,98,261,0,0,0,0,0,0,15,11,27,10,11,26,0,4,0,28,30,55,258,101,365,446,225,678,40,17,54,5,0,5,15,3,17,60,20,81,7206,11304,18511,4605,6917,11523,210,205,417,43105,40217,83323
CED121,74,45,117,88,103,193,16,4,22,0,6,6,18,17,35,26123,19980,46105,1308,1435,2744,768,18,789,263,39,297,96,24,120,204,119,321,855,572,1425,29812,22358,52169,16,19,38,0,0,0,0,0,0,17,8,25,11,6,13,4,5,9,50,29,80,0,0,0,0,0,0,8,10,13,9,22,38,5,3,6,24,33,58,242,116,358,317,183,499,14,14,30,4,4,4,10,3,16,29,21,48,4620,7286,11901,5090,7105,12197,207,147,350,40072,37094,77165
CED122,576,524,1101,1476,1952,3427,5,3,6,203,155,353,86,128,208,16613,10767,27383,869,1596,2471,429,3,435,787,140,928,602,233,832,284,204,484,1560,2145,3708,23484,17852,41338,391,443,834,0,0,0,57,38,95,50,13,65,10,21,28,19,4,27,526,527,1050,3,0,4,66,87,156,61,34,97,35,81,116,53,63,113,217,264,481,284,132,413,1028,927,1950,115,146,262,30,38,67,6,9,16,148,195,340,17419,21034,38455,4564,6637,11201,236,168,401,46882,46805,93684
CED123,740,553,1292,126,204,333,10,0,6,3,0,3,65,59,122,25061,16644,41703,1413,1623,3034,1164,16,1178,277,20,295,104,18,129,218,153,368,518,544,1060,29688,19839,49525,225,258,483,0,0,0,12,5,13,168,114,279,29,35,64,34,13,52,474,423,898,0,0,0,4,0,4,17,11,20,10,26,39,9,7,19,33,45,80,264,119,378,768,586,1354,102,89,192,7,11,17,11,3,13,121,100,221,9176,14049,23223,5610,7352,12962,203,158,356,45566,42073,87639
CED124,9,9,21,74,96,166,4,4,12,0,0,8,19,25,45,19652,18125,37781,1125,1362,2487,788,22,813,219,28,249,114,33,155,166,93,258,908,814,1725,23088,20619,43712,0,3,3,0,0,0,0,0,0,3,5,8,6,0,6,0,0,0,8,8,13,0,0,0,0,0,0,6,8,16,7,16,20,7,3,10,16,25,48,225,105,327,243,146,390,5,0,6,0,0,4,10,5,10,11,4,13,3605,4637,8237,2828,4363,7192,273,249,525,30054,30012,60066
CED125,1000,862,1862,148,228,379,5,0,10,0,0,7,66,54,119,24386,16773,41154,1383,1909,3296,767,14,779,227,21,246,83,13,95,236,188,422,356,399,760,28664,20460,49125,257,323,581,0,0,0,3,7,16,273,168,441,40,76,119,25,18,42,599,596,1195,0,0,0,0,0,0,16,12,24,9,26,37,6,9,15,30,43,81,213,126,338,852,769,1616,121,143,266,4,7,12,8,3,11,134,154,287,10247,13649,23897,7142,7395,14536,240,163,407,47274,42585,89856
CED126,29,13,42,942,999,1942,12,4,19,6,0,5,35,31,69,16924,12130,29050,816,1034,1849,505,7,509,410,51,464,254,46,301,223,132,354,767,846,1613,20920,15293,36216,55,54,108,0,0,0,0,0,0,23,5,29,0,0,0,3,3,7,77,66,147,7,4,14,11,5,12,57,51,109,35,70,104,21,15,37,127,148,276,187,103,295,396,314,709,21,14,35,20,22,40,8,4,10,46,35,81,14608,16364,30966,3797,6065,9862,151,129,276,39915,38198,78113
CED127,408,249,657,27,42,68,11,6,11,0,0,3,15,35,49,18091,12985,31076,840,932,1778,1012,18,1031,182,25,204,105,25,134,142,123,267,622,516,1146,21461,14954,36413,54,48,99,0,0,0,0,0,0,86,56,135,20,21,41,32,12,38,189,129,317,0,0,0,0,0,0,7,7,14,7,6,17,3,5,7,14,22,32,222,71,297,430,221,647,24,23,40,0,0,5,7,4,12,30,30,62,9232,12490,21717,4354,6195,10545,151,120,269,35650,34009,69656
CED128,569,510,1080,156,192,351,8,0,5,0,0,3,57,44,102,16431,10752,27180,886,1363,2254,612,8,623,101,9,116,62,10,73,211,135,350,293,307,599,19384,13343,32723,233,259,496,0,0,0,0,9,6,112,63,179,23,41,60,21,12,30,382,381,771,0,0,0,0,0,0,4,10,17,15,26,39,7,5,10,25,46,69,154,97,251,567,525,1092,77,87,160,5,5,7,0,0,4,81,92,173,6987,9873,16859,5332,4701,10033,208,157,368,32560,28697,61251
CED129,481,389,864,552,574,1125,3,0,3,6,7,17,25,20,45,18214,13082,31293,773,1316,2088,383,4,391,151,6,165,96,14,107,232,150,381,325,376,704,21241,15947,37183,259,259,522,0,0,0,8,5,16,125,74,202,14,27,44,18,11,24,423,381,799,0,0,0,7,9,16,55,45,99,20,44,68,19,10,24,99,106,209,137,111,248,660,597,1259,98,98,196,15,10,19,4,0,4,111,109,219,21070,21861,42934,5005,6926,11931,148,111,256,48229,45546,93781
CED130,3,7,6,115,62,173,8,7,13,3,0,0,37,54,88,21449,19245,40689,1569,1743,3313,867,37,903,327,54,381,168,47,211,275,151,421,1237,1208,2439,26056,22598,48655,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,4,4,3,10,0,0,0,0,0,0,12,7,19,17,10,27,10,3,12,41,16,62,259,131,387,308,156,460,0,4,5,5,8,12,23,4,24,22,11,37,4923,5941,10862,3457,4901,8357,288,234,526,35053,33844,68894
CED131,100,45,144,359,469,822,15,25,40,38,29,61,54,66,119,23521,19201,42723,1049,1486,2537,316,10,324,344,76,425,561,247,807,182,118,299,1055,1173,2226,27598,22950,50545,24,14,39,0,0,0,4,0,7,16,8,24,3,7,8,11,3,19,64,39,95,8,4,10,4,6,9,31,35,62,18,43,66,11,25,43,70,110,183,286,182,468,422,326,748,30,14,44,19,11,32,15,8,26,63,34,95,9064,11298,20364,5232,8095,13321,160,115,276,42523,42819,85350
CED132,952,964,1913,868,967,1828,39,23,67,4,4,9,57,64,117,10592,7313,17902,462,1052,1515,143,5,147,329,49,375,292,72,366,207,140,343,1772,1997,3767,15700,12644,28349,291,325,614,10,10,15,7,14,21,45,30,79,17,22,38,36,25,61,406,422,829,0,7,7,11,12,21,44,30,66,27,44,67,30,29,60,109,116,230,101,75,172,617,606,1223,60,59,119,13,10,26,3,5,8,77,68,145,25547,26099,51649,3477,5505,8983,103,127,229,45527,45052,90576
CED133,9,0,9,130,130,257,9,5,12,4,0,4,30,31,60,22689,21067,43751,1527,1698,3225,775,30,801,257,28,292,286,88,369,190,95,288,1145,1037,2179,27043,24198,51248,0,0,0,0,0,0,0,0,0,5,7,10,0,0,0,0,0,0,5,8,13,0,0,0,0,0,0,18,0,16,10,12,21,3,0,10,28,16,46,269,144,414,304,165,469,0,0,0,6,7,13,11,3,21,22,14,31,3777,4948,8720,3299,5053,8349,290,250,546,34740,34624,69368
CED134,5,0,5,338,147,479,6,3,14,0,0,7,49,66,114,23011,20910,43917,1755,1957,3710,827,26,852,244,53,293,183,45,225,294,154,441,1557,1486,3045,28262,24845,53106,0,4,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,8,7,14,0,0,0,0,0,0,50,11,65,8,10,21,7,0,11,67,27,90,277,133,417,355,166,519,5,0,4,3,4,5,36,5,39,51,7,57,3260,3805,7061,2430,3540,5966,301,264,563,34653,32626,67270
CED135,1990,2036,4022,559,775,1336,4,0,6,3,0,3,79,84,161,17621,10147,27769,737,1780,2521,354,0,359,279,37,313,169,49,218,262,185,448,954,1168,2124,23021,16264,39288,750,1042,1790,4,0,4,26,29,51,141,85,224,36,68,110,36,31,72,993,1261,2250,0,0,0,4,3,3,53,31,83,25,66,92,12,21,32,87,125,213,178,133,314,1258,1508,2774,215,259,470,7,15,31,8,3,6,232,278,507,18649,16805,35453,5816,5911,11726,336,167,508,49312,40935,90249
CED136,92,61,155,121,152,273,5,3,8,3,0,3,30,19,48,25798,20035,45837,1410,1429,2841,643,20,659,223,13,238,109,29,134,169,118,283,517,547,1066,29110,22435,51541,13,17,33,0,0,0,6,7,11,29,7,36,4,5,13,19,5,20,77,43,124,0,0,0,3,5,5,5,3,6,12,20,41,8,0,4,28,31,64,258,123,378,364,202,563,28,23,43,6,0,7,9,7,21,34,33,67,5015,7609,12632,5065,7558,12615,179,153,335,39769,37988,77758
CED137,2969,3026,5993,503,666,1169,77,54,126,12,4,16,73,74,150,18394,10781,29175,701,1718,2418,311,6,325,446,38,486,258,71,331,317,204,522,1022,1276,2303,25089,17921,43007,913,1258,2168,12,14,20,33,45,81,174,78,249,30,110,138,60,41,105,1220,1539,2758,6,13,21,7,5,16,26,18,46,17,50,64,21,15,36,70,107,179,192,118,314,1492,1753,3247,200,215,416,8,10,21,15,3,16,226,230,451,20824,22613,43431,5329,6979,12307,231,184,412,53179,49686,102861
CED138,16,7,18,137,125,262,0,0,3,0,3,4,27,18,48,21808,20373,42186,1126,1437,2567,624,20,643,298,33,329,530,319,853,224,116,341,1037,1107,2146,25828,23567,49395,4,0,0,0,0,0,0,0,0,15,9,27,3,5,9,4,0,4,26,13,39,0,0,0,0,0,0,7,7,10,17,21,37,10,4,14,27,38,64,245,149,393,303,203,506,6,0,8,7,8,8,4,8,16,21,9,32,5497,7367,12866,3663,5572,9236,270,240,507,35589,36956,72542
CED139,7,0,8,260,129,390,17,9,24,3,0,3,48,47,97,25494,22965,48458,2011,1835,3848,745,35,779,255,31,290,183,50,238,419,135,550,1767,1517,3288,31205,26770,57979,0,0,0,0,0,0,0,0,0,6,3,9,0,0,0,0,0,0,8,3,14,0,0,0,0,0,0,24,6,27,16,15,25,3,5,8,44,18,65,311,121,431,362,146,508,0,0,3,0,4,7,19,3,28,26,14,41,3482,4039,7527,2291,4011,6308,311,240,552,37689,35225,72911
CED140,471,289,761,166,239,411,22,0,21,0,4,4,21,30,51,16918,13335,30252,890,1123,2015,417,14,431,184,17,200,112,36,152,159,109,275,502,569,1069,19867,15768,35631,148,108,255,0,6,7,0,0,0,161,61,225,22,17,41,25,11,37,362,207,568,0,9,12,0,0,0,7,11,21,15,24,37,9,11,16,32,52,87,194,77,270,591,333,922,56,33,91,13,11,19,11,3,12,78,52,128,9455,11126,20584,4043,6224,10269,173,139,308,34203,33635,67844
CED141,36,25,70,146,198,344,0,0,4,0,0,3,22,20,47,20988,16851,37845,1089,1213,2308,516,14,531,228,22,253,138,33,170,124,86,210,350,376,725,23642,18854,42500,23,6,25,0,0,0,4,0,9,25,12,38,8,0,10,6,0,6,62,27,92,0,0,0,0,0,0,8,11,21,12,22,37,0,6,6,27,38,60,188,86,279,275,154,430,8,10,14,4,3,11,0,0,7,15,16,30,5959,8382,14334,4236,6486,10724,128,133,266,34256,34032,68288
CED142,2509,1922,4430,1676,1888,3562,20,7,25,284,272,557,217,200,414,10118,5661,15776,541,1005,1545,121,4,123,831,136,977,1507,518,2026,492,304,802,6142,5110,11250,24460,17020,41480,848,795,1647,11,9,19,61,53,115,48,34,81,22,30,57,123,50,173,1124,967,2096,8,0,9,82,74,152,32,19,48,18,51,67,61,67,126,204,203,404,231,107,337,1563,1281,2839,238,170,408,31,34,65,18,12,31,286,216,504,33296,30426,63733,6138,7297,13440,243,191,436,65982,56439,122423
CED143,25,30,60,1016,1066,2085,229,87,317,3,0,3,37,49,87,11668,8514,20185,524,928,1453,274,0,276,500,77,578,403,141,551,189,152,338,1049,1262,2312,15923,12317,28244,105,87,193,28,22,48,0,0,0,11,7,15,0,4,8,4,3,9,151,118,270,47,29,75,7,9,19,43,29,67,21,42,67,28,22,49,142,133,275,184,99,284,479,348,828,57,50,107,29,18,49,10,6,20,97,77,170,20727,21621,42347,3328,5490,8811,147,98,239,40695,39949,80638
