CED_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED111,8,22,51,277,28,12,12,0,0,417,0,0,5,19,19,13,11,0,0,72,10,47,76,388,129,148,99,33,5,936,0,0,4,51,33,34,82,32,20,265,0,0,9,7,13,0,0,0,0,32,0,11,24,78,107,245,223,164,71,922,5,34,11,24,27,16,7,8,0,132,5,27,54,250,107,88,90,26,9,658,0,8,44,98,30,33,19,12,9,241,4,6,5,51,14,6,4,0,0,86,5,55,120,294,99,43,10,9,0,636,3,4,9,59,121,134,56,66,14,468,18,66,96,250,109,86,74,33,5,738,7,33,146,244,111,124,90,38,13,813,0,0,11,31,39,82,64,33,18,278,0,4,16,36,17,21,8,0,0,104,44,338,412,1356,713,743,750,605,301,5257,269,685,986,1813,743,708,638,552,281,6658,8770,18672,22402,41837,20382,19750,15558,9837,4479,161676
CED112,0,10,16,55,11,7,13,0,0,106,0,0,4,17,32,34,9,4,0,108,5,58,94,500,208,195,118,31,9,1217,0,0,0,53,23,12,44,23,6,166,0,0,0,17,9,7,3,0,0,32,0,17,20,69,89,170,189,164,51,770,0,4,0,19,15,24,14,4,0,78,0,28,70,212,175,108,90,60,11,757,0,4,0,43,16,18,18,15,3,117,0,13,0,10,5,7,3,0,0,43,3,30,31,172,65,49,16,0,3,364,0,0,0,4,6,18,5,4,0,44,3,40,44,153,78,67,65,29,4,477,0,11,16,88,45,15,11,3,0,199,4,3,3,29,39,42,36,44,11,214,0,4,22,66,41,22,7,13,5,178,8,59,85,510,389,407,453,355,128,2384,386,935,876,1918,969,876,960,831,570,8306,9752,21227,19150,38725,20457,19907,17745,10959,4801,162722
CED113,12,21,12,160,13,10,8,0,0,232,0,0,0,25,70,57,8,6,0,162,15,80,109,387,178,129,80,16,10,1001,0,0,0,33,18,30,36,18,10,156,0,0,5,20,14,7,4,0,0,50,0,3,11,40,73,153,155,123,29,588,7,6,7,28,28,21,14,0,0,110,6,60,55,226,157,114,65,34,8,723,0,16,9,80,30,27,24,5,0,196,4,0,0,104,7,5,0,0,0,118,3,32,26,170,79,45,15,3,0,368,0,3,4,12,11,9,3,3,0,44,18,78,72,204,81,128,134,50,4,771,4,3,4,60,44,26,12,4,0,151,0,0,6,17,26,43,31,20,8,151,0,6,7,38,36,26,28,5,0,146,19,67,82,661,369,454,521,371,155,2688,411,1042,881,2364,1304,1600,1424,838,401,10280,8838,19741,16213,38233,22010,23536,19654,9855,3452,161530
CED114,0,26,37,150,39,13,6,6,0,281,0,0,3,13,20,19,3,0,0,61,23,120,127,623,208,139,74,24,0,1335,0,0,0,8,4,3,12,3,3,39,0,16,45,53,49,36,13,4,0,216,0,4,4,37,37,84,119,86,37,415,0,3,3,7,15,9,5,0,0,52,17,51,65,157,95,76,40,28,3,523,4,21,12,100,32,15,10,3,0,207,5,0,11,172,0,0,0,0,0,183,0,19,19,116,49,33,7,4,0,251,0,0,5,28,27,21,13,3,0,94,3,21,17,84,32,41,28,14,0,243,0,14,16,64,26,8,8,0,0,141,0,0,5,11,11,21,23,23,5,98,0,3,11,52,26,22,7,0,4,134,19,122,153,780,346,312,242,207,71,2249,669,1658,1435,3219,1722,1987,1845,1241,550,14323,10242,21862,19246,39833,20990,23306,20824,12114,4701,173116
CED115,14,59,92,515,66,30,27,4,0,807,0,0,5,0,4,5,0,0,0,13,10,81,180,859,347,361,380,108,29,2349,0,6,4,62,57,84,138,57,38,453,0,38,85,227,180,170,78,13,0,800,0,0,0,10,9,36,46,31,10,149,0,8,6,48,9,12,27,3,0,115,0,4,11,30,21,17,20,10,6,121,0,7,9,69,28,25,33,27,5,206,0,3,13,75,20,17,21,0,0,151,9,51,109,752,170,132,84,14,0,1317,7,42,13,91,90,99,87,51,3,483,3,31,31,79,13,13,10,4,0,190,72,657,1703,7521,6449,6335,3496,1075,510,27813,0,0,0,4,0,9,13,6,0,30,0,7,20,52,11,10,0,0,0,101,80,635,868,3216,2082,2209,2071,1187,419,12773,650,1402,1382,3299,1340,1175,860,449,191,10752,9738,21319,23699,46905,22132,22246,16092,7871,3531,173523
CED116,0,11,3,35,0,0,0,0,0,58,0,3,0,13,29,32,18,4,0,106,4,49,58,294,113,106,88,22,3,733,0,3,3,21,18,29,52,23,14,166,0,0,0,10,7,3,0,0,0,24,0,9,12,44,61,196,284,208,76,894,4,13,6,13,25,18,23,6,5,104,0,18,22,120,84,101,121,60,14,545,0,10,3,51,16,11,8,7,0,104,0,0,0,19,4,0,0,0,0,30,5,11,29,126,70,25,13,0,0,294,0,3,0,7,9,3,5,4,0,29,13,39,47,137,88,106,148,52,14,643,0,4,18,67,46,16,12,3,0,162,0,3,0,19,22,48,72,61,22,248,0,0,4,24,16,22,12,7,0,84,14,63,62,361,262,378,529,451,142,2262,442,1129,990,2097,1286,1584,1588,1129,494,10729,7903,17779,15112,32055,18925,24979,26616,14966,5405,163743
CED117,0,3,15,83,10,17,4,0,0,142,0,0,0,31,54,18,15,0,0,127,7,54,83,805,236,173,175,46,9,1584,0,0,3,142,65,37,48,30,17,357,0,0,0,8,5,8,4,0,0,27,0,3,25,226,193,161,125,54,12,804,15,57,44,193,79,49,29,14,0,473,0,11,51,445,169,84,79,29,8,876,0,0,4,192,42,33,26,17,7,327,3,9,10,193,29,15,13,3,0,279,4,34,59,655,162,81,52,6,0,1052,0,8,5,140,71,51,46,30,3,358,63,143,119,674,231,154,93,42,7,1524,3,56,162,714,376,439,313,82,55,2195,0,0,3,81,48,43,23,8,0,209,0,0,8,33,22,20,9,3,0,88,28,151,234,2421,942,822,832,680,260,6371,216,430,667,2391,821,700,496,352,208,6283,7687,14683,15172,54789,21719,16191,11617,6214,2659,150729
CED118,18,254,184,1240,224,154,90,31,6,2209,0,5,5,20,32,18,7,0,0,86,24,268,578,2733,1450,1294,831,179,76,7437,0,3,6,72,65,82,110,31,18,395,0,6,31,101,65,61,31,7,0,319,0,10,17,49,63,84,72,52,28,369,19,116,69,113,62,56,41,9,6,498,16,141,165,561,305,190,127,38,12,1560,20,203,332,2205,993,812,465,189,57,5277,3,15,17,134,30,22,41,4,5,262,6,28,55,256,92,42,23,8,4,503,0,10,16,219,174,174,84,50,9,738,28,125,110,189,58,60,23,7,4,603,5,28,34,240,134,81,75,19,0,617,0,0,4,15,14,8,10,12,4,61,0,22,47,106,61,28,5,7,0,287,63,548,639,2328,1086,939,695,433,149,6877,504,1056,1048,2935,910,660,515,347,155,8133,14626,30554,24710,67364,24846,18229,13110,6111,1995,201542
CED119,0,12,21,71,34,27,10,3,0,183,0,0,4,16,33,21,12,0,0,95,10,31,67,489,202,254,164,32,12,1268,0,0,6,107,45,66,78,19,14,341,0,9,0,38,28,37,5,5,0,125,0,11,19,99,99,112,128,100,27,603,6,21,19,32,25,36,37,5,0,186,6,52,57,268,194,148,131,66,15,940,0,6,0,54,36,57,40,19,6,218,0,0,7,48,20,10,16,5,0,111,9,18,20,192,71,37,12,5,0,364,0,0,3,31,31,25,6,9,0,104,17,57,61,189,90,76,48,17,3,554,4,25,43,317,224,144,100,24,10,892,0,3,6,41,33,41,22,25,7,170,0,3,16,42,25,20,9,0,0,111,17,173,221,1252,770,726,531,356,139,4174,178,410,407,996,442,371,340,356,221,3717,9266,20930,18402,37893,21011,17935,13793,7886,3181,150300
CED120,0,11,11,86,21,10,8,3,0,162,0,0,0,10,40,24,12,0,3,87,3,41,60,378,130,122,94,6,6,835,0,0,7,60,31,29,51,15,13,209,0,0,8,35,30,20,13,3,0,104,0,15,18,73,105,167,217,134,34,768,0,8,12,17,20,20,11,4,0,96,3,22,40,192,121,91,74,31,10,580,0,6,19,41,37,26,18,4,3,147,0,0,0,30,8,4,7,0,0,51,0,15,33,124,60,22,18,0,0,277,0,0,0,28,16,14,7,3,0,70,6,32,39,102,67,78,62,8,6,410,0,4,8,93,54,32,23,0,0,217,0,4,3,24,36,44,37,21,5,171,0,4,20,61,37,27,13,3,0,170,5,63,113,735,508,519,487,262,87,2787,384,1006,842,1986,984,1053,970,693,375,8299,11854,24129,20490,43439,22428,20748,17034,8874,3108,172094
CED121,4,15,5,72,19,0,4,0,0,126,0,0,11,19,41,31,25,9,0,134,11,64,88,388,161,129,89,21,4,953,0,0,0,22,15,18,41,21,11,126,0,0,9,28,15,15,10,5,3,83,0,13,15,35,59,131,166,109,44,572,3,3,9,17,9,13,13,0,0,65,5,60,82,221,177,98,79,45,3,778,3,6,4,44,26,18,17,7,0,123,0,0,0,30,6,0,0,0,0,36,4,14,29,196,76,29,11,0,0,368,0,0,0,15,7,3,0,3,0,29,9,22,41,127,60,58,54,23,5,396,0,13,14,146,38,13,0,0,0,229,0,0,3,13,27,34,38,20,11,144,0,3,19,75,30,22,15,5,0,167,9,52,99,408,238,264,267,207,75,1612,394,910,950,2032,955,1006,1000,738,355,8336,10562,22564,20370,43299,21516,21629,19128,10968,4383,174420
CED122,6,19,51,221,15,18,12,6,0,357,0,3,10,20,45,31,15,6,6,139,12,73,184,1120,435,332,228,78,15,2474,0,5,12,270,87,96,170,48,19,718,0,0,0,16,17,26,3,5,0,66,0,9,26,390,156,166,120,62,18,949,12,47,130,267,86,81,78,26,0,734,3,49,164,608,535,284,155,127,24,1957,3,4,43,166,55,54,56,15,3,394,6,11,48,323,67,50,61,4,5,575,6,34,81,681,178,101,75,4,3,1166,0,3,20,175,134,171,89,71,12,666,51,131,116,602,178,108,53,25,4,1261,6,25,186,451,197,117,117,36,12,1160,0,11,14,169,43,40,15,8,5,307,0,0,10,50,32,26,7,10,0,136,74,398,595,4966,1586,1530,1523,1079,398,12148,391,754,1263,3467,972,816,665,477,277,9081,9558,17842,23141,64333,22576,18246,13670,8778,3791,181933
CED123,10,85,89,441,104,69,42,12,0,853,0,0,9,16,22,13,9,3,0,71,15,188,372,1719,759,609,372,94,24,4143,0,6,0,54,34,46,67,33,23,270,4,28,98,192,128,103,46,22,0,628,0,0,13,71,99,218,207,128,32,771,7,23,11,60,31,31,26,7,0,185,0,27,38,210,130,109,66,51,10,636,6,34,65,374,135,119,85,30,3,857,3,0,6,66,10,10,16,0,0,108,7,25,40,270,98,74,16,4,0,537,0,5,5,63,45,50,29,16,3,214,9,24,40,127,32,55,36,10,0,337,0,18,24,191,87,45,23,10,4,405,0,0,4,13,24,41,42,14,3,147,0,3,37,90,60,30,7,6,0,232,22,191,373,1662,806,716,623,383,133,4896,630,1346,1289,3136,1167,894,793,692,489,10443,13743,26393,24394,56674,23115,19113,14685,7278,2446,187851
