CED_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
CED126,373,130,660,296,342,214,74,130,25,2242,0,7,0,5,5,3,3,0,0,26,199,236,83,76,95,62,37,33,36,855,187,152,145,88,124,94,47,85,197,1117,13041,19710,7372,4940,6915,3309,1300,1887,871,59338
CED127,271,76,639,392,356,211,98,221,22,2284,0,8,7,3,7,3,8,10,0,42,125,193,91,72,103,31,54,52,31,750,99,105,150,82,141,66,100,80,192,1011,7599,15175,8311,5771,6150,2274,2005,2358,738,50383
CED128,147,66,373,270,295,158,175,178,22,1686,5,4,5,0,9,0,5,7,0,37,60,66,63,55,93,38,85,49,29,539,99,92,150,97,146,72,137,134,301,1226,4646,10078,5663,4312,6338,2181,2512,2178,843,38749
CED129,374,113,494,296,419,246,96,144,21,2204,11,3,0,6,6,3,3,4,0,48,204,270,63,83,218,72,52,37,18,1024,155,208,129,70,152,87,58,49,276,1179,14690,29022,6697,5198,10394,3921,1554,1837,1085,74401
CED130,307,68,781,449,234,236,145,341,32,2592,5,7,0,4,12,12,0,18,0,61,99,97,54,57,62,33,63,79,14,563,244,95,198,154,139,134,159,318,177,1598,7221,11093,6749,5922,4938,2257,2264,3861,639,44940
CED131,308,107,994,524,346,267,125,239,18,2932,6,5,7,6,12,3,3,8,0,44,110,199,85,87,121,44,51,54,26,778,106,133,185,144,130,83,78,127,204,1179,7993,23937,8046,7207,6958,2762,2032,2413,764,62114
CED132,354,119,504,246,239,157,28,78,24,1752,5,11,0,4,4,4,5,4,3,30,299,396,50,66,181,67,30,18,41,1144,169,218,68,60,123,54,26,29,232,983,17886,37179,3997,3718,8451,3703,689,1164,1210,77990
CED133,309,75,901,558,283,258,130,402,32,2953,5,9,3,6,4,3,0,14,0,43,113,94,87,71,81,37,49,86,25,648,200,131,183,194,126,117,119,307,216,1598,6143,11482,7025,7233,5359,2394,1871,3986,724,46207
CED134,286,68,631,410,286,192,161,254,25,2308,6,3,5,13,10,3,5,6,0,59,61,55,58,64,64,20,60,71,25,474,218,129,213,190,149,117,202,248,239,1719,7127,9778,6486,5971,4697,1926,2704,2858,711,42258
CED135,252,79,580,297,280,205,226,269,28,2216,4,3,9,12,5,9,7,21,0,78,122,240,89,128,167,77,136,104,43,1099,124,198,145,128,173,94,123,145,421,1555,8660,27741,6537,6577,9479,4097,3706,3847,1549,72196
CED136,342,101,1096,683,388,340,247,349,34,3576,0,0,3,9,4,3,4,12,0,44,89,66,104,81,89,32,111,60,34,657,119,106,215,178,142,93,195,199,229,1482,5742,10908,10350,7803,6437,2751,3318,3091,807,51207
CED137,415,100,969,372,339,239,114,245,47,2843,5,8,6,11,7,14,10,19,7,85,218,361,92,90,175,85,56,65,33,1175,180,236,186,117,208,128,89,161,486,1797,14132,33095,6882,6085,10546,5128,2054,3844,1646,83408
CED138,462,103,1219,617,302,302,104,360,41,3510,0,3,4,9,4,3,0,8,0,35,119,140,94,91,76,43,29,74,27,700,193,161,272,180,118,115,94,213,256,1606,7446,14808,8228,7101,5085,2900,1496,3362,909,51329
CED139,369,75,790,548,278,247,139,330,32,2805,4,11,9,17,11,16,8,19,0,83,115,81,68,69,57,26,61,64,19,553,241,105,229,177,141,111,164,267,230,1668,7811,11428,7481,6537,5086,2296,2301,3202,682,46823
CED140,306,93,693,411,299,224,115,216,24,2394,4,8,5,9,5,8,7,8,0,49,87,156,85,62,94,35,40,47,17,629,123,123,157,117,152,77,89,89,167,1090,7291,15280,7052,5742,6188,2498,1414,2313,719,48495
CED141,227,79,785,459,340,243,123,232,33,2525,0,4,4,4,4,7,3,12,0,28,59,106,76,69,67,42,69,40,15,544,113,97,180,131,104,83,99,136,148,1096,5905,13836,8328,6404,6040,2255,2009,2324,583,47685
CED142,634,181,1455,583,358,273,84,271,48,3892,12,16,15,12,10,18,6,21,0,120,434,677,135,154,245,121,42,58,50,1914,225,353,182,158,158,116,57,157,440,1837,19787,47567,7281,6789,10201,5307,1579,3477,1760,103749
CED143,310,115,566,250,204,140,38,99,26,1743,3,5,0,13,0,0,0,5,0,38,269,325,64,70,137,50,28,25,33,1010,147,202,104,63,125,59,33,43,200,973,16442,27509,4786,3989,6822,3483,877,1225,1058,66193
CED144,245,63,629,333,248,196,148,215,26,2101,0,7,10,7,8,13,13,15,5,85,115,146,87,81,132,55,77,69,29,789,108,144,147,113,167,97,127,135,284,1327,5964,14992,5287,5338,6594,3289,2454,2702,1011,47643
CED145,323,123,536,224,182,122,23,78,11,1628,5,6,7,3,10,6,0,7,0,42,316,504,62,70,149,83,21,21,34,1264,221,284,102,74,114,83,22,61,289,1246,16120,32459,3617,3373,6124,3723,583,1105,1434,68541
CED146,234,70,472,292,298,194,177,234,43,2004,3,6,9,5,11,4,13,13,0,59,90,108,105,97,107,51,115,74,17,756,124,141,180,139,195,73,182,166,321,1522,5915,14190,6382,5675,7588,2725,3267,2568,988,49299
CED147,324,77,950,530,372,280,203,319,41,3101,0,3,3,3,3,10,6,3,0,38,98,117,99,56,95,50,75,65,24,679,128,80,201,137,139,89,137,178,216,1307,6361,12472,9560,7325,6378,2721,2713,3081,797,51408
CED194,11,3,33,9,9,8,3,25,0,108,0,0,0,0,0,0,0,0,0,3,8,10,5,5,0,0,9,3,0,31,4,10,6,3,10,3,8,19,19,84,186,453,205,217,159,95,124,224,44,1714
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
