CED_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
CED111,16557,33267,266,1511,1781,8184,371,1687,9746,38054,12164,49434,1067,4555,1589,5605,3643,11879,6300,22044,18465,71478,84,377,437,1431,213,765,2250,5824,2986,8404,298,930,699,1542,2805,6125,3802,8603,6785,17004,640,1352,42445,123097
CED112,16363,32984,361,2028,1738,8103,657,3095,9355,36962,12114,50187,911,3895,1276,4331,3737,12143,5920,20364,18035,70548,130,627,599,2065,396,1470,3455,9514,4577,13681,365,1160,695,1568,3518,7779,4575,10507,9147,24191,612,1269,44153,128992
CED113,19709,39253,288,1607,1748,7958,553,2551,9699,37818,12291,49928,784,3235,1301,4326,3259,10296,5347,17859,17638,67779,82,375,380,1274,198,679,2380,6251,3041,8575,187,576,498,1053,2229,4735,2907,6363,5951,14935,459,948,43754,122918
CED114,19926,39679,370,2053,1742,8166,577,2674,9489,37847,12176,50740,756,3130,1144,3647,3242,10251,5144,17034,17319,67774,100,480,512,1805,300,1100,2952,8084,3861,11466,223,688,518,1112,2401,5172,3143,6973,7011,18440,610,1297,44860,127190
CED115,11400,23626,581,3544,2153,10665,591,2972,8921,36304,12244,53483,1646,7587,1717,6279,5793,20128,9152,33998,21399,87477,182,873,712,2718,328,1246,2904,8417,4122,13259,554,2005,1002,2483,4521,10956,6078,15443,10200,28696,1076,2373,44070,142175
CED116,23275,46556,248,1351,1400,6485,512,2363,7821,30739,9975,40937,621,2578,1060,3496,3222,10134,4904,16215,14878,57153,98,458,475,1690,281,1039,2643,7192,3499,10388,185,579,534,1150,2769,5973,3482,7705,6986,18091,559,1161,45687,122960
CED117,16936,33907,83,475,1377,6019,135,585,10128,37214,11722,44296,551,2308,1653,5663,1981,6346,4180,14313,15905,58607,28,107,313,936,71,258,1729,3891,2143,5188,190,617,775,1702,2054,4476,3026,6800,5168,11991,797,1658,38796,106160
CED118,14202,29025,436,2506,3180,14547,629,2939,18740,71827,22986,91829,1595,6904,2562,9153,4748,15959,8899,32013,31890,123842,118,578,474,1732,235,875,2410,6490,3240,9677,377,1299,697,1634,2908,6645,3983,9574,7223,19252,799,1694,54105,173810
CED119,14007,28244,329,1815,2211,10167,432,1993,11597,45518,14570,59498,1501,6477,1923,6889,4492,14984,7919,28349,22491,87845,58,262,374,1243,165,583,1688,4405,2286,6492,296,953,570,1318,2263,5071,3128,7340,5418,13836,385,794,42298,130720
CED120,17467,35191,514,2915,2051,9684,916,4300,11814,47164,15292,64061,1165,5074,1362,4720,4448,14719,6967,24506,22259,88570,123,596,449,1603,346,1272,2665,7405,3583,10870,275,890,547,1206,2499,5560,3317,7657,6900,18528,434,925,47062,143215
CED121,19035,38166,345,1915,1652,7693,768,3561,10198,40017,12969,53185,919,3851,1215,4074,4141,13277,6275,21208,19241,74387,132,648,551,1978,425,1581,3618,9949,4732,14159,291,911,557,1241,3118,6896,3962,9045,8695,23204,603,1265,47578,137023
CED122,18408,37035,162,880,1767,7921,262,1186,11538,43146,13731,53137,949,4050,2007,7121,3314,10808,6268,21984,19998,75118,38,203,366,1171,118,396,2119,5121,2643,6893,268,866,847,1929,2852,6258,3964,9055,6612,15945,1138,2402,46158,130509
CED123,15341,31179,495,2910,2130,10180,851,4101,12983,50829,16454,68022,1235,5415,1431,4975,4447,14828,7110,25217,23569,93238,162,825,620,2284,427,1600,3920,10863,5133,15571,351,1159,711,1594,3707,8351,4772,11109,9899,26679,820,1761,49635,152851
CED124,22739,45492,295,1627,1323,6187,625,2912,6897,27607,9140,38334,602,2469,976,3178,3435,10736,5010,16385,14145,54714,122,540,445,1552,337,1248,2702,7558,3606,10899,182,566,512,1125,2794,5969,3489,7661,7090,18558,519,1087,44490,119854
CED125,15740,32081,679,4142,2545,12370,977,4790,16010,63164,20208,84461,1436,6327,1676,5838,5183,17434,8288,29599,28499,114063,209,1009,678,2565,499,1942,3893,11150,5279,16662,452,1560,703,1654,3622,8392,4772,11604,10056,28271,824,1754,55120,176168
CED126,15980,32146,243,1326,2264,10239,344,1529,11030,43122,13886,56219,1421,6072,2275,8058,3825,12489,7525,26618,21405,82836,51,216,400,1248,108,370,1600,3915,2167,5750,289,948,675,1564,2094,4606,3060,7117,5222,12871,417,873,43022,128723
CED127,16117,32432,322,1813,1747,8156,590,2766,8915,35273,11574,48003,1052,4533,1418,4815,3780,12370,6246,21709,17819,69710,89,378,412,1347,190,694,2168,5663,2859,8081,222,704,658,1442,2454,5343,3331,7484,6188,15566,402,822,40524,118524
CED128,11957,24467,715,4387,2389,12101,731,3703,10596,43854,14435,64049,1570,7242,1603,5865,5776,20258,8958,33370,23392,97421,186,985,572,2241,293,1203,2377,6994,3436,11422,489,1810,741,1771,3944,9512,5170,13089,8606,24512,820,1793,44775,148196
CED129,15634,31547,394,2177,3351,15347,497,2255,16790,65494,21032,85273,1961,8452,3205,11606,5150,17132,10318,37189,31350,122462,63,262,422,1377,113,396,1730,4514,2323,6543,362,1183,754,1790,2245,5088,3363,8064,5683,14603,422,905,53092,169526
CED130,18388,36679,296,1702,1576,7337,534,2451,8171,32366,10569,43857,574,2337,1049,3348,2577,8061,4193,13747,14762,57609,90,439,485,1834,280,1053,3223,9128,4089,12460,191,607,520,1122,2366,5043,3073,6776,7157,19240,631,1323,40941,114844
CED131,16998,33928,208,1154,1662,7673,321,1474,9784,37513,11976,47815,739,3098,1585,5422,2776,8794,5104,17308,17080,65120,70,290,468,1560,232,867,2693,6645,3460,9363,249,756,796,1743,2719,5876,3757,8373,7223,17733,849,1765,42149,118552
CED132,19230,38382,106,578,1973,8774,122,516,12248,45497,14442,55365,805,3385,2479,8671,2343,7434,5624,19494,20068,74859,27,97,358,1079,51,147,1918,4382,2351,5717,198,632,954,2158,1694,3594,2842,6384,5194,12096,725,1505,45213,126850
CED133,20640,41326,295,1678,1486,6946,623,2987,8070,32177,10477,43783,562,2303,1048,3458,3385,10617,4993,16381,15465,60169,108,532,535,1864,366,1320,3345,9201,4354,12914,237,762,644,1351,3153,6793,4035,8907,8386,21823,673,1418,45159,124727
CED134,15863,31599,254,1402,1375,6352,507,2277,8354,33295,10495,43331,474,1874,855,2656,2607,8134,3938,12672,14431,56002,100,469,411,1513,369,1441,3297,9551,4180,12973,149,475,410,849,2441,5369,3002,6693,7185,19668,689,1465,38163,108735
CED135,16517,33664,336,2011,2064,9777,398,1928,16653,62135,19452,75857,1166,5176,2065,7305,3879,13145,7111,25629,26562,101487,93,469,421,1487,158,597,2325,6134,3000,8683,353,1212,858,2005,3103,7030,4312,10250,7319,18930,1292,2802,51692,156886
CED136,19950,39973,380,2138,1725,8079,798,3697,10574,41018,13479,54933,826,3487,1194,4000,3879,12367,5905,19852,19387,74788,149,694,628,2253,427,1570,3817,10632,5026,15148,288,917,638,1403,3225,7089,4149,9405,9180,24554,665,1392,49177,140704
CED137,22609,45843,185,1039,1879,8539,228,1038,13404,49366,15698,59983,1144,4989,2312,8165,3945,13065,7407,26215,23107,86197,46,212,358,1165,87,309,1938,4785,2429,6473,279,916,1027,2305,2911,6426,4218,9649,6643,16117,1415,3049,53773,151211
CED138,19585,39140,205,1120,1458,6577,499,2244,8924,34775,11081,44723,616,2561,1214,3982,3120,9910,4951,16455,16028,61175,86,390,549,1811,281,1005,2859,7356,3776,10563,241,749,729,1536,3030,6510,4004,8800,7776,19363,564,1183,43955,120867
CED139,17946,35692,421,2423,1693,7928,614,2895,8874,35776,11599,49025,624,2571,1055,3378,2851,8894,4531,14834,16132,63862,96,437,498,1810,333,1267,3045,8568,3969,12086,213,659,499,1050,2326,5028,3042,6740,7013,18825,604,1270,41697,119650
CED140,17188,34521,289,1571,1609,7388,417,1930,8900,34590,11214,45474,871,3659,1400,4812,3378,10862,5648,19337,16859,64814,104,479,506,1682,206,756,2533,6631,3350,9555,279,881,678,1485,2870,6241,3825,8609,7179,18163,498,1037,41726,118535
CED141,17466,35058,304,1671,1563,7113,550,2498,8899,34633,11320,45911,906,3788,1276,4332,3519,11273,5698,19397,17022,65309,103,482,477,1619,324,1139,2897,7704,3805,10949,281,908,659,1439,3034,6616,3982,8966,7789,19918,562,1162,42835,121444
CED142,28894,57736,23,110,515,2219,53,225,7789,27148,8377,29704,237,969,953,3101,1121,3537,2310,7608,10685,37310,16,84,197,640,80,260,1682,3821,1978,4803,147,457,738,1596,1631,3471,2512,5523,4488,10326,1385,2920,45455,108292
CED143,16361,32690,162,827,2139,9544,204,898,11074,42359,13572,53630,978,4093,2438,8581,2429,7790,5845,20463,19426,74092,32,130,326,983,67,228,1629,3800,2057,5132,215,676,797,1745,1620,3515,2631,5936,4691,11067,476,978,40946,118834
CED144,12902,26470,546,3372,2345,11866,496,2471,11360,45883,14752,63591,1438,6554,1885,6780,4966,17013,8281,30343,23031,93936,153,780,470,1818,215,830,2194,6235,3038,9663,422,1517,858,2077,3640,8490,4928,12088,7959,21752,1087,2408,44984,144566
CED145,16623,33065,99,522,1579,7057,112,491,8946,33567,10743,41636,596,2495,1777,6206,1573,4928,3949,13623,14688,55261,16,78,330,1001,35,112,1565,3560,1950,4744,168,512,728,1579,1309,2756,2204,4841,4152,9592,544,1105,36001,99026
CED146,11470,23624,954,5861,3316,16412,925,4646,13409,54911,18601,81829,2058,9313,2155,7855,6296,21903,10510,39072,29103,120904,264,1353,734,2923,430,1687,3025,9191,4448,15157,545,1953,762,1914,3903,9441,5206,13306,9657,28465,717,1580,50951,174577
CED147,18819,37887,390,2160,1807,8391,705,3292,10048,39513,12953,53351,991,4249,1286,4434,4408,14419,6682,23102,19639,76450,125,595,551,1973,371,1382,2939,7992,3989,11939,358,1152,620,1383,3388,7544,4369,10078,8357,22015,614,1271,47431,137626
CED194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
