CED_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
CED111,0,0,0,6,5,4,0,0,0,14,4272,8516,9375,15322,7412,6653,4524,2382,810,59274,0,3,25,85,4,3,5,0,0,118,0,0,0,37,13,34,15,11,4,121,0,11,9,63,14,0,3,0,0,99,0,0,0,3,4,5,0,0,0,12,3,21,17,74,42,25,12,7,0,203,0,0,5,29,50,27,37,24,4,172,5,25,141,432,65,82,48,18,9,826,0,0,0,45,34,54,58,73,29,299,4,4,9,12,10,9,20,8,6,85,5,114,135,427,432,656,544,367,121,2814,0,0,4,35,18,10,5,5,0,90,0,4,7,30,15,11,13,8,0,86,0,9,6,41,30,34,111,74,30,332,0,0,0,6,13,34,74,73,50,253,0,7,17,25,12,16,10,0,0,89,16,50,227,747,86,42,28,31,3,1231,0,7,17,38,16,9,10,0,0,104,0,5,4,91,18,11,15,6,0,153
CED112,0,0,0,9,0,0,0,0,0,10,4758,10099,8791,15221,7656,7150,5912,3182,1133,63909,0,6,0,27,0,0,0,0,0,34,0,0,0,7,0,3,0,0,0,18,0,3,4,42,7,0,0,0,0,58,0,0,0,7,4,3,0,0,0,14,0,3,10,37,15,15,10,4,3,109,0,0,5,10,14,21,9,22,0,80,0,12,15,66,32,51,47,18,0,246,0,0,0,5,8,12,17,19,4,67,0,5,3,13,5,9,26,18,8,90,12,76,134,413,417,605,647,511,183,3002,0,4,5,30,21,21,12,3,0,99,0,0,3,19,8,12,4,5,3,59,0,0,5,16,15,27,54,65,18,195,0,0,0,0,4,11,30,19,7,76,0,0,9,16,9,10,14,3,3,60,3,34,49,343,81,44,17,13,5,596,0,6,20,44,27,11,14,0,0,119,0,0,0,16,9,11,5,3,0,46
CED113,0,0,3,10,0,0,0,0,0,15,4135,9388,7455,14364,8607,8986,7153,3209,827,64126,0,9,3,81,8,0,6,0,0,104,0,0,0,4,0,7,5,4,0,23,0,0,0,27,3,4,0,0,0,37,0,0,0,10,0,0,0,0,0,15,4,5,7,41,26,29,33,10,5,151,0,0,0,20,10,6,13,5,0,55,0,7,11,75,33,24,18,10,0,177,0,0,3,3,9,39,35,43,7,139,0,8,0,19,5,3,14,0,0,54,5,57,81,264,344,631,694,402,100,2582,0,0,14,50,25,8,10,0,0,114,0,4,8,31,9,17,9,6,0,91,0,0,3,33,40,69,116,100,40,397,0,0,0,0,3,18,19,27,9,85,0,3,3,14,10,7,11,0,0,53,10,47,63,675,65,33,25,13,7,936,0,6,6,21,3,7,10,6,0,53,0,0,3,33,14,11,0,0,0,53
CED114,0,8,8,14,17,8,0,0,0,47,4822,9872,8372,14379,8164,9215,8224,4223,1307,68589,0,4,0,30,13,3,3,0,0,54,0,0,0,0,0,0,0,0,0,5,0,0,0,14,5,0,0,0,0,22,0,3,3,4,0,0,0,0,0,7,4,4,0,15,12,15,5,5,0,62,0,0,3,14,5,3,0,0,0,25,0,6,4,74,40,23,12,3,0,164,0,0,0,0,3,0,5,12,4,27,0,0,4,11,0,6,6,0,0,29,3,21,41,140,161,281,314,277,67,1300,0,13,25,70,37,35,15,3,0,194,0,0,0,20,7,3,3,0,0,34,3,0,7,16,16,37,89,56,19,240,0,0,0,3,5,7,9,11,9,40,0,3,3,14,0,7,0,0,0,29,24,81,140,1235,201,148,74,13,9,1916,0,7,0,29,12,0,0,0,0,51,0,0,0,12,7,5,0,0,0,23
CED115,5,10,27,107,23,9,8,0,0,187,4529,8399,7869,8350,2196,1967,1214,503,161,35184,0,12,7,194,26,14,9,4,0,271,0,4,9,148,75,130,98,46,9,511,0,0,3,11,0,3,6,0,0,28,8,56,135,589,520,608,390,170,57,2520,0,7,4,9,4,4,4,0,0,32,0,3,9,69,91,89,131,83,13,493,3,26,69,392,202,327,268,134,132,1557,0,0,0,130,108,188,217,179,69,885,0,17,21,76,32,38,43,24,17,273,3,22,3,43,53,113,121,56,32,450,5,33,37,310,132,149,89,37,8,796,0,0,0,12,12,0,0,7,0,43,0,4,4,23,16,0,49,62,11,180,0,5,17,17,14,37,49,65,27,225,0,0,7,89,26,24,29,3,5,187,13,70,157,703,174,77,75,33,10,1301,0,7,14,89,36,19,28,16,0,207,0,14,41,218,74,91,45,34,15,537
CED116,0,0,0,0,0,0,0,0,0,0,3832,8209,7076,13217,7341,9192,9536,4779,1422,64609,0,0,0,14,0,0,0,0,0,23,0,0,0,4,0,0,0,3,0,8,0,0,0,21,8,0,6,3,0,31,0,0,0,7,0,0,0,0,0,12,7,11,4,38,19,25,22,15,0,133,0,0,0,13,11,16,11,9,3,64,0,11,15,54,32,21,21,10,0,166,0,0,0,3,11,13,47,60,17,139,0,0,0,7,3,11,21,6,0,56,5,61,66,228,369,823,1085,825,232,3694,0,0,6,21,12,8,8,11,0,64,4,5,3,11,4,15,18,12,3,67,0,0,7,20,17,61,140,125,30,406,0,0,0,7,9,16,38,50,14,137,0,7,5,8,5,7,5,5,0,40,8,41,18,211,30,22,19,15,3,371,0,4,0,19,0,4,7,3,5,47,0,4,0,18,3,3,0,4,0,37
CED117,0,0,0,11,0,3,0,0,0,14,3692,6534,5802,16162,6182,4297,2670,958,220,46529,0,8,16,73,20,11,3,0,0,132,0,0,0,24,7,17,9,0,0,61,0,10,16,219,20,21,7,0,0,296,0,0,0,11,7,10,5,6,0,34,9,11,8,115,55,35,17,0,0,247,0,4,0,70,32,18,12,15,9,156,3,47,104,548,151,305,175,71,38,1447,0,0,4,10,15,23,14,20,4,100,0,0,4,19,9,12,31,17,6,112,29,178,162,1391,1039,669,435,172,38,4113,0,0,3,67,35,27,21,14,4,170,0,3,14,152,41,30,5,5,0,256,0,11,9,116,72,47,46,34,10,342,0,0,11,42,44,86,106,302,168,753,8,18,34,153,38,44,41,10,6,367,6,39,45,546,76,41,36,20,9,819,0,0,26,143,41,21,31,11,0,276,0,0,10,103,14,22,4,4,0,159
CED118,0,12,30,310,87,81,50,17,0,593,6937,12318,8376,11759,5105,3473,2117,973,251,51307,0,35,40,328,125,90,44,7,0,671,0,5,0,26,13,38,26,6,5,113,0,3,0,44,10,10,0,0,0,73,0,0,0,4,9,10,4,0,0,18,7,8,15,38,17,10,9,9,0,96,0,4,4,30,48,25,23,18,0,164,14,46,99,830,259,352,252,85,13,1949,0,0,0,19,25,49,46,45,12,200,3,35,49,149,48,45,78,49,10,458,6,80,90,309,282,297,251,154,43,1511,0,24,56,396,240,223,144,53,15,1143,0,3,0,19,6,7,6,4,0,56,0,7,17,35,25,27,35,38,11,197,0,3,0,17,4,27,53,49,16,171,3,15,30,129,50,88,59,9,0,390,115,1329,1678,9727,2184,881,525,187,42,16670,0,10,36,176,115,56,47,21,3,473,0,29,51,373,125,119,59,25,3,786
CED119,0,0,0,5,0,0,0,0,0,7,4534,9945,8674,13693,7202,5613,4221,2229,726,56848,0,3,8,65,36,39,15,3,0,166,0,0,0,26,10,25,9,3,0,74,5,3,0,74,12,6,6,0,0,112,0,0,0,6,8,8,3,3,0,33,4,8,12,31,34,19,9,9,0,124,0,3,3,35,30,26,22,12,3,133,0,33,29,315,128,182,145,42,13,891,0,0,0,16,12,27,25,33,9,122,0,30,30,131,71,114,85,49,3,515,8,105,122,517,467,543,358,308,94,2530,0,9,20,112,81,54,50,16,0,343,0,8,0,43,16,12,5,3,0,88,0,10,0,34,35,36,51,61,18,251,0,0,0,32,26,62,99,79,32,328,0,8,6,62,23,55,62,6,0,226,4,43,69,360,197,187,88,37,14,996,0,8,14,83,25,35,42,7,5,228,0,3,0,36,8,6,9,0,0,66
CED120,0,0,0,24,4,7,3,0,0,44,5899,11628,9641,17629,8813,7582,5733,2759,756,70436,0,0,9,43,13,6,0,0,0,77,0,0,0,20,9,3,4,0,0,39,0,3,0,26,0,0,0,0,0,35,0,0,3,18,20,0,7,3,0,40,0,5,8,20,21,6,15,3,0,81,0,0,3,31,25,41,22,9,0,135,0,12,16,97,50,45,21,4,0,248,0,0,0,17,10,40,44,26,6,146,0,0,8,25,9,14,20,15,0,89,0,47,63,301,387,628,617,456,104,2597,0,3,14,88,47,19,14,4,0,189,0,0,3,8,15,9,14,8,0,50,0,0,4,32,22,28,100,48,14,251,0,0,0,5,3,25,49,26,7,125,0,3,0,15,12,10,10,0,0,51,0,31,33,268,66,29,28,21,7,480,0,0,5,20,3,7,10,4,0,56,0,3,3,25,15,8,6,8,0,61
CED121,0,0,0,11,0,0,0,0,0,14,5183,10832,9696,18572,8926,8770,7341,3854,1251,74430,0,4,0,35,11,0,0,0,0,50,0,0,0,4,0,3,0,0,0,16,0,0,0,11,0,0,0,0,0,14,0,0,0,6,3,3,6,0,0,26,3,0,8,28,25,12,15,3,3,95,0,0,0,15,4,6,4,3,0,27,0,8,13,80,30,19,17,10,3,187,0,0,0,3,3,7,15,11,3,39,0,0,0,7,0,4,14,4,0,41,4,38,47,207,254,439,496,373,106,1962,0,0,4,43,26,20,12,9,0,113,0,0,3,6,3,10,12,5,5,37,0,3,0,9,19,27,92,75,17,246,0,0,0,0,0,5,9,6,8,29,0,4,0,13,6,3,10,3,0,43,0,24,41,239,47,16,23,13,8,418,0,5,6,12,6,0,5,0,0,35,0,0,4,19,4,4,6,0,0,35
CED122,0,0,0,12,3,5,3,0,0,27,4493,7653,7596,12841,5751,4275,2705,1413,514,47240,6,24,47,292,107,115,43,3,0,644,0,0,0,25,8,16,13,12,0,76,6,12,100,1176,57,24,6,8,0,1396,0,0,7,11,12,7,12,0,0,54,7,18,6,107,51,25,14,5,0,231,0,12,13,140,55,53,73,39,6,398,3,52,809,1742,198,366,262,126,76,3632,0,0,0,16,10,13,27,57,23,146,0,8,6,40,21,53,75,110,38,356,33,146,196,1868,744,524,309,193,45,4065,0,11,11,85,36,53,32,12,3,248,11,85,56,414,137,46,15,5,4,774,5,12,28,164,72,33,30,57,20,422,0,8,11,46,49,89,191,343,233,957,7,30,165,276,107,143,103,32,7,876,11,46,228,842,112,81,60,63,18,1467,3,30,467,1156,274,213,180,64,16,2404,0,4,14,184,30,34,22,4,3,296
