CED_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
CED111,35,376,3508,17237,12716,3404,732,360,38368,25,326,1407,972,100,14,5,49,2903,12,398,1691,2761,267,25,8,63,5229,37,732,3101,3733,365,40,13,115,8131,45,955,3001,935,112,26,14,87,5177,18,371,2087,426,19,3,0,53,2978,24,467,2303,949,37,0,3,53,3827,12,242,1103,657,37,0,0,23,2075,3,51,74,43,33,9,4,0,223,108,2076,8573,3010,235,45,18,215,14280,16,119,198,85,25,16,4,9,475,10,28,39,33,7,5,9,11,140,204,3337,15422,24093,13353,3502,776,709,61396
CED112,100,684,4436,18608,18406,4151,1072,604,48069,37,392,2283,1543,109,20,6,120,4516,3,250,800,1560,185,15,12,63,2896,45,643,3084,3109,296,33,22,185,7412,18,382,1323,555,54,6,0,65,2402,0,40,348,71,3,0,0,7,478,11,66,544,110,4,0,4,7,749,0,13,118,11,0,0,0,0,146,0,23,84,26,7,6,0,0,149,25,521,2421,774,75,12,6,87,3923,37,97,90,26,6,0,0,22,274,5,29,20,29,13,3,3,3,101,219,1974,10043,22546,18787,4199,1105,902,59780
CED113,242,1161,5342,20529,17217,3983,1065,646,50179,15,299,1822,1029,88,4,6,56,3328,7,190,1058,972,107,3,8,36,2372,18,489,2880,2006,189,14,13,98,5699,51,708,1186,357,50,7,11,63,2436,12,165,433,62,8,0,0,11,689,0,219,674,42,0,0,0,15,953,0,17,56,3,0,0,0,0,80,0,21,21,21,6,3,6,0,78,67,1125,2373,492,72,13,16,87,4241,45,156,182,62,23,12,8,11,512,11,51,65,54,23,12,12,31,256,385,2984,10837,23137,17523,4023,1115,879,60888
CED114,87,646,5946,26243,18677,2909,587,997,56093,14,695,3779,941,71,13,7,152,5679,4,159,209,127,21,8,0,8,544,15,855,3994,1073,91,20,7,164,6223,9,308,1010,298,14,6,3,67,1713,4,9,81,4,4,0,0,0,105,0,0,22,4,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,3,8,3,3,0,0,0,19,12,325,1120,307,25,4,3,67,1861,29,131,120,89,36,5,8,50,476,3,23,60,68,58,17,14,52,304,150,1978,11247,27790,18890,2954,624,1332,64963
CED115,44,318,2404,13325,11321,3414,988,504,32319,21,143,329,601,62,15,8,29,1201,10,284,1270,2787,582,67,9,96,5106,31,430,1595,3390,642,75,16,123,6309,64,570,1286,460,28,9,7,76,2517,18,391,4700,480,13,0,4,158,5766,4,248,1537,495,9,0,0,56,2354,75,568,2006,397,8,0,4,40,3099,4,57,285,144,57,48,9,18,621,170,1837,9827,1968,121,56,19,347,14352,7,17,54,23,10,4,3,3,116,6,17,61,24,16,8,0,8,145,257,2615,13951,18742,12105,3554,1029,990,53241
CED116,134,822,5754,23469,19106,3824,856,699,54668,12,287,1981,1186,110,12,7,95,3684,5,185,803,992,122,13,8,42,2168,13,473,2782,2177,231,25,16,134,5849,24,268,841,435,42,13,8,45,1668,0,15,143,70,0,0,0,5,234,0,70,182,80,6,0,5,12,347,0,0,0,0,0,0,0,0,0,0,32,48,41,23,4,3,5,157,23,386,1222,621,68,16,12,63,2415,44,278,568,144,39,10,3,47,1124,8,62,99,33,18,3,0,79,318,223,2012,10427,26452,19469,3880,888,1028,64375
CED117,55,323,2795,7719,4609,1007,221,142,16875,28,434,4045,3863,973,108,22,58,9538,66,410,2144,3634,1413,220,36,60,7986,97,848,6186,7495,2386,334,59,116,17523,331,2326,3997,958,138,25,18,113,7904,335,2230,5799,581,34,4,10,95,9085,288,2236,4057,809,33,3,0,60,7493,27,397,579,141,5,0,0,10,1154,12,93,99,36,16,6,0,3,268,996,7289,14534,2525,221,31,31,280,25907,44,284,399,188,41,10,14,26,1006,10,45,32,17,10,7,7,4,137,1204,8788,23948,17947,7266,1391,338,567,61444
CED118,57,380,2544,15347,22989,5687,1017,543,48573,11,167,858,1138,366,44,10,48,2640,12,214,883,3197,1170,113,16,74,5678,25,381,1744,4330,1542,155,29,123,8316,95,173,133,143,22,3,0,22,602,0,4,210,37,0,0,0,4,259,28,435,3496,535,36,3,0,64,4606,0,16,150,49,3,0,0,7,219,8,31,136,71,29,18,5,8,308,134,659,4121,838,102,23,9,105,5991,0,4,20,16,16,6,0,0,57,4,16,29,26,45,11,0,13,137,215,1443,8451,20561,24689,5878,1049,782,63077
CED119,30,244,1199,13329,17011,4843,821,245,37728,10,82,396,668,187,28,4,15,1391,7,142,785,2854,499,71,4,26,4388,13,227,1184,3520,685,93,11,46,5783,11,380,711,305,17,0,4,22,1457,0,147,2596,257,3,0,7,32,3038,0,397,1633,247,0,0,0,19,2303,0,34,113,55,0,0,0,0,199,5,21,43,32,15,9,0,0,134,23,984,5092,894,33,15,9,81,7129,5,30,41,14,5,0,0,0,97,4,11,15,11,0,6,3,10,56,79,1497,7529,17775,17730,4955,843,385,50790
CED120,122,803,3525,17539,24266,5652,1523,654,54084,23,301,918,700,101,10,6,46,2108,0,122,303,353,122,30,3,23,956,24,421,1223,1056,223,46,7,62,3065,0,146,397,53,19,3,0,18,634,0,29,38,0,0,0,0,0,66,0,7,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,34,39,19,36,15,10,0,152,3,219,483,73,55,14,6,21,872,42,131,86,38,13,3,5,16,338,0,18,44,33,26,6,4,15,149,184,1591,5364,18738,24585,5723,1553,761,58501
CED121,101,770,5851,23638,20676,3740,848,675,56291,0,401,1818,1256,109,13,3,87,3686,3,166,553,430,62,3,0,36,1253,7,564,2369,1688,170,16,4,123,4944,9,350,473,114,25,0,6,38,1018,0,11,61,37,0,0,0,0,103,0,3,29,41,4,0,0,0,77,0,0,0,0,0,0,0,0,0,0,31,49,16,18,4,0,0,120,13,389,616,205,44,10,6,42,1324,37,194,131,37,12,3,4,27,434,6,33,52,32,22,3,0,0,149,159,1949,9016,25599,20920,3774,864,859,63147
CED122,35,171,1416,7133,6417,2500,719,167,18556,58,187,1271,1686,432,96,20,43,3797,14,320,907,2952,1431,213,35,63,5940,76,510,2180,4642,1868,310,51,110,9739,221,1376,3643,1246,147,35,18,129,6815,151,2583,9934,2354,83,13,14,236,15360,128,2801,6906,1814,65,23,5,150,11899,55,1326,3542,1370,61,5,0,80,6435,8,30,48,23,23,8,6,4,147,563,8118,24071,6811,376,82,47,588,40661,11,132,196,84,31,0,3,0,463,8,21,49,12,8,3,8,15,123,688,8957,27901,18679,8699,2901,832,880,69536
CED123,63,451,2525,20006,19087,4507,1184,609,48425,25,209,712,1430,197,29,9,49,2668,12,251,1025,3782,918,53,9,99,6151,37,458,1734,5217,1120,81,19,140,8814,48,322,1104,148,19,3,0,45,1692,18,108,1205,166,5,0,0,30,1524,21,305,1776,173,0,0,3,29,2311,0,229,549,43,0,0,0,5,831,0,38,102,55,29,8,8,4,245,92,994,4735,580,57,9,9,114,6604,3,27,79,26,14,0,3,0,149,3,24,21,24,12,7,3,10,97,198,1958,9094,25852,20286,4605,1223,881,64098
CED124,192,938,6363,23506,17265,3312,846,946,53367,14,283,1928,1432,93,7,0,187,3946,0,81,294,320,71,7,0,8,786,14,361,2218,1751,165,19,5,201,4735,32,478,1241,288,19,7,9,68,2137,8,58,327,72,0,0,0,11,478,0,20,276,69,5,0,0,5,381,0,3,32,41,0,0,0,0,75,3,9,17,7,12,6,0,0,50,43,567,1892,475,46,11,11,88,3121,74,299,321,87,19,9,8,180,997,6,36,54,40,10,9,0,41,205,318,2201,10842,25870,17508,3351,865,1461,62418
CED125,58,478,1979,19663,25222,5390,1172,689,54655,12,84,1210,1485,216,15,11,71,3103,15,326,1246,1650,627,82,11,79,4033,29,404,2452,3132,853,98,19,153,7141,32,167,636,151,13,0,0,24,1023,0,17,304,146,0,0,0,11,475,4,135,1119,286,0,0,0,18,1564,0,28,119,31,0,0,0,0,180,0,64,184,49,39,20,9,11,377,41,401,2357,667,56,20,15,68,3617,0,18,67,13,3,0,0,9,105,0,11,21,16,16,7,0,17,90,132,1320,6878,23485,26146,5510,1207,928,65604
CED126,91,554,1998,10821,14371,5559,1356,269,35019,24,209,429,232,83,27,7,18,1032,20,406,943,1839,348,61,10,54,3680,54,618,1380,2070,431,83,17,68,4716,106,685,1317,712,112,26,11,62,3022,45,1054,4482,667,15,8,3,76,6360,66,955,2816,632,12,4,0,44,4524,0,157,229,122,0,0,0,3,517,8,74,117,44,28,18,5,0,309,230,2924,8962,2185,170,52,20,187,14725,9,59,118,42,3,5,0,6,240,3,18,41,24,10,3,0,10,118,385,4181,12489,15138,14987,5706,1395,546,54824
CED127,103,704,4672,19830,16463,4683,1271,411,48140,21,267,860,1117,102,13,8,34,2425,4,86,303,607,85,9,4,13,1117,26,360,1156,1725,190,18,10,51,3536,20,365,496,120,24,3,4,22,1056,9,62,189,30,0,0,4,6,297,0,19,29,0,0,0,0,5,50,0,0,0,0,0,0,0,0,0,5,41,76,35,31,9,6,0,196,33,489,780,192,57,11,11,33,1608,25,46,48,23,16,6,0,0,167,7,19,29,19,20,11,5,28,139,195,1622,6687,21791,16739,4723,1297,521,53591
CED128,66,419,2474,16854,13033,3994,937,611,38391,8,135,676,699,97,23,4,41,1684,6,179,583,2438,1116,223,28,84,4659,12,316,1260,3140,1215,244,34,131,6341,37,524,895,205,35,10,6,55,1771,28,208,2279,289,22,0,5,60,2879,12,241,2092,232,0,0,3,51,2634,18,114,416,110,0,0,0,14,665,3,35,196,126,61,23,11,20,481,94,1125,5887,962,122,33,19,195,8432,9,50,14,16,4,4,0,0,99,7,28,60,17,21,7,0,7,142,188,1939,9690,20987,14393,4280,991,941,53405
CED129,20,210,1162,9358,25019,9063,1651,342,46835,4,56,370,454,58,10,5,11,969,0,49,805,2919,981,135,24,34,4946,3,103,1172,3376,1034,149,28,49,5905,19,164,628,375,9,0,0,35,1229,0,83,720,403,6,0,0,11,1232,5,498,1813,640,22,5,0,29,3007,0,222,836,220,10,0,0,16,1303,10,27,57,24,29,14,11,4,181,31,996,4060,1655,82,15,13,96,6945,0,0,0,0,0,0,0,0,3,3,5,15,24,21,10,5,8,93,60,1317,6411,14415,26154,9243,1692,496,59786
CED130,186,1025,5910,24303,17075,3432,834,915,53681,32,601,2224,762,59,15,7,129,3826,3,136,332,113,21,0,0,16,623,39,735,2556,878,82,16,10,146,4449,17,359,558,102,21,5,3,27,1103,0,7,53,7,0,0,0,0,72,0,0,17,3,0,0,0,0,18,0,0,0,0,0,0,0,0,3,0,10,5,8,0,3,0,0,36,17,381,643,126,26,8,5,32,1235,60,142,115,49,24,8,8,41,439,19,58,51,54,17,7,9,29,245,315,2338,9269,25408,17221,3472,865,1164,60053
CED131,73,538,6577,21823,11912,2616,571,384,44495,16,494,2407,1248,122,23,6,74,4402,44,540,2084,2895,381,80,25,92,6130,57,1031,4490,4142,505,100,35,167,10531,124,1345,1500,359,58,10,5,90,3493,36,499,1436,237,6,4,3,52,2289,57,419,953,443,24,0,8,20,1921,24,415,634,274,23,0,0,10,1386,7,78,112,62,22,10,0,4,290,253,2757,4633,1385,130,30,16,179,9383,19,71,94,43,24,4,0,7,250,11,42,26,23,9,0,5,11,128,405,4443,15822,27406,12577,2753,631,749,64787
CED132,25,132,1577,6919,8156,3588,680,106,21195,10,78,780,906,228,23,0,9,2029,13,303,1192,2822,567,67,16,24,4999,23,377,1974,3728,789,92,15,27,7034,92,1075,2840,1014,75,12,6,48,5169,252,2184,6414,1662,65,8,6,98,10680,303,3259,6230,1786,38,8,4,100,11731,546,3756,5287,1775,69,0,7,107,11545,0,9,36,23,20,4,0,6,101,1199,10283,20808,6265,261,32,18,359,39222,12,44,62,26,6,3,0,3,152,3,40,32,18,10,0,0,11,118,1259,10872,24463,16956,9228,3720,720,503,67719
CED133,331,1512,7043,25247,16430,3254,781,961,55559,37,396,1907,907,89,8,7,95,3446,11,120,703,573,88,23,11,27,1551,44,513,2609,1482,178,35,17,121,5001,28,371,1128,382,49,5,7,58,2033,0,14,146,28,4,0,0,4,200,0,5,10,0,0,0,0,0,22,0,0,0,0,0,0,0,0,5,3,48,63,36,14,9,0,4,180,33,441,1347,449,72,15,6,68,2433,165,502,297,177,74,13,3,76,1306,20,62,65,52,22,8,4,22,249,595,3033,11361,27406,16779,3317,809,1244,64545
CED134,133,885,5605,22196,15865,2970,781,1050,49480,22,408,1821,517,131,21,13,104,3040,0,37,127,54,7,3,6,9,232,26,439,1948,566,141,28,16,109,3268,39,567,1015,135,24,3,0,62,1845,0,5,6,0,0,0,0,0,8,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,14,3,6,0,0,0,33,39,577,1041,134,29,3,3,65,1895,57,166,128,93,31,3,3,50,537,16,81,97,114,72,35,33,47,494,268,2148,8813,23109,16138,3050,837,1316,55677
