UCL_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
UCL112013,7,32,39,3,17,49,140,0,26,4,8,4,3,53,5,302,25,21,36,5,406,56,140,59,37,18,0,319,118,67,68,11,15,3,282,409,56,142,13,17,9,645,827,68,214,16,22,9,1155,1363,18,225,9,22,5,1641,491,0,49,4,0,0,554,142,0,21,0,0,0,164,25,0,6,0,0,0,31,6,0,5,0,0,0,12,5,0,0,0,0,0,9,3,0,3,0,3,0,9,41,37,31,22,10,13,143,3509,752,903,136,167,88,5555
UCL112014,8,37,54,3,13,45,153,4,40,4,3,3,0,57,54,226,43,12,12,7,344,309,189,62,34,9,16,609,259,55,97,7,10,4,431,622,95,149,17,13,4,902,1125,39,246,4,27,8,1451,625,12,97,0,18,0,746,70,0,18,0,4,0,90,7,0,6,0,0,0,13,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,49,52,30,4,7,7,151,3127,740,802,82,116,85,4952
UCL112015,13,65,45,12,9,31,179,7,61,3,19,0,3,92,51,394,59,27,8,11,552,545,220,112,29,17,12,941,293,81,107,4,10,5,501,684,98,203,11,108,3,1108,1423,35,302,4,58,7,1829,761,10,129,3,14,0,913,134,3,24,0,4,0,174,17,0,7,0,6,0,31,6,0,8,0,0,0,11,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,9,60,48,35,15,18,6,174,3998,1007,1036,120,257,88,6510
UCL113001,0,16,6,0,6,25,57,0,14,3,9,3,0,25,6,236,27,22,14,3,319,8,76,13,13,31,0,149,27,46,32,3,23,0,132,111,40,60,3,34,3,250,403,29,115,3,7,3,563,508,18,120,8,4,3,656,229,3,41,0,3,3,278,60,0,12,0,0,0,72,7,0,3,0,0,0,6,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,18,32,18,7,3,0,77,1381,511,458,70,126,38,2587
UCL113002,0,3,15,0,6,12,31,0,4,3,4,0,0,17,8,66,14,10,3,4,107,37,60,39,18,7,0,165,70,18,46,3,7,3,147,215,18,65,3,9,4,314,261,36,89,10,5,0,399,185,3,51,0,4,0,243,15,0,9,0,0,0,20,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,11,6,3,4,0,38,810,232,342,54,43,26,1505
UCL113003,3,10,53,12,46,39,157,3,14,17,4,33,3,72,44,25,81,13,29,5,199,192,35,169,14,27,4,439,118,8,112,0,21,4,262,133,11,87,0,19,3,252,107,11,53,0,9,0,171,33,0,16,0,4,0,53,0,0,3,0,0,0,6,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,18,3,30,4,9,0,59,648,111,615,44,193,62,1682
UCL113004,0,0,6,9,5,3,30,0,0,0,0,0,0,3,4,0,4,4,4,0,19,27,0,11,0,0,0,40,28,0,12,0,0,0,48,81,0,22,0,3,0,113,111,0,24,0,3,0,138,69,0,13,0,0,0,87,15,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,3,0,3,4,0,11,349,8,95,16,25,6,498
UCL113005,3,10,25,6,7,29,83,0,8,4,6,0,0,25,27,93,29,16,10,3,168,129,59,50,69,21,5,325,142,16,49,18,7,3,234,290,21,74,8,7,0,406,414,11,91,4,7,3,528,403,0,83,0,0,3,489,81,0,13,0,0,0,91,5,0,0,0,0,0,8,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,25,17,12,5,3,3,67,1525,244,438,125,67,43,2438
UCL113006,0,14,26,5,4,20,61,0,22,3,12,3,0,42,28,130,32,25,14,5,229,107,50,95,16,13,3,290,117,36,79,3,8,0,248,309,25,148,3,11,5,498,395,22,132,18,19,6,592,139,3,27,4,4,0,183,12,0,6,3,0,0,20,0,0,5,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,8,19,13,7,3,6,50,1110,317,564,91,88,53,2223
UCL113007,0,11,35,4,10,12,84,4,21,3,3,0,0,32,53,85,30,7,12,0,189,276,96,57,22,31,10,488,148,27,56,3,14,0,243,327,31,73,0,18,4,458,324,3,67,0,14,0,412,209,0,26,0,3,0,244,14,3,3,0,0,0,25,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,16,8,3,3,6,62,1384,298,363,44,123,37,2244
