UCL_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL114023,3,13,42,46,45,54,34,17,5,258,0,6,19,29,27,26,11,10,3,121,0,0,21,18,21,26,9,3,3,95,0,0,5,16,19,16,3,3,0,64,0,0,8,12,15,14,6,3,3,67,0,4,3,4,8,19,4,5,0,47,49,12,38,35,73,81,132,125,117,664,301,224,449,485,679,1062,1162,733,376,5469
UCL114024,0,27,85,65,70,65,25,9,0,354,0,6,63,51,56,39,8,4,3,232,0,6,50,41,39,27,15,0,0,176,0,3,29,35,34,24,12,0,0,132,0,4,52,40,42,19,9,3,3,179,0,0,13,15,26,21,8,0,0,83,71,46,79,65,80,92,81,89,55,660,358,338,780,648,711,757,563,376,142,4671
UCL114025,0,56,112,108,116,109,40,18,9,558,0,27,101,84,103,58,17,9,3,397,0,15,78,77,47,59,14,3,0,292,0,7,55,66,58,36,8,4,0,237,0,0,62,76,83,44,5,0,3,269,0,0,16,18,35,15,12,3,0,105,82,47,103,95,136,124,145,142,85,962,686,606,1207,1054,1186,1191,947,692,337,7900
UCL114026,0,14,79,122,82,78,25,7,4,408,0,4,41,79,59,46,16,3,0,254,0,0,43,80,47,38,9,0,0,212,0,0,26,61,31,19,3,0,0,148,0,0,28,66,44,20,4,0,0,159,0,0,3,17,16,10,0,0,0,51,35,7,35,49,43,51,57,43,55,382,335,197,627,961,750,821,779,343,161,4972
UCL114027,0,8,38,45,72,53,41,25,13,303,0,0,20,41,48,45,35,3,3,192,0,0,24,39,43,26,20,7,5,161,0,0,14,24,28,18,10,4,0,99,0,0,5,34,46,30,6,4,4,131,0,0,5,13,26,17,17,8,8,98,41,21,29,33,55,58,59,98,41,435,272,184,336,491,642,733,927,643,249,4486
UCL114028,0,9,49,44,53,57,58,10,11,295,0,9,22,40,23,48,12,0,0,153,0,0,7,20,18,22,7,0,0,79,0,0,4,21,23,18,6,0,0,77,0,0,5,29,23,15,4,7,0,79,0,0,8,7,7,17,3,0,3,50,25,4,32,30,42,60,98,77,24,396,213,164,327,449,567,837,1043,551,205,4344
UCL114029,0,30,70,78,106,71,28,10,3,399,0,7,48,66,63,34,9,3,4,236,0,4,33,49,46,36,11,0,0,174,0,3,21,30,37,23,5,0,0,112,0,0,13,40,33,21,11,0,0,127,0,0,6,7,13,10,4,0,0,42,25,25,29,34,39,41,56,50,9,301,344,324,545,670,784,781,818,362,94,4728
UCL114030,0,26,66,78,95,72,30,12,6,375,0,3,51,45,47,50,13,0,0,214,0,10,49,45,45,38,13,3,0,191,0,3,26,40,19,21,6,0,0,111,0,0,31,47,55,36,4,0,0,169,0,3,5,8,16,19,6,0,0,61,56,40,60,68,90,94,94,94,89,687,352,334,652,693,784,799,701,442,225,4976
UCL114031,0,16,71,85,89,85,18,12,3,386,0,4,26,45,42,29,10,3,0,155,0,7,17,37,29,19,6,3,0,121,0,0,11,23,26,18,4,0,0,84,0,0,11,20,22,15,0,0,0,64,0,0,5,6,4,13,3,5,0,39,59,30,39,73,63,81,81,105,106,625,417,337,635,774,790,842,825,557,268,5446
UCL114032,0,9,48,51,55,57,47,22,10,297,0,8,20,34,27,40,20,10,6,163,0,0,26,24,32,31,10,7,4,141,0,0,12,18,27,33,6,3,3,100,0,0,22,24,20,22,12,7,0,108,0,0,18,20,19,14,7,8,0,91,52,14,40,43,62,85,90,85,46,517,269,156,461,512,692,952,1190,743,305,5268
UCL114033,5,4,26,23,32,36,20,4,0,144,0,0,15,22,16,13,3,0,0,68,0,0,4,9,20,9,3,0,0,52,0,0,4,6,14,6,3,0,0,34,0,0,0,4,10,5,6,0,0,36,0,0,0,3,0,3,0,0,0,15,8,3,17,14,17,23,56,51,18,208,75,61,163,190,223,287,391,218,62,1672
UCL114034,3,32,95,93,75,67,34,8,3,415,0,13,73,58,62,39,14,5,4,265,0,5,50,67,73,39,10,3,0,248,0,3,21,41,36,28,6,3,0,136,0,0,31,74,62,40,8,3,0,221,0,3,4,17,14,12,4,0,0,65,35,27,47,36,60,59,74,93,94,527,312,293,623,655,669,651,556,380,214,4354
UCL114035,0,32,92,80,83,52,32,13,3,378,0,10,49,50,36,23,13,5,0,184,0,5,33,28,26,25,7,0,0,123,0,3,14,21,29,18,0,0,0,87,0,0,32,32,25,10,3,0,0,110,0,0,5,6,12,16,5,0,0,44,63,28,64,59,78,66,91,69,29,559,438,398,790,822,792,740,810,564,288,5635
UCL115001,0,5,35,22,17,15,7,0,0,100,0,4,12,15,12,9,7,0,0,59,0,0,16,18,19,11,0,0,0,58,0,0,6,14,10,13,0,0,0,45,0,0,28,32,29,23,0,0,0,114,0,0,3,8,6,0,3,0,0,25,11,5,12,26,26,15,27,11,5,151,121,101,250,242,246,215,192,91,28,1478
UCL115002,0,0,19,18,17,21,4,0,0,82,0,3,17,18,24,6,0,0,0,71,0,0,14,18,19,17,3,0,0,70,0,0,14,19,13,14,3,0,0,62,0,0,9,26,28,13,0,0,0,72,0,0,3,3,9,4,0,0,0,12,5,0,7,11,8,16,7,3,0,62,106,78,156,186,223,180,107,42,14,1094
UCL115003,0,0,7,12,11,21,4,0,5,66,0,0,11,8,10,16,4,0,0,54,0,0,7,14,9,9,0,0,0,38,0,0,0,3,4,10,0,0,0,25,0,0,5,8,8,14,3,0,0,40,0,0,3,3,3,4,0,0,0,13,7,6,25,22,19,15,33,31,8,159,90,49,162,140,189,307,271,148,51,1401
UCL115004,0,3,12,16,23,22,10,0,3,77,0,3,10,10,11,6,0,0,0,39,0,0,5,8,4,6,3,0,0,27,0,0,3,5,8,3,0,0,0,14,0,0,3,3,0,4,0,0,0,11,0,0,0,3,0,0,0,0,0,7,17,6,7,11,16,24,18,25,11,136,75,61,100,123,157,192,126,94,29,957
UCL115005,0,0,13,35,23,29,13,0,0,116,0,0,17,32,33,15,3,0,0,97,0,0,5,8,19,9,3,0,0,48,0,0,7,21,16,5,7,0,0,50,0,0,3,24,11,10,5,0,0,50,0,0,3,21,13,0,3,0,0,40,10,0,4,21,18,23,16,15,23,133,90,42,128,299,264,211,143,73,57,1301
UCL115006,0,14,44,55,58,39,17,5,0,220,0,0,41,31,43,25,9,0,0,148,0,3,22,47,33,24,3,0,0,144,0,0,19,35,23,13,3,0,0,98,0,0,13,26,35,24,0,0,0,100,0,0,0,6,12,7,0,0,0,26,11,11,30,25,27,26,26,22,6,183,214,155,360,437,446,385,314,199,58,2568
UCL115007,0,3,12,10,13,16,8,3,0,59,0,0,5,3,9,10,3,3,0,29,0,0,4,3,8,4,0,0,0,16,0,0,3,0,5,3,0,0,0,14,0,0,0,6,9,6,0,0,0,18,0,0,3,3,0,3,3,0,0,17,3,7,12,9,18,13,21,36,18,134,33,41,74,76,144,191,187,158,90,998
UCL115008,0,7,25,18,15,25,9,0,0,93,0,4,20,16,15,11,0,0,0,65,0,0,17,11,13,9,4,0,0,55,0,0,0,12,12,4,0,0,0,35,0,0,0,14,7,0,5,3,0,35,0,0,0,3,5,7,0,0,0,12,12,8,22,14,18,21,41,21,14,177,87,71,199,187,191,217,231,138,37,1361
UCL115009,0,0,8,4,3,13,4,5,0,40,0,0,4,3,4,3,3,0,0,27,0,0,3,0,3,9,0,0,0,12,0,0,4,3,0,0,0,0,0,9,0,0,5,0,0,3,0,0,0,11,0,0,0,0,0,0,3,0,0,8,10,3,7,6,25,21,24,25,8,134,49,26,90,78,124,192,189,167,61,977
UCL115010,0,6,25,21,23,12,7,0,0,94,0,3,8,12,9,12,3,0,0,45,0,0,8,6,12,9,0,4,0,33,0,0,8,7,13,5,0,0,0,30,0,0,5,6,4,4,0,0,0,30,0,0,0,0,0,0,3,0,0,9,12,11,10,7,22,14,21,21,25,136,96,89,138,162,190,212,203,118,63,1263
UCL115011,0,8,10,13,14,15,9,3,0,70,0,0,4,6,5,0,3,0,0,17,0,0,3,5,3,0,0,3,0,25,0,0,0,0,3,8,0,0,0,17,0,0,3,0,3,0,0,0,0,5,0,7,0,0,0,0,0,0,0,14,7,0,8,14,10,19,23,11,3,102,39,41,114,97,117,169,152,89,41,873
UCL115012,3,21,53,45,52,49,22,4,0,247,0,7,34,33,41,24,5,3,3,147,0,7,15,17,17,11,3,0,0,74,0,0,13,13,18,11,3,3,0,61,0,0,9,10,20,18,8,4,0,62,0,0,0,0,3,6,3,0,0,17,29,16,35,41,49,50,48,44,19,327,258,221,432,419,511,568,409,336,164,3329
UCL115013,0,0,28,42,34,39,17,4,0,171,0,0,16,31,22,19,5,0,0,94,0,3,5,22,20,20,10,0,0,78,0,0,0,19,20,13,0,0,0,51,0,0,3,18,25,9,3,0,0,61,0,0,4,7,4,0,3,0,0,17,36,7,21,27,30,34,28,17,16,220,196,79,249,400,416,441,334,181,89,2382
UCL115014,0,0,10,14,10,15,14,8,3,79,0,3,9,4,5,13,12,3,0,48,0,0,3,3,8,10,0,0,0,29,0,0,0,5,3,0,0,0,0,12,0,0,0,7,0,7,3,0,0,15,0,0,0,0,0,6,3,0,0,15,10,3,8,9,14,30,26,17,7,125,68,38,82,123,172,294,297,128,55,1268
UCL115015,0,4,23,18,21,35,31,26,3,162,0,3,9,13,10,11,15,11,0,76,0,0,15,13,13,7,10,5,0,63,0,0,4,11,5,16,6,0,0,47,0,0,5,19,11,12,5,4,0,69,0,0,3,7,8,15,4,5,0,49,11,4,8,12,11,17,16,25,17,118,56,56,140,170,180,297,362,320,177,1765
UCL115016,0,0,7,5,8,15,0,6,3,47,0,0,3,8,5,6,0,4,0,26,0,0,0,3,7,0,0,0,0,16,0,0,3,3,0,3,0,0,0,6,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6,3,5,15,9,18,26,42,26,150,49,32,55,84,116,152,207,182,76,958
UCL115017,0,17,33,50,61,62,42,8,3,271,0,3,19,32,47,44,26,6,0,174,0,0,15,27,38,45,15,0,0,142,0,3,4,22,45,27,9,0,0,122,0,0,15,30,32,47,14,0,0,145,0,0,6,13,20,19,4,3,0,62,7,9,22,47,54,59,71,25,6,298,156,137,330,464,645,763,723,300,81,3605
UCL115018,0,13,49,34,45,19,9,3,0,184,0,4,24,21,24,17,7,0,0,93,0,0,21,24,23,13,0,0,0,82,0,0,15,23,24,6,0,0,0,63,0,0,21,16,20,10,0,0,0,70,0,0,3,0,9,3,0,0,0,19,24,18,27,34,47,16,35,21,11,234,221,159,351,346,391,320,282,191,93,2354
UCL115019,0,9,20,10,13,12,3,0,0,78,0,0,11,21,10,8,0,0,0,44,0,0,9,6,13,9,0,0,0,42,0,0,0,12,9,4,4,0,0,32,0,0,0,4,3,5,0,0,0,21,0,0,0,0,0,0,0,0,0,10,10,0,5,15,16,13,25,12,8,101,59,56,124,131,150,174,143,81,56,978
UCL115020,0,3,21,41,44,32,18,10,0,169,0,0,18,25,53,21,14,6,0,139,0,0,8,22,39,18,8,0,0,98,0,0,5,23,30,17,3,3,0,76,0,0,4,18,31,20,3,0,0,74,0,0,0,0,12,6,0,3,0,33,8,3,14,15,24,30,29,14,4,141,200,84,178,294,441,408,422,187,49,2259
UCL115021,0,6,10,14,16,16,10,0,0,70,0,0,7,6,7,10,0,0,0,33,0,0,3,10,5,5,6,0,0,37,0,0,4,9,7,5,0,0,0,24,0,0,0,6,11,3,0,0,0,21,0,0,0,3,3,0,0,0,0,8,13,10,8,7,8,19,23,13,14,108,78,64,94,124,155,176,194,86,46,1022
UCL115022,0,10,35,26,28,19,5,0,0,121,0,3,29,19,15,9,0,0,0,72,0,6,22,14,8,12,0,0,0,61,0,0,12,16,9,5,0,0,0,48,0,3,16,13,17,3,0,0,0,50,0,0,3,3,8,3,0,0,0,15,28,33,34,41,58,52,24,27,6,306,97,113,276,201,267,214,125,66,32,1387
UCL115023,0,7,25,24,25,20,0,0,0,109,0,5,19,20,19,11,3,0,0,76,0,3,14,20,26,11,0,0,0,77,0,0,9,9,26,8,0,0,0,53,0,0,5,22,24,17,0,0,0,69,0,0,0,4,10,0,0,0,0,15,7,6,8,10,24,13,10,3,0,86,115,90,178,202,235,169,92,25,9,1119
UCL115024,0,8,17,13,16,17,10,3,4,84,0,0,15,6,4,4,7,3,0,40,0,0,8,10,9,9,0,0,0,42,0,0,4,11,9,11,0,0,0,37,0,0,11,11,7,5,0,0,0,36,0,0,0,0,0,10,0,0,0,12,12,3,13,19,23,18,25,21,9,137,52,44,125,144,147,178,169,103,43,1022
UCL115025,0,5,54,42,32,34,3,6,0,178,0,3,33,36,22,14,0,0,0,107,0,4,40,31,14,13,3,0,0,100,0,4,26,28,20,11,4,0,0,88,0,6,54,52,36,24,3,0,0,179,0,0,10,15,11,10,0,0,0,47,22,13,33,25,26,25,26,13,3,190,158,136,461,394,297,334,205,74,39,2094
UCL115026,0,3,12,29,40,35,20,4,3,150,0,3,14,14,26,20,7,3,8,97,0,0,9,17,24,21,5,3,0,78,0,0,3,14,24,9,3,7,0,60,0,0,7,12,20,11,5,0,0,60,0,0,0,11,7,12,3,0,3,42,12,15,12,12,19,24,24,27,13,165,133,88,139,226,295,324,302,251,131,1886
UCL115027,0,0,14,29,33,13,9,9,0,108,0,0,6,16,15,9,3,3,0,48,0,0,0,4,14,11,3,0,0,29,0,0,0,3,7,7,0,0,0,24,0,0,3,4,5,5,7,0,0,33,0,0,3,0,0,4,0,0,0,10,24,4,12,18,23,30,28,15,10,168,94,50,124,188,228,300,194,120,52,1352
UCL115028,0,0,7,9,10,9,4,0,0,41,0,0,3,7,5,9,0,0,0,20,0,0,5,6,8,5,0,0,0,22,0,0,0,0,3,3,0,0,0,6,0,0,0,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,3,7,3,18,21,24,21,8,107,60,35,93,80,175,176,177,110,62,961
UCL115029,0,0,15,28,31,33,39,14,0,166,0,3,8,19,28,22,15,4,0,102,0,0,8,11,21,22,9,4,0,75,0,0,6,14,16,11,7,3,0,54,0,0,3,16,32,25,3,0,0,80,0,0,0,4,9,14,11,3,3,38,8,3,3,16,27,31,33,36,58,211,120,65,120,201,329,422,560,257,112,2183
UCL115030,0,8,19,21,29,31,20,5,0,146,0,3,8,14,18,16,9,0,0,78,0,0,12,17,35,22,5,0,0,97,0,0,10,13,22,14,7,0,0,63,0,0,8,26,37,26,4,0,0,100,0,0,6,15,27,13,3,0,0,65,14,0,10,7,18,11,20,12,5,101,98,94,142,187,331,304,270,110,41,1574
UCL115031,3,13,52,65,58,33,15,3,0,235,0,8,65,50,61,37,7,0,0,225,0,3,47,66,49,22,5,0,0,201,0,0,28,48,37,28,3,0,0,148,0,0,51,117,97,47,8,3,0,318,0,0,9,36,38,21,5,0,0,100,24,6,32,41,43,25,19,11,3,202,232,136,424,561,513,359,208,59,21,2504
UCL115032,0,12,34,30,26,16,6,0,0,126,0,3,29,33,16,17,0,0,0,96,0,4,15,23,27,13,0,0,0,80,0,0,8,18,9,3,0,0,0,35,0,0,9,16,9,11,0,0,0,46,0,0,3,6,7,4,0,0,0,12,10,7,19,20,14,17,6,3,0,98,138,89,253,266,218,172,96,23,11,1270
UCL115033,0,9,54,43,46,53,23,4,0,239,0,3,54,34,28,28,7,0,0,152,0,0,15,20,17,12,4,0,0,67,0,0,17,27,26,8,9,0,0,83,0,0,21,29,33,21,3,3,0,107,0,0,0,8,3,0,0,0,0,16,18,5,30,29,29,19,24,8,0,162,190,133,388,385,378,337,285,144,29,2270
UCL115034,0,8,18,22,50,36,20,13,0,164,0,4,9,13,22,22,10,0,0,76,0,3,7,16,35,10,7,0,0,83,0,0,4,22,20,18,0,0,0,60,0,0,10,20,23,12,3,0,0,65,0,0,0,4,9,14,5,0,0,37,24,17,7,21,39,40,53,34,16,242,189,155,200,298,457,472,509,250,69,2595
UCL115035,0,7,10,11,26,10,5,0,0,72,0,0,10,13,19,11,0,0,0,55,0,0,11,6,14,10,6,0,0,46,0,0,10,9,14,9,3,0,0,52,0,0,3,18,17,15,3,0,0,67,0,0,3,7,14,11,0,0,0,32,10,6,3,5,13,5,0,0,0,40,111,52,95,140,203,170,97,43,11,918
UCL115036,0,3,9,11,25,19,5,3,0,73,0,0,12,5,8,9,0,0,0,39,0,0,4,6,3,10,3,0,0,32,0,0,3,4,3,5,0,3,0,15,0,0,4,5,9,4,7,0,0,34,0,0,0,0,3,3,0,0,0,7,12,3,11,14,13,15,9,6,7,91,68,60,124,119,199,198,185,128,48,1130
UCL115037,3,14,58,29,24,40,11,7,0,188,0,20,36,21,35,24,3,0,0,140,0,13,53,24,37,25,3,0,0,160,0,12,43,27,25,29,0,0,0,136,0,13,94,82,51,40,3,0,3,287,0,0,13,29,28,12,4,3,0,91,32,40,74,61,69,70,51,38,12,451,201,217,605,474,454,457,276,168,72,2924
UCL115038,0,9,26,23,30,17,4,3,0,117,0,3,13,8,19,9,5,0,0,54,0,0,7,11,3,13,3,0,0,39,0,0,10,11,13,6,0,0,0,41,0,0,5,11,16,9,0,0,0,37,0,0,0,0,8,3,0,0,0,16,9,6,11,12,10,8,15,5,3,88,108,83,169,164,209,166,145,60,12,1115
UCL115039,0,14,37,27,30,28,8,9,5,152,0,10,29,15,5,18,3,0,0,80,0,3,32,14,12,14,0,0,0,77,0,0,5,9,11,3,0,0,0,34,0,4,9,11,11,10,0,0,0,49,0,0,0,5,5,13,5,3,0,34,31,24,27,32,44,37,45,30,16,284,148,201,374,265,317,347,273,207,93,2224
UCL115040,0,7,25,25,23,21,9,9,0,119,0,0,11,16,14,10,8,0,0,56,0,7,7,11,13,12,7,0,0,61,0,0,3,3,8,10,0,0,0,27,0,0,4,6,13,8,0,0,0,33,0,0,0,0,9,3,3,0,0,22,10,7,5,19,15,23,38,38,29,182,95,76,146,176,195,213,212,158,62,1334
UCL115041,0,3,16,11,25,31,14,4,5,118,0,0,16,9,9,10,6,4,0,61,0,0,12,13,13,7,0,0,0,48,0,0,5,17,7,7,3,0,0,39,0,0,3,6,13,7,0,0,0,26,0,0,0,0,9,0,0,3,0,17,26,13,33,36,41,44,55,57,62,353,135,111,237,242,290,353,353,235,133,2087
UCL115042,3,3,16,13,31,21,7,0,4,111,0,4,27,7,18,16,3,0,0,74,0,3,16,6,17,4,3,0,0,55,0,0,8,3,7,3,0,0,0,23,0,0,10,3,4,5,0,0,0,19,0,0,0,6,3,3,0,0,0,20,42,16,58,48,65,53,64,29,17,392,136,134,294,235,310,308,268,146,75,1907
UCL115043,0,3,14,18,23,17,6,0,0,90,0,0,11,22,20,7,3,0,0,71,0,0,11,10,14,3,0,0,0,39,0,0,10,10,10,9,0,0,0,45,0,0,3,13,10,0,0,0,0,32,0,0,3,3,0,3,0,0,0,11,7,3,6,12,10,10,10,8,0,79,112,66,182,200,221,210,140,53,6,1189
UCL115044,0,12,22,21,36,21,16,0,0,132,0,0,14,15,18,20,4,0,0,74,0,4,9,6,13,12,0,0,0,50,0,0,6,12,7,11,0,0,0,35,0,0,3,5,12,6,4,0,0,34,0,0,0,5,0,3,3,0,0,18,12,8,18,9,25,31,28,42,32,214,99,93,196,177,267,290,294,257,96,1770
UCL115045,0,4,29,27,41,50,10,12,9,189,0,0,20,17,27,29,10,3,0,100,0,0,16,20,23,20,3,0,0,84,0,0,12,7,20,8,0,0,0,55,0,0,4,14,19,10,3,0,0,53,0,0,4,0,12,5,3,4,3,36,25,16,49,26,31,52,65,40,12,314,182,137,304,300,455,549,545,373,161,3015
UCL115046,0,6,11,11,13,16,7,0,0,68,0,0,5,11,13,9,0,0,0,36,0,0,0,0,7,3,7,0,0,19,0,0,3,3,0,4,0,0,0,16,0,0,3,0,9,4,0,0,0,12,0,0,4,0,0,3,0,0,0,15,6,14,9,7,4,25,11,14,18,111,65,57,108,99,128,163,160,79,41,891
UCL115047,0,0,6,22,13,21,10,9,6,96,0,0,9,10,10,16,4,3,0,48,0,0,3,7,4,11,6,0,0,33,0,0,3,4,4,7,0,0,0,19,0,0,4,3,9,10,0,0,0,25,0,0,0,5,3,7,0,0,0,19,9,8,9,9,21,34,41,43,93,268,69,44,120,157,193,350,351,181,180,1651
UCL115048,0,9,17,11,7,15,8,3,3,67,0,0,10,11,13,9,0,0,0,44,0,0,6,15,8,7,0,0,0,41,0,0,10,3,7,3,0,0,0,21,0,0,14,19,23,6,3,0,0,77,0,0,3,4,6,3,0,0,0,20,11,4,5,7,9,14,21,12,8,102,72,62,133,170,155,148,163,85,52,1034
UCL115049,0,0,7,4,11,7,4,0,0,36,0,0,3,8,3,7,3,0,0,22,0,0,0,0,9,3,3,0,0,16,0,0,0,8,0,8,0,0,0,10,0,0,0,6,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,15,0,4,3,10,9,15,18,12,82,53,28,70,94,111,189,170,113,57,886
UCL115050,0,4,16,16,17,18,7,0,0,75,0,0,12,14,7,16,0,0,0,51,0,0,7,15,17,7,0,0,0,48,0,4,3,8,14,11,3,0,0,39,0,0,3,23,23,15,0,0,0,73,0,0,3,4,5,9,0,0,0,15,8,3,9,6,14,16,7,0,0,60,72,54,99,136,180,188,85,24,9,845
UCL115051,0,5,20,18,27,24,11,3,0,117,0,3,5,10,15,16,10,3,0,60,0,0,13,9,10,7,3,0,0,38,0,0,4,3,4,11,0,0,0,31,0,0,0,18,14,9,4,0,0,43,0,0,5,3,5,0,5,0,0,19,19,14,15,23,24,26,29,42,32,220,119,69,177,226,261,329,290,209,99,1787
UCL115052,0,3,32,33,43,40,22,7,3,184,0,3,11,10,17,21,7,0,0,84,0,3,6,13,19,11,5,0,0,51,0,0,3,11,14,11,8,0,0,39,0,0,7,10,9,10,3,0,0,39,0,0,0,3,3,3,0,0,0,11,22,9,18,29,31,45,63,45,72,334,159,121,256,307,372,494,466,255,126,2554
UCL115053,0,18,82,48,36,15,3,7,9,215,0,14,69,46,25,11,6,0,3,181,0,9,65,34,30,12,0,0,0,150,0,0,32,32,25,8,0,0,0,110,0,0,31,43,35,18,0,0,0,128,0,3,9,8,8,4,0,0,0,40,12,23,32,15,15,12,14,27,42,188,294,653,594,390,301,196,142,150,98,2818
UCL115054,0,7,20,27,34,40,19,8,3,161,0,0,12,23,25,21,12,4,0,98,0,0,10,15,18,17,3,0,0,61,0,0,3,14,21,18,3,0,0,61,0,0,6,15,14,13,3,0,0,47,0,0,0,4,3,6,3,0,0,23,19,4,21,37,23,43,54,32,20,240,156,103,214,295,348,488,429,268,109,2408
UCL115055,0,3,13,15,13,28,18,7,5,101,0,0,10,3,10,15,6,0,0,49,0,0,5,3,8,8,7,0,0,38,0,0,3,4,7,9,0,0,0,26,0,0,0,5,5,11,4,0,0,27,0,0,0,0,3,0,3,5,0,12,6,11,12,19,20,34,52,54,48,256,56,51,95,124,151,266,342,230,123,1439
UCL115056,0,4,19,21,15,23,12,4,3,111,0,0,14,9,15,13,3,0,0,55,0,0,7,6,9,7,0,0,0,34,0,0,0,3,5,3,0,0,0,18,0,0,6,11,3,10,0,0,0,33,0,0,0,10,0,3,0,3,4,17,18,16,23,13,28,31,37,19,16,194,87,74,178,186,202,288,291,174,101,1575
UCL115057,6,25,70,50,18,18,8,0,0,197,0,11,38,50,25,13,0,0,0,141,0,0,20,27,15,5,3,0,0,70,0,0,17,18,12,3,0,0,0,56,0,0,9,9,12,4,0,0,0,35,0,0,0,3,3,0,0,0,0,10,13,4,26,21,14,12,14,14,0,116,199,227,413,316,236,170,111,42,11,1715
UCL115058,0,3,14,9,13,3,4,0,0,48,0,0,13,3,6,6,0,0,0,34,0,0,0,6,0,8,0,0,0,13,0,0,3,0,3,0,0,0,0,13,0,0,3,0,6,3,0,0,0,7,0,0,0,0,3,0,0,0,0,6,11,3,3,6,11,17,21,42,45,152,65,52,106,114,122,143,117,115,89,918
UCL115059,0,9,23,24,35,17,6,0,0,113,0,5,11,6,17,14,3,0,0,57,0,3,20,10,18,13,3,0,0,64,0,0,4,12,19,6,0,0,0,47,0,0,5,16,11,9,3,0,0,52,0,0,0,7,5,4,0,0,0,16,11,5,13,3,13,17,9,0,0,74,99,96,172,148,190,179,111,38,13,1054
UCL115060,0,0,23,17,22,21,8,0,0,93,0,3,14,12,17,17,9,0,0,71,0,0,17,19,9,10,3,0,0,61,0,0,4,11,11,5,0,0,0,38,0,0,13,20,23,8,4,0,0,70,0,0,0,18,9,3,0,0,0,35,0,3,3,10,10,9,0,0,0,31,76,55,124,171,163,145,103,29,15,871
UCL115061,0,16,48,53,51,66,27,4,4,265,0,12,44,35,39,54,17,5,3,210,0,8,37,45,46,44,6,4,0,191,0,0,19,36,49,29,0,0,0,134,0,0,40,70,55,39,8,0,0,217,0,0,9,29,28,29,14,0,0,112,35,15,30,34,52,43,66,39,63,376,255,201,386,517,554,672,525,274,195,3587
UCL115062,0,9,21,28,33,28,13,3,3,139,0,8,17,6,15,14,6,0,0,70,0,0,10,10,12,9,3,0,0,52,0,0,3,10,17,14,0,0,0,44,0,0,0,0,7,8,0,0,0,15,0,3,0,4,0,5,0,0,0,18,26,8,28,24,24,40,37,58,41,285,151,143,243,264,304,338,287,246,116,2098
UCL115063,0,18,67,40,43,47,7,0,0,234,0,9,46,35,28,26,3,0,0,150,0,5,41,26,23,14,0,0,0,119,0,4,15,24,15,15,3,0,0,83,0,0,20,30,19,13,0,0,0,85,0,3,3,0,7,3,0,0,0,16,21,11,20,24,23,21,9,3,0,133,147,185,405,346,314,297,161,43,4,1906
