UCL_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
UCL113002,61,3,6,0,0,68,31,3,6,0,0,33,21,0,0,0,0,22,41,0,4,0,0,50,62,3,3,0,0,64,157,11,14,0,0,177,165,6,3,0,0,178,164,10,3,0,0,175,43,0,0,0,0,40,39,0,0,0,0,39,15,0,0,0,0,15,44,0,0,0,3,50,836,44,30,0,10,919
UCL113003,145,6,0,0,0,147,160,0,0,0,0,166,151,0,0,0,0,157,289,3,0,0,0,294,296,3,0,0,0,300,477,0,0,0,0,483,237,3,0,0,0,234,134,0,0,0,0,134,37,0,0,0,0,37,27,0,0,0,0,27,27,0,0,0,0,27,106,0,0,0,0,106,2092,14,0,3,7,2115
UCL113004,32,0,0,0,0,29,15,0,0,0,0,12,13,0,0,0,0,13,28,0,3,0,0,29,42,5,4,0,0,46,118,0,3,0,0,118,140,0,0,0,0,145,149,0,0,0,0,152,34,0,0,0,0,41,22,0,0,0,0,22,11,0,0,0,0,14,40,0,0,0,0,41,640,8,14,0,3,662
UCL113005,86,18,10,0,0,117,44,9,4,0,0,60,28,7,6,0,0,39,85,13,9,0,0,112,82,11,9,3,0,108,226,34,33,0,0,294,272,27,14,0,3,312,279,9,10,0,0,298,91,3,9,0,0,100,63,0,3,0,0,63,31,0,0,0,0,33,70,3,3,0,0,73,1355,149,104,3,13,1619
UCL113006,72,9,3,0,0,81,51,0,0,0,0,54,61,0,0,0,0,62,97,4,3,0,0,108,185,3,0,0,0,189,492,10,4,0,0,510,338,6,0,3,0,352,177,4,0,0,0,183,55,0,0,0,0,54,27,0,0,0,0,29,7,0,0,0,0,5,65,0,3,0,0,69,1626,41,20,3,8,1701
UCL113007,64,3,0,0,0,64,31,0,0,0,0,29,34,0,3,0,0,40,59,0,3,0,0,62,105,4,7,0,0,123,380,18,12,0,0,412,405,8,13,0,0,427,318,4,3,0,0,328,94,3,0,0,0,92,60,0,0,0,0,58,35,0,0,0,0,38,68,0,3,0,0,69,1643,39,43,0,9,1730
UCL113008,53,0,0,0,0,51,38,0,0,0,0,37,25,0,3,0,0,28,67,3,0,0,0,65,117,0,0,0,0,120,278,0,0,0,3,288,157,0,0,0,0,162,77,0,0,0,0,77,16,0,0,0,0,17,11,0,0,0,0,11,12,0,0,0,0,12,42,0,0,0,0,42,894,11,3,0,6,913
UCL113009,75,16,4,0,0,96,28,8,0,0,0,37,27,0,0,0,0,27,42,7,0,0,0,51,54,7,0,0,0,61,139,25,8,0,0,172,146,35,10,3,0,197,287,62,8,0,0,360,199,23,3,0,0,225,180,8,0,0,0,195,84,6,3,0,0,94,49,3,0,0,0,55,1316,208,42,4,3,1568
UCL113010,73,3,3,0,0,76,49,0,0,0,0,49,58,3,0,0,0,64,101,3,0,0,0,105,151,7,0,0,0,163,537,7,3,0,0,549,486,4,0,0,0,495,325,3,0,0,0,333,102,0,0,0,0,107,66,3,0,0,0,64,23,0,0,0,0,27,87,0,0,0,0,87,2072,33,4,3,3,2111
UCL113011,58,3,0,0,0,61,38,0,0,0,0,39,29,6,0,0,0,35,72,3,0,0,0,76,117,4,0,0,0,125,283,3,0,0,0,290,207,0,0,0,0,210,160,0,0,0,0,164,66,0,0,0,0,70,44,0,0,0,0,41,19,0,0,0,0,19,51,0,0,0,0,54,1146,27,3,0,4,1176
