UCL_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
UCL114003,4,3,5,8,12,18,0,0,0,0,0,0,0,3,10,1218,1143,2360,60,104,165,23,0,20,35,10,44,125,103,235,24,19,47,106,122,228,1605,1524,3128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,5,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,7,10,11,26,15,22,32,0,3,3,0,0,0,3,3,10,3,6,12,199,286,485,183,263,445,45,36,82,2057,2130,4189
UCL114004,0,0,0,3,7,7,0,0,0,0,0,0,0,0,0,686,638,1320,36,46,81,28,3,30,3,0,3,8,0,7,12,4,16,46,53,91,814,746,1562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,9,0,0,0,0,0,0,0,0,0,3,0,3,37,55,92,92,143,240,19,18,30,966,960,1933
UCL114005,0,0,0,8,6,9,0,0,0,0,0,0,6,7,5,1147,1030,2178,128,105,232,44,0,45,27,0,27,23,0,22,10,3,15,82,71,150,1469,1223,2692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,7,5,15,0,0,0,0,0,0,0,0,0,0,0,0,28,50,77,122,217,337,20,28,50,1644,1523,3166
UCL114006,0,3,3,3,3,8,0,0,0,0,0,0,3,8,9,913,848,1763,86,96,182,30,0,33,10,0,13,14,3,19,9,12,27,95,104,197,1175,1080,2255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,13,3,17,17,3,21,0,0,0,0,0,0,0,0,0,3,0,3,37,57,97,117,169,287,24,17,40,1372,1334,2700
UCL114007,0,0,0,9,3,12,0,0,0,0,0,0,0,0,3,700,645,1345,75,57,136,16,0,16,9,0,9,14,3,22,10,3,11,54,65,118,889,782,1666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28,40,68,61,125,183,14,5,22,993,950,1944
UCL114008,0,0,0,0,5,3,0,0,0,0,0,0,0,0,4,846,647,1496,59,48,99,13,0,13,7,0,3,10,0,11,12,5,20,29,52,85,974,762,1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,9,8,4,9,0,0,0,0,0,0,0,0,0,0,0,0,24,41,64,107,177,289,21,25,44,1138,1006,2143
UCL114009,0,0,0,3,0,7,0,0,0,0,0,0,0,5,4,1093,918,2011,111,105,215,51,0,54,7,0,10,12,0,12,9,12,18,83,71,152,1367,1114,2485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,9,5,14,0,0,0,0,0,0,0,0,0,0,0,0,30,65,93,107,200,309,21,18,32,1527,1402,2934
UCL114010,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1062,925,1983,71,88,160,38,0,40,6,0,5,21,8,31,16,3,15,75,81,153,1276,1107,2389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,15,10,3,17,0,0,0,0,0,0,0,0,0,0,0,0,26,32,65,101,182,284,24,14,40,1437,1349,2782
UCL114011,0,0,0,13,5,19,0,0,0,0,0,0,7,3,13,1030,876,1904,96,80,176,35,0,35,9,0,9,4,3,14,11,7,15,53,52,108,1258,1032,2288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,4,5,12,7,5,17,0,0,0,0,0,0,0,0,0,0,0,0,30,67,101,93,155,254,18,12,35,1412,1279,2691
UCL114012,3,0,4,3,0,3,0,0,0,0,0,0,3,3,8,588,541,1123,61,56,115,33,4,35,9,0,6,6,3,12,3,0,4,62,66,135,778,677,1447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,16,11,5,15,0,0,0,0,0,0,0,0,0,0,0,0,24,30,52,57,114,172,23,10,29,888,838,1726
UCL114013,0,0,0,46,16,64,0,0,0,0,0,0,8,8,12,1175,1043,2212,166,96,261,53,0,55,3,0,7,8,0,9,4,9,15,65,55,119,1534,1226,2759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0,3,3,0,0,3,19,3,22,16,4,14,37,6,44,0,0,0,0,0,0,0,0,0,0,0,0,25,74,95,139,201,345,17,25,40,1751,1528,3282
UCL114014,180,146,331,4,0,3,0,0,0,0,0,0,0,0,0,1071,940,2011,65,55,118,38,0,38,15,0,15,4,3,11,6,7,7,22,35,61,1401,1180,2584,29,32,56,0,0,0,0,0,0,55,45,98,3,12,18,6,0,6,86,91,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,25,100,99,204,10,5,18,0,0,0,0,0,0,10,5,19,31,98,130,108,196,308,12,12,19,1666,1599,3265
UCL114015,0,0,0,4,0,5,0,0,0,0,0,0,8,8,8,1281,1101,2382,132,145,278,45,0,44,19,0,19,17,4,18,12,6,20,57,79,132,1568,1339,2913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,19,6,9,17,0,0,0,0,0,0,0,0,0,0,0,0,38,96,137,135,194,327,46,48,92,1794,1688,3483
UCL114016,0,4,4,8,0,9,0,0,0,0,0,0,0,0,4,1199,975,2178,98,96,192,18,0,18,9,0,9,21,3,22,7,6,19,55,60,118,1413,1145,2557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,4,3,4,0,0,0,0,0,0,0,0,3,0,3,3,22,49,75,82,138,221,30,23,55,1551,1353,2910
UCL114017,0,0,0,5,11,14,0,0,0,0,0,0,0,0,0,1049,1037,2089,75,56,129,25,0,25,22,3,22,17,15,32,18,11,24,33,66,99,1237,1198,2438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,7,17,7,26,25,10,33,0,0,0,0,0,0,0,0,0,0,0,0,83,149,234,115,199,314,22,19,37,1488,1574,3059
UCL114018,0,0,0,14,6,16,0,0,3,0,0,0,0,0,0,1676,1371,3048,80,65,152,43,0,45,26,0,26,20,0,23,8,6,18,31,16,49,1911,1475,3386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,3,3,0,3,3,0,0,0,0,9,10,15,22,42,19,33,53,0,4,5,0,0,4,0,0,0,3,4,10,40,113,155,206,333,543,34,24,56,2216,1992,4201
UCL114019,3,0,3,3,3,10,0,0,0,0,0,0,0,3,3,990,898,1888,55,80,138,20,0,21,13,4,14,6,5,7,17,10,28,58,79,135,1168,1077,2242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,8,4,7,10,8,14,0,0,0,0,0,0,0,0,0,0,0,0,80,99,178,161,226,385,16,19,37,1430,1432,2861
UCL114020,0,0,0,3,3,5,0,0,0,0,0,0,5,3,9,1122,984,2104,88,103,188,47,0,47,17,0,15,10,3,14,7,3,13,74,72,145,1362,1172,2539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,29,57,85,75,150,223,22,17,40,1501,1392,2895
UCL114021,26,11,33,9,3,20,0,0,0,0,0,0,0,4,5,1287,1076,2364,94,82,179,38,0,38,7,0,7,8,3,11,12,6,13,60,59,118,1545,1248,2792,0,0,0,0,0,0,0,0,0,8,3,15,0,3,3,3,0,3,17,7,19,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,5,3,3,8,8,17,25,12,41,0,0,0,0,0,0,0,0,0,0,0,0,73,110,186,154,210,364,19,19,34,1816,1607,3424
UCL114022,3,0,3,11,6,12,0,0,0,0,0,0,4,3,11,1251,1062,2318,74,83,155,41,4,47,23,3,22,24,0,26,8,7,17,57,84,139,1490,1256,2749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,20,18,7,25,0,0,0,3,0,0,0,0,0,6,0,7,60,101,162,128,254,382,22,26,53,1725,1652,3372
UCL114023,0,0,5,7,7,14,0,0,0,0,0,0,3,4,3,574,539,1109,33,61,98,22,0,22,8,0,11,0,0,0,3,0,3,25,45,68,678,655,1331,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,6,9,0,0,0,0,0,0,0,0,0,0,0,0,45,40,86,72,116,190,18,13,34,812,838,1647
UCL114024,0,0,0,26,14,36,0,0,0,0,0,0,0,0,3,911,763,1678,98,71,174,34,0,34,3,0,4,8,5,13,10,3,13,50,70,116,1148,927,2071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,3,0,6,9,0,9,9,3,12,0,0,0,0,0,0,0,0,0,0,0,0,28,65,89,114,168,278,22,16,38,1316,1176,2493
UCL114025,0,0,0,13,3,13,0,0,0,0,0,0,15,5,25,1419,1247,2663,155,126,275,44,0,44,9,3,16,14,0,12,14,7,25,100,95,194,1773,1491,3264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,18,18,3,25,0,0,0,0,0,0,3,0,3,3,0,3,48,89,137,189,229,414,21,19,39,2053,1827,3880
UCL114026,0,0,0,11,11,21,0,0,0,0,0,0,0,0,0,986,881,1868,43,55,95,24,0,21,17,0,17,7,0,10,4,8,13,15,35,49,1122,991,2111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,9,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,6,0,4,8,7,19,18,13,25,0,0,0,0,0,0,0,0,0,3,0,3,58,125,179,104,163,267,9,13,24,1312,1292,2604
UCL114027,0,0,0,12,9,21,0,0,0,0,0,0,3,0,4,688,611,1306,31,59,82,20,0,20,8,0,13,9,3,14,7,0,10,16,14,29,796,701,1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,6,3,14,14,8,22,0,0,0,0,0,0,0,0,0,0,0,0,59,77,134,71,123,197,12,16,25,959,918,1881
UCL114028,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,514,472,991,39,53,88,11,0,10,4,0,9,8,0,7,4,0,7,34,48,82,622,578,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,5,10,3,9,0,0,0,0,0,0,0,0,0,0,0,0,31,53,84,80,122,211,16,19,37,764,781,1547
UCL114029,4,7,11,10,9,19,0,0,0,0,0,0,0,0,0,970,798,1764,64,41,105,26,0,26,3,0,3,0,0,0,14,3,17,13,8,28,1108,862,1970,0,0,3,0,0,0,0,0,0,3,10,15,0,0,0,0,0,0,4,14,15,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,10,3,14,14,14,35,0,0,4,0,0,0,0,0,0,0,0,3,29,68,100,67,152,217,10,10,17,1240,1107,2346
UCL114030,0,4,4,4,0,4,0,0,0,0,0,0,3,3,3,964,786,1747,85,66,151,23,3,24,4,0,4,7,3,12,7,0,3,48,57,105,1143,915,2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,23,37,57,91,155,242,16,15,28,1279,1122,2401
UCL114031,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,879,771,1653,67,62,129,33,0,33,18,0,13,3,3,3,6,0,8,37,39,77,1043,881,1923,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,17,4,18,19,5,27,0,0,0,0,0,0,0,0,0,0,0,0,23,53,77,75,179,260,17,22,40,1175,1147,2324
UCL114032,0,0,0,5,6,15,0,0,0,0,0,0,0,0,0,620,589,1208,40,41,81,16,0,16,6,0,6,17,11,32,13,10,21,50,57,114,767,719,1487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12,11,0,16,0,0,0,0,0,0,0,0,0,0,0,0,46,88,131,87,144,229,18,10,28,928,963,1888
UCL114033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,253,549,7,17,27,5,0,8,0,0,0,10,0,7,4,0,4,15,12,28,339,291,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,19,16,35,36,58,93,7,8,15,401,378,778
UCL114034,0,0,0,17,14,31,0,0,0,0,0,0,0,3,3,850,754,1600,65,73,139,49,0,49,4,0,4,0,0,4,9,0,10,44,61,103,1033,907,1947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,4,0,5,7,3,10,12,6,15,0,0,0,0,0,0,0,0,0,0,0,0,29,50,82,117,209,326,11,15,23,1204,1186,2390
UCL114035,3,0,3,0,0,0,0,0,0,0,0,0,6,4,7,959,837,1801,89,82,169,42,0,42,13,0,13,3,0,3,3,3,12,68,69,138,1187,992,2181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,17,8,8,15,0,0,0,0,0,0,0,0,0,0,0,0,22,46,68,104,188,293,13,23,39,1334,1251,2590
UCL115001,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,326,254,579,27,13,41,10,0,10,0,0,0,0,0,0,0,0,0,13,10,22,375,278,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,17,25,53,57,109,5,4,9,443,354,801
UCL115002,3,4,11,3,0,3,0,0,0,0,0,0,0,0,0,265,244,510,17,10,25,15,0,16,3,0,3,0,0,4,0,0,0,7,8,17,314,268,585,0,0,0,0,0,0,0,0,0,7,11,20,3,0,4,0,0,0,9,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,11,10,24,0,0,3,0,0,0,0,0,0,0,0,4,5,15,22,29,40,63,5,3,6,368,340,709
UCL115003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,187,382,18,18,36,5,0,5,3,0,3,3,0,3,9,3,13,3,11,12,244,218,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,14,23,36,15,32,54,5,4,10,276,286,557
UCL115004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,127,301,16,11,27,7,0,7,0,0,0,0,5,6,3,4,9,24,26,55,237,173,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,21,13,26,43,4,3,9,261,214,475
UCL115005,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,248,233,484,6,7,16,3,0,3,9,0,9,0,0,0,5,3,8,18,26,46,294,274,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,52,73,125,30,54,81,6,0,6,386,405,784
UCL115006,7,7,22,0,0,0,0,0,0,0,0,0,0,0,0,597,510,1106,34,17,55,38,0,38,3,0,3,0,0,3,6,3,8,5,9,13,698,555,1251,0,5,5,0,0,0,0,0,0,7,4,17,4,5,8,0,0,0,13,15,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,11,21,17,36,0,0,0,0,0,0,0,0,0,0,0,3,11,30,44,77,104,179,6,6,10,808,710,1522
UCL115007,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,133,131,266,3,6,13,7,0,7,0,0,0,0,0,7,7,3,6,9,19,32,171,163,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,15,23,24,48,5,5,7,206,203,404
UCL115008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,236,494,21,21,36,3,0,9,0,0,0,3,0,3,4,0,6,11,8,26,308,268,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,11,15,34,59,96,6,3,9,361,336,701
UCL115009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,94,174,5,3,10,6,0,6,0,0,0,0,0,0,0,0,0,23,31,48,110,126,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,17,14,13,28,3,3,7,137,147,291
UCL115010,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,237,209,445,13,10,24,5,0,5,0,0,0,3,0,3,0,0,3,3,11,9,265,236,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,11,14,34,48,8,4,10,291,278,568
UCL115011,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,144,111,257,10,20,28,6,0,6,0,0,0,0,0,0,3,3,4,8,15,25,181,155,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,15,13,24,34,11,0,16,210,187,402
UCL115012,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,538,482,1020,46,46,89,21,0,23,8,0,8,9,5,12,0,3,4,70,78,153,691,621,1313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,19,34,55,90,123,214,10,5,18,813,786,1599
UCL115013,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,339,356,698,22,40,56,8,0,6,0,0,0,6,3,14,0,3,4,47,56,100,429,457,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,40,52,93,52,97,147,8,10,17,528,616,1144
UCL115014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,146,300,6,5,16,3,0,3,3,0,3,3,0,4,3,0,3,7,10,25,186,175,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,21,34,48,22,41,63,3,8,13,232,256,483
UCL115015,0,3,7,0,3,3,0,0,0,0,0,0,0,0,0,232,215,446,10,13,25,5,0,5,3,0,3,9,3,7,3,0,5,14,15,36,284,258,535,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,32,44,70,31,61,96,3,3,4,353,362,716
UCL115016,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,96,89,187,3,4,9,13,0,14,3,0,3,0,0,0,3,0,3,21,20,35,141,116,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,14,6,16,22,0,0,3,156,143,298
UCL115017,55,40,96,8,6,12,0,0,0,0,0,0,0,0,0,519,500,1016,26,34,64,14,0,14,5,0,5,7,3,7,11,0,12,40,36,71,675,624,1297,3,9,10,0,0,0,0,0,0,3,8,15,4,0,4,3,0,7,17,18,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11,24,21,44,6,3,11,0,0,0,0,0,0,6,3,11,100,122,221,92,108,198,5,8,11,895,896,1783
UCL115018,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,475,379,857,33,31,68,15,0,17,6,0,6,3,0,0,0,0,3,22,28,54,562,451,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,9,14,25,45,74,121,5,7,13,625,554,1179
UCL115019,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,198,155,354,14,16,26,13,0,13,0,0,0,0,0,0,3,0,10,18,14,39,253,190,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12,23,24,50,5,0,4,289,232,517
UCL115020,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,424,419,844,27,32,57,13,0,13,4,0,4,3,0,3,3,3,6,6,15,23,485,470,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,13,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,26,39,64,45,70,116,7,6,16,568,588,1157
UCL115021,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,150,132,281,16,9,21,20,0,20,0,0,0,0,0,0,5,3,10,24,28,46,213,163,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,16,22,27,30,53,0,3,8,249,214,468
