UCL_CODE_2016,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_15,F_AgriForestFish_16_24,F_AgriForestFish_25_34,F_AgriForestFish_35_39,F_AgriForestFish_40,F_AgriForestFish_41_48,F_AgriForestFish_49over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_15,F_Min_16_24,F_Min_25_34,F_Min_35_39,F_Min_40,F_Min_41_48,F_Min_49over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_15,F_Mnfg_16_24,F_Mnfg_25_34,F_Mnfg_35_39,F_Mnfg_40,F_Mnfg_41_48,F_Mnfg_49over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_15,F_EGW_WS_16_24,F_EGW_WS_25_34,F_EGW_WS_35_39,F_EGW_WS_40,F_EGW_WS_41_48,F_EGW_WS_49over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_15,F_Cnstn_16_24,F_Cnstn_25_34,F_Cnstn_35_39,F_Cnstn_40,F_Cnstn_41_48,F_Cnstn_49over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_15,F_WTrade_16_24,F_WTrade_25_34,F_WTrade_35_39,F_WTrade_40,F_WTrade_41_48,F_WTrade_49over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_15,F_RTrade_16_24,F_RTrade_25_34,F_RTrade_35_39,F_RTrade_40,F_RTrade_41_48,F_RTrade_49over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_15,F_AccomFoodS_16_24,F_AccomFoodS_25_34,F_AccomFoodS_35_39,F_AccomFoodS_40,F_AccomFoodS_41_48,F_AccomFoodS_49over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_15,F_TransPostWhse_16_24,F_TransPostWhse_25_34,F_TransPostWhse_35_39,F_TransPostWhse_40,F_TransPostWhse_41_48,F_TransPostWhse_49over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_15,F_InfoMedTelecom_16_24,F_InfoMedTelecom_25_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40,F_InfoMedTelecom_41_48,F_InfoMedTelecom_49over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_15,F_FinInsurS_16_24,F_FinInsurS_25_34,F_FinInsurS_35_39,F_FinInsurS_40,F_FinInsurS_41_48,F_FinInsurS_49over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_15,F_RentHirREserv_16_24,F_RentHirREserv_25_34,F_RentHirREserv_35_39,F_RentHirREserv_40,F_RentHirREserv_41_48,F_RentHirREserv_49over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_15,F_ProScieTechServ_16_24,F_ProScieTechServ_25_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40,F_ProScieTechServ_41_48,F_ProScieTechServ_49over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_15,F_AdminSupServ_16_24,F_AdminSupServ_25_34,F_AdminSupServ_35_39,F_AdminSupServ_40,F_AdminSupServ_41_48,F_AdminSupServ_49over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_15,F_PubAdmiSafety_16_24,F_PubAdmiSafety_25_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40,F_PubAdmiSafety_41_48,F_PubAdmiSafety_49over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_15,F_EducTrain_16_24,F_EducTrain_25_34,F_EducTrain_35_39,F_EducTrain_40,F_EducTrain_41_48,F_EducTrain_49over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_15,F_HealthCareSocA_16_24,F_HealthCareSocA_25_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40,F_HealthCareSocA_41_48,F_HealthCareSocA_49over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_15,F_ArtRecServ_16_24,F_ArtRecServ_25_34,F_ArtRecServ_35_39,F_ArtRecServ_40,F_ArtRecServ_41_48,F_ArtRecServ_49over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_15,F_OthServ_16_24,F_OthServ_25_34,F_OthServ_35_39,F_OthServ_40,F_OthServ_41_48,F_OthServ_49over,F_OthServ_hours_NS,F_OthServ_Tot
UCL112003,182,608,513,646,1145,1258,713,1207,127,6403,0,3,13,4,10,7,8,0,0,38,0,0,0,0,0,0,0,3,0,5,0,28,25,12,27,19,7,14,0,144,0,0,6,4,6,0,0,3,0,23,3,21,15,12,3,16,4,6,0,92,3,9,8,11,18,6,11,3,0,67,24,154,131,116,76,54,33,37,8,639,28,205,121,118,72,56,36,53,16,706,3,15,13,19,22,15,10,4,3,98,3,22,13,8,7,14,5,11,0,83,6,7,13,22,40,25,9,4,3,128,3,14,8,15,24,18,10,15,0,103,11,77,57,68,53,59,19,38,3,389,3,65,41,32,24,16,3,3,3,204,31,33,68,63,152,69,29,31,3,491,50,174,181,148,148,132,79,188,7,1104,87,192,328,349,256,181,52,83,11,1529,6,32,33,38,19,25,4,13,0,182,8,43,35,35,25,15,8,12,0,182
UCL112004,124,431,297,364,665,887,513,1068,74,4424,0,10,9,7,3,0,3,0,0,40,0,0,0,4,3,0,0,0,0,7,4,33,16,19,15,28,9,21,4,149,0,0,3,3,0,0,0,0,0,9,4,37,19,16,12,24,3,8,0,116,0,10,8,8,12,16,10,7,0,77,14,134,92,83,66,45,25,45,9,512,19,137,78,76,37,48,20,34,8,455,3,12,10,12,10,13,4,4,0,71,0,8,11,7,14,7,3,4,0,48,5,19,19,14,15,22,3,6,0,104,3,11,15,16,25,18,11,16,0,117,7,69,43,61,41,56,12,26,3,323,3,47,43,26,31,19,8,14,4,190,13,12,12,20,40,27,13,11,0,141,17,102,98,92,85,68,62,109,4,646,51,123,187,199,164,114,39,50,6,929,3,12,10,4,5,7,6,5,0,60,3,32,31,37,23,19,7,11,3,164
UCL112005,134,288,256,299,820,817,514,747,97,3964,3,9,5,7,3,7,3,8,0,36,8,0,3,7,11,6,6,20,0,54,3,32,21,21,32,17,13,8,0,151,0,0,0,0,8,0,0,0,0,9,3,13,7,5,13,9,5,0,0,71,0,5,3,6,8,5,7,0,0,33,40,134,140,104,85,52,27,17,10,611,21,182,112,96,57,40,38,38,5,589,4,3,3,9,11,6,5,7,0,56,0,0,0,0,9,0,0,3,0,19,8,10,19,17,22,12,3,0,0,90,3,4,12,5,15,10,6,8,0,70,3,22,20,14,22,22,4,9,3,111,10,39,38,35,26,20,3,17,3,183,8,8,25,14,48,31,13,5,0,156,16,43,50,68,50,43,34,31,3,336,56,87,142,184,165,118,30,40,10,822,3,13,8,10,8,4,3,0,0,44,3,41,30,20,26,22,14,13,0,164
UCL112006,269,935,675,933,1946,1886,975,1779,200,9597,4,29,34,31,21,16,4,15,0,149,0,0,0,3,0,0,0,0,0,7,0,23,32,34,23,23,9,4,0,153,0,0,0,3,4,6,0,0,0,17,8,39,20,41,29,31,8,17,3,191,6,14,14,19,19,14,15,6,0,107,61,427,232,271,247,92,54,55,11,1448,19,387,177,188,128,65,53,71,8,1095,5,17,24,31,19,23,8,15,3,139,3,14,12,4,26,12,0,0,0,74,16,12,19,36,56,29,13,24,0,193,3,21,16,24,62,32,11,25,3,201,22,66,58,57,113,62,24,36,5,440,14,86,64,50,71,38,14,22,8,368,40,31,65,99,193,88,40,25,0,577,44,173,157,208,196,159,90,157,5,1205,115,258,463,596,589,359,111,166,17,2682,3,46,18,19,15,8,3,8,0,124,5,83,51,56,74,34,21,23,0,351
UCL112007,199,447,355,459,1836,1762,963,1699,152,7878,0,3,15,10,18,12,3,3,0,69,0,3,0,3,3,3,0,4,0,16,5,35,23,27,57,50,10,12,3,231,3,0,3,3,19,12,7,7,0,54,3,23,11,29,32,32,9,4,0,153,3,11,13,17,29,37,15,10,0,127,43,241,153,189,217,87,64,48,13,1047,22,269,101,131,104,47,39,61,20,787,0,18,8,13,29,18,17,17,0,123,0,9,9,5,18,18,4,0,0,72,3,7,23,18,43,48,16,23,0,179,3,9,7,15,29,22,4,11,0,99,4,27,36,47,107,52,27,36,0,348,7,51,43,39,58,20,6,13,3,248,43,21,37,63,229,114,50,34,0,599,47,120,122,178,199,145,112,151,10,1086,105,150,245,314,515,391,120,150,16,2006,7,26,21,20,25,17,3,7,0,121,14,52,50,39,78,23,20,24,4,303
UCL112008,145,332,281,360,1200,995,536,1000,109,4960,0,12,4,3,7,4,4,3,0,38,0,0,0,0,0,3,0,0,0,4,0,23,14,23,40,11,5,4,3,128,0,0,0,4,0,0,0,0,0,13,0,13,5,10,11,16,3,5,0,62,0,3,3,3,8,8,5,4,0,41,39,132,100,119,127,48,21,19,3,611,21,138,91,95,64,31,19,21,17,486,3,4,11,12,23,14,5,0,0,65,0,6,7,4,11,4,3,3,0,32,4,0,15,8,30,12,6,3,0,75,3,3,5,7,18,13,15,6,0,71,11,20,29,29,48,23,13,16,0,194,0,38,32,27,43,17,3,9,0,171,36,19,44,43,170,79,28,30,7,448,29,42,75,78,91,66,28,57,9,479,64,78,198,288,297,188,52,69,4,1238,3,22,3,5,9,7,0,7,0,60,3,28,27,33,34,15,8,11,0,165
UCL112009,121,540,387,590,1324,1019,558,812,109,5461,0,10,8,18,20,5,3,0,0,75,0,0,0,0,0,0,0,0,0,3,13,20,14,38,55,37,14,13,0,204,0,0,0,0,7,4,0,0,0,15,0,17,18,11,15,9,3,6,3,82,0,5,0,8,12,11,5,3,0,45,32,224,145,157,157,50,29,39,7,841,16,209,83,89,42,27,21,34,7,522,0,13,6,7,17,3,3,3,0,60,5,13,9,9,12,10,3,3,0,55,3,12,7,20,56,18,5,7,0,126,0,3,5,3,30,15,3,3,0,66,12,48,27,37,74,28,13,17,3,260,9,42,31,40,29,31,12,5,5,191,8,17,21,27,112,38,14,19,3,252,28,95,95,142,174,105,60,84,3,787,75,150,261,436,336,222,58,89,23,1657,3,16,12,11,6,5,5,3,0,51,5,41,26,39,35,27,19,10,0,195
UCL112010,12,30,27,36,85,105,78,128,14,511,0,5,4,0,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,4,7,6,4,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,15,0,0,0,0,4,0,0,0,0,8,3,14,7,15,6,3,0,4,0,59,0,17,4,10,0,4,0,3,0,38,0,0,4,0,0,3,3,0,0,10,0,0,0,0,3,0,4,0,0,9,3,0,3,0,0,0,0,0,0,12,0,0,0,0,6,0,0,0,0,5,4,0,5,4,3,3,0,0,0,17,0,6,3,5,5,7,0,0,0,36,0,0,3,5,10,9,4,4,0,29,9,6,8,13,12,10,8,5,0,68,5,7,15,21,27,7,7,6,0,96,0,0,0,3,0,0,0,0,0,8,0,3,3,5,9,3,0,0,0,25
UCL112011,168,464,386,435,1216,1090,861,973,150,5743,0,4,10,7,4,4,4,4,0,43,0,0,0,0,0,0,0,0,0,4,0,13,17,17,31,24,10,8,0,136,0,0,0,0,8,3,3,0,0,17,4,20,8,11,20,12,6,3,3,83,4,3,7,3,0,6,0,3,0,36,45,232,144,152,163,48,37,32,16,876,21,216,90,95,55,41,22,36,11,584,0,22,17,15,11,3,7,4,0,75,0,4,0,4,4,8,3,0,0,25,8,8,15,12,28,15,12,0,0,96,0,12,6,7,20,13,8,4,0,81,3,32,25,35,62,34,24,14,0,228,17,59,44,36,38,24,8,3,3,232,26,27,35,53,133,63,51,27,6,417,26,86,88,113,71,71,44,55,0,551,83,172,293,353,318,203,55,75,18,1563,3,16,7,7,11,0,4,4,3,59,3,41,44,26,27,22,17,11,3,192
UCL112012,235,534,389,526,1558,1599,1109,2033,161,8145,3,19,12,9,5,7,3,3,0,75,10,10,4,7,9,11,22,32,0,106,5,24,16,29,45,27,15,20,0,186,0,0,3,3,8,6,0,0,0,26,3,22,19,23,20,19,12,10,0,132,4,6,11,9,16,11,3,8,0,71,43,288,156,176,178,80,62,52,14,1054,27,196,101,119,85,48,29,46,7,662,7,15,17,20,32,19,3,14,7,120,8,3,3,9,13,12,4,7,0,61,12,10,21,32,40,38,11,15,0,179,0,3,11,11,46,24,0,8,3,108,12,47,39,53,77,56,13,22,0,323,7,66,32,37,44,37,16,8,4,259,38,33,69,80,265,118,60,37,3,693,45,112,158,184,193,137,94,148,10,1092,102,174,344,378,491,501,139,168,14,2312,3,30,6,15,9,3,3,6,0,75,13,49,44,36,65,29,20,12,0,273
