UCL_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
UCL112003,0,0,0,3,3,0,4,3,0,12,0,0,0,4,3,4,3,0,0,15,0,0,0,0,3,0,0,0,0,12,0,0,0,8,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,3,7,19,13,9,17,9,0,82,0,0,16,15,0,0,0,0,0,32,0,0,0,0,5,7,3,3,0,22,0,0,0,0,4,6,0,0,0,9,0,8,15,51,45,46,64,30,12,275,38,86,64,182,120,194,156,65,17,925,767,1764,1535,2861,1996,2232,1848,762,214,13973,0,0,0,0,0,0,0,0,0,0,714,1533,1205,2487,1585,1747,1233,583,269,11365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,16,0,3,3,18,6,10,6,0,0,50,0,0,0,0,5,6,7,0,0,26
UCL112004,0,0,0,0,0,0,3,0,0,6,0,0,0,0,3,4,0,3,0,8,0,0,0,3,0,0,3,0,0,10,0,0,3,4,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,7,4,12,3,11,4,0,50,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,5,4,0,14,0,0,0,3,3,0,0,0,0,10,3,5,8,15,15,34,41,25,6,147,27,66,52,113,107,83,105,84,35,682,502,1247,969,1749,1259,1283,1571,1020,318,9916,0,0,0,0,0,0,0,0,0,0,434,1117,981,1430,1079,1175,1279,811,357,8661,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,11,3,5,0,37,0,0,0,4,3,0,0,0,0,9
UCL112005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,5,0,0,0,20,0,0,3,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,25,12,10,10,3,4,76,39,84,70,197,97,83,98,35,17,718,755,1416,1447,2935,1272,1253,1032,527,162,10805,0,0,0,0,0,0,0,0,0,0,701,1303,1248,2259,1084,1123,822,587,324,9435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
UCL112006,0,0,0,0,0,3,0,0,3,5,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,11,8,4,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,3,3,17,7,16,23,0,3,67,0,0,0,9,7,0,0,0,0,16,0,0,0,4,5,5,0,3,3,30,0,0,0,7,0,5,3,0,0,18,11,72,67,104,58,42,52,27,9,450,74,150,179,371,228,285,212,152,94,1746,1323,3080,2817,4992,2841,3156,2686,1500,593,22984,0,11,23,24,12,3,0,0,0,72,1193,2545,2225,4281,2539,2652,2146,1417,673,19674,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,0,0,0,0,6,0,0,0,17,12,18,8,0,3,58,0,0,0,0,0,0,4,0,0,3
UCL112007,0,0,0,0,0,0,0,0,0,3,0,9,3,28,14,8,0,0,0,63,0,0,0,3,0,0,0,0,0,3,0,0,0,3,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,4,3,0,0,16,0,0,0,11,3,0,0,0,0,19,0,0,0,0,0,0,7,0,0,4,0,7,6,9,4,6,3,0,0,36,4,3,9,37,11,17,14,9,3,102,75,116,149,364,167,170,141,74,29,1281,1315,2392,2176,4373,1962,1779,1319,775,295,16386,0,0,0,0,0,0,0,0,0,0,1211,2031,1988,3807,1795,1761,1215,899,407,15114,3,0,3,15,3,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,4,4,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0
UCL112008,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,11,0,0,0,3,0,3,0,0,0,9,0,0,3,3,0,0,0,0,0,14,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,0,3,9,0,0,3,0,21,0,0,0,16,4,0,0,0,0,21,0,0,0,0,3,3,0,0,0,11,0,0,0,0,3,0,0,0,0,8,3,10,8,49,21,10,16,10,5,128,27,60,99,183,111,87,95,61,21,742,719,1391,1487,2927,1465,1324,1100,585,222,11220,0,0,0,0,3,0,0,0,0,0,638,1156,1088,2198,1210,1189,940,605,350,9372,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,4,0,0,3,0,0,5,0,0,0,0,3,0,4,0,0,6
UCL112009,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,16,7,7,8,0,0,46,0,3,0,3,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,6,0,0,3,0,3,3,3,0,0,14,0,9,23,37,15,18,16,7,0,128,37,95,164,235,138,180,135,67,46,1090,777,1755,1800,3092,1696,1793,1252,676,304,13143,0,0,0,0,0,0,0,0,0,0,693,1532,1587,2760,1494,1522,1109,771,492,11969,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,0,3,4,0,0,22,0,0,0,0,0,0,0,0,0,3
UCL112010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,7,6,11,10,22,10,14,8,4,0,94,97,169,118,263,151,130,106,48,11,1085,0,0,0,0,0,0,0,0,0,0,78,146,108,249,121,101,81,30,7,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL112011,0,0,0,0,0,0,3,4,0,9,0,0,0,10,0,0,0,0,0,13,0,0,3,3,0,0,0,0,0,3,0,0,3,16,0,0,0,0,0,23,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,6,13,5,7,5,0,0,42,0,0,4,15,3,4,0,0,0,31,0,0,0,0,8,0,7,0,0,19,0,0,3,5,0,0,0,0,0,13,3,4,3,34,24,36,36,29,6,182,65,133,126,307,141,172,155,99,54,1235,1059,1962,1913,3869,1750,1804,1626,922,347,15248,0,0,0,0,0,0,0,0,0,0,949,1766,1614,2964,1348,1536,1220,688,351,12436,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,11,5,4,3,3,0,27,0,0,0,0,0,3,3,0,0,13
UCL112012,0,0,0,0,0,0,3,3,0,8,0,3,0,15,4,5,0,0,0,24,0,0,3,0,6,3,0,0,0,14,0,0,3,10,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,6,3,0,0,0,0,10,0,6,4,8,4,3,4,0,0,28,0,0,3,10,0,3,0,0,0,14,0,0,0,4,0,0,4,3,0,10,0,14,6,15,11,7,0,0,0,43,0,18,17,70,27,25,10,15,6,188,57,135,152,359,174,175,135,105,33,1316,1479,2655,2221,4776,2136,2002,1491,905,303,17959,0,0,0,0,0,0,0,0,0,0,1284,2201,2047,4120,1912,1711,1362,892,436,15966,0,0,3,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,15,8,0,0,0,0,27,0,0,0,0,0,0,0,0,0,3
UCL112013,0,0,0,3,0,0,4,0,0,15,0,0,0,4,3,0,4,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,4,0,16,4,27,6,9,13,11,0,88,0,0,0,12,0,3,0,0,0,19,0,0,0,7,6,3,6,3,4,30,0,0,0,9,3,8,6,3,0,24,5,17,11,61,28,37,44,42,19,256,47,84,110,271,185,201,278,188,78,1442,1128,2695,2165,4275,2601,2740,3004,1865,719,21185,0,0,0,0,0,0,0,0,0,0,1056,2336,1980,3810,2341,2511,2451,1589,918,18990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,18,3,13,0,3,0,46,0,0,0,3,0,0,3,0,0,9
