UCL_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
UCL115003,0,0,0,5,4,0,0,5,0,0,0,0,0,3,10,24,0,0,0,0,0,0,0,0,0,0,0,3,22,12,0,39,3,23,0,10,0,11,10,128
UCL115004,0,0,0,0,4,0,0,6,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,3,25,4,3,31,6,10,0,8,0,7,8,100
UCL115005,0,0,0,19,6,0,0,9,0,3,0,3,0,0,15,32,0,0,0,0,0,0,0,0,0,0,0,0,42,22,0,79,6,15,4,11,3,8,18,214
UCL115006,0,0,0,35,10,0,0,5,0,7,0,0,0,4,18,49,0,0,0,0,0,0,0,0,0,0,0,0,101,14,4,138,19,69,7,9,9,28,18,418
UCL115007,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,19,0,15,3,8,0,3,6,73
UCL115008,0,0,0,6,3,0,0,3,0,0,0,0,0,3,8,18,0,0,0,0,0,0,0,0,0,0,0,0,32,10,0,52,8,26,0,4,4,4,11,160
UCL115009,0,0,0,3,3,0,0,0,0,0,0,0,0,3,9,12,0,0,0,0,0,0,0,0,0,0,0,0,17,6,0,9,3,10,0,3,0,17,11,68
UCL115010,0,0,0,0,0,0,0,3,0,3,0,0,0,3,8,15,0,0,0,0,0,0,0,0,0,0,0,0,22,5,4,47,6,29,0,14,0,13,5,144
UCL115011,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,20,0,10,0,3,0,11,3,73
UCL115012,0,0,0,14,3,0,0,10,0,0,0,0,0,9,22,46,0,0,0,0,0,0,0,0,0,0,0,3,67,20,3,115,15,60,3,25,5,39,24,370
UCL115013,0,0,0,10,3,4,0,10,0,4,0,0,0,3,22,46,0,0,0,0,0,0,0,0,0,0,0,0,38,32,4,76,5,50,3,26,3,25,28,298
UCL115014,0,0,0,5,3,0,0,3,0,0,0,0,0,3,15,24,0,0,0,0,0,0,0,0,0,0,0,3,18,5,3,22,3,19,0,13,0,9,15,108
UCL115015,0,0,0,13,9,0,0,6,0,0,0,0,0,0,10,29,0,0,0,0,0,0,0,0,0,0,0,0,30,12,0,72,0,25,3,8,4,13,10,182
UCL115016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,18,0,14,0,3,0,8,0,60
UCL115017,0,3,0,28,3,0,0,5,0,9,0,0,0,8,13,37,3,0,0,0,0,0,0,0,0,0,0,5,58,26,4,115,7,65,3,29,5,25,13,357
UCL115018,0,0,0,10,0,0,0,4,0,4,0,0,0,0,14,28,0,0,0,0,0,0,0,0,0,0,0,3,65,7,3,92,8,57,4,18,5,27,14,300
UCL115019,0,0,0,3,6,0,0,3,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,29,3,0,49,3,17,3,3,0,8,3,117
UCL115020,0,0,0,19,3,4,0,11,0,7,0,0,0,0,14,42,0,0,0,0,0,0,0,0,0,0,0,4,71,11,5,109,14,40,3,12,0,31,20,314
UCL115021,0,0,0,3,4,0,0,3,0,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,26,3,3,26,0,25,0,7,3,14,0,114
UCL115022,0,0,0,5,8,0,0,4,0,3,0,0,0,0,13,29,0,0,0,0,0,0,0,0,0,0,3,7,53,4,0,37,5,21,0,3,0,8,13,144
UCL115023,0,0,0,15,3,0,0,7,0,3,0,0,0,3,11,29,0,0,0,0,0,0,0,0,0,0,0,3,64,0,3,83,4,33,0,5,3,11,9,220
UCL115024,0,0,0,8,0,0,0,5,0,3,0,0,0,0,9,21,0,0,0,0,0,0,0,0,0,0,0,0,31,9,0,27,4,25,0,3,0,10,9,117
UCL115025,0,0,0,19,3,0,0,9,0,3,0,0,0,0,16,31,0,0,0,0,0,0,0,0,0,0,0,3,61,9,5,116,12,69,7,12,5,21,17,331
UCL115026,0,0,0,19,3,0,0,7,0,0,0,0,0,3,16,35,0,0,0,0,0,0,0,0,0,0,0,0,43,12,0,76,0,29,0,13,4,6,16,199
UCL115027,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,12,19,0,33,0,14,3,15,0,11,6,109
UCL115028,0,0,0,0,3,0,0,4,0,0,0,0,0,0,9,18,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,22,3,13,0,7,5,12,8,93
UCL115029,0,0,0,22,0,0,0,0,0,0,0,0,0,5,10,21,0,0,0,0,0,0,0,0,0,0,0,0,38,12,0,65,11,28,0,9,0,21,7,197
UCL115030,0,0,0,34,5,0,0,8,0,4,0,3,0,0,8,33,0,0,0,3,0,0,0,0,0,0,0,4,46,19,3,85,9,37,0,16,0,9,8,229
UCL115031,0,0,0,94,14,0,3,9,0,0,0,0,0,0,28,59,0,0,0,3,0,0,0,0,0,0,3,7,204,9,7,128,30,58,4,13,3,14,33,516
UCL115032,0,0,0,11,3,0,0,3,0,8,0,3,0,0,15,29,0,0,0,3,0,0,0,0,0,0,0,3,75,3,10,78,5,39,3,9,4,14,15,253
UCL115033,0,0,0,15,4,0,0,5,3,7,0,3,0,0,31,57,0,0,0,0,0,0,0,0,0,0,0,5,90,10,5,122,16,50,7,11,3,18,27,362
UCL115034,0,0,0,12,5,0,0,3,0,3,0,0,0,4,21,33,0,0,0,0,0,0,0,0,0,3,0,8,56,12,0,88,5,49,5,12,3,38,21,292
UCL115035,0,0,0,25,11,0,0,7,0,3,0,4,0,0,13,29,0,0,0,0,0,0,0,0,0,0,0,0,34,7,0,74,10,26,0,11,0,4,8,185
UCL115036,0,0,0,4,3,0,0,3,0,0,0,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,39,3,21,0,3,0,17,4,111
UCL115037,0,0,0,43,8,0,0,10,0,3,0,0,0,0,20,41,0,0,0,0,0,0,0,0,0,3,0,5,85,9,7,105,9,83,13,13,9,16,22,371
