UCL_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
UCL115009,55,10,6,0,0,0,0,68
UCL115010,121,9,7,0,0,0,0,144
UCL115011,60,5,5,0,0,0,0,73
UCL115012,297,29,34,5,0,0,4,370
UCL115013,254,22,14,5,0,0,0,298
UCL115014,88,5,10,0,0,0,4,108
UCL115015,162,12,4,5,0,0,0,182
UCL115016,49,4,3,0,0,0,0,60
UCL115017,303,37,9,4,0,0,3,357
UCL115018,241,36,16,4,0,0,3,300
UCL115019,102,4,8,3,0,0,0,117
UCL115020,271,23,9,3,0,0,4,314
UCL115021,91,12,6,0,0,0,3,114
UCL115022,116,8,6,5,0,0,7,144
UCL115023,170,16,27,6,0,0,0,220
UCL115024,93,13,6,3,0,0,0,117
UCL115025,289,27,17,3,0,0,0,331
UCL115026,178,9,7,4,0,0,0,199
UCL115027,104,10,5,0,0,0,0,109
UCL115028,80,6,3,3,0,0,0,93
UCL115029,171,9,4,3,0,0,0,197
UCL115030,205,11,6,0,0,0,0,229
UCL115031,447,41,24,3,0,0,4,516
UCL115032,208,21,17,3,0,0,3,253
UCL115033,316,27,16,3,0,0,0,362
UCL115034,243,25,18,3,0,0,3,292
UCL115035,162,15,8,0,0,0,0,185
UCL115036,89,12,8,0,0,0,0,111
UCL115037,301,26,38,4,0,0,3,371
UCL115038,159,10,4,3,0,0,0,180
UCL115039,224,11,14,4,0,0,7,249
UCL115040,136,9,10,0,0,0,3,157
UCL115041,159,13,7,0,0,0,0,189
UCL115042,122,13,7,4,0,0,4,153
UCL115043,165,12,13,0,0,0,0,194
UCL115044,161,18,6,3,0,0,0,192
UCL115045,223,26,17,4,0,0,9,282
UCL115046,84,3,5,0,0,0,0,100
UCL115047,112,10,13,4,0,0,0,134
UCL115048,103,3,9,3,0,0,0,126
UCL115049,74,5,5,0,0,0,0,82
UCL115050,140,7,6,0,0,0,4,158
UCL115051,166,7,12,0,0,0,3,188
UCL115052,193,23,15,3,0,0,3,239
UCL115053,341,16,16,0,0,0,0,376
UCL115054,176,27,12,0,0,0,0,215
UCL115055,89,11,8,0,0,0,0,105
UCL115056,105,6,10,3,0,0,0,130
UCL115057,210,21,12,0,0,0,0,242
UCL115058,72,9,3,3,0,0,0,96
UCL115059,177,11,7,0,0,0,6,192
UCL115060,159,11,9,0,0,0,0,178
UCL115061,474,27,19,9,0,0,6,537
UCL115062,147,16,15,13,0,0,6,194
UCL115063,326,40,16,0,0,0,3,384
UCL115064,147,11,8,0,0,0,4,179
UCL115065,249,13,9,0,0,0,0,276
UCL115066,79,8,7,0,0,0,0,89
UCL115067,132,7,13,0,0,0,0,148
UCL115068,281,39,24,7,0,0,5,352
UCL115069,152,8,10,3,0,0,0,174
UCL115070,165,9,10,0,0,0,5,182
UCL115071,142,12,4,0,0,0,0,167
UCL115072,156,18,9,4,0,0,0,185
UCL115073,135,13,12,3,0,0,3,159
UCL115074,150,15,3,3,0,0,7,179
UCL115075,165,11,6,0,0,0,5,194
UCL115076,228,28,22,4,0,0,3,286
UCL115077,87,3,3,0,0,0,0,97
UCL115078,72,12,11,0,0,0,3,98
UCL115079,184,18,16,0,3,0,0,217
UCL115080,70,4,4,0,0,0,0,78
UCL115081,119,5,3,0,0,0,0,130
UCL115082,132,8,11,3,0,0,0,159
UCL115083,122,4,4,0,0,0,3,134
UCL115084,288,24,25,7,0,0,10,354
UCL115085,76,5,9,0,0,0,3,88
UCL115086,80,7,3,0,0,0,0,89
UCL115087,139,16,10,3,0,0,3,174
UCL115088,116,4,10,0,0,0,0,133
UCL115089,152,20,12,6,0,0,3,195
UCL115090,88,3,9,6,0,0,0,100
UCL115091,265,24,14,3,0,0,3,320
UCL115092,171,24,14,0,0,0,4,216
UCL115093,68,3,0,3,0,0,0,73
UCL115094,180,8,16,3,0,0,0,212
UCL115095,138,20,11,3,0,0,0,176
