LGA_CODE_2016,C11_F_u_a_a_h_FH_One_PFam,C11_F_u_a_a_h_FH_oth_fa,C11_F_u_a_a_h_FH_Tot,C11_F_u_a_a_h_LP_H,C11_F_u_a_a_h_GH,C11_F_u_a_a_h_OH,C11_F_u_a_a_h_Tot,C11_F_u_a_T_FH_CF_no_ch,C11_F_u_a_T_FH_CF_w_ch,C11_F_u_a_T_FH_One_PFam,C11_F_u_a_T_FH_oth_fa,C11_F_u_a_T_FH_Tot,C11_F_u_a_T_LP_H,C11_F_u_a_T_GH,C11_F_u_a_T_OH,C11_F_u_a_T_Tot,C11_OD_C_c_hb_FH_CF_no_ch,C11_OD_C_c_hb_FH_CF_w_ch,C11_OD_C_c_hb_FH_One_PFam,C11_OD_C_c_hb_FH_oth_fa,C11_OD_C_c_hb_FH_Tot,C11_OD_C_c_hb_LP_H,C11_OD_C_c_hb_GH,C11_OD_C_c_hb_OH,C11_OD_C_c_hb_Tot,C11_OD_Ih_t_s_FH_CF_no_ch,C11_OD_Ih_t_s_FH_CF_w_ch,C11_OD_Ih_t_s_FH_One_PFam,C11_OD_Ih_t_s_FH_oth_fa,C11_OD_Ih_t_s_FH_Tot,C11_OD_Ih_t_s_LP_H,C11_OD_Ih_t_s_GH,C11_OD_Ih_t_s_OH,C11_OD_Ih_t_s_Tot,C11_OD_H_f_so_FH_CF_no_ch,C11_OD_H_f_so_FH_CF_w_ch,C11_OD_H_f_so_FH_One_PFam,C11_OD_H_f_so_FH_oth_fa,C11_OD_H_f_so_FH_Tot,C11_OD_H_f_so_LP_H,C11_OD_H_f_so_GH,C11_OD_H_f_so_OH,C11_OD_H_f_so_Tot,C11_OD_T_FH_CF_no_ch,C11_OD_T_FH_CF_w_ch,C11_OD_T_FH_One_PFam,C11_OD_T_FH_oth_fa,C11_OD_T_FH_Tot,C11_OD_Tot_LP_H,C11_OD_Tot_GH,C11_OD_Tot_OH,C11_OD_T_T,C11_DS_ns_FH_CF_no_ch,C11_DS_ns_FH_CF_w_ch,C11_DS_ns_FH_One_PFam,C11_DS_ns_FH_oth_fa,C11_DS_ns_FH_Tot,C11_DS_ns_LP_H,C11_DS_ns_GH,C11_DS_ns_OH,C11_DS_NS_T,C11_T_FH_CF_no_ch,C11_T_FH_CF_w_ch,C11_T_FH_One_PFam,C11_T_FH_oth_fa,C11_T_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_T_T,C16_S_h_FH_CF_no_ch,C16_S_h_FH_CF_w_ch,C16_S_h_FH_One_PFam,C16_S_h_FH_oth_fa,C16_S_h_FH_Tot,C16_S_h_LP_H,C16_S_h_GH,C16_S_h_OH,C16_S_h_Tot,C16_Sd_r_t_1_FH_CF_no_ch,C16_Sd_r_t_1_FH_CF_w_ch,C16_Sd_r_t_1_FH_One_PFam,C16_Sd_r_t_1_FH_oth_fa,C16_Sd_r_t_1_FH_Tot,C16_Sd_r_t_1_LP_H,C16_Sd_r_t_1_GH,C16_Sd_r_t_1_OH,C16_Sd_r_t_1_Tot,C16_Sd_r_t_2m_FH_CF_no_ch,C16_Sd_r_t_2m_FH_CF_w_ch,C16_Sd_r_t_2m_FH_One_PFam,C16_Sd_r_t_2m_FH_oth_fa,C16_Sd_r_t_2m_FH_Tot,C16_Sd_r_t_2m_LP_H,C16_Sd_r_t_2m_GH,C16_Sd_r_t_2m_OH,C16_Sd_r_t_2m_Tot,C16_Sd_r_t_T_FH_CF_no_ch,C16_Sd_r_t_T_FH_CF_w_ch,C16_Sd_r_t_T_FH_One_PFam,C16_Sd_r_t_T_FH_oth_fa,C16_Sd_r_t_T_FH_Tot,C16_Sd_r_t_T_LP_H,C16_Sd_r_t_T_GH,C16_Sd_r_t_T_OH,C16_Sd_r_t_T_Tot,C16_F_u_a_1_2_FH_CF_no_ch,C16_F_u_a_1_2_FH_CF_w_ch,C16_F_u_a_1_2_FH_One_PFam,C16_F_u_a_1_2_FH_oth_fa,C16_F_u_a_1_2_FH_Tot,C16_F_u_a_1_2_LP_H,C16_F_u_a_1_2_GH,C16_F_u_a_1_2_OH,C16_F_u_a_1_2_Tot,C16_F_u_a_3_FH_CF_no_ch,C16_F_u_a_3_FH_CF_w_ch,C16_F_u_a_3_FH_One_PFam,C16_F_u_a_3_FH_oth_fa,C16_F_u_a_3_FH_Tot,C16_F_u_a_3_LP_H,C16_F_u_a_3_GH,C16_F_u_a_3_OH,C16_F_u_a_3_Tot,C16_F_u_a_4m_FH_CF_no_ch,C16_F_u_a_4m_FH_CF_w_ch,C16_F_u_a_4m_FH_One_PFam,C16_F_u_a_4m_FH_oth_fa,C16_F_u_a_4m_FH_Tot,C16_F_u_a_4m_LP_H,C16_F_u_a_4m_GH,C16_F_u_a_4m_OH,C16_F_u_a_4m_Tot,C16_F_u_a_a_h_FH_CF_no_ch,C16_F_u_a_a_h_FH_CF_w_ch,C16_F_u_a_a_h_FH_One_PFam,C16_F_u_a_a_h_FH_oth_fa,C16_F_u_a_a_h_FH_Tot,C16_F_u_a_a_h_LP_H,C16_F_u_a_a_h_GH,C16_F_u_a_a_h_OH,C16_F_u_a_a_h_Tot,C16_F_u_a_T_FH_CF_no_ch,C16_F_u_a_T_FH_CF_w_ch,C16_F_u_a_T_FH_One_PFam,C16_F_u_a_T_FH_oth_fa,C16_F_u_a_T_FH_Tot,C16_F_u_a_T_LP_H,C16_F_u_a_T_GH,C16_F_u_a_T_OH,C16_F_u_a_T_Tot,C16_OD_C_c_hb_FH_CF_no_ch,C16_OD_C_c_hb_FH_CF_w_ch,C16_OD_C_c_hb_FH_One_PFam,C16_OD_C_c_hb_FH_oth_fa,C16_OD_C_c_hb_FH_Tot,C16_OD_C_c_hb_LP_H,C16_OD_C_c_hb_GH,C16_OD_C_c_hb_OH,C16_OD_C_c_hb_Tot,C16_OD_Ih_t_s_FH_CF_no_ch,C16_OD_Ih_t_s_FH_CF_w_ch,C16_OD_Ih_t_s_FH_One_PFam,C16_OD_Ih_t_s_FH_oth_fa,C16_OD_Ih_t_s_FH_Tot,C16_OD_Ih_t_s_LP_H,C16_OD_Ih_t_s_GH,C16_OD_Ih_t_s_OH,C16_OD_Ih_t_s_Tot,C16_OD_H_f_so_FH_CF_no_ch,C16_OD_H_f_so_FH_CF_w_ch,C16_OD_H_f_so_FH_One_PFam,C16_OD_H_f_so_FH_oth_fa,C16_OD_H_f_so_FH_Tot,C16_OD_H_f_so_LP_H,C16_OD_H_f_so_GH,C16_OD_H_f_so_OH,C16_OD_H_f_so_Tot,C16_OD_T_FH_CF_no_ch,C16_OD_T_FH_CF_w_ch,C16_OD_T_FH_One_PFam,C16_OD_T_FH_oth_fa,C16_OD_T_FH_Tot,C16_OD_Tot_LP_H,C16_OD_Tot_GH,C16_OD_Tot_OH,C16_OD_T_T,C16_DS_ns_FH_CF_no_ch,C16_DS_ns_FH_CF_w_ch,C16_DS_ns_FH_One_PFam,C16_DS_ns_FH_oth_fa,C16_DS_ns_FH_Tot,C16_DS_ns_LP_H,C16_DS_ns_GH,C16_DS_ns_OH,C16_DS_NS_T,C16_T_FH_CF_no_ch,C16_T_FH_CF_w_ch,C16_T_FH_One_PFam,C16_T_FH_oth_fa
LGA10850,0,0,0,3,0,0,8,3,3,3,3,11,49,0,0,55,0,0,0,0,0,10,0,12,15,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,0,11,0,0,3,0,4,16,0,12,26,0,0,0,0,3,0,0,0,5,730,798,271,28,1833,679,40,114,2663,759,787,279,26,1856,612,40,147,2658,8,3,7,0,11,16,0,0,31,0,0,0,0,5,0,0,0,4,7,8,7,0,14,14,0,0,38,6,0,0,0,11,44,0,15,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,44,0,15,73,0,0,0,0,0,3,0,8,10,3,3,0,0,3,0,0,0,4,5,3,0,0,12,3,0,3,24,15,9,0,0,17,11,0,9,44,0,0,0,0,0,29,0,0,29,784,802,290,23
LGA10900,13,0,29,47,0,8,86,82,28,49,4,157,396,29,42,623,4,0,0,0,5,9,0,29,43,0,0,0,0,0,0,0,33,33,3,5,0,0,13,13,0,4,31,12,4,5,0,24,23,0,63,106,3,3,0,0,11,6,5,0,20,7624,9170,3080,181,20048,7183,798,1339,29377,7627,8946,2866,203,19642,6092,753,1133,27618,160,55,74,3,287,495,31,66,878,114,46,81,0,243,324,25,36,627,271,101,155,8,531,822,47,106,1506,46,14,39,6,110,289,28,43,468,21,4,8,3,31,97,12,9,147,0,0,0,0,0,7,0,0,11,0,0,0,0,3,11,0,0,9,66,18,47,13,146,397,45,59,639,4,0,0,0,4,7,0,34,43,4,4,0,0,9,0,0,19,28,10,3,0,0,14,13,0,6,42,16,11,0,0,23,25,0,62,112,29,20,7,0,52,51,4,14,119,8009,9091,3074,220
LGA10950,0,0,0,0,0,0,0,4,0,3,0,7,24,0,3,32,3,0,0,0,3,9,0,35,50,0,0,0,0,0,0,0,3,3,4,0,0,0,3,4,0,0,9,9,0,0,0,9,13,0,41,62,0,0,0,0,0,0,0,5,12,265,315,128,11,714,315,18,116,1167,253,252,100,8,620,242,23,84,968,8,0,0,0,11,18,0,3,31,5,0,0,0,5,0,0,0,4,9,0,0,0,11,18,0,3,40,3,3,0,0,4,19,0,4,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,19,0,4,34,0,0,0,0,0,7,0,35,47,0,0,0,0,0,0,0,3,3,0,0,0,0,5,3,0,3,8,3,0,0,0,8,7,0,44,57,3,3,0,0,10,4,0,3,17,274,264,101,8
LGA11100,0,0,0,0,0,0,3,1378,1568,741,161,3848,2086,433,460,6832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,12,0,52,13,7,8,79,22,23,12,0,52,13,7,8,79,3,7,0,0,10,18,3,0,32,3010,4932,1740,294,9975,3466,682,766,14885,1137,2545,660,108,4452,862,171,204,5683,218,363,133,15,727,285,55,50,1118,183,472,167,18,836,236,36,50,1155,400,839,296,28,1564,523,91,99,2277,260,439,180,40,919,546,110,81,1652,604,849,382,52,1896,867,189,237,3186,1320,866,256,95,2529,923,586,405,4446,0,0,4,0,4,4,0,0,8,2183,2151,818,191,5347,2338,885,716,9289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,24,24,18,7,66,28,12,15,129,24,24,13,7,76,36,12,15,137,7,26,3,3,39,29,3,9,79,3748,5586,1802,340
LGA11150,0,0,0,0,0,0,0,4,0,3,0,6,17,3,15,42,0,0,0,0,5,11,0,102,114,0,0,0,0,0,0,0,23,23,0,4,0,0,4,0,0,3,9,0,4,0,0,4,14,0,129,149,0,0,0,0,0,0,0,8,8,235,256,117,15,630,284,23,273,1206,181,211,112,14,518,213,13,181,925,3,0,0,0,6,13,0,6,23,0,0,0,0,0,0,0,0,0,3,0,0,0,6,13,0,6,23,3,0,3,0,8,23,0,4,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,8,23,0,4,37,7,0,0,0,7,10,0,96,108,0,0,0,0,0,3,0,8,13,6,0,0,0,6,4,0,0,7,8,0,0,0,13,16,0,101,127,10,0,3,0,9,3,0,6,22,203,213,124,14
LGA11200,0,0,0,0,0,0,0,9,5,8,0,18,19,0,5,45,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,3,0,4,0,0,6,8,0,0,0,0,0,0,0,0,8,116,146,106,21,388,169,17,52,628,109,106,112,18,346,131,23,60,559,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,3,0,0,0,3,3,0,0,0,7,5,0,0,10,5,0,3,0,12,12,0,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,5,0,16,18,0,3,41,0,0,0,0,3,0,0,3,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,8,13,0,0,0,0,0,4,0,0,4,121,109,120,21
LGA11250,0,0,0,0,0,0,3,43,35,31,5,114,192,8,35,354,6,0,0,0,12,7,0,139,157,0,0,0,0,0,0,0,3,3,3,0,0,0,7,3,0,0,8,13,0,3,0,15,13,0,141,167,0,4,0,0,7,0,0,4,10,2068,1630,1014,71,4781,2509,150,619,8056,1842,1447,997,76,4355,2257,178,370,7163,17,14,11,0,48,101,0,17,172,3,0,8,0,10,0,0,6,23,20,17,18,0,58,106,4,23,193,18,7,3,0,27,150,3,39,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,3,0,26,150,3,39,219,3,0,3,0,8,5,0,88,101,0,0,0,0,3,0,0,12,13,0,0,0,0,0,4,0,0,5,3,3,0,0,12,8,0,106,123,10,3,7,0,15,13,0,18,46,1888,1476,1023,78
LGA11300,0,0,11,14,0,6,34,926,774,414,138,2261,1009,559,283,4112,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,17,14,3,0,33,20,4,16,80,17,14,3,0,33,20,4,24,83,0,3,3,0,6,7,0,3,13,2360,3827,1190,280,7653,2210,863,510,11238,1031,2060,543,90,3732,715,268,160,4874,137,254,69,12,476,181,46,26,724,253,588,163,15,1016,206,53,40,1311,389,840,235,33,1498,385,98,65,2037,205,144,84,24,459,307,91,84,942,465,405,171,60,1107,400,312,97,1916,639,456,199,79,1372,544,516,223,2648,10,7,3,0,18,8,5,3,30,1317,1016,457,165,2953,1256,920,408,5534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,7,17,3,4,24,23,4,7,59,13,16,3,4,31,23,4,19,68,17,22,8,0,49,26,16,4,90,2764,3954,1244,288
LGA11350,7,0,12,33,7,7,62,87,37,98,4,220,334,46,110,710,49,12,24,3,86,188,17,251,545,0,0,0,0,0,10,0,148,161,7,3,6,0,17,30,0,7,55,57,16,25,3,99,230,20,406,755,3,7,0,0,8,10,0,5,29,2715,2842,1635,88,7274,3090,838,1204,12404,2526,2602,1228,77,6438,2128,702,1244,10509,87,54,75,4,220,169,61,69,516,75,77,68,0,215,104,50,65,438,167,128,135,3,433,276,107,139,956,94,49,73,3,217,363,46,120,743,9,6,15,0,35,42,4,23,101,0,0,0,0,0,0,0,3,3,3,3,4,0,11,13,0,3,27,107,57,87,10,261,416,52,149,872,52,24,18,0,97,199,13,312,622,3,0,0,0,4,13,0,199,214,15,7,5,0,27,29,0,13,71,69,34,32,0,128,245,17,520,912,40,19,19,0,77,79,13,63,235,2904,2832,1503,96
LGA11400,0,0,0,0,0,0,5,8,3,3,0,17,52,0,3,72,0,4,0,0,6,25,0,9,41,4,4,0,0,6,7,0,0,18,7,8,0,0,15,9,0,0,18,14,16,0,0,26,38,0,15,77,3,0,0,0,5,0,0,0,3,1544,1538,404,36,3527,1106,71,116,4826,1420,1571,391,34,3416,1026,73,286,4797,0,0,0,0,3,25,0,4,31,0,0,0,0,0,0,0,0,0,6,0,0,0,5,25,0,4,32,7,0,5,4,13,57,3,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,4,13,57,3,0,76,0,3,0,0,0,15,0,9,29,0,0,0,0,3,0,0,0,4,3,6,0,0,10,16,0,3,26,4,6,3,0,20,33,0,15,58,11,6,0,0,16,7,0,0,27,1446,1588,405,36
LGA11450,3,0,9,14,0,0,22,46,6,16,3,80,183,10,31,304,25,3,7,3,35,102,3,17,158,0,0,0,0,0,0,0,3,3,3,3,0,0,9,3,0,3,11,28,4,7,4,40,108,3,22,179,10,7,0,0,20,6,0,0,24,4333,8415,2071,148,14961,2590,323,532,18408,5498,11286,2540,194,19517,2464,329,810,23117,172,106,86,10,382,453,7,51,898,128,145,107,3,385,192,15,38,630,301,253,197,16,767,640,28,92,1521,28,3,14,4,47,105,0,12,167,10,0,0,0,10,26,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,7,37,3,14,4,63,135,0,12,206,12,0,0,0,18,31,0,27,76,0,3,3,0,7,3,0,3,13,7,3,0,0,7,3,0,0,12,19,3,4,0,35,34,3,33,103,17,25,0,0,45,24,3,0,70,5870,11578,2760,211
LGA11500,0,0,21,34,4,12,63,409,169,167,22,766,955,65,150,1937,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,5,12,27,53,19,5,105,31,0,4,145,27,53,21,5,107,40,0,9,159,4,6,5,0,12,7,0,0,23,9879,18635,8238,625,37379,8853,1048,1791,49080,8541,17492,6555,491,33076,5408,826,1477,40786,701,872,713,69,2351,1439,103,277,4174,657,1204,981,73,2921,1331,126,465,4838,1354,2076,1694,139,5268,2774,229,743,9017,219,125,121,14,476,500,33,100,1115,91,63,40,6,197,146,13,72,436,267,127,85,9,486,279,50,65,871,3,4,3,0,12,12,0,0,24,580,318,248,26,1169,931,97,238,2437,0,0,0,0,4,0,0,0,6,4,0,0,0,3,8,0,11,19,7,20,14,0,41,13,5,18,85,12,25,15,0,49,23,10,27,108,34,26,8,0,67,42,0,15,131,10524,19935,8517,656
LGA11520,7,0,23,13,0,4,36,3764,2155,917,229,7059,3628,1007,1155,12856,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,39,28,13,0,81,44,14,30,164,39,28,13,0,81,41,14,34,168,27,6,3,4,35,18,4,8,63,7677,9478,2477,445,20075,6459,1484,1717,29736,2742,6146,1215,191,10295,1787,302,367,12756,232,398,113,14,751,272,37,59,1124,523,700,233,24,1476,390,57,119,2042,754,1094,342,36,2221,660,94,183,3162,926,598,326,44,1896,1257,224,310,3690,997,714,311,56,2075,1026,286,307,3698,3370,2010,638,184,6200,2188,1103,788,10275,5,5,0,0,10,10,0,6,27,5303,3319,1275,286,10182,4484,1608,1414,17685,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,108,50,21,4,188,70,41,30,334,109,51,21,4,192,70,41,30,335,43,31,13,0,87,62,11,11,166,8943,10649,2866,516
LGA11570,35,0,103,96,6,20,225,4757,7088,3422,510,15778,7749,1129,2085,26742,9,9,0,0,16,38,0,9,61,0,10,3,0,10,6,0,3,28,64,127,68,3,268,116,35,84,501,72,141,72,3,295,160,35,97,588,43,90,27,3,166,66,12,12,254,20563,42461,14585,1646,79255,21199,2712,4984,108151,12230,29050,8530,1061,50872,9303,1370,2499,64047,712,1221,597,82,2612,1375,133,242,4362,2241,6128,2086,185,10637,2212,335,642,13825,2954,7348,2676,268,13245,3588,470,883,18190,2453,3678,1507,261,7894,4099,813,971,13771,1921,3235,1458,176,6795,2712,512,842,10861,1245,1503,579,105,3429,1169,341,496,5446,24,35,10,4,79,37,8,16,142,5645,8456,3558,543,18198,8017,1675,2331,30218,0,4,3,0,10,5,0,3,15,0,3,0,0,3,0,0,3,3,117,185,104,14,422,140,51,66,674,117,189,109,14,426,141,49,71,690,68,139,50,3,264,125,25,27,434,21019,45186,14920,1883
LGA11600,0,0,0,0,0,0,0,5,0,0,0,5,23,4,3,29,10,0,0,0,11,16,3,29,57,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,3,10,0,0,0,13,18,0,33,65,0,0,0,0,0,0,0,0,0,297,284,84,10,675,282,28,68,1055,280,275,81,7,651,241,28,76,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,12,15,0,10,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,12,15,0,10,34,6,0,0,0,4,11,9,32,61,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,8,0,0,0,10,15,7,43,67,7,5,0,0,9,0,0,0,11,294,281,85,10
LGA11650,23,0,70,150,13,17,250,1852,560,869,83,3370,4831,378,652,9228,188,36,100,4,334,786,32,192,1336,0,0,0,0,3,5,0,123,128,31,39,26,5,102,77,10,12,200,221,77,131,6,433,864,38,332,1667,19,15,28,3,63,65,8,28,159,30863,34665,16002,1080,82602,31363,3239,4560,121762,26085,33430,12824,931,73270,19068,2731,3802,98876,2363,676,1061,98,4199,4945,237,580,9959,1270,849,980,45,3150,2250,251,375,6017,3625,1520,2046,148,7347,7194,487,951,15980,1248,472,670,64,2454,3362,247,497,6559,362,153,190,18,722,701,97,162,1685,459,182,189,20,849,673,85,172,1786,7,7,6,0,27,43,3,3,71,2079,811,1061,99,4054,4777,434,840,10101,144,61,103,11,311,535,41,262,1153,5,10,4,0,18,10,0,175,205,47,56,46,3,153,63,10,40,267,200,129,146,9,485,614,49,476,1623,102,70,42,5,231,301,10,71,613,32097,35964,16124,1193
LGA11700,0,0,0,0,0,0,0,11,0,3,3,21,23,0,3,44,7,0,0,0,7,11,0,54,75,0,0,0,0,0,0,0,10,13,3,0,4,0,5,14,0,3,20,11,0,4,0,17,27,0,68,110,6,12,10,0,30,11,3,11,55,181,159,105,16,453,268,20,156,891,112,131,91,3,337,199,15,118,669,3,3,0,0,8,8,0,6,29,0,0,0,0,0,0,0,0,0,3,3,0,0,8,8,0,6,29,4,3,0,0,9,7,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,9,7,0,3,13,0,0,0,0,0,3,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,0,0,0,0,10,0,9,20,4,0,0,0,10,4,0,4,16,121,135,97,5
LGA11720,7,0,11,3,0,0,20,95,25,61,3,194,338,23,35,588,11,3,4,0,21,20,0,53,90,0,3,0,0,4,0,0,0,4,6,5,3,0,14,13,0,0,26,16,7,9,0,40,36,3,51,121,5,3,0,0,13,3,0,9,19,4866,5714,2675,168,13416,4343,468,772,18999,4755,5661,2628,193,13237,3725,454,1049,18467,222,93,207,13,535,691,38,99,1362,21,17,27,0,65,137,16,21,238,245,107,241,9,600,828,51,120,1602,26,15,27,6,74,209,12,40,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,24,15,27,5,72,209,12,39,330,7,8,0,0,16,9,0,16,36,0,3,0,0,3,3,0,3,10,3,3,5,0,10,19,0,10,38,11,7,10,0,33,32,0,24,80,25,25,16,0,72,38,3,25,143,5069,5822,2918,209
LGA11730,0,0,5,14,0,0,18,196,56,129,13,391,659,50,150,1256,101,22,16,0,137,261,13,479,887,4,7,4,0,12,26,0,17,52,18,11,10,0,46,31,3,10,88,120,37,31,3,191,318,15,498,1029,3,0,0,0,10,22,0,3,29,6236,4623,2365,191,13408,5328,524,1238,20499,5821,4133,2063,171,12188,4124,512,1174,17992,147,34,55,4,241,453,17,50,761,71,35,71,3,189,176,22,49,430,222,72,127,4,430,629,38,100,1195,128,39,101,10,278,547,30,126,983,18,4,8,3,28,41,5,48,125,0,0,0,0,3,8,0,0,8,0,0,0,0,0,3,0,0,3,149,43,108,8,311,598,37,174,1126,128,14,14,3,163,275,14,619,1064,15,17,14,0,40,39,0,54,141,20,11,7,0,31,26,3,7,74,160,37,30,4,233,344,22,684,1282,52,22,16,0,93,48,3,41,186,6405,4304,2352,186
LGA11750,0,0,0,0,0,0,0,20,5,3,3,31,84,5,21,143,7,0,0,0,10,21,0,72,100,0,0,0,0,0,0,0,4,5,0,3,0,0,4,5,0,0,8,8,5,0,0,15,27,0,81,118,0,0,0,0,3,3,0,16,21,474,497,169,24,1159,527,39,240,1962,431,451,156,20,1049,392,29,177,1656,5,0,0,0,10,14,0,7,32,0,0,0,0,0,0,0,0,0,5,0,0,0,10,14,0,7,32,12,3,7,0,27,77,3,44,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,3,7,0,27,76,3,44,145,3,0,0,0,3,11,0,55,78,0,0,0,0,0,3,0,12,13,5,3,0,0,10,3,0,4,16,8,6,0,0,14,18,0,71,109,0,0,0,0,3,0,0,4,7,462,457,164,20
LGA11800,8,0,28,37,0,6,75,427,180,316,23,944,1438,164,238,2782,206,25,52,3,288,418,14,557,1277,0,3,0,0,3,10,0,9,17,9,6,10,0,26,22,4,5,51,220,33,61,3,312,445,18,566,1350,0,4,0,0,3,5,0,0,17,7696,6916,3432,190,18238,6934,902,1546,27614,6471,6332,2628,150,15573,3868,648,1098,21187,418,191,296,16,925,963,67,174,2131,342,193,206,10,747,516,85,130,1481,762,383,501,24,1677,1483,154,302,3611,321,177,313,26,833,1122,139,207,2303,54,43,34,3,136,159,26,31,354,88,22,23,3,124,151,14,58,353,0,0,0,0,3,11,3,0,9,462,243,367,28,1103,1447,183,292,3023,136,26,25,3,189,337,20,598,1144,15,0,5,0,18,27,0,43,88,9,9,3,0,25,10,3,6,41,163,33,30,8,236,373,22,645,1268,79,46,24,0,150,111,19,87,362,7942,7043,3549,208
LGA12000,0,0,0,0,0,0,0,18,0,0,0,21,38,0,0,60,3,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,4,0,10,3,0,3,15,7,0,4,0,7,6,0,8,22,0,0,0,0,0,0,0,0,0,490,444,140,10,1080,376,34,63,1553,470,440,133,22,1067,340,30,133,1575,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,7,0,0,0,7,19,0,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,22,0,3,34,3,0,0,0,3,0,0,10,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,11,8,8,0,0,8,3,0,0,17,489,448,134,22
LGA12150,0,0,0,0,0,0,0,4,0,0,0,6,32,0,4,39,0,0,0,0,0,3,0,17,26,0,0,0,0,0,3,0,4,8,0,3,0,0,3,5,0,0,7,0,3,0,0,6,11,0,27,41,0,0,0,0,3,0,0,0,3,431,356,235,30,1045,460,31,107,1642,361,285,206,18,864,372,36,227,1505,3,0,0,0,5,7,0,3,17,0,0,0,0,0,0,0,0,0,3,0,0,0,5,7,0,3,17,3,0,6,3,10,45,0,17,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,10,41,0,17,73,3,0,0,0,3,3,0,44,49,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,6,12,3,0,0,0,3,6,0,48,61,4,0,4,0,4,6,0,5,12,372,290,215,19
LGA12350,0,0,0,0,0,0,0,18,3,8,4,36,162,8,26,236,8,0,0,0,8,12,0,26,47,0,0,0,0,3,3,0,0,5,3,6,0,0,11,8,0,0,18,15,3,0,0,20,24,0,32,75,0,0,0,0,0,8,0,40,53,1488,1191,451,42,3167,1460,112,320,5062,1397,1118,495,65,3071,1177,89,328,4662,45,16,9,0,71,85,6,16,182,0,0,0,0,0,3,0,0,10,44,16,13,0,74,86,5,22,190,24,4,8,3,42,162,12,36,257,0,0,0,0,0,7,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,8,3,47,178,12,41,271,3,4,0,0,3,15,0,38,55,0,0,0,0,0,0,0,5,7,3,3,0,0,6,3,0,0,11,4,4,3,0,13,21,0,40,74,15,7,8,0,31,22,0,0,60,1493,1154,521,65
