LGA_CODE_2016,C06_CFNC_BF_N,C06_CFNC_BF_1_149,C06_CFNC_BF_150_299,C06_CFNC_BF_300_399,C06_CFNC_BF_400_499,C06_CFNC_BF_500_649,C06_CFNC_BF_650_799,C06_CFNC_BF_800_999,C06_CFNC_BF_1000_1499,C06_CFNC_BF_1500_1999,C06_CFNC_BF_2000_2499,C06_CFNC_BF_2500_2999,C06_CFNC_BF_3000_3999,C06_CFNC_BF_4000m,C06_CFNC_BF_Ns,C06_CFNC_BF_T,C06_CFNC_BPT_N,C06_CFNC_BPT_1_149,C06_CFNC_BPT_150_299,C06_CFNC_BPT_300_399,C06_CFNC_BPT_400_499,C06_CFNC_BPT_500_649,C06_CFNC_BPT_650_799,C06_CFNC_BPT_800_999,C06_CFNC_BPT_1000_1499,C06_CFNC_BPT_1500_1999,C06_CFNC_BPT_2000_2499,C06_CFNC_BPT_2500_2999,C06_CFNC_BPT_3000_3999,C06_CFNC_BPT_4000m,C06_CFNC_BPT_Ns,C06_CFNC_BPT_T,C06_CFNC_1F1P_N,C06_CFNC_1F1P_1_149,C06_CFNC_1F1P_150_299,C06_CFNC_1F1P_300_399,C06_CFNC_1F1P_400_499,C06_CFNC_1F1P_500_649,C06_CFNC_1F1P_650_799,C06_CFNC_1F1P_800_999,C06_CFNC_1F1P_1000_1499,C06_CFNC_1F1P_1500_1999,C06_CFNC_1F1P_2000_2499,C06_CFNC_1F1P_2500_2999,C06_CFNC_1F1P_3000_3999,C06_CFNC_1F1P_4000m,C06_CFNC_1F1P_Ns,C06_CFNC_1F1P_T,C06_CFNC_1E1A_N,C06_CFNC_1E1A_1_149,C06_CFNC_1E1A_150_299,C06_CFNC_1E1A_300_399,C06_CFNC_1E1A_400_499,C06_CFNC_1E1A_500_649,C06_CFNC_1E1A_650_799,C06_CFNC_1E1A_800_999,C06_CFNC_1E1A_1000_1499,C06_CFNC_1E1A_1500_1999,C06_CFNC_1E1A_2000_2499,C06_CFNC_1E1A_2500_2999,C06_CFNC_1E1A_3000_3999,C06_CFNC_1E1A_4000m,C06_CFNC_1E1A_Ns,C06_CFNC_1E1A_T,C06_CFNC_1F1NW_N,C06_CFNC_1F1NW_1_149,C06_CFNC_1F1NW_150_299,C06_CFNC_1F1NW_300_399,C06_CFNC_1F1NW_400_499,C06_CFNC_1F1NW_500_649,C06_CFNC_1F1NW_650_799,C06_CFNC_1F1NW_800_999,C06_CFNC_1F1NW_1000_1499,C06_CFNC_1F1NW_1500_1999,C06_CFNC_1F1NW_2000_2499,C06_CFNC_1F1NW_2500_2999,C06_CFNC_1F1NW_3000_3999,C06_CFNC_1F1NW_4000m,C06_CFNC_1F1NW_Ns,C06_CFNC_1F1NW_T,C06_CFNC_1P1NW_N,C06_CFNC_1P1NW_1_149,C06_CFNC_1P1NW_150_299,C06_CFNC_1P1NW_300_399,C06_CFNC_1P1NW_400_499,C06_CFNC_1P1NW_500_649,C06_CFNC_1P1NW_650_799,C06_CFNC_1P1NW_800_999,C06_CFNC_1P1NW_1000_1499,C06_CFNC_1P1NW_1500_1999,C06_CFNC_1P1NW_2000_2499,C06_CFNC_1P1NW_2500_2999,C06_CFNC_1P1NW_3000_3999,C06_CFNC_1P1NW_4000m,C06_CFNC_1P1NW_Ns,C06_CFNC_1P1NW_T,C06_CFNC_1A1NW_N,C06_CFNC_1A1NW_1_149,C06_CFNC_1A1NW_150_299,C06_CFNC_1A1NW_300_399,C06_CFNC_1A1NW_400_499,C06_CFNC_1A1NW_500_649,C06_CFNC_1A1NW_650_799,C06_CFNC_1A1NW_800_999,C06_CFNC_1A1NW_1000_1499,C06_CFNC_1A1NW_1500_1999,C06_CFNC_1A1NW_2000_2499,C06_CFNC_1A1NW_2500_2999,C06_CFNC_1A1NW_3000_3999,C06_CFNC_1A1NW_4000_m,C06_CFNC_1A1NW_Ns,C06_CFNC_1A1NW_T,C06_CFNC_BA_N,C06_CFNC_BA_1_149,C06_CFNC_BA_150_299,C06_CFNC_BA_300_399,C06_CFNC_BA_400_499,C06_CFNC_BA_500_649,C06_CFNC_BA_650_799,C06_CFNC_BA_800_999,C06_CFNC_BA_1000_1499,C06_CFNC_BA_1500_1999,C06_CFNC_BA_2000_2499,C06_CFNC_BA_2500_2999,C06_CFNC_BA_3000_3999,C06_CFNC_BA_4000_m,C06_CFNC_BA_Ns,C06_CFNC_BA_T,C06_CFNC_BNW_N,C06_CFNC_BNW_1_149,C06_CFNC_BNW_150_299,C06_CFNC_BNW_300_399,C06_CFNC_BNW_400_499,C06_CFNC_BNW_500_649,C06_CFNC_BNW_650_799,C06_CFNC_BNW_800_999,C06_CFNC_BNW_1000_1499,C06_CFNC_BNW_1500_1999,C06_CFNC_BNW_2000_2499,C06_CFNC_BNW_2500_2999,C06_CFNC_BNW_3000_3999,C06_CFNC_BNW_4000m,C06_CFNC_BNW_Ns,C06_CFNC_BNW_T,C06_CFNC_LFns_N,C06_CFNC_LFns_1_149,C06_CFNC_LFns_150_299,C06_CFNC_LFns_300_399,C06_CFNC_LFns_400_499,C06_CFNC_LFns_500_649,C06_CFNC_LFns_650_799,C06_CFNC_LFns_800_999,C06_CFNC_LFns_1000_1499,C06_CFNC_LFns_1500_1999,C06_CFNC_LFns_2000_2499,C06_CFNC_LFns_2500_2999,C06_CFNC_LFns_3000_3999,C06_CFNC_LFns_4000m,C06_CFNC_LFns_Ns,C06_CFNC_LFns_T,C06_CFNC_T_N,C06_CFNC_T_1_149,C06_CFNC_T_150_299,C06_CFNC_T_300_399,C06_CFNC_T_400_499,C06_CFNC_T_500_649,C06_CFNC_T_650_799,C06_CFNC_T_800_999,C06_CFNC_T_1000_1499,C06_CFNC_T_1500_1999,C06_CFNC_T_2000_2499,C06_CFNC_T_2500_2999,C06_CFNC_T_3000_3999,C06_CFNC_T_4000_m,C06_CFNC_T_Ns,C06_CFNC_T_T,C06_CF_BFT_N,C06_CF_BFT_1_149,C06_CF_BFT_150_299,C06_CF_BFT_300_399,C06_CF_BFT_400_499,C06_CF_BFT_500_649,C06_CF_BFT_650_799,C06_CF_BFT_800_999,C06_CF_BFT_1000_1499,C06_CF_BFT_1500_1999,C06_CF_BFT_2000_2499,C06_CF_BFT_2500_2999,C06_CF_BFT_3000_3999,C06_CF_BFT_4000m,C06_CF_BFT_Ns,C06_CF_BFT_T,C06_CF_BPT_N,C06_CF_BPT_1_149,C06_CF_BPT_150_299,C06_CF_BPT_300_399,C06_CF_BPT_400_499,C06_CF_BPT_500_649,C06_CF_BPT_650_799,C06_CF_BPT_800_999
LGA10850,3,3,0,0,7,8,0,7,55,37,26,13,9,5,3,174,0,0,0,0,0,5,0,5,9,3,0,0,0,0,0,26,0,0,0,0,3,5,3,5,34,16,3,0,3,0,4,84,0,0,0,0,0,0,0,0,7,6,3,0,0,0,0,20,0,0,0,0,3,8,7,16,27,4,3,3,0,0,0,72,0,0,0,3,0,4,3,3,8,0,0,0,0,0,3,30,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,3,12,0,7,99,50,3,8,24,3,0,0,0,0,9,220,0,0,0,0,0,3,0,0,0,0,0,0,0,0,50,59,11,16,4,5,118,89,21,44,167,63,38,19,18,4,75,697,0,0,0,0,0,0,0,0,21,27,42,16,3,0,18,137,0,0,0,0,0,4,3,0
LGA10900,5,3,0,7,8,19,9,20,292,351,373,229,173,35,23,1546,0,9,7,3,11,45,16,39,126,41,20,11,4,6,6,350,3,0,0,0,3,26,26,69,378,237,159,93,70,10,18,1108,0,4,0,3,0,6,3,10,55,33,30,16,17,3,10,193,3,3,0,3,4,51,78,98,246,111,29,83,14,0,26,753,3,0,12,16,23,105,52,53,122,26,17,12,12,3,10,454,0,0,3,3,3,11,9,4,16,15,7,5,0,0,6,87,0,0,0,0,0,5,0,3,24,7,10,6,3,0,3,72,25,51,23,29,637,609,166,157,386,77,23,23,15,12,73,2306,3,0,0,0,14,15,3,3,8,3,3,0,0,0,444,500,49,75,40,63,707,889,361,456,1653,908,677,487,315,73,619,7365,3,5,0,3,10,18,9,11,186,278,301,320,295,138,245,1815,0,0,3,0,9,26,18,35
LGA10950,5,0,0,3,4,8,0,3,29,7,4,0,4,3,3,86,0,0,0,0,3,3,0,4,4,0,0,0,0,0,0,19,0,0,0,0,0,3,0,4,12,5,4,0,3,0,3,36,0,0,0,0,0,3,0,0,0,3,0,3,0,0,3,9,0,3,0,0,0,6,7,3,6,0,0,0,0,0,3,35,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,14,0,0,39,20,0,0,8,0,0,0,0,0,3,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,15,13,4,5,46,48,13,15,59,21,13,5,7,10,30,306,3,0,0,0,0,4,4,0,20,17,9,5,3,0,14,80,0,0,0,0,0,0,0,0
LGA11100,0,0,0,0,5,4,4,9,188,168,163,90,65,29,9,741,4,0,0,0,8,21,9,9,26,11,0,0,0,0,0,92,4,0,0,0,0,7,12,22,119,54,30,11,12,0,6,280,0,0,0,0,0,0,0,5,19,13,3,5,3,3,5,54,0,3,0,3,4,42,55,59,94,24,9,13,0,0,19,334,0,3,7,17,7,51,14,9,17,9,3,0,0,0,3,139,0,0,0,0,0,7,4,0,7,0,0,0,0,0,4,34,0,0,0,0,0,0,0,0,5,4,5,0,7,3,6,34,52,61,33,6,478,158,19,27,86,8,7,0,0,3,27,975,6,3,7,0,25,7,7,3,3,3,0,0,0,0,187,248,61,71,46,30,523,297,116,151,570,301,233,126,90,45,264,2928,6,0,0,0,0,9,4,21,231,224,182,125,139,50,110,1095,0,3,0,0,3,13,3,12
LGA11150,3,0,0,0,0,3,0,0,26,10,15,8,4,3,4,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,3,11,0,3,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,6,3,7,4,7,0,0,0,0,3,27,0,0,0,4,5,3,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,23,5,0,3,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,5,7,0,3,32,25,7,16,45,23,24,12,10,3,32,243,0,0,0,0,0,4,0,3,15,16,7,5,3,0,16,89,0,0,0,0,0,0,0,0
LGA11200,3,0,0,0,3,4,0,0,18,13,10,3,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,16,6,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,3,3,0,3,25,13,4,5,33,16,7,3,0,0,22,142,0,0,0,0,0,0,0,0,7,8,0,4,0,3,13,38,0,0,0,0,5,0,0,0
LGA11250,0,0,0,0,0,6,0,4,72,66,55,22,16,0,5,260,0,3,0,0,3,11,4,8,10,4,3,0,0,0,0,41,3,0,0,3,0,19,13,21,75,40,21,6,7,0,10,217,0,0,0,0,0,3,5,3,18,7,3,0,0,0,0,38,0,0,0,0,3,13,35,29,57,16,3,10,0,0,11,175,0,3,4,6,32,57,11,17,13,3,0,0,0,0,4,150,0,0,0,0,3,9,3,0,5,0,0,0,0,0,3,24,0,0,0,0,0,3,0,0,6,3,0,3,0,0,3,20,12,29,9,9,512,236,21,26,101,7,3,0,0,4,46,1022,0,0,0,0,10,6,0,0,4,0,0,0,0,0,152,183,16,43,16,24,574,361,98,111,348,144,84,41,29,7,230,2134,0,0,0,0,3,3,3,9,77,81,64,52,16,6,22,340,0,0,0,0,0,3,7,9
LGA11300,3,0,3,0,0,7,3,11,138,97,123,82,65,28,9,563,0,3,3,0,11,24,6,14,24,7,7,0,0,0,3,106,0,0,0,0,0,9,10,22,78,55,30,13,18,0,0,231,0,0,0,0,0,7,0,0,16,10,8,4,3,0,3,60,0,0,0,3,3,42,38,41,62,22,11,21,8,3,12,259,0,4,11,10,7,39,16,10,18,3,0,3,0,0,5,124,0,0,3,0,0,0,3,5,7,0,3,0,0,0,3,31,0,0,0,0,4,0,0,0,4,0,3,0,0,0,0,16,71,46,17,10,325,118,20,20,79,24,6,4,3,3,47,800,3,3,0,0,13,6,0,3,3,0,0,0,0,0,151,180,81,59,37,33,359,255,100,119,431,215,185,124,99,44,227,2367,0,0,0,0,3,11,3,11,122,133,164,95,149,88,66,847,3,8,0,0,7,14,7,8
LGA11350,3,0,0,3,3,17,3,13,130,76,55,35,25,4,9,362,0,3,0,8,10,38,11,40,73,24,11,3,7,3,3,232,0,0,4,6,0,26,8,36,158,55,17,13,15,7,8,342,0,0,0,0,0,4,3,3,21,8,3,6,3,0,9,58,0,0,0,3,0,32,26,28,47,14,13,6,0,3,13,184,0,5,8,5,11,54,22,13,37,12,10,3,4,4,0,201,0,0,0,0,3,9,0,0,10,3,0,0,0,0,4,27,0,0,0,0,0,0,0,3,3,4,3,0,4,0,0,28,26,19,13,3,334,186,45,51,160,23,12,10,11,3,28,937,0,3,0,0,11,7,0,9,10,0,0,0,0,0,191,227,30,35,33,26,379,367,127,186,647,218,118,77,62,31,257,2593,3,0,3,0,3,15,7,12,98,80,48,41,21,14,56,390,0,0,3,5,8,30,16,29
LGA11400,9,3,4,3,8,22,4,8,118,68,41,25,17,10,8,356,0,0,0,0,3,5,0,9,17,4,3,0,3,0,3,58,3,3,3,3,5,12,11,18,75,50,14,10,3,0,3,211,0,0,0,0,0,3,0,3,20,8,5,5,3,0,4,50,4,3,0,3,0,20,25,26,29,4,3,0,0,0,6,132,0,4,3,11,10,23,11,5,15,0,3,0,0,0,9,99,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,19,0,0,0,0,3,6,4,0,12,3,0,0,0,0,0,26,13,13,8,3,224,76,19,10,40,10,0,0,0,0,31,449,0,0,0,0,4,3,0,0,0,0,0,0,0,0,77,91,29,31,18,26,258,181,70,83,328,142,76,47,34,17,147,1487,9,0,0,0,3,8,14,8,86,83,59,34,21,9,57,392,0,0,0,0,0,3,0,12
LGA11450,0,3,0,0,0,19,6,11,281,318,329,160,93,19,23,1259,0,0,0,0,3,23,6,13,31,16,7,3,0,0,0,110,0,0,0,0,0,13,10,22,165,119,86,31,20,3,10,481,0,0,0,0,0,3,5,6,20,21,16,8,6,0,11,96,0,0,0,3,3,29,60,57,177,45,13,34,5,0,24,442,3,8,3,3,8,41,17,23,41,5,3,3,0,0,6,171,0,3,0,0,0,3,3,5,11,0,3,3,0,0,7,37,0,0,0,0,0,3,0,0,8,8,3,3,3,3,6,41,25,46,17,9,364,240,56,59,123,23,16,0,3,5,35,1028,0,0,0,0,3,4,0,5,4,0,0,0,0,0,172,193,32,56,19,17,387,370,159,202,857,562,475,242,141,38,288,3861,0,0,0,3,4,11,3,16,264,353,385,282,251,86,185,1848,0,3,0,3,0,7,4,17
LGA11500,12,3,5,6,3,18,15,26,791,771,565,226,137,22,50,2643,0,4,5,3,9,39,10,19,84,25,13,9,10,0,0,232,3,0,0,6,4,33,35,103,503,283,120,51,36,8,21,1193,0,3,0,0,0,5,7,13,99,52,38,13,11,3,9,261,3,0,7,11,15,122,271,241,446,116,25,54,5,3,56,1371,3,12,14,28,47,105,47,49,83,12,3,4,0,0,10,406,0,0,3,0,5,19,10,22,29,4,3,0,0,0,16,118,0,0,0,0,3,3,0,0,28,23,15,4,0,0,15,97,73,123,41,41,1194,568,139,124,237,26,9,7,3,4,106,2682,6,7,0,0,31,17,3,9,16,6,0,3,0,0,475,575,108,154,72,94,1310,923,531,612,2308,1319,793,369,202,36,756,9588,11,11,4,0,6,28,12,42,784,1022,898,590,475,155,485,4527,0,0,0,0,8,26,27,38
LGA11520,3,0,0,0,5,3,11,17,238,354,458,462,552,331,36,2466,0,0,0,3,3,20,3,7,56,29,20,17,11,9,0,180,3,3,0,0,0,4,18,28,164,146,104,80,113,34,11,710,3,0,0,0,0,3,3,3,24,29,32,24,21,11,5,174,0,0,0,4,3,42,51,59,166,78,30,117,37,12,15,617,0,14,6,21,9,40,21,18,62,26,10,15,12,3,6,261,0,0,0,3,0,8,7,7,14,7,8,6,4,0,11,64,4,0,0,0,0,0,0,0,9,5,12,12,14,7,10,66,86,112,25,21,629,343,56,70,265,55,23,41,27,20,69,1837,3,9,0,0,19,10,6,0,15,3,0,3,0,0,424,496,102,133,42,46,671,479,174,213,998,735,696,765,796,423,591,6878,3,3,0,0,0,17,0,6,175,220,281,267,352,312,178,1826,3,0,0,0,4,5,3,9
LGA11570,25,7,0,0,19,53,18,67,1223,1079,912,438,308,88,65,4308,0,6,5,12,35,113,30,53,188,46,26,10,7,3,13,550,8,3,3,0,7,46,84,198,734,373,197,100,45,11,39,1855,0,0,3,3,3,20,13,20,152,90,53,31,30,0,21,459,14,3,13,51,18,359,451,370,642,173,48,91,18,4,106,2374,14,29,59,103,85,289,133,101,153,34,18,6,3,3,43,1072,6,3,10,16,10,47,40,33,55,14,3,6,4,0,34,282,3,3,0,0,5,4,3,9,50,28,27,11,15,3,23,192,395,576,221,117,4301,1714,317,310,738,87,39,14,6,26,374,9230,17,26,9,8,145,83,25,12,39,8,3,3,3,3,1210,1594,486,662,333,318,4611,2732,1111,1175,3981,1936,1329,725,441,146,1927,21912,29,17,4,4,25,91,48,121,1356,1501,1292,805,720,311,682,7005,10,7,10,22,16,114,56,97
LGA11600,4,0,0,0,3,10,0,0,22,9,5,0,0,3,3,74,0,0,0,0,0,7,3,0,3,0,0,0,0,0,0,18,3,0,0,0,0,3,3,3,17,9,4,0,0,0,0,39,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,3,4,0,0,0,7,6,0,3,0,0,0,0,0,3,32,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,3,4,0,0,35,9,0,0,5,0,0,0,0,0,3,66,0,0,0,0,0,0,0,3,0,0,0,0,0,0,25,30,9,9,3,3,44,41,14,12,67,19,11,3,0,5,38,278,3,0,0,0,0,11,0,0,24,17,9,7,8,0,23,94,0,0,0,0,0,0,0,0
LGA11650,19,8,3,3,17,83,27,76,1490,1334,1079,513,333,82,85,5165,7,3,6,19,43,122,60,106,335,122,48,27,25,6,24,944,6,6,7,8,16,78,93,261,1332,638,354,131,151,26,68,3172,0,4,3,0,5,27,25,40,232,134,72,34,32,4,44,656,8,3,7,18,21,212,350,405,817,262,80,189,35,11,118,2538,3,13,33,61,132,440,204,178,344,83,23,11,19,9,52,1613,7,3,9,8,14,48,52,28,71,29,6,9,3,3,17,322,0,0,0,3,9,29,3,15,83,42,24,18,10,3,18,255,177,410,145,127,5121,3543,718,731,1947,229,118,66,55,54,469,13905,12,20,0,7,172,87,27,19,67,12,4,6,0,4,1632,2068,242,471,221,254,5550,4665,1558,1859,6732,2892,1815,994,656,210,2521,30631,15,8,5,5,11,49,29,74,972,1290,1114,729,597,185,744,5827,9,0,5,10,8,92,59,149
LGA11700,3,0,0,0,4,0,3,0,13,3,9,3,0,0,3,40,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,3,4,3,5,0,0,0,0,0,10,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,3,3,0,0,0,0,0,19,0,0,0,0,3,5,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,23,8,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,3,0,0,3,32,29,13,3,23,7,8,5,5,0,29,171,0,0,0,0,0,3,0,3,11,4,3,0,0,0,9,39,0,0,0,0,0,0,0,0
LGA11720,9,4,0,3,3,13,5,19,257,170,132,46,40,7,25,746,0,3,0,3,10,25,10,11,42,10,10,0,7,0,3,136,0,0,0,3,4,20,19,47,210,93,63,32,19,0,10,522,0,0,0,0,0,6,6,13,41,20,9,0,0,0,3,105,9,0,0,0,3,51,69,74,152,61,5,39,3,0,24,493,0,3,11,7,27,69,34,21,31,10,0,6,3,0,8,239,3,0,0,3,6,11,7,3,25,0,3,7,0,0,4,70,0,0,0,0,0,0,0,0,3,0,3,0,3,0,4,29,29,56,36,25,944,404,62,62,190,18,6,6,0,0,76,1909,0,3,0,0,26,16,3,5,10,0,0,0,0,0,239,303,46,67,51,40,1023,624,222,246,967,390,230,131,75,20,410,4554,3,0,0,0,7,8,6,12,175,163,150,95,75,19,98,814,0,0,0,0,0,13,13,17
LGA11730,4,0,5,3,12,38,13,24,269,116,97,55,31,14,13,703,3,7,0,6,14,40,11,22,71,21,8,0,0,0,3,201,3,0,4,5,10,48,41,71,281,77,49,12,17,3,15,627,0,3,0,0,3,12,4,15,37,8,12,8,3,0,3,106,5,0,5,17,6,88,91,81,113,35,11,17,6,0,15,487,0,10,15,26,36,124,45,25,62,9,3,3,6,3,9,375,0,0,0,10,6,14,10,9,21,3,0,0,0,0,3,90,0,0,0,0,3,10,4,9,10,4,3,3,0,0,7,47,36,83,57,37,1326,665,121,127,359,36,20,8,4,10,107,2996,4,3,0,0,30,25,8,7,14,0,0,0,0,0,334,425,61,110,92,95,1449,1067,338,400,1235,306,187,100,66,29,508,6054,3,0,5,4,4,31,8,31,212,174,115,58,34,10,102,788,0,0,0,3,5,36,19,34
LGA11750,7,3,0,0,0,4,0,5,20,11,34,13,8,3,0,115,0,0,0,0,5,3,0,0,5,0,0,0,0,0,3,17,0,4,0,0,0,0,3,4,25,19,17,3,4,0,0,75,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,3,6,7,19,4,0,8,0,0,3,59,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,54,14,3,0,16,0,0,0,0,0,7,115,0,0,0,0,3,0,0,0,0,0,0,0,0,0,36,43,14,12,7,3,69,35,15,18,97,39,52,23,12,6,57,457,0,0,0,4,3,4,0,0,22,15,23,21,13,4,24,131,0,0,0,0,0,0,0,0
LGA11800,6,7,0,5,9,43,10,30,383,258,136,59,54,12,14,1027,3,5,0,6,20,70,25,24,103,18,8,5,9,0,3,310,0,0,3,3,11,32,40,84,386,160,61,28,20,8,10,850,0,3,3,3,5,15,4,9,57,24,9,7,3,3,3,153,4,0,0,3,7,65,109,75,150,43,18,12,3,0,17,511,0,4,9,16,48,148,53,50,97,15,8,4,3,0,16,475,0,0,7,3,3,13,13,6,20,8,3,0,3,0,9,81,0,0,0,0,8,9,5,3,17,3,10,0,3,0,3,51,44,99,41,42,1312,761,156,162,427,53,20,14,7,15,119,3276,3,5,0,0,42,25,0,0,19,0,0,0,0,0,440,541,69,131,65,83,1462,1184,417,448,1654,581,271,134,109,37,630,7278,4,8,3,7,12,28,23,22,308,261,180,96,54,26,140,1149,3,3,0,3,6,41,33,51
LGA12000,3,0,0,0,9,10,0,4,33,12,9,3,5,0,3,88,0,0,0,0,3,0,0,0,9,7,0,0,0,0,0,15,0,0,0,0,4,5,0,6,23,3,9,0,0,0,0,58,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,10,8,9,8,0,0,0,0,0,3,41,0,0,0,3,3,7,0,0,3,3,0,0,0,0,0,25,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,7,3,4,81,28,4,0,17,0,0,0,0,0,4,166,0,0,0,0,5,0,0,0,3,0,0,0,0,0,31,34,11,4,4,9,100,77,13,21,98,28,16,5,6,0,50,457,3,3,0,0,6,12,0,3,22,12,10,13,7,3,36,124,0,0,0,0,0,5,0,0
LGA12150,0,3,0,0,4,3,3,8,34,21,9,4,0,0,6,101,3,0,0,0,4,0,0,0,3,0,0,0,0,0,0,19,0,0,0,0,3,3,6,6,24,12,4,3,0,0,4,73,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,15,0,0,0,0,0,9,7,8,6,0,0,0,0,0,0,28,0,0,0,3,9,9,4,0,0,0,0,0,0,0,4,26,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,50,32,0,0,11,3,0,0,0,0,8,115,0,0,0,0,3,7,0,0,3,0,0,0,0,0,48,55,10,10,5,9,68,53,25,23,98,36,15,8,9,4,71,434,3,0,0,0,0,0,0,3,30,18,10,3,4,0,25,97,0,0,0,0,0,6,3,0
LGA12350,4,7,3,0,5,20,3,3,113,46,29,12,10,5,12,276,0,0,0,3,4,14,0,7,18,11,4,3,0,0,3,64,7,0,0,3,4,19,17,27,81,24,11,0,0,3,8,198,0,0,0,0,0,0,3,0,15,5,0,0,0,0,3,23,0,0,3,6,3,24,29,14,29,5,8,3,0,0,13,142,0,0,3,11,7,31,6,6,14,3,5,0,0,0,0,80,0,0,0,0,0,3,3,3,5,0,0,0,0,0,5,24,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,9,11,19,3,10,268,125,28,23,60,7,3,3,3,3,21,591,0,0,0,0,5,3,0,0,3,0,0,0,0,0,72,88,15,39,15,28,297,234,89,87,336,109,57,23,17,9,144,1500,0,0,0,0,0,8,3,5,85,63,27,15,11,3,42,269,0,0,0,0,0,4,3,10
LGA12380,14,4,0,0,4,25,16,34,824,696,588,311,148,36,28,2732,3,10,8,6,7,56,16,37,95,24,9,4,3,0,8,283,3,0,0,6,3,30,37,107,477,211,97,31,36,8,11,1064,4,0,0,3,5,10,9,17,80,36,30,20,11,0,16,233,12,5,7,39,12,208,285,286,412,96,28,41,6,3,66,1511,15,24,44,65,47,165,77,61,72,21,3,4,0,0,27,609,0,0,0,3,4,32,23,7,32,3,3,5,0,0,10,142,0,0,0,0,0,4,3,4,31,16,8,6,3,3,11,85,245,313,143,70,2077,765,151,132,312,32,10,3,5,9,197,4464,10,12,5,8,54,46,9,8,22,0,5,3,0,0,691,873,305,374,211,200,2221,1333,621,690,2359,1139,784,434,215,53,1055,11992,18,11,6,3,3,53,20,71,770,858,781,490,364,151,371,3966,3,7,0,13,18,67,26,52
LGA12700,4,3,0,0,4,6,4,7,58,41,31,9,4,3,5,180,0,0,0,0,0,3,0,0,18,4,3,0,0,0,0,41,0,0,0,0,0,5,4,11,49,22,9,0,7,0,6,115,0,4,0,0,0,0,0,0,9,5,8,0,0,0,4,28,0,0,0,3,0,10,11,17,31,6,5,5,0,0,0,102,0,0,0,3,4,10,9,4,9,3,0,0,0,0,4,59,0,0,0,0,0,8,0,0,9,0,0,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,4,3,148,62,17,12,47,11,6,0,0,0,11,342,0,3,0,0,4,3,0,0,0,0,0,0,0,0,51,62,11,23,4,14,175,115,53,57,237,90,56,18,20,3,78,953,0,0,0,0,0,3,0,6,40,42,25,10,17,9,26,184,0,0,0,0,0,3,0,9
