LGA_CODE_2016,C16_650_799_1PF_1C,C16_650_799_1PF_2C,C16_650_799_1PF_3C,C16_650_799_1PF_4mC,C16_650_799_1PF_T,C16_800_999_1PF_1C,C16_800_999_1PF_2C,C16_800_999_1PF_3C,C16_800_999_1PF_4mC,C16_800_999_1PF_T,C16_1000_1499_1PF_1C,C16_1000_1499_1PF_2C,C16_1000_1499_1PF_3C,C16_1000_1499_1PF_4mC,C16_1000_1499_1PF_T,C16_1500_1999_1PF_1C,C16_1500_1999_1PF_2C,C16_1500_1999_1PF_3C,C16_1500_1999_1PF_4mC,C16_1500_1999_1PF_T,C16_2000_2499_1PF_1C,C16_2000_2499_1PF_2C,C16_2000_2499_1PF_3C,C16_2000_2499_1PF_4mC,C16_2000_2499_1PF_T,C16_2500_2999_1PF_1C,C16_2500_2999_1PF_2C,C16_2500_2999_1PF_3C,C16_2500_2999_1PF_4mC,C16_2500_2999_1PF_T,C16_3000_3999_1PF_1C,C16_3000_3999_1PF_2C,C16_3000_3999_1PF_3C,C16_3000_3999_1PF_4mC,C16_3000_3999_1PF_T,C16_4000m_1PF_1C,C16_4000m_1PF_2C,C16_4000m_1PF_3C,C16_4000m_1PF_4mo_ch,C16_4000m_1PF_T,C16_Par_inc_st_1PF_1C,C16_Par_inc_st_1PF_2C,C16_Par_inc_st_1PF_3C,C16_Par_inc_st_1PF_4mC,C16_Par_inc_st_1PF_T,C16_All_inc_ns_1PF_1Ch,C16_All_inc_ns_1PF_2C,C16_All_inc_ns_1PF_3C,C16_All_inc_ns_1PF_4mC,C16_All_inc_ns_1PF_T,C16_Tot_1PF_1C,C16_Tot_1PF_2C,C16_Tot_1PF_3C,C16_Tot_1PF_4mC,C16_Tot_1PF_T
LGA14550,30,17,9,0,53,35,19,0,4,54,35,21,0,0,60,15,8,3,0,21,3,4,0,0,5,0,0,0,0,6,3,0,0,0,8,0,0,0,0,0,15,14,7,0,40,8,4,0,4,14,249,127,31,25,424
LGA14600,16,10,6,7,36,22,3,3,3,32,30,11,4,3,50,10,5,3,0,20,8,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,6,4,31,8,3,0,0,9,138,68,36,25,273
LGA14650,628,300,121,54,1102,684,283,102,41,1117,1219,534,188,67,2004,589,317,86,21,1014,344,176,47,9,575,117,71,20,3,216,65,55,12,3,136,50,20,10,6,81,434,257,119,41,848,121,45,10,7,182,5463,2811,938,345,9566
LGA14700,30,17,3,0,52,48,20,3,0,74,123,42,9,0,169,88,33,5,0,123,77,35,14,0,122,42,9,10,0,60,45,35,12,0,93,39,19,6,0,66,52,42,8,0,100,11,3,4,0,14,647,292,65,3,1010
LGA14750,30,11,13,3,59,37,11,12,7,65,37,19,6,3,60,30,13,3,0,38,13,8,0,3,19,4,0,0,0,6,4,3,0,0,7,0,0,0,0,0,20,11,3,6,39,8,3,0,0,9,242,113,55,28,443
LGA14850,154,97,38,23,306,180,70,21,14,291,280,106,43,16,443,118,62,19,5,211,61,26,7,6,99,14,10,8,3,29,10,8,6,4,23,5,3,6,0,6,116,69,29,17,220,22,19,3,3,49,1330,695,235,109,2366
LGA14870,87,33,24,6,148,71,29,5,0,112,78,48,18,3,147,43,15,8,0,70,34,13,3,0,52,6,6,0,0,19,4,0,0,0,7,4,3,0,0,3,42,26,12,13,92,18,11,0,0,32,578,281,103,41,1003
LGA14900,452,242,151,67,911,567,257,97,67,998,990,496,196,92,1768,541,337,127,53,1055,300,220,82,31,634,128,123,51,19,317,91,136,43,18,292,40,51,26,19,132,314,261,131,85,789,145,56,21,19,236,4697,2901,1228,613,9438
LGA14920,27,11,8,5,51,25,7,5,0,41,34,10,6,4,58,12,7,6,0,24,6,0,3,0,3,3,3,0,0,9,3,0,0,0,3,0,0,0,0,4,19,5,0,0,31,4,4,0,0,14,202,89,42,24,356
LGA14950,3,0,0,0,4,15,0,0,0,18,16,5,0,0,21,3,0,0,0,8,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,0,16,3,0,0,0,4,68,24,10,3,107
LGA15050,227,163,81,31,506,265,119,44,32,455,454,232,80,37,801,195,126,38,18,383,119,78,25,6,224,42,28,3,3,78,22,23,4,0,48,14,3,0,0,18,127,90,47,23,285,40,29,10,0,75,1983,1189,460,199,3840
LGA15240,314,164,74,35,596,389,140,43,34,605,455,171,60,29,712,162,99,22,14,303,75,32,8,5,120,23,11,0,0,32,16,8,0,0,25,11,4,4,0,18,196,119,64,33,417,93,29,11,6,137,2471,1198,439,241,4340
LGA15270,74,36,17,11,135,69,26,8,10,108,80,41,14,11,143,40,13,3,0,62,26,17,0,4,45,8,3,0,0,7,5,3,0,0,11,4,0,0,0,6,48,27,11,9,94,16,4,0,3,28,554,248,89,50,945
LGA15300,39,29,10,4,84,30,17,10,4,67,53,29,7,4,94,36,15,6,0,54,18,0,0,0,21,4,3,3,0,10,5,3,3,0,12,0,0,0,0,0,30,11,7,9,68,14,11,12,10,42,347,198,91,52,692
LGA15350,21,5,0,0,35,36,6,0,0,40,76,31,5,0,109,63,27,9,0,104,51,24,4,0,77,30,9,0,0,36,48,48,15,3,108,40,15,3,0,64,42,50,22,0,107,11,5,0,0,15,483,247,70,12,807
LGA15520,16,10,0,4,33,30,12,3,0,45,42,20,7,0,70,11,10,3,0,23,8,7,0,0,11,4,0,0,0,5,0,0,0,0,3,0,0,0,0,0,19,9,4,3,30,8,4,0,0,14,196,95,31,12,332
LGA15560,5,3,3,0,17,17,5,0,3,25,12,6,3,0,19,0,0,0,0,3,3,3,4,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,3,4,11,0,0,0,0,3,72,33,23,12,140
LGA15650,46,32,14,8,100,46,22,3,6,75,59,24,11,3,100,31,21,4,3,52,23,12,3,4,40,3,3,0,0,9,7,7,0,0,13,3,3,0,0,5,29,15,17,10,68,19,10,4,3,34,405,238,101,45,793
LGA15700,73,41,29,14,153,79,26,7,14,132,102,41,14,5,159,34,16,4,3,57,9,3,0,0,19,3,0,0,0,4,4,3,0,0,12,0,0,0,0,0,48,34,15,14,102,20,3,4,0,31,567,257,112,69,1000
LGA15750,28,23,12,3,59,38,18,5,3,63,48,29,5,7,93,19,16,0,0,38,15,6,3,0,23,3,0,0,0,7,4,0,0,0,9,0,4,0,0,3,29,17,9,7,59,8,5,3,0,24,289,157,76,36,564
LGA15800,26,9,4,3,38,26,0,6,3,35,24,3,6,0,36,11,7,0,0,11,9,3,0,0,8,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,4,0,3,14,3,5,0,0,8,143,57,35,15,249
LGA15850,10,13,10,8,42,19,3,0,7,31,38,10,0,4,54,16,4,0,0,24,7,3,0,0,10,5,4,0,0,7,4,0,0,0,6,0,0,0,0,0,15,6,4,5,32,4,3,3,3,11,159,78,44,34,321
LGA15900,472,191,78,29,778,509,185,70,34,804,956,369,132,36,1494,524,271,68,19,876,262,141,35,5,448,112,57,12,5,186,67,64,11,0,137,39,27,8,0,75,314,204,74,29,620,69,31,13,4,112,4330,2000,645,224,7198
LGA15950,60,18,0,0,77,57,20,7,0,80,190,64,5,3,266,152,64,12,5,224,181,54,6,3,238,68,21,0,0,87,136,74,15,0,230,90,50,3,0,148,100,67,13,4,176,10,4,0,0,18,1194,498,62,10,1765
LGA15990,278,127,41,8,460,398,180,39,13,629,953,432,108,23,1514,691,322,71,8,1094,535,284,79,15,910,232,104,22,6,365,209,213,59,8,490,146,105,30,13,299,428,342,131,24,919,86,43,10,3,136,4572,2481,690,138,7884
LGA16100,13,3,6,0,20,18,6,0,3,26,20,4,6,4,31,14,9,0,0,19,11,4,0,0,11,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,17,3,5,0,21,7,4,0,0,11,118,53,23,8,206
LGA16150,140,61,32,12,243,115,54,31,8,203,215,86,30,22,355,96,51,9,7,160,69,35,10,5,119,24,9,0,3,39,16,12,5,4,36,0,3,0,0,4,63,65,21,19,166,32,13,9,3,64,1047,543,219,108,1919
LGA16200,54,16,15,8,89,42,17,3,5,68,61,26,8,4,102,31,14,3,0,50,15,8,3,0,29,3,3,0,0,7,3,0,0,0,8,4,0,0,0,3,34,17,16,3,64,18,8,0,0,20,382,175,84,45,687
LGA16260,365,171,59,16,609,403,151,38,20,614,1008,359,84,29,1478,666,264,54,17,998,461,239,47,10,757,214,103,23,4,345,135,120,31,3,290,76,62,19,10,169,311,211,62,28,617,65,22,14,0,99,4806,2224,529,168,7727
LGA16350,466,265,143,50,924,553,248,120,56,972,1224,563,206,84,2079,750,339,96,54,1247,457,247,79,21,808,194,131,36,14,367,126,120,47,15,306,56,49,9,12,126,343,289,140,55,829,129,53,20,9,210,5448,2990,1135,488,10063
LGA16380,240,111,58,23,438,321,107,40,26,501,419,198,39,24,675,200,109,28,8,342,83,35,9,10,139,30,16,7,3,47,22,14,9,0,43,20,0,3,0,24,141,120,42,9,311,54,29,10,4,94,2071,998,313,148,3534
LGA16400,185,109,50,15,356,230,83,30,19,365,391,149,65,24,627,180,118,26,5,327,72,41,11,3,131,39,20,3,4,61,22,21,4,0,51,13,8,5,0,21,114,83,29,19,248,37,10,9,3,56,1736,909,326,126,3095
LGA16490,88,34,22,5,151,105,44,19,5,173,222,96,31,10,354,199,81,27,3,306,138,71,17,5,237,57,26,4,0,89,40,38,4,3,89,18,14,3,3,41,80,70,30,12,191,22,10,3,0,44,1187,590,206,63,2044
LGA16550,208,67,17,9,302,252,89,15,6,369,551,215,40,10,825,450,144,33,10,637,327,137,28,0,488,131,62,12,0,203,132,110,18,0,266,78,59,13,3,151,237,163,40,13,450,59,17,3,0,80,2976,1269,273,63,4579
LGA16610,88,32,38,12,169,95,41,8,14,165,116,66,24,3,202,52,25,3,3,82,21,11,7,3,34,7,4,3,3,12,0,0,0,0,3,0,0,0,0,4,48,35,15,10,105,18,14,4,7,39,613,341,138,83,1178
LGA16650,244,61,30,12,337,286,102,18,7,421,568,192,49,13,829,379,157,38,6,585,232,109,19,7,369,102,58,22,4,184,70,68,22,11,165,42,22,4,0,69,188,123,50,18,374,48,11,7,0,62,2689,1157,321,107,4267
LGA16700,180,63,15,5,259,229,76,17,3,324,518,163,37,13,727,368,140,30,0,540,242,116,19,0,378,109,70,7,0,197,92,81,18,3,192,53,49,12,3,123,164,96,41,5,303,23,28,0,0,50,2452,1066,242,53,3804
LGA16900,224,128,44,22,412,251,133,36,16,441,418,197,65,21,699,202,121,48,10,380,96,86,20,4,209,44,28,15,3,92,35,12,9,3,56,19,12,0,0,31,116,110,37,34,294,45,22,4,0,68,1945,1135,395,136,3614
LGA16950,338,168,80,28,616,371,134,65,28,600,502,224,55,32,817,178,103,26,10,317,112,47,21,4,182,30,19,4,0,52,10,12,0,3,32,22,11,3,0,38,204,160,62,27,449,62,38,13,8,129,2540,1317,470,199,4531
LGA17000,38,31,13,10,91,58,22,8,7,87,80,46,18,5,150,49,28,4,3,85,22,29,0,0,54,15,3,0,0,21,7,3,3,0,18,5,0,3,0,12,35,28,16,3,77,15,7,3,0,16,448,277,96,56,878
LGA17040,41,19,15,3,78,41,10,0,0,58,90,38,12,10,145,34,22,4,0,63,30,7,3,0,44,14,8,0,0,20,11,7,0,0,15,3,3,0,0,6,40,16,9,0,63,8,6,3,0,17,425,193,60,16,691
LGA17080,29,7,10,3,49,33,6,3,6,49,64,19,8,3,98,34,13,6,0,48,16,3,0,0,18,3,3,0,0,11,0,4,0,0,6,3,0,0,0,5,32,20,9,5,72,7,0,0,4,13,333,141,64,32,570
LGA17100,69,16,7,0,97,65,28,3,3,95,168,60,8,8,246,100,45,13,3,165,72,43,4,3,127,43,17,4,0,61,34,32,3,0,68,17,17,11,0,50,63,37,11,9,116,16,8,0,0,22,840,393,94,37,1359
LGA17150,333,152,40,16,540,429,195,52,13,696,982,435,99,30,1542,686,328,92,14,1133,529,240,55,7,829,247,150,32,3,437,172,163,52,11,393,116,96,37,3,247,381,301,109,39,826,73,41,12,3,135,4636,2485,677,173,7968
LGA17200,232,47,16,0,293,275,63,9,3,351,460,126,30,10,628,357,101,22,4,483,271,83,12,0,361,97,18,6,3,119,191,74,8,0,279,97,50,4,0,159,218,96,25,6,343,63,11,0,0,75,2945,904,177,43,4071
LGA17310,201,94,56,28,386,201,80,33,32,343,332,149,43,21,547,166,62,28,18,269,66,37,9,3,114,24,10,7,0,41,16,9,3,3,30,18,9,0,0,26,105,85,34,34,256,49,14,5,3,80,1586,808,337,180,2912
LGA17350,19,8,3,6,32,18,9,3,3,36,22,9,4,0,41,10,0,0,0,17,3,0,0,0,9,4,0,0,0,0,0,0,0,0,3,0,0,0,0,3,7,9,0,3,16,7,0,0,0,7,136,67,24,14,238
LGA17400,19,11,4,0,44,19,7,7,0,34,30,12,0,0,43,8,3,0,0,15,8,0,0,0,9,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,14,7,8,0,24,0,0,0,0,0,151,73,37,18,280
LGA17420,137,92,24,5,255,172,109,27,16,317,420,240,75,15,751,360,203,53,13,622,255,199,49,10,515,122,95,22,5,240,117,117,31,14,277,73,88,18,9,197,180,156,60,18,418,31,23,6,0,61,2237,1535,435,117,4327
LGA17550,314,132,62,30,539,352,115,56,14,533,594,257,78,27,949,246,136,31,19,440,100,67,18,10,194,35,23,4,3,62,12,25,5,0,42,13,3,4,0,19,203,148,47,35,435,66,16,10,3,93,2622,1253,426,168,4462
LGA17620,39,20,8,7,74,33,18,9,3,57,54,22,5,3,93,27,9,4,0,38,15,10,4,0,23,5,3,0,0,7,3,0,0,0,3,3,0,0,0,3,22,16,11,3,49,11,0,0,0,12,295,138,58,18,515
LGA17640,15,6,3,3,28,18,3,3,0,21,27,11,3,0,45,13,8,0,3,30,4,0,3,0,8,3,0,0,0,3,5,0,0,0,4,6,0,0,0,6,17,9,0,0,27,3,3,0,0,8,142,66,21,9,242
LGA17650,22,0,3,0,26,19,7,7,8,37,18,7,5,0,36,8,5,0,0,20,3,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,6,6,33,8,3,0,0,4,139,54,30,20,234
LGA17750,148,84,37,27,296,181,80,35,23,320,324,151,60,22,557,181,89,26,6,305,82,35,11,3,131,37,14,3,4,54,19,15,10,4,47,15,6,0,0,19,95,69,39,25,228,57,21,9,12,96,1515,784,330,158,2783
LGA17850,6,3,3,0,13,7,0,3,0,15,9,9,0,0,19,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,0,14,3,0,0,0,3,61,24,15,3,95
LGA17900,21,10,11,3,38,27,6,11,3,41,34,12,10,7,57,8,0,0,4,10,10,0,0,0,12,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,11,15,5,3,39,10,6,0,8,28,184,89,54,38,365
LGA17950,9,4,3,0,11,6,3,5,0,9,18,4,0,3,25,3,3,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,3,3,11,6,4,0,0,8,59,27,20,11,109
LGA18020,44,12,5,3,65,32,7,7,4,47,29,11,3,7,44,16,3,0,3,20,8,7,0,0,17,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,15,11,9,6,39,15,3,3,3,18,222,85,48,31,386
LGA18050,71,26,3,0,104,110,24,5,0,139,217,80,18,0,316,150,62,18,0,231,113,54,10,0,171,45,18,0,0,67,92,50,15,0,157,57,26,7,0,86,97,72,25,5,194,15,5,5,0,32,1127,501,115,11,1749
LGA18100,10,3,3,0,14,13,0,0,0,17,15,7,4,0,28,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,9,0,0,0,0,3,64,27,14,0,113
LGA18200,17,4,0,0,24,20,3,0,0,27,28,9,4,0,38,7,3,0,3,17,3,3,0,0,8,0,3,0,0,3,0,0,0,0,0,0,0,0,0,4,11,3,10,0,27,6,6,0,3,14,135,75,29,14,259
LGA18230,128,79,50,23,283,167,79,30,23,303,269,136,62,20,495,110,56,16,7,197,68,33,13,9,125,21,12,7,0,40,15,11,3,0,32,3,3,3,0,12,100,79,25,17,219,52,26,6,3,90,1282,735,313,150,2477
LGA18250,79,29,5,0,114,109,35,5,0,152,253,96,23,7,376,211,84,18,0,310,169,98,8,0,278,61,24,6,0,84,109,66,15,0,189,72,40,5,5,125,102,83,30,8,216,28,8,4,0,34,1515,698,155,18,2395
LGA18350,88,46,22,9,165,125,58,16,8,211,223,96,34,17,371,114,56,18,10,196,70,43,12,3,128,17,16,6,7,43,24,20,0,0,40,11,6,0,0,17,80,85,32,12,203,27,7,0,0,35,989,543,186,86,1801
LGA18400,63,47,27,15,159,83,40,20,4,148,184,93,16,5,303,116,58,20,5,196,74,44,11,0,132,31,25,8,0,60,23,11,3,3,39,11,11,6,0,25,68,69,37,14,189,19,8,4,3,37,865,516,197,75,1654
