LGA_CODE_2016,C16_650_799_CF_1C,C16_650_799_CF_2C,C16_650_799_CF_3C,C16_650_799_CF_4mC,C16_650_799_CF_T,C16_800_999_CF_1C,C16_800_999_CF_2C,C16_800_999_CF_3C,C16_800_999_CF_4mC,C16_800_999_CF_T,C16_1000_1499_CF_1C,C16_1000_1499_CF_2C,C16_1000_1499_CF_3C,C16_1000_1499_CF_4mC,C16_1000_1499_CF_T,C16_1500_1999_CF_1C,C16_1500_1999_CF_2C,C16_1500_1999_CF_3C,C16_1500_1999_CF_4mC,C16_1500_1999_CF_T,C16_2000_2499_CF_1C,C16_2000_2499_CF_2C,C16_2000_2499_CF_3C,C16_2000_2499_CF_4mC,C16_2000_2499_CF_T,C16_2500_2999_CF_1C,C16_2500_2999_CF_2C,C16_2500_2999_CF_3C,C16_2500_2999_CF_4mC,C16_2500_2999_CF_T,C16_3000_3999_CF_1C,C16_3000_3999_CF_2C,C16_3000_3999_CF_3C,C16_3000_3999_CF_4mC,C16_3000_3999_CF_T,C16_4000m_CF_1C,C16_4000m_CF_2C,C16_4000m_CF_3C,C16_4000m_Cou_fa_4mo_ch,C16_4000m_CF_T,C16_Par_inc_st_CF_1C,C16_Par_inc_st_CF_2C,C16_Par_inc_st_CF_3C,C16_Par_inc_st_CF_4mC,C16_Par_inc_st_CF_T,C16_All_inc_ns_CF_1Ch,C16_All_inc_ns_CF_2C,C16_All_inc_ns_CF_3C,C16_All_inc_ns_CF_4mC,C16_All_inc_ns_CF_T,C16_Tot_CF_1C,C16_Tot_CF_2C,C16_Tot_CF_3C,C16_Tot_CF_4mC,C16_Tot_CF_T
LGA17040,16,16,3,5,39,22,23,10,7,70,107,109,43,21,277,116,123,67,23,329,114,145,54,7,326,89,79,22,7,203,89,91,48,10,234,45,63,26,9,133,94,126,47,15,285,4,8,4,3,28,724,796,331,111,1970
LGA17080,18,9,10,0,36,27,16,9,9,55,90,72,33,23,220,58,107,47,17,227,70,104,46,19,237,58,65,11,14,148,43,56,19,3,128,17,22,8,3,45,63,98,47,14,222,9,7,3,0,20,474,563,241,99,1378
LGA17100,74,53,9,7,139,88,87,27,13,214,271,252,83,23,634,296,253,62,33,644,297,274,69,25,669,208,168,45,9,438,233,259,86,22,607,294,448,179,60,974,208,261,101,37,598,10,13,10,7,42,2074,2137,708,247,5162
LGA17150,114,69,22,8,208,206,148,76,19,455,902,731,275,61,1976,1171,1235,460,122,2995,1511,1805,642,139,4094,1336,1927,703,134,4098,1832,2819,1039,193,5884,1787,3492,1468,351,7095,1111,1517,704,192,3526,90,101,43,20,256,10263,13964,5489,1245,30961
LGA17200,117,41,8,4,168,132,82,13,3,222,450,196,44,11,701,472,265,45,8,788,613,339,41,13,996,473,280,47,6,811,854,567,74,10,1506,1532,1051,198,22,2803,514,374,86,11,985,37,13,7,0,63,5376,3317,584,88,9365
LGA17310,35,45,13,9,109,105,70,38,15,219,384,359,157,56,949,370,354,180,68,972,340,428,177,62,1000,224,287,121,26,650,201,278,127,38,641,112,155,77,25,376,299,299,161,72,833,30,27,14,6,71,2146,2341,1080,392,5961
LGA17350,7,8,0,0,16,17,7,5,3,30,49,36,27,15,123,39,38,28,10,112,26,37,19,14,95,16,18,6,6,51,25,13,13,8,58,5,11,11,4,27,19,28,17,12,80,0,0,5,3,10,208,208,133,73,618
LGA17400,9,8,5,3,33,14,8,7,3,35,38,42,20,7,105,27,38,14,10,84,20,17,8,3,55,4,11,4,0,20,7,9,3,0,13,3,3,8,0,16,27,34,13,6,83,3,0,0,0,11,172,174,91,43,483
LGA17420,115,90,36,12,252,164,187,54,23,437,645,707,276,75,1703,822,1025,388,116,2349,1091,1562,538,122,3315,988,1374,457,135,2946,1531,2455,872,197,5052,1775,3416,1242,344,6782,878,1310,549,176,2916,61,84,33,6,189,8271,12393,4501,1234,26403
LGA17550,117,65,25,14,222,172,141,52,26,387,603,595,245,75,1519,559,638,246,84,1533,468,587,198,76,1335,290,411,165,39,906,273,394,145,28,842,172,249,103,24,550,364,459,215,88,1130,34,27,13,3,84,3179,3654,1440,472,8751
LGA17620,8,9,3,3,25,14,18,8,3,54,86,70,37,6,195,80,88,41,17,224,74,93,64,10,240,49,74,37,13,174,50,94,35,10,193,44,62,28,10,136,65,69,48,22,196,8,9,5,0,19,497,593,314,88,1492
LGA17640,14,3,3,0,17,9,16,4,7,35,39,36,18,10,110,49,66,26,8,144,31,39,29,12,105,25,31,14,4,79,25,43,15,6,91,20,18,8,0,44,41,37,31,14,125,4,3,0,0,5,275,302,151,64,791
LGA17650,8,5,3,0,22,12,13,5,3,37,50,39,17,14,120,37,43,26,7,119,21,40,14,4,86,18,21,5,0,49,12,27,7,0,46,7,10,7,0,23,24,33,19,9,88,4,3,3,0,12,214,250,129,40,631
LGA17750,49,25,26,5,106,66,80,30,23,198,333,286,152,67,840,381,423,206,79,1092,380,458,204,78,1124,295,351,178,33,860,273,353,188,53,869,155,225,123,39,544,258,294,178,78,799,29,23,9,3,65,2281,2569,1315,480,6648
LGA17850,5,4,0,0,7,5,11,3,0,21,21,18,16,3,59,18,18,15,0,53,16,16,10,0,35,6,11,5,0,21,6,7,5,0,16,9,10,0,0,19,21,20,14,5,57,0,0,0,0,7,117,119,70,11,312
LGA17900,15,4,6,5,29,13,7,9,0,27,28,30,14,8,83,19,27,3,4,49,16,17,13,6,47,9,14,4,0,30,11,4,0,0,17,3,8,3,3,16,17,25,15,18,79,3,4,0,0,10,152,147,77,54,420
LGA17950,3,3,0,0,9,3,3,3,0,12,16,11,6,6,31,12,18,6,3,43,13,10,6,9,37,13,8,11,0,30,5,9,3,0,17,8,0,4,0,12,15,22,4,13,56,0,0,0,0,0,85,89,51,29,250
LGA18020,10,13,8,7,33,23,24,14,3,67,61,48,36,13,155,27,53,19,8,105,29,43,20,11,103,19,20,15,3,51,15,17,8,0,36,6,12,7,0,28,36,60,31,20,146,4,8,3,0,14,250,299,163,62,774
LGA18050,30,15,3,0,51,52,23,11,3,92,178,117,31,3,334,188,152,33,15,388,253,227,56,6,543,231,200,60,15,500,449,484,172,22,1129,871,1250,465,91,2674,299,383,167,42,885,21,28,13,3,67,2628,2904,1013,206,6754
LGA18100,6,0,0,0,11,14,10,6,3,25,27,21,20,4,64,8,25,8,3,43,16,6,10,6,37,9,6,7,0,26,3,10,6,3,25,7,11,5,0,26,14,18,7,3,46,0,0,0,0,4,108,113,66,30,320
LGA18200,13,7,3,0,20,17,14,3,4,47,46,47,24,11,124,37,31,14,3,89,28,32,27,8,90,15,25,13,3,54,12,26,16,3,56,17,16,10,0,40,25,46,28,6,110,6,6,3,0,11,231,267,134,42,676
LGA18230,47,36,15,7,107,79,60,29,18,186,305,240,130,65,739,300,326,135,66,826,296,267,139,42,744,222,232,117,37,609,198,252,111,37,597,111,134,78,22,344,246,273,155,86,761,18,14,9,3,47,1879,1868,937,394,5075
LGA18250,78,48,13,3,143,97,66,6,0,169,329,231,44,9,619,343,292,61,13,706,484,396,82,22,985,322,362,74,8,763,631,716,185,34,1564,1063,1912,690,86,3752,458,535,205,44,1244,31,26,14,0,74,3969,4697,1403,224,10290
LGA18350,33,26,13,4,70,65,47,18,10,136,255,233,103,33,627,272,291,149,37,744,283,345,124,40,799,174,241,93,43,548,198,251,112,40,602,157,227,136,32,550,241,293,149,60,746,26,25,6,4,55,1755,2021,914,301,4984
LGA18400,32,22,9,8,75,55,38,21,14,132,258,228,110,57,659,308,367,186,83,952,363,491,238,77,1169,285,392,182,57,917,350,505,228,47,1137,231,411,206,64,919,250,303,187,82,821,29,34,16,6,87,2199,2821,1427,518,6960
LGA18450,212,153,48,34,450,332,245,100,58,735,1186,1004,373,142,2699,1190,1392,521,192,3301,1323,1637,559,152,3667,1005,1370,515,127,3019,1048,1664,561,139,3414,756,1420,582,147,2907,872,1155,482,168,2675,45,77,30,15,177,8246,10353,3874,1223,23697
LGA18500,7,3,3,0,23,23,14,5,0,48,93,64,12,4,176,122,73,25,11,226,167,136,23,8,331,147,131,43,7,336,341,379,135,34,885,931,1118,473,83,2597,270,336,174,35,818,21,29,14,0,57,2142,2324,916,189,5567
LGA18710,13,4,0,0,24,21,17,4,0,38,71,65,37,15,181,74,96,46,16,236,96,96,61,16,277,80,129,45,6,254,99,157,61,17,334,116,215,87,20,438,78,95,64,27,260,5,6,4,0,17,659,888,427,116,2086
LGA19399,0,0,0,0,3,0,3,0,0,3,3,6,8,0,21,3,4,0,0,11,8,4,4,0,14,0,4,0,0,5,4,0,0,0,5,7,4,0,0,8,3,12,0,0,18,0,0,0,0,0,33,41,20,3,102
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
