CED_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
CED111,0,3,3,3,0,0,0,0,0,12,4177,8282,9154,14510,6937,5884,3695,1890,726,55260,4,4,20,31,0,3,0,0,0,58,0,0,8,29,23,23,12,11,3,106,0,0,3,4,0,0,0,0,0,10,0,14,16,58,31,13,5,4,0,148,0,0,3,35,45,24,52,8,5,171,7,25,649,786,63,58,26,15,3,1646,0,0,7,53,46,43,75,86,24,331,0,4,3,21,13,8,24,7,0,82,23,115,106,407,580,557,520,284,105,2691,0,0,7,35,14,8,15,4,0,74,3,4,12,25,18,9,19,4,0,88,6,0,10,34,26,59,141,58,31,368,0,4,3,7,25,56,78,71,32,282,0,0,36,30,9,21,6,0,0,101,4,40,200,399,60,33,33,16,3,789,6,5,16,56,10,14,10,0,0,115,3,10,21,140,11,14,0,3,0,208,12,38,21,91,23,8,3,0,0,187
CED112,0,0,0,3,0,0,0,0,0,4,4554,9800,8464,14202,7392,6670,5008,2670,1164,59917,0,0,0,15,0,3,0,0,0,19,0,0,3,3,9,0,8,0,0,18,0,0,0,6,3,0,0,0,0,10,0,8,6,29,14,16,4,5,4,93,0,4,3,11,18,11,10,9,0,63,0,9,24,63,33,36,30,3,4,208,0,0,0,0,11,5,22,15,4,60,0,0,0,13,3,23,26,17,4,83,15,104,106,383,559,525,651,441,145,2926,0,3,6,29,15,18,6,5,0,75,0,0,0,8,14,7,9,5,0,43,0,3,3,10,19,25,74,37,20,196,0,0,3,0,5,15,21,24,4,80,0,4,5,7,3,10,8,3,0,35,5,28,17,193,39,16,20,10,0,326,0,5,8,22,11,9,8,6,3,74,0,0,0,12,4,5,5,0,0,27,0,0,4,3,8,0,3,0,0,15
CED113,0,0,0,10,0,0,0,0,0,9,3948,8571,7000,12891,8247,8132,5625,2383,728,57524,4,7,0,77,0,3,0,0,0,97,0,0,0,6,3,7,0,8,0,26,0,0,0,5,0,0,0,0,0,11,0,7,11,36,28,21,19,3,0,126,0,0,0,10,9,8,6,0,0,36,0,4,9,60,28,15,13,7,0,147,0,0,4,7,19,25,45,29,3,132,3,5,0,16,0,3,9,3,0,45,5,58,69,239,468,600,676,329,85,2525,0,3,9,34,20,12,3,0,0,82,0,3,8,18,10,9,11,3,4,70,0,0,9,21,50,78,157,98,32,443,0,0,0,5,4,22,34,16,3,89,0,0,0,19,4,17,3,0,0,42,16,34,38,353,39,17,19,11,3,534,0,10,0,14,7,0,8,6,3,54,0,0,0,16,6,5,0,0,0,27,0,3,0,11,0,4,0,0,0,12
CED114,0,7,13,65,26,10,4,0,0,131,4790,9557,8368,13936,8311,8937,6697,3526,1163,65271,0,6,0,41,6,0,0,0,0,56,0,0,0,3,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,3,0,4,7,16,11,5,4,0,0,52,0,0,0,4,5,0,0,0,0,14,0,7,12,47,26,13,14,4,0,108,0,0,0,0,0,7,16,11,0,34,0,3,0,10,6,3,7,0,0,32,3,20,41,162,207,251,339,201,58,1286,0,14,21,52,33,30,5,8,0,156,0,0,3,13,3,3,8,0,0,28,0,3,7,16,16,49,96,44,16,248,0,0,0,4,7,5,12,19,4,47,0,3,8,18,5,10,0,0,0,41,13,71,53,593,102,78,25,9,0,951,0,0,0,0,0,0,0,0,0,9,0,4,3,17,5,0,0,0,0,28,0,0,0,5,4,0,0,0,0,9
CED115,0,7,30,65,21,0,3,0,3,125,4738,8326,7957,7224,2056,1868,1025,454,183,33815,3,3,8,123,16,10,3,0,0,163,0,3,36,179,120,122,57,53,5,569,13,39,140,710,654,466,295,91,44,2463,0,0,6,14,4,0,0,0,0,32,0,10,18,109,96,116,136,52,3,544,11,24,96,378,263,332,220,151,119,1600,0,0,39,170,135,193,213,185,47,986,0,14,19,69,28,49,43,29,4,264,9,19,13,61,90,125,139,69,26,537,3,23,58,316,148,151,46,23,3,777,0,3,4,17,9,4,3,0,0,43,0,5,24,15,18,17,95,37,16,219,0,11,18,18,24,44,60,59,12,248,0,3,12,90,15,36,12,0,3,182,30,123,110,835,142,85,36,22,3,1388,4,13,26,70,22,26,24,6,4,192,3,36,74,254,87,82,50,26,10,630,42,406,799,2089,1057,660,389,186,39,5672
CED116,0,0,0,4,0,0,0,0,0,3,3558,7925,6896,11744,7053,8760,7582,3788,1296,58597,0,0,0,11,0,0,0,0,0,17,0,0,0,0,3,0,3,7,0,14,0,0,0,0,0,0,0,0,0,7,0,3,3,25,9,27,19,0,3,96,0,0,0,4,5,10,17,10,0,55,0,10,15,52,26,13,22,7,0,141,0,0,3,10,13,9,56,55,0,152,0,0,0,6,0,14,23,7,4,51,5,75,62,229,495,714,1107,650,206,3550,0,0,3,14,8,13,8,0,0,45,0,0,3,6,9,12,8,7,0,50,3,0,0,18,23,74,186,104,13,422,0,0,8,5,9,11,51,39,5,124,3,3,4,6,7,7,3,3,0,34,4,12,11,100,14,7,24,9,3,189,0,5,4,9,3,8,3,9,0,39,0,0,0,3,3,0,3,0,0,17,0,0,3,11,7,3,3,0,0,19
CED117,0,0,3,5,0,3,0,0,0,8,4089,6263,5283,14959,5621,3700,2046,663,234,42848,0,3,19,137,25,14,0,0,0,202,0,0,0,19,10,5,3,3,0,43,0,0,7,10,3,8,4,0,0,30,3,12,19,124,57,23,10,0,0,242,0,3,3,77,27,13,24,7,3,154,14,46,326,631,279,261,121,99,23,1788,0,0,0,10,15,11,13,22,3,89,0,4,3,27,11,21,43,10,16,148,43,171,147,1575,940,503,348,111,28,3870,0,0,3,86,35,31,20,6,0,181,3,10,27,141,29,12,10,4,3,242,3,9,6,101,66,50,51,22,11,322,0,5,11,44,67,94,177,344,140,884,6,19,32,155,51,52,22,5,3,332,26,50,70,645,71,53,29,15,6,963,0,8,33,165,30,29,24,10,0,295,0,3,5,104,20,15,4,4,3,157,0,4,7,22,12,8,0,0,0,46
CED118,0,9,74,259,83,65,30,3,3,535,6412,10535,7272,11989,4541,3240,1859,744,245,46829,7,29,27,274,84,72,18,0,0,512,0,0,3,38,19,23,18,5,0,109,0,0,0,9,10,4,0,0,0,25,0,11,26,39,22,10,9,0,0,106,3,3,5,50,35,21,30,15,3,166,11,44,102,587,257,240,125,53,11,1441,0,0,8,31,55,42,60,46,3,248,4,24,20,112,48,72,80,28,6,402,12,88,72,359,325,290,275,115,41,1583,0,28,86,471,244,192,79,35,5,1146,0,0,3,14,13,10,5,0,0,46,0,4,20,36,27,19,75,34,3,220,0,5,3,15,15,36,45,37,10,172,0,5,38,97,52,104,29,5,4,336,103,637,1076,5779,1131,604,262,112,18,9737,0,24,34,175,74,43,30,16,0,397,4,23,52,276,93,81,34,17,3,588,0,0,11,49,30,23,7,0,0,122
CED119,0,0,0,0,0,0,0,0,0,0,4825,9438,8343,13836,6690,5510,3696,1565,676,54577,0,0,8,74,25,26,5,0,0,152,0,0,0,20,18,21,0,6,0,67,0,0,0,12,11,3,0,0,0,30,0,8,6,37,25,12,13,5,0,108,0,3,9,39,35,18,24,6,0,140,16,25,43,286,138,143,81,32,10,772,0,0,4,14,26,24,32,31,3,128,3,26,24,95,86,102,63,27,8,434,22,114,116,491,534,415,472,228,80,2460,0,11,16,125,78,63,27,11,0,331,0,3,8,22,24,5,3,0,0,60,0,3,7,35,47,31,73,55,15,273,0,3,4,22,45,79,85,66,11,314,5,5,13,63,28,71,29,6,0,224,16,34,63,350,197,130,56,23,3,870,0,4,15,114,28,35,18,7,4,226,0,0,7,32,3,4,0,0,0,48,0,3,3,29,15,8,3,3,0,58
CED120,0,0,3,14,3,0,3,0,0,22,4956,10298,8658,15369,7782,6686,4651,2046,657,61099,0,0,3,18,3,0,0,0,0,32,0,0,0,6,4,4,0,0,0,18,0,0,0,10,7,3,0,0,0,23,4,3,9,20,11,16,11,0,0,80,0,0,0,28,32,26,7,9,0,97,0,4,13,76,27,19,19,4,0,158,0,3,0,14,14,35,26,17,7,125,0,3,8,21,15,18,17,14,0,81,4,42,56,317,538,560,664,318,78,2587,0,5,7,64,29,17,5,0,0,117,0,3,3,8,11,3,18,0,0,50,0,4,6,25,27,37,106,45,8,262,0,0,3,5,13,20,31,23,3,102,0,0,3,14,9,7,4,0,0,41,3,14,24,123,22,23,26,18,0,253,0,0,6,12,7,5,12,10,0,49,0,0,0,16,9,5,4,3,0,40,0,3,3,25,6,6,4,4,0,49
CED121,0,0,0,6,0,0,0,0,0,7,4992,9586,9035,16188,8306,8004,5926,2889,1022,65944,0,0,3,27,3,0,0,0,0,35,0,0,0,3,8,0,3,0,0,17,0,0,0,8,3,4,0,0,0,16,3,9,3,26,19,17,14,6,0,84,0,0,0,12,5,6,5,3,0,31,0,6,17,45,20,17,11,4,0,126,0,3,0,3,8,5,10,10,0,39,0,0,0,7,0,3,8,0,0,18,4,39,46,174,337,363,481,267,91,1816,0,3,6,36,11,14,9,0,0,75,0,3,3,0,3,8,10,3,0,35,0,0,0,13,22,35,126,42,10,241,0,0,0,0,0,6,9,3,0,21,0,0,5,14,6,7,3,0,0,35,7,14,13,141,26,11,19,7,4,240,0,3,3,10,5,7,4,0,0,33,0,3,0,10,0,0,0,0,0,19,0,0,0,6,0,0,0,0,0,12
CED122,0,0,3,16,3,6,0,0,0,26,4368,7151,7017,12701,5191,3719,2237,1189,462,44034,9,38,83,477,119,106,16,4,0,854,0,0,0,23,7,17,11,6,0,68,0,4,16,21,12,13,3,0,0,60,6,7,22,132,31,22,6,3,0,230,0,5,10,126,69,50,80,23,4,370,22,64,3042,1873,305,279,180,126,51,5942,0,0,0,10,22,18,38,56,9,161,0,3,6,34,33,62,137,105,35,426,30,152,187,1486,688,388,307,138,54,3436,0,6,15,93,66,39,26,8,0,243,16,63,51,290,81,34,12,3,0,560,3,18,26,163,52,34,56,40,10,399,3,14,9,74,60,112,209,375,120,982,10,27,366,303,104,134,68,23,3,1034,21,39,210,619,99,71,69,36,13,1178,21,51,416,955,216,176,106,38,9,1975,3,5,17,214,31,28,13,3,0,310,3,12,24,121,80,45,27,8,4,328
CED123,0,7,20,52,19,6,6,0,0,117,6071,10300,9613,17459,6594,5269,3170,1069,362,59907,0,13,10,103,15,10,4,0,0,162,0,0,3,22,16,13,11,3,3,71,0,3,0,16,9,3,3,0,0,33,0,3,3,25,15,9,6,0,0,68,0,0,0,28,16,15,19,11,0,92,6,15,37,212,55,59,43,23,0,454,0,0,3,32,45,42,55,44,3,219,3,6,16,57,36,63,55,25,6,257,8,77,84,396,586,633,612,272,74,2737,0,9,37,160,104,66,33,13,3,435,0,4,4,14,6,4,7,0,3,45,0,5,3,39,30,52,148,52,5,341,0,0,6,9,15,45,59,45,7,189,0,4,12,23,10,20,3,3,0,81,22,105,133,969,196,143,85,42,9,1698,0,3,5,47,14,11,11,3,0,94,0,10,15,78,33,15,23,12,0,179,0,3,17,68,29,22,16,4,0,161
