CED_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
CED130,23,8,34,135,97,230,10,3,11,0,3,3,63,44,108,22187,20231,42414,1715,1816,3531,1044,60,1104,408,50,458,230,51,284,324,171,492,1620,1350,2963,27745,23890,51638,8,0,7,0,0,0,0,0,0,7,9,18,3,0,3,3,0,3,23,8,26,0,0,0,0,0,0,10,3,14,12,14,19,4,0,11,23,22,44,277,128,408,318,159,476,5,3,11,0,3,7,21,5,29,27,15,44,2618,2656,5273,2335,3736,6076,474,453,922,33526,30901,64424
CED131,243,171,409,751,916,1669,34,33,68,3,9,8,55,56,109,25723,23261,48986,1456,1925,3379,355,10,373,512,98,604,1021,345,1365,211,93,304,1346,1486,2831,31710,28404,60117,50,35,83,0,0,0,3,0,4,63,45,107,14,16,26,36,9,41,165,100,263,12,9,24,0,0,0,44,67,109,38,61,102,15,23,39,114,163,272,350,205,553,624,463,1090,42,19,62,14,23,42,20,9,25,79,54,129,1066,1509,2578,3003,5092,8091,281,261,547,36763,35791,72551
CED132,6673,6389,13069,6059,6320,12382,340,231,567,10,13,22,184,140,324,17431,14196,31630,760,1697,2451,150,11,162,707,80,788,775,118,895,287,199,486,3290,3549,6839,36673,32937,69614,1141,1310,2451,61,42,102,9,13,18,247,164,414,56,137,191,101,57,162,1626,1715,3341,44,24,68,0,0,3,128,115,245,47,93,144,88,67,153,306,304,613,277,168,448,2214,2185,4397,228,185,416,34,25,59,14,7,27,276,220,494,2387,2836,5219,2076,4123,6201,258,246,503,43882,42545,86432
CED133,22,10,34,153,128,275,7,4,9,5,3,5,20,32,55,21603,20140,41742,1455,1764,3221,850,22,875,318,27,351,287,116,398,290,129,420,1213,1041,2254,26220,23423,49642,0,3,3,0,0,0,3,0,3,6,8,10,3,0,3,0,3,3,14,10,22,0,0,0,0,0,0,4,9,14,19,19,41,6,4,6,24,29,53,244,124,371,282,164,449,5,0,10,4,0,5,13,3,18,31,4,38,1948,2074,4024,2365,3955,6318,417,348,767,31264,29966,61233
CED134,16,4,21,268,135,410,9,7,12,3,0,6,41,54,94,22412,19886,42301,1727,1828,3553,985,36,1020,357,60,413,209,73,277,383,175,564,1902,1761,3667,28307,24016,52320,3,3,8,0,0,0,0,0,0,8,0,7,0,0,0,0,0,3,12,9,16,0,0,0,0,0,0,38,7,49,3,6,13,6,4,5,54,18,69,250,108,358,306,130,439,3,4,12,3,0,3,37,8,51,49,13,62,2605,2428,5033,2269,3461,5731,483,417,903,34026,30472,64497
CED135,8223,6003,14234,1616,2096,3711,13,7,22,12,7,17,129,39,169,25751,15563,41312,1287,2170,3457,585,6,588,315,39,353,232,64,297,288,119,408,1655,1765,3415,40098,27885,67978,1965,1885,3856,8,4,12,53,36,90,597,358,953,116,265,379,82,50,129,2826,2594,5425,0,0,0,0,0,0,140,111,253,56,101,158,21,15,29,220,227,446,234,122,356,3281,2948,6230,336,349,688,8,9,15,5,0,5,356,358,718,943,1391,2331,2280,3248,5527,521,305,828,47474,36132,83605
CED136,134,111,249,207,207,412,9,17,24,4,3,4,23,24,49,25208,21422,46625,1622,1541,3166,640,8,647,306,24,330,177,29,207,177,98,279,628,606,1230,29139,24091,53226,42,61,110,0,0,0,3,0,3,40,17,65,10,8,14,15,0,17,108,93,202,3,3,5,0,0,0,12,17,32,10,27,38,4,0,8,34,45,79,339,183,520,486,319,804,41,54,89,8,17,22,14,4,22,57,72,128,820,1479,2302,2979,4436,7415,326,285,606,33806,30673,64477
CED137,9154,8382,17539,1947,2584,4535,539,497,1036,38,36,75,106,60,167,23860,16788,40650,971,2024,2996,453,8,464,478,45,520,492,136,626,323,199,527,1446,1689,3134,39813,32464,72276,1716,1824,3536,69,41,107,53,40,90,539,365,909,128,255,384,91,41,133,2596,2568,5164,62,57,120,12,12,32,96,126,222,25,78,104,32,26,59,233,305,538,315,223,541,3144,3101,6245,338,330,670,27,33,57,12,5,24,382,365,749,1503,1948,3449,2304,3959,6265,451,355,809,47598,42191,89789
CED138,32,20,51,261,194,458,15,3,15,10,3,8,35,30,69,21207,19848,41055,1194,1453,2642,667,27,698,335,46,378,546,270,816,306,166,467,945,1038,1984,25552,23089,48641,5,4,14,0,0,0,0,0,0,39,22,70,0,0,0,7,4,6,54,34,93,0,0,0,3,3,6,11,16,20,15,25,41,9,7,14,34,53,90,246,133,380,335,219,558,21,8,28,15,11,22,21,4,29,57,27,79,2173,2927,5096,2483,4085,6569,457,417,874,31061,30758,61819
CED139,21,11,28,194,84,279,13,5,14,3,0,8,72,69,140,23840,21128,44967,1949,1784,3728,874,30,906,295,40,334,242,55,299,469,158,625,1825,1576,3397,29796,24936,54731,0,3,3,0,0,0,0,0,0,8,3,14,0,0,3,0,0,0,12,7,15,0,0,0,0,0,0,21,11,33,3,3,7,3,0,3,29,20,44,233,92,332,278,120,395,3,3,4,5,3,10,27,3,29,32,13,46,2530,2384,4915,2243,3981,6225,476,388,857,35349,31814,67164
CED140,2141,1524,3667,281,376,653,23,7,30,3,3,8,28,31,59,20087,18146,38234,1260,1419,2681,563,15,575,253,13,269,156,50,203,199,103,300,620,623,1242,25614,22299,47915,492,370,861,10,6,17,4,10,12,976,614,1587,96,168,266,111,28,132,1697,1190,2883,4,6,8,0,0,0,6,9,16,20,33,50,0,0,5,33,49,82,292,116,407,2014,1355,3376,323,197,516,8,9,17,12,0,20,347,208,554,1611,2176,3787,2502,4132,6635,311,308,618,32399,30477,62881
CED141,141,95,237,346,350,692,0,0,0,0,3,6,29,17,50,23940,21392,45335,1399,1413,2816,600,9,616,317,30,349,229,33,258,163,83,243,445,452,898,27615,23876,51495,36,24,58,0,0,0,0,0,0,96,58,148,11,15,27,11,5,16,154,95,252,0,0,0,0,0,0,16,26,39,31,28,55,6,4,7,49,59,110,257,74,332,463,228,686,31,21,49,3,8,9,8,4,12,41,29,66,890,1478,2372,2619,4353,6968,255,238,493,31883,30200,62084
CED142,10348,8865,19213,6256,7338,13601,43,30,76,332,363,701,504,436,936,13590,8839,22433,913,1541,2456,147,3,146,1119,221,1339,2518,990,3500,767,382,1147,14266,12491,26761,50800,41502,92302,2001,1950,3957,35,25,54,111,127,240,145,83,228,66,74,145,251,172,419,2607,2435,5042,5,16,24,55,81,141,44,65,109,31,76,112,137,138,275,279,369,648,296,168,468,3183,2975,6154,360,299,663,40,47,89,30,14,44,432,360,792,2348,2169,4510,3226,4386,7616,547,462,1010,60541,51857,112396
