CED_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED116,103,184,403,443,487,352,108,13,0,2093,138,178,331,364,490,432,146,51,19,2156,3542,4468,9217,10953,13277,11682,2683,323,54,56202
CED117,58,224,751,608,485,317,78,3,0,2522,84,301,918,800,632,345,103,22,4,3211,1732,6973,24083,21422,16149,9407,2449,214,26,82447
CED118,136,243,783,722,639,351,77,3,0,2960,150,393,1123,1160,849,454,107,13,4,4262,3879,7080,20258,22881,16244,9701,1865,111,18,82035
CED119,161,356,592,668,653,446,117,15,0,3016,136,288,554,691,629,438,129,25,9,2900,4250,7039,14495,17686,17086,11677,2607,205,23,75075
CED120,193,331,692,620,620,397,100,6,7,2972,213,318,624,663,749,511,184,46,13,3322,4728,6566,14103,15774,16451,11539,3028,430,81,72696
CED121,185,401,713,644,625,384,83,15,0,3049,160,280,460,530,616,392,117,39,6,2586,4137,6076,13437,14016,14600,10425,2244,258,47,65233
CED122,86,242,781,666,510,360,128,14,3,2801,99,351,1093,791,689,387,140,31,4,3587,2711,8459,24726,20382,16207,9822,2691,312,49,85361
CED123,185,387,817,664,561,384,102,13,0,3103,247,514,1028,947,849,533,134,24,3,4290,4803,8417,19379,18009,15460,10869,2281,172,16,79401
CED124,111,236,370,447,504,397,124,9,0,2203,126,175,240,361,495,403,163,66,21,2041,3174,3603,7428,9905,13335,11341,2965,451,77,52277
CED125,151,366,665,546,489,394,110,6,0,2732,229,465,1014,888,800,583,150,21,6,4153,4098,7876,17936,16259,14563,10806,2061,137,24,73759
CED126,166,323,582,643,686,465,155,13,3,3030,161,266,612,888,995,551,216,49,17,3756,3915,5887,12342,17330,18449,12270,3963,512,48,74712
CED127,159,318,492,587,600,431,120,14,0,2722,186,289,528,582,705,459,174,46,5,2973,4079,6044,11625,14177,16324,12385,3170,331,32,68160
CED128,108,327,669,625,574,375,87,0,0,2769,207,546,1096,962,897,600,119,24,10,4456,3370,7466,16328,14809,13495,9487,1804,130,20,66912
CED129,122,271,520,661,650,441,143,12,0,2821,143,294,595,879,806,481,182,24,3,3404,4071,6807,13730,19964,17964,11459,3217,280,16,77513
CED130,153,261,487,463,460,386,121,28,0,2367,177,204,438,457,484,417,210,87,21,2490,3880,5269,11762,12371,14305,12105,3809,786,131,64424
CED131,139,366,682,538,462,343,89,26,4,2648,110,273,540,484,458,293,82,36,8,2289,3770,8673,17901,15412,14550,10070,1900,248,29,72551
CED132,86,168,584,492,478,329,113,23,0,2265,82,243,926,825,698,434,210,44,15,3474,2093,6138,24017,21792,16611,10986,4145,567,84,86432
CED133,120,256,436,422,581,407,125,6,0,2366,148,178,365,442,520,452,173,76,20,2385,3799,4412,9286,12052,14774,13136,3179,512,94,61233
CED134,162,315,561,486,491,421,139,24,6,2610,178,244,451,422,498,458,227,78,26,2584,3279,5276,12867,12310,14081,12000,3731,809,146,64497
CED135,51,253,762,592,558,334,69,8,3,2624,139,497,1589,1085,791,503,124,30,11,4765,2416,7580,28030,20698,13928,8823,1916,183,32,83605
CED136,156,370,711,627,601,376,91,12,3,2940,168,263,496,532,548,415,125,40,16,2589,4072,6127,13643,14034,14382,9987,1975,220,39,64477
CED137,74,253,753,567,596,384,126,13,0,2763,104,521,1660,938,831,564,152,37,17,4831,2471,8379,28698,19948,16219,10819,2845,361,60,89789
CED138,79,191,416,501,557,369,112,6,4,2227,169,208,525,629,634,542,180,58,27,2972,3478,4241,10006,13172,14904,12580,2996,372,67,61819
CED139,156,354,546,492,506,371,141,15,0,2578,170,280,468,428,522,416,168,73,28,2545,4266,6396,12713,13005,14484,11880,3557,744,116,67164
CED140,110,256,519,521,566,456,127,15,0,2565,119,256,420,543,580,426,155,39,11,2540,3626,5334,11334,13411,14896,11256,2689,295,40,62881
CED141,168,295,526,539,572,351,77,9,0,2532,111,245,445,410,505,369,110,26,3,2225,4010,5710,12013,13207,14728,10336,1871,179,20,62084
CED142,65,293,1256,730,421,272,65,10,0,3102,88,638,2281,1058,619,318,121,28,7,5162,1905,12450,48684,24532,13995,8134,2358,298,42,112396
CED143,115,220,590,549,481,285,103,19,0,2366,104,250,768,872,779,422,181,48,10,3435,2678,5319,17827,19755,17182,10461,3617,555,78,77468
CED144,92,277,732,676,665,393,76,13,0,2930,162,522,1289,1035,975,575,117,14,9,4696,2708,7528,19212,16062,14293,8838,1731,178,18,70559
CED145,54,180,710,483,384,241,108,21,4,2181,78,221,1196,860,657,406,231,61,10,3725,1393,5413,24809,19102,13927,9113,4166,743,132,78789
CED146,111,289,658,683,578,312,58,0,0,2693,244,549,1077,1070,1070,607,125,14,5,4759,3548,7816,15839,16302,15603,9288,1572,101,15,70082
CED147,174,341,680,599,555,381,101,8,0,2840,160,302,477,538,617,434,134,41,16,2715,4126,6051,12488,13928,14806,10364,2281,303,48,64394
CED194,0,21,33,25,9,11,3,0,0,109,7,32,62,52,49,24,3,5,5,248,112,528,1094,630,507,376,89,7,4,3331
CED197,0,0,0,0,5,0,0,0,0,5,0,0,0,4,6,6,0,0,0,13,6,3,23,27,30,25,10,0,0,130
