CED_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED111,23,710,2366,1971,1961,1651,727,252,92,9761,13,331,1930,1554,1546,1102,387,77,37,6970,10,142,1570,1582,1558,1059,238,62,21,6248,0,60,884,1374,1322,917,163,42,10,4781,9,39,1103,2240,2035,1185,242,57,17,6934,6,24,286,1020,1128,689,189,61,20,3426,728,820,1365,1138,1219,1271,1264,1112,655,9570,9886,12683,20262,19810,20198,18403,13888,8895,4206,128230
CED112,28,587,2215,2157,2254,1845,695,194,94,10079,11,213,1496,1605,1498,1117,300,70,35,6344,3,101,1090,1375,1334,903,239,57,19,5118,4,29,540,1000,1036,654,104,29,16,3401,4,15,556,1341,1339,771,143,50,3,4216,11,29,142,452,619,406,138,59,27,1894,852,630,1127,1161,1408,1460,1588,1491,1304,11015,9744,8927,17179,18712,20162,19082,15900,9592,4809,124112
CED113,51,656,2042,1860,2319,2046,956,259,82,10281,11,303,1590,1545,1741,1488,492,113,45,7333,8,131,1220,1553,1736,1209,358,82,19,6307,0,44,683,1128,1238,854,225,53,18,4239,3,34,812,1999,2330,1258,279,72,30,6812,9,26,192,725,1187,742,211,66,23,3186,1115,666,1517,1568,1932,2006,1762,1270,906,12747,8591,7100,15739,17886,21977,21968,16469,7961,3218,120903
CED114,56,694,2338,2133,2317,2159,817,269,107,10895,9,269,1458,1470,1626,1303,381,118,30,6666,9,71,972,1192,1332,1010,258,50,28,4921,3,32,481,860,945,673,158,37,14,3204,10,24,461,982,1110,775,194,59,30,3643,13,21,149,416,520,514,202,91,30,1963,1331,1000,1847,1753,2041,2419,2396,1982,1160,15932,10144,9016,18339,18478,21197,22380,18021,10596,4422,132590
CED115,32,842,2803,2056,1949,1450,368,72,18,9581,13,317,1763,1285,1208,803,185,22,5,5596,3,129,1123,958,864,559,120,12,3,3784,0,41,586,670,518,371,68,12,4,2263,0,25,579,740,613,419,84,9,0,2473,8,20,137,292,281,182,55,24,0,996,988,989,2085,1834,1753,1569,1105,848,492,11664,11193,12628,23763,21087,22004,20231,12353,6702,2947,132904
CED116,20,410,1480,1522,1806,2005,1075,346,124,8792,13,228,1046,1011,1186,1170,513,146,51,5356,3,70,689,927,1092,990,326,95,33,4230,0,22,414,704,864,737,175,58,30,3003,3,24,375,937,1063,897,252,74,25,3651,20,16,150,403,489,485,201,91,50,1893,985,712,1330,1376,1662,1922,2299,1812,1265,13371,8053,6727,13293,15207,18836,23941,22881,12371,4897,126202
CED117,23,871,3931,2184,1712,1277,619,127,44,10784,8,422,3312,2044,1516,1057,386,77,17,8842,3,157,2845,2261,1638,1033,321,60,6,8333,3,52,1862,1966,1433,832,244,41,10,6446,0,45,2894,4379,2987,1511,394,47,8,12267,6,21,1114,4143,3275,1356,362,54,15,10351,483,913,2972,2284,1730,1318,980,734,558,11973,5324,10131,30183,26646,20915,15134,10097,5375,2391,126207
CED118,37,862,3789,3342,2595,1719,514,73,21,12956,12,347,2780,2729,1968,1163,219,28,8,9246,3,111,2113,2623,1737,952,196,20,10,7763,3,37,1225,2115,1317,739,117,9,0,5570,0,29,1568,3380,2007,933,133,8,3,8058,8,19,352,1135,732,325,55,18,7,2656,709,722,1895,1768,1272,1019,785,482,345,8992,10825,10298,26955,28992,21184,16390,10398,4744,1711,131500
CED119,40,975,2533,2250,2282,1935,824,187,46,11052,17,441,2180,1960,1730,1283,472,62,21,8166,3,163,1888,2090,1841,1302,293,59,17,7658,3,59,1108,1694,1625,982,210,25,7,5708,3,28,1423,2856,2571,1558,292,37,8,8776,9,15,311,1457,1573,851,171,16,29,4428,497,425,859,892,893,785,688,618,695,6354,9318,8788,17359,20829,20171,17172,12202,5699,2827,114365
CED120,57,825,2580,2351,2382,1864,761,167,70,11048,14,355,1918,1729,1768,1280,360,53,14,7492,3,144,1493,1807,1574,1099,284,57,17,6479,3,56,893,1437,1319,845,168,27,14,4757,3,53,873,1851,1898,1156,225,55,10,6136,6,24,187,641,817,517,192,75,17,2473,983,655,1340,1429,1522,1392,1359,1141,926,10750,9927,8640,18040,19762,20761,18488,14126,6738,2705,119176
CED121,64,661,2165,1947,2050,1699,712,218,78,9588,16,283,1464,1355,1332,1119,324,68,24,5991,0,136,1142,1276,1281,926,210,41,19,5028,0,84,768,985,1024,671,131,30,10,3708,3,84,1208,1714,1719,1128,206,42,15,6108,6,23,331,625,755,551,181,42,24,2537,902,767,1752,1569,1601,1601,1671,1264,1105,12228,9821,9194,19012,19146,20372,20001,16168,8549,3882,126136
CED122,62,1220,4193,2431,1998,1540,705,210,97,12454,30,556,3499,2062,1637,1087,478,126,53,9531,20,239,2979,2224,1646,989,321,94,43,8554,15,91,2057,1943,1307,746,203,70,23,6453,8,102,2819,3630,2393,1190,308,103,41,10593,16,50,933,2916,2330,954,277,96,41,7613,895,1719,3466,2539,1961,1578,1387,1030,715,15294,10316,18261,33643,26232,21337,16421,12274,7566,3521,149570
CED123,81,1234,3820,3075,2559,2042,564,98,30,13505,15,440,2731,2328,1815,1260,324,51,14,8976,4,211,1845,2000,1678,1068,238,27,15,7093,6,73,1124,1446,1220,770,131,6,3,4778,3,54,1112,1853,1480,893,168,19,8,5585,13,36,227,586,562,353,100,23,11,1907,942,1041,2337,1947,1618,1378,1189,745,385,11586,10850,11809,26094,23635,20599,18094,12518,5505,2105,131195
CED124,20,287,1090,1304,1796,1749,953,349,117,7666,12,121,706,939,1145,963,459,116,43,4496,4,43,473,717,996,828,279,67,21,3431,0,22,288,582,758,657,140,33,16,2501,0,18,328,793,920,730,211,59,22,3085,7,24,120,352,447,400,206,83,39,1683,1082,501,860,1105,1531,1865,2241,1755,1199,12145,8215,5700,11111,14176,19225,22976,23034,12290,4814,121542
CED125,50,998,3532,2668,2430,1937,563,87,24,12301,18,395,2447,2044,1646,1289,273,27,4,8138,7,150,1643,1705,1401,1010,192,10,10,6136,0,66,912,1134,988,678,113,7,0,3901,4,30,920,1508,1214,798,113,12,4,4599,17,25,172,431,404,314,76,23,6,1463,962,884,1757,1466,1283,1243,1050,521,247,9427,11084,11615,24833,22262,19928,18450,11839,4663,1445,126110
CED126,23,659,2224,1923,2153,1867,1123,435,180,10594,5,247,1689,1789,1782,1348,694,213,101,7866,0,112,1306,1781,1756,1279,530,156,66,7002,0,30,759,1356,1388,869,313,115,48,4884,0,30,1019,2819,2624,1597,577,190,83,8941,13,20,412,2611,3044,1642,583,206,83,8606,569,462,947,1208,1229,1164,1216,1124,1242,9159,8871,7513,14813,20754,21976,17794,14760,8722,4599,119796
CED127,49,722,2071,1969,2265,1912,907,200,67,10160,12,315,1497,1661,1749,1383,518,97,18,7258,3,121,1197,1562,1753,1352,326,56,9,6389,4,53,675,1264,1501,1025,224,30,9,4780,0,31,703,1730,2012,1515,310,54,15,6379,3,28,138,641,876,638,164,60,26,2572,781,548,989,1105,1389,1296,1263,889,618,8890,9351,8018,15014,17789,20530,19585,14838,6747,2641,114511
CED128,48,901,3142,2405,2242,1705,444,91,28,11003,4,384,2121,1811,1501,1030,225,35,9,7117,3,142,1456,1491,1183,825,151,21,4,5281,4,47,791,941,758,522,94,14,0,3171,3,39,789,1268,1019,566,94,12,0,3795,4,16,190,408,321,194,40,27,10,1215,842,879,1829,1510,1448,1231,957,644,381,9727,10787,12107,24954,22459,21122,18494,12374,6462,2522,131291
CED129,33,880,2289,2273,2065,1682,881,200,67,10362,9,401,1930,1977,1798,1254,560,86,17,8036,8,138,1697,2151,1896,1298,438,62,13,7705,7,48,1088,1891,1621,1051,249,29,10,5995,0,37,1570,4039,3190,1744,365,50,13,11010,3,16,455,2292,2164,1083,235,43,17,6299,458,362,758,872,869,727,663,507,405,5621,10379,8954,16898,24184,21531,17049,12973,5830,2203,120008
CED130,34,503,1993,1823,2000,1846,805,278,102,9384,3,206,1161,1097,1225,1039,377,101,24,5248,8,93,782,992,1135,857,239,59,23,4195,0,40,451,743,844,638,167,35,40,2963,0,22,538,1063,1198,825,216,75,13,3961,22,20,152,360,507,420,174,92,26,1783,1365,930,1666,1666,1883,2175,2065,1538,827,14112,10006,8919,16951,17156,19694,20899,17303,9745,3784,124455
CED131,20,869,3107,2131,1995,1703,612,205,66,10712,6,362,2370,1692,1486,1213,341,80,34,7584,3,139,1893,1608,1494,1022,269,56,35,6515,0,64,1114,1311,1163,774,138,28,16,4613,0,63,1438,2160,1883,1134,209,59,28,6981,6,32,366,1071,1109,806,227,81,40,3747,557,733,1394,1079,1260,1224,1129,1056,1189,9624,8805,13563,23451,19916,19552,18016,12538,7197,3958,127000
CED132,18,893,3542,1791,1439,1315,1053,385,171,10607,10,496,3348,1731,1211,1095,735,264,109,8993,9,190,3174,2106,1452,1145,617,223,111,9024,4,88,2395,1954,1213,911,482,164,82,7286,7,75,4196,4951,2913,1852,834,273,90,15194,6,41,1809,5853,5453,2965,1165,349,148,17797,487,649,2373,1794,1347,1175,999,723,797,10345,7635,8855,29260,27089,21153,16834,12884,6673,3750,134124
CED133,23,359,1375,1688,2078,1999,833,295,118,8774,3,112,797,1104,1251,1086,358,88,25,4828,4,44,542,930,1061,899,208,58,24,3765,3,24,272,627,798,674,116,25,11,2550,0,19,279,745,810,651,179,47,21,2748,4,13,125,290,372,322,149,60,33,1365,1303,748,1386,1619,1942,2289,1985,1466,864,13593,9777,7277,14375,17437,21741,25385,19895,10599,4499,130979
CED134,47,681,2063,1709,2047,1736,702,232,76,9307,17,283,1478,1210,1263,1076,308,89,40,5771,9,154,1132,1078,1160,876,230,52,24,4720,8,87,703,898,876,719,181,31,14,3513,5,71,894,1106,1191,828,181,49,24,4355,19,33,254,503,579,481,177,97,30,2183,1406,1069,2135,1971,2400,2465,2288,1720,901,16352,8727,8586,18720,17344,20224,20434,15701,9117,3535,122377
CED135,31,873,4951,3062,2095,1467,452,131,50,13105,13,404,3564,2429,1552,965,288,63,23,9284,7,147,2906,2231,1304,775,190,30,22,7606,3,58,1849,1838,1002,623,133,23,9,5533,3,41,2121,2955,1492,813,167,30,10,7629,3,15,415,858,665,391,111,31,14,2507,799,1047,3360,2226,1544,1304,974,712,513,12480,9264,12775,41038,29341,20671,17198,10944,6357,2743,150329
CED136,39,701,2335,2092,2116,1649,706,178,84,9903,15,257,1570,1488,1542,1042,307,58,20,6296,4,137,1191,1367,1290,918,202,42,14,5167,0,51,687,978,982,650,124,32,14,3513,0,57,860,1467,1436,868,144,40,14,4879,8,25,199,549,561,396,152,55,23,1969,832,676,1367,1259,1427,1463,1674,1316,716,10722,9483,9056,18921,18972,19874,19513,17015,8638,3193,124668
CED137,47,1093,5029,2438,1989,1546,713,206,92,13143,20,480,3698,1909,1503,1072,486,113,43,9315,9,222,3127,2082,1537,1093,364,116,36,8596,0,78,1942,1766,1271,840,276,71,29,6279,3,69,2835,3597,2375,1511,407,100,36,10939,6,26,966,2651,2385,1236,418,120,61,7876,684,1556,4015,2441,1711,1298,1046,711,561,14020,8898,15934,40163,26475,21809,18076,11880,7162,3644,154050
CED138,22,284,1549,1950,2178,1964,949,303,143,9351,5,106,1019,1194,1335,1177,374,122,57,5391,0,32,606,1088,1147,936,326,94,46,4279,0,12,350,804,852,652,185,60,26,2944,0,20,379,919,1027,767,272,77,19,3479,10,21,172,520,620,502,231,91,47,2208,1052,620,1403,1654,2006,2381,2095,1723,1629,14571,8212,6301,14273,18028,20930,23705,19363,11113,5565,127476
CED139,50,720,2156,1923,2020,1875,776,307,96,9918,16,285,1465,1354,1414,1090,349,113,30,6115,3,138,1036,1145,1198,893,230,76,30,4743,0,44,582,902,907,691,183,47,21,3389,0,19,606,1084,1120,781,192,60,24,3874,18,31,161,408,563,467,230,96,30,2013,1259,899,1672,1683,1823,1971,1996,1562,856,13726,10014,9515,17599,17561,19692,20150,16545,9775,4237,125092
CED140,24,541,1959,1792,2040,1855,863,294,135,9494,8,193,1391,1415,1518,1167,450,116,51,6304,4,74,1127,1330,1488,1065,314,87,38,5537,0,20,638,1129,1157,803,207,53,29,4040,0,21,636,1661,1700,1058,281,79,26,5466,7,20,191,764,892,614,200,101,46,2837,728,531,990,1103,1259,1266,1343,1292,1125,9635,8376,7499,15008,17459,19553,19177,16549,9626,4747,117999
CED141,23,553,2190,1919,2172,1837,760,229,78,9762,7,203,1437,1366,1485,1144,330,79,26,6072,3,72,1091,1292,1417,1035,230,47,11,5212,0,36,653,1035,1083,749,146,33,15,3750,3,27,803,1553,1504,1015,175,36,18,5133,10,14,212,666,781,519,146,54,29,2426,593,449,827,887,1074,1103,1238,1129,742,8037,8882,8006,15533,17000,19421,19055,16678,9814,3838,118216
CED142,126,1799,7082,2425,1472,974,560,135,32,14602,42,919,6111,2309,1285,797,360,68,16,11911,32,458,5918,2551,1389,851,342,77,10,11628,20,225,3997,2198,1237,663,221,55,18,8636,25,197,6776,5299,2642,1431,411,98,24,16903,32,106,2827,4504,3056,1690,589,130,27,12954,1121,3855,8851,4110,2798,2129,1425,777,322,25384,8310,28283,66424,32353,20469,15144,9616,4433,1456,186472
CED143,23,711,2743,1701,1594,1331,963,388,191,9636,8,316,2426,1544,1406,1035,704,264,106,7798,5,128,2186,1833,1503,1062,604,235,96,7653,0,47,1496,1591,1228,850,420,144,68,5845,9,42,2774,3830,2691,1625,749,247,113,12081,7,19,1360,5418,5274,2572,1023,334,151,16166,569,561,1771,1741,1420,1118,1022,717,758,9692,7518,6981,21365,24241,21450,15582,12107,6545,3536,119324
CED144,22,745,3387,2448,2070,1327,409,115,31,10547,8,309,2054,1666,1354,790,201,46,14,6455,5,111,1366,1329,1100,636,143,23,11,4733,6,41,805,971,814,435,82,22,12,3186,0,32,911,1377,1140,601,109,27,9,4201,4,19,224,679,560,277,84,29,18,1892,944,991,2278,1755,1582,1276,994,752,489,11062,10896,13064,29494,24001,21946,17647,11626,7494,3434,139594
CED145,21,841,3496,1635,1246,1166,850,352,141,9740,4,418,3392,1553,1169,927,609,226,88,8391,6,201,3219,1803,1232,942,574,267,137,8392,4,77,2293,1551,974,757,455,200,93,6410,8,73,4219,3779,2232,1392,840,302,130,12982,6,46,2358,5690,4705,2659,1483,522,298,17768,578,942,3876,2579,1950,1477,1446,1204,1087,15131,5772,7972,30859,24204,18477,14023,11753,6598,3919,123563
CED146,53,945,3163,2642,2641,1629,341,64,24,11513,14,367,2057,2026,1677,989,181,18,3,7331,4,121,1529,1597,1375,729,130,15,0,5494,5,52,752,1038,959,521,84,4,0,3423,3,31,812,1374,1088,547,84,10,0,3952,13,18,185,433,436,227,68,22,15,1413,1201,916,1773,1738,1703,1346,1063,767,457,10967,13198,12370,23480,24179,23207,18094,10341,5151,1801,131818
CED147,25,615,2148,2020,2133,1649,739,290,71,9684,7,231,1449,1459,1474,1100,342,102,23,6188,7,115,1049,1314,1372,989,253,79,19,5196,0,36,662,1034,1084,754,153,50,21,3796,3,39,637,1502,1498,959,223,65,23,4943,18,29,160,518,602,478,252,78,29,2164,843,555,1057,1111,1328,1352,1462,1193,742,9639,10102,8474,16638,18323,20148,19278,16766,9841,3641,123212
CED194,3,61,179,89,80,80,34,6,0,533,0,23,95,63,45,31,16,4,0,277,5,9,77,47,37,30,6,3,0,219,0,7,61,25,27,15,4,0,0,136,0,0,64,75,34,15,3,5,0,210,0,0,19,49,20,5,12,0,0,111,110,265,641,427,392,338,220,74,24,2494,517,1358,2703,1900,1798,1722,1196,282,78,11545
CED197,0,0,0,3,4,3,0,0,0,10,0,0,3,0,3,3,0,0,0,14,0,0,3,4,0,7,0,0,0,17,0,0,0,3,3,0,0,0,0,3,0,0,0,3,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,4,3,4,0,10,17,25,11,4,78,12,9,32,34,50,74,108,42,10,374
