CED_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
CED111,10,40,390,566,100,81,29,28,13,1242,0,0,11,38,74,61,66,78,27,344,3,6,3,16,3,14,9,5,3,56,9,101,96,431,572,546,579,366,192,2893,0,3,4,24,16,21,18,3,0,90,0,0,9,24,14,9,18,3,0,81,0,0,14,57,34,67,135,75,57,433,0,4,3,8,17,55,84,112,38,318,0,0,21,23,14,21,3,0,0,85,13,41,56,283,47,37,25,21,11,526,10,8,22,72,25,10,11,3,0,148,0,11,28,98,17,16,4,3,0,172,10,44,22,78,24,14,4,3,0,198,3,26,3,46,31,22,26,13,6,179,0,3,7,30,65,176,292,404,181,1166,0,4,17,48,23,13,16,6,0,122,3,3,28,67,25,5,0,0,0,144,3,4,9,47,53,33,28,6,7,187,6,12,50,46,26,24,13,6,0,176,0,0,0,3,6,30,34,27,10,112
CED112,0,17,14,115,82,61,36,19,4,341,0,0,0,0,11,13,9,9,5,50,0,0,4,3,3,8,25,16,6,61,3,87,118,381,577,625,657,488,218,3153,0,0,7,30,17,20,4,8,0,88,0,0,3,18,10,11,15,5,3,64,0,0,3,37,25,32,96,45,28,270,0,3,0,8,0,8,22,22,9,75,0,0,0,15,10,14,8,4,0,51,3,23,5,168,27,25,31,11,8,305,3,3,3,36,23,11,14,4,0,98,0,0,0,7,10,3,0,0,0,24,0,0,0,7,4,3,3,0,0,15,0,18,0,47,31,45,39,34,11,216,0,0,0,3,19,37,56,34,16,164,0,3,3,25,14,3,3,0,0,66,3,7,4,54,15,19,5,0,0,111,0,0,0,9,16,6,9,3,0,39,0,3,7,26,24,22,14,3,0,99,0,0,0,5,8,42,63,40,5,155
CED113,4,6,15,79,48,32,11,9,4,201,0,0,0,5,19,27,32,26,4,119,3,0,0,9,0,5,7,4,4,38,5,55,67,284,486,550,587,304,129,2472,0,3,7,49,19,14,9,3,0,102,0,6,0,20,20,17,3,3,0,61,0,0,10,36,66,78,171,68,41,480,0,0,0,8,10,21,26,25,8,93,0,0,8,17,8,10,3,3,0,51,7,36,34,300,32,18,16,10,3,457,0,3,9,40,19,14,3,4,5,94,0,0,0,11,3,4,3,0,0,22,0,0,0,8,0,3,0,0,0,8,0,8,10,32,20,19,20,12,0,128,0,0,6,8,20,48,72,56,31,255,0,6,0,19,18,7,3,0,3,58,0,3,3,26,17,4,0,0,0,54,0,0,3,7,8,8,10,3,0,29,0,3,5,31,28,19,12,3,0,109,0,0,0,0,0,12,29,6,3,61
CED114,0,4,16,75,33,20,9,3,0,160,0,0,0,0,4,9,8,9,4,38,0,0,0,8,0,0,5,0,0,21,0,31,42,131,239,276,318,213,78,1328,0,11,16,47,30,22,17,3,0,146,0,0,8,8,7,4,0,0,0,29,0,0,3,28,20,52,101,47,22,268,0,0,0,3,0,4,9,14,4,41,0,0,13,18,3,7,3,0,0,44,18,52,50,558,90,64,22,19,5,883,0,4,4,21,6,3,0,0,0,35,0,0,0,4,3,3,0,0,0,13,0,0,0,3,0,0,0,0,0,6,0,11,4,22,18,12,10,5,3,85,0,0,4,10,23,82,242,232,161,759,0,0,3,21,3,0,0,0,0,31,0,0,14,37,3,0,0,0,0,54,0,0,0,3,0,4,5,3,0,13,3,9,11,55,17,3,0,7,0,106,0,0,0,3,0,7,4,4,0,20
CED115,5,33,104,540,395,354,180,171,187,1980,0,0,40,189,143,235,222,206,63,1100,6,19,11,52,38,43,40,35,13,259,3,26,9,44,63,98,86,58,34,413,7,18,69,402,170,168,58,39,11,940,0,3,3,14,8,3,3,4,3,38,0,8,12,15,14,26,74,48,34,225,0,13,25,28,18,38,84,51,12,258,0,4,30,100,20,40,14,3,3,210,32,109,90,720,99,91,43,15,6,1196,6,12,23,120,34,39,28,7,3,270,0,27,52,161,77,73,31,42,11,465,34,369,788,2036,942,713,423,199,71,5577,0,4,4,6,12,13,10,4,4,51,0,0,4,27,68,192,380,387,185,1262,0,0,11,24,3,0,0,3,3,51,0,0,5,49,6,6,3,0,0,75,3,26,40,262,214,182,84,35,14,854,0,13,19,110,49,40,24,3,9,264,0,0,4,4,12,70,80,49,22,238
CED116,0,11,9,63,44,28,22,8,6,195,0,0,0,5,16,19,51,27,7,123,0,0,0,8,3,11,13,4,0,43,3,54,63,238,562,707,1110,657,252,3644,0,0,0,13,9,11,5,3,3,52,0,0,0,12,17,13,5,5,7,64,0,0,3,30,41,82,176,94,56,485,0,0,0,3,4,12,32,28,4,91,0,3,0,13,8,14,7,4,0,47,3,13,4,95,14,14,20,7,7,178,0,5,3,35,9,10,10,5,3,76,0,0,0,3,0,3,0,0,0,11,0,0,0,3,0,0,0,0,0,7,3,10,3,24,35,31,38,15,3,166,0,0,4,3,20,35,53,46,17,177,0,6,5,18,8,11,3,0,0,49,0,3,3,17,3,3,0,0,0,31,0,3,0,3,8,0,4,0,0,22,0,0,0,14,14,19,7,6,0,61,0,0,0,0,8,24,57,27,4,124
CED117,11,45,353,943,417,330,141,107,46,2385,0,0,0,23,28,18,28,25,14,139,0,0,0,8,20,24,30,18,18,120,58,145,140,1337,678,411,285,94,46,3187,0,0,3,81,44,54,34,9,4,225,0,7,20,145,22,21,13,6,0,234,0,8,12,161,71,36,53,22,4,374,0,6,13,38,56,103,334,465,114,1117,0,8,23,169,49,57,21,8,3,350,38,33,48,522,66,44,35,17,5,812,4,6,36,215,39,48,27,13,3,395,0,3,4,63,10,10,3,3,0,99,0,0,5,16,9,4,0,0,0,34,0,4,14,299,97,46,27,18,10,515,3,11,25,149,98,160,270,415,206,1338,7,5,8,209,82,17,9,4,3,351,4,12,31,209,52,30,17,25,27,405,0,0,3,52,66,94,81,65,48,406,0,4,21,191,46,45,45,13,7,371,0,0,3,4,6,23,34,36,9,116
CED118,10,31,108,755,321,301,137,66,30,1762,0,0,7,27,54,48,60,45,15,250,0,38,24,89,53,66,71,23,18,378,13,106,69,329,262,252,249,114,54,1456,0,23,80,519,255,221,111,39,10,1251,0,3,3,13,14,4,14,0,6,58,0,6,17,39,23,22,89,44,22,257,0,0,0,9,21,39,49,50,7,176,3,6,23,109,78,98,22,10,0,352,136,556,718,5558,961,573,245,116,32,8895,0,15,35,233,84,68,30,14,4,484,0,19,45,255,93,56,31,7,5,516,4,3,12,58,30,20,10,5,0,133,0,19,4,53,27,19,29,13,0,161,3,3,5,23,39,69,116,79,39,367,0,6,4,31,17,0,4,0,0,65,6,27,49,220,110,82,43,24,3,556,0,3,13,109,109,117,59,17,4,438,6,21,28,161,105,108,72,17,5,530,0,0,4,17,35,147,241,113,37,593
CED119,5,22,52,433,206,188,74,33,14,1035,0,0,0,11,26,25,33,10,8,115,0,28,29,121,84,79,47,21,22,430,17,98,87,444,514,384,394,221,121,2279,0,6,18,154,67,81,38,15,3,370,0,3,3,28,17,6,8,0,0,63,3,4,3,54,45,48,75,33,17,289,0,4,7,26,39,63,95,68,10,316,0,3,12,65,34,76,26,3,0,220,7,37,69,366,195,110,42,28,21,871,0,12,24,161,51,35,21,12,0,310,0,0,0,19,11,4,0,0,0,40,0,0,4,27,12,5,3,4,0,54,0,26,10,85,55,31,30,16,5,248,0,3,3,21,39,58,74,72,36,314,0,10,8,63,30,15,0,0,3,126,3,5,5,48,14,20,3,0,0,89,0,3,3,91,79,81,36,19,0,315,0,4,15,62,65,66,28,9,8,250,0,0,0,0,7,26,37,28,13,115
CED120,8,13,12,102,46,31,12,6,3,235,0,0,3,13,25,25,21,12,0,101,0,0,0,18,14,16,15,8,3,68,5,42,55,309,570,621,643,312,111,2681,0,7,12,65,25,23,8,4,3,144,0,4,3,6,15,4,13,3,3,52,0,0,7,35,52,56,100,40,29,322,0,7,3,3,11,15,21,17,4,82,0,3,7,8,12,5,0,3,0,41,5,14,14,112,23,26,18,8,4,226,0,0,0,26,16,12,10,3,0,67,0,0,3,20,3,4,4,0,0,39,4,0,3,17,6,6,6,0,0,56,0,11,0,60,26,27,30,16,8,184,0,0,0,13,28,44,65,42,23,218,0,0,0,12,7,3,0,0,4,29,0,0,11,34,5,4,0,0,0,54,0,4,5,33,26,21,10,0,0,105,0,0,4,23,18,19,14,0,0,84,0,0,4,15,20,62,77,21,3,196
CED121,0,4,14,74,40,33,7,4,0,179,0,0,0,3,6,8,4,3,0,31,0,0,0,4,0,7,5,0,0,20,6,27,33,204,321,360,423,299,135,1813,0,0,3,22,18,13,10,3,0,66,0,0,0,10,6,4,0,7,0,26,0,0,5,23,21,27,128,36,27,273,0,0,0,0,0,6,12,0,0,29,0,6,3,13,9,11,3,0,0,44,3,22,19,134,15,16,20,5,6,237,0,4,3,26,7,9,7,3,0,56,0,0,0,9,0,0,0,0,0,8,0,3,0,5,0,3,0,0,0,11,0,19,7,24,13,19,20,17,6,118,0,0,0,3,8,13,28,8,4,67,0,0,0,7,7,3,0,6,0,34,0,0,7,38,6,9,0,0,0,61,0,0,0,3,7,4,0,0,4,15,0,3,0,27,13,21,11,3,0,77,0,0,0,3,0,10,16,0,0,36
CED122,27,75,3181,1947,516,384,230,172,74,6610,0,0,0,15,28,32,54,41,8,188,0,4,3,34,28,71,156,129,45,476,34,136,209,1377,558,317,265,118,69,3092,0,7,23,100,65,60,39,16,0,314,9,62,57,272,63,20,21,3,5,521,7,9,36,203,57,28,51,33,22,447,0,8,9,30,46,136,346,467,158,1201,11,12,260,306,152,182,81,27,7,1037,21,40,114,485,85,64,65,31,14,917,22,50,420,1043,320,205,117,58,13,2254,0,0,16,177,24,20,10,7,3,258,4,15,27,125,70,47,25,17,4,330,7,20,76,1094,103,57,39,33,13,1439,0,14,20,132,39,65,142,157,74,646,3,10,31,198,91,36,15,3,0,381,0,12,48,250,54,40,19,9,4,439,0,3,4,53,63,67,33,34,19,271,3,11,299,366,130,180,137,37,11,1182,0,0,0,0,8,43,98,60,27,236
CED123,0,23,37,278,127,86,31,23,7,621,0,0,0,17,33,71,54,44,5,228,0,13,18,60,36,49,31,21,4,230,13,57,56,370,547,610,581,318,131,2680,0,13,32,207,105,87,33,15,3,501,0,0,0,7,4,8,3,6,3,39,0,0,9,30,39,59,138,67,40,384,0,0,3,9,17,27,65,52,17,195,0,0,3,33,17,13,4,0,0,77,21,89,107,926,169,127,93,53,14,1598,5,4,8,80,28,26,19,0,0,168,0,3,12,77,19,21,18,6,0,148,0,0,12,63,21,14,7,6,0,130,3,18,7,53,33,53,54,32,9,264,0,3,7,16,41,69,86,73,28,318,0,0,0,28,10,6,3,0,0,48,0,6,19,68,28,13,10,4,0,149,0,3,6,84,55,67,23,10,6,257,0,10,5,45,28,42,22,7,0,165,0,0,0,28,42,112,190,86,9,469
