CED_CODE_2016,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
CED111,2115,930,1055,1990,1001,952,1950,903,988,1885,960,932,1893,4854,4982,9838,823,1004,1821,843,923,1768,849,876,1727,794,857,1646,762,836,1596,4069,4491,8567,818,774,1594,674,831,1506,769,777,1540,742,732,1475,772,828,1603,3770,3946,7717,626,706,1330,669,713,1381,563,629,1190,572,579,1152,504,608,1114,2936,3235,6171,472,568,1041,489,543,1029,448,509,952,461,567,1027,411,518,933,2280,2701,4986,1719,2195,3912,1042,1650,2690,422,811,1235,63,187,257,3,28,29,76868,78513,155380
CED112,2039,958,1050,2009,947,1011,1955,886,1097,1984,906,1007,1917,4650,5250,9898,916,1002,1918,861,992,1855,878,910,1784,826,949,1774,870,985,1854,4348,4832,9184,845,846,1689,785,945,1723,762,963,1730,878,915,1794,918,979,1895,4186,4651,8835,687,783,1466,707,789,1500,673,760,1434,591,750,1343,638,687,1330,3295,3768,7067,584,681,1258,572,541,1116,489,630,1117,465,587,1055,452,534,988,2562,2964,5528,1699,2370,4062,1175,1837,3013,490,932,1422,96,254,341,7,28,37,74437,79629,154067
CED113,2383,1146,1171,2320,1103,1159,2262,1122,1104,2223,1158,1077,2240,5709,5719,11431,1101,1039,2144,1062,1085,2144,1040,1049,2087,1015,1097,2112,1018,1027,2045,5238,5297,10535,1013,945,1957,1036,952,1992,925,914,1842,979,904,1882,1041,945,1986,4996,4666,9660,784,713,1497,694,713,1411,683,690,1376,641,618,1256,631,629,1258,3441,3367,6805,578,526,1100,506,508,1013,491,474,963,431,460,893,391,414,811,2401,2381,4781,1523,1658,3182,820,1235,2057,309,617,931,55,150,204,4,21,28,73772,73764,147532
CED114,2355,1163,1203,2363,1210,1195,2403,1176,1131,2303,1068,1118,2188,5777,5840,11614,1144,1076,2226,1029,1067,2098,1116,1078,2189,1055,1079,2131,1098,1032,2124,5437,5330,10765,1026,989,2016,1030,1045,2078,1010,947,1959,1005,921,1923,1093,1053,2149,5164,4965,10125,847,886,1740,784,837,1622,783,868,1653,710,705,1416,740,734,1471,3871,4029,7902,683,726,1406,606,622,1234,607,674,1281,550,615,1165,551,570,1118,2991,3208,6200,1989,2407,4393,1213,1636,2841,416,801,1214,72,251,325,6,33,41,81180,82797,163980
CED115,2296,1110,1151,2265,1063,1071,2140,1073,1090,2160,994,1155,2145,5373,5634,11000,983,1043,2025,904,991,1895,907,975,1881,826,932,1763,770,897,1664,4386,4841,9229,775,806,1585,759,850,1616,803,713,1521,704,706,1407,658,632,1283,3703,3708,7410,580,556,1133,511,475,987,458,468,931,472,503,974,432,483,919,2453,2488,4941,400,469,869,403,479,883,394,387,773,314,370,685,305,374,673,1813,2074,3883,1241,1577,2815,786,1163,1952,280,510,785,47,142,188,0,13,16,80936,83295,164235
CED116,2288,1092,1199,2288,1136,1234,2367,1118,1266,2381,1126,1237,2368,5597,6103,11701,1156,1256,2418,1149,1226,2372,1208,1254,2463,1215,1257,2470,1191,1324,2515,5918,6325,12246,1164,1324,2487,1269,1218,2487,1227,1278,2500,1288,1251,2538,1393,1346,2734,6338,6418,12755,1060,1072,2134,1048,1138,2184,1114,1063,2182,926,954,1875,851,901,1753,5001,5129,10129,859,831,1689,783,795,1574,710,734,1449,669,727,1394,610,666,1274,3630,3749,7383,2317,2677,4991,1383,1904,3288,474,806,1278,107,192,298,5,18,23,74171,76266,150436
CED117,1772,838,834,1679,802,837,1640,701,783,1485,710,805,1518,3878,4217,8097,727,739,1464,652,765,1417,689,753,1436,647,738,1385,647,693,1340,3347,3691,7045,630,668,1294,544,657,1202,553,600,1149,527,570,1092,562,598,1155,2812,3084,5900,458,514,976,460,490,947,414,422,839,345,393,730,313,391,703,1989,2210,4201,310,335,644,300,351,647,304,328,629,245,324,574,226,303,527,1387,1630,3018,1060,1293,2353,637,895,1536,226,447,675,43,130,175,0,11,9,72829,76684,149513
CED118,1854,910,952,1864,881,844,1725,829,889,1720,766,860,1623,4319,4461,8783,821,876,1701,776,757,1531,739,778,1515,712,765,1480,671,717,1389,3715,3898,7615,667,732,1397,604,651,1253,560,626,1188,587,585,1176,593,670,1267,3013,3272,6283,517,513,1025,410,438,848,402,437,845,358,384,744,319,327,647,2012,2102,4116,340,333,672,245,298,539,305,280,588,235,282,525,260,251,508,1389,1446,2833,787,1119,1909,481,690,1175,142,290,434,20,68,89,3,5,6,85421,84650,170067
CED119,1951,919,949,1866,923,940,1864,854,951,1809,853,918,1777,4458,4805,9262,850,884,1733,792,826,1616,764,767,1531,791,805,1595,705,733,1442,3905,4009,7914,704,732,1435,671,743,1412,651,688,1339,687,633,1319,647,755,1408,3365,3554,6916,555,667,1224,559,567,1122,548,544,1090,460,511,972,427,446,875,2544,2742,5288,375,405,780,335,384,725,329,332,666,298,327,620,258,314,563,1590,1762,3356,1048,1291,2342,678,1061,1743,278,558,842,60,165,229,3,11,18,71070,73218,144289
CED120,2087,973,1006,1978,921,968,1892,884,940,1820,932,922,1848,4752,4878,9628,902,941,1841,854,869,1724,839,924,1767,871,900,1770,852,896,1751,4321,4529,8854,849,848,1700,834,861,1688,788,797,1579,796,775,1570,821,830,1660,4089,4110,8199,661,668,1328,658,660,1324,601,585,1186,532,549,1085,529,485,1010,2976,2949,5925,484,494,979,427,461,890,398,381,780,368,355,720,312,349,662,1994,2037,4032,1201,1506,2702,657,1029,1690,252,540,791,56,149,204,8,17,24,74780,75869,150643
CED121,2162,1010,1030,2043,981,1016,1999,1072,1043,2114,1016,1059,2083,5181,5218,10402,940,926,1859,961,1003,1966,892,983,1873,953,1025,1979,954,959,1915,4698,4896,9595,947,922,1864,837,923,1761,900,928,1828,834,943,1775,950,931,1885,4468,4648,9112,809,770,1577,737,800,1535,706,711,1417,631,658,1293,611,626,1235,3488,3565,7052,538,555,1089,492,521,1011,414,526,944,454,514,967,372,484,858,2274,2594,4866,1647,2035,3679,946,1508,2460,366,763,1134,74,205,282,4,11,14,77730,79068,156796
CED122,1904,894,913,1804,888,853,1738,819,870,1689,811,825,1633,4346,4417,8769,811,846,1657,728,829,1556,750,804,1557,698,779,1476,652,759,1412,3641,4017,7655,675,723,1401,624,743,1373,639,667,1303,645,689,1334,638,745,1386,3222,3576,6794,582,673,1251,543,623,1172,527,587,1108,444,562,1002,440,504,943,2527,2947,5476,457,480,931,448,496,942,364,468,834,397,453,855,335,427,763,1997,2322,4320,1437,1810,3243,882,1437,2314,316,652,971,49,171,219,5,11,17,87226,89009,176238
CED123,2005,927,1026,1955,864,963,1825,916,1012,1923,907,1026,1938,4617,5035,9652,867,877,1742,808,930,1737,780,880,1659,814,855,1671,828,801,1630,4094,4346,8440,776,814,1590,765,811,1581,715,767,1482,707,747,1453,676,766,1441,3644,3902,7547,628,589,1216,563,521,1089,477,481,956,415,452,873,395,439,833,2486,2486,4971,354,411,763,339,388,725,310,390,693,291,319,607,241,309,547,1527,1811,3336,909,1256,2170,484,829,1313,192,442,633,35,115,149,0,8,8,82100,84430,166528
CED124,2274,1013,1141,2153,1012,1194,2201,1104,1187,2292,1097,1203,2300,5343,5878,11220,1110,1139,2249,1171,1176,2343,1131,1155,2291,1163,1226,2394,1214,1272,2484,5786,5970,11759,1254,1250,2505,1227,1235,2462,1212,1257,2462,1227,1275,2501,1368,1369,2740,6279,6386,12667,1167,1137,2302,1093,1066,2158,1148,1051,2200,917,954,1864,948,891,1837,5271,5094,10370,805,810,1617,804,840,1640,736,724,1458,677,663,1345,633,690,1322,3654,3725,7374,2322,2596,4920,1392,1813,3206,465,792,1255,94,230,318,7,25,33,71269,74208,145480
CED125,2055,1020,1043,2066,917,1002,1920,941,1033,1973,834,961,1797,4682,5126,9809,869,925,1790,866,976,1843,825,874,1697,823,866,1691,767,849,1620,4152,4490,8640,763,803,1568,687,773,1456,714,708,1421,676,745,1423,700,638,1343,3538,3678,7213,575,572,1141,499,502,994,442,518,953,371,395,760,375,400,767,2248,2374,4623,324,319,644,301,320,627,276,288,562,221,316,535,258,288,551,1388,1526,2912,763,985,1743,371,601,968,112,271,384,21,63,85,3,4,7,79776,82244,162017
CED126,2101,899,951,1852,907,962,1869,907,979,1884,805,909,1712,4566,4854,9428,807,918,1730,852,844,1697,815,876,1690,840,867,1703,722,827,1541,4035,4336,8366,692,836,1524,753,803,1556,741,853,1594,753,808,1564,827,869,1699,3761,4173,7932,715,789,1496,653,793,1444,688,755,1436,557,652,1217,599,628,1235,3211,3616,6829,550,613,1163,564,489,1055,489,540,1022,437,512,954,445,460,907,2493,2605,5100,1530,2092,3622,972,1695,2667,508,967,1480,103,326,422,3,20,25,72523,76091,148613
CED127,2177,991,1081,2073,1009,1072,2080,914,1072,1985,934,1005,1933,4902,5358,10257,931,971,1907,866,932,1802,881,958,1834,894,979,1870,963,960,1920,4534,4795,9329,869,935,1801,827,859,1691,817,872,1690,805,832,1640,857,943,1793,4180,4440,8621,654,757,1411,617,722,1346,645,681,1331,539,585,1125,463,550,1017,2917,3305,6224,425,522,941,439,455,887,374,417,791,315,377,685,324,395,716,1867,2158,4022,1190,1531,2721,648,1021,1663,240,522,761,39,156,193,0,23,22,69050,72392,141439
CED128,2102,993,1076,2066,1007,994,1999,1003,1009,2014,901,947,1846,4937,5095,10039,863,892,1756,849,911,1760,812,913,1725,841,808,1646,779,795,1571,4133,4319,8456,785,730,1521,740,774,1513,650,752,1397,685,722,1407,712,695,1408,3570,3677,7243,582,606,1180,562,508,1070,500,544,1040,426,530,958,428,453,879,2498,2630,5132,412,473,885,395,436,828,360,414,770,336,354,691,299,337,638,1793,2008,3802,1151,1505,2652,632,1012,1648,255,465,714,46,108,152,0,11,10,82230,83470,165693
CED129,1929,894,997,1889,847,881,1735,857,934,1793,831,867,1698,4364,4680,9038,793,889,1677,773,843,1616,740,838,1577,806,844,1651,702,795,1497,3804,4211,8013,704,807,1504,716,798,1513,652,741,1397,718,776,1487,687,790,1480,3472,3907,7378,614,665,1286,585,666,1253,573,610,1179,471,492,966,457,463,918,2700,2895,5592,395,434,823,412,381,788,339,354,690,312,351,666,284,307,595,1736,1825,3567,1025,1236,2265,560,877,1432,225,403,629,37,97,137,0,8,6,75103,78347,153449
CED130,2263,1002,1168,2176,1033,1112,2147,998,1100,2099,1034,1053,2087,5166,5600,10773,1045,992,2041,1022,1057,2087,1009,1011,2019,1049,954,1999,970,1006,1979,5101,5023,10126,958,992,1953,935,930,1866,938,946,1887,932,913,1845,1061,974,2031,4828,4758,9587,805,844,1647,840,812,1649,769,834,1603,682,690,1369,718,723,1443,3810,3901,7715,600,680,1279,558,661,1218,557,651,1210,528,575,1102,474,570,1044,2706,3142,5854,1760,2131,3892,960,1562,2521,300,674,974,55,199,258,10,24,32,75391,78795,154184
CED131,1936,995,1000,1991,922,1049,1970,945,978,1926,921,897,1820,4735,4910,9647,912,911,1823,832,837,1673,862,877,1744,792,845,1633,723,783,1503,4126,4251,8375,751,761,1517,697,770,1466,649,719,1374,688,668,1353,663,718,1387,3457,3640,7091,628,657,1280,537,584,1122,538,578,1110,444,537,980,474,474,944,2612,2825,5440,416,410,831,365,456,822,366,460,833,352,417,770,352,443,791,1852,2188,4043,1278,1877,3152,865,1546,2410,388,878,1267,65,192,256,3,25,26,75477,77466,152948
CED132,1889,855,957,1815,815,959,1772,783,898,1683,851,908,1757,4218,4696,8916,789,879,1665,752,884,1638,713,833,1544,709,868,1582,701,796,1493,3660,4258,7920,661,797,1459,703,790,1490,690,763,1452,704,745,1447,734,874,1607,3488,3971,7457,572,675,1252,563,590,1154,560,559,1123,403,530,930,456,514,965,2553,2864,5424,427,491,914,385,410,798,329,439,773,318,374,696,310,355,668,1777,2075,3847,1162,1662,2825,820,1372,2189,379,874,1256,84,198,282,3,22,26,77797,83725,161526
CED133,2582,1224,1224,2441,1223,1379,2600,1230,1322,2552,1257,1271,2529,6169,6543,12711,1308,1270,2573,1307,1289,2596,1250,1273,2518,1311,1234,2549,1251,1193,2436,6420,6256,12676,1193,1155,2344,1268,1158,2422,1151,1078,2227,1127,1071,2200,1131,1117,2247,5859,5578,11439,998,938,1937,902,918,1817,812,835,1644,781,785,1567,745,744,1485,4237,4225,8463,670,717,1390,647,691,1337,566,631,1201,590,591,1179,545,552,1102,3017,3185,6205,1973,2424,4399,1178,1732,2908,418,830,1247,68,236,302,5,40,40,78413,80694,159107
CED134,2364,1132,1113,2241,1130,1094,2222,1018,1028,2049,1038,999,2040,5545,5375,10915,1058,1005,2063,1038,930,1966,910,897,1805,996,900,1898,917,864,1783,4921,4596,9514,946,864,1806,953,833,1788,837,807,1647,897,799,1694,945,872,1814,4581,4170,8750,747,763,1513,759,705,1468,705,688,1390,617,617,1232,660,690,1347,3486,3463,6946,570,630,1200,537,578,1117,530,570,1103,487,546,1030,458,524,987,2589,2846,5434,1655,2024,3679,947,1440,2382,290,627,917,62,142,207,3,18,23,76385,77385,153769
CED135,1971,945,993,1941,865,936,1800,864,923,1786,900,894,1796,4519,4771,9294,822,884,1707,830,810,1641,768,869,1637,733,798,1530,688,702,1392,3841,4061,7906,647,702,1344,659,635,1300,579,603,1180,628,670,1295,584,604,1189,3097,3212,6305,491,546,1040,472,520,990,458,492,954,424,439,861,352,441,792,2192,2449,4639,396,445,840,379,411,798,355,365,727,289,371,659,300,380,685,1718,1979,3699,1196,1462,2659,712,1011,1717,268,543,812,48,145,191,8,9,18,94404,91916,186320
CED136,2149,960,1040,1996,965,1060,2028,941,929,1868,932,1028,1957,4812,5183,9994,996,959,1961,878,1006,1880,920,946,1866,931,1025,1951,855,1006,1859,4581,4937,9520,879,1023,1907,889,939,1827,884,975,1858,954,964,1922,1014,998,2010,4620,4897,9514,768,876,1640,837,835,1671,743,741,1485,670,697,1369,637,689,1329,3656,3847,7501,627,586,1210,508,533,1042,526,540,1071,406,536,941,460,489,945,2529,2686,5210,1483,1943,3425,782,1303,2081,285,598,891,66,143,209,5,13,14,76430,79208,155634
CED137,2121,959,1005,1966,881,971,1857,980,1033,2018,877,1056,1938,4725,5169,9894,834,981,1819,820,902,1720,784,830,1611,751,779,1530,708,796,1507,3901,4286,8187,661,777,1435,699,722,1426,674,672,1347,649,689,1335,611,708,1318,3296,3570,6863,561,606,1168,509,563,1074,503,528,1030,406,460,873,409,473,887,2388,2625,5020,395,447,842,415,482,892,337,409,741,367,396,762,318,429,749,1828,2159,3983,1394,1782,3175,912,1314,2223,359,763,1120,83,192,273,3,23,24,89626,91718,181347
CED138,2460,1082,1247,2328,1175,1281,2458,1092,1285,2379,1135,1244,2380,5654,6355,12005,1172,1196,2365,1107,1212,2320,1103,1271,2374,1120,1223,2346,1123,1171,2294,5625,6072,11695,1134,1160,2298,1126,1102,2232,1027,1032,2061,1155,1044,2200,1111,1145,2260,5552,5491,11040,863,890,1756,919,918,1840,829,875,1700,701,808,1509,739,783,1515,4044,4274,8318,654,703,1355,624,697,1321,584,674,1256,567,623,1187,559,670,1224,2986,3361,6348,2111,2657,4763,1459,2056,3514,598,1015,1616,109,288,400,5,30,36,73762,79145,152913
CED139,2160,1051,1053,2104,1018,1045,2059,1011,1058,2072,1041,963,2004,5192,5206,10402,980,960,1940,965,1044,2004,974,963,1933,984,953,1939,993,942,1935,4892,4861,9749,945,951,1896,968,948,1917,924,891,1816,897,899,1794,981,951,1939,4725,4637,9367,766,740,1506,814,740,1551,717,738,1453,654,693,1342,624,705,1327,3566,3606,7178,586,703,1291,562,660,1231,533,619,1157,509,554,1067,491,570,1060,2685,3112,5797,1756,2221,3975,1082,1621,2701,392,817,1208,57,239,294,5,27,31,77163,78628,155793
CED140,2149,923,1087,2011,950,1010,1956,943,992,1935,955,1056,2014,4783,5275,10056,932,963,1894,843,1016,1862,841,933,1768,904,990,1896,806,899,1700,4319,4801,9119,845,934,1775,823,935,1757,825,872,1693,866,998,1861,894,1035,1932,4249,4775,9021,824,895,1718,791,800,1597,727,811,1536,647,684,1335,615,721,1341,3609,3915,7529,543,653,1195,530,660,1187,539,589,1123,444,561,1004,458,527,988,2510,2988,5496,1712,2414,4128,1206,1800,3000,476,931,1401,101,214,320,7,18,23,69297,73802,143103
CED141,2024,957,1043,1997,954,1017,1969,960,1042,2001,886,1005,1894,4769,5119,9889,867,974,1842,879,974,1857,893,916,1809,944,1007,1946,818,894,1713,4400,4767,9165,793,960,1754,823,936,1761,847,900,1747,853,978,1828,905,1062,1963,4226,4823,9048,813,879,1699,778,839,1621,787,865,1652,607,710,1318,611,733,1343,3596,4032,7627,626,672,1299,578,619,1196,535,625,1169,459,594,1047,492,541,1033,2693,3045,5743,1803,2268,4076,1047,1558,2598,360,656,1017,59,152,211,3,8,7,70552,73937,144482
CED142,1887,912,783,1694,871,712,1574,831,744,1576,880,726,1603,4522,3812,8333,751,719,1470,750,675,1427,736,703,1436,658,631,1286,616,570,1185,3517,3293,6806,663,593,1249,647,549,1199,578,522,1101,576,597,1177,600,485,1089,3060,2751,5809,487,418,904,408,424,830,376,385,758,349,322,671,328,308,636,1950,1852,3805,299,312,612,256,277,534,265,295,555,229,218,444,226,277,501,1276,1376,2649,857,929,1783,470,536,1007,115,242,353,20,72,89,0,0,4,103705,96474,200181
CED143,1962,844,875,1719,792,869,1664,826,892,1714,791,748,1539,4224,4377,8600,675,804,1478,703,728,1434,663,685,1346,656,769,1422,603,703,1303,3300,3681,6989,674,717,1397,586,695,1283,596,664,1261,615,737,1349,642,720,1365,3121,3541,6660,570,629,1201,556,608,1166,527,579,1108,424,566,989,456,528,987,2539,2913,5454,372,451,822,361,459,823,328,409,734,346,418,763,295,383,677,1703,2124,3823,1194,1526,2714,839,1310,2151,371,697,1069,88,207,296,3,21,22,71036,76296,147333
