CED_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
CED117,1207,1133,2333,3630,3435,7061,934,870,1806,511,445,953,5071,4748,9822,1446,1368,2810,842,928,1772,908,669,1575,3195,2966,6157,185,194,381,242,338,578,245,143,387,496,679,1176,10,14,18,1175,1366,2543,2109,2400,4509,1134,1459,2590,283,367,649,1299,2043,3338,14,18,35,4839,6291,11131,238,311,545,397,591,988,4,7,13,636,910,1543,5824,5732,11559,21945,23148,45091
CED118,1889,1707,3594,6285,5775,12056,1721,1776,3492,805,685,1490,8807,8230,17035,3728,3476,7199,1702,1630,3327,675,650,1323,6097,5751,11856,305,272,576,222,366,593,497,241,734,443,772,1220,10,18,31,1484,1670,3154,2180,2301,4483,676,796,1472,332,388,716,722,1002,1720,17,15,37,3919,4513,8432,350,322,674,315,571,879,6,11,18,675,902,1572,5071,4249,9321,27938,27028,54971
CED119,1691,1553,3248,4861,4587,9448,1631,1611,3240,519,441,963,7003,6641,13648,3225,3073,6297,1456,1430,2890,637,661,1293,5318,5159,10477,154,199,350,83,145,230,740,281,1022,351,556,906,13,12,26,1344,1197,2539,1591,2021,3610,312,420,730,247,334,580,611,1071,1680,16,16,33,2774,3862,6638,112,124,234,214,398,610,0,8,8,329,524,852,2655,2629,5277,21117,21563,42687
CED120,1610,1560,3173,5299,4860,10158,1289,1331,2627,733,683,1414,7327,6873,14202,3139,3059,6199,1365,1330,2691,704,752,1454,5208,5136,10350,141,198,333,54,143,192,870,376,1249,361,685,1046,17,20,33,1439,1417,2852,752,1172,1922,214,420,640,150,234,386,390,906,1295,4,13,17,1517,2740,4261,88,122,209,156,408,563,4,5,9,248,537,781,5225,4831,10057,22574,23099,45674
CED121,1564,1488,3045,4736,4677,9414,1129,1108,2243,873,808,1678,6739,6591,13327,3240,3146,6387,946,958,1906,819,830,1650,5003,4937,9941,192,232,429,76,201,279,590,412,1007,444,845,1283,13,8,18,1320,1694,3017,641,870,1510,228,423,653,132,206,334,403,797,1200,3,8,12,1403,2303,3707,124,111,231,171,429,603,10,18,24,298,555,859,6170,5353,11525,22499,22921,45421
CED122,1379,1292,2671,3111,2932,6050,1833,1757,3591,876,839,1717,5826,5532,11357,1431,1423,2851,1784,1697,3485,986,952,1939,4200,4068,8271,263,286,551,292,438,724,369,197,570,522,731,1252,16,14,30,1460,1663,3129,6761,6759,13518,2382,1947,4330,333,370,708,1012,1486,2502,34,40,76,10523,10606,21134,351,475,823,467,679,1143,7,12,18,822,1162,1986,8228,6698,14925,32436,31024,63465
CED123,1835,1623,3457,5396,5145,10540,1508,1575,3084,786,810,1604,7693,7531,15224,2837,3007,5844,1905,1757,3667,774,701,1478,5517,5467,10987,196,266,458,152,373,531,804,399,1198,454,828,1282,19,13,33,1627,1877,3504,1206,1524,2730,463,588,1052,234,340,574,501,951,1456,18,13,30,2424,3423,5844,147,196,340,201,520,722,5,15,22,352,728,1076,5779,5621,11401,25217,26273,51481
CED124,1235,1175,2411,4255,3933,8189,877,891,1770,479,456,942,5618,5283,10900,3018,3030,6051,919,873,1795,455,478,926,4394,4377,8770,154,223,371,111,274,378,492,298,795,315,781,1096,23,12,31,1094,1584,2671,283,494,775,111,272,383,65,132,194,252,647,903,6,7,13,713,1559,2274,54,103,158,114,328,439,4,8,20,176,436,612,5629,5934,11566,18859,20350,39210
CED125,1603,1458,3066,5696,5327,11028,1360,1352,2716,869,828,1702,7931,7503,15436,3442,3425,6864,1732,1583,3311,607,570,1176,5780,5572,11352,241,280,523,172,323,494,685,324,1009,409,695,1104,16,17,34,1529,1637,3166,1464,1851,3320,455,641,1097,222,292,514,467,801,1269,13,27,43,2626,3609,6236,174,281,453,222,538,758,10,11,22,405,828,1232,4897,5262,10162,24781,25875,50657
CED126,1593,1412,3010,5018,4774,9794,952,900,1855,953,853,1803,6927,6527,13447,2771,2680,5451,1436,1293,2734,1265,1105,2368,5465,5084,10549,150,143,293,152,207,361,601,262,859,423,639,1057,14,10,18,1332,1260,2591,1451,1620,3074,328,470,804,265,273,541,584,913,1492,8,14,24,2639,3294,5935,114,127,243,255,486,741,8,5,11,379,617,998,3742,4209,7949,22077,22407,44483
CED127,1452,1319,2772,4350,4195,8554,1074,998,2070,867,748,1616,6292,5945,12237,2703,2702,5404,1128,1082,2212,1038,1004,2038,4868,4794,9660,172,232,412,103,193,297,721,341,1059,453,752,1204,11,14,21,1457,1528,2986,1058,1414,2467,315,503,821,165,269,443,605,1250,1853,14,11,22,2150,3449,5602,95,140,239,177,408,590,7,10,11,272,563,837,3891,4042,7935,20377,21639,42019
CED128,1455,1318,2770,5015,4624,9632,1826,1984,3811,522,518,1043,7357,7130,14482,3589,3312,6900,1702,1845,3544,408,479,885,5697,5637,11329,382,375,751,316,577,900,626,259,885,485,698,1182,29,17,44,1831,1934,3763,1936,2339,4277,495,607,1105,290,339,627,413,661,1078,15,23,36,3150,3975,7129,419,586,1004,322,640,963,13,12,29,753,1237,1996,5037,5339,10376,25280,26564,51849
CED129,1718,1641,3364,5495,5201,10692,1811,1715,3535,906,872,1775,8212,7788,16005,3175,3070,6244,1699,1726,3422,1254,1216,2468,6129,6006,12135,204,209,415,146,310,455,506,204,709,341,592,932,11,15,24,1210,1327,2542,2390,2580,4968,465,611,1080,412,362,775,741,957,1701,12,36,49,4025,4541,8566,192,279,469,222,436,664,6,6,13,425,724,1140,2358,2569,4928,24074,24605,48680
CED130,1498,1374,2872,4609,4419,9027,1401,1373,2779,620,626,1239,6629,6417,13043,3345,3132,6477,766,882,1653,840,1039,1880,4956,5063,10013,139,184,322,117,211,322,454,391,846,435,830,1267,15,15,35,1154,1627,2784,989,1374,2357,375,577,959,163,280,441,425,921,1344,18,15,33,1968,3166,5136,88,99,187,154,322,471,7,5,18,244,430,675,7187,7379,14567,23632,25456,49088
CED131,1538,1283,2820,4237,4030,8263,1129,1041,2168,541,531,1074,5909,5597,11504,2825,2717,5544,855,814,1677,697,626,1326,4385,4158,8543,237,322,561,255,307,563,519,372,893,613,839,1451,19,15,29,1640,1852,3491,3070,3504,6574,1366,1362,2728,358,431,790,1047,1513,2559,16,22,36,5865,6822,12684,92,131,220,220,390,611,9,20,23,324,541,859,4393,4741,9132,24040,24994,49035
CED132,1556,1431,2993,4072,4067,8141,1145,1025,2168,816,782,1601,6034,5876,11912,1274,1523,2795,2162,1086,3248,1715,1401,3116,5151,4008,9159,124,169,294,186,345,532,158,116,274,420,740,1153,4,8,18,895,1378,2271,2442,2653,5098,829,1093,1930,320,350,666,1235,1692,2931,17,24,48,4848,5818,10668,179,284,462,336,650,985,5,12,17,521,945,1463,4594,4920,9521,23606,24382,47988
CED133,1394,1313,2706,4733,4338,9065,1232,1196,2424,616,581,1197,6575,6111,12688,3323,3295,6617,1201,1280,2478,450,436,879,4971,5015,9981,188,272,458,125,360,485,509,407,913,443,940,1380,20,15,37,1285,1988,3276,399,631,1031,320,498,815,120,204,317,453,992,1449,3,9,9,1296,2332,3626,100,108,214,147,370,517,11,10,17,264,489,751,6957,6757,13717,22739,24007,46743
CED134,1626,1592,3221,4542,4283,8830,1782,1824,3605,445,390,841,6773,6501,13273,3187,3050,6243,674,757,1430,412,441,846,4271,4248,8523,134,199,333,77,248,323,488,367,849,425,901,1324,10,17,31,1129,1736,2864,212,416,635,92,231,324,64,170,238,332,840,1167,5,15,19,711,1675,2385,70,93,166,137,287,422,11,16,21,209,397,608,8395,8239,16635,23123,24378,47504
CED135,1630,1422,3054,5388,4873,10255,1490,1533,3025,418,433,850,7300,6840,14134,3130,2923,6061,1389,1330,2713,724,450,1175,5244,4701,9949,360,275,635,353,677,1026,352,189,541,542,950,1494,29,21,45,1632,2113,3742,3184,3072,6259,1653,1616,3273,374,350,724,867,1046,1912,25,28,49,6095,6110,12211,544,529,1077,445,799,1240,13,12,30,1003,1336,2340,6704,6495,13201,29609,29015,58630
CED136,1640,1465,3100,5075,4742,9820,1307,1234,2540,693,635,1327,7077,6615,13691,3359,3191,6547,879,888,1773,763,656,1420,5003,4737,9745,207,247,456,80,206,284,551,410,961,469,834,1306,20,19,33,1327,1710,3040,591,902,1494,239,486,724,150,230,384,436,869,1308,5,6,11,1425,2497,3924,83,126,214,184,429,610,11,5,16,284,559,841,5361,5560,10922,22111,23150,45259
CED137,1334,1178,2509,3487,3411,6897,1434,1403,2836,633,680,1313,5557,5494,11049,2084,2154,4239,1391,1321,2710,895,1059,1956,4369,4530,8904,375,356,731,464,633,1094,282,143,432,510,754,1270,7,14,22,1645,1897,3544,4421,4804,9228,1923,1883,3804,444,375,822,1046,1257,2305,26,50,73,7864,8368,16228,574,636,1210,539,820,1360,7,19,29,1122,1471,2599,7461,6238,13703,29357,29175,58534
CED138,1185,1040,2229,3773,3408,7181,1291,1305,2596,795,793,1592,5857,5515,11370,2516,2488,5003,1174,1288,2461,666,733,1393,4351,4508,8863,147,178,332,129,334,464,420,252,668,386,835,1217,12,19,30,1093,1618,2716,502,711,1208,345,561,909,112,180,292,415,1034,1448,14,13,26,1387,2498,3879,87,120,209,202,379,580,8,7,14,294,509,802,6958,7459,14412,21127,23154,44275
CED139,1518,1385,2906,4604,4397,9003,1907,1893,3804,468,401,872,6980,6693,13675,2992,2905,5897,1392,1472,2859,575,593,1169,4958,4972,9925,199,187,385,115,207,324,628,461,1085,426,934,1361,16,18,43,1387,1807,3193,616,1298,1910,232,443,674,108,275,384,423,946,1373,3,9,21,1382,2964,4349,172,119,287,139,311,449,6,5,15,318,432,754,7228,6542,13769,23778,24799,48573
CED140,1389,1302,2689,4162,3958,8125,815,832,1645,749,688,1442,5733,5475,11212,2928,2885,5817,755,708,1463,772,771,1547,4456,4365,8819,153,185,335,97,190,296,531,295,829,394,752,1144,10,15,28,1201,1435,2630,948,1229,2179,346,546,887,222,239,459,525,1009,1532,11,11,23,2041,3041,5081,95,131,228,215,412,631,0,13,17,312,557,871,4298,4704,9000,19427,20880,40304
CED141,1486,1384,2872,4807,4488,9299,1029,919,1948,383,395,777,6220,5805,12023,3314,3230,6546,797,759,1552,525,487,1012,4642,4471,9110,166,187,354,71,167,247,633,351,985,375,671,1045,12,13,18,1254,1395,2648,983,1187,2174,249,482,734,179,241,424,469,919,1389,10,6,16,1892,2832,4730,66,105,169,160,353,519,0,3,9,230,464,691,3655,4018,7671,19380,20367,39742
CED142,665,640,1308,1564,1562,3130,301,352,657,355,300,659,2221,2219,4442,803,848,1650,321,513,838,522,500,1030,1648,1867,3515,601,643,1244,864,1162,2023,273,268,542,856,1006,1867,20,23,44,2620,3099,5713,7291,9858,17150,3313,3338,6644,390,507,890,2041,2217,4262,32,44,79,13066,15969,29032,1541,2089,3630,1223,1562,2782,17,41,56,2783,3692,6473,14095,11272,25366,37091,38748,75838
CED143,1542,1438,2980,4476,4355,8829,1010,961,1973,1135,973,2107,6623,6285,12906,1638,1831,3468,1323,1165,2488,1631,1593,3227,4591,4592,9183,122,112,228,114,217,334,254,154,409,401,674,1076,3,7,12,894,1165,2060,1632,1833,3467,435,660,1095,272,302,570,816,1297,2116,8,20,25,3161,4114,7274,126,160,284,353,624,973,0,5,10,480,787,1270,4509,4936,9445,21803,23312,45111
CED144,1462,1284,2746,4586,4144,8733,1830,1788,3612,1224,1252,2473,7633,7183,14823,3144,3287,6425,1652,1509,3162,1005,882,1889,5803,5672,11481,422,364,790,462,666,1131,450,189,643,459,778,1236,17,17,35,1809,2025,3832,3314,3248,6560,1648,1181,2828,336,328,660,673,806,1477,45,34,80,6004,5595,11600,568,612,1174,420,756,1172,21,24,52,1010,1385,2399,5888,5886,11773,29613,29036,58652
CED145,1362,1186,2552,2432,2378,4816,559,650,1213,1748,1604,3355,4748,4639,9388,494,487,978,551,628,1182,2359,2363,4725,3404,3488,6886,92,126,211,161,248,404,162,132,298,435,605,1040,4,13,16,850,1120,1967,1622,1917,3541,595,874,1470,259,286,544,1055,1496,2548,19,20,42,3551,4589,8141,176,254,429,508,769,1274,10,13,18,685,1036,1729,7006,7775,14776,21605,23826,45437
CED146,1489,1337,2833,5671,5198,10867,1666,1707,3368,1301,1286,2583,8634,8188,16828,4289,4083,8370,1785,1774,3560,1024,1119,2141,7094,6974,14066,340,288,631,205,439,640,612,257,870,387,699,1092,23,25,51,1565,1716,3283,2278,2889,5171,458,567,1025,329,376,706,428,746,1180,17,21,40,3509,4612,8122,272,378,648,263,543,804,22,22,37,559,935,1493,5870,6228,12094,28725,29988,58718
CED147,1688,1493,3179,4823,4581,9404,1173,1201,2368,644,595,1240,6641,6374,13022,3214,3115,6326,1391,1400,2795,614,837,1448,5217,5349,10566,180,212,396,107,251,360,667,366,1034,374,681,1051,24,15,40,1354,1528,2878,716,1129,1850,219,390,609,138,238,375,388,775,1169,3,13,20,1468,2551,4018,102,148,249,179,485,666,3,12,13,286,643,927,4641,4966,9611,21296,22906,44205
CED194,32,19,49,85,106,191,8,10,21,14,15,36,107,131,243,63,32,97,5,10,16,10,19,25,75,55,134,15,20,43,17,30,44,29,15,44,31,53,78,5,0,9,97,120,217,110,123,228,64,76,139,10,10,17,31,42,71,0,4,7,209,254,461,26,38,60,37,33,65,0,0,4,60,69,129,2231,1127,3360,2819,1779,4593
CED197,0,0,0,3,7,10,0,0,0,0,0,0,4,7,10,4,10,9,0,4,3,0,0,0,3,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,3,3,7,21,33,46,29,62,93
