SAL_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL10030,57,56,217,147,79,55,34,17,8,667,1066,757,3143,2109,1247,732,399,152,44,9649
SAL10031,29,20,11,18,18,14,4,3,4,128,538,438,332,319,406,585,362,109,35,3131
SAL10032,0,0,0,0,0,0,0,0,0,5,15,17,4,12,12,10,10,4,0,80
SAL10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
SAL10034,0,0,0,0,0,0,0,0,0,3,14,15,7,14,8,15,13,5,0,85
SAL10035,0,0,0,0,5,0,0,0,0,4,9,9,3,8,20,15,23,7,4,99
SAL10036,56,43,26,28,72,36,31,40,42,376,1564,866,499,945,1224,812,649,480,276,7317
SAL10037,0,0,0,0,0,0,0,0,0,0,13,7,6,4,14,12,13,0,0,68
SAL10038,42,39,54,52,43,46,33,10,7,321,725,635,1152,809,598,652,466,231,84,5351
SAL10039,5,0,3,0,0,0,0,0,0,8,15,8,12,4,13,9,3,0,0,60
SAL10040,0,0,0,0,0,5,8,0,0,12,15,17,6,13,23,29,29,8,0,139
SAL10041,8,5,0,4,10,0,0,0,0,30,35,17,15,17,37,24,23,13,4,190
SAL10042,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,16,19,3,0,54
SAL10043,0,5,0,3,0,5,5,0,0,14,14,7,3,4,4,17,3,11,0,58
SAL10044,0,0,0,0,0,0,0,0,0,0,20,17,14,16,16,32,14,11,0,141
SAL10045,0,0,0,0,6,7,4,0,0,23,55,36,27,39,74,105,65,26,6,431
SAL10046,79,50,41,49,58,42,39,44,26,424,941,512,480,589,707,789,870,670,358,5912
SAL10047,0,0,0,0,0,0,4,4,0,4,14,7,10,10,6,12,9,9,7,86
SAL10048,0,0,0,0,3,4,0,0,0,11,12,0,5,3,16,9,3,0,0,44
SAL10049,196,113,114,120,83,64,48,12,3,747,1650,1016,987,974,812,885,662,235,42,7254
SAL10050,0,0,0,0,0,3,4,0,0,12,4,0,0,0,8,3,8,14,0,40
SAL10051,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,6,0,0,0,6
SAL10052,0,0,0,0,0,0,0,0,0,0,9,3,4,5,7,14,0,0,0,41
SAL10053,3,0,0,0,0,0,0,0,0,9,17,8,4,7,6,9,3,4,0,64
SAL10054,0,0,0,0,0,0,0,0,0,3,12,5,3,3,7,13,4,0,0,49
SAL10055,0,0,0,0,0,0,0,0,0,5,17,8,0,11,15,12,9,3,4,72
SAL10056,0,0,3,0,0,4,3,0,0,7,24,14,19,19,20,33,34,4,0,167
SAL10057,4,0,0,0,5,0,0,0,0,7,4,0,0,0,8,8,8,4,0,34
SAL10058,0,0,0,0,0,0,3,10,0,16,4,4,0,4,11,12,29,13,3,78
SAL10059,0,0,0,0,0,3,0,0,0,8,20,5,16,14,26,31,60,9,8,192
SAL10060,4,7,5,9,11,5,3,5,0,49,57,53,34,45,69,54,41,19,3,384
SAL10061,69,38,26,30,43,51,45,48,6,363,634,393,343,361,501,658,733,524,82,4221
SAL10062,100,76,128,124,111,81,66,17,8,712,1517,953,1648,1581,1444,1052,815,343,133,9487
SAL10063,33,17,7,12,15,9,0,0,3,110,223,253,115,161,219,218,155,91,27,1472
SAL10064,75,30,29,52,25,27,16,9,0,267,885,369,449,508,377,314,200,92,23,3213
SAL10065,0,0,6,0,0,0,0,0,0,7,10,5,6,3,9,10,6,5,0,46
SAL10066,0,0,0,0,0,0,0,0,0,8,4,11,0,8,3,6,0,0,0,35
SAL10067,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,3,3,0,0,16
SAL10068,4,3,3,0,0,3,4,0,0,11,23,13,7,17,9,18,24,9,0,116
SAL10069,0,0,0,0,0,0,0,0,0,5,5,0,0,0,3,0,0,0,0,21
SAL10070,9,3,4,5,5,8,10,0,3,38,43,26,31,33,57,108,98,34,19,445
SAL10071,0,0,0,0,0,3,0,0,0,18,26,17,16,16,29,45,35,18,3,209
SAL10072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4
SAL10073,13,17,3,18,21,7,21,0,5,117,246,207,129,139,223,213,179,119,28,1475
SAL10074,25,11,11,13,15,8,12,5,3,107,243,165,139,155,204,234,173,92,32,1431
SAL10075,0,3,0,0,5,5,0,0,0,18,6,7,3,4,5,20,11,0,0,50
SAL10076,0,4,0,0,0,4,4,0,0,15,21,21,17,11,26,25,38,12,7,182
SAL10077,8,9,5,3,6,5,4,0,0,42,71,35,39,32,56,85,87,52,16,472
SAL10078,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,4,0,0,16
SAL10079,18,12,8,20,11,11,3,10,3,95,223,152,190,196,166,172,144,76,36,1352
SAL10080,10,0,6,0,3,3,4,4,0,28,35,25,18,15,26,43,33,17,0,207
SAL10081,0,0,0,0,4,0,0,0,0,3,3,0,0,0,3,0,3,0,0,16
SAL10082,3,3,7,3,5,3,11,6,0,39,87,27,25,53,52,54,99,34,14,439
SAL10083,0,0,3,0,0,0,3,0,0,4,7,4,3,0,4,4,4,0,0,36
SAL10084,0,0,0,0,0,0,0,0,0,8,5,0,5,6,0,0,6,0,0,24
SAL10085,9,5,6,6,4,11,0,0,0,32,39,10,11,22,22,33,18,5,0,164
SAL10086,514,802,373,247,220,241,171,165,120,2846,4272,4134,3251,2626,2521,2760,2253,1542,599,23967
SAL10087,186,175,286,177,142,118,68,70,66,1283,1889,1422,2855,1925,1322,1089,766,511,246,12023
SAL10088,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6
SAL10089,0,5,4,3,5,5,13,10,3,47,19,36,73,30,42,77,148,131,29,591
SAL10090,4,4,5,7,8,3,0,0,0,33,107,60,47,78,90,93,107,31,13,615
SAL10091,87,44,104,111,69,39,46,17,10,521,1852,880,1464,1926,1230,874,702,345,156,9417
SAL10092,0,0,0,0,0,0,0,0,0,3,8,10,4,6,4,7,11,4,0,47
SAL10093,0,0,0,0,0,3,0,0,0,10,9,3,9,4,4,10,0,0,0,40
SAL10094,35,31,25,24,24,26,18,9,0,190,577,454,263,394,524,485,365,213,66,3353
SAL10095,0,3,0,9,7,7,8,0,0,43,30,19,14,22,32,73,82,42,4,316
SAL10096,7,3,3,6,5,4,5,0,0,28,35,26,12,27,38,80,52,5,3,292
SAL10097,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,9,0,5,0,18
SAL10098,140,66,54,74,68,50,40,12,5,515,899,537,467,477,412,420,238,132,53,3634
SAL10099,150,156,294,199,136,175,107,71,39,1325,2701,2711,5272,3531,2561,2378,1816,1237,816,23012
SAL10100,11,8,3,4,9,12,5,9,4,67,102,69,41,41,83,119,113,70,24,659
SAL10101,3,3,11,6,9,16,8,4,0,54,83,40,59,30,48,57,28,13,0,351
SAL10102,154,84,60,63,49,43,31,18,13,507,786,558,488,387,424,427,387,182,108,3747
SAL10103,64,37,36,26,36,33,21,18,10,277,958,622,491,598,661,586,426,194,56,4589
SAL10104,54,30,38,54,35,27,19,13,3,282,1311,658,929,1232,775,547,436,206,69,6160
SAL10105,5,0,0,0,0,0,0,0,0,5,9,5,3,9,10,3,14,8,0,68
SAL10106,12,3,3,8,6,5,3,0,0,43,103,48,56,74,79,73,74,24,5,542
SAL10107,679,619,841,550,413,379,255,129,97,3947,6872,6488,9013,5317,4000,3657,2288,1189,515,39333
SAL10108,0,0,0,0,0,0,0,0,0,4,33,12,3,14,19,22,12,8,4,127
SAL10109,25,9,11,31,16,18,15,8,0,135,542,278,269,362,364,406,321,142,38,2725
SAL10110,163,65,94,105,54,48,39,59,96,730,1738,720,1488,1170,599,455,327,202,140,6847
SAL10111,0,5,0,0,6,3,0,0,0,18,17,26,13,8,29,26,15,18,3,145
SAL10112,121,74,46,78,90,86,57,28,19,603,1971,1246,652,1145,1526,1599,1305,646,292,10379
SAL10113,3,0,0,0,0,0,3,0,0,6,10,3,0,0,12,6,4,4,0,45
SAL10114,3,0,0,0,0,9,4,4,0,18,20,28,14,14,27,44,37,17,0,208
SAL10115,92,28,19,43,53,41,24,18,3,322,978,587,316,574,742,657,540,257,54,4708
SAL10116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10117,17,9,15,11,19,17,20,8,0,107,308,176,256,188,191,276,192,98,15,1695
SAL10118,0,0,0,0,0,4,0,0,0,10,27,23,12,11,37,28,19,0,0,157
SAL10119,16,5,0,0,7,6,0,3,0,33,87,57,45,40,74,67,38,19,8,430
SAL10120,0,0,4,0,0,0,3,0,0,15,22,20,24,18,26,46,23,11,4,195
SAL10121,5,0,4,5,0,5,5,3,0,28,36,13,19,20,7,32,22,14,3,166
SAL10122,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,3,0,14
SAL10123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
SAL10124,4,0,0,0,0,4,0,0,0,7,15,7,3,10,14,4,0,0,0,54
SAL10125,0,0,0,0,0,0,0,0,0,0,5,3,0,0,6,3,0,0,0,20
SAL10126,0,0,0,0,0,0,0,0,0,5,3,6,0,0,0,0,3,5,0,20
SAL10127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7
SAL10128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4
SAL10129,0,0,0,3,0,0,0,3,0,3,5,0,0,3,5,0,0,9,0,27
SAL10130,0,3,0,0,0,3,0,0,0,6,14,11,12,5,3,29,9,12,0,91
SAL10131,3,6,0,5,0,4,0,3,0,12,20,23,13,20,23,15,30,8,4,153
SAL10132,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,4,7,0,0,19
SAL10133,3,6,4,0,5,0,9,0,0,25,30,14,17,26,20,15,29,14,6,168
SAL10134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9
SAL10135,3,3,0,0,4,0,3,0,0,16,14,11,5,11,12,13,19,6,0,93
SAL10136,0,0,0,0,4,0,0,0,0,4,3,4,0,5,5,3,0,0,0,27
SAL10137,0,0,0,0,0,0,0,0,0,4,9,7,0,6,3,11,10,3,0,43
SAL10138,6,0,0,0,3,4,0,0,0,14,11,3,7,3,8,6,7,0,0,45
SAL10139,0,0,0,0,0,4,0,0,0,12,10,3,8,0,17,12,8,4,0,60
SAL10140,0,0,0,0,0,0,0,0,0,4,6,5,0,0,11,15,8,0,0,41
SAL10141,7,0,0,0,0,4,0,0,0,8,7,0,0,0,4,5,4,5,0,24
SAL10142,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,3,0,0,13
SAL10143,0,0,0,0,3,0,0,0,0,5,8,9,6,11,10,16,6,3,0,60
SAL10144,9,3,0,9,4,5,6,4,0,40,126,51,62,85,88,65,56,29,11,574
SAL10145,5,0,0,0,0,4,0,0,0,15,15,10,5,3,16,36,15,9,5,122
SAL10146,18,6,0,6,16,11,0,4,0,68,172,114,113,107,126,129,115,96,17,1002
SAL10147,0,0,0,0,0,0,0,0,0,0,15,6,5,11,0,6,4,0,0,53
SAL10148,0,0,0,7,6,0,0,0,0,7,67,31,33,40,48,52,37,12,3,321
SAL10149,0,0,0,0,0,0,0,0,0,0,6,3,0,3,4,0,4,0,0,20
SAL10150,7,0,0,0,0,0,0,0,0,9,5,0,0,3,0,0,3,0,0,17
SAL10151,0,0,0,3,0,0,0,0,0,12,8,3,0,3,16,8,13,0,0,55
SAL10152,0,0,0,0,0,5,0,0,0,6,13,9,7,3,10,13,6,4,0,67
SAL10153,0,4,0,0,4,5,0,0,0,16,8,8,0,13,6,9,7,0,0,45
SAL10154,66,41,43,56,72,64,32,27,10,418,1616,839,849,1205,1284,944,668,506,161,8068
SAL10155,37,31,6,16,28,28,15,9,3,172,848,481,140,382,674,484,315,134,87,3546
SAL10156,64,48,24,40,42,43,31,24,6,320,1054,640,597,727,727,748,640,461,128,5722
SAL10157,0,0,0,0,0,0,0,0,0,0,6,3,0,6,0,4,0,0,0,18
SAL10158,8,0,5,9,3,3,5,0,0,29,30,15,14,10,22,23,24,4,5,140
SAL10159,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,4,4,0,0,29
SAL10160,5,5,5,6,0,10,12,0,0,41,38,10,13,22,15,21,40,14,0,168
SAL10161,3,3,0,0,5,0,0,4,0,9,16,16,10,10,7,24,10,0,0,97
SAL10162,7,10,0,7,3,5,0,0,0,36,41,26,32,22,31,33,30,12,5,240
SAL10163,134,62,79,77,83,103,128,106,94,865,1164,747,881,932,1004,1266,1578,1265,900,9735
SAL10164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL10165,127,65,83,129,108,102,56,39,14,722,1804,815,1297,1784,1709,1342,1047,522,136,10454
SAL10166,14,14,14,21,21,29,18,10,0,141,271,180,219,252,324,279,237,118,33,1900
SAL10167,10,7,4,7,4,6,5,3,0,45,116,86,82,73,110,125,91,40,11,730
SAL10168,9,14,0,8,10,8,4,0,0,48,75,70,42,54,78,96,38,14,4,469
SAL10169,36,15,19,20,25,28,24,11,4,178,228,112,128,114,170,202,166,87,44,1240
SAL10170,0,0,0,0,0,0,0,0,0,0,3,4,3,0,4,11,0,6,0,35
SAL10171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10172,0,0,0,0,0,3,0,0,0,9,26,12,8,13,20,22,24,12,4,135
SAL10173,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,11
SAL10174,7,7,4,7,7,4,10,5,0,57,147,89,64,95,96,144,115,46,15,818
SAL10175,73,26,40,54,52,35,25,16,24,348,616,227,289,433,424,329,270,99,63,2752
SAL10176,0,0,0,0,0,0,0,0,0,0,4,0,5,4,3,8,9,0,4,37
SAL10177,0,0,0,0,0,0,0,0,0,7,25,10,9,17,21,15,10,4,6,122
SAL10178,35,28,18,25,35,35,36,13,0,231,1070,660,419,739,715,707,808,271,155,5536
SAL10179,51,27,38,28,30,18,29,9,7,239,558,352,445,472,467,371,322,215,76,3277
SAL10180,6,13,37,18,6,0,9,3,0,92,59,54,182,103,54,22,19,7,0,508
SAL10181,760,467,642,517,385,325,222,150,148,3618,7097,4490,6414,4926,3925,3757,2424,1259,627,34933
SAL10182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL10183,0,0,0,0,0,0,0,0,0,0,0,11,3,0,15,14,9,0,0,47
SAL10184,4,0,0,0,8,0,4,0,0,20,27,9,10,13,18,26,22,17,4,141
SAL10185,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,4,0,19
SAL10186,215,152,131,115,163,117,102,125,79,1210,2505,1646,1485,1603,1926,2063,2314,1976,936,16460
SAL10187,0,0,0,0,0,4,0,0,0,3,5,3,0,0,9,7,9,3,0,31
SAL10188,7,18,16,10,21,20,3,6,0,101,162,204,189,141,205,195,122,62,15,1292
SAL10189,0,3,3,5,10,7,4,3,4,29,9,3,8,21,18,27,22,9,4,122
SAL10190,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,7,3,3,0,19
SAL10191,29,13,10,11,14,18,20,15,5,126,141,72,66,71,84,122,121,70,36,783
SAL10192,0,0,10,11,12,3,5,7,0,39,9,4,59,54,34,31,9,10,0,220
SAL10193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10194,40,32,7,26,26,37,18,3,0,186,751,677,387,429,634,688,381,122,63,4129
SAL10195,102,47,65,62,29,18,7,4,0,342,1794,571,1144,1289,472,299,133,25,8,5747
SAL10196,8,14,16,15,15,16,6,7,0,103,374,301,274,284,344,305,226,143,59,2320
SAL10197,29,28,15,19,21,21,17,9,9,165,435,268,238,321,322,302,255,144,52,2344
SAL10198,5,4,5,6,5,3,5,0,0,38,73,51,43,42,72,70,65,26,17,459
SAL10199,83,60,28,46,40,29,32,21,9,345,916,557,454,544,612,564,496,299,78,4516
SAL10200,15,3,6,10,18,26,16,15,12,121,208,104,126,100,172,282,288,180,102,1569
SAL10201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10202,0,0,0,4,3,6,3,0,0,24,36,8,13,16,28,36,43,9,0,196
SAL10203,13,5,0,0,10,8,3,3,0,53,84,38,20,35,76,68,54,21,7,404
SAL10204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10205,16,16,13,9,14,11,11,0,0,95,311,215,240,228,226,247,204,54,14,1735
SAL10206,20,6,29,7,21,28,19,6,3,153,307,184,210,190,240,269,310,140,40,1888
SAL10207,23,5,11,8,17,24,19,13,7,127,170,83,95,93,148,237,248,196,62,1329
SAL10208,99,57,52,51,49,55,47,25,8,460,1097,725,731,741,716,759,683,422,135,6003
SAL10209,5,15,3,3,8,6,10,0,0,60,110,96,47,66,122,112,114,37,14,725
SAL10210,0,0,0,0,0,0,3,0,0,11,31,11,16,14,21,22,27,4,0,150
SAL10211,0,0,0,0,0,0,0,0,0,4,5,4,7,9,12,17,27,12,4,91
SAL10212,4,0,0,0,0,0,0,0,0,3,4,0,5,4,4,3,0,0,0,12
SAL10213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10214,0,4,0,0,4,0,4,0,0,15,34,28,5,18,36,40,31,13,4,214
SAL10215,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,12
SAL10216,0,3,0,0,0,0,0,0,0,9,4,3,3,0,9,7,0,3,0,30
SAL10217,3,7,0,0,7,3,7,8,3,40,52,25,30,30,53,65,78,50,8,394
SAL10218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10219,0,0,3,0,0,0,0,0,0,8,25,10,22,16,18,40,10,3,0,153
SAL10220,3,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0
SAL10221,3,3,6,0,3,3,0,3,0,26,30,14,12,11,25,18,15,5,6,139
SAL10222,0,0,0,0,4,0,0,0,0,3,7,0,0,0,4,6,4,0,0,20
SAL10223,23,14,12,11,19,26,12,17,0,137,255,155,167,146,200,245,211,139,57,1583
SAL10224,284,161,136,157,140,124,102,48,29,1181,2425,1400,1316,1271,1165,1112,816,491,239,10230
SAL10225,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5
SAL10226,0,0,0,0,0,0,5,3,0,11,17,8,4,6,15,7,23,6,0,93
SAL10227,230,120,118,130,111,113,116,115,148,1206,2402,1214,1346,1561,1371,1533,1477,991,616,12516
SAL10228,29,20,19,24,41,27,21,14,3,195,233,176,171,162,238,311,329,192,94,1911
SAL10229,29,18,21,10,32,29,19,18,7,178,180,119,175,133,205,235,255,205,71,1573
SAL10230,5,0,0,0,3,0,3,0,0,15,4,3,4,0,12,13,0,0,0,40
SAL10231,73,88,85,79,61,78,54,41,32,590,892,967,1141,734,729,866,781,584,304,7001
SAL10232,31,13,17,11,18,17,11,17,3,137,216,107,115,123,172,198,193,100,45,1270
SAL10233,368,193,174,259,217,186,134,82,40,1646,8109,4074,3575,6566,5168,3878,3378,1979,693,37415
SAL10234,0,0,0,0,0,0,0,0,0,3,56,28,31,26,41,45,36,13,6,271
SAL10235,20,5,7,7,8,12,4,9,0,71,124,53,61,80,90,195,159,77,11,844
SAL10236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10237,24,29,8,17,39,43,32,46,26,258,462,357,184,250,465,537,613,629,305,3807
SAL10238,86,67,21,60,72,53,37,26,11,438,1577,1066,651,989,1247,1050,652,428,162,7814
SAL10239,3,6,16,13,11,3,0,4,0,53,149,125,353,246,131,96,51,10,3,1172
SAL10240,0,0,0,0,0,4,0,0,0,4,9,0,0,9,12,20,10,8,0,56
SAL10241,0,0,0,0,0,0,0,0,0,0,13,3,10,8,3,6,8,12,0,72
SAL10242,0,0,0,0,0,5,3,0,0,3,11,3,14,10,7,29,42,8,4,117
SAL10243,56,57,30,39,61,39,15,7,5,309,2036,1411,744,1369,1623,1008,541,264,48,9041
SAL10244,0,10,0,0,0,0,0,0,0,13,31,19,5,17,15,14,25,5,0,123
SAL10245,3,0,0,0,0,0,6,4,0,17,29,15,24,19,27,39,18,13,4,194
SAL10246,0,0,0,0,0,0,0,0,0,0,15,5,6,10,8,3,4,0,0,53
SAL10247,4,3,0,0,0,4,0,0,0,15,31,10,3,13,24,22,13,7,4,127
SAL10248,24,19,9,15,17,9,3,0,0,90,198,103,122,125,95,110,95,43,17,914
SAL10249,77,53,32,69,74,71,48,36,22,482,2001,1289,724,1335,1520,1263,1093,767,292,10291
SAL10250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10251,11,0,7,5,11,0,4,0,0,39,76,40,42,38,53,44,53,16,4,358
SAL10252,0,0,0,0,0,0,0,0,0,8,8,3,5,8,0,3,6,4,0,34
SAL10253,136,64,48,53,57,55,44,58,66,581,951,538,549,546,558,683,572,413,198,5013
SAL10254,4,0,0,0,0,0,0,0,0,11,35,10,20,17,15,10,4,9,3,128
SAL10255,0,0,0,0,0,4,0,0,0,4,5,3,6,6,4,6,4,0,0,22
SAL10256,0,0,0,0,0,0,0,0,0,0,16,10,7,12,19,30,19,11,0,123
SAL10257,91,60,54,55,70,60,40,17,8,453,1246,807,749,848,938,816,589,401,159,6555
SAL10258,0,0,0,5,0,0,3,0,0,16,37,16,19,28,33,28,21,4,0,176
SAL10259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12
SAL10260,8,0,0,0,0,3,0,0,3,14,27,15,4,16,16,22,13,0,3,124
SAL10261,8,8,5,4,4,10,10,0,0,34,118,75,64,62,78,84,68,25,0,576
SAL10262,0,0,4,0,0,0,0,0,0,9,11,3,6,3,5,4,8,6,0,44
SAL10263,71,37,39,53,58,58,34,9,7,363,1550,1180,810,1176,1229,1240,848,279,79,8384
SAL10264,80,60,57,49,57,50,34,33,3,429,734,491,579,497,500,528,412,226,65,4039
SAL10265,11,0,0,3,3,0,3,0,0,24,20,7,7,4,25,23,14,12,0,114
SAL10266,4,6,0,0,12,0,9,3,0,34,58,23,23,36,33,41,42,14,4,266
SAL10267,4,0,0,3,5,0,0,0,0,11,8,9,3,7,6,28,32,13,0,116
SAL10268,51,30,20,21,19,21,13,3,3,186,545,287,340,284,266,280,230,76,27,2338
SAL10269,10,5,4,6,5,8,9,8,0,49,158,91,102,97,94,107,88,52,15,805
SAL10270,7,5,5,0,6,6,6,6,0,53,70,38,31,18,52,64,47,21,9,339
SAL10271,97,93,120,85,78,66,62,33,12,643,1821,1246,1593,1449,1409,1257,1083,555,177,10590
SAL10272,0,0,0,4,0,0,0,0,0,12,16,6,12,15,9,11,7,11,0,82
SAL10273,96,44,29,52,59,36,41,22,9,385,823,384,295,449,565,543,487,271,99,3923
SAL10274,0,0,0,0,0,3,0,0,0,8,23,13,3,6,25,24,16,9,0,120
SAL10275,0,0,0,3,0,0,0,0,0,5,11,4,8,3,0,3,0,0,0,37
SAL10276,99,64,66,50,63,68,76,45,26,571,1052,776,796,733,871,1077,1033,629,323,7289
SAL10277,104,55,51,43,54,33,20,31,19,408,1166,759,748,772,825,752,589,469,205,6291
SAL10278,13,8,6,8,17,10,11,3,4,88,135,147,115,96,175,169,138,65,23,1053
SAL10279,233,172,222,223,174,179,135,98,80,1531,2214,1690,2210,1902,1811,1630,1182,789,348,13781
SAL10280,10,4,5,0,8,4,10,4,0,46,47,24,22,26,29,50,54,23,0,268
SAL10281,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,10,0,0,0,20
SAL10282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL10283,58,45,24,33,68,45,48,43,27,383,1596,1069,463,961,1375,947,894,953,462,8726
SAL10284,5,10,3,10,6,9,3,5,0,42,92,60,43,51,78,112,106,38,9,589
SAL10285,0,0,0,0,0,0,0,0,0,0,7,4,5,3,12,17,9,3,0,71
SAL10286,7,0,0,0,0,3,0,0,0,15,31,13,7,11,20,22,24,5,0,135
SAL10287,0,3,0,0,5,4,4,0,0,15,24,11,10,4,34,32,42,21,0,165
SAL10288,6,0,0,3,0,0,0,0,0,12,23,3,5,16,13,25,23,8,3,135
SAL10289,6,7,6,0,7,15,7,7,5,51,77,36,38,37,71,90,86,33,19,486
