SAL_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SAL10011,..,0,0,0,0,4,0,0,0,7,..,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,28,11,23,17,28,17,7,5,0,137,..,0,10,14,36,20,12,3,0,96,..,0,17,7,13,5,0,0,0,38,..,0,6,3,0,3,0,0,0,13,57,..,..,..,..,..,..,..,..,57,..,13,..,..,..,..,..,..,..,13,..,22,9,3,0,0,0,0,0,37,..,0,0,0,0,5,0,0,0,9,..,0,0,3,3,0,0,0,0,9,..,4,0,0,0,4,0,0,0,4,..,0,0,3,3,6,4,0,0,15,0,0,6,0,0,0,0,3,0,10,57,43,41,35,57,40,23,8,0,299
SAL10012,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,10,..,0,5,0,3,0,0,0,0,8,..,0,4,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,3,..,..,..,..,..,..,..,..,3,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,0,0,0,0,20
SAL10013,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,14,..,0,0,0,5,0,4,0,0,14,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,4,..,..,..,..,..,..,..,..,4,..,0,..,..,..,..,..,..,..,0,..,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,..,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,3,6,3,4,4,0,0,24
SAL10014,..,0,0,0,0,0,0,0,0,8,..,0,4,0,17,16,25,5,3,70,6,4,3,0,0,0,0,0,0,15,376,210,246,345,266,208,122,38,15,1823,..,7,216,531,392,303,163,57,3,1663,..,18,69,37,33,18,4,0,0,173,..,0,12,30,45,27,8,4,3,124,805,..,..,..,..,..,..,..,..,805,..,232,..,..,..,..,..,..,..,232,..,139,126,26,6,3,0,0,0,308,..,21,19,8,9,11,19,17,9,115,..,7,7,3,0,5,0,0,0,24,..,17,15,7,0,5,3,0,0,40,..,4,11,9,22,25,27,10,3,105,7,10,7,4,3,4,5,0,0,32,809,451,477,649,510,407,225,83,16,3633
SAL10015,..,0,4,0,0,0,0,0,0,4,..,0,3,0,0,0,8,3,3,19,0,0,0,0,0,0,0,0,0,7,10,12,15,17,18,26,17,17,4,119,..,0,0,9,17,22,9,25,0,83,..,4,3,9,12,4,6,6,0,45,..,0,0,4,6,5,0,0,0,8,32,..,..,..,..,..,..,..,..,32,..,8,..,..,..,..,..,..,..,8,..,3,3,0,0,0,0,0,0,9,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,5,..,0,4,0,0,3,0,0,0,5,..,0,7,0,3,15,15,7,3,49,0,0,0,0,0,0,0,0,0,10,38,19,18,20,34,50,33,37,9,260
SAL10016,..,100,91,4,7,5,6,0,0,217,..,13,54,37,47,74,86,87,42,442,14,25,10,4,0,3,9,0,0,73,506,449,530,409,383,352,256,169,64,3123,..,3,221,475,399,363,240,121,33,1849,..,119,313,107,77,62,19,10,0,707,..,0,21,68,96,51,28,11,14,281,1002,..,..,..,..,..,..,..,..,1002,..,292,..,..,..,..,..,..,..,292,..,153,91,25,23,16,4,0,0,307,..,46,33,6,11,15,11,14,7,144,..,45,32,5,7,9,0,0,0,94,..,148,158,24,23,18,18,5,0,404,..,31,116,75,92,137,126,123,51,754,23,44,24,11,6,11,11,0,0,133,1024,886,1001,801,721,682,452,286,109,5963
SAL10017,..,21,19,5,0,5,0,0,0,53,..,3,8,8,13,30,44,68,38,214,11,4,11,6,3,4,0,0,3,38,575,278,290,431,362,269,229,225,78,2741,..,0,187,595,537,368,332,253,65,2342,..,31,161,108,71,36,14,10,0,428,..,0,7,37,66,25,12,20,18,188,1205,..,..,..,..,..,..,..,..,1205,..,323,..,..,..,..,..,..,..,323,..,133,81,22,30,18,0,0,0,288,..,23,27,0,0,17,18,9,3,98,..,20,16,5,8,4,4,0,0,58,..,52,54,13,6,6,4,0,0,140,..,5,30,24,30,45,70,100,55,354,18,5,21,12,9,3,7,0,3,78,1222,599,587,812,752,529,464,399,138,5501
SAL10018,..,0,0,0,0,3,0,0,0,5,..,0,7,4,5,14,15,15,6,58,3,4,0,0,0,0,0,0,0,6,59,46,42,44,56,84,57,36,11,432,..,0,24,48,57,94,68,39,9,332,..,10,29,22,24,19,8,4,0,119,..,0,5,6,10,9,6,0,4,32,124,..,..,..,..,..,..,..,..,124,..,35,..,..,..,..,..,..,..,35,..,38,13,8,5,0,0,0,0,59,..,0,0,0,0,0,0,3,0,10,..,4,0,0,0,0,0,0,0,6,..,5,5,0,0,6,3,0,0,19,..,0,10,5,13,30,32,30,9,127,0,6,0,0,0,4,0,0,0,14,133,96,82,85,112,156,126,74,23,876
SAL10019,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,5,9,5,0,0,24,..,0,0,8,0,12,6,3,0,28,..,0,0,0,0,3,0,0,0,12,..,0,0,0,0,0,0,0,0,0,17,..,..,..,..,..,..,..,..,17,..,4,..,..,..,..,..,..,..,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,17,5,3,10,5,12,13,0,0,67
SAL10020,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,14,..,0,0,0,0,0,3,0,0,12,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,6,..,..,..,..,..,..,..,..,6,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,3,0,0,3,..,0,0,0,0,5,4,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,7,3,0,33
SAL10021,..,0,0,0,0,0,0,0,0,3,..,0,0,0,3,3,3,3,0,21,0,4,0,0,0,0,0,0,0,7,86,73,50,47,78,60,37,15,0,466,..,0,30,72,103,93,67,15,3,387,..,6,31,12,18,4,5,0,0,74,..,0,7,5,14,9,0,0,3,46,187,..,..,..,..,..,..,..,..,187,..,57,..,..,..,..,..,..,..,57,..,67,28,8,4,0,0,0,0,108,..,4,0,0,0,0,5,3,0,18,..,5,7,0,4,0,0,0,0,16,..,4,4,0,0,4,0,0,0,11,..,0,3,0,9,18,5,10,0,46,0,3,9,0,0,0,0,0,0,16,180,144,110,98,155,128,92,38,9,957
SAL10022,..,0,8,4,7,7,3,0,0,31,..,3,14,23,14,39,33,30,3,150,4,3,6,3,0,5,0,0,0,24,385,206,235,230,169,172,119,51,9,1573,..,10,108,158,103,105,85,37,0,604,..,26,54,43,29,22,4,6,0,183,..,16,68,85,80,43,20,12,6,327,768,..,..,..,..,..,..,..,..,768,..,148,..,..,..,..,..,..,..,148,..,178,102,31,21,0,4,0,0,335,..,45,30,7,22,25,13,10,0,153,..,12,4,5,5,3,0,0,0,30,..,6,8,15,15,18,9,0,0,64,..,5,26,34,32,51,50,33,3,235,11,8,13,8,0,7,8,0,0,56,776,444,411,390,305,272,200,92,13,2904
SAL10023,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,6,0,5,5,10,0,0,0,0,0,0,0,0,0,3,16,3,7,7,7,18,8,0,4,74,..,0,0,0,3,8,16,4,0,32,..,0,14,8,6,10,0,0,0,37,..,0,0,5,0,4,0,0,0,6,26,..,..,..,..,..,..,..,..,26,..,3,..,..,..,..,..,..,..,3,..,8,4,0,0,0,0,0,0,15,..,3,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,7,3,0,5,17,0,0,0,0,0,0,0,0,0,5,26,22,17,12,14,32,22,7,4,152
SAL10024,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,4,6,5,3,0,0,32,..,0,3,0,10,6,7,0,3,38,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,8,..,..,..,..,..,..,..,..,8,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,8,7,7,5,12,13,12,4,3,66
SAL10025,..,11,19,5,18,7,9,0,0,76,..,10,22,25,51,97,103,97,50,449,22,31,23,7,12,10,8,3,4,102,1317,915,931,848,962,845,546,292,98,6759,..,29,669,1070,1202,1135,722,329,54,5209,..,167,501,230,226,124,43,10,5,1316,..,18,116,156,176,95,37,24,18,631,2747,..,..,..,..,..,..,..,..,2747,..,685,..,..,..,..,..,..,..,685,..,710,298,71,40,19,10,0,0,1148,..,62,25,26,19,42,56,36,20,278,..,47,35,15,17,3,3,3,5,128,..,29,56,22,36,29,15,4,0,187,..,18,63,54,88,173,168,134,69,769,36,48,42,10,9,18,9,3,9,184,2778,1798,1804,1658,1817,1637,1061,544,181,13280
SAL10026,..,12,8,3,8,17,14,6,0,72,..,12,17,25,24,65,97,76,34,350,14,14,12,3,3,3,6,5,3,67,555,406,451,363,390,471,403,218,78,3321,..,10,248,342,360,519,460,234,46,2224,..,91,263,117,91,73,32,10,0,674,..,20,63,98,111,77,25,18,6,431,1116,..,..,..,..,..,..,..,..,1116,..,227,..,..,..,..,..,..,..,227,..,312,155,44,41,19,5,0,0,568,..,42,31,10,24,36,42,13,14,207,..,24,25,9,12,5,0,0,0,82,..,30,15,21,27,33,27,13,0,163,..,16,50,51,81,131,151,102,51,640,22,31,22,17,8,7,11,6,5,137,1138,794,881,705,752,899,754,401,130,6453
SAL10027,..,31,28,8,3,10,4,3,0,86,..,37,50,34,64,79,126,94,43,527,7,4,11,6,3,8,3,0,0,41,297,262,268,268,337,316,325,186,62,2327,..,6,151,267,326,311,356,156,28,1607,..,37,139,81,74,46,36,17,0,426,..,6,11,47,60,29,12,10,10,189,659,..,..,..,..,..,..,..,..,659,..,175,..,..,..,..,..,..,..,175,..,103,33,19,15,11,4,0,0,185,..,16,13,3,4,0,9,4,4,46,..,6,4,0,5,5,0,0,0,18,..,62,64,18,12,12,11,4,3,185,..,63,92,76,122,143,183,129,53,857,16,17,19,9,14,5,9,8,0,97,675,480,533,522,626,567,619,321,97,4437
SAL10028,..,0,0,0,0,4,0,0,0,4,..,0,4,0,0,6,9,7,0,32,0,3,0,0,0,0,0,0,0,3,56,29,26,34,26,66,57,30,6,326,..,0,20,42,30,72,77,42,4,288,..,8,8,9,11,8,9,3,0,52,..,0,7,5,3,0,0,0,0,28,102,..,..,..,..,..,..,..,..,102,..,28,..,..,..,..,..,..,..,28,..,23,12,3,0,3,0,0,0,43,..,0,0,0,0,6,0,7,0,20,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,4,0,0,0,8,..,0,5,0,4,13,21,17,3,59,0,3,0,5,0,0,0,0,0,12,102,66,57,71,51,105,113,64,9,649
SAL10029,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,13,3,9,3,7,12,6,5,0,67,..,0,15,3,10,19,12,8,0,71,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,4,24,..,..,..,..,..,..,..,..,24,..,3,..,..,..,..,..,..,..,3,..,0,6,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,5,..,4,3,0,0,4,0,10,0,20,0,0,0,0,0,0,0,0,0,0,24,10,23,9,9,31,17,15,0,139
